Year,Storm Name,Storm Dates,Time,Reg,Sub Reg,Country,State,Location,Lat,Lon,Surge_m,Surge_ft,Storm_Tide_m,Storm_Tide_ft,Storm_Tide_Waves_m,Storm_Tide_Waves_ft,Datum,Type of Obs,Tropical,Confidence,Surge ID,Storm ID
1988,Herbie,May 18-19,,2,1,AU,WA,Denham,-25.9289,113.5344,2,6.56,,,,,,,Y,,,
1988,Charlie,Feb-29,,2,1,AU,WA,Shute Harbour and Mackay,,,0.6,1.97,,,,,,,Y,2,,
1989,Orson,Apr 17-24,,2,1,AU,WA,Dampier,-20.6619,116.7028,3.1,10.17,,,,,,,Y,,,
1992,Ian,Feb 27- Mar 3,,2,1,AU,WA,Barrow Island,-20.7094,115.4622,1.6,5.25,,,,,,,Y,,,
1994,Annette,Dec 15-19,,2,1,AU,WA,Just NE of Mandora Station (near Broome),-19.6953,120.8075,4,13.12,,,,,,,Y,,,
1995,Bobby,Feb 21-27,,2,1,AU,WA,King Bay about 30 km w of Karratha,-20.7828,116.6744,1.3,4.27,,,,,,,Y,,,
1997,Rachel,Jan 3-8,1500 WST,2,1,AU,WA,Port Hedland Harbour,-20.3142,118.5733,1.25,4.1,,,,,,,Y,3,,
1998,Les,29-Jan,,2,1,AU,WA,Wyndham,,,1.47,,4,,,,Australian Height Datum,Tide Gauge,Y,3,,
1999,Vance,Mar 18-24,,2,1,AU,WA,West of Onslow near Tubridgi Point,-21.8017,114.7383,,,5.5,18.04,,,,Field observations,Y,,,
1999,John,Dec 9-16,,2,1,AU,WA,Port Hedland,-20.3086,118.5801,2,6.56,,,,,,,Y,,,
2000,Rosita,Apr 17-21,,2,1,AU,WA,N side of dunes approx 7km W of Thangoo Station,-18.1972,122.2592,,,,,6,19.68,,Debris Line,Y,,,
2002,Chris,Feb 2-7,,2,1,AU,WA,West of Wallal,-19.8475,120.4097,3.5,11.48,,,,,,,Y,,,
2005,Ingrid,Mar 6-17,,2,1,AU,WA,Faraway Bay Resort NE of Kalumburu,-13.8958,127.0644,,,3,,,,,,Y,2,,
2006,Glenda,Mar 27-31,,2,1,AU,WA,King Bay,-20.7622,116.6242,1.5,4.92,5.8,,,,,,Y,,,
1987,Sally,Dec 26- Jan 05,,2,3,CK,,Rarotonga Cook Islands,-21.2058,-159.7747,5,16.4,,,,,,,Y,,,
1941,Unnamed,,,2,3,FJ,,Southern Viti Levu Island,-18.2317,178.1742,1.8,5.91,,,,,,,Y,,,
1979,Meli,24-31 Mar,,2,3,FJ,,Nayau Island,-17.9594,-179.0508,3,9.84,,,,,,,Y,,,
1983,Oscar,23 Feb- 06 Mar,,2,3,FJ,,Beqa Island Fiji,-18.4075,178.1033,4,13.12,,,,,,,Y,,,
1985,Hina,11-20 Mar,,2,3,FJ,,Southern Viti Levu Island,-18.1767,177.5919,1,3.28,,,,,,,Y,,,
1997,Gavin,,,2,3,FJ,,Lautoka Wharf,-17.604,177.4389,2.78,9.12,,,,,,,Y,,,
2010,Tomas,Mar 11-17,,2,3,FJ,,Lau Island Group,,,7,,,,,,,,Y,,,
1983,Veena,08-14 Apr,,2,3,FR,,Tikehau Atoll Tuamotu Archipelago (France),-14.9319,-148.2228,4,13.12,,,,,,,Y,2,,
2005,Percy,26-Feb,,2,3,NZ,,Nukunonu atoll in Tokelau (NZ),-9.2003,-171.8492,2,6.56,,,,,,,Y,1,,
1906,Unnamed,,,2,3,PF,,Papeete French Polynesia,-17.5358,-149.5692,2.25,7.38,,,,,,,Y,,,
1933,Unnamed,,,2,3,PF,,Austral Islands,-23.3433,-149.4728,1.5,4.92,,,,,,,Y,,,
1970,Emma,27 Feb- 06 Mar,,2,3,PF,,Bora-Bora - French Polynesia,-16.5006,-151.7522,3,9.84,,,,,,,Y,,,
2002,Zoe,26 Dec- 01 Jan,,2,3,SB,,Tikopia and Anuta,,,5.5,18.04,,,,,,,Y,,,
1982,Isaac,,,2,3,TO,,Togatapu Island - Tonga,,,2.8,9.19,,,,,,,Y,,,
1971,Bebe,,,2,3,TV,,Funafuti Atoll - Tuvalu,-8.5036,179.1967,4,13.12,,,,,,,Y,,,
2004,Heta,5-Jan,,2,3,WS,,Apia,,,,,1.4,,,,,,Y,,,
2012,Evan,Dec 11-19,,2,3,WS,,Apia Bay,-13.8294,-171.7703,4.5,14.76,,,,,,,Y,,,
1876,Unnamed,Oct 27- Nov 1,,3,1,BD,,Bangladesh,,,,,13.7,,,,,,Y,,,
1958,Unnamed,Oct 21-24,,3,1,BD,,Bangladesh,22.4717,91.7064,,,1.8,5.91,,,,,Y,,,
1960,Unnamed,Oct 30-31,,3,1,BD,,Bangladesh,21.8011,91.9022,,,9.1,29.86,,,,,Y,,,
1960,Unnamed,Oct 7-10,,3,1,BD,,Bangladesh,22.0817,90.9094,,,6.1,20.01,,,,,Y,,,
1961,Unnamed,May 6-9,,3,1,BD,,Bangladesh,22.0933,91.0494,,,8.8,28.87,,,,,Y,,,
1961,Unnamed,May 27-30,,3,1,BD,,Bangladesh,22.2308,91.7961,,,8.8,28.87,,,,,Y,,,
1963,Unnamed,May 25-29,,3,1,BD,,Bangladesh,22.5161,91.6917,,,9.1,29.86,,,,,Y,,,
1965,Unnamed,May 31-Jun 1,,3,1,BD,,Bangladesh,22.1144,90.8001,,,7.6,24.93,,,,,Y,,,
1965,Unnamed,May 10-12,,3,1,BD,,Bangladesh,21.7675,89.4458,,,5.8,19.03,,,,,Y,,,
1965,Unnamed,Dec 11-15,,3,1,BD,,Bangladesh,21.6667,91.8631,,,3.9,12.8,,,,,Y,,,
1966,Unnamed,Sep 27-Oct 1,,3,1,BD,,Bangladesh,21.6692,89.2589,,,9.6,31.5,,,,,Y,,,
1967,Unnamed,Oct 10-11,,3,1,BD,,Bangladesh,21.8278,90.2386,,,8.8,28.87,,,,,Y,,,
1967,Unnamed,Oct 22-24,,3,1,BD,,Bangladesh,20.6619,92.4628,,,7.6,24.93,,,,,Y,,,
1968,Unnamed,May 8-10,,3,1,BD,,Bangladesh,20.0592,93.3328,,,4.6,15.09,,,,,Y,,,
1969,Unnamed,10-Oct,,3,1,BD,,Bangladesh,21.6114,88.9994,,,7.3,23.95,,,,,Y,,,
1970,Chittagong Cyclone,11-13 Nov,,3,1,BD,,North of Chittagong,22.4436,91.7181,,,9.1,29.86,,,,,Y,,,
1970,Unnamed,May 5-7,,3,1,BD,,Bangladesh,21.0872,92.1247,,,4.9,16.08,,,,,Y,,,
1971,Unnamed,6-Nov,,3,1,BD,,Bangladesh,22.2308,91.7961,,,6.1,20.01,,,,,Y,,,
1971,Unnamed,30-Sep,,3,1,BD,,Bangladesh,21.6214,88.4142,,,5,16.4,,,,,Y,,,
1971,Unnamed,8-May,,3,1,BD,,Bangladesh,21.2686,92.0486,,,5,16.4,,,,,Y,,,
1973,Unnamed,9-Dec,,3,1,BD,,Bangladesh,21.8547,89.7631,,,5.1,16.73,,,,,Y,,,
1973,Unnamed,18-Nov,,3,1,BD,,Bangladesh,22.8033,91.4414,,,4.3,14.11,,,,,Y,,,
1974,Unnamed,15-Aug,,3,1,BD,,Bangladesh,21.5094,87.1167,,,7.1,23.29,,,,,Y,,,
1974,Unnamed,28-Nov,,3,1,BD,,Bangladesh,22.5653,91.0336,,,5.3,17.39,,,,,Y,,,
1976,Unnamed,21-Oct,,3,1,BD,,Bangladesh,22.0558,91.8751,,,5.3,17.39,,,,,Y,,,
1981,Unnamed,10-Dec,,3,1,BD,,Bangladesh,21.6003,88.2431,,,2.2,7.22,,,,,Y,,,
1985,Unnamed,25-May,,3,1,BD,,Bangladesh,21.7433,91.2892,,,4.5,16.4,,,,,Y,,,
1989,Unnamed,29-Nov,,3,1,BD,,Bangladesh,,,,,3.3,,,,,,Y,,,
1991,Chittagong Cyclone - Cyclone Gorky,19-Apr,,3,1,BD,,Bangladesh,22.3531,91.7561,7.6,24.93,8.2,,,,,,Y,,,
2007,Sidr,15-Nov,,3,1,BD,,Outlet of the Baleswar River,21.7228,89.4003,5.75,,,,,,,,Y,,,
1737,Unnamed,October,,3,1,IN,,Sunderbans (storm crossed coast at mouth of Hooghly River),,,12,,,,,,,,Y,,,
1864,Unnamed,Oct,,3,1,IN,,Calcutta and Surroundings,,,12,,,,,,,,Y,,,
1885,False Point Cyclone,Sept,,3,1,IN,,North Orissa,,,7,22,,,,,,,Y,,,
1952,Unnamed,November,,3,1,IN,,South Coromandal Coast and Northern Shores of Palk Bay,,,3,,,,,,,,Y,,,
1964,Rameswaram,Dec,,3,1,IN,,India,10.3144,79.3811,,,5,16.4,,,,,Y,,,
1971,Unnamed,30-Oct,,3,1,IN,,India,21.2305,86.8522,,,5,16.4,,,,,Y,,,
1976,Unnamed,25-Nov,,3,1,IN,,Visakhapatam,17.6229,83.2291,,,0.22,0.72,,,,,Y,,,
1977,Andhra Cyclone,19-Nov,,3,1,IN,,Just southwest of Machilipatnam (near Divi Island),16.0589,81.1636,,,5,16.4,,,Mean Sea Level,,Y,,,
1978,Unnamed,4-Nov,,3,1,IN,,Chennai,,,,,0.2,,,,,,Y,,,
1981,Unnamed,7-Aug,,3,1,IN,,Paradip,20.2821,86.6711,,,0.43,,,,,,Y,,,
1982,Orissa Cyclone,3-Jun,,3,1,IN,,Dharma Port,20.8169,86.9686,,,3.5,11.48,,,,,Y,,,
1984,Unnamed,1-Aug,,3,1,IN,,Paradip,20.2821,86.6711,,,0.4,,,,,,Y,,,
1986,Unnamed,12-Aug,,3,1,IN,,Visakhapatam,17.6229,83.2291,,,1.8,,,,,,Y,,,
1989,Kavali Cyclone,2-9 Nov,,3,1,IN,,Near Kottapatnam,15.4319,80.1734,4,,,,,,,,Y,,,
1990,Andhra or Divi Cyclone,9-May,,3,1,IN,,Andhra Pradesh just SW of Krishna River,15.8783,80.7247,,,4.5,,,,,,Y,,,
1992,Tuticorin Cyclone,11-17 Nov,,3,1,IN,,East of Tuticorin Tamil Nadu,8.9639,78.2131,,,1.5,4.92,,,,,Y,,,
1993,Karaikal Cyclone,2-4 Dec,,3,1,IN,,North of Karaikal,10.9951,79.8539,,,1,3.28,,,,,Y,,,
1996,Kakinada Cyclone,1-7 Nov,,3,1,IN,,Near Kakinada,16.953,82.2689,4.1,,,,,,,,Y,,,
1999,Orissa Cyclone,Oct,,3,1,IN,,Near Paradip India,20.2769,86.6678,7.5,,,,,,,,Y,,,
2010,Laila,May 17-21,,3,1,IN,,,,,,,,,,,,,Y,,,
2010,Jal,Nov 4-7,,3,1,IN,,,,,,,,,,,,,Y,,,
2011,Thane,Dec 25-30,,3,1,IN,,Cuddalore Puducherry and Villuparam,11.9359,79.8372,,,1,3.28,,,,,Y,,,
1975,Bassein Cyclone,4-8 May,,3,1,MM,,Pegu,16.5844,94.3439,,,5,16.4,,,,,Y,,,
1982,Gwa,,,3,1,MM,,Between Gwa and Pathein,17.1931,94.5264,4,13.12,,,,,,,Y,,,
2006,Mala,,,3,1,MM,,South of Gwa,17.3944,94.5697,4,13.12,,,,,,,Y,,,
2008,Nargis,,,3,1,MM,,Pyinsalu Myanmar,15.8204,94.8115,,,5,,,,,,Y,,,
2010,Giri,Oct 21-22,,3,1,MM,,Myanmar,,,,,,,,,,,Y,,,
1975,Porbandar Cyclone,October,,3,2,IN,,Just north of Porbandar India,21.669,69.5462,2.8,,,,,,,,Y,,,
1998,Kandla,June,,3,2,IN,,India,22.9901,70.2244,2.5,,,,,,,,Y,,,
2007,Gonu,Jun 2-7,,3,2,OM,,Ras al-Hadd,22.529,59.7983,,,,,5,,,,Y,,,
2010,Phet,May 31- Jun 6,,3,2,OM,,Oman,,,,,,,,,,,Y,,,
1999,Karachi Cyclone,May,,3,2,PK,,,,,,,,,,,,,Y,,,
2001,Unnamed,May,,3,2,PK,,South of Kori Creek,23.4359,68.529,1,3.28,,,,,,,Y,,,
2011,Bingiza,14-Feb,,4,1,MG,,Near Manambolosy,-16.0278,49.6783,3.5,11.48,,,,,,,Y,1,,
2012,Giovanna,Feb 9-21,,4,1,MG,,,,,,,,,,,,,Y,,,
2012,Funso,Jan 19-28,,4,2,MO,,Mozambique,,,,,,,,,,,Y,,,
1880,Unnamed,Aug 04-14,,5,1,US,TX,Near South Padre Island Under the Bluff,26.172,-97.1733,2.44,8,,,,,,,Y,2,2,2
1886,–Indianola”,Aug 12-21,,5,1,US,TX,Indianola,28.5181,-96.4953,4.57,15,,,,,,,Y,3,20.2,20
1886,Unnamed,Oct 8-13,,5,1,US,LA,Johnson's Bayou,29.7632,-93.7001,,,3.66,12,,,,,Y,3,22,22
1886,Unnamed,Jun 13-15,,5,1,US,TX,Sabine Pass,29.6833,-94.0333,,,2.13,7,,,,,Y,3,16,16
1886,Unnamed,Sep 16-24,,5,1,US,TX,Indianola,28.5181,-96.4953,,,1.83,6,,,,,Y,2,21,21
1888,Unnamed,Oct 8-12,,5,1,US,FL,Cedar Key,29.1363,-83.0373,2.74,9,,,,,,,Y,3,33,33
1888,Unnamed,Aug 14-24,,5,1,US,AL,Mobile,30.6949,-88.04,,,1.79,5.87,,,,,Y,1,30.2,30
1893,–Cheniere Caminada”,Sep 27- Oct 5,,5,1,US,LA,Cheniere Caminada (W of Grand Isle),29.2097,-90.0506,,,4.88,16,,,,,Y,3,48,48
1894,Unnamed,Oct 1-12,,5,1,US,AL,Fort Morgan,30.2328,-87.9534,,,1.52,5,,,,,Y,1,51,51
1895,Unnamed,Aug 22-30,,5,1,US,TX,Velasco,28.9557,-95.357,,,1.22,4,,,,,Y,1,53,53
1896,Unnamed,Sep 22-30,,5,1,US,FL,Cedar Key,29.1397,-83.0419,3.05,10,,,,,,,Y,3,59,59
1896,Unnamed,Jul 4-12,,5,1,US,FL,Pensacola,30.4212,-87.22,1.52,5,,,,,,,Y,2,58,58
1897,Unnamed,Sep 10-13,,5,1,US,TX,Sabine Pass,29.7194,-93.8639,,,1.83,6,,,,,Y,3,61.2,61
1899,Unnamed,Jul 28- Aug 2,,5,1,US,FL,Carrabelle,29.8439,-84.6644,1.22,4,,,,,,,Y,2,70.2,70
1900,–Galveston”,Aug 27- Sep 15,,5,1,US,TX,Galveston,29.2889,-94.7894,,,6.1,20,,,,,Y,3,73.2,73
1901,Unnamed,Aug 2-18,,5,1,US,AL,Mobile,30.6775,-88.0381,,,2.5,8.2,,,,,Y,3,78.3,78
1901,Unnamed,Aug 2-18,,5,1,US,LA,Port Eads,29.0169,-89.1708,,,2.44,8,,,,,Y,3,78.2,78
1901,Unnamed,Jul 1-10,,5,1,US,TX,Galveston,29.2889,-94.7894,,,1.37,4.5,,,,,Y,2,77,77
1903,Unnamed,Sep 9-16,,5,1,US,FL,Apalachicola,29.7209,-84.9811,,,3.05,10,,,,,Y,3,85.2,85
1906,Unnamed,Sep 19-30,,5,1,US,FL,Galt Santa Rosa County,30.3575,-86.9997,,,4.27,14,,,,,Y,3,92,92
1909,–Grand Isle”,Sep 13-22,,5,1,US,LA,Sea Breeze (Mouth of Bayou Terrebonne/ Terr Bay),29.2542,-90.5914,,,4.57,15,,,,,Y,3,103,103
1909,–Velasco”,Jul 13-22,,5,1,US,TX,Galveston and Velasco,29.1081,-95.0881,,,3.05,10,,,,,Y,3,101,101
1909,Unnamed,Jun 25-30,,5,1,US,TX,S Padre Island,26.1119,-97.1644,,,2.13,7,,,,,Y,3,99,99
1910,Unnamed,Oct 9-23,,5,1,US,FL,Key West,24.5456,-81.8025,,,4.57,15,,,,,Y,3,107,107
1911,Unnamed,Aug 8-14,,5,1,US,FL,Pensacola,30.4212,-87.22,,,0.3,1,,,,,Y,1,108,108
1912,Unnamed,Oct 11-18,,5,1,US,TX,Point Isabel,26.0785,-97.2065,,,1.83,6,,,,,Y,3,110,110
1912,Unnamed,Sep 10-15,,5,1,US,AL,Mobile,30.6775,-88.0381,,,1.34,4.4,,,,,Y,3,109,109
1913,Unnamed,Jun 21-29,,5,1,US,TX,Galveston,29.2811,-94.8258,,,0.43,1.4,,,,,Y,,111,111
1915,–New Orleans”,Sep 21- Oct 1,,5,1,US,LA,Southeastern LA S of New Orleans,29.5797,-89.9017,,,5.18,17,,,,,Y,2,115,115
1915,–Galveston”,Aug 5-23,,5,1,US,TX,GLS seawall (Galveston?),29.2889,-94.7894,,,4.72,15.5,,,,,Y,3,113,113
1915,Carrabelle,Aug 31- Sep 6,,5,1,US,FL,Carrabelle,29.8458,-84.6621,,,2.13,7,,,,,Y,3,114,114
1916,Unnamed,Oct 9-19,,5,1,US,AL,Mobile,30.6775,-88.0381,1.22,4,,,,,,,Y,2,121,121
1916,Unnamed,Jun 28- Jul 10,,5,1,US,AL,Mobile,30.6775,-88.0381,,,3.54,11.6,,,,,Y,3,117,117
1916,Unnamed,Aug 12-20,,5,1,US,TX,Corpus Christi,27.7997,-97.3911,,,2.8,9.2,,,,,Y,3,119,119
1917,Unnamed,Sep 20-30,,5,1,US,FL,Fort Barrancas,30.3451,-87.2975,,,2.38,7.8,,,,,Y,2,123,123
1918,Unnamed,Aug 1-7,,5,1,US,LA,Morgan City,29.6886,-91.2081,,,0.91,3,,,,,Y,1,124,124
1919,Unnamed,Sep 2-16,,5,1,US,TX,W shore Nueces Bay (near Corpus Christi),27.8612,-97.4837,,,4.88,16,,,,,Y,2,126.2,126
1919,Unnamed,Sep 2-16,,5,1,US,FL,Cow Key,24.5597,-81.7397,,,4.27,14,,,,,Y,2,126.1,126
1920,Unnamed,Sep 16-23,,5,1,US,MS/ LA,Lake Borgne and Mississippi Sound,30.2625,-89.3939,,,1.83,6,,,,,Y,3,127,127
1920,Unnamed,Sep 25-30,,5,1,US,FL,Tampa,27.9403,-82.4601,,,1.52,5,,,,,Y,3,128,128
1921,–Tampa Bay”,Oct 20-30,,5,1,US,FL,Tampa,27.9403,-82.4601,,,3.2,10.5,,,,,Y,3,130,130
1921,Unnamed,Jun 16-26,,5,1,US,TX,West Bay (N side of W Galveston Island),29.2199,-94.949,,,2.13,7,,,,,Y,3,129,129
1923,Unnamed,Oct 12-17,,5,1,US,MS,Biloxi,30.3922,-88.8836,,,2.44,8,,,,,Y,3,135,135
1923,Unnamed,Oct 16-21,,5,1,US,FL,Apalachicola,29.7208,-84.9811,,,1.37,4.5,,,,,Y,1,136,136
1924,Unnamed,Sep 27- Oct 1,,5,1,US,FL,Cedar Key,29.1397,-83.0419,,,1.37,4.5,,,,,Y,1,139,139
1926,Unnamed,Aug 22-27,,5,1,US,LA,Houma,,,,,,15,,,,,Y,2,145,145
1926,–Great Miami”,Sep 11-22,,5,1,US,FL,Bagdad,30.5969,-87.0281,,,4.27,14,,,,,Y,4,146.2,146
1926,Great Miami,Sep 11-22,,5,1,US,FL,Fort Myers and Punta Rosa,26.6367,-81.8811,,,3.66,12,,,,,Y,2,146.1,146
1929,Unnamed,Sep 22- Oct 4,,5,1,US,FL,Key Largo,25.1848,-80.3885,,,2.68,8.8,,,,,Y,2,155.1,155
1929,Unnamed,Jun 27-29,,5,1,US,TX,Seadrift/ San Antonio Bay,28.4086,-96.7181,,,2.13,7,,,,,Y,2,154,154
1931,Unnamed,Jul 11-17,,5,1,US,MS,Mississippi Coast,30.3652,-89.0882,,,1.83,6,,,,,Y,2,158,158
1932,Unnamed,Aug 26- Sep 4,,5,1,US,AL,Heron Bay,30.3547,-88.1303,,,1.98,6.5,,,,,Y,1,160.2,160
1932,–Freeport”,Aug 12-15,,5,1,US,TX,Galveston,29.2889,-94.7894,,,1.52,5,,,,,Y,2,159,159
1933,Unnamed,Aug 28- Sep 05,,5,1,US,TX,South Padre Island,26.1119,-97.1644,,,3.96,13,,,,,Y,2,170.2,170
1933,Unnamed,Jun 27- Jul 7,,5,1,US,TX,Port Isabel,26.0775,-97.2056,,,1.22,4,,,,,Y,1,166,166
1934,Unnamed,Jul 21-26,,5,1,US,TX,Galveston Island,29.2889,-94.7894,,,2.13,7,,,,,Y,2,175.2,175
1934,Unnamed,Jun 4-21,,5,1,US,LA,Between Grand Isle and Vermillion Bay,29.2554,-90.8349,,,0.91,3,,,,,Y,3,174,174
1935,–Labor Day”,Aug 29- Sep 10,,5,1,US,FL,Lower Matecumbe - Ferry Slip/ Camp 3,24.8516,-80.7375,,,5.49,18,,,,,Y,3,178.1,178
1935,Labor Day,Aug 29- Sep 10,,5,1,US,FL,Cedar Key,29.1397,-83.0419,,,1.52,5,,,,,Y,2,178.2,178
1936,Unnamed,Jul 26-27,,5,1,US,LA,Grand Isle,29.2633,-89.9873,0.61,2,,,,,,,Y,3,184,184
1936,Unnamed,Jul 27- Aug 1,,5,1,US,FL,Fort Walton Beach Panama City Valparaiso,30.3014,-86.0828,,,1.83,6,,,,,Y,3,185.2,185
1936,Unnamed,Jul 27- Aug 1,,5,1,US,FL,Everglades City,25.8456,-81.3878,,,1.68,5.5,,,,,Y,3,185.1,185
1938,Unnamed,Aug 10-15,,5,1,US,LA,Cameron and Vermillion Parishes,29.5953,-92.6301,,,1.52,5,,,,,Y,3,194,194
1939,Unnamed,Jun 12-17,,5,1,US,AL,Mobile,,,,,1.1,3.6,,,,,Y,2,199,199
1940,Unnamed,Aug 2-11,,5,1,US,LA,Frenier,30.1075,-90.4231,,,1.95,6.4,,,,,Y,3,202,202
1941,Unnamed,Sep 16-25,,5,1,US,TX,Matagorda,28.6881,-95.9658,,,3.35,11,,,,,Y,3,205,205
1941,Unnamed,Oct 3-14,,5,1,US,FL,St. Marks,30.1519,-84.2089,,,2.44,8,,,,,Y,3,206.2,206
1941,Unnamed,Oct 3-14,,5,1,US,FL,Everglades City,25.8456,-81.3878,,,1.25,4.1,,,,,Y,3,206.1,206
1941,Unnamed,Sep 11-16,,5,1,US,LA,Cameron Parish,29.74,-93.33,,,0.99,3.25,,,,,Y,1,204,204
1942,Unnamed,Aug 21-31,,5,1,US,TX,Matagorda and Port Lavaca,28.6419,-96.3225,,,4.48,14.7,,,,,Y,3,209,209
1942,Unnamed,Aug 17-23,,5,1,US,TX,High Island,29.5506,-94.3858,,,2.13,7,,,,,Y,3,208,208
1943,Unnamed,Sep 15-20,,5,1,US,LA,HWY 11 near Chef Menteur,30.1275,-89.8672,,,1.83,6,,,,,Y,2,212,212
1943,Unnamed,Jul 25-29,,5,1,US,TX,Galveston,29.2889,-94.7894,,,1.22,4,,,,,Y,2,211,211
1944,Unnamed,Oct 12-23,,5,1,US,FL,Naples,26.1401,-81.8075,,,3.66,12,,,,,Y,3,215,215
1945,Unnamed,Aug 24-29,,5,1,US,TX,Port Lavaca,28.6122,-96.6203,,,4.57,15,,,,,Y,3,218,218
1945,Unnamed,Jun 20- Jul 1,,5,1,US,FL,Tampa (Garcia Avenue Bridge- now Eugene Holtsinger),27.9597,-82.4681,,,1.52,5,,,,,Y,1,216,216
1946,Unnamed,Oct 5-14,,5,1,US,FL,Punta Gorda to Bradenton,27.1292,-82.4728,,,1.83,6,,,,,Y,3,224,224
1947,Unnamed,Sep 4-21,,5,1,US,MS,Bay Saint Louis,30.3025,-89.3308,,,4.63,15.2,,,,,Y,3,229.2,229
1947,Unnamed,Sep 4-21,,5,1,US,FL,Everglades City,25.8456,-81.3878,,,1.43,4.7,,,,,Y,2,229.1,229
1947,Unnamed,Aug 18-27,,5,1,US,TX,Galveston (entrance of Galveston Channel),29.3356,-94.7703,,,1.22,4,,,,,Y,1,228,228
1948,Unnamed,Sep 1-7,,5,1,US,MS,MS Coast,30.3931,-88.9303,,,1.83,6,,,,,Y,3,235,235
1948,Unnamed,Sep 18-25,,5,1,US,FL,Key West,24.5472,-81.7853,,,1.83,6,,,,,Y,2,236,236
1949,Unnamed,Sep 27- Oct 6,,5,1,US,TX,Houston Ship Channel (Harrisburg),29.6878,-94.9922,,,3.47,11.4,,,,,Y,2,241,241
1949,Unnamed,Sep 3-5,,5,1,US,LA,Mandeville,30.3528,-90.0689,,,1.46,4.8,,,,,Y,3,239,239
1950,King,Oct 13-19,,5,1,US,FL,Bahia Honda (bridge) E of Big Pine Key,24.6547,-81.2817,,,2.74,9,,,,,Y,2,245,245
1950,Easy,Sep 1-9,,5,1,US,FL,Clearwater to Sarasota,27.5094,-82.7211,,,2.44,8,,,,,Y,2,243,243
1950,Baker,Aug 20- Sep 1,,5,1,US,FL,Apalachicola,29.7208,-84.9811,,,2.07,6.8,,,,,Y,3,242,242
1953,Florence,Sep 23-28,,5,1,US,FL,Panacea,30.0225,-84.3858,1.98,6.5,,,,,,,Y,3,254,254
1955,TS Brenda,Jul 31- Aug 03,,5,1,US,MS,MS Coast,30.3931,-88.9303,,,1.83,6,,,,,Y,3,259,259
1955,Gladys,Sep 4-6,,5,1,US,TX,Corpus Christi Bay,27.7997,-97.3911,,,1.37,4.5,,,,,Y,2,261,261
1955,TS #5,Aug 23-30,,5,1,US,LA,Shell Beach,29.8551,-89.6786,,,1.1,3.6,,,,,Y,3,260,260
1956,Flossy,Sep 21-30,,5,1,US,LA,Ostrica Lock,29.3683,-89.5297,,,3.96,13,,,,,Y,3,265.1,265
1956,Flossy,Sep 21-30,,5,1,US,FL,Laguna Beach,30.2386,-85.9244,,,2.26,7.4,,,,,Y,3,265.2,265
1956,TS #1,Jun 12-15,,5,1,US,MS,Biloxi,30.3922,-88.8836,,,1.43,4.7,,,,,Y,3,263,263
1957,Audrey,Jun 25-29,,5,1,US,LA,Oak Grove Ridge,29.7697,-93.4525,,,4.24,13.9,,,,,Y,2,267,267
1957,Esther,Sep 16-19,,5,1,US,MS,MS Coast,30.3931,-88.9303,,,1.52,5,,,,,Y,1,270,270
1957,Bertha,Aug 8-11,,5,1,US,LA,West end of Vermillion Bay,29.7451,-92.1075,,,1.43,4.7,,,,,Y,3,268,268
1957,Debbie,Sep 7-9,,5,1,US,FL,Apalachee Bay,30.1033,-84.0442,,,1.22,4,,,,,Y,3,269,269
1957,TS #1,Jun 8-15,,5,1,US,FL,Sarasota to Cedar Key,,,,,0.91,3,,,,,Y,3,266,266
1958,Ella,Aug 30- Sep 6,,5,1,US,TX,Port Isabel Coast Guard Station/ S. Padre Is.,,,,,1.22,4,,,,,Y,2,272.2,272
1958,Alma,Jun 14-16,,5,1,US,TX,S Padre Island,,,,,0.88,2.9,,,,,Y,4,271,271
1958,Ella,Aug 30- Sep 6,,5,1,US,FL,Key West,,,,,0.61,2,,,,,Y,3,272.1,272
1959,Irene,Oct 6-9,,5,1,US,FL,Cedar Key,29.1397,-83.0419,1.22,4,,,,,,,Y,3,277,277
1959,Judith,Oct 17-21,,5,1,US,FL,Naples,,,0.91,3,,,,,,,Y,3,278,278
1959,Debra,Jul 23-28,,5,1,US,TX,Morgan Point,29.6731,-94.9878,,,2.41,7.9,,,,,Y,3,276,276
1959,Arlene,May 28- Jun 2,,5,1,US,LA,Pt. Au Fer,29.3667,-91.3833,,,0.91,3,,,,,Y,3,274,274
1959,Beulah,Jun 15-18,,5,1,US,TX,Lower Texas Coast,,,,,0.91,3,,,,,Y,2,275,275
1960,Donna,Aug 29- Sep 14,,5,1,US,FL,Upper Matecumbe Key,24.9133,-80.6353,,,4.11,13.5,,,,,Y,2,280,280
1960,Ethel,Sep 14-17,,5,1,US,LA,Quarantine Bay,29.3825,-89.5189,,,2.13,7,,,,,Y,3,281,281
1960,TS #1,Jun 22-29,,5,1,US,TX,Corpus Christi Bay,27.7842,-97.3929,,,1.07,3.5,,,,,Y,4,279,279
1961,Carla,Sep 3-16,,5,1,US,TX,Port Lavaca,28.6122,-96.6203,,,6.71,22,,,,,Y,2,282,282
1963,Cindy,Sep 16-20,,5,1,US,LA,Near Mouth of Calcasieu River,29.7622,-93.3442,,,1.83,6,,,,,Y,2,284,284
1964,Dora,Aug 28- Sep 16,,5,1,US,FL,Yankeetown,29.0186,-82.7264,1.83,6,,,,,,,Y,3,287,287
