,fac_name,fac_str_addr,county,total_beds,icu_beds,icu_occupancy_rate_2018
322,REDLANDS COMMUNITY HOSPITAL,350 TERRACINA BOULEVARD,San Bernardino,229.0,12.0,78.0
323,SAN ANTONIO REGIONAL HOSPITAL,999 SAN BERNARDINO ROAD,San Bernardino,363.0,24.0,33.0
324,COMMUNITY HOSPITAL OF SAN BERNARDINO,1805 MEDICAL CENTER DRIVE,San Bernardino,347.0,11.0,75.0
325,ST. BERNARDINE MEDICAL CENTER,2101 NORTH WATERMAN AVENUE,San Bernardino,342.0,27.0,90.0
326,ST. MARY MEDICAL CENTER - APPLE VALLEY,18300 US HIGHWAY 18,San Bernardino,212.0,20.0,91.0
327,VICTOR VALLEY GLOBAL MEDICAL CENTER,15248 ELEVENTH STREET,San Bernardino,101.0,10.0,56.0
330,HI-DESERT MEDICAL CENTER,6601 WHITE FEATHER ROAD,San Bernardino,179.0,4.0,50.0
334,DESERT VALLEY HOSPITAL,16850 BEAR VALLEY ROAD,San Bernardino,148.0,18.0,61.0
335,KINDRED HOSPITAL RANCHO,10841 WHITE OAK AVENUE,San Bernardino,55.0,8.0,81.0
336,ARROWHEAD REGIONAL MEDICAL CENTER,400 N. PEPPER AVENUE,San Bernardino,456.0,48.0,62.0
337,KAISER FOUNDATION HOSPITAL - ONTARIO,2295 S. VINEYARD AVENUE,San Bernardino,176.0,20.0,57.0
338,LOMA LINDA UNIVERSITY SURGICAL HOSPITAL,26780 BARTON ROAD,San Bernardino,28.0,4.0,0.0
339,BARSTOW COMMUNITY HOSPITAL,820 EAST MOUNTAIN VIEW ST,San Bernardino,30.0,4.0,78.0
341,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,"11234 ANDERSON ST., STE. A",San Bernardino,343.0,99.0,66.0
342,ALVARADO HOSPITAL MEDICAL CENTER,6655 ALVARADO ROAD,San Diego,226.0,18.0,
343,SCRIPPS MERCY HOSPITAL - CHULA VISTA,435 H STREET,San Diego,173.0,24.0,42.0
344,RADY CHILDREN'S HOSPITAL - SAN DIEGO,3020 CHILDREN'S WAY,San Diego,524.0,54.0,87.0
345,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER,250 PROSPECT PLACE,San Diego,181.0,3.0,73.0
346,SHARP MEMORIAL HOSPITAL,7901 FROST STREET,San Diego,656.0,50.0,78.0
348,GROSSMONT HOSPITAL,5555 GROSSMONT CENTER DRIVE,San Diego,524.0,70.0,49.0
349,KINDRED HOSPITAL - SAN DIEGO,1940 EL CAJON BOULEVARD,San Diego,70.0,8.0,95.0
350,KAISER FOUNDATION HOSPITAL - SAN DIEGO - ZION,4647 ZION AVENUE,San Diego,406.0,24.0,30.0
351,SCRIPPS MERCY HOSPITAL,4077 FIFTH AVENUE,San Diego,482.0,22.0,91.0
354,PALOMAR HEALTH DOWNTOWN CAMPUS,555 E. VALLEY PARKWAY,San Diego,118.0,7.0,
355,PARADISE VALLEY HOSPITAL,2400 EAST FOURTH STREET,San Diego,291.0,10.0,51.0
356,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA,9888 GENESEE AVENUE,San Diego,432.0,77.0,58.0
357,TRI-CITY MEDICAL CENTER,4002 VISTA WAY,San Diego,386.0,14.0,58.0
358,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,200 WEST ARBOR DRIVE,San Diego,390.0,32.0,73.0
359,SHARP CHULA VISTA MEDICAL CENTER,751 MEDICAL CENTER COURT,San Diego,343.0,41.0,42.0
360,POMERADO HOSPITAL,15615 POMERADO ROAD,San Diego,236.0,12.0,62.0
361,SCRIPPS GREEN HOSPITAL,10666 NORTH TORREY PINES ROAD,San Diego,173.0,12.0,32.0
362,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,354 SANTA FE DRIVE,San Diego,193.0,12.0,75.0
367,VIBRA HOSPITAL OF SAN DIEGO,555 WASHINGTON STREET,San Diego,110.0,6.0,81.0
369,PALOMAR MEDICAL CENTER,2185 W. CITRACADO PARKWAY,San Diego,286.0,24.0,55.0
370,KAISER FOUNDATION HOSPITAL - SAN DIEGO - CLAIREMONT MESA,9455 CLAIREMONT MESA BLVD,San Diego,253.0,20.0,57.0
371,CALIFORNIA PACIFIC MED CTR-CALIFORNIA WEST,3700 CALIFORNIA STREET,San Francisco,299.0,8.0,34.0
373,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,2425 GEARY BOULEVARD,San Francisco,239.0,32.0,58.0
376,UCSF MEDICAL CENTER AT MOUNT ZION,1600 DIVISADERO STREET,San Francisco,140.0,7.0,
377,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,2333 BUCHANAN STREET,San Francisco,309.0,29.0,78.0
378,CALIFORNIA PACIFIC MED CTR-DAVIES CAMPUS,601 DUBOCE AVENUE,San Francisco,223.0,8.0,77.0
379,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER,1001 POTRERO AVENUE,San Francisco,397.0,58.0,50.0
380,ST. FRANCIS MEMORIAL HOSPITAL,900 HYDE STREET,San Francisco,288.0,10.0,60.0
381,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,3555 CESAR CHAVEZ STREET,San Francisco,149.0,10.0,48.0
382,"ST. MARY'S MEDICAL CENTER, SAN FRANCISCO",450 STANYAN STREET,San Francisco,275.0,37.0,17.0
383,UCSF MEDICAL CENTER,505 PARNASSUS AVENUE,San Francisco,590.0,86.0,48.0
384,CHINESE HOSPITAL,845 JACKSON STREET,San Francisco,65.0,6.0,23.0
385,UCSF MEDICAL CENTER AT MISSION BAY,1975 4TH STREET,San Francisco,289.0,46.0,75.0
386,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL CAMPUS,3555 CESAR CHAVEZ STREET,San Francisco,120.0,10.0,45.0
388,DAMERON HOSPITAL,525 WEST ACACIA ST,San Joaquin,202.0,12.0,35.0
389,ADVENTIST HEALTH LODI MEMORIAL,975 SOUTH FAIRMONT AVENUE,San Joaquin,190.0,10.0,54.0
390,SAN JOAQUIN GENERAL HOSPITAL,500 WEST HOSPITAL ROAD,San Joaquin,196.0,16.0,72.0
391,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,1800 NORTH CALIFORNIA STREET,San Joaquin,355.0,20.0,95.0
392,SUTTER TRACY COMMUNITY HOSPITAL,1420 NORTH TRACY BOULEVARD,San Joaquin,77.0,8.0,49.0
394,DOCTORS HOSPITAL OF MANTECA,1205 EAST NORTH STREET,San Joaquin,73.0,8.0,65.0
396,KAISER FOUNDATION HOSPITAL - MANTECA,1777 WEST YOSEMITE AVENUE,San Joaquin,99.0,6.0,44.0
397,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE",345 SOUTH HALCYON ROAD,San Luis Obispo,67.0,8.0,42.0
398,FRENCH HOSPITAL MEDICAL CENTER,1911 JOHNSON AVENUE,San Luis Obispo,98.0,11.0,64.0
399,SIERRA VISTA REGIONAL MEDICAL CENTER,1010 MURRAY STREET,San Luis Obispo,162.0,11.0,
400,TWIN CITIES COMMUNITY HOSPITAL,1100 LAS TABLAS ROAD,San Luis Obispo,122.0,18.0,3.0
403,SAN MATEO MEDICAL CENTER,222 WEST 39TH AVENUE,San Mateo,448.0,7.0,65.0
404,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,1200 EL CAMINO REAL,San Mateo,120.0,15.0,40.0
405,SETON MEDICAL CENTER,1900 SULLIVAN AVENUE,San Mateo,357.0,14.0,61.0
407,MILLS-PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,San Mateo,301.0,24.0,58.0
408,SEQUOIA HOSPITAL,170 ALAMEDA DE LAS PULGAS,San Mateo,208.0,16.0,29.0
410,KAISER FOUNDATION HOSPITAL - REDWOOD CITY,1100 VETERANS BLVD.,San Mateo,149.0,20.0,57.0
411,GOLETA VALLEY COTTAGE HOSPITAL,351 SOUTH PATTERSON AVENUE,Santa Barbara,52.0,8.0,9.0
412,LOMPOC VALLEY MEDICAL CENTER,1515 E. OCEAN AVENUE,Santa Barbara,170.0,6.0,47.0
414,SANTA BARBARA COTTAGE HOSPITAL,400 W. PUEBLO STREET,Santa Barbara,481.0,65.0,60.0
418,REGIONAL MEDICAL OF SAN JOSE,225 NORTH JACKSON AVENUE,Santa Clara,264.0,34.0,93.0
419,EL CAMINO HOSPITAL LOS GATOS,815 POLLARD ROAD,Santa Clara,143.0,7.0,37.0
420,EL CAMINO HOSPITAL,2500 GRANT ROAD,Santa Clara,300.0,24.0,59.0
421,GOOD SAMARITAN HOSPITAL-SAN JOSE,2425 SAMARITAN DRIVE,Santa Clara,404.0,42.0,31.0
423,SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE,Santa Clara,731.0,68.0,74.0
424,STANFORD HEALTH CARE,300 PASTEUR DRIVE,Santa Clara,613.0,67.0,70.0
426,KAISER FOUNDATION HOSPITAL - SAN JOSE,250 HOSPITAL PARKWAY,Santa Clara,247.0,14.0,25.0
428,LUCILE PACKARD CHILDREN'S HOSPITAL STANFORD,725 WELCH ROAD,Santa Clara,397.0,72.0,60.0
430,ST. LOUISE REGIONAL HOSPITAL,9400 NO NAME UNO,Santa Clara,93.0,4.0,59.0
431,KAISER FOUNDATION HOSPITAL - SANTA CLARA,700 LAWRENCE EXPRESSWAY,Santa Clara,327.0,38.0,48.0
434,DOMINICAN HOSPITAL,1555 SOQUEL DRIVE,Santa Cruz,222.0,10.0,80.0
436,WATSONVILLE COMMUNITY HOSPITAL,75 NIELSON STREET,Santa Cruz,106.0,3.0,39.0
439,SHASTA REGIONAL MEDICAL CENTER,1100 BUTTE STREET,Shasta,226.0,37.0,32.0
440,MERCY MEDICAL CENTER - REDDING,2175 ROSALINE AVENUE,Shasta,267.0,34.0,59.0
444,MERCY MEDICAL CENTER MT. SHASTA,914 PINE STREET,Siskiyou,33.0,4.0,21.0
445,FAIRCHILD MEDICAL CENTER,444 BRUCE STREET,Siskiyou,28.0,4.0,60.0
446,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO,975 SERENO DRIVE,Solano,248.0,24.0,32.0
448,SUTTER SOLANO MEDICAL CENTER,300 HOSPITAL DRIVE,Solano,108.0,12.0,76.0
449,NORTH BAY MEDICAL CENTER,1200 B. GALE WILSON BLVD.,Solano,132.0,24.0,54.0
450,NORTH BAY VACAVALLEY HOSPITAL,1000 NUT TREE ROAD,Solano,50.0,6.0,57.0
451,KAISER FOUNDATION HOSPITAL - VACAVILLE,1 QUALITY DRIVE,Solano,140.0,16.0,49.0
454,HEALDSBURG DISTRICT HOSPITAL,1375 UNIVERSITY STREET,Sonoma,43.0,4.0,53.0
455,PETALUMA VALLEY HOSPITAL,400 NORTH MCDOWELL BOULEVARD,Sonoma,80.0,9.0,35.0
456,SANTA ROSA MEMORIAL HOSPITAL-MONTGOMERY,1165 MONTGOMERY DRIVE,Sonoma,283.0,16.0,146.0
457,SONOMA VALLEY HOSPITAL,347 ANDRIEUX STREET,Sonoma,75.0,6.0,37.0
459,SONOMA SPECIALTY HOSPITAL,501 PETALUMA AVENUE,Sonoma,37.0,5.0,7.0
460,KAISER FOUNDATION HOSPITAL - SANTA ROSA,401 BICENTENNIAL WAY,Sonoma,173.0,20.0,26.0
462,SUTTER SANTA ROSA REGIONAL HOSPITAL,30 MARK WEST SPRINGS RD.,Sonoma,84.0,12.0,95.0
463,DOCTORS MEDICAL CENTER,1441 FLORIDA AVENUE,Stanislaus,394.0,32.0,77.0
464,EMANUEL MEDICAL CENTER,825 DELBON AVENUE,Stanislaus,209.0,12.0,47.0
465,MEMORIAL MEDICAL CENTER - MODESTO,1700 COFFEE ROAD,Stanislaus,419.0,23.0,92.0
467,OAK VALLEY HOSPITAL DISTRICT,350 SOUTH OAK STREET,Stanislaus,150.0,5.0,17.0
470,KAISER FOUNDATION HOSPITAL - MODESTO,4601 DALE RD,Stanislaus,152.0,20.0,42.0
476,ST. ELIZABETH COMMUNITY HOSPITAL,2550 SISTER MARY COLUMBA DRIVE,Tehama,76.0,8.0,8.0
479,KAWEAH DELTA MEDICAL CENTER,400 WEST MINERAL KING,Tulare,581.0,41.0,30.0
480,SIERRA VIEW MEDICAL CENTER,465 WEST PUTNAM AVENUE,Tulare,167.0,10.0,37.0
481,TULARE REGIONAL MEDICAL CENTER,869 NORTH CHERRY STREET,Tulare,112.0,14.0,5.0
484,ADVENTIST HEALTH SONORA - GREENLEY,1000 GREENLEY RD,Tuolumne,140.0,6.0,66.0
486,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA,147 N. BRENT STREET,Ventura,250.0,14.0,73.0
487,VENTURA COUNTY MEDICAL CENTER,300 HILLMONT AVE,Ventura,223.0,45.0,14.0
488,LOS ROBLES HOSPITAL & MEDICAL CENTER,215 WEST JANSS ROAD,Ventura,321.0,20.0,78.0
489,OJAI VALLEY COMMUNITY HOSPITAL,1306 MARICOPA HIGHWAY,Ventura,91.0,4.0,12.0
490,ST. JOHN'S PLEASANT VALLEY HOSPITAL,2309 ANTONIO AVENUE,Ventura,132.0,8.0,56.0
491,VENTURA COUNTY MEDICAL CENTER - SANTA PAULA  HOSPITAL,825 NORTH 10TH STREET,Ventura,49.0,6.0,50.0
492,ADVENTIST HEALTH SIMI VALLEY,2975 SYCAMORE DRIVE,Ventura,144.0,24.0,19.0
493,ST. JOHN'S REGIONAL MEDICAL CENTER,1600 NORTH ROSE AVENUE,Ventura,265.0,10.0,150.0
496,WOODLAND MEMORIAL HOSPITAL,1325 COTTONWOOD STREET,Yolo,108.0,8.0,58.0
497,SUTTER DAVIS HOSPITAL,2000 SUTTER PLACE,Yolo,48.0,6.0,62.0
498,ADVENTIST HEALTH AND RIDEOUT,726 FOURTH ST,Yuba,221.0,24.0,67.0
