hospital,hospital_subtype,ccn,week,county,fips,total_beds,total_staffed_adult_icu_beds,total_covid_icu_patients,total_available_adult_icu_beds,pct_occupied_adult_icu_beds,total_covid_patients,all_patients,covid_patients_share,region
Santa Barbara Cottage Hospital,Short Term,050396,2021-01-01,Santa Barbara,083,318.0,45.0,21.0,10.0,0.78,78.0,209.0,0.37,Southern California
Bakersfield Memorial Hospital,Short Term,050036,2021-01-01,Kern,029,275.0,29.0,13.0,3.0,0.9,78.0,213.0,0.37,San Joaquin Valley
Chapman Global Medical Center,Short Term,050745,2021-01-01,Orange,059,78.0,12.0,7.0,3.0,0.75,23.0,62.0,0.37,Southern California
Sutter Tracy Community Hospital,Short Term,050313,2021-01-01,San Joaquin,077,80.0,8.0,3.0,2.0,0.75,18.0,49.0,0.37,San Joaquin Valley
Kaiser Foundation Hospital And Rehab Center,Short Term,050073,2021-01-01,Solano,095,180.0,19.0,11.0,2.0,0.89,61.0,164.0,0.37,Bay Area
Kaiser Foundation Hospital - Sacramento,Short Term,050425,2021-01-01,Sacramento,067,211.0,28.0,15.0,2.0,0.93,71.0,193.0,0.37,Greater Sacramento
Dameron Hospital,Short Term,050122,2021-01-01,San Joaquin,077,104.0,20.0,10.0,0.0,1.0,25.0,67.0,0.37,San Joaquin Valley
Encino Hospital Medical Center,Short Term,050158,2021-01-01,Los Angeles,037,70.0,6.0,3.0,0.0,1.0,25.0,70.0,0.36,Southern California
Ventura County Medical Center,Short Term,050159,2021-01-01,Ventura,111,159.0,16.0,5.0,7.0,0.56,38.0,106.0,0.36,Southern California
Paradise Valley Hospital,Short Term,050024,2021-01-01,San Diego,073,291.0,16.0,14.0,1.0,0.94,41.0,115.0,0.36,Southern California
Memorial Hospital of Gardena,Short Term,050468,2021-01-01,Los Angeles,037,186.0,24.0,21.0,0.0,1.0,59.0,165.0,0.36,Southern California
St Joseph'S Medical Center of Stockton,Short Term,050084,2021-01-01,San Joaquin,077,407.0,83.0,41.0,5.0,0.94,124.0,352.0,0.35,San Joaquin Valley
Sharp Memorial Hospital,Short Term,050100,2021-01-01,San Diego,073,737.0,65.0,39.0,6.0,0.91,173.0,491.0,0.35,Southern California
San Joaquin General Hospital,Short Term,050167,2021-01-01,San Joaquin,077,227.0,29.0,14.0,0.0,1.0,69.0,195.0,0.35,San Joaquin Valley
Kaiser Foundation Hospital - Redwood City,Short Term,050541,2021-01-01,San Mateo,081,108.0,19.0,6.0,2.0,0.89,35.0,99.0,0.35,Bay Area
Stanford Health Care - Valleycare,Short Term,050283,2021-01-01,Alameda,001,257.0,22.0,7.0,5.0,0.77,33.0,93.0,0.35,Bay Area
Adventist Health And Rideout,Short Term,050133,2021-01-01,Yuba,115,281.0,28.0,17.0,2.0,0.93,76.0,215.0,0.35,Greater Sacramento
San Ramon Regional Medical Center,Short Term,050689,2021-01-01,Contra Costa,013,54.0,12.0,6.0,5.0,0.58,18.0,52.0,0.35,Bay Area
Washington Hospital,Short Term,050195,2021-01-01,Alameda,001,222.0,29.0,13.0,0.0,1.0,66.0,192.0,0.34,Bay Area
Sutter Auburn Faith Hospital,Short Term,050498,2021-01-01,Placer,061,64.0,8.0,5.0,1.0,0.88,14.0,41.0,0.34,Greater Sacramento
Dominican Hospital,Short Term,050242,2021-01-01,Santa Cruz,087,255.0,21.0,12.0,2.0,0.9,54.0,166.0,0.33,Bay Area
Sutter Solano Medical Center,Short Term,050101,2021-01-01,Solano,095,98.0,12.0,7.0,1.0,0.92,21.0,63.0,0.33,Bay Area
Grossmont Hospital,Short Term,050026,2021-01-01,San Diego,073,480.0,75.0,38.0,9.0,0.88,142.0,425.0,0.33,Southern California
Mayers Memorial Hospital,Critical Access Hospitals,051305,2021-01-01,Shasta,089,22.0,0.0,0.0,0.0,,3.0,9.0,0.33,Northern California
Kaiser Foundation Hospital - Oakland/Richmond,Short Term,050075,2021-01-01,Alameda,001,271.0,32.0,27.0,0.0,1.0,84.0,252.0,0.33,Bay Area
Alvarado Hospital Medical Center,Short Term,050757,2021-01-01,San Diego,073,160.0,15.0,9.0,2.0,0.87,33.0,102.0,0.32,Southern California
Mercy Medical Center,Short Term,050444,2021-01-01,Merced,047,237.0,20.0,12.0,3.0,0.85,43.0,135.0,0.32,San Joaquin Valley
Keck Hospital of Usc,Short Term,050696,2021-01-01,Los Angeles,037,401.0,74.0,29.0,3.0,0.96,62.0,202.0,0.31,Southern California
Eden Medical Center,Short Term,050488,2021-01-01,Alameda,001,150.0,24.0,12.0,1.0,0.96,44.0,140.0,0.31,Bay Area
Orchard Hospital,Critical Access Hospitals,051311,2021-01-01,Butte,007,33.0,4.0,1.0,3.0,0.25,4.0,13.0,0.31,Greater Sacramento
California Pacific Medical Center - Mission Bernal,Short Term,050055,2021-01-01,San Francisco,075,98.0,10.0,5.0,2.0,0.8,22.0,71.0,0.31,Bay Area
Barton Memorial Hospital,Short Term,050352,2021-01-01,El Dorado,017,79.0,8.0,3.0,3.0,0.62,8.0,26.0,0.31,Greater Sacramento
Kaiser Foundation Hospital-Santa Clara,Short Term,050071,2021-01-01,Santa Clara,085,275.0,29.0,13.0,1.0,0.97,76.0,251.0,0.3,Bay Area
Kaiser Foundation Hospital - Roseville,Short Term,050772,2021-01-01,Placer,061,346.0,29.0,18.0,0.0,1.0,102.0,342.0,0.3,Greater Sacramento
Sutter Amador Hospital,Short Term,050014,2021-01-01,Amador,005,52.0,6.0,4.0,0.0,1.0,10.0,33.0,0.3,Greater Sacramento
Northbay Medical Center,Short Term,050367,2021-01-01,Solano,095,209.0,28.0,12.0,4.0,0.86,54.0,181.0,0.3,Bay Area
Community Hospital of The Monterey Peninsula,Short Term,050145,2021-01-01,Monterey,053,288.0,45.0,9.0,24.0,0.47,59.0,194.0,0.3,Bay Area
Lompoc Valley Medical Center,Short Term,050110,2021-01-01,Santa Barbara,083,60.0,7.0,4.0,2.0,0.71,9.0,30.0,0.3,Southern California
Kern Valley Healthcare District,Critical Access Hospitals,051314,2021-01-01,Kern,029,10.0,0.0,0.0,0.0,,2.0,7.0,0.29,San Joaquin Valley
Santa Clara Valley Medical Center,Short Term,050038,2021-01-01,Santa Clara,085,394.0,61.0,20.0,13.0,0.79,89.0,303.0,0.29,Bay Area
Kaiser Foundation Hospital - Walnut Creek,Short Term,050072,2021-01-01,Contra Costa,013,204.0,23.0,11.0,1.0,0.96,54.0,185.0,0.29,Bay Area
Sierra Vista Regional Medical Center,Short Term,050506,2021-01-01,San Luis Obispo,079,87.0,17.0,5.0,8.0,0.53,24.0,84.0,0.29,Southern California
Mills-Peninsula Medical Center,Short Term,050007,2021-01-01,San Mateo,081,259.0,24.0,10.0,4.0,0.83,45.0,153.0,0.29,Bay Area
Doctors Medical Center,Short Term,050464,2021-01-01,Stanislaus,099,381.0,44.0,18.0,6.0,0.86,98.0,340.0,0.29,San Joaquin Valley
Los Robles Hospital & Medical Center,Short Term,050549,2021-01-01,Ventura,111,368.0,36.0,19.0,0.0,1.0,75.0,263.0,0.29,Southern California
Mark Twain Medical Center,Critical Access Hospitals,051332,2021-01-01,Calaveras,009,45.0,11.0,1.0,7.0,0.36,4.0,14.0,0.29,San Joaquin Valley
Sutter Davis Hospital,Short Term,050537,2021-01-01,Yolo,113,56.0,6.0,3.0,1.0,0.83,9.0,31.0,0.29,Greater Sacramento
Ronald Reagan U C L A Medical Center,Short Term,050262,2021-01-01,Los Angeles,037,457.0,109.0,41.0,7.0,0.94,110.0,385.0,0.29,Southern California
College Medical Center,Short Term,050776,2021-01-01,Los Angeles,037,235.0,12.0,6.0,0.0,1.0,38.0,129.0,0.29,Southern California
Glenn Medical Center,Critical Access Hospitals,051306,2021-01-01,Glenn,021,47.0,0.0,0.0,0.0,,8.0,28.0,0.29,Northern California
Queen of The Valley Medical Center,Short Term,050009,2021-01-01,Napa,055,200.0,16.0,12.0,0.0,1.0,20.0,72.0,0.28,Bay Area
Mercy San Juan Medical Center,Short Term,050516,2021-01-01,Sacramento,067,332.0,54.0,8.0,7.0,0.87,76.0,272.0,0.28,Greater Sacramento
Anaheim Global Medical Center,Short Term,050744,2021-01-01,Orange,059,189.0,22.0,14.0,6.0,0.73,37.0,131.0,0.28,Southern California
Saint Francis Memorial Hospital,Short Term,050152,2021-01-01,San Francisco,075,98.0,9.0,7.0,2.0,0.78,19.0,70.0,0.27,Bay Area
Mercy Hospital of Folsom,Short Term,050414,2021-01-01,Sacramento,067,106.0,8.0,6.0,1.0,0.88,21.0,78.0,0.27,Greater Sacramento
Sutter Roseville Medical Center,Short Term,050309,2021-01-01,Placer,061,386.0,56.0,10.0,17.0,0.7,82.0,301.0,0.27,Greater Sacramento
Orange County Global Medical Center,Short Term,050746,2021-01-01,Orange,059,425.0,78.0,23.0,10.0,0.87,83.0,304.0,0.27,Southern California
Oroville Hospital,Short Term,050030,2021-01-01,Butte,007,172.0,10.0,3.0,2.0,0.8,30.0,116.0,0.26,Greater Sacramento
Sequoia Hospital,Short Term,050197,2021-01-01,San Mateo,081,123.0,11.0,8.0,0.0,1.0,14.0,54.0,0.26,Bay Area
El Camino Hospital,Short Term,050308,2021-01-01,Santa Clara,085,448.0,32.0,12.0,10.0,0.69,62.0,243.0,0.26,Bay Area
Alta Bates Summit Medical Center - Alta Bates Camp,Short Term,050305,2021-01-01,Alameda,001,403.0,30.0,6.0,15.0,0.5,38.0,144.0,0.26,Bay Area
Twin Cities Community Hospital,Short Term,050633,2021-01-01,San Luis Obispo,079,60.0,10.0,3.0,4.0,0.6,13.0,52.0,0.25,Southern California
Kaiser Foundation Hospital-Santa Rosa,Short Term,050690,2021-01-01,Sonoma,097,134.0,10.0,3.0,1.0,0.9,31.0,122.0,0.25,Bay Area
Modoc Medical Center,Critical Access Hospitals,051330,2021-01-01,Modoc,049,8.0,0.0,0.0,0.0,,2.0,8.0,0.25,Northern California
Good Samaritan Hospital,Short Term,050380,2021-01-01,Santa Clara,085,445.0,37.0,16.0,4.0,0.89,66.0,259.0,0.25,Bay Area
Fairchild Medical Center,Critical Access Hospitals,051316,2021-01-01,Siskiyou,093,25.0,4.0,1.0,1.0,0.75,4.0,17.0,0.24,Northern California
Tahoe Forest Hospital,Critical Access Hospitals,051328,2021-01-01,Nevada,057,25.0,6.0,2.0,2.0,0.67,4.0,17.0,0.24,Greater Sacramento
John Muir Medical Center - Concord Campus,Short Term,050496,2021-01-01,Contra Costa,013,280.0,36.0,14.0,5.0,0.86,44.0,181.0,0.24,Bay Area
Uc San Diego Health Hillcrest - Hillcrest Med Ctr,Short Term,050025,2021-01-01,San Diego,073,836.0,101.0,43.0,8.0,0.92,134.0,564.0,0.24,Southern California
Stanford Health Care,Short Term,050441,2021-01-01,Santa Clara,085,632.0,100.0,37.0,2.0,0.98,127.0,563.0,0.23,Bay Area
Kaiser Foundation Hospital,Short Term,050510,2021-01-01,Marin,041,61.0,7.0,3.0,1.0,0.86,13.0,56.0,0.23,Bay Area
Kern Medical Center,Short Term,050315,2021-01-01,Kern,029,212.0,23.0,13.0,0.0,1.0,34.0,155.0,0.22,San Joaquin Valley
Highland Hospital,Short Term,050320,2021-01-01,Alameda,001,432.0,33.0,12.0,9.0,0.73,38.0,169.0,0.22,Bay Area
Adventist Health Sonora,Short Term,050335,2021-01-01,Tuolumne,109,84.0,6.0,1.0,1.0,0.83,11.0,49.0,0.22,San Joaquin Valley
Enloe Medical Center,Short Term,050039,2021-01-01,Butte,007,255.0,24.0,8.0,5.0,0.79,52.0,245.0,0.21,Greater Sacramento
Adventist Health St Helena,Short Term,050013,2021-01-01,Napa,055,54.0,16.0,5.0,7.0,0.56,9.0,42.0,0.21,Bay Area
Kaiser Foundation Hospital - San Francisco,Short Term,050076,2021-01-01,San Francisco,075,178.0,19.0,7.0,2.0,0.89,32.0,162.0,0.2,Bay Area
Sutter Santa Rosa Regional Hospital,Short Term,050291,2021-01-01,Sonoma,097,96.0,12.0,6.0,0.0,1.0,16.0,83.0,0.19,Bay Area
Mercy General Hospital,Short Term,050017,2021-01-01,Sacramento,067,312.0,46.0,4.0,25.0,0.46,37.0,192.0,0.19,Greater Sacramento
"Sutter Medical Center, Sacramento",Short Term,050108,2021-01-01,Sacramento,067,546.0,60.0,19.0,8.0,0.87,66.0,350.0,0.19,Greater Sacramento
Santa Rosa Memorial Hospital,Short Term,050174,2021-01-01,Sonoma,097,285.0,36.0,10.0,14.0,0.61,46.0,243.0,0.19,Bay Area
Adventist Health Ukiah Valley,Short Term,050301,2021-01-01,Mendocino,045,59.0,7.0,1.0,1.0,0.86,9.0,48.0,0.19,Northern California
Novato Community Hospital,Short Term,050131,2021-01-01,Marin,041,39.0,7.0,1.0,4.0,0.43,5.0,27.0,0.19,Bay Area
Lac/Rancho Los Amigos National Rehabilitation  Ctr,Short Term,050717,2021-01-01,Los Angeles,037,166.0,9.0,4.0,3.0,0.67,27.0,145.0,0.19,Southern California
Petaluma Valley Hospital,Short Term,050136,2021-01-01,Sonoma,097,57.0,4.0,1.0,1.0,0.75,5.0,30.0,0.17,Bay Area
Marinhealth Medical Center,Short Term,050360,2021-01-01,Marin,041,173.0,19.0,2.0,6.0,0.68,21.0,123.0,0.17,Bay Area
Zuckerberg San Francisco General Hosp & Trauma Ctr,Short Term,050228,2021-01-01,San Francisco,075,223.0,40.0,11.0,1.0,0.98,36.0,214.0,0.17,Bay Area
Contra Costa Regional Medical Center,Short Term,050276,2021-01-01,Contra Costa,013,167.0,18.0,10.0,3.0,0.83,20.0,118.0,0.17,Bay Area
University of California Davis Medical Center,Short Term,050599,2021-01-01,Sacramento,067,590.0,84.0,19.0,4.0,0.95,86.0,552.0,0.16,Greater Sacramento
John Muir Medical Center - Walnut Creek Campus,Short Term,050180,2021-01-01,Contra Costa,013,459.0,59.0,14.0,11.0,0.81,50.0,318.0,0.16,Bay Area
Memorial Care Miller Children'S &  Women'S Hosp Lb,Childrens Hospitals,053309,2021-01-01,Los Angeles,037,241.0,0.0,0.0,0.0,,16.0,110.0,0.15,Southern California
Shasta Regional Medical Center,Short Term,050764,2021-01-01,Shasta,089,118.0,16.0,3.0,3.0,0.81,15.0,103.0,0.15,Northern California
Mercy Medical Center Redding,Short Term,050280,2021-01-01,Shasta,089,295.0,33.0,5.0,7.0,0.79,27.0,199.0,0.14,Northern California
Mad River Community Hospital,Short Term,050028,2021-01-01,Humboldt,023,39.0,6.0,1.0,4.0,0.33,3.0,22.0,0.14,Northern California
Colusa Medical Center,Short Term,050783,2021-01-01,Colusa,011,64.0,5.0,0.0,5.0,0.0,5.0,35.0,0.14,Greater Sacramento
St Mary'S Medical Center,Short Term,050457,2021-01-01,San Francisco,075,152.0,13.0,0.0,7.0,0.46,10.0,70.0,0.14,Bay Area
Plumas District Hospital,Critical Access Hospitals,051326,2021-01-01,Plumas,063,16.0,0.0,0.0,0.0,,1.0,7.0,0.14,Greater Sacramento
Sierra Nevada Memorial Hospital,Short Term,050150,2021-01-01,Nevada,057,101.0,5.0,2.0,0.0,1.0,8.0,58.0,0.14,Greater Sacramento
Adventist Health Howard Memorial,Critical Access Hospitals,051310,2021-01-01,Mendocino,045,50.0,4.0,3.0,0.0,1.0,3.0,21.0,0.14,Northern California
Ucsf Medical Center,Short Term,050454,2021-01-01,San Francisco,075,783.0,102.0,21.0,27.0,0.74,78.0,567.0,0.14,Bay Area
Loma Linda University Children'S Hospital,Short Term,050778,2021-01-01,San Bernardino,071,363.0,1.0,1.0,0.0,1.0,29.0,217.0,0.13,Southern California
Kindred Hospital Riverside,Long Term,052052,2021-01-01,Riverside,065,40.0,8.0,0.0,0.0,1.0,5.0,39.0,0.13,Southern California
Alta Bates Summit Medical Center,Short Term,050043,2021-01-01,Alameda,001,296.0,36.0,7.0,14.0,0.61,25.0,191.0,0.13,Bay Area
Children'S Hospital of Orange County,Childrens Hospitals,053304,2021-01-01,Orange,059,334.0,0.0,0.0,0.0,,24.0,180.0,0.13,Southern California
Sonoma Specialty Hospital,Long Term,052057,2021-01-01,Sonoma,097,48.0,5.0,0.0,1.0,0.8,5.0,39.0,0.13,Bay Area
Kindred Hospital -- LA Mirada,Long Term,052038,2021-01-01,Los Angeles,037,197.0,19.0,2.0,4.0,0.79,17.0,140.0,0.12,Southern California
Children'S Hosp of Los Angeles,Childrens Hospitals,053302,2021-01-01,Los Angeles,037,392.0,0.0,0.0,0.0,,36.0,288.0,0.12,Southern California
Chinese Hospital,Short Term,050407,2021-01-01,San Francisco,075,92.0,6.0,3.0,2.0,0.67,5.0,42.0,0.12,Bay Area
California Pacific Medical Center- Van Ness Campus,Short Term,050047,2021-01-01,San Francisco,075,301.0,36.0,4.0,6.0,0.83,23.0,188.0,0.12,Bay Area
John C Fremont Healthcare District,Critical Access Hospitals,051304,2021-01-01,Mariposa,043,19.0,0.0,0.0,0.0,,1.0,8.0,0.12,San Joaquin Valley
Sutter Coast Hospital,Short Term,050417,2021-01-01,Del Norte,015,51.0,6.0,1.0,1.0,0.83,3.0,31.0,0.1,Northern California
Adventist Health Clearlake,Critical Access Hospitals,051317,2021-01-01,Lake,033,37.0,4.0,1.0,0.0,1.0,2.0,21.0,0.1,Northern California
City of Hope Helford Clinical Research Hospital,Short Term,050146,2021-01-01,Los Angeles,037,208.0,18.0,3.0,4.0,0.78,19.0,189.0,0.1,Southern California
Monrovia Memorial Hospital,Long Term,052054,2021-01-01,Los Angeles,037,14.0,4.0,0.0,0.0,1.0,1.0,10.0,0.1,Southern California
Mercy Medical Center Mt Shasta,Critical Access Hospitals,051319,2021-01-01,Siskiyou,093,31.0,4.0,0.0,4.0,0.0,1.0,11.0,0.09,Northern California
Sonoma Valley Hospital,Short Term,050090,2021-01-01,Sonoma,097,44.0,6.0,1.0,3.0,0.5,2.0,26.0,0.08,Bay Area
Valley Children'S Hospital,Childrens Hospitals,053300,2021-01-01,Fresno,019,209.0,3.0,0.0,0.0,1.0,13.0,187.0,0.07,San Joaquin Valley
Rady Children'S Hospital - San Diego,Childrens Hospitals,053303,2021-01-01,San Diego,073,457.0,0.0,0.0,0.0,,15.0,229.0,0.07,Southern California
Central Valley Specialty Hospital,Long Term,052055,2021-01-01,Stanislaus,099,120.0,0.0,0.0,0.0,,5.0,90.0,0.06,San Joaquin Valley
Hoag Orthopedic Institute,Short Term,050769,2021-01-01,Orange,059,35.0,0.0,0.0,0.0,,1.0,16.0,0.06,Southern California
Hi-Desert Medical Center,Short Term,050279,2021-01-01,San Bernardino,071,133.0,4.0,2.0,0.0,1.0,8.0,129.0,0.06,Southern California
Casa Colina Hospital,Short Term,050782,2021-01-01,Los Angeles,037,99.0,6.0,0.0,3.0,0.5,4.0,84.0,0.05,Southern California
College Hospital Costa Mesa,Short Term,050543,2021-01-01,Orange,059,139.0,0.0,0.0,0.0,,5.0,103.0,0.05,Southern California
"Marian Regional Medical Center, Arroyo Grande",Short Term,050016,2021-01-01,San Luis Obispo,079,84.0,6.0,0.0,3.0,0.5,1.0,20.0,0.05,Southern California
St Joseph Hospital,Short Term,050006,2021-01-01,Humboldt,023,182.0,17.0,1.0,8.0,0.53,6.0,117.0,0.05,Northern California
Adventist Health Reedley,Short Term,050192,2021-01-01,Fresno,019,29.0,0.0,0.0,0.0,,1.0,19.0,0.05,San Joaquin Valley
Lucile Salter Packard Children'S Hsp At Stanford,Childrens Hospitals,053305,2021-01-01,Santa Clara,085,341.0,0.0,0.0,0.0,,10.0,254.0,0.04,Bay Area
Kindred Hospital Rancho,Long Term,052049,2021-01-01,San Bernardino,071,55.0,8.0,0.0,0.0,1.0,2.0,54.0,0.04,Southern California
Ucsf Benioff Children'S Hospital Oakland,Childrens Hospitals,053301,2021-01-01,Alameda,001,149.0,0.0,0.0,0.0,,3.0,68.0,0.04,Bay Area
Kindred Hospital Westminster,Long Term,052035,2021-01-01,Orange,059,109.0,16.0,3.0,0.0,1.0,3.0,92.0,0.03,Southern California
Fresno Heart And Surgical Hospital,Short Term,050732,2021-01-01,Fresno,019,57.0,9.0,0.0,2.0,0.78,1.0,42.0,0.02,San Joaquin Valley
Kindred Hospital Baldwin Park,Long Term,052045,2021-01-01,Los Angeles,037,91.0,8.0,0.0,0.0,1.0,1.0,82.0,0.01,Southern California
Vibra Hospital of San Diego,Long Term,052044,2021-01-01,San Diego,073,93.0,5.0,0.0,0.0,1.0,1.0,78.0,0.01,Southern California
Kindred Hospital Paramount,Long Term,052046,2021-01-01,Los Angeles,037,100.0,12.0,0.0,0.0,1.0,1.0,93.0,0.01,Southern California
Kindred Hospital - San Francisco Bay Area,Long Term,052034,2021-01-01,Alameda,001,99.0,10.0,0.0,2.0,0.8,0.0,71.0,0.0,Bay Area
Eastern Plumas Hospital - Portola Campus,Critical Access Hospitals,051300,2021-01-01,Plumas,063,9.0,0.0,0.0,0.0,,0.0,2.0,0.0,Greater Sacramento
Trinity Hospital,Critical Access Hospitals,051315,2021-01-01,Trinity,105,25.0,0.0,0.0,0.0,,0.0,8.0,0.0,Northern California
Healthbridge Children'S Hospital - Orange,Childrens Hospitals,053308,2021-01-01,Orange,059,27.0,0.0,0.0,0.0,,0.0,23.0,0.0,Southern California
Ojai Valley Community Hospital,Critical Access Hospitals,051334,2021-01-01,Ventura,111,18.0,2.0,0.0,2.0,0.0,0.0,9.0,0.0,Southern California
Redwood Memorial Hospital,Critical Access Hospitals,051318,2021-01-01,Humboldt,023,42.0,4.0,0.0,1.0,0.75,0.0,13.0,0.0,Northern California
Palo Verde Hospital,Short Term,050423,2021-01-01,Riverside,065,29.0,0.0,0.0,0.0,,0.0,5.0,0.0,Southern California
Catalina Island Medical Center,Critical Access Hospitals,051307,2021-01-01,Los Angeles,037,12.0,0.0,0.0,0.0,,0.0,5.0,0.0,Southern California
Kindred Hospital Brea,Long Term,052039,2021-01-01,Orange,059,48.0,4.0,0.0,0.0,1.0,0.0,42.0,0.0,Southern California
Shriners Hospitals For Children Northern Calif,Childrens Hospitals,053311,2021-01-01,Sacramento,067,31.0,0.0,0.0,0.0,,0.0,19.0,0.0,Greater Sacramento
Jerold Phelps Community Hospital,Critical Access Hospitals,051309,2021-01-01,Humboldt,023,8.0,0.0,0.0,0.0,,0.0,5.0,0.0,Northern California
Children'S Hospital At Mission,Childrens Hospitals,053306,2021-01-01,Orange,059,57.0,0.0,0.0,0.0,,0.0,12.0,0.0,Southern California
Stanislaus Surgical Hospital,Short Term,050726,2021-01-01,Stanislaus,099,23.0,0.0,0.0,0.0,,0.0,2.0,0.0,San Joaquin Valley
Goleta Valley Cottage Hospital,Short Term,050357,2021-01-01,Santa Barbara,083,20.0,1.0,0.0,0.0,1.0,0.0,9.0,0.0,Southern California
Vibra Hospital of Sacramento,Long Term,052033,2021-01-01,Sacramento,067,58.0,6.0,0.0,1.0,0.83,0.0,51.0,0.0,Greater Sacramento
Mammoth Hospital,Critical Access Hospitals,051303,2021-01-01,Mono,051,17.0,2.0,0.0,2.0,0.0,0.0,6.0,0.0,Southern California
Santa Ynez Valley Cottage Hospital,Critical Access Hospitals,051331,2021-01-01,Santa Barbara,083,11.0,0.0,0.0,0.0,,0.0,3.0,0.0,Southern California
"West Covina Medical Center, Inc",Short Term,050096,2021-01-01,Los Angeles,037,13.0,0.0,0.0,0.0,,0.0,2.0,0.0,Southern California
Sutter Maternity & Surgery Center of Santa Cruz,Short Term,050714,2021-01-01,Santa Cruz,087,28.0,0.0,0.0,0.0,,0.0,12.0,0.0,Bay Area
Patients' Hospital of Redding,Short Term,050697,2021-01-01,Shasta,089,10.0,0.0,0.0,0.0,,0.0,2.0,0.0,Northern California
Vibra Hospital of Northern California,Long Term,052047,2021-01-01,Shasta,089,43.0,0.0,0.0,0.0,,0.0,36.0,0.0,Northern California
Usc Kenneth Norris Jr Cancer Hospital,Short Term,050660,2021-01-01,Los Angeles,037,60.0,2.0,0.0,0.0,1.0,0.0,36.0,0.0,Southern California
Kindred Hospital - Los Angeles,Long Term,052032,2021-01-01,Los Angeles,037,86.0,5.0,0.0,0.0,1.0,0.0,75.0,0.0,Southern California
Kindred Hospital Ontario,Long Term,052037,2021-01-01,San Bernardino,071,91.0,11.0,0.0,5.0,0.55,0.0,74.0,0.0,Southern California
Colorado River Medical Center,Critical Access Hospitals,051323,2021-01-01,San Bernardino,071,25.0,0.0,0.0,0.0,,0.0,4.0,0.0,Southern California
Kentfield Hospital,Long Term,052043,2021-01-01,Marin,041,65.0,0.0,0.0,0.0,,0.0,46.0,0.0,Bay Area
California Pacific Medical Ctr-Davies Campus Hosp,Short Term,050008,2021-01-01,San Francisco,075,95.0,8.0,0.0,0.0,1.0,0.0,59.0,0.0,Bay Area
Mendocino Coast District Hospital,Critical Access Hospitals,051325,2021-01-01,Mendocino,045,19.0,4.0,0.0,3.0,0.25,0.0,14.0,0.0,Northern California
Kindred Hospital - San Diego,Long Term,052036,2021-01-01,San Diego,073,70.0,8.0,0.0,2.0,0.75,0.0,57.0,0.0,Southern California
Laguna Honda Hospital & Rehabilitation Center,Short Term,050668,2021-01-01,San Francisco,075,11.0,0.0,0.0,0.0,,0.0,4.0,0.0,Bay Area
Fresno Surgical Hospital,Short Term,050708,2021-01-01,Fresno,019,14.0,0.0,0.0,0.0,,0.0,7.0,0.0,San Joaquin Valley
Seneca District Hospital,Critical Access Hospitals,051327,2021-01-01,Plumas,063,10.0,0.0,0.0,0.0,,0.0,2.0,0.0,Greater Sacramento
