name,total_population,under_5_years,5_to_9_years,10_to_14_years,15_to_19_years,20_to_24_years,25_to_29_years,30_to_34_years,35_to_39_years,40_to_44_years,45_to_49_years,50_to_54_years,55_to_59_years,60_to_64_years,65_to_69_years,70_to_74_years,75_to_79_years,80_to_84_years,85_years_and_over,est_under_5_years_pct,est_5_to_9_years_pct,est_10_to_14_years_pct,est_15_to_19_years_pct,est_20_to_24_years_pct,est_25_to_29_years_pct,est_30_to_34_years_pct,est_35_to_39_years_pct,est_40_to_44_years_pct,est_45_to_49_years_pct,est_50_to_54_years_pct,est_55_to_59_years_pct,est_60_to_64_years_pct,est_65_to_69_years_pct,est_70_to_74_years_pct,est_75_to_79_years_pct,est_80_to_84_years_pct
Palisades Highlands,3690.0,255.0,198.0,267.0,151.0,85.0,183.0,46.0,200.0,299.0,246.0,190.0,273.0,399.0,305.0,311.0,135.0,59.0,88.0,6.91,5.37,7.24,4.09,2.3,4.96,1.25,5.42,8.1,6.67,5.15,7.4,10.81,8.27,8.43,3.66,1.6
Faircrest Heights,3577.0,257.0,115.0,175.0,203.0,238.0,418.0,411.0,234.0,296.0,231.0,154.0,207.0,148.0,132.0,100.0,97.0,89.0,69.0,7.18,3.21,4.89,5.68,6.65,11.69,11.49,6.54,8.28,6.46,4.31,5.79,4.14,3.69,2.8,2.71,2.49
Reynier Village,3527.0,152.0,142.0,191.0,163.0,151.0,475.0,355.0,361.0,325.0,262.0,178.0,181.0,212.0,180.0,104.0,23.0,17.0,54.0,4.31,4.03,5.42,4.62,4.28,13.47,10.07,10.24,9.21,7.43,5.05,5.13,6.01,5.1,2.95,0.65,0.48
Del Sur,3434.0,215.0,242.0,278.0,258.0,155.0,234.0,223.0,229.0,162.0,187.0,241.0,228.0,293.0,131.0,89.0,100.0,82.0,87.0,6.26,7.05,8.1,7.51,4.51,6.81,6.49,6.67,4.72,5.45,7.02,6.64,8.53,3.81,2.59,2.91,2.39
Pomona,3422.0,50.0,57.0,61.0,2092.0,484.0,118.0,51.0,61.0,71.0,55.0,57.0,48.0,56.0,58.0,28.0,19.0,22.0,35.0,1.46,1.67,1.78,61.13,14.14,3.45,1.49,1.78,2.07,1.61,1.67,1.4,1.64,1.69,0.82,0.56,0.64
Val Verde,3394.0,166.0,255.0,229.0,263.0,249.0,399.0,131.0,190.0,190.0,261.0,247.0,264.0,211.0,136.0,64.0,87.0,32.0,18.0,4.89,7.51,6.75,7.75,7.34,11.76,3.86,5.6,5.6,7.69,7.28,7.78,6.22,4.01,1.89,2.56,0.94
View Heights,3320.0,207.0,116.0,138.0,97.0,167.0,292.0,239.0,223.0,218.0,177.0,229.0,383.0,278.0,134.0,80.0,168.0,77.0,96.0,6.23,3.49,4.16,2.92,5.03,8.8,7.2,6.72,6.57,5.33,6.9,11.54,8.37,4.04,2.41,5.06,2.32
Rancho Dominguez,3159.0,154.0,218.0,215.0,339.0,226.0,185.0,136.0,130.0,235.0,209.0,268.0,223.0,132.0,225.0,164.0,35.0,34.0,30.0,4.87,6.9,6.81,10.73,7.15,5.86,4.31,4.12,7.44,6.62,8.48,7.06,4.18,7.12,5.19,1.11,1.08
Rosewood/West Rancho Dominguez,3147.0,255.0,201.0,253.0,290.0,146.0,249.0,264.0,236.0,132.0,104.0,146.0,274.0,214.0,136.0,111.0,56.0,28.0,52.0,8.1,6.39,8.04,9.22,4.64,7.91,8.39,7.5,4.19,3.3,4.64,8.71,6.8,4.32,3.53,1.78,0.89
Mandeville Canyon,3061.0,184.0,199.0,269.0,178.0,77.0,79.0,159.0,140.0,144.0,288.0,264.0,246.0,129.0,247.0,164.0,134.0,68.0,90.0,6.01,6.5,8.79,5.82,2.52,2.58,5.19,4.57,4.7,9.41,8.62,8.04,4.21,8.07,5.36,4.38,2.22
Avalon,3052.0,105.0,88.0,501.0,193.0,41.0,160.0,209.0,125.0,212.0,156.0,177.0,352.0,292.0,170.0,134.0,74.0,39.0,24.0,3.44,2.88,16.42,6.32,1.34,5.24,6.85,4.1,6.95,5.11,5.8,11.53,9.57,5.57,4.39,2.42,1.28
Sun Village,2964.0,286.0,174.0,257.0,265.0,202.0,235.0,163.0,177.0,124.0,194.0,191.0,248.0,158.0,96.0,82.0,70.0,32.0,10.0,9.65,5.87,8.67,8.94,6.82,7.93,5.5,5.97,4.18,6.55,6.44,8.37,5.33,3.24,2.77,2.36,1.08
Saugus,2940.0,104.0,196.0,181.0,313.0,149.0,251.0,172.0,129.0,154.0,181.0,290.0,222.0,185.0,171.0,100.0,85.0,22.0,34.0,3.54,6.67,6.16,10.65,5.07,8.54,5.85,4.39,5.24,6.16,9.86,7.55,6.29,5.82,3.4,2.89,0.75
Llano,2518.0,119.0,80.0,196.0,96.0,192.0,80.0,68.0,65.0,92.0,246.0,253.0,160.0,210.0,206.0,171.0,112.0,117.0,53.0,4.73,3.18,7.78,3.81,7.63,3.18,2.7,2.58,3.65,9.77,10.05,6.35,8.34,8.18,6.79,4.45,4.65
Harbor Pines,2426.0,136.0,152.0,151.0,138.0,82.0,130.0,144.0,253.0,160.0,152.0,225.0,170.0,132.0,136.0,93.0,51.0,68.0,51.0,5.61,6.27,6.22,5.69,3.38,5.36,5.94,10.43,6.6,6.27,9.27,7.01,5.44,5.61,3.83,2.1,2.8
Hidden Hills,2331.0,81.0,152.0,225.0,157.0,109.0,123.0,118.0,124.0,157.0,218.0,175.0,188.0,161.0,115.0,68.0,56.0,70.0,35.0,3.47,6.52,9.65,6.74,4.68,5.28,5.06,5.32,6.74,9.35,7.51,8.07,6.91,4.93,2.92,2.4,3.0
Anaverde,2330.0,180.0,176.0,173.0,78.0,225.0,192.0,121.0,92.0,126.0,123.0,174.0,214.0,141.0,117.0,82.0,57.0,25.0,35.0,7.73,7.55,7.42,3.35,9.66,8.24,5.19,3.95,5.41,5.28,7.47,9.18,6.05,5.02,3.52,2.45,1.07
West Chatsworth,2286.0,119.0,104.0,161.0,100.0,106.0,101.0,146.0,93.0,84.0,205.0,181.0,216.0,181.0,130.0,139.0,90.0,94.0,37.0,5.21,4.55,7.04,4.37,4.64,4.42,6.39,4.07,3.67,8.97,7.92,9.45,7.92,5.69,6.08,3.94,4.11
Regent Square,2236.0,95.0,68.0,62.0,109.0,125.0,328.0,334.0,112.0,235.0,88.0,125.0,169.0,74.0,107.0,92.0,76.0,32.0,6.0,4.25,3.04,2.77,4.87,5.59,14.67,14.94,5.01,10.51,3.94,5.59,7.56,3.31,4.79,4.11,3.4,1.43
Angeles National Forest,2168.0,19.0,75.0,116.0,63.0,134.0,177.0,185.0,104.0,116.0,242.0,180.0,228.0,172.0,167.0,124.0,37.0,17.0,12.0,0.88,3.46,5.35,2.91,6.18,8.16,8.53,4.8,5.35,11.16,8.3,10.52,7.93,7.7,5.72,1.71,0.78
Angelino Heights,2147.0,91.0,70.0,46.0,72.0,118.0,408.0,317.0,254.0,120.0,117.0,88.0,124.0,120.0,53.0,57.0,60.0,14.0,18.0,4.24,3.26,2.14,3.35,5.5,19.0,14.76,11.83,5.59,5.45,4.1,5.78,5.59,2.47,2.65,2.79,0.65
La Rambla,2072.0,123.0,147.0,129.0,83.0,124.0,201.0,159.0,67.0,106.0,144.0,110.0,68.0,108.0,122.0,139.0,67.0,76.0,100.0,5.94,7.09,6.23,4.01,5.98,9.7,7.67,3.23,5.12,6.95,5.31,3.28,5.21,5.89,6.71,3.23,3.67
San Pasqual,1975.0,126.0,70.0,39.0,114.0,60.0,126.0,120.0,170.0,135.0,117.0,137.0,189.0,176.0,137.0,117.0,72.0,24.0,45.0,6.38,3.54,1.97,5.77,3.04,6.38,6.08,8.61,6.84,5.92,6.94,9.57,8.91,6.94,5.92,3.65,1.22
Marina Peninsula,1929.0,85.0,49.0,31.0,36.0,23.0,155.0,169.0,212.0,118.0,84.0,188.0,132.0,207.0,126.0,92.0,122.0,34.0,66.0,4.41,2.54,1.61,1.87,1.19,8.04,8.76,10.99,6.12,4.35,9.75,6.84,10.73,6.53,4.77,6.32,1.76
Desert View Highlands,1923.0,113.0,169.0,104.0,158.0,112.0,95.0,134.0,86.0,139.0,169.0,183.0,140.0,115.0,52.0,61.0,45.0,29.0,18.0,5.88,8.79,5.41,8.22,5.82,4.94,6.97,4.47,7.23,8.79,9.52,7.28,5.98,2.7,3.17,2.34,1.51
Twin Lakes/Oat Mountain,1893.0,120.0,103.0,108.0,158.0,104.0,203.0,72.0,154.0,139.0,180.0,133.0,111.0,124.0,90.0,33.0,40.0,19.0,4.0,6.34,5.44,5.71,8.35,5.49,10.72,3.8,8.14,7.34,9.51,7.03,5.86,6.55,4.75,1.74,2.11,1.0
Toluca Woods,1836.0,89.0,146.0,82.0,76.0,20.0,157.0,152.0,142.0,99.0,188.0,108.0,104.0,147.0,82.0,69.0,59.0,66.0,48.0,4.85,7.95,4.47,4.14,1.09,8.55,8.28,7.73,5.39,10.24,5.88,5.66,8.01,4.47,3.76,3.21,3.59
Lake Manor,1797.0,91.0,144.0,126.0,68.0,91.0,91.0,99.0,167.0,132.0,73.0,185.0,180.0,98.0,107.0,74.0,28.0,44.0,0.0,5.06,8.01,7.01,3.78,5.06,5.06,5.51,9.29,7.35,4.06,10.29,10.02,5.45,5.95,4.12,1.56,2.45
Placerita Canyon,1758.0,175.0,158.0,109.0,106.0,87.0,88.0,100.0,162.0,158.0,116.0,129.0,112.0,89.0,67.0,36.0,43.0,16.0,6.0,9.95,8.99,6.2,6.03,4.95,5.01,5.69,9.22,8.99,6.6,7.34,6.37,5.06,3.81,2.05,2.45,0.91
Irwindale,1712.0,110.0,107.0,100.0,123.0,139.0,172.0,133.0,90.0,82.0,136.0,122.0,62.0,77.0,111.0,29.0,53.0,33.0,33.0,6.43,6.25,5.84,7.18,8.12,10.05,7.77,5.26,4.79,7.94,7.13,3.62,4.5,6.48,1.69,3.1,1.93
West Antelope Valley,1636.0,67.0,109.0,74.0,74.0,133.0,96.0,89.0,76.0,29.0,172.0,137.0,131.0,72.0,167.0,58.0,32.0,86.0,32.0,4.1,6.66,4.52,4.52,8.13,5.87,5.44,4.65,1.77,10.51,8.37,8.01,4.4,10.21,3.55,1.96,5.26
Playa Del Rey,1636.0,68.0,13.0,50.0,29.0,33.0,146.0,224.0,166.0,102.0,155.0,111.0,92.0,138.0,166.0,79.0,50.0,4.0,8.0,4.16,0.79,3.06,1.77,2.02,8.92,13.69,10.15,6.23,9.47,6.78,5.62,8.44,10.15,4.83,3.06,0.24
West Rancho Dominguez,1632.0,139.0,151.0,123.0,90.0,104.0,125.0,58.0,118.0,73.0,145.0,89.0,79.0,121.0,62.0,44.0,48.0,27.0,35.0,8.52,9.25,7.54,5.51,6.37,7.66,3.55,7.23,4.47,8.88,5.45,4.84,7.41,3.8,2.7,2.94,1.65
San Francisquito Canyon/Bouquet Canyon,1632.0,86.0,115.0,129.0,150.0,86.0,65.0,89.0,98.0,125.0,136.0,203.0,127.0,75.0,50.0,34.0,30.0,16.0,17.0,5.27,7.05,7.9,9.19,5.27,3.98,5.45,6.0,7.66,8.33,12.44,7.78,4.6,3.06,2.08,1.84,0.98
Elizabeth Lake,1630.0,72.0,96.0,92.0,78.0,78.0,116.0,105.0,126.0,54.0,100.0,144.0,132.0,156.0,124.0,89.0,44.0,9.0,16.0,4.42,5.89,5.64,4.79,4.79,7.12,6.44,7.73,3.31,6.13,8.83,8.1,9.57,7.61,5.46,2.7,0.55
Southeast Antelope Valley,1578.0,84.0,168.0,109.0,167.0,70.0,69.0,59.0,155.0,127.0,99.0,64.0,125.0,101.0,67.0,49.0,35.0,21.0,9.0,5.32,10.65,6.91,10.58,4.44,4.37,3.74,9.82,8.05,6.27,4.06,7.92,6.4,4.25,3.11,2.22,1.33
Glendora,1553.0,64.0,76.0,118.0,82.0,101.0,88.0,92.0,104.0,101.0,114.0,107.0,109.0,118.0,103.0,64.0,39.0,29.0,43.0,4.12,4.89,7.6,5.28,6.5,5.67,5.92,6.7,6.5,7.34,6.89,7.02,7.6,6.63,4.12,2.51,1.87
Rolling Hills,1523.0,22.0,53.0,131.0,104.0,69.0,31.0,31.0,27.0,34.0,90.0,154.0,181.0,97.0,128.0,94.0,115.0,92.0,72.0,1.44,3.48,8.6,6.83,4.53,2.04,2.04,1.77,2.23,5.91,10.11,11.88,6.37,8.4,6.17,7.55,6.04
Newhall,1520.0,106.0,111.0,77.0,81.0,125.0,114.0,106.0,74.0,54.0,111.0,118.0,85.0,81.0,97.0,58.0,42.0,38.0,41.0,6.97,7.3,5.07,5.33,8.22,7.5,6.97,4.87,3.55,7.3,7.76,5.59,5.33,6.38,3.82,2.76,2.5
Hawthorne,1328.0,79.0,97.0,102.0,78.0,99.0,127.0,108.0,98.0,114.0,90.0,96.0,58.0,44.0,66.0,44.0,14.0,14.0,0.0,5.95,7.3,7.68,5.87,7.45,9.56,8.13,7.38,8.58,6.78,7.23,4.37,3.31,4.97,3.31,1.05,1.05
South Antelope Valley,1164.0,118.0,79.0,93.0,69.0,57.0,116.0,83.0,32.0,52.0,57.0,101.0,95.0,71.0,51.0,35.0,30.0,20.0,5.0,10.14,6.79,7.99,5.93,4.9,9.97,7.13,2.75,4.47,4.9,8.68,8.16,6.1,4.38,3.01,2.58,1.72
Del Rey,1153.0,109.0,84.0,19.0,23.0,45.0,89.0,171.0,184.0,99.0,86.0,44.0,69.0,30.0,25.0,23.0,13.0,23.0,17.0,9.45,7.29,1.65,1.99,3.9,7.72,14.83,15.96,8.59,7.46,3.82,5.98,2.6,2.17,1.99,1.13,1.99
Rosewood/East Gardena,1149.0,132.0,26.0,72.0,84.0,72.0,45.0,78.0,84.0,78.0,41.0,87.0,82.0,77.0,70.0,66.0,24.0,11.0,18.0,11.49,2.26,6.27,7.31,6.27,3.92,6.79,7.31,6.79,3.57,7.57,7.14,6.7,6.09,5.74,2.09,0.96
West LA,1134.0,16.0,16.0,24.0,18.0,29.0,124.0,66.0,129.0,55.0,76.0,66.0,153.0,155.0,89.0,58.0,29.0,2.0,28.0,1.41,1.41,2.12,1.59,2.56,10.93,5.82,11.38,4.85,6.7,5.82,13.49,13.67,7.85,5.11,2.56,0.18
Bouquet Canyon,1111.0,55.0,68.0,37.0,45.0,41.0,90.0,57.0,104.0,48.0,64.0,124.0,92.0,86.0,116.0,39.0,30.0,15.0,0.0,4.95,6.12,3.33,4.05,3.69,8.1,5.13,9.36,4.32,5.76,11.16,8.28,7.74,10.44,3.51,2.7,1.35
Westfield/Academy Hills,1073.0,60.0,54.0,72.0,55.0,43.0,16.0,48.0,56.0,58.0,92.0,89.0,102.0,91.0,54.0,48.0,42.0,43.0,53.0,5.59,5.03,6.71,5.13,4.01,1.49,4.47,5.22,5.41,8.57,8.29,9.51,8.48,5.03,4.47,3.91,4.01
Sycamore Square,1018.0,60.0,33.0,31.0,23.0,84.0,117.0,70.0,97.0,119.0,145.0,55.0,37.0,42.0,58.0,18.0,17.0,9.0,3.0,5.89,3.24,3.05,2.26,8.25,11.49,6.88,9.53,11.69,14.24,5.4,3.63,4.13,5.7,1.77,1.67,0.88
Valencia,1007.0,80.0,116.0,119.0,72.0,37.0,32.0,48.0,74.0,88.0,113.0,74.0,55.0,28.0,23.0,22.0,14.0,8.0,2.0,7.94,11.52,11.82,7.15,3.67,3.18,4.77,7.35,8.74,11.22,7.35,5.46,2.78,2.28,2.18,1.39,0.79
Littlerock/Juniper Hills,957.0,45.0,31.0,75.0,36.0,73.0,30.0,26.0,25.0,35.0,94.0,96.0,61.0,80.0,78.0,65.0,43.0,45.0,20.0,4.7,3.24,7.84,3.76,7.63,3.13,2.72,2.61,3.66,9.82,10.03,6.37,8.36,8.15,6.79,4.49,4.7
Westhills,956.0,62.0,70.0,67.0,40.0,25.0,37.0,45.0,49.0,85.0,52.0,76.0,116.0,64.0,53.0,30.0,31.0,41.0,16.0,6.49,7.32,7.01,4.18,2.62,3.87,4.71,5.13,8.89,5.44,7.95,12.13,6.69,5.54,3.14,3.24,4.29
Toluca Terrace,939.0,58.0,14.0,28.0,29.0,124.0,86.0,113.0,106.0,65.0,54.0,20.0,53.0,99.0,29.0,31.0,5.0,18.0,7.0,6.18,1.49,2.98,3.09,13.21,9.16,12.03,11.29,6.92,5.75,2.13,5.64,10.54,3.09,3.3,0.53,1.92
Littlerock,938.0,62.0,61.0,84.0,82.0,48.0,75.0,52.0,80.0,45.0,43.0,74.0,33.0,70.0,44.0,9.0,37.0,25.0,14.0,6.61,6.5,8.96,8.74,5.12,8.0,5.54,8.53,4.8,4.58,7.89,3.52,7.46,4.69,0.96,3.94,2.67
Pellissier Village,930.0,47.0,54.0,68.0,64.0,38.0,41.0,55.0,87.0,65.0,77.0,35.0,102.0,51.0,34.0,51.0,18.0,29.0,15.0,5.05,5.81,7.31,6.88,4.09,4.41,5.91,9.35,6.99,8.28,3.76,10.97,5.48,3.66,5.48,1.94,3.12
Lakewood,906.0,45.0,56.0,56.0,59.0,42.0,73.0,92.0,55.0,73.0,81.0,63.0,47.0,44.0,44.0,20.0,23.0,9.0,24.0,4.97,6.18,6.18,6.51,4.64,8.06,10.15,6.07,8.06,8.94,6.95,5.19,4.86,4.86,2.21,2.54,0.99
Brookside,843.0,41.0,9.0,49.0,43.0,25.0,57.0,73.0,114.0,37.0,77.0,69.0,44.0,42.0,31.0,63.0,45.0,18.0,6.0,4.86,1.07,5.81,5.1,2.97,6.76,8.66,13.52,4.39,9.13,8.19,5.22,4.98,3.68,7.47,5.34,2.14
Rosewood,832.0,59.0,54.0,67.0,76.0,40.0,67.0,46.0,64.0,33.0,20.0,69.0,65.0,44.0,51.0,24.0,14.0,8.0,31.0,7.09,6.49,8.05,9.13,4.81,8.05,5.53,7.69,3.97,2.4,8.29,7.81,5.29,6.13,2.88,1.68,0.96
Harbor Gateway,762.0,49.0,61.0,57.0,64.0,48.0,75.0,60.0,73.0,57.0,44.0,40.0,36.0,27.0,21.0,23.0,11.0,7.0,10.0,6.43,8.01,7.48,8.4,6.3,9.84,7.87,9.58,7.48,5.77,5.25,4.72,3.54,2.76,3.02,1.44,0.92
Hi Vista,711.0,43.0,33.0,17.0,68.0,61.0,2.0,21.0,28.0,49.0,26.0,54.0,67.0,53.0,57.0,60.0,35.0,16.0,20.0,6.05,4.64,2.39,9.56,8.58,0.28,2.95,3.94,6.89,3.66,7.59,9.42,7.45,8.02,8.44,4.92,2.25
Roosevelt,691.0,26.0,26.0,51.0,64.0,20.0,50.0,21.0,26.0,51.0,20.0,39.0,50.0,80.0,67.0,38.0,31.0,17.0,13.0,3.76,3.76,7.38,9.26,2.89,7.24,3.04,3.76,7.38,2.89,5.64,7.24,11.58,9.7,5.5,4.49,2.46
East Covina,569.0,10.0,30.0,37.0,33.0,33.0,32.0,46.0,27.0,22.0,26.0,51.0,45.0,49.0,50.0,30.0,24.0,13.0,12.0,1.76,5.27,6.5,5.8,5.8,5.62,8.08,4.75,3.87,4.57,8.96,7.91,8.61,8.79,5.27,4.22,2.28
Sunrise Village,500.0,27.0,18.0,31.0,47.0,37.0,29.0,35.0,33.0,39.0,31.0,38.0,27.0,29.0,21.0,20.0,15.0,13.0,14.0,5.4,3.6,6.2,9.4,7.4,5.8,7.0,6.6,7.8,6.2,7.6,5.4,5.8,4.2,4.0,3.0,2.6
Pearblossom/Llano,452.0,21.0,14.0,35.0,17.0,35.0,14.0,12.0,12.0,17.0,44.0,45.0,29.0,38.0,37.0,31.0,20.0,21.0,10.0,4.65,3.1,7.74,3.76,7.74,3.1,2.65,2.65,3.76,9.73,9.96,6.42,8.41,8.19,6.86,4.42,4.65
Saugus/Canyon Country,393.0,5.0,4.0,14.0,5.0,28.0,15.0,34.0,32.0,0.0,13.0,55.0,69.0,39.0,13.0,18.0,17.0,6.0,24.0,1.27,1.02,3.56,1.27,7.12,3.82,8.65,8.14,0.0,3.31,13.99,17.56,9.92,3.31,4.58,4.33,1.53
La Habra Heights,380.0,35.0,10.0,26.0,8.0,28.0,33.0,21.0,20.0,21.0,17.0,23.0,37.0,23.0,19.0,22.0,12.0,8.0,15.0,9.21,2.63,6.84,2.11,7.37,8.68,5.53,5.26,5.53,4.47,6.05,9.74,6.05,5.0,5.79,3.16,2.11
Vernon,355.0,17.0,19.0,28.0,20.0,26.0,27.0,29.0,22.0,24.0,20.0,27.0,29.0,29.0,13.0,14.0,7.0,1.0,3.0,4.79,5.35,7.89,5.63,7.32,7.61,8.17,6.2,6.76,5.63,7.61,8.17,8.17,3.66,3.94,1.97,0.28
Palos Verdes Peninsula,338.0,19.0,17.0,22.0,17.0,14.0,5.0,15.0,17.0,19.0,29.0,28.0,32.0,29.0,17.0,15.0,13.0,13.0,17.0,5.62,5.03,6.51,5.03,4.14,1.48,4.44,5.03,5.62,8.58,8.28,9.47,8.58,5.03,4.44,3.85,3.85
Bandini Islands,239.0,26.0,25.0,24.0,16.0,15.0,24.0,28.0,19.0,12.0,12.0,5.0,12.0,9.0,3.0,5.0,1.0,0.0,3.0,10.88,10.46,10.04,6.69,6.28,10.04,11.72,7.95,5.02,5.02,2.09,5.02,3.77,1.26,2.09,0.42,0.0
Franklin Canyon,231.0,9.0,12.0,16.0,12.0,7.0,6.0,13.0,13.0,19.0,18.0,18.0,25.0,16.0,10.0,11.0,14.0,3.0,8.0,3.9,5.19,6.93,5.19,3.03,2.6,5.63,5.63,8.23,7.79,7.79,10.82,6.93,4.33,4.76,6.06,1.3
Lake Hughes,215.0,15.0,15.0,19.0,16.0,8.0,12.0,20.0,10.0,19.0,13.0,14.0,21.0,10.0,9.0,3.0,3.0,2.0,6.0,6.98,6.98,8.84,7.44,3.72,5.58,9.3,4.65,8.84,6.05,6.51,9.77,4.65,4.19,1.4,1.4,0.93
Universal City,129.0,7.0,6.0,4.0,1.0,8.0,6.0,7.0,9.0,15.0,8.0,16.0,13.0,12.0,5.0,3.0,4.0,2.0,2.0,5.43,4.65,3.1,0.78,6.2,4.65,5.43,6.98,11.63,6.2,12.4,10.08,9.3,3.88,2.33,3.1,1.55
Sand Canyon,118.0,7.0,8.0,5.0,5.0,6.0,7.0,3.0,6.0,5.0,8.0,9.0,13.0,12.0,7.0,7.0,3.0,3.0,3.0,5.93,6.78,4.24,4.24,5.08,5.93,2.54,5.08,4.24,6.78,7.63,11.02,10.17,5.93,5.93,2.54,2.54
Santa Catalina Island,73.0,0.0,0.0,4.0,7.0,21.0,9.0,3.0,0.0,3.0,3.0,3.0,4.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,5.48,9.59,28.77,12.33,4.11,0.0,4.11,4.11,4.11,5.48,5.48,13.7,1.37,0.0,0.0
San Clemente Island,50.0,0.0,0.0,2.0,5.0,16.0,7.0,2.0,0.0,2.0,2.0,2.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,32.0,14.0,4.0,0.0,4.0,4.0,4.0,4.0,6.0,14.0,0.0,0.0,0.0
East Lancaster,41.0,2.0,2.0,3.0,4.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,5.0,4.0,2.0,2.0,1.0,1.0,4.88,4.88,7.32,9.76,2.44,7.32,2.44,4.88,7.32,2.44,4.88,7.32,12.2,9.76,4.88,4.88,2.44
Bradbury,36.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,4.0,5.56,2.78,5.56,5.56,2.78,5.56,5.56,2.78,2.78,5.56,8.33,5.56,5.56,5.56,8.33,2.78,5.56
Charter Oak,32.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,6.25,3.12,6.25,6.25,6.25,9.38,6.25,3.12,6.25,9.38,6.25,9.38,6.25,6.25,3.12,3.12,3.12
Padua Hills,23.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.35,4.35,8.7,13.04,4.35,4.35,0.0,4.35,4.35,8.7,8.7,8.7,8.7,8.7,4.35,4.35,4.35
South Edwards,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
