FY,Area,Legend,Rate
2019/2020,16817,HIGH SCHOOLS,0.0549
2019/2020,16817,SPECIAL WATER,0.0706
2019/2020,16818,COMMNTY COLLEGE,0.0257
2019/2020,16818,COUNTY,0.0000
2019/2020,16818,ELEM SCHOOLS,0.0510
2019/2020,16818,GENERAL,1.0000
2019/2020,16818,HIGH SCHOOLS,0.0550
2019/2020,16818,METRO WATER DIST,0.0035
2019/2020,16819,COMMNTY COLLEGE,0.0257
2019/2020,16819,COUNTY,0.0000
2019/2020,16819,ELEM SCHOOLS,0.0510
2019/2020,16819,GENERAL,1.0000
2019/2020,16819,HIGH SCHOOLS,0.0550
2019/2020,16819,METRO WATER DIST,0.0035
2019/2020,01682,CITY-HIDDEN HILL,0.0000
2019/2020,01682,COMMNTY COLLEGE,0.0272
2019/2020,01682,COUNTY,0.0000
2019/2020,01682,GENERAL,1.0000
2019/2020,01682,METRO WATER DIST,0.0035
2019/2020,01682,UNIFIED SCHOOLS,0.0756
2019/2020,16820,COMMNTY COLLEGE,0.0072
2019/2020,16820,COUNTY,0.0000
2019/2020,16820,GENERAL,1.0000
2019/2020,16820,METRO WATER DIST,0.0035
2019/2020,16820,UNIFIED SCHOOLS,0.0453
2019/2020,16821,COMMNTY COLLEGE,0.0257
2019/2020,16821,COUNTY,0.0000
2019/2020,16821,ELEM SCHOOLS,0.0843
2019/2020,16821,GENERAL,1.0000
2019/2020,16821,HIGH SCHOOLS,0.0550
2019/2020,16821,METRO WATER DIST,0.0035
2019/2020,16822,COMMNTY COLLEGE,0.0217
2019/2020,16822,COUNTY,0.0000
2019/2020,16822,GENERAL,1.0000
2019/2020,16822,METRO WATER DIST,0.0035
2019/2020,16822,UNIFIED SCHOOLS,0.0869
2019/2020,16823,CITY-LANCASTER,0.0000
2019/2020,16823,COMMNTY COLLEGE,0.0472
2019/2020,16823,COUNTY,0.0000
2019/2020,16823,ELEM SCHOOLS,0.0751
2019/2020,16823,GENERAL,1.0000
2019/2020,16823,HIGH SCHOOLS,0.0219
2019/2020,16823,SPECIAL WATER,0.0705
2019/2020,16824,COMMNTY COLLEGE,0.0257
2019/2020,16824,COUNTY,0.0000
2019/2020,16824,ELEM SCHOOLS,0.0843
2019/2020,16824,GENERAL,1.0000
2019/2020,16824,HIGH SCHOOLS,0.0550
2019/2020,16824,METRO WATER DIST,0.0035
2019/2020,16825,COMMNTY COLLEGE,0.0472
2019/2020,16825,COUNTY,0.0000
2019/2020,16825,ELEM SCHOOLS,0.0751
2019/2020,16825,GENERAL,1.0000
2019/2020,16825,HIGH SCHOOLS,0.0219
2019/2020,16825,SPECIAL WATER,0.0705
2019/2020,16826,COMMNTY COLLEGE,0.0472
2019/2020,16826,COUNTY,0.0000
2019/2020,16826,ELEM SCHOOLS,0.0751
2019/2020,16826,GENERAL,1.0000
2019/2020,16826,HIGH SCHOOLS,0.0219
2019/2020,16826,SPECIAL WATER,0.0705
2019/2020,16827,COMMNTY COLLEGE,0.0478
2019/2020,16827,COUNTY,0.0000
2019/2020,16827,GENERAL,1.0000
2019/2020,16827,METRO WATER DIST,0.0035
2019/2020,16827,UNIFIED SCHOOLS,0.0825
2019/2020,01902,METRO WATER DIST,0.0035
2019/2020,01902,UNIFIED SCHOOLS,0.0543
2019/2020,01903,ARCADIA-2011 G.O,0.0057
2019/2020,01903,COMMNTY COLLEGE,0.0072
2019/2020,01903,COUNTY,0.0000
2019/2020,01903,GENERAL,1.0000
2019/2020,01903,METRO WATER DIST,0.0035
2019/2020,01903,UNIFIED SCHOOLS,0.0543
2019/2020,01904,ARCADIA-2011 G.O,0.0057
2019/2020,01904,COMMNTY COLLEGE,0.0072
2019/2020,01904,COUNTY,0.0000
2019/2020,01904,GENERAL,1.0000
2019/2020,01904,METRO WATER DIST,0.0035
2019/2020,01904,UNIFIED SCHOOLS,0.0543
2019/2020,01905,ARCADIA-2011 G.O,0.0057
2019/2020,01905,COMMNTY COLLEGE,0.0072
2019/2020,01905,COUNTY,0.0000
2019/2020,01905,GENERAL,1.0000
2019/2020,01905,METRO WATER DIST,0.0035
2019/2020,01905,UNIFIED SCHOOLS,0.0543
2019/2020,01906,ARCADIA-2011 G.O,0.0057
2019/2020,01906,COMMNTY COLLEGE,0.0072
2019/2020,01906,COUNTY,0.0000
2019/2020,01906,GENERAL,1.0000
2019/2020,01906,METRO WATER DIST,0.0035
2019/2020,01906,UNIFIED SCHOOLS,0.0543
2019/2020,01908,ARCADIA-2011 G.O,0.0057
2019/2020,01908,COMMNTY COLLEGE,0.0072
2019/2020,01908,COUNTY,0.0000
2019/2020,01908,GENERAL,1.0000
2019/2020,01908,MUNICIPAL WATER,0.0300
2019/2020,01908,UNIFIED SCHOOLS,0.0543
2019/2020,01909,ARCADIA-2011 G.O,0.0057
2019/2020,01909,COMMNTY COLLEGE,0.0072
2019/2020,01909,COUNTY,0.0000
2019/2020,01909,GENERAL,1.0000
2019/2020,01909,METRO WATER DIST,0.0035
2019/2020,01909,UNIFIED SCHOOLS,0.0543
2019/2020,00191,COMMNTY COLLEGE,0.0257
2019/2020,00191,COUNTY,0.0000
2019/2020,00191,ELEM SCHOOLS,0.0658
2019/2020,00191,GENERAL,1.0000
2019/2020,00191,HIGH SCHOOLS,0.0550
2019/2020,00191,METRO WATER DIST,0.0035
2019/2020,01910,ARCADIA-2011 G.O,0.0057
2019/2020,01910,COMMNTY COLLEGE,0.0072
2019/2020,01910,COUNTY,0.0000
2019/2020,01910,GENERAL,1.0000
2019/2020,01910,METRO WATER DIST,0.0035
2019/2020,01910,UNIFIED SCHOOLS,0.0543
2019/2020,01911,ARCADIA-2011 G.O,0.0057
2019/2020,01911,COMMNTY COLLEGE,0.0072
2019/2020,01911,COUNTY,0.0000
2019/2020,01911,GENERAL,1.0000
2019/2020,01911,METRO WATER DIST,0.0035
2019/2020,01911,UNIFIED SCHOOLS,0.0543
2019/2020,01912,ARCADIA-2011 G.O,0.0057
2019/2020,01912,COMMNTY COLLEGE,0.0072
2019/2020,01912,COUNTY,0.0000
2019/2020,01912,GENERAL,1.0000
2019/2020,01912,METRO WATER DIST,0.0035
2019/2020,01912,UNIFIED SCHOOLS,0.0543
2019/2020,01913,ARCADIA-2011 G.O,0.0057
2019/2020,01913,COMMNTY COLLEGE,0.0072
2019/2020,01913,COUNTY,0.0000
2019/2020,01913,GENERAL,1.0000
2019/2020,01913,METRO WATER DIST,0.0035
2019/2020,01913,UNIFIED SCHOOLS,0.0543
2019/2020,01914,ARCADIA-2011 G.O,0.0057
2019/2020,01914,COMMNTY COLLEGE,0.0072
2019/2020,01914,COUNTY,0.0000
2019/2020,01914,GENERAL,1.0000
2019/2020,01914,METRO WATER DIST,0.0035
2019/2020,01914,UNIFIED SCHOOLS,0.0543
2019/2020,01915,ARCADIA-2011 G.O,0.0057
2019/2020,01915,COMMNTY COLLEGE,0.0072
2019/2020,01915,COUNTY,0.0000
2019/2020,01915,GENERAL,1.0000
2019/2020,01915,METRO WATER DIST,0.0035
2019/2020,01915,UNIFIED SCHOOLS,0.0543
2019/2020,01916,ARCADIA-2011 G.O,0.0057
2019/2020,01916,COMMNTY COLLEGE,0.0072
2019/2020,01916,COUNTY,0.0000
2019/2020,01916,GENERAL,1.0000
2019/2020,01916,METRO WATER DIST,0.0035
2019/2020,01916,UNIFIED SCHOOLS,0.0543
2019/2020,01917,ARCADIA-2011 G.O,0.0057
2019/2020,01917,COMMNTY COLLEGE,0.0072
2019/2020,01917,COUNTY,0.0000
2019/2020,01917,GENERAL,1.0000
2019/2020,01917,METRO WATER DIST,0.0035
2019/2020,01917,UNIFIED SCHOOLS,0.0543
2019/2020,01918,ARCADIA-2011 G.O,0.0057
2019/2020,01918,COMMNTY COLLEGE,0.0072
2019/2020,01918,COUNTY,0.0000
2019/2020,01918,GENERAL,1.0000
2019/2020,02113,METRO WATER DIST,0.0035
2019/2020,02113,UNIFIED SCHOOLS,0.1303
2019/2020,02114,CITY-IRWINDALE,0.0000
2019/2020,02114,COMMNTY COLLEGE,0.0478
2019/2020,02114,COUNTY,0.0000
2019/2020,02114,GENERAL,1.0000
2019/2020,02114,METRO WATER DIST,0.0035
2019/2020,02114,UNIFIED SCHOOLS,0.1303
2019/2020,02115,CITY-IRWINDALE,0.0000
2019/2020,02115,COMMNTY COLLEGE,0.0478
2019/2020,02115,COUNTY,0.0000
2019/2020,02115,GENERAL,1.0000
2019/2020,02115,METRO WATER DIST,0.0035
2019/2020,02115,UNIFIED SCHOOLS,0.1303
2019/2020,02116,CITY BALDWIN PK,0.0000
2019/2020,02116,COMMNTY COLLEGE,0.0478
2019/2020,02116,COUNTY,0.0000
2019/2020,02116,GENERAL,1.0000
2019/2020,02116,METRO WATER DIST,0.0035
2019/2020,02116,UNIFIED SCHOOLS,0.1303
2019/2020,02117,CITY-AZUSA,0.0000
2019/2020,02117,COMMNTY COLLEGE,0.0217
2019/2020,02117,COUNTY,0.0000
2019/2020,02117,GENERAL,1.0000
2019/2020,02117,METRO WATER DIST,0.0035
2019/2020,02117,UNIFIED SCHOOLS,0.1142
2019/2020,02118,CITY-IRWINDALE,0.0000
2019/2020,02118,COMMNTY COLLEGE,0.0478
2019/2020,02118,COUNTY,0.0000
2019/2020,02118,GENERAL,1.0000
2019/2020,02118,METRO WATER DIST,0.0035
2019/2020,02118,UNIFIED SCHOOLS,0.1303
2019/2020,02119,CITY-IRWINDALE,0.0000
2019/2020,02119,COMMNTY COLLEGE,0.0478
2019/2020,02119,COUNTY,0.0000
2019/2020,02119,GENERAL,1.0000
2019/2020,02119,METRO WATER DIST,0.0035
2019/2020,02119,UNIFIED SCHOOLS,0.1303
2019/2020,00212,CITY-LOS ANGELES,0.0181
2019/2020,00212,COMMNTY COLLEGE,0.0272
2019/2020,00212,COUNTY,0.0000
2019/2020,00212,GENERAL,1.0000
2019/2020,00212,METRO WATER DIST,0.0035
2019/2020,00212,UNIFIED SCHOOLS,0.1255
2019/2020,02120,CITY BALDWIN PK,0.0000
2019/2020,02120,COMMNTY COLLEGE,0.0478
2019/2020,02120,COUNTY,0.0000
2019/2020,02120,GENERAL,1.0000
2019/2020,02120,METRO WATER DIST,0.0035
2019/2020,02120,UNIFIED SCHOOLS,0.1303
2019/2020,02121,CITY-IRWINDALE,0.0000
2019/2020,02121,COMMNTY COLLEGE,0.0478
2019/2020,02121,COUNTY,0.0000
2019/2020,02121,GENERAL,1.0000
2019/2020,02121,METRO WATER DIST,0.0035
2019/2020,02121,UNIFIED SCHOOLS,0.1303
2019/2020,02122,CITY-IRWINDALE,0.0000
2019/2020,02122,COMMNTY COLLEGE,0.0478
2019/2020,02122,COUNTY,0.0000
2019/2020,02122,GENERAL,1.0000
2019/2020,02122,METRO WATER DIST,0.0035
2019/2020,02122,UNIFIED SCHOOLS,0.1303
2019/2020,02123,CITY-IRWINDALE,0.0000
2019/2020,02123,COMMNTY COLLEGE,0.0478
2019/2020,02123,COUNTY,0.0000
2019/2020,02123,GENERAL,1.0000
2019/2020,02123,METRO WATER DIST,0.0035
2019/2020,02123,UNIFIED SCHOOLS,0.1303
2019/2020,02124,CITY-IRWINDALE,0.0000
2019/2020,02124,COMMNTY COLLEGE,0.0217
2019/2020,02124,COUNTY,0.0000
2019/2020,02124,GENERAL,1.0000
2019/2020,02124,METRO WATER DIST,0.0035
2019/2020,02124,UNIFIED SCHOOLS,0.1142
2019/2020,02125,COMMNTY COLLEGE,0.0217
2019/2020,02125,COUNTY,0.0000
2019/2020,02125,GENERAL,1.0000
2019/2020,02125,METRO WATER DIST,0.0035
2019/2020,02125,UNIFIED SCHOOLS,0.1142
2019/2020,02126,COMMNTY COLLEGE,0.0217
2019/2020,02126,COUNTY,0.0000
2019/2020,02126,GENERAL,1.0000
2019/2020,02126,METRO WATER DIST,0.0035
2019/2020,02126,UNIFIED SCHOOLS,0.1142
2019/2020,02127,CITY-AZUSA,0.0000
2019/2020,02127,COMMNTY COLLEGE,0.0217
2019/2020,02127,COUNTY,0.0000
2019/2020,02127,GENERAL,1.0000
2019/2020,02127,METRO WATER DIST,0.0035
2019/2020,02127,UNIFIED SCHOOLS,0.1142
2019/2020,02128,CITY-AZUSA,0.0000
2019/2020,02128,COMMNTY COLLEGE,0.0217
2019/2020,02128,COUNTY,0.0000
2019/2020,02128,GENERAL,1.0000
2019/2020,02128,METRO WATER DIST,0.0035
2019/2020,02128,UNIFIED SCHOOLS,0.1142
2019/2020,02129,CITY-WEST COVINA,0.0000
2019/2020,02129,COMMNTY COLLEGE,0.0478
2019/2020,02129,COUNTY,0.0000
2019/2020,02341,COMMNTY COLLEGE,0.0217
2019/2020,02341,COUNTY,0.0000
2019/2020,02341,GENERAL,1.0000
2019/2020,02341,METRO WATER DIST,0.0035
2019/2020,02341,UNIFIED SCHOOLS,0.0869
2019/2020,02342,CITY-CLAREMONT,0.0085
2019/2020,02342,COMMNTY COLLEGE,0.0217
2019/2020,02342,COUNTY,0.0000
2019/2020,02342,GENERAL,1.0000
2019/2020,02342,METRO WATER DIST,0.0035
2019/2020,02342,UNIFIED SCHOOLS,0.0869
2019/2020,02343,CITY-CLAREMONT V,0.0085
2019/2020,02343,COMMNTY COLLEGE,0.0217
2019/2020,02343,COUNTY,0.0000
2019/2020,02343,GENERAL,1.0000
2019/2020,02343,METRO WATER DIST,0.0035
2019/2020,02343,UNIFIED SCHOOLS,0.0869
2019/2020,02344,CITY-CLAREMONT,0.0085
2019/2020,02344,COMMNTY COLLEGE,0.0217
2019/2020,02344,COUNTY,0.0000
2019/2020,02344,GENERAL,1.0000
2019/2020,02344,METRO WATER DIST,0.0035
2019/2020,02344,UNIFIED SCHOOLS,0.0869
2019/2020,02345,CITY-CLAREMONT,0.0085
2019/2020,02345,COMMNTY COLLEGE,0.0217
2019/2020,02345,COUNTY,0.0000
2019/2020,02345,GENERAL,1.0000
2019/2020,02345,METRO WATER DIST,0.0035
2019/2020,02345,UNIFIED SCHOOLS,0.0869
2019/2020,02346,CITY-CLAREMONT V,0.0085
2019/2020,02346,COMMNTY COLLEGE,0.0217
2019/2020,02346,COUNTY,0.0000
2019/2020,02346,GENERAL,1.0000
2019/2020,02346,METRO WATER DIST,0.0035
2019/2020,02346,UNIFIED SCHOOLS,0.0869
2019/2020,02347,CITY-CLAREMONT,0.0085
2019/2020,02347,COMMNTY COLLEGE,0.0217
2019/2020,02347,COUNTY,0.0000
2019/2020,02347,GENERAL,1.0000
2019/2020,02347,METRO WATER DIST,0.0035
2019/2020,02347,UNIFIED SCHOOLS,0.0869
2019/2020,02348,CITY-CLAREMONT,0.0085
2019/2020,02348,COMMNTY COLLEGE,0.0217
2019/2020,02348,COUNTY,0.0000
2019/2020,02348,GENERAL,1.0000
2019/2020,02348,METRO WATER DIST,0.0035
2019/2020,02348,UNIFIED SCHOOLS,0.0869
2019/2020,02349,CITY-CLAREMONT,0.0085
2019/2020,02349,COMMNTY COLLEGE,0.0217
2019/2020,02349,COUNTY,0.0000
2019/2020,02349,GENERAL,1.0000
2019/2020,02349,METRO WATER DIST,0.0035
2019/2020,02349,UNIFIED SCHOOLS,0.0869
2019/2020,02350,CITY-BELLFLOWER,0.0000
2019/2020,02350,COMMNTY COLLEGE,0.0445
2019/2020,02350,COUNTY,0.0000
2019/2020,02350,GENERAL,1.0000
2019/2020,02350,METRO WATER DIST,0.0035
2019/2020,02350,UNIFIED SCHOOLS,0.0504
2019/2020,02351,CITY-CLAREMONT V,0.0085
2019/2020,02351,COMMNTY COLLEGE,0.0217
2019/2020,02351,COUNTY,0.0000
2019/2020,02351,GENERAL,1.0000
2019/2020,02351,METRO WATER DIST,0.0035
2019/2020,02351,UNIFIED SCHOOLS,0.0869
2019/2020,02352,CITY-CLAREMONT,0.0085
2019/2020,02352,COMMNTY COLLEGE,0.0217
2019/2020,02352,COUNTY,0.0000
2019/2020,02352,GENERAL,1.0000
2019/2020,02352,METRO WATER DIST,0.0035
2019/2020,02352,UNIFIED SCHOOLS,0.0869
2019/2020,02353,CITY-CLAREMONT,0.0085
2019/2020,02353,COMMNTY COLLEGE,0.0217
2019/2020,02353,COUNTY,0.0000
2019/2020,02353,GENERAL,1.0000
2019/2020,02353,METRO WATER DIST,0.0035
2019/2020,02353,UNIFIED SCHOOLS,0.0869
2019/2020,02354,CITY-CLAREMONT V,0.0085
2019/2020,02354,COMMNTY COLLEGE,0.0217
2019/2020,02354,COUNTY,0.0000
2019/2020,02354,GENERAL,1.0000
2019/2020,02354,METRO WATER DIST,0.0035
2019/2020,02354,UNIFIED SCHOOLS,0.0869
2019/2020,02355,CITY-CLAREMONT,0.0085
2019/2020,02355,COMMNTY COLLEGE,0.0217
2019/2020,02355,COUNTY,0.0000
2019/2020,02355,GENERAL,1.0000
2019/2020,02355,METRO WATER DIST,0.0035
2019/2020,02355,UNIFIED SCHOOLS,0.0869
2019/2020,02356,CITY-LA VERNE TD,0.0000
2019/2020,02356,COMMNTY COLLEGE,0.0217
2019/2020,02356,COUNTY,0.0000
2019/2020,02356,GENERAL,1.0000
2019/2020,02356,METRO WATER DIST,0.0035
2019/2020,02356,UNIFIED SCHOOLS,0.0869
2019/2020,02357,CITY-LA VERNE TD,0.0000
2019/2020,02357,COMMNTY COLLEGE,0.0217
2019/2020,00001,OTHER SERVICES,0.1760
2019/2020,00010,CITY-LOS ANGELES,0.0181
2019/2020,00010,COMMNTY COLLEGE,0.0272
2019/2020,00010,COUNTY,0.0000
2019/2020,00010,GENERAL,1.0000
2019/2020,00010,METRO WATER DIST,0.0035
2019/2020,00010,UNIFIED SCHOOLS,0.1255
2019/2020,00100,CITY CARSON,0.0000
2019/2020,00100,COMMNTY COLLEGE,0.0272
2019/2020,00100,COUNTY,0.0000
2019/2020,00100,GENERAL,1.0000
2019/2020,00100,METRO WATER DIST,0.0035
2019/2020,00100,UNIFIED SCHOOLS,0.1255
2019/2020,01000,CITY-CARSON RP A,0.0000
2019/2020,01000,COMMNTY COLLEGE,0.0272
2019/2020,01000,COUNTY,0.0000
2019/2020,01000,GENERAL,1.0000
2019/2020,01000,METRO WATER DIST,0.0035
2019/2020,01000,UNIFIED SCHOOLS,0.1255
2019/2020,10000,CITY-DIAMOND BAR,0.0000
2019/2020,10000,COMMNTY COLLEGE,0.0478
2019/2020,10000,COUNTY,0.0000
2019/2020,10000,GENERAL,1.0000
2019/2020,10000,METRO WATER DIST,0.0035
2019/2020,10000,UNIFIED SCHOOLS,0.0954
2019/2020,10001,CITY-DIAMOND BAR,0.0000
2019/2020,10001,COMMNTY COLLEGE,0.0478
2019/2020,10001,COUNTY,0.0000
2019/2020,10001,GENERAL,1.0000
2019/2020,10001,METRO WATER DIST,0.0035
2019/2020,10001,UNIFIED SCHOOLS,0.2067
2019/2020,10002,CITY-DIAMOND BAR,0.0000
2019/2020,10002,COMMNTY COLLEGE,0.0478
2019/2020,10002,COUNTY,0.0000
2019/2020,10002,GENERAL,1.0000
2019/2020,10002,METRO WATER DIST,0.0035
2019/2020,10002,UNIFIED SCHOOLS,0.2067
2019/2020,10003,CITY-DIAMOND BAR,0.0000
2019/2020,10003,COMMNTY COLLEGE,0.0478
2019/2020,10003,COUNTY,0.0000
2019/2020,10003,GENERAL,1.0000
2019/2020,10003,METRO WATER DIST,0.0035
2019/2020,10003,UNIFIED SCHOOLS,0.2067
2019/2020,10004,CITY-DIAMOND BAR,0.0000
2019/2020,10004,COMMNTY COLLEGE,0.0478
2019/2020,10004,COUNTY,0.0000
2019/2020,10004,GENERAL,1.0000
2019/2020,10004,METRO WATER DIST,0.0035
2019/2020,10004,UNIFIED SCHOOLS,0.2067
2019/2020,10005,CITY-DIAMOND BAR,0.0000
2019/2020,10005,COMMNTY COLLEGE,0.0478
2019/2020,10005,COUNTY,0.0000
2019/2020,10005,GENERAL,1.0000
2019/2020,10005,METRO WATER DIST,0.0035
2019/2020,10005,UNIFIED SCHOOLS,0.2067
2019/2020,10006,CITY-DIAMOND BAR,0.0000
2019/2020,10006,COMMNTY COLLEGE,0.0478
2019/2020,10006,COUNTY,0.0000
2019/2020,10006,GENERAL,1.0000
2019/2020,10006,METRO WATER DIST,0.0035
2019/2020,10006,UNIFIED SCHOOLS,0.2067
2019/2020,10007,CITY-DIAMOND BAR,0.0000
2019/2020,10007,COMMNTY COLLEGE,0.0478
2019/2020,10007,COUNTY,0.0000
2019/2020,10007,GENERAL,1.0000
2019/2020,10007,METRO WATER DIST,0.0035
2019/2020,10007,UNIFIED SCHOOLS,0.2067
2019/2020,10008,CITY-DIAMOND BAR,0.0000
2019/2020,10008,COMMNTY COLLEGE,0.0478
2019/2020,10008,COUNTY,0.0000
2019/2020,10008,GENERAL,1.0000
2019/2020,10008,METRO WATER DIST,0.0035
2019/2020,10008,UNIFIED SCHOOLS,0.2067
2019/2020,10009,CITY-DIAMOND BAR,0.0000
2019/2020,10009,COMMNTY COLLEGE,0.0478
2019/2020,10009,COUNTY,0.0000
2019/2020,10009,GENERAL,1.0000
2019/2020,10009,METRO WATER DIST,0.0035
2019/2020,10009,UNIFIED SCHOOLS,0.2067
2019/2020,01001,CITY-CARSON,0.0000
2019/2020,01001,COMMNTY COLLEGE,0.0272
2019/2020,01001,COUNTY,0.0000
2019/2020,01001,GENERAL,1.0000
2019/2020,01001,METRO WATER DIST,0.0035
2019/2020,01001,UNIFIED SCHOOLS,0.1255
2019/2020,10010,CITY-DIAMOND BAR,0.0000
2019/2020,10010,COMMNTY COLLEGE,0.0478
2019/2020,10010,COUNTY,0.0000
2019/2020,10010,GENERAL,1.0000
2019/2020,10010,METRO WATER DIST,0.0035
2019/2020,10010,UNIFIED SCHOOLS,0.2067
2019/2020,10011,CITY-DIAMOND BAR,0.0000
2019/2020,10011,COMMNTY COLLEGE,0.0478
2019/2020,10011,COUNTY,0.0000
2019/2020,10011,GENERAL,1.0000
2019/2020,10011,METRO WATER DIST,0.0035
2019/2020,10011,UNIFIED SCHOOLS,0.2067
2019/2020,02559,METRO WATER DIST,0.0035
2019/2020,02559,UNIFIED SCHOOLS,0.0869
2019/2020,00256,COMMNTY COLLEGE,0.0472
2019/2020,00256,COUNTY,0.0000
2019/2020,00256,GENERAL,1.0000
2019/2020,00256,SPECIAL WATER,0.0705
2019/2020,00256,UNIFIED SCHOOLS,0.0402
2019/2020,02560,CITY-CLAREMONT,0.0085
2019/2020,02560,COMMNTY COLLEGE,0.0217
2019/2020,02560,COUNTY,0.0000
2019/2020,02560,GENERAL,1.0000
2019/2020,02560,METRO WATER DIST,0.0035
2019/2020,02560,UNIFIED SCHOOLS,0.0869
2019/2020,02561,CITY-CLAREMONT,0.0085
2019/2020,02561,COMMNTY COLLEGE,0.0217
2019/2020,02561,COUNTY,0.0000
2019/2020,02561,GENERAL,1.0000
2019/2020,02561,METRO WATER DIST,0.0035
2019/2020,02561,UNIFIED SCHOOLS,0.0869
2019/2020,02562,COMMNTY COLLEGE,0.0295
2019/2020,02562,COUNTY,0.0000
2019/2020,02562,ELEM SCHOOLS,0.0071
2019/2020,02562,GENERAL,1.0000
2019/2020,02562,HIGH SCHOOLS,0.0549
2019/2020,02562,SPECIAL WATER,0.0706
2019/2020,02563,CITY-CERRITOS,0.0000
2019/2020,02563,COMMNTY COLLEGE,0.0445
2019/2020,02563,COUNTY,0.0000
2019/2020,02563,GENERAL,1.0000
2019/2020,02563,METRO WATER DIST,0.0035
2019/2020,02563,UNIFIED SCHOOLS,0.0819
2019/2020,02564,CITY-CERRITOS,0.0000
2019/2020,02564,COMMNTY COLLEGE,0.0445
2019/2020,02564,COUNTY,0.0000
2019/2020,02564,GENERAL,1.0000
2019/2020,02564,METRO WATER DIST,0.0035
2019/2020,02564,UNIFIED SCHOOLS,0.0819
2019/2020,02565,CITY-CERRITOS,0.0000
2019/2020,02565,COMMNTY COLLEGE,0.0445
2019/2020,02565,COUNTY,0.0000
2019/2020,02565,GENERAL,1.0000
2019/2020,02565,METRO WATER DIST,0.0035
2019/2020,02565,UNIFIED SCHOOLS,0.0819
2019/2020,02566,CITY-CERRITOS,0.0000
2019/2020,02566,COMMNTY COLLEGE,0.0445
2019/2020,02566,COUNTY,0.0000
2019/2020,02566,GENERAL,1.0000
2019/2020,02566,METRO WATER DIST,0.0035
2019/2020,02566,UNIFIED SCHOOLS,0.0819
2019/2020,02567,CITY-CERRITOS,0.0000
2019/2020,02567,COMMNTY COLLEGE,0.0445
2019/2020,02567,COUNTY,0.0000
2019/2020,02567,GENERAL,1.0000
2019/2020,02567,METRO WATER DIST,0.0035
2019/2020,02567,UNIFIED SCHOOLS,0.0819
2019/2020,02569,CITY-CERRITOS,0.0000
2019/2020,02569,COMMNTY COLLEGE,0.0445
2019/2020,02569,COUNTY,0.0000
2019/2020,02569,GENERAL,1.0000
2019/2020,02569,METRO WATER DIST,0.0035
2019/2020,02569,UNIFIED SCHOOLS,0.0819
2019/2020,02570,CITY-CERRITOS,0.0000
2019/2020,02570,COMMNTY COLLEGE,0.0445
2019/2020,02570,COUNTY,0.0000
2019/2020,02570,GENERAL,1.0000
2019/2020,02570,METRO WATER DIST,0.0035
2019/2020,02570,UNIFIED SCHOOLS,0.0819
2019/2020,02571,CITY-CERRITOS,0.0000
2019/2020,02571,COMMNTY COLLEGE,0.0445
2019/2020,02571,COUNTY,0.0000
2019/2020,02571,GENERAL,1.0000
2019/2020,02571,METRO WATER DIST,0.0035
2019/2020,02571,UNIFIED SCHOOLS,0.0819
2019/2020,02572,CITY-CLAREMONT,0.0085
2019/2020,02572,COMMNTY COLLEGE,0.0217
2019/2020,02572,COUNTY,0.0000
2019/2020,02572,GENERAL,1.0000
2019/2020,02572,METRO WATER DIST,0.0035
2019/2020,02572,UNIFIED SCHOOLS,0.0869
2019/2020,02573,CITY-CERRITOS,0.0000
2019/2020,02573,COMMNTY COLLEGE,0.0445
2019/2020,02573,COUNTY,0.0000
2019/2020,02573,GENERAL,1.0000
2019/2020,02573,METRO WATER DIST,0.0035
2019/2020,02573,UNIFIED SCHOOLS,0.0819
2019/2020,02574,CITY-CERRITOS,0.0000
2019/2020,02574,COMMNTY COLLEGE,0.0445
2019/2020,02574,COUNTY,0.0000
2019/2020,02574,GENERAL,1.0000
2019/2020,02574,METRO WATER DIST,0.0035
2019/2020,02574,UNIFIED SCHOOLS,0.0819
2019/2020,02575,CITY-CERRITOS,0.0000
2019/2020,02575,COMMNTY COLLEGE,0.0445
2019/2020,02575,COUNTY,0.0000
2019/2020,02575,GENERAL,1.0000
2019/2020,02575,METRO WATER DIST,0.0035
2019/2020,02575,UNIFIED SCHOOLS,0.0819
2019/2020,02576,CITY-LA MIRADA,0.0000
2019/2020,02576,COMMNTY COLLEGE,0.0445
2019/2020,02739,GENERAL,1.0000
2019/2020,02739,METRO WATER DIST,0.0035
2019/2020,02739,UNIFIED SCHOOLS,0.0874
2019/2020,02740,CITY-CLAREMONT,0.0085
2019/2020,02740,COMMNTY COLLEGE,0.0217
2019/2020,02740,COUNTY,0.0000
2019/2020,02740,GENERAL,1.0000
2019/2020,02740,METRO WATER DIST,0.0035
2019/2020,02740,UNIFIED SCHOOLS,0.0869
2019/2020,02741,CITY-CLAREMONT,0.0085
2019/2020,02741,COMMNTY COLLEGE,0.0217
2019/2020,02741,COUNTY,0.0000
2019/2020,02741,GENERAL,1.0000
2019/2020,02741,METRO WATER DIST,0.0035
2019/2020,02741,UNIFIED SCHOOLS,0.0869
2019/2020,02742,CITY-LA VERNE TD,0.0000
2019/2020,02742,COMMNTY COLLEGE,0.0217
2019/2020,02742,COUNTY,0.0000
2019/2020,02742,GENERAL,1.0000
2019/2020,02742,METRO WATER DIST,0.0035
2019/2020,02742,UNIFIED SCHOOLS,0.0869
2019/2020,02743,CITY-POMONA,0.0000
2019/2020,02743,COMMNTY COLLEGE,0.0217
