notice_date,effective_date,received_date,company,city,employees,layoff_closure
11/03/2017,02/28/2018,11/13/2017,Actelion,South San,San Mateo County,34,Layoff Permanent
11/07/2017,11/08/2017,11/13/2017,Infinera Corporation,Sunnyvale,Santa Clara,73,Layoff Permanent
11/13/2017,01/30/2018,11/14/2017,"Specialty Commodities, Inc.",Stockton,San Joaquin,63,Closure Permanent
11/14/2017,12/31/2017,11/14/2017,Parker School Uniforms,Sacramento,Sacramento,1,Closure Permanent
11/14/2017,12/31/2017,11/15/2017,Parker School Uniforms,Montrose,Los Angeles,2,Closure Permanent
11/14/2017,12/31/2017,11/15/2017,Parker School Uniforms,San Clemente,Orange County,3,Closure Permanent
11/14/2017,12/31/2017,11/15/2017,Parker School Uniforms,San Diego,San Diego County,3,Closure Permanent
11/15/2017,01/15/2018,11/15/2017,SynerMed,Monterey Park,Los Angeles,566,Layoff Permanent
11/15/2017,01/15/2018,11/15/2017,"Tyson Foods, Inc.",San Diego,San Diego County,17,Layoff Permanent
11/15/2017,01/14/2018,11/16/2017,Oath Inc.,Sunnyvale,Santa Clara,90,Layoff Permanent
11/16/2017,01/15/2018,11/16/2017,"Avanir Pharmaceuticals, Inc.",Aliso Viejo,Orange County,73,Layoff Permanent
11/16/2017,01/15/2018,11/16/2017,SynerMed,San Bernardino,San Bernardino,60,Layoff Permanent
11/17/2015,12/04/2017,11/17/2017,"Citrix Systems, Inc.",Santa Clara,Santa Clara,97,Layoff Permanent
11/16/2017,01/16/2018,11/17/2017,"Dole Food Company, Inc.",Watsonville,Santa Cruz,140,Closure Permanent
11/15/2017,01/15/2018,11/20/2017,L.E. Cooke Co,Visalia,Tulare County,278,Closure Permanent
11/17/2017,01/19/2018,11/20/2017,"Brocade Communications Systems, Inc.",San Jose,Santa Clara,308,Layoff Permanent
11/20/2017,01/20/2018,11/20/2017,Sedgwick LLP,San Francisco,San Francisco,78,Closure Permanent
11/10/2017,12/31/2018,11/21/2017,"Nelson-Miller, Inc.",Los Angeles,Los Angeles,127,Closure Permanent
11/17/2017,11/17/2017,11/21/2017,"Cal Pacific Specialty Foods, LLC (Cal Pacific)",Moss Landing,Monterey County,323,Closure Permanent
11/17/2017,08/02/2018,11/21/2017,"Burleigh Point, Ltd.dba Billabong (Billabong",Irvine,Orange County,50,Closure Permanent
11/20/2017,01/31/2018,11/21/2017,"APS West Coast, Inc.",Oxnard,Ventura County,46,Closure Permanent
11/22/2017,01/21/2018,11/22/2017,"Prysm, Inc.",San Jose,Santa Clara,148,Closure Permanent
11/22/2017,01/15/2018,11/27/2017,Verizon,San Jose,Santa Clara,190,Layoff Permanent
11/16/2017,12/31/2017,11/28/2017,Strategic Medical Ventures,Fountain Valley,Orange County,96,Layoff Permanent
11/16/2017,12/31/2017,11/28/2017,Strategic Medical Ventures,Long Beach,Los Angeles,14,Layoff Permanent
11/16/2017,01/15/2018,11/28/2017,SynerMed,San Bernardino,San Bernardino,60,Layoff Permanent
11/17/2017,01/09/2018,11/28/2017,The Boeing Company,El Segundo,Los Angeles,1,Layoff Permanent
11/17/2017,01/19/2018,11/28/2017,The Boeing Company,Huntington,Orange County,4,Layoff Permanent
11/28/2017,01/29/2018,11/28/2017,"Gateway One Lending &amp; Finance, LLC",Anaheim,Orange County,231,Layoff Permanent
11/28/2017,01/31/2018,11/29/2017,"Macys Corporate Services, Inc.",Redondo Beach,Los Angeles,26,Closure Permanent
11/29/2017,01/29/2018,11/29/2017,"BuzzFeed, Inc.",Los Angeles,Los Angeles,69,Layoff Permanent
11/21/2017,01/29/2018,11/30/2017,Delta Dental of California,Rancho Cordova,Sacramento,51,Layoff Permanent
11/22/2017,12/31/2017,11/30/2017,"Volume Services, Inc. dba Centerplate",San Francisco,San Francisco,1330,Layoff Permanent
11/29/2017,01/29/2018,11/30/2017,"BuzzFeed, Inc.",San Francisco,San Francisco,3,Layoff Permanent
11/07/2017,01/06/2018,12/01/2017,General Electric Company,San Ramon,Contra Costa,158,Layoff Permanent
11/30/2017,02/28/2018,12/01/2017,Boston Scientific Corporation,Valencia,Los Angeles,289,Layoff Permanent
12/01/2017,01/31/2018,12/01/2017,"Crunch, LLC",Redwood City,San Mateo County,48,Closure Permanent
12/01/2017,09/30/2018,12/01/2017,"AMF Support Surfaces, Inc. (dba Tridien",Riverside,Riverside County,72,Closure Permanent
11/29/2017,02/01/2018,12/04/2017,"Autodesk, Inc",San Francisco,San Francisco,108,Layoff Permanent
11/29/2017,02/01/2018,12/04/2017,"Autodesk, Inc.",San Rafael,Marin County,49,Layoff Permanent
11/29/2017,01/17/2018,12/05/2017,Symantec Corporation,Mountain View,Santa Clara,31,Layoff Permanent
11/29/2017,01/17/2018,12/05/2017,Symantec Corporation,San Francisco,San Francisco,2,Layoff Permanent
12/01/2017,01/31/2018,12/05/2017,Kalstar Enterprises,Oxnard,Ventura County,44,Layoff Permanent
11/06/2017,12/08/2017,12/08/2017,"Mattel, Inc.",El Segundo,Los Angeles,70,Layoff Permanent
12/06/2017,02/09/2018,12/08/2017,"Northrop Grumman Corporation, Aerospace",San Diego,San Diego County,51,Layoff Permanent
12/06/2017,02/09/2018,12/08/2017,"Northrop Grumman Corporation, Aerospace",El Segundo,Los Angeles,82,Layoff Permanent
12/07/2017,02/09/2018,12/08/2017,"Dart NeuroScience, LLC",San Diego,San Diego County,265,Closure Permanent
11/29/2017,02/25/2018,12/11/2017,Loma Linda University Medical Center,Loma Linda,San Bernardino,94,Closure Permanent
12/06/2017,02/04/2018,12/12/2017,"Depomed, Inc.",Newark,Alameda County,328,Closure Permanent
12/13/2017,02/12/2018,12/13/2017,"Tyson Foods, Inc.",San Diego,San Diego County,40,Closure Permanent
09/15/2017,11/17/2017,12/18/2017,"RMR Financial, LLC",Los Gatos,Santa Clara,17,Closure Permanent
12/01/2017,02/01/2018,12/19/2017,Alstyle Apparels Anaheim Distribution Center,Anaheim,Orange County,81,Closure Permanent
12/14/2017,02/12/2018,12/19/2017,"Huge, Inc.",Los Angeles,Los Angeles,23,Closure Permanent
12/15/2017,02/18/2018,12/19/2017,"Evolution Hospitality, LLC",San Diego,San Diego County,41,Layoff Temporary
12/18/2017,02/24/2018,12/19/2017,WestRock Converting Companys,Moreno Valley,Riverside County,76,Closure Permanent
12/20/2017,12/17/2017,12/21/2017,"P.F. Changs China Bistro, Inc.",Burbank,Los Angeles,74,Closure Permanent
12/15/2017,02/16/2018,12/26/2017,Boeing Company,El Segundo,Los Angeles,1,Layoff Unknown at this time
12/21/2017,02/23/2018,12/26/2017,Molina Medical Management Inc. (MMM),Compton,Los Angeles,14,Layoff Permanent
12/21/2017,02/23/2018,12/26/2017,Molina Medical Management Inc. (MMM),Moreno Valley,Riverside County,35,Layoff Permanent
12/21/2017,02/23/2018,12/26/2017,Molina Medical Management Inc. (MMM),Sacramento,Sacramento,95,Layoff Permanent
12/21/2017,02/23/2018,12/26/2017,Molina Medical Management Inc. (MMM),Wilmington,Los Angeles,11,Layoff Permanent
12/15/2017,02/16/2018,12/27/2017,Boeing Company,Huntington,Orange County,2,Layoff Unknown at this time
12/26/2017,12/31/2017,12/27/2017,ItsOn Inc.,Redwood City,San Mateo County,68,Closure Permanent
12/21/2017,02/23/2018,12/29/2017,Molina Medical Management Inc. (MMM),Long Beach,Los Angeles,52,Layoff Permanent
12/21/2017,02/23/2018,12/29/2017,Molina Medical Management Inc. (MMM),Ontario,San Bernardino,85,Layoff Permanent
12/28/2017,01/07/2018,12/29/2017,Rubio Arts Corporation,Anaheim,Orange County,5,Layoff Permanent
12/20/2017,02/05/2018,01/02/2018,"CalAtlantic Group, Inc.",Irvine,Orange County,15,Layoff Unknown at this time
12/27/2017,02/28/2018,01/02/2018,"Accountable Healthcare, IPA",Signal Hill,Los Angeles,66,Layoff Permanent
12/29/2017,03/03/2018,01/02/2018,"West RB, LLC ( Bistro West)",Carlsbad,San Diego County,82,Closure Permanent
01/03/2018,03/06/2018,01/05/2018,"Act-On Software, Inc.",Roseville,Placer County,96,Closure Permanent
01/04/2018,01/04/2018,01/05/2018,"GoPro, Inc.",San Mateo,San Mateo County,140,Layoff Permanent
01/04/2018,04/01/2018,01/05/2018,Adventist Health (Hanford),Hanford,Kings County,205,Layoff Permanent
01/04/2018,04/01/2018,01/05/2018,Adventist Health (Reedley and Selma),Reedley,Fresno County,115,Layoff Permanent
01/05/2018,03/05/2018,01/05/2018,Schneider Electric,Clovis,Fresno County,9,Layoff Permanent
01/05/2018,04/01/2018,01/05/2018,Adventist Health St. Helena,Saint Helena,Napa County,200,Layoff Permanent
01/05/2018,01/08/2018,01/08/2018,"Smurfit Kappa North America, LLC",City of Industry,Los Angeles,155,Layoff Permanent
01/04/2018,01/06/2018,01/09/2018,"Aurora Vista Del Mar, LLC (Hospital)",Ventura,Ventura County,194,Layoff Permanent
01/05/2018,12/04/2017,01/09/2018,Creation Technologies,Milpitas,Santa Clara,177,Closure Permanent
01/05/2018,01/05/2018,01/09/2018,"Activision Publishing, Inc. (Activision)",Fresno,Fresno County,50,Closure Permanent
01/05/2018,03/18/2018,01/09/2018,Macys,Laguna Hills,Orange County,111,Closure Permanent
01/05/2018,03/18/2018,01/09/2018,Macys,Los Angeles,Los Angeles,128,Closure Permanent
01/05/2018,03/18/2018,01/09/2018,Macys,San Francisco,San Francisco,197,Closure Permanent
01/05/2018,04/01/2018,01/09/2018,Adventist Health Simi Valley (Adventist Health),Simi Valley,Ventura County,70,Closure Permanent
01/08/2018,03/09/2018,01/09/2018,"Mellanox Technologies Silicon Photonics, Inc.",Monterey Park,Los Angeles,98,Closure Permanent
01/09/2018,03/09/2018,01/09/2018,Lockheed Martin Corporation,Edwards,Kern County,20,Layoff Permanent
01/09/2018,03/09/2018,01/09/2018,Scripps Health Administrative Services,San Diego,San Diego County,69,Layoff Permanent
01/09/2018,03/10/2018,01/09/2018,"Ipsos Interactive Services U.S., LLC (“Ipsos”)",Fresno,Fresno County,88,Closure Permanent
12/08/2017,12/08/2017,01/10/2018,"Dr. Fresh, LLC",Buena Park,Orange County,33,Layoff Permanent
01/04/2018,03/18/2018,01/10/2018,Kmart Corporation,Cudahy,Los Angeles,117,Closure Permanent
01/04/2018,03/18/2018,01/10/2018,Sears Holdings Corporation,San Jose,Santa Clara,76,Closure Permanent
01/04/2018,03/18/2018,01/10/2018,Sears Holdings Corporation,Valencia,Los Angeles,67,Closure Permanent
01/04/2018,04/08/2018,01/10/2018,Kmart Corporation,Redding,Shasta County,72,Closure Permanent
01/04/2018,04/08/2018,01/10/2018,Kmart Corporation (Store #04749),Ontario,San Bernardino,79,Closure Permanent
01/04/2018,04/08/2018,01/10/2018,Sears Holdings Corporation,Brea,Orange County,72,Closure Permanent
01/04/2018,04/08/2018,01/10/2018,Sears Holdings Corporation,Westminster,Orange County,88,Closure Permanent
01/10/2018,03/10/2018,01/10/2018,Xerox Corporation,Cerritos,Los Angeles,47,Layoff Permanent
01/10/2018,03/12/2018,01/10/2018,Gigamon Inc. (&quot;Gigamon&quot;),Santa Clara,Santa Clara,74,Layoff Permanent
01/10/2018,03/19/2018,01/11/2018,Vasquez Company Inc.,Corona,Riverside County,53,Closure Permanent
01/10/2018,04/01/2018,01/11/2018,Adventist Health Glendale,Glendale,Los Angeles,167,Closure Permanent
01/11/2018,03/13/2018,01/11/2018,SynerMed,Monterey Park,Los Angeles,275,Layoff Permanent
01/11/2018,03/16/2018,01/11/2018,Sams Club,Rowland Heights,Los Angeles,158,Closure Permanent
01/11/2018,03/16/2018,01/11/2018,Sams Club (#6623),Sacramento,Sacramento,162,Closure Permanent
01/11/2018,03/16/2018,01/11/2018,Sams Club (#6625),San Fernando,Los Angeles,178,Closure Permanent
01/11/2018,03/16/2018,01/11/2018,Sams Club (#6627),Stanton,Orange County,158,Closure Permanent
01/11/2018,03/16/2018,01/11/2018,Walmart (#5230),Sacramento,Sacramento,359,Closure Permanent
01/05/2018,04/01/2018,01/12/2018,Adventist Health Feather River,Paradise,Butte County,72,Closure Permanent
01/10/2018,03/12/2018,01/12/2018,Marvell Semiconductor,Santa Clara,Santa Clara,1,Layoff Permanent
01/10/2018,03/12/2018,01/12/2018,"VMware, Inc.",Palo Alto,Santa Clara,159,Layoff Permanent
01/12/2018,03/14/2018,01/12/2018,King’s Fish House,Orange,Orange County,80,Closure Temporary
01/12/2018,03/16/2018,01/12/2018,"Allergan, Inc.",Irvine,Orange County,421,Layoff Permanent
01/12/2018,03/23/2018,01/12/2018,Brinderson (Tesoro Martinez Refinery),Martinez,Contra Costa,94,Layoff Permanent
01/12/2018,03/29/2018,01/16/2018,Brinderson,Wilmington,Los Angeles,256,Layoff Permanent
01/16/2018,03/17/2018,01/16/2018,"California Dairies, Inc. (CDI)",Los Banos,Merced County,63,Closure Permanent
01/16/2018,03/30/2018,01/16/2018,Wargaming America Inc,Emeryville,Alameda County,117,Closure Permanent
01/16/2018,02/16/2018,01/17/2018,"Menasha Packaging Company, LLC",Bloomington,San Bernardino,13,Closure Permanent
01/16/2018,03/16/2018,01/17/2018,"Tyson Foods, Inc.",San Diego,San Diego County,79,Layoff Permanent
01/10/2018,04/01/2018,01/19/2018,Adventist Health Corporate,Roseville,Placer County,229,Layoff Permanent
01/19/2018,03/25/2018,01/19/2018,TGI Friday’s,Oxnard,Ventura County,41,Closure Permanent
01/18/2018,03/26/2018,01/23/2018,"ABM Industry Groups, LLC",Bakersfield,Kern County,104,Closure Permanent
01/18/2018,03/26/2018,01/23/2018,"ABM Industry Groups, LLC",Fresno,Fresno County,189,Closure Permanent
01/18/2018,03/26/2018,01/23/2018,"ABM Industry Groups, LLC",Visalia,Tulare County,72,Closure Permanent
01/19/2018,01/19/2018,01/23/2018,"StandardAero Business Aviation Services,",Los Angeles,Los Angeles,63,Closure Permanent
01/22/2018,03/23/2018,01/23/2018,Health Net of California,Woodland Hills,Los Angeles,63,Layoff Permanent
01/15/2018,10/22/2018,01/24/2018,Zodiac Pool Systems LLC,Vista,San Diego County,67,Closure Permanent
01/16/2018,02/16/2018,01/24/2018,"Menasha Packaging Company, LLC",Bloomington,San Bernardino,12,Closure Permanent
01/19/2018,04/01/2018,01/24/2018,Adventist Health Sonora,Sonora,Tuolumne County,135,Layoff Permanent
01/25/2018,03/31/2018,01/26/2018,Dollar Loan Center California LLC,Anaheim,Orange County,6,Layoff Permanent
01/25/2018,03/31/2018,01/26/2018,Dollar Loan Center California LLC,Brea,Orange County,3,Layoff Permanent
01/25/2018,03/31/2018,01/26/2018,Dollar Loan Center California LLC,Long Beach,Los Angeles,2,Layoff Permanent
01/25/2018,03/31/2018,01/26/2018,Dollar Loan Center California LLC,Los Angeles,Los Angeles,9,Layoff Permanent
01/25/2018,03/31/2018,01/26/2018,Dollar Loan Center California LLC,Norco,Riverside County,2,Layoff Permanent
01/25/2018,03/31/2018,01/26/2018,Dollar Loan Center California LLC,Norwalk,Los Angeles,4,Layoff Permanent
01/25/2018,03/31/2018,01/26/2018,Dollar Loan Center California LLC,Ontario,San Bernardino,2,Layoff Permanent
01/25/2018,03/31/2018,01/26/2018,Dollar Loan Center California LLC,Santa Ana,Orange County,2,Layoff Permanent
01/25/2018,03/31/2018,01/26/2018,Dollar Loan Center California LLC,Torrance,Los Angeles,2,Layoff Permanent
01/25/2018,03/31/2018,01/26/2018,Dollar Loan Center California LLC,West Covina,Los Angeles,9,Layoff Permanent
01/25/2018,03/26/2018,01/29/2018,"Montage Hotels and Resorts, LLC",Beverly Hills,Los Angeles,54,Closure Temporary
01/26/2018,04/16/2018,01/30/2018,"Toys R Us- Delaware, Inc.",Emeryville,Alameda County,54,Closure Permanent
01/26/2018,04/16/2018,01/30/2018,"Toys R Us- Delaware, Inc.",San Jose,Santa Clara,59,Closure Permanent
01/29/2018,03/31/2018,01/30/2018,"Absolute Screenprint, Inc.",Brea,Orange County,170,Closure Permanent
01/19/2018,02/16/2018,01/31/2018,Boeing Company,El Segundo,Los Angeles,5,Layoff Unknown at this time
01/19/2018,03/23/2018,01/31/2018,Boeing Company,Huntington,Orange County,3,Layoff Unknown at this time
01/30/2018,03/16/2018,02/01/2018,"Laird Technologies, Inc.",Milpitas,Santa Clara,9,Closure Permanent
01/26/2018,04/01/2018,02/02/2018,"K and R Farms, LP",Salinas,Monterey County,235,Closure Permanent
01/29/2018,04/01/2018,02/02/2018,Adventist Health White Memorial,Los Angeles,Los Angeles,160,Layoff Permanent
01/30/2018,04/01/2018,02/02/2018,"Broadspectrum Downstream Services, Inc",Benicia,Solano County,92,Layoff Permanent
01/31/2018,04/01/2018,02/02/2018,"Compass Group, USA, Inc.",Rancho,San Bernardino,6,Closure Permanent
02/01/2018,03/17/2018,02/02/2018,"Freshly Picked, LLC",Cypress,Orange County,26,Closure Permanent
01/23/2018,02/28/2018,02/05/2018,"Kane Warehousing, Inc.",Oxnard,Ventura County,48,Layoff Permanent
01/29/2018,03/30/2018,02/05/2018,Infiniti of Riverside,Riverside,Riverside County,25,Closure Permanent
01/30/2018,03/30/2018,02/05/2018,Schneider Electric,Clovis,Fresno County,33,Layoff Permanent
02/01/2018,04/06/2018,02/05/2018,Nypro,Porterville,Tulare County,111,Closure Permanent
08/30/2017,11/01/2017,02/06/2018,Jackson National Life Insurance Company,El Segundo,Los Angeles,161,Closure Permanent
02/02/2018,04/06/2018,02/06/2018,Boeing Company,Huntington,Orange County,3,Layoff Permanent
02/05/2018,04/01/2018,02/06/2018,Adventist Health Bakersfield,Bakersfield,Kern County,177,Layoff Permanent
02/05/2018,04/06/2018,02/06/2018,Artistree,City of Industry,Los Angeles,104,Layoff Permanent
02/05/2018,04/06/2018,02/06/2018,Elite Leather Company,Chino,San Bernardino,88,Layoff Permanent
02/06/2018,02/18/2018,02/06/2018,New Seasons Market,Sunnyvale,Santa Clara,101,Closure Permanent
02/06/2018,03/05/2018,02/07/2018,Blue Shield of California,San Francisco,San Francisco,44,Layoff Permanent
01/26/2018,03/27/2018,02/08/2018,ASM Research,Long Beach,Los Angeles,2,Layoff Permanent
02/05/2018,04/06/2018,02/08/2018,"EBuys, Inc., dba Shoe Metro",San Diego,San Diego County,57,Closure Permanent
02/08/2018,04/16/2018,02/09/2018,"The Ritz-Carlton, Lake Tahoe",Truckee,Nevada County,236,Closure Temporary
01/29/2018,05/15/2018,02/12/2018,Littelfuse,Orange,Orange County,54,Layoff Permanent
02/05/2018,03/31/2018,02/12/2018,"Revision Optics, Inc.",Lake Forest,Orange County,40,Layoff Permanent
02/09/2018,02/09/2018,02/12/2018,Irvine Management Company,Irvine,Orange County,80,Layoff Permanent
02/12/2018,04/13/2018,02/12/2018,"Illumina, Inc.",Hayward,Alameda County,1,Layoff Permanent
02/12/2018,04/13/2018,02/13/2018,"Illumina, Inc.",San Diego,San Diego County,55,Layoff Unknown at this time
02/12/2018,04/13/2018,02/13/2018,"Illumina, Inc.",San Francisco,San Francisco,3,Layoff Unknown at this time
02/12/2018,04/13/2018,02/13/2018,"Illumina, Inc.",Santa Clara,Santa Clara,2,Layoff Unknown at this time
02/12/2018,04/16/2018,02/14/2018,"Marvell Semiconducter, Inc.",Santa Clara,Santa Clara,11,Layoff Permanent
02/12/2018,04/16/2018,02/14/2018,"Marvell Semiconductor, Inc.",Aliso Viejo,Orange County,1,Layoff Permanent
02/15/2018,04/15/2018,02/15/2018,"Tyson Foods, Inc.",San Diego,San Diego County,401,Closure Permanent
02/16/2018,04/22/2018,02/16/2018,TGI Fridays,Brea,Orange County,57,Closure Permanent
02/20/2018,04/27/2018,02/21/2018,"NetApp, Inc.",Sunnyvale,Santa Clara,70,Layoff Permanent
02/09/2018,04/15/2018,02/22/2018,Centerplate,Santa Clara,Santa Clara,759,Layoff Permanent
02/13/2018,03/30/2018,02/22/2018,Symantec Corporation,Mountain View,Santa Clara,6,Layoff Permanent
02/13/2018,03/30/2018,02/22/2018,Symantec Corporation,San Francisco,San Francisco,1,Layoff Permanent
02/22/2018,04/22/2018,02/23/2018,CEVA Logistics,Stockton,San Joaquin,11,Closure Permanent
11/07/2017,01/07/2018,02/26/2018,Zodiac Seats California LLC,Rancho,San Bernardino,186,Closure Permanent
02/23/2018,04/29/2018,02/26/2018,"MV Transportation, Inc.",Stockton,San Joaquin,73,Closure Permanent
02/22/2018,04/29/2018,02/28/2018,Sears Holdings Corporation,Redding,Shasta County,7,Closure Permanent
02/22/2018,04/29/2018,02/28/2018,Sears Holdings Corporation,Redding,Shasta County,43,Closure Permanent
02/28/2018,05/01/2018,02/28/2018,"WP Payroll Management, LLC",Los Angeles,Los Angeles,113,Closure Permanent
02/28/2018,04/28/2018,03/01/2018,ARYZTA LLC,Los Angeles,Los Angeles,109,Closure Permanent
03/01/2018,03/15/2018,03/01/2018,Icon Identity Solutions,Rancho,San Bernardino,22,Closure Permanent
03/01/2018,05/01/2018,03/01/2018,"Formation Brands, LLC",Union City,Alameda County,50,Closure Permanent
03/01/2018,05/04/2018,03/01/2018,Pathways Continuous Care dba Pathways,Sunnyvale,Santa Clara,116,Closure Permanent
03/02/2018,01/01/2018,03/02/2018,PPG,Irvine,Orange County,34,Closure Permanent
03/02/2018,02/02/2018,03/02/2018,Flextronics International USA Inc,Alviso,Santa Clara,52,Layoff Permanent
03/01/2018,04/30/2018,03/05/2018,"Tintri, Inc.",Mountain View,Santa Clara,58,Layoff Permanent
03/06/2018,04/30/2018,03/06/2018,"Beachbody, LLC",El Segundo,Los Angeles,20,Layoff Permanent
03/06/2018,04/30/2018,03/06/2018,"Beachbody, LLC",Santa Monica,Los Angeles,70,Layoff Permanent
03/06/2018,04/30/2018,03/07/2018,"Beachbody, LLC",Westlake Village,Ventura County,4,Layoff Permanent
03/07/2018,05/14/2018,03/07/2018,Walkenhorsts,Napa,Napa County,57,Layoff Permanent
02/20/2018,09/30/2018,03/09/2018,Seneca Foods Corporation,Modesto,Stanislaus County,1975,Closure Permanent
03/09/2018,05/11/2018,03/09/2018,"Foothill Distributing Co., Inc.",Redding,Shasta County,95,Closure Permanent
03/08/2018,03/14/2018,03/12/2018,Snap Inc.,Santa Monica,Los Angeles,30,Layoff Permanent
03/08/2018,03/14/2018,03/12/2018,Snap Inc.,Venice,Los Angeles,62,Layoff Unknown at this time
03/15/2018,05/14/2018,03/15/2018,"Toys R Us, Inc.",Rialto,San Bernardino,39,Closure Permanent
03/15/2018,05/25/2018,03/15/2018,"Toys R Us, Inc.",Rialto,San Bernardino,241,Closure Permanent
03/15/2018,05/25/2018,03/15/2018,"Toys R Us, Inc.",Stockton,San Joaquin,88,Closure Permanent
03/15/2018,05/15/2018,03/16/2018,"Sandberg Furniture Manufacturing Co., Inc.",Vernon,Los Angeles,105,Closure Unknown at this time
03/16/2018,03/28/2018,03/16/2018,"H and M International Transportation, Inc.",Commerce,Los Angeles,113,Closure Unknown at this time
03/16/2018,05/18/2018,03/16/2018,"Advanced Call Center Technologies, LLC",North Highlands,Sacramento,51,Closure Permanent
12/18/2017,02/23/2018,03/19/2018,"Nestle Regional Globe Office North America,",Glendale,Los Angeles,85,Layoff Permanent
12/18/2017,02/23/2018,03/19/2018,"Nestle USA, Inc. (NUSA)",Oakland,Alameda County,4,Closure Permanent
03/20/2018,05/25/2018,03/20/2018,"Johanson Dielectrics, Inc.",Sylmar,Los Angeles,197,Layoff Permanent
03/19/2018,04/25/2018,03/21/2018,Symantec Corporation,Mountain View,Santa Clara,18,Layoff Permanent
03/19/2018,04/25/2018,03/21/2018,Symantec Corporation,San Francisco,San Francisco,1,Layoff Permanent
03/21/2018,05/22/2018,03/21/2018,General Electric Company,San Ramon,Contra Costa,120,Layoff Permanent
03/21/2018,05/23/2018,03/21/2018,Boyd Coffee Company,San Diego,San Diego County,3,Closure Permanent
03/19/2018,06/02/2018,03/22/2018,Raleys,Windsor,Sonoma County,63,Closure Temporary
03/21/2018,05/25/2018,03/22/2018,Gayle Manufacturing Company,Woodland,Yolo County,76,Closure Permanent
03/22/2018,05/22/2018,03/22/2018,Claim Jumper,Temecula,Riverside County,77,Closure Permanent
03/12/2018,05/18/2018,03/23/2018,Jonathan Louis International Ltd.,Gardena,Los Angeles,100,Closure Permanent
03/26/2018,06/01/2018,03/26/2018,iQor Holdings US LLC,Simi Valley,Ventura County,129,Layoff Permanent
03/22/2018,05/22/2018,03/27/2018,"Allied Business Schools, Inc.",Laguna Hills,Orange County,71,Layoff Permanent
03/26/2018,05/28/2018,03/28/2018,Adventist health Tehachapi Valley,Tehachapi,Kern County,1,Layoff Permanent
03/26/2018,05/29/2018,03/29/2018,"The Cheesecake Factory Restaurants, Inc.",Palo Alto,Santa Clara,140,Closure Permanent
03/26/2018,05/30/2018,03/30/2018,"Zone Enterprises of Anaheim, LLC",Anaheim,Orange County,216,Closure Permanent
03/26/2018,07/14/2018,03/30/2018,"C and D Zodiac, inc.",Garden Grove,Orange County,46,Closure Permanent
03/30/2018,05/31/2018,03/30/2018,"Compass Group USA, Inc. dba Chartwells",Berkeley,Alameda County,45,Closure Permanent
03/30/2018,06/01/2018,03/30/2018,"FAA San Bruno. Inc., dba Melody Toyota",San Bruno,San Mateo County,52,Closure Permanent
03/22/2018,05/25/2018,04/02/2018,"KnuEdge, Inc.",San Diego,San Diego County,30,Closure Permanent
03/26/2018,05/28/2018,04/02/2018,"San Diego Gaming Ventures, LLC",Jamul,San Diego County,650,Layoff Permanent
03/27/2018,05/31/2018,04/02/2018,Marys Gone Crackers,Gridley,Butte County,137,Closure Permanent
03/28/2018,05/29/2018,04/02/2018,"C and D Zodiac, Inc.-Garden Grove",Garden Grove,Orange County,21,Layoff Permanent
03/28/2018,05/31/2018,04/02/2018,Roman Catholic Welfare Corporation of,Richmond,Contra Costa,128,Closure Permanent
03/28/2018,06/09/2018,04/02/2018,Roman Catholic Welfare Corporation of,Oakland,Alameda County,39,Closure Permanent
03/28/2018,06/16/2018,04/02/2018,Roman Catholic Welfare Corporation of,Oakland,Alameda County,17,Closure Permanent
03/29/2018,04/02/2018,04/02/2018,"Snap, Inc.",Venice,Los Angeles,35,Layoff Permanent
03/30/2018,05/31/2018,04/02/2018,"Pacific South Farms, Ltd.",Carpinteria,Santa Barbara,16,Closure Permanent
03/30/2018,06/08/2018,04/02/2018,Walmart,Simi Valley,Ventura County,130,Closure Permanent
04/02/2018,07/03/2018,04/02/2018,Community Medical Center Long Beach,Long Beach,Los Angeles,353,Closure Permanent
03/29/2018,04/02/2018,04/03/2018,Snap Inc.,Santa Monica,Los Angeles,26,Layoff Permanent
03/12/2018,06/04/2018,04/04/2018,DHL Supply Chain,Moreno Valley,Riverside County,136,Closure Permanent
04/04/2018,06/03/2018,04/04/2018,"Kraco Enterprises, LLC",Compton,Los Angeles,83,Layoff Permanent
04/02/2018,06/01/2018,04/06/2018,Workrite Uniform Company,Oxnard,Ventura County,101,Closure Permanent
04/06/2018,06/30/2018,04/06/2018,"Kizan International, Inc.",Brisbane,San Mateo County,60,Layoff Permanent
04/06/2018,07/01/2018,04/06/2018,"COMP Management, Inc.",Moreno Valley,Riverside County,4,Closure Permanent
04/03/2018,06/01/2018,04/09/2018,"Total Airport Services, LLC",Los Angeles,Los Angeles,100,Closure Permanent
04/11/2018,06/15/2018,04/11/2018,"Hecny Transportation, Inc.",Brisbane,San Mateo County,2,Closure Permanent
04/11/2018,06/15/2018,04/13/2018,"Four Seasons General Merchandise, Inc.",Los Angeles,Los Angeles,150,Closure Permanent
04/12/2018,04/12/2018,04/13/2018,"Esterline Power Systems, Leach International",Buena Park,Orange County,46,Layoff Permanent
02/06/2018,06/01/2018,04/16/2018,"Gateway One Lending and Finance, LLC",Anaheim,Orange County,30,Layoff Permanent
04/12/2018,03/20/2018,04/16/2018,Molina Healthcare of California and Molina,Long Beach,Los Angeles,75,Layoff Permanent
