Notice Date,"Effective
Date","Received
Date",Company,City,"No. Of
Employees",Layoff/Closure
11/25/2015,12/07/2015,12/01/2015,"Brinderson, L.P.",Tupman,88,Closure Permanent
11/30/2015,12/04/2015,12/02/2015,Symantec Corporation,Mountain View,44,Layoff Permanent
12/02/2015,01/31/2016,12/02/2015,United Technologies Corporation,San Diego,31,Closure Permanent
12/02/2015,02/01/2016,12/02/2015,CommScope,San Jose,90,Closure Permanent
11/25/2015,01/24/2016,12/04/2015,"P.F. Chang's China Bistro, Inc.",Los Angeles,86,Closure Permanent
12/03/2015,02/05/2016,12/04/2015,"Schneider National Carriers, Inc.",Fontana,65,Closure Permanent
12/03/2015,02/05/2016,12/04/2015,"Schneider National Carriers, Inc.",South El Monte,10,Layoff Unknown at this time
12/04/2015,02/02/2016,12/04/2015,Volcano Corporation,Rancho Cordova,60,Layoff Permanent
11/30/2015,11/30/2015,12/07/2015,"Santa Fe Distributing, LLC",Elk Grove,21,Closure Permanent
11/30/2015,11/30/2015,12/07/2015,"Santa Fe Distributing, LLC",Hayward,21,Closure Permanent
11/30/2015,11/30/2015,12/07/2015,"Santa Fe Distributing, LLC",Walnut,21,Closure Permanent
12/01/2015,02/01/2016,12/07/2015,Cedars-Sinai Medical Center,Los Angeles,57,Layoff Permanent
12/02/2015,02/01/2016,12/07/2015,ITT Corporation,Perris,18,Closure Permanent
12/02/2015,02/02/2016,12/07/2015,"C&J Well Services, Inc.",Bakersfield,161,Layoff Permanent
12/03/2015,02/03/2016,12/07/2015,"KVS Transportation, Inc.",Bakersfield,111,Layoff Permanent
12/04/2015,02/05/2016,12/07/2015,"The Wet Seal, LLC",Foothill Ranch,20,Layoff Permanent
12/07/2015,02/08/2016,12/07/2015,"Marvell Semiconductor, Inc.",Santa Clara,13,Layoff Permanent
12/07/2015,02/13/2016,12/07/2015,Sony Mobile Communications (USA) Inc.,San Mateo,80,Layoff Permanent
12/07/2015,12/07/2015,12/08/2015,Abbott Vascular,Redwood City,144,Closure Permanent
12/04/2015,02/09/2016,12/09/2015,El Dorado Hotel and Kitchen,Sonoma,113,Closure Temporary
12/08/2015,02/08/2016,12/09/2015,"SunEdison, Inc.",Belmont,6,Layoff Permanent
12/08/2015,02/08/2016,12/09/2015,"SunEdison, Inc.",San Mateo,14,Layoff Permanent
11/12/2015,01/09/2016,12/10/2015,abercrombie kids,Milpitas,41,Closure Permanent
11/17/2015,01/18/2016,12/10/2015,"Citrix Systems, Inc.",Santa Clara,54,Layoff Permanent
12/07/2015,12/07/2015,12/10/2015,"Anemostat, Inc.",Carson,89,Layoff Permanent
12/10/2015,02/05/2016,12/10/2015,Alta Resources,Brea,121,Layoff Permanent
12/10/2015,02/08/2016,12/10/2015,"Bridgepoint Education, Inc.",San Diego,6,Layoff Permanent
12/11/2015,01/11/2016,12/11/2015,PPG Industries,Fresno,45,Closure Temporary
12/11/2015,04/01/2016,12/11/2015,"Suchman, LLC",Camarillo,16,Closure Permanent
12/11/2015,04/01/2016,12/11/2015,"Suchman, LLC",Folsom,20,Closure Permanent
12/11/2015,04/01/2016,12/11/2015,"Suchman, LLC",Fresno,22,Layoff Permanent
12/11/2015,04/01/2016,12/11/2015,"Suchman, LLC",Gilroy,25,Closure Permanent
12/11/2015,04/01/2016,12/11/2015,"Suchman, LLC",Milpitas,18,Closure Permanent
12/11/2015,04/01/2016,12/11/2015,"Suchman, LLC",Modesto,21,Closure Permanent
12/11/2015,04/01/2016,12/11/2015,"Suchman, LLC",Ontario,32,Closure Permanent
12/11/2015,04/01/2016,12/11/2015,"Suchman, LLC",Tulare,29,Closure Permanent
12/11/2015,04/01/2016,12/11/2015,"Suchman, LLC",Vacaville,21,Closure Permanent
12/03/2015,02/19/2016,12/14/2015,Morrison Healthcare,Chico,87,Closure Permanent
12/08/2015,02/06/2016,12/14/2015,"RSM Automotive, LLC, dba Santa",Rancho Santa,77,Layoff Permanent
12/10/2015,02/08/2016,12/14/2015,MCC BB Property,Santa Barbara,44,Layoff Permanent
12/14/2015,02/12/2016,12/14/2015,"Safeway, Inc.",Pleasanton,33,Layoff Unknown at this time
12/08/2015,12/15/2015,12/15/2015,"Halliburton Energy Services, Inc.",Bakersfield,16,Layoff Permanent
12/09/2015,02/12/2016,12/15/2015,"Hudsloan Enterprises, Inc.",Los Angeles,265,Closure Permanent
12/11/2015,02/10/2016,12/16/2015,"Oakley, Inc.",Foothill Ranch,76,Layoff Unknown at this time
12/15/2015,02/14/2016,12/16/2015,"Le Cordon Bleu North America, LLC",Pasadena,126,Closure Permanent
12/11/2015,02/15/2016,12/17/2015,Parker Hannifin Corporation,Fontana,69,Closure Unknown at this time
12/16/2015,12/14/2015,12/18/2015,BAE SYSTEMS,San Francisco,2,Layoff Temporary
12/16/2015,12/14/2015,12/18/2015,BAE SYSTEMS,San Francisco,61,Layoff Temporary
12/18/2015,02/25/2016,12/18/2015,"Gerawan Farming, Inc.",Kerman,2551,Closure Permanent
12/14/2015,02/12/2016,12/22/2015,"Safeway, Inc.",Pleasanton,33,Layoff Unknown at this time
12/17/2015,03/01/2016,12/23/2015,Hyatt Regency Century Plaza,Los Angeles,796,Closure Permanent
12/18/2015,02/19/2016,12/23/2015,Boeing Company,El Segundo,35,Layoff Unknown at this time
12/18/2015,02/19/2016,12/23/2015,Boeing Company,Huntington Beach,35,Layoff Unknown at this time
12/18/2015,02/19/2016,12/23/2015,Boeing Company,Long Beach,9,Layoff Unknown at this time
12/24/2015,02/29/2016,12/24/2015,TGI Friday's,Carlsbad,45,Closure Permanent
12/22/2015,02/21/2016,12/28/2015,Brake Parts Inc.,Chowchilla,43,Layoff Permanent
12/22/2015,02/22/2016,12/28/2015,AT&T,San Ramon,102,Layoff Permanent
12/22/2015,02/26/2016,12/28/2015,"Baida C. Brewer, Inc.",Irvine,193,Closure Permanent
12/22/2015,02/29/2016,12/28/2015,"DNC Parks & Resorts at Yosemite, Inc.",Yosemite National,1718,Closure Permanent
12/30/2015,02/29/2016,12/30/2015,"DuPont Displays, Inc.",Santa Barbara,41,Closure Permanent
12/30/2015,03/04/2016,12/30/2015,Parker Hannifin Corporation,Anaheim,197,Closure Unknown at this time
01/04/2016,01/12/2016,01/04/2016,Walnut Creek Pyramid Alehouse,Walnut Creek,49,Closure Unknown at this time
12/24/2015,01/04/2016,01/05/2016,"A-List, Inc. & H-List Inc. dba Kitson",Arcadia,18,Closure Permanent
12/24/2015,01/04/2016,01/05/2016,"A-List, Inc. & H-List Inc. dba Kitson",Camarillo,13,Closure Permanent
12/24/2015,01/04/2016,01/05/2016,"A-List, Inc. & H-List Inc. dba Kitson",Malibu,54,Closure Permanent
12/24/2015,01/04/2016,01/05/2016,"A-List, Inc. & H-List Inc. dba Kitson",Newport Beach,15,Closure Permanent
12/24/2015,01/04/2016,01/05/2016,"A-List, Inc. & H-List Inc. dba Kitson",San Diego,21,Closure Permanent
12/24/2015,01/04/2016,01/05/2016,"A-List, Inc. & H-List Inc. dba Kitson",Santa Barbara,9,Closure Permanent
12/24/2015,01/04/2016,01/05/2016,"A-List, Inc. & H-List Inc. dba Kitson",West Hollywood,58,Closure Permanent
01/04/2016,03/09/2016,01/07/2016,Adecco Group NA,Palo Alto,108,Closure Permanent
01/06/2016,03/14/2016,01/07/2016,Macy's Country Club Plaza Store,Sacramento,111,Closure Permanent
01/06/2016,03/14/2016,01/07/2016,Macy's Irvine Spectrum Store,Irvine,112,Closure Permanent
01/04/2016,03/05/2016,01/11/2016,Thomson Licensing LLC,Burbank,7,Closure Unknown at this time
01/05/2016,03/07/2016,01/11/2016,AT&T,San Ramon,2,Layoff Permanent
01/11/2016,03/11/2016,01/12/2016,Safeway Inc.,Pleasanton,7,Layoff Unknown at this time
01/12/2016,02/29/2016,01/12/2016,"Molina Hospital Management, Inc.",Long Beach,385,Layoff Permanent
01/08/2016,03/31/2016,01/13/2016,"Zodiac Pool Systems, Inc.",Vista,52,Closure Permanent
01/13/2016,01/15/2016,01/13/2016,"GoPro, Inc.",San Mateo,77,Layoff Permanent
01/14/2016,03/15/2016,01/14/2016,Qualcomm Incorporated,San Diego,32,Layoff Unknown at this time
01/14/2016,03/18/2016,01/14/2016,"ConAgra Foods, Inc.",Helm,102,Closure Permanent
12/31/2015,04/29/2015,01/14/2016,"El Dorado Berry Farms, LLC",Santa Maria,654,Layoff Permanent
12/31/2015,06/24/2015,01/14/2016,"Superior Farming, LLC",Santa Maria,225,Layoff Permanent
01/15/2016,03/01/2016,01/15/2016,"HD Supply Management, Inc.",San Diego,97,Layoff Permanent
01/15/2016,04/15/2016,01/15/2016,Walmart,Altadena,79,Closure Permanent
01/15/2016,04/15/2016,01/15/2016,Walmart,Bell Gardens,85,Closure Permanent
01/15/2016,04/15/2016,01/15/2016,Walmart,Hawaiian Gardens,77,Closure Permanent
01/15/2016,04/15/2016,01/15/2016,Walmart,Long Beach,295,Closure Permanent
01/15/2016,04/15/2016,01/15/2016,Walmart,Los Angeles,96,Closure Permanent
01/15/2016,04/15/2016,01/15/2016,Walmart,Los Angeles,324,Closure Permanent
01/15/2016,04/15/2016,01/15/2016,Walmart,Oakland,397,Closure Permanent
01/15/2016,04/15/2016,01/15/2016,Walmart,San Bernardino,89,Closure Permanent
01/15/2016,04/15/2016,01/15/2016,Walmart,San Jose,210,Closure Permanent
12/31/2015,07/10/2015,01/15/2016,"MAC Berry Farms, LLC",Camarillo,90,Layoff Permanent
01/12/2016,04/10/2016,01/19/2016,"Sears, Roebuck and Co.",San Mateo,110,Closure Permanent
01/13/2016,04/30/2016,01/19/2016,"Al Jazeera America, LLC",Culver City,19,Closure Permanent
01/13/2016,04/30/2016,01/19/2016,"Al Jazeera America, LLC",Los Angeles,6,Closure Permanent
01/13/2016,04/30/2016,01/19/2016,"Al Jazeera America, LLC",San Francisco,25,Closure Permanent
01/15/2016,03/15/2016,01/19/2016,"Brice Manufacturing Company, Inc.",Pacoima,1,Layoff Permanent
01/19/2016,03/21/2016,01/19/2016,Georgia-Pacific Corrugated LLC,Buena Park,148,Closure Permanent
01/06/2016,03/07/2016,01/20/2016,"Citrix Systems, Inc.",Santa Clara,65,Layoff Permanent
01/19/2016,03/19/2016,01/20/2016,Outer Harbor Terminal LLC,Oakland,59,Closure Permanent
01/19/2016,03/20/2016,01/20/2016,Destination Geary Street Management,San Francisco,58,Layoff Permanent
01/20/2016,03/20/2016,01/20/2016,Microsoft Corporation,San Diego,2,Closure Permanent
01/19/2016,01/20/2016,01/21/2016,"Cisco Systems, Inc.",San Jose,123,Layoff Permanent
01/18/2016,03/18/2016,01/22/2016,"Coastal Green Vegetable Company, LLC",Oxnard,88,Closure Permanent
01/19/2016,03/21/2016,01/22/2016,"Pathology, Inc.",Torrance,388,Layoff Permanent
01/20/2016,12/23/2015,01/22/2016,Highland Metals Inc. and EZFuture Inc.,San Jose,17,Closure Permanent
01/21/2016,01/21/2016,01/22/2016,"Centrally Grown, Inc.",Cambria,16,Closure Unknown at this time
01/19/2016,03/19/2016,01/25/2016,F&E Aircraft Maintenance DBA FEAM,Los Angeles,25,Layoff Permanent
01/20/2016,01/20/2016,01/25/2016,Sage North America,Irvine,67,Layoff Permanent
01/25/2016,03/25/2016,01/25/2016,Allianz Global Risks US Insurance,Petaluma,38,Layoff Permanent
01/25/2016,03/31/2016,01/25/2016,EXP Pharmaceutical Services Corp.,Fremont,111,Closure Permanent
01/12/2016,03/13/2016,01/26/2016,Kmart,Anaheim,107,Closure Permanent
01/12/2016,03/13/2016,01/26/2016,Kmart,Chula Vista,103,Closure Permanent
01/12/2016,04/03/2016,01/26/2016,Kmart,Citrus Heights,86,Closure Permanent
01/22/2016,03/25/2016,01/26/2016,Boeing Company,El Segundo,6,Layoff Unknown at this time
01/22/2016,03/25/2016,01/26/2016,Boeing Company,Huntington Beach,15,Layoff Unknown at this time
01/22/2016,03/25/2016,01/26/2016,Boeing Company,Long Beach,11,Layoff Unknown at this time
01/25/2016,03/25/2016,01/26/2016,Sierra Pacific Industries,Areata,125,Closure Permanent
01/26/2016,01/26/2016,01/26/2016,Pearson Education,San Francisco,34,Layoff Unknown at this time
01/26/2016,03/28/2016,01/26/2016,Ditech Financial LLC.,Costa Mesa,87,Closure Permanent
01/26/2016,03/28/2016,01/26/2016,"SPX FLOW, Inc.",Modesto,8,Closure Permanent
01/26/2016,03/28/2016,01/26/2016,"VMware, Inc.",Palo Alto,170,Layoff Permanent
01/27/2016,03/29/2016,01/27/2016,VSE Corporation,Barstow,40,Layoff Permanent
01/27/2016,03/29/2016,01/27/2016,VSE Corporation,Jolon,70,Layoff Permanent
01/26/2016,03/28/2016,01/28/2016,Eaton's Cooper Lighting,Richmond,47,Closure Permanent
01/27/2016,03/29/2016,01/28/2016,VSE Corporation,Los Alamitos,1,Layoff Permanent
01/27/2016,03/29/2016,01/28/2016,VSE Corporation,Mountain View,2,Layoff Permanent
01/27/2016,03/29/2016,01/28/2016,VSE Corporation,Riverside,1,Layoff Permanent
01/27/2016,03/29/2016,01/28/2016,VSE Corporation,Van Nuys,1,Layoff Permanent
01/26/2016,04/01/2016,01/29/2016,"Rockwell Collins, Inc.",Poway,2,Layoff Unknown at this time
01/29/2016,03/29/2016,01/29/2016,"Hub City Terminals, Inc.",Brea,12,Closure Permanent
01/29/2016,03/31/2016,01/29/2016,"Hub Group Trucking, Inc.",Ontario,131,Closure Permanent
01/29/2016,03/31/2016,01/29/2016,"Toshiba America Electronic Components,",Livermore,50,Closure Permanent
01/29/2016,03/31/2016,01/29/2016,"Urban Fulfillment Services, LLC",Westlake Village,192,Closure Permanent
01/25/2016,03/31/2016,02/01/2016,Cardinal Health,Elk Grove,58,Layoff Permanent
01/25/2016,03/31/2016,02/01/2016,Cardinal Health,Valencia,15,Layoff Permanent
01/28/2016,04/01/2016,02/01/2016,Westin St. Francis,San Francisco,52,Closure Permanent
02/01/2016,04/04/2016,02/01/2016,"Practice Fusion, Inc.",San Francisco,74,Layoff Permanent
01/28/2016,03/28/2016,02/02/2016,Blue Shield of California,Costa Mesa,2,Layoff Permanent
01/28/2016,03/28/2016,02/02/2016,Blue Shield of California,El Dorado Hills,137,Layoff Permanent
01/28/2016,03/28/2016,02/02/2016,Blue Shield of California,El Segundo,9,Layoff Permanent
01/28/2016,03/28/2016,02/02/2016,Blue Shield of California,Lodi,99,Layoff Permanent
01/28/2016,03/28/2016,02/02/2016,Blue Shield of California,Ontario,2,Layoff Permanent
01/28/2016,03/28/2016,02/02/2016,Blue Shield of California,Rancho Cordova,55,Layoff Permanent
01/28/2016,03/28/2016,02/02/2016,Blue Shield of California,Redding,10,Layoff Permanent
01/28/2016,03/28/2016,02/02/2016,Blue Shield of California,Sacramento,3,Layoff Permanent
01/28/2016,03/28/2016,02/02/2016,Blue Shield of California,San Diego,3,Layoff Permanent
01/28/2016,03/28/2016,02/02/2016,Blue Shield of California,San Francisco,78,Layoff Permanent
01/28/2016,03/28/2016,02/02/2016,Blue Shield of California,San Jose,1,Layoff Permanent
01/28/2016,03/28/2016,02/02/2016,Blue Shield of California,Walnut Creek,1,Layoff Permanent
01/28/2016,03/28/2016,02/02/2016,Blue Shield of California,Woodland Hills,60,Layoff Permanent
01/29/2016,03/31/2016,02/02/2016,Broadcom and Avago,Irvine,689,Layoff Permanent
01/29/2016,03/31/2016,02/02/2016,Broadcom and Avago,San Jose,33,Layoff Permanent
01/29/2016,03/31/2016,02/02/2016,Broadcom and Avago,Santa Clara,147,Layoff Permanent
02/01/2016,04/01/2016,02/02/2016,Moog Inc.,Milpitas,22,Layoff Permanent
01/29/2016,04/01/2016,02/03/2016,Boeing Company,El Segundo,25,Layoff Unknown at this time
01/29/2016,04/01/2016,02/03/2016,Boeing Company,Huntington Beach,15,Layoff Unknown at this time
02/01/2016,03/31/2016,02/03/2016,United Technologies Corporation,San Diego,103,Closure Permanent
02/01/2016,04/03/2016,02/03/2016,Bon Appetit Management Company,San Francisco,79,Closure Permanent
02/02/2016,04/01/2016,02/03/2016,"Forever 21 Retail, Inc.",Hanford,51,Closure Permanent
02/02/2016,04/01/2016,02/03/2016,"Forever 21 Retail, Inc.",Yuba City,56,Closure Permanent
02/02/2016,04/05/2016,02/03/2016,Freeport-McMoRan Oil & Gas LLC,Orcutt,64,Layoff Permanent
02/04/2016,02/19/2016,02/04/2016,"VF Contemporary Brands, Inc.",Vernon,73,Closure Permanent
02/02/2016,04/10/2016,02/05/2016,"Autodesk, Inc.",San Francisco,71,Layoff Permanent
02/02/2016,04/10/2016,02/05/2016,"Autodesk, Inc.",San Rafael,48,Layoff Permanent
02/04/2016,04/04/2016,02/08/2016,Visiting Nurse Association of the Inland,Victorville,78,Closure Permanent
02/08/2016,04/08/2016,02/08/2016,Albertsons Companies,Pleasanton,24,Layoff Unknown at this time
01/28/2016,01/28/2016,02/09/2016,"Space Systems/Loral, LLC",Palo Alto,122,Layoff Permanent
02/03/2016,02/04/2016,02/09/2016,"B&H Education Holdings, LLC & B&H",Whittier,73,Closure Permanent
02/03/2016,04/09/2016,02/09/2016,JCPenney,Cupertino,147,Closure Permanent
02/08/2016,04/08/2016,02/09/2016,"Inland Early Steps Services, Inc.",Corona,79,Closure Permanent
02/05/2016,04/01/2016,02/10/2016,UTi,Long Beach,64,Closure Permanent
02/10/2016,04/11/2016,02/10/2016,Yahoo! Inc.,Sunnyvale,107,Layoff Permanent
02/08/2016,04/08/2016,02/12/2016,Southern California Edison Company,Rosemead,48,Layoff Permanent
02/12/2016,04/15/2016,02/12/2016,Kraft Heinz Foods Company,San Leandro,117,Closure Permanent
02/12/2016,06/15/2016,02/12/2016,Pinecrest Schools,Canyon Country,24,Closure Permanent
02/12/2016,06/15/2016,02/12/2016,Pinecrest Schools,Moorpark,118,Closure Permanent
02/12/2016,06/15/2016,02/12/2016,Pinecrest Schools,Woodland Hills,71,Closure Permanent
02/11/2016,01/22/2016,02/16/2016,HP Inc.,Palo Alto,74,Layoff Permanent
02/11/2016,02/10/2016,02/16/2016,Symantec Corporation,Mountain View,6,Layoff Permanent
02/11/2016,04/17/2016,02/16/2016,"The Ritz-Carlton, Lake Tahoe",T ruckee,253,Closure Temporary
02/12/2016,02/18/2016,02/16/2016,"Toshiba America Information Systems,",Irvine,7,Layoff Permanent
02/15/2016,04/18/2016,02/16/2016,"SK Textile, Inc.",Vernon,51,Closure Permanent
02/16/2016,04/18/2016,02/16/2016,Odwalla Inc.,Dinuba,164,Closure Permanent
02/12/2016,04/12/2016,02/17/2016,"TangoMe, Inc.",Mountain View,53,Layoff Permanent
02/17/2016,04/18/2016,02/17/2016,Yahoo! Inc.,Burbank,90,Closure Permanent
02/17/2016,04/18/2016,02/17/2016,Yahoo! Inc.,Los Angeles,60,Layoff Permanent
02/17/2016,04/18/2016,02/17/2016,Yahoo! Inc.,San Francisco,45,Layoff Permanent
02/17/2016,04/18/2016,02/17/2016,Yahoo! Inc.,Sunnyvale,127,Layoff Permanent
02/15/2016,02/26/2016,02/18/2016,Valley Fine Foods,Benicia,94,Closure Permanent
02/16/2016,04/17/2016,02/18/2016,California Resources Corporation,Bakersfield,74,Layoff Permanent
02/17/2016,04/18/2016,02/18/2016,"Pacific Harvest, Inc.",Guadalupe,75,Layoff Permanent
02/12/2016,02/09/2016,02/22/2016,BAE SYSTEMS,San Francisco,2,Layoff Temporary
02/12/2016,02/09/2016,02/22/2016,BAE SYSTEMS,San Francisco,228,Layoff Temporary
02/19/2016,04/19/2016,02/22/2016,Brake Parts Inc.,Chowchilla,111,Layoff Permanent
02/19/2016,04/19/2016,02/22/2016,Vintage Estates,Yountville,326,Layoff Permanent
02/22/2016,04/27/2016,02/22/2016,"BCBG Max Azria Group, LLC",Vernon,71,Layoff Permanent
02/18/2016,07/31/2016,02/23/2016,Mallinckrodt Pharmaceuticals,Hayward,43,Closure Permanent
02/22/2016,03/31/2016,02/23/2016,Kabam LA,Los Angeles,1,Layoff Permanent
02/22/2016,03/31/2016,02/23/2016,"Kabam, Inc.",San Francisco,75,Layoff Permanent
02/23/2016,04/25/2016,02/23/2016,TGI Friday's,Laguna Niguel,51,Closure Permanent
02/18/2016,03/31/2016,02/24/2016,"Freedom Communications, Inc.",Santa Ana,969,Layoff Unknown at this time
02/18/2016,04/18/2016,02/24/2016,"Maslow Media Group, Inc.",Culver City,2,Layoff Permanent
02/18/2016,04/18/2016,02/24/2016,"Maslow Media Group, Inc.",Los Angeles,19,Layoff Permanent
02/18/2016,04/18/2016,02/24/2016,"Maslow Media Group, Inc.",San Francisco,17,Layoff Permanent
02/19/2016,04/22/2016,02/24/2016,Boeing Company,El Segundo,45,Layoff Unknown at this time
02/19/2016,04/22/2016,02/24/2016,Boeing Company,Huntington Beach,44,Layoff Unknown at this time
02/19/2016,04/22/2016,02/24/2016,Boeing Company,Long Beach,3,Layoff Unknown at this time
01/25/2016,04/01/2016,02/25/2016,Imagine Communications Corp.,Sunnyvale,50,Closure Permanent
02/23/2016,04/25/2016,02/25/2016,Sutter Central Valley Hospitals dba,Modesto,96,Layoff Unknown at this time
02/26/2016,04/25/2016,02/26/2016,"Xerox Business Services, LLC",Bakersfield,15,Layoff Permanent
02/24/2016,05/04/2016,02/29/2016,Pacific Bell Telephone Company,Tustin,121,Layoff Permanent
02/26/2016,02/29/2016,02/29/2016,"YourPeople, Inc. d/b/a Zenefits FTW",San Francisco,83,Layoff Permanent
02/26/2016,04/29/2016,02/29/2016,Direct Energy,Corona,47,Closure Unknown at this time
02/22/2016,04/29/2016,03/01/2016,"Investor's Business Daily, Inc.",Coto De Caza,1,Layoff Permanent
02/22/2016,04/29/2016,03/01/2016,"Investor's Business Daily, Inc.",Los Angeles,43,Layoff Permanent
02/22/2016,04/29/2016,03/01/2016,"Investor's Business Daily, Inc.",San Diego,1,Layoff Permanent
02/22/2016,04/29/2016,03/01/2016,"Investor's Business Daily, Inc.",Sunnyvale,3,Layoff Permanent
02/22/2016,04/29/2016,03/01/2016,"Investor's Business Daily, Inc.",Valencia,1,Layoff Permanent
02/29/2016,03/01/2016,03/01/2016,TiVo Inc.,San Jose,52,Layoff Permanent
03/01/2016,03/01/2016,03/01/2016,SurveyMonkey Inc.,Palo Alto,57,Layoff Permanent
03/01/2016,04/30/2016,03/01/2016,National Oilwell Varco,Orange,232,Layoff Permanent
03/01/2016,05/01/2016,03/02/2016,Baxalta U.S. Inc.,Los Angeles,139,Layoff Permanent
03/01/2016,05/01/2016,03/02/2016,Baxalta U.S. Inc.,Thousand Oaks,100,Layoff Permanent
03/01/2016,04/30/2016,03/03/2016,"NetApp, Inc.",Sunnyvale,376,Layoff Permanent
03/04/2016,05/03/2016,03/04/2016,"Southern Home Care Services, Inc.",San Leandro,123,Closure Permanent
03/07/2016,05/06/2016,03/07/2016,"Barnes & Noble College Booksellers, LLC",Mountain View,40,Closure Permanent
02/17/2016,04/15/2016,03/08/2016,Circor Inc.,Corona,64,Closure Permanent
02/26/2016,05/04/2016,03/08/2016,Envoy Air,Palm Springs,52,Closure Permanent
03/01/2016,05/13/2016,03/08/2016,City National Bank,Los Angeles,5,Closure Permanent
03/01/2016,05/31/2016,03/08/2016,Memorial Health Services,San Clemente,194,Closure Permanent
03/08/2016,03/11/2016,03/09/2016,Lyra Sound Inc.,Cypress,4,Closure Temporary
03/08/2016,11/11/2016,03/10/2016,Corning Incorporated,Union City,193,Closure Permanent
03/01/2016,05/06/2016,03/11/2016,Pacific Bell Telephone Company,Tustin,3,Layoff Permanent
03/10/2016,05/13/2016,03/11/2016,"Carbine, LLC",Aliso Viejo,18,Layoff Unknown at this time
03/10/2016,03/11/2016,03/14/2016,"NC Interactive, LLC",Aliso Viejo,11,Layoff Permanent
03/12/2016,04/10/2016,03/14/2016,"GMRI, Inc. dba Seasons 52",Santa Monica,70,Closure Permanent
03/15/2016,05/15/2016,03/15/2016,Georgia-Pacific Gypsum LLC,San Leandro,65,Closure Permanent
03/14/2016,05/27/2016,03/17/2016,"Yamashiro, Inc.",Los Angeles,88,Closure Permanent
02/29/2016,01/01/2016,03/18/2016,"Alma Farms, LLC",Camarillo,73,Closure Permanent
03/14/2016,03/31/2016,03/18/2016,McKesson Corporation,San Francisco,158,Layoff Permanent
03/18/2016,05/17/2016,03/21/2016,"Williams-Sonoma, Inc.",Brisbane,3,Layoff Permanent
03/18/2016,05/17/2016,03/21/2016,"Williams-Sonoma, Inc.",Richmond,1,Layoff Permanent
03/18/2016,05/17/2016,03/21/2016,"Williams-Sonoma, Inc.",San Francisco,74,Layoff Permanent
03/18/2016,05/18/2016,03/21/2016,"Collection Technology, Inc.",Monterey Park,4,Closure Permanent
03/18/2016,05/18/2016,03/21/2016,"Collection Technology, Inc.",Rancho,51,Layoff Permanent
03/18/2016,05/20/2016,03/21/2016,Scripps Health,San Diego,69,Layoff Permanent
03/03/2016,06/30/2016,03/22/2016,"TransitAmerica Services, Inc.",Camp Pendleton,30,Layoff Permanent
03/21/2016,05/22/2016,03/22/2016,"Paris Precision, LLC",Paso Robles,130,Layoff Unknown at this time
03/22/2016,03/22/2016,03/22/2016,ZETA Communities,Mcclellan,122,Closure Permanent
03/15/2016,03/10/2016,03/23/2016,"Mycom North America, Inc.",Santa Fe Springs,4,Closure Permanent
03/18/2016,05/20/2016,03/23/2016,Boeing Company,El Segundo,26,Layoff Unknown at this time
03/18/2016,05/20/2016,03/23/2016,Boeing Company,Huntington Beach,23,Layoff Unknown at this time
03/21/2016,05/27/2016,03/23/2016,"Rockwell Collins, Inc.",Poway,2,Layoff Unknown at this time
03/22/2016,05/15/2016,03/28/2016,Osha Thai,San Francisco,62,Closure Temporary
03/23/2016,05/31/2016,03/29/2016,Standard Parking Corporation,Los Angeles,430,Closure Permanent
03/25/2016,05/31/2016,03/29/2016,"Live Nation Entertainment, Inc.",Anaheim,300,Closure Permanent
03/28/2016,05/31/2016,03/29/2016,"Northrop Grumman Technology Services,",Fort Irwin,483,Layoff Permanent
03/29/2016,05/30/2016,03/30/2016,"APN, LLC",Oakland,19,Layoff Permanent
03/29/2016,05/30/2016,03/30/2016,"IAC Search & Media, Inc.",Oakland,11,Layoff Permanent
03/29/2016,05/30/2016,03/30/2016,"IAC Search & Media, Inc.",Pasadena,4,Layoff Permanent
03/29/2016,05/30/2016,03/30/2016,"Mindspark Interactive Network, Inc.",Oakland,3,Layoff Permanent
03/28/2016,05/04/2016,04/01/2016,Triangle Brass Manufacturing Company,Los Angeles,55,Closure Permanent
03/31/2016,05/31/2016,04/01/2016,International Business Machines,San Jose,109,Layoff Permanent
04/01/2016,06/24/2016,04/01/2016,City National Bank,Los Angeles,7,Closure Permanent
03/30/2016,05/30/2016,04/04/2016,ICDC College,Huntington Park,244,Closure Permanent
03/30/2016,06/05/2016,04/04/2016,"Schenker, Inc",Ontario,52,Closure Unknown at this time
04/01/2016,06/10/2016,04/04/2016,Lockheed Martin Corporation,San Jose,59,Closure Permanent
03/23/2016,05/03/2016,04/05/2016,Sony Pictures Entertainment Inc.,Culver City,59,Layoff Permanent
04/04/2016,06/03/2016,04/05/2016,Safeway Inc. / Albertsons Companies,Pleasanton,3,Layoff Unknown at this time
03/29/2016,03/28/2016,04/06/2016,BAE SYSTEMS,San Francisco,1,Layoff Temporary
04/05/2016,06/05/2016,04/06/2016,"Unified Grocers, Inc.",Los Angeles,132,Closure Permanent
03/29/2016,03/28/2016,04/07/2016,BAE SYSTEMS,San Francisco,154,Layoff Temporary
04/05/2016,06/10/2016,04/07/2016,"Rockwell Collins, Inc.",Poway,1,Closure Permanent
04/06/2016,04/06/2016,04/07/2016,Abbott Vascular,Temecula,131,Layoff Permanent
04/06/2016,06/06/2016,04/07/2016,"BlackRock, Inc.",San Francisco,64,Layoff Permanent
