Notice Date,"Effective
Date","Received
Date",Company,City,"No. Of
Employees",Layoff/Closure
12/08/2014,03/12/2015,12/18/2014,"TOPPAN PHOTOMASKS, INC.",Santa Clara,75,Closure Permanent
12/08/2014,12/12/2014,12/18/2014,"SPG SOLAR, INC.",Petaluma,10,Closure Unknown at this time
12/10/2014,04/30/2015,12/18/2014,GRANICUS INC,San Francisco,47,Closure Permanent
12/12/2014,02/12/2015,12/18/2014,SEAWORLD LLC,San Diego,108,Layoff Permanent
11/24/2014,01/30/2015,12/19/2014,"HCC INVESTORS, LLC",Rancho Santa Fe,156,Closure Permanent
12/05/2014,02/05/2015,12/19/2014,ITT CANNON LLC,Santa Ana,7,Layoff Permanent
12/10/2014,02/11/2015,12/19/2014,QUALCOMM INC.,San Jose,1,Layoff Unknown at this time
12/10/2014,02/11/2015,12/19/2014,QUALCOMM INC.,San Jose,45,Layoff Unknown at this time
12/10/2014,02/11/2015,12/19/2014,QUALCOMM INC.,San Jose,59,Layoff Unknown at this time
12/10/2014,02/11/2015,12/19/2014,QUALCOMM INC.,Santa Clara,2,Layoff Unknown at this time
12/10/2014,02/11/2015,12/19/2014,QUALCOMM INC.,Santa Clara,4,Layoff Unknown at this time
12/10/2014,02/11/2015,12/19/2014,Qualcomm Incorporated,San Diego,178,Layoff Unknown at this time
12/10/2014,02/15/2015,12/19/2014,"INTERMUNE, INC",Brisbane,170,Layoff Permanent
12/12/2014,01/15/2015,12/19/2014,EXIDE TECHNOLOGIES,Los Angeles,64,Layoff Temporary
12/12/2014,02/22/2015,12/19/2014,EL CENTRO REGIONAL MEDICAL,El Centro,68,Layoff Permanent
12/09/2014,02/16/2015,12/22/2014,HACIENDA HOTEL,El Segundo,93,Closure Temporary
12/10/2014,02/08/2015,12/22/2014,BANK OF AMERICA,Los Angeles,3,Layoff Permanent
12/15/2014,02/12/2015,12/22/2014,MFS INC. SERVICES,Cerritos,24,Layoff Permanent
12/15/2014,02/12/2015,12/22/2014,MFS INC. SERVICES,Downey,26,Layoff Permanent
12/15/2014,02/12/2015,12/22/2014,MFS INC. SERVICES,Lakewood,25,Layoff Permanent
12/15/2014,02/12/2015,12/22/2014,MFS INC. SERVICES,Los Angeles,24,Layoff Permanent
12/15/2014,02/12/2015,12/22/2014,MFS INC. SERVICES,San Bernardino,14,Layoff Permanent
12/15/2014,02/12/2015,12/22/2014,MFS INC. SERVICES,Santa Monica,44,Layoff Permanent
12/15/2014,02/12/2015,12/22/2014,MFS INC. SERVICES,Thousand Oaks,32,Layoff Permanent
12/15/2014,02/12/2015,12/22/2014,MFS INC. SERVICES,Ventura,26,Layoff Permanent
12/15/2014,02/12/2015,12/22/2014,MFS INC. SERVICES,Victorville,19,Layoff Permanent
12/15/2014,02/15/2015,12/22/2014,MFS INC. SERVICES,Santa Barbara,8,Layoff Permanent
12/15/2014,12/31/2014,12/22/2014,ARAMARK,Wheatland,152,Closure Permanent
12/18/2014,12/15/2014,12/22/2014,ENSIGN UNITED STATES DRILLING,Bakersfield,700,Layoff Unknown at this time
12/19/2014,02/17/2015,12/22/2014,NORCO DELIVERY SERVICES,Anaheim,93,Layoff Permanent
12/15/2014,12/31/2014,12/23/2014,ARAMARK,Chula Vista,110,Closure Permanent
12/15/2014,12/31/2014,12/23/2014,ARAMARK,Irvine,56,Closure Permanent
12/15/2014,12/31/2014,12/23/2014,ARAMARK,Mountain View,175,Closure Permanent
12/15/2014,12/31/2014,12/23/2014,ARAMARK,San Bernardino,77,Closure Permanent
12/16/2014,02/20/2015,12/24/2014,HORMEL FOODS CORPORATION,Stockton,113,Layoff Permanent
12/15/2014,02/13/2015,12/26/2014,Safeway Inc. Corporate Headquarters,Pleasanton,26,Layoff Unknown at this time
12/22/2014,02/27/2015,12/26/2014,OfficeMax Incorporated,Menlo Park,71,Closure Permanent
12/19/2014,02/20/2015,12/29/2014,Boeing Company,El Segundo,33,Layoff Unknown at this time
12/19/2014,02/20/2015,12/29/2014,Boeing Company,Huntington Beach,20,Layoff Unknown at this time
12/19/2014,02/20/2015,12/29/2014,Boeing Company,Long Beach,119,Layoff Unknown at this time
12/29/2014,02/28/2015,12/31/2014,"L-3 Engineering & Technical Services,",Vandenberg,91,Closure Permanent
01/05/2015,03/06/2015,01/05/2015,RadioShack Corporation,Woodland,57,Closure Permanent
12/31/2014,01/31/2015,01/05/2015,Exelis Inc.,Vandenberg,125,Layoff Permanent
12/23/2014,01/06/2015,01/06/2015,Bae Systems,San Francisco,192,Layoff Temporary
12/30/2014,02/28/2015,01/07/2015,HomeStreet Bank,Covina,66,Closure Permanent
01/03/2015,03/06/2015,01/08/2015,Boeing Company,Long Beach,23,Layoff Unknown at this time
01/07/2015,03/10/2015,01/08/2015,"Brice Manufacturing Company, Inc",Pacoima,61,Layoff Permanent
01/05/2015,03/05/2015,01/09/2015,ITT Cannon LLC,Santa Ana,12,Layoff Permanent
01/07/2015,04/03/2015,01/09/2015,ASCO Power Technologies,Stockton,104,Closure Permanent
01/08/2015,03/08/2015,01/09/2015,Genco,Woodland,50,Closure Permanent
01/08/2015,03/16/2015,01/09/2015,Macy's Furniture Gallery,Woodland Hills,19,Closure Unknown at this time
01/08/2015,03/21/2015,01/09/2015,Macy's Vallco Shopping Mall,Cupertino,107,Closure Unknown at this time
01/08/2015,03/16/2015,01/12/2015,Macy's Westfield Promenade Store,Woodland Hills,109,Closure Permanent
01/06/2015,03/09/2015,01/13/2015,Southern California Edison Company,San Clemente,45,Closure Permanent
01/09/2015,03/09/2015,01/13/2015,"Sodexo, Inc",Duarte,160,Closure Permanent
01/12/2015,03/13/2015,01/13/2015,Kixeye Inc.,San Francisco,70,Layoff Permanent
12/31/2014,02/01/2015,01/13/2015,Symantec Corporation,Mountain View,4,Layoff Permanent
01/08/2015,03/09/2015,01/14/2015,"Rabobank, N.A.",Imperial,79,Closure Unknown at this time
01/14/2015,01/14/2014,01/15/2015,"Tibco Software, Inc",Palo Alto,80,Layoff Permanent
01/13/2015,03/16/2015,01/16/2015,Broadcom Corporation,Santa Clara,60,Layoff Permanent
01/15/2015,03/15/2015,01/16/2015,Leidos,El Segundo,80,Layoff Permanent
01/15/2015,03/16/2015,01/16/2015,"COM DEV USA, LLC",El Segundo,53,Layoff Unknown at this time
01/15/2015,03/18/2015,01/16/2015,Vons Companies Inc.,Arcadia,168,Closure Permanent
01/15/2015,05/15/2015,01/16/2015,"Raybern Foods, LLC",Hayward,116,Closure Permanent
01/15/2015,05/15/2015,01/16/2015,"Raybern Foods, LLC",Oakland,42,Closure Permanent
01/16/2015,04/30/2015,01/16/2015,"OSI Electronics, Inc",Camarillo,118,Closure Permanent
01/13/2015,03/15/2015,01/20/2015,Ralphs Grocery Comapny,Los Angeles,70,Closure Unknown at this time
01/16/2015,02/26/2015,01/20/2015,Albertson's LLC,Marina Del Rey,80,Closure Permanent
01/16/2015,02/26/2015,01/20/2015,"Albertson's, LLC",San Diego,63,Closure Permanent
01/15/2015,05/29/2015,01/21/2015,"Walt Disney Parks and Resorts U.S.,",Fullerton,85,Layoff Permanent
01/20/2015,03/23/2015,01/21/2015,"G2 Secure Staff, LLC",Moreno Valley,39,Layoff Permanent
01/15/2014,03/16/2015,01/23/2015,"Vista Ford, Inc",Canoga Park,11,Closure Permanent
01/16/2015,03/20/2015,01/23/2015,Boeing Company,El Segundo,15,Layoff Unknown at this time
01/16/2015,03/20/2015,01/23/2015,Boeing Company,Huntington Beach,9,Layoff Unknown at this time
01/16/2015,03/20/2015,01/23/2015,Boeing Company,Long Beach,36,Layoff Unknown at this time
01/21/2015,03/16/2015,01/23/2015,Johns Manville,Willows,40,Layoff Temporary
01/16/2015,03/16/2015,01/26/2015,ITT Cannon LLC,Santa Ana,10,Layoff Permanent
01/20/2015,10/31/2015,01/26/2015,"Zodiac Pool Systems, Inc",Vista,97,Closure Permanent
01/20/2015,12/15/2015,01/26/2015,Chevron,San Ramon,100,Layoff Permanent
01/21/2015,03/31/2015,01/26/2015,"InDyne, Inc.",Vandenberg AFB,541,Layoff Permanent
01/22/2015,03/23/2015,01/26/2015,"G2 Secure Staff, LLC",Azusa,106,Layoff Permanent
01/22/2015,03/24/2015,01/26/2015,"VMware, Inc",Palo Alto,114,Layoff Permanent
01/23/2015,03/28/2015,01/26/2015,"Gap, Inc",San Francisco,108,Layoff Permanent
01/23/2015,03/24/2015,01/27/2015,"Tabula, Inc.",Santa Clara,120,Closure Permanent
01/26/2015,01/26/2015,01/27/2015,"Sun World International, LLC",Coachella,24,Layoff Permanent
01/26/2015,03/27/2015,01/27/2015,"Bimbo Bakeries USA, Inc",Fresno,92,Closure Permanent
01/26/2015,03/27/2015,01/27/2015,"Bimbo Bakeries USA, Inc.",Fresno,92,Layoff Permanent
01/27/2015,02/27/2015,01/27/2015,Exide Technologies,Los Angeles,67,Layoff Temporary
01/28/2015,03/30/2015,01/28/2015,International Business Machines,San Jose,68,Layoff Permanent
01/15/2015,03/31/2015,01/29/2015,UTI,Anaheim,32,Closure Permanent
01/26/2015,03/26/2015,01/29/2015,Sims Recycling Solutions,Rancho,57,Layoff Permanent
01/28/2015,03/29/2015,01/30/2015,Bank of America,West Hills,113,Layoff Permanent
01/29/2015,03/31/2015,01/30/2015,"Safeway, Inc. Corporate Headguarters",Pleasanton,18,Layoff Unknown at this time
01/27/2015,01/24/2015,02/02/2015,Ryder Integrated Logistics,Inglewood,73,Closure Permanent
01/27/2015,05/03/2015,02/02/2015,Sears Holdings Corporation,Canoga Park,122,Closure Permanent
01/28/2015,04/02/2015,02/02/2015,"Actavis, Inc",Corona,40,Layoff Permanent
01/30/2015,03/30/2015,02/02/2015,JPMorgan Chase & Co.,Pleasanton,63,Layoff Permanent
01/30/2015,03/31/2015,02/02/2015,Fallbrook Hospital Skilled Nursing,Fallbrook,96,Closure Permanent
02/02/2015,04/03/2015,02/02/2015,"G2 Secure Staff, LLC",Orange,54,Layoff Permanent
01/28/2015,03/31/2015,02/03/2015,"Fluor Enterprises, Inc.",Aliso Viejo,6,Layoff Permanent
01/28/2015,12/15/2015,02/03/2015,Access Business Group LLC,Lakeview,72,Closure Permanent
01/30/2015,04/03/2015,02/03/2015,Boeing Company,El Segundo,36,Layoff Unknown at this time
01/30/2015,04/03/2015,02/03/2015,Boeing Company,Huntington Beach,25,Layoff Unknown at this time
01/30/2015,04/03/2015,02/03/2015,Boeing Company,Long Beach,66,Layoff Unknown at this time
01/30/2015,02/02/2015,02/04/2015,Baker Hughes Oilfield Operations Inc.,Shatter,130,Layoff Permanent
01/30/2015,05/31/2015,02/05/2015,Northrop Grumman Technical,Fort Irwin,443,Layoff Permanent
02/02/2015,03/18/2015,02/05/2015,Lockheed Martin Corporation,Palmdale,74,Layoff Permanent
02/02/2015,04/03/2015,02/05/2015,Sony Pictures Entertainment,Culver City,69,Closure Permanent
02/02/2015,03/01/2015,02/09/2015,Symantec Corporation,Mountain View,85,Layoff Permanent
02/04/2015,04/03/2015,02/09/2015,"Citrix Systems, Inc",Santa Clara,99,Layoff Permanent
02/03/2015,04/04/2015,02/10/2015,"International Coffee & Tea, LLC",Santa Monica,69,Closure Permanent
02/04/2015,04/08/2015,02/10/2015,Menzies Aviation LAX,Los Angeles,134,Layoff Permanent
02/05/2015,02/13/2015,02/10/2015,Hewlett-Packard Company,Palo Alto,52,Layoff Permanent
02/09/2015,04/10/2015,02/10/2015,United Technologies Corporation,San Diego,4,Layoff Permanent
02/04/2015,05/05/2015,02/12/2015,Pfizer Inc.,Foothill Ranch,70,Closure Unknown at this time
02/10/2015,04/13/2015,02/12/2015,"VPM Maintenance Management, LLC",San Francisco,35,Layoff Permanent
01/29/2015,03/29/2015,02/13/2015,Sutter Roseville Medical Center,Roseville,1,Layoff Permanent
02/05/2015,04/30/2015,02/13/2015,Staples,La Mirada,59,Layoff Permanent
02/05/2015,05/01/2015,02/13/2015,Farmer Brothers,Torrance,271,Closure Permanent
02/06/2015,04/10/2015,02/13/2015,Boeing Company,El Segundo,9,Layoff Temporary
02/09/2015,04/10/2015,02/13/2015,Staples,Los Angeles,97,Layoff Permanent
02/12/2015,02/28/2015,02/13/2015,Fireman's Fund Insurance Company,Novato,23,Layoff Permanent
02/13/2015,04/15/2015,02/13/2015,Green Diamond Resource Company,Korbel,12,Closure Permanent
02/03/2015,02/28/2015,02/17/2015,Anthem,Diamond Bar,3,Closure Permanent
02/09/2015,04/13/2015,02/17/2015,AT&T,San Ramon,74,Layoff Permanent
02/13/2015,04/15/2015,02/17/2015,PennySaver USA Printing LLC,Vista,131,Closure Permanent
02/13/2015,04/19/2015,02/17/2015,Marriott International Inc.,T ruckee,259,Closure Temporary
02/13/2015,04/30/2015,02/17/2015,Courtesy Motors,Chico,91,Closure Permanent
02/09/2015,04/09/2015,02/18/2015,El Centro Regional Medical Center,El Centro,20,Layoff Permanent
02/10/2015,04/10/2015,02/18/2015,Staples,La Mirada,99,Layoff Permanent
02/16/2015,02/16/2015,02/18/2015,Halliburton Energy Services Inc.,Bakersfield,52,Layoff Permanent
02/17/2015,03/27/2015,02/18/2015,Mandarin Oriental San Francisco Inc.,San Francisco,193,Layoff Permanent
02/10/2015,04/10/2015,02/19/2015,Nabors Completion & Production,Compton,136,Layoff Unknown at this time
02/13/2015,04/14/2015,02/19/2015,Wallenius Wilhelmsen Logistics,Wilmington,104,Layoff Unknown at this time
02/11/2015,04/13/2015,02/20/2015,Daybreak Game Company,San Diego,140,Layoff Permanent
02/13/2015,04/14/2015,02/23/2015,Doctors Medical Center,San Pablo,709,Layoff Permanent
02/13/2015,04/24/2015,02/23/2015,Marriott,San Francisco,24,Layoff Permanent
02/16/2015,04/03/2015,02/23/2015,DreamWorks Animation,Glendale,13,Layoff Permanent
02/16/2015,04/03/2015,02/23/2015,DreamWorks Animation,Glendale,101,Layoff Permanent
02/16/2015,04/03/2015,02/23/2015,DreamWorks Animation,Redwood City,403,Closure Unknown at this time
02/16/2015,08/14/2015,02/23/2015,Centrex,Modesto,163,Closure Permanent
02/21/2015,04/25/2015,02/23/2015,Safeway Inc.,West Sacramento,213,Closure Unknown at this time
02/03/2015,03/04/2015,02/24/2015,DynCorp International LLC,El Centro,12,Closure Permanent
02/03/2015,03/04/2015,02/24/2015,DynCorp International LLC,San Diego,81,Closure Permanent
02/17/2015,04/20/2015,02/24/2015,Trulia Inc,San Francisco,140,Layoff Permanent
02/20/2015,04/24/2015,02/25/2015,Boeing Company,Huntington Beach,59,Layoff Unknown at this time
02/23/2015,04/24/2015,02/25/2015,Safeway Inc.,Dublin,3,Layoff Unknown at this time
02/23/2015,04/24/2015,02/25/2015,Safeway Inc.,Pleasanton,129,Layoff Unknown at this time
02/20/2015,04/24/2015,02/26/2015,Boeing Company,Long Beach,71,Layoff Unknown at this time
02/17/2015,05/15/2015,02/27/2015,DialAmerica,San Diego,227,Closure Permanent
02/20/2015,04/24/2015,02/27/2015,Boeing Company,El Segundo,35,Layoff Unknown at this time
02/24/2015,04/24/2015,02/27/2015,"Bienvenidos Children Center, Inc.",Los Angeles,15,Layoff Unknown at this time
02/24/2015,04/30/2015,02/27/2015,Panasonic Disc Manufacturing,Torrance,87,Closure Permanent
02/25/2015,05/01/2015,02/27/2015,"Midland Credit Management, Inc.",San Diego,40,Layoff Permanent
02/23/2015,04/26/2015,03/02/2015,USS-POSCO Industries,Pittsburg,666,Closure Temporary
02/25/2015,04/26/2015,03/02/2015,"Better Bakery, LLC",Valencia,45,Layoff Permanent
02/23/2015,04/24/2015,03/03/2015,"RealPage, Inc.",San Francisco,89,Closure Permanent
02/26/2015,02/26/2015,03/03/2015,Baker Hughes Oilfield Operations Inc.,Shatter,50,Layoff Permanent
02/27/2015,04/29/2015,03/03/2015,"V&L Produce, Inc.",Vernon,87,Layoff Permanent
02/26/2015,05/01/2015,03/04/2015,Active Network,San Diego,53,Layoff Permanent
03/02/2015,05/01/2015,03/04/2015,Scarbrough Management Corporation,Clovis,19,Layoff Permanent
03/02/2015,05/01/2015,03/04/2015,Scarbrough Management Corporation,Clovis,23,Layoff Permanent
03/02/2015,05/01/2015,03/04/2015,Scarbrough Management Corporation,Coalinga,22,Layoff Permanent
03/02/2015,05/01/2015,03/04/2015,Scarbrough Management Corporation,Fresno,22,Layoff Permanent
03/02/2015,05/01/2015,03/04/2015,Scarbrough Management Corporation,Fresno,24,Layoff Permanent
03/02/2015,05/01/2015,03/04/2015,Scarbrough Management Corporation,Fresno,27,Layoff Permanent
03/02/2015,05/01/2015,03/04/2015,Scarbrough Management Corporation,Fresno,28,Layoff Permanent
03/02/2015,05/01/2015,03/04/2015,Scarbrough Management Corporation,Fresno,29,Layoff Permanent
03/02/2015,05/01/2015,03/04/2015,Scarbrough Management Corporation,Kerman,23,Layoff Permanent
03/02/2015,05/01/2015,03/04/2015,Scarbrough Management Corporation,Selma,22,Layoff Permanent
02/27/2015,04/15/2015,03/05/2015,Symantec Corporation,Mountain View,7,Layoff Permanent
03/02/2015,05/02/2015,03/05/2015,CP Costa Mesa LLC,Costa Mesa,85,Closure Temporary
03/02/2015,05/01/2015,03/06/2015,Scarbrough Management Corporation,Arvin,20,Layoff Permanent
03/02/2015,05/01/2015,03/06/2015,Scarbrough Management Corporation,Bakersfield,12,Layoff Permanent
03/02/2015,05/01/2015,03/06/2015,Scarbrough Management Corporation,Bakersfield,20,Layoff Permanent
03/02/2015,05/01/2015,03/06/2015,Scarbrough Management Corporation,Bakersfield,21,Layoff Permanent
03/02/2015,05/01/2015,03/06/2015,Scarbrough Management Corporation,Delano,24,Layoff Permanent
03/02/2015,05/01/2015,03/06/2015,Scarbrough Management Corporation,Escalon,23,Layoff Permanent
03/02/2015,05/01/2015,03/06/2015,Scarbrough Management Corporation,Galt,22,Layoff Permanent
03/02/2015,05/01/2015,03/06/2015,Scarbrough Management Corporation,Manteca,28,Layoff Permanent
03/02/2015,05/01/2015,03/06/2015,Scarbrough Management Corporation,Modesto,23,Layoff Permanent
03/02/2015,05/01/2015,03/06/2015,Scarbrough Management Corporation,Modesto,25,Layoff Permanent
03/02/2015,05/01/2015,03/06/2015,Scarbrough Management Corporation,Modesto,27,Layoff Permanent
03/02/2015,05/01/2015,03/06/2015,Scarbrough Management Corporation,Oakdale,31,Layoff Permanent
03/02/2015,05/01/2015,03/06/2015,Scarbrough Management Corporation,Riverbank,21,Layoff Permanent
03/02/2015,05/01/2015,03/06/2015,Scarbrough Management Corporation,Salida,25,Layoff Permanent
03/02/2015,05/01/2015,03/06/2015,Scarbrough Management Corporation,Sonora,18,Layoff Permanent
03/02/2015,05/01/2015,03/06/2015,Scarbrough Management Corporation,Stockton,25,Layoff Permanent
03/02/2015,05/01/2015,03/06/2015,Scarbrough Management Corporation,Stockton,28,Layoff Permanent
03/02/2015,05/01/2015,03/06/2015,Scarbrough Management Corporation,Stockton,29,Layoff Permanent
03/02/2015,05/01/2015,03/06/2015,Scarbrough Management Corporation,Stockton,36,Layoff Permanent
03/02/2015,05/01/2015,03/06/2015,Scarbrough Management Corporation,Taft,21,Layoff Permanent
03/02/2015,05/01/2015,03/06/2015,Scarbrough Management Corporation,Tehachapi,24,Layoff Permanent
03/02/2015,05/01/2015,03/06/2015,Scarbrough Management Corporation,Wasco,17,Layoff Permanent
03/05/2014,05/04/2015,03/09/2015,"The Fresh Market, Inc.",Laguna Hills,65,Closure Permanent
03/05/2014,05/04/2015,03/09/2015,"The Fresh Market, Inc.",Palo Alto,54,Closure Permanent
03/05/2014,05/04/2015,03/09/2015,"The Fresh Market, Inc.",Santa Barbara,60,Closure Permanent
03/09/2015,05/08/2015,03/09/2015,Safeway Inc.,Pleasanton,113,Layoff Unknown at this time
11/13/2014,01/14/2015,03/09/2015,Scarbrough Management Corporation,Antioch,21,Layoff Permanent
11/13/2014,01/14/2015,03/09/2015,Scarbrough Management Corporation,Antioch,23,Layoff Permanent
11/13/2014,01/14/2015,03/09/2015,Scarbrough Management Corporation,Concord,20,Layoff Permanent
11/13/2014,01/14/2015,03/09/2015,Scarbrough Management Corporation,Concord,22,Layoff Permanent
11/13/2014,01/14/2015,03/09/2015,Scarbrough Management Corporation,Concord,24,Layoff Permanent
11/13/2014,01/14/2015,03/09/2015,Scarbrough Management Corporation,Concord,25,Layoff Permanent
11/13/2014,01/14/2015,03/09/2015,Scarbrough Management Corporation,Danville,23,Layoff Permanent
11/13/2014,01/14/2015,03/09/2015,Scarbrough Management Corporation,Martinez,21,Layoff Permanent
11/13/2014,01/14/2015,03/09/2015,Scarbrough Management Corporation,Oakley,28,Layoff Permanent
11/13/2014,01/14/2015,03/09/2015,Scarbrough Management Corporation,Pleasant Hill,22,Layoff Permanent
11/13/2014,01/14/2015,03/09/2015,Scarbrough Management Corporation,San Ramon,15,Layoff Permanent
11/13/2014,01/14/2015,03/09/2015,Scarbrough Management Corporation,Walnut Creek,23,Layoff Permanent
02/23/2015,04/25/2015,03/10/2015,Warner Bros. Advanced Media,Burbank,25,Layoff Permanent
03/06/2015,05/17/2015,03/11/2015,"United Airlines, Inc.",Ontario,57,Layoff Permanent
03/06/2015,05/19/2015,03/11/2015,United Industries Corporation,Terminal Island,136,Closure Permanent
03/09/2015,05/08/2015,03/11/2015,"Life Sales, LLC",Novato,8,Layoff Permanent
03/04/2015,05/04/2015,03/13/2015,Electronic Arts Inc.,Emeryville,71,Layoff Permanent
03/05/2015,05/09/2015,03/13/2015,Unilever Company,Sunnyvale,57,Closure Permanent
03/06/2015,05/17/2015,03/13/2015,"United Airlines, Inc.",Sacramento,60,Layoff Permanent
03/11/2015,03/10/2015,03/13/2015,"eHealthlnsurance Services, Inc.",Gold River,72,Layoff Permanent
03/12/2015,03/16/2015,03/16/2015,Exide Technologies,Vernon,84,Closure Permanent
03/13/2015,04/16/2015,03/17/2015,"Service America Corporation, d/b/a",San Diego,831,Layoff Unknown at this time
03/17/2015,05/22/2015,03/17/2015,"Tatung Co. of America, Inc.",Carson,98,Closure Permanent
03/09/2015,04/30/2015,03/18/2015,"Fairbanks Ranch Country Club, Inc.",Rancho Santa Fe,152,Layoff Permanent
03/12/2015,03/12/2015,03/19/2015,"Mattel, Inc.",El Segundo,107,Layoff Permanent
03/17/2015,03/31/2015,03/19/2015,Sony Electronics Inc.,San Diego,75,Layoff Unknown at this time
03/18/2015,03/18/2015,03/19/2015,"Halliburton Energy Services, Inc.",Bakersfield,39,Layoff Permanent
03/18/2015,05/22/2015,03/19/2015,"Compass Group, USA, Inc.",San Francisco,66,Layoff Permanent
03/17/2015,05/29/2015,03/23/2015,ITT Cannon LLC,Santa Ana,56,Layoff Permanent
03/23/2015,05/22/2015,03/23/2015,Safeway Inc.,Pleasanton,72,Layoff Permanent
02/27/2015,04/26/2015,03/24/2015,Bank of America,Simi Valley,114,Layoff Permanent
03/20/2015,05/25/2015,03/24/2015,Boeing Company,El Segundo,45,Layoff Unknown at this time
03/20/2015,05/25/2015,03/24/2015,Boeing Company,Huntington Beach,32,Layoff Unknown at this time
03/20/2015,05/25/2015,03/24/2015,Boeing Company,Long Beach,119,Layoff Unknown at this time
03/24/2015,06/01/2015,03/24/2015,"The Patina Group NewCo, LLC (Nick",Los Angeles,75,Closure Temporary
03/19/2015,05/08/2015,03/25/2015,Keck Medicine of USC-Healthcare,Los Angeles,5,Layoff Temporary
03/19/2015,05/08/2015,03/25/2015,Keck Medicine of USC-Healthcare,Los Angeles,1,Layoff Temporary
03/19/2015,05/08/2015,03/25/2015,Keck Medicine of USC-Keck Hospital,Los Angeles,39,Layoff Temporary
03/19/2015,05/08/2015,03/25/2015,Keck Medicine of USC-Soto Street,Los Angeles,24,Layoff Temporary
03/19/2015,05/08/2015,03/25/2015,Keck Medicine of USC-USC Norris,Los Angeles,3,Layoff Temporary
03/24/2015,05/23/2015,03/25/2015,"Technicolor Creative Services USA,",Burbank,167,Layoff Unknown at this time
03/24/2015,05/23/2015,03/25/2015,"Technicolor Creative Services USA,",Glendale,5,Layoff Unknown at this time
03/19/2015,05/08/2015,03/26/2015,Keck Medicine of USC-Pasadena,Pasadena,1,Layoff Temporary
03/19/2015,05/08/2015,03/26/2015,Keck Medicine of USC-USC Verdugo,Glendale,21,Layoff Temporary
03/26/2015,02/04/2015,03/26/2015,"Dex Media, Inc.",Los Alamitos,49,Closure Permanent
03/26/2015,05/31/2015,03/26/2015,"Greatwide Distribution Logistics, LLC",Pico Rivera,156,Layoff Permanent
03/23/2015,03/06/2015,03/27/2015,BAE Systems,San Francisco,201,Layoff Temporary
03/27/2015,03/16/2015,03/27/2015,"Cryptic Studios, Inc.",Los Gatos,27,Layoff Permanent
03/27/2015,03/16/2015,03/27/2015,"Perfect World Co., Ltd",Redwood City,31,Layoff Permanent
03/26/2015,05/29/2015,03/30/2015,"Brice Manufacturing Company, Inc.",Pacoima,19,Layoff Permanent
03/30/2015,05/29/2015,04/01/2015,"Lightspeed, Inc. dba SkilledUp",San Francisco,27,Layoff Permanent
03/30/2015,05/31/2015,04/01/2015,"Sutton Place Management, LLC",San Francisco,98,Closure Unknown at this time
03/30/2015,06/12/2015,04/01/2015,"Apollo Education Group, Inc.",San Francisco,4,Layoff Permanent
03/30/2015,08/31/2015,04/01/2015,"Apollo Education Group, Inc.",San Francisco,34,Layoff Permanent
04/01/2015,05/31/2015,04/01/2015,East Bay Perinatal Medical Associates,Berkeley,34,Layoff Permanent
04/01/2015,05/30/2015,04/02/2015,WorleyParsons Group Inc.,Arcadia,82,Layoff Unknown at this time
04/01/2015,05/30/2015,04/02/2015,WorleyParsons Group Inc.,Monrovia,8,Layoff Unknown at this time
03/26/2015,05/31/2015,04/03/2015,"Schenker, Inc.",Hawthorne,29,Layoff Permanent
03/30/2015,05/31/2015,04/03/2015,Northrop Grumman Corporation,Fort Irwin,476,Layoff Permanent
03/31/2015,05/15/2015,04/03/2015,Symantec Corporation,Mountain View,30,Layoff Permanent
04/02/2015,06/01/2015,04/03/2015,"OnLive, Inc.",Mountain View,98,Closure Unknown at this time
04/03/2015,09/01/2015,04/03/2015,"Dex Media, Inc.",Los Alamitos,25,Closure Permanent
04/02/2015,06/04/2015,04/06/2015,"Allergan, Inc.",Irvine,577,Layoff Permanent
04/06/2015,06/08/2015,04/06/2015,"Jerry's Famous Deli, Inc.",Sherman Oaks,60,Closure Permanent
04/03/2015,06/05/2015,04/07/2015,Boeing Company,El Segundo,1,Layoff Unknown at this time
04/03/2015,06/05/2015,04/07/2015,Boeing Company,Long Beach,8,Layoff Unknown at this time
04/01/2015,06/01/2015,04/10/2015,Rolling Hills Country Club,Rolling Hills Estate,50,Layoff Temporary
04/09/2015,06/12/2015,04/13/2015,Deluxe 3D LLC d/b/a Stereo D,Burbank,227,Layoff Permanent
04/10/2015,06/15/2015,04/13/2015,"NYC Food and Beverage, LLC",San Jose,144,Closure Permanent
04/13/2015,06/12/2015,04/13/2015,Safeway Inc.,Pleasanton,96,Layoff Unknown at this time
04/13/2015,06/13/2015,04/14/2015,"MV Transportation, Inc.",Irvine,436,Closure Permanent
04/14/2015,05/16/2015,04/14/2015,Vons Companies Inc.,Bakersfield,56,Closure Permanent
04/14/2015,05/16/2015,04/14/2015,Vons Companies Inc.,Riverside,61,Closure Permanent
03/08/2015,05/31/2015,04/15/2015,"Vose Technical Systems, Inc.",Fort Irwin,60,Layoff Unknown at this time
04/13/2015,06/19/2015,04/15/2015,"Walmart Stores, Inc.",Pico Rivera,533,Layoff Permanent
04/16/2015,06/15/2015,04/16/2015,"Advanced Micro Devices, Inc.",Sunnyvale,85,Layoff Unknown at this time
04/15/2015,01/02/2015,04/20/2015,Cypress Semiconductor Company,Sunnyvale,95,Layoff Permanent
04/17/2015,06/19/2015,04/20/2015,"Western Digital Technologies, Inc.",Irvine,115,Layoff Permanent
