doc_seq_no,expenditure_type,gub_account_type,gub_elec_type,page_no,expense_id,detail_id,doc_stmnt_year,doc_type_desc,com_legal_name,common_name,cfr_com_id,com_type,schedule_desc,exp_desc,purpose,extra_desc,f_name,lname_or_org,address,city,state,zip,exp_date,amount,state_loc,supp_opp,can_or_ballot,,county,debt_payment,vend_name,vend_addr,vend_city,vend_state,vend_zip,gotv_ink_ind,fundraiser,RUNTIME: 04-07-2022 07:37:39
518493,1B, , ,0,44160,0,2022,JANUARY QUARTERLY CS,MICHIGAN ASSOCIATION OF CERTIFIED PUBLIC ACCOUNTANTS POLITICAL ACTION CO,MI ASSN CERT PUB ACCNTNS MACPA PAC,594,IND,DIRECT,,,,,MICHIGAN HOUSE DEMOCRATIC FUND      ,PO BOX 16193,LANSING             ,MI,48901-0000,11/22/21,1000,,,MICHIGAN HOUSE DEMOCRATIC FUND,STATE REPRESENTATIVE,.                   ,,,,,,,,,
518493,1B, , ,0,44371,0,2022,JANUARY QUARTERLY CS,MICHIGAN ASSOCIATION OF CERTIFIED PUBLIC ACCOUNTANTS POLITICAL ACTION CO,MI ASSN CERT PUB ACCNTNS MACPA PAC,594,IND,DIRECT,,,,,HOUSE REPUBLICAN CAMPAIGN COMM      ,PO BOX 15035,LANSING             ,MI,48901-0000,11/22/21,1000,,,HOUSE REPUBLICAN CAMPAIGN COMM,STATE REPRESENTATIVE,.                   ,,,,,,,,,
518493,1B, , ,0,44372,0,2022,JANUARY QUARTERLY CS,MICHIGAN ASSOCIATION OF CERTIFIED PUBLIC ACCOUNTANTS POLITICAL ACTION CO,MI ASSN CERT PUB ACCNTNS MACPA PAC,594,IND,DIRECT,,,,,ANANICH FUTURE FUND 2               ,PO BOX 12192,LANSING             ,MI,48901-0000,11/22/21,500,,,ANANICH FUTURE FUND 2,STATE SENATE,.                   ,,,,,,,,,
518493,1B, , ,0,44373,0,2022,JANUARY QUARTERLY CS,MICHIGAN ASSOCIATION OF CERTIFIED PUBLIC ACCOUNTANTS POLITICAL ACTION CO,MI ASSN CERT PUB ACCNTNS MACPA PAC,594,IND,DIRECT,,,,,CURT VANDERWALL FOR STATE SENA      ,4906 RASMUSSEN RD,LUDINGTON           ,MI,49431-0000,11/22/21,500,,,CURT VANDERWALL FOR STATE SENA,STATE SENATE,MASON               ,,,,,,,,,
518493,1B, , ,0,44374,0,2022,JANUARY QUARTERLY CS,MICHIGAN ASSOCIATION OF CERTIFIED PUBLIC ACCOUNTANTS POLITICAL ACTION CO,MI ASSN CERT PUB ACCNTNS MACPA PAC,594,IND,DIRECT,,,,,CTE YOUSEF RABHI                    ,1255 KENSINGTON DR,ANN ARBOR           ,MI,48104-0000,11/22/21,500,,,CTE YOUSEF RABHI,STATE REPRESENTATIVE,WASHTENAW           ,,,,,,,,,
518493,1B, , ,0,44375,0,2022,JANUARY QUARTERLY CS,MICHIGAN ASSOCIATION OF CERTIFIED PUBLIC ACCOUNTANTS POLITICAL ACTION CO,MI ASSN CERT PUB ACCNTNS MACPA PAC,594,IND,DIRECT,,,,,CTE DONNA LASINSKI                  ,PO BOX 7425,ANN ARBOR           ,MI,48107-0000,11/22/21,1500,,,CTE DONNA LASINSKI,STATE REPRESENTATIVE,.                   ,,,,,,,,,
518499,1B, , ,0,376,0,2022,JANUARY QUARTERLY CS,PFIZER MICHIGAN PAC,PFIZER MICHIGAN PAC,509454,IND,DIRECT,,2022 GENERAL,,,COMMITTEE TO ELECT WINNIE BRINKS FOR,2060 OSCEOLA DRIVE SE,GRAND RAPIDS        ,MI,49506-0000,11/22/21,500,,1,WINNIE BRINKS,STATE SENATE 029,,,,,,,,,,
518499,1B, , ,0,377,0,2022,JANUARY QUARTERLY CS,PFIZER MICHIGAN PAC,PFIZER MICHIGAN PAC,509454,IND,DIRECT,,2022 GENERAL,,,EMBOLDEN PAC                        ,101 SOUTH WASHINGTON SQUARE SUITE 300,LANSING             ,MI,48933-0000,11/22/21,500,,1,,,,,,,,,,,,
518499,1B, , ,0,378,0,2022,JANUARY QUARTERLY CS,PFIZER MICHIGAN PAC,PFIZER MICHIGAN PAC,509454,IND,DIRECT,,2022 GENERAL,,,GRETCHEN WHITMER FOR GOVERNOR       ,PO BOX 15282,LANSING             ,MI,48901-0000,10/26/21,1000,,1,GRETCHEN WHITMER,GOVERNOR,,,,,,,,,,
518499,1B, , ,0,379,0,2022,JANUARY QUARTERLY CS,PFIZER MICHIGAN PAC,PFIZER MICHIGAN PAC,509454,IND,DIRECT,,2022 GENERAL,,,MIKE MUELLER FOR STATE REPRESENTATIV,6127 LOBDELL ROAD,LINDEN              ,MI,48451-0000,11/22/21,250,,1,MIKE MUELLER,STATE REPRESENTATIVE 051,,,,,,,,,,
518502,1B, , ,0,8291,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,REFUND OF CONTRIBUTIONS,REFUND DINNER TICKET,,CONNIE              ,BAKER                               ,145 WATERFRONT APT 7,SAULT STE. MARIE    ,MI,49783-0000,9/5/21,50,,,,,,,,,,,,,,
518502,1B, , ,0,8303,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,INDEPENDENT CONTRACTORS,ACT BLUE FEE,,,ACTBLUE TECH SERVICES               ,14 ARROW ST,CAMBRIDGE           ,MA,02138-0000,1/6/21,4.23,,,,,,,,,,,,,,
518502,1B, , ,0,8304,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,COMPUTER COSTS,REIMBUSEMENT FOR ZOOM,,ALLISON             ,YOUNGS                              ,130 E WATER,SAULT STE MARIE     ,MI,49783-0000,1/8/21,167.79,,,,,,,,,,,,,,
518502,1B, , ,0,8305,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,PRINT ADVERTISING,REIMBUSEMENT FOR POST CARDS,,MICHAEL             ,WILLETTE                            ,2212 W 4TH AVE,SULT STE. MARIE     ,MI,49783-0000,1/8/21,92,,,,,,,,,,,,,,
518502,1B, , ,0,8306,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,CAMPAIGN OFFICE EXPENSE,SALES TAX ON AUCTION ITEMS,,,STATE OF MICHIGAN                   ,7285 PARSON DRIVE,DIONOORDALE DRIVE   ,MI,48821-0000,1/8/21,20.88,,,,,,,,,,,,,,
518502,1B, , ,0,8310,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,INDEPENDENT CONTRACTORS,ACT BLUE FEE,,,ACTBLUE TECH SERVICES               ,14 ARROW ST,CAMBRIDGE           ,MA,02138-0000,2/3/21,6.15,,,,,,,,,,,,,,
518502,1B, , ,0,8311,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,INDEPENDENT CONTRACTORS,ACT BLUE FEE,,,ACTBLUE TECH SERVICES               ,14 ARROW ST,CAMBRIDGE           ,MA,02138-0000,2/9/21,15.86,,,,,,,,,,,,,,
518502,1B, , ,0,8315,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,INDEPENDENT CONTRACTORS,ACT BLUE FEE,,,ACTBLUE TECH SERVICES               ,14 ARROW ST,CAMBRIDGE           ,MA,02138-0000,3/3/21,1.97,,,,,,,,,,,,,,
518502,1B, , ,0,8316,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,INDEPENDENT CONTRACTORS,ACT BLUE FEE,,,ACTBLUE TECH SERVICES               ,14 ARROW ST,CAMBRIDGE           ,MA,02138-0000,3/9/21,8.18,,,,,,,,,,,,,,
518502,1B, , ,0,8320,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,INDEPENDENT CONTRACTORS,ACT BLUE FEE,,,ACTBLUE TECH SERVICES               ,14 ARROW ST,CAMBRIDGE           ,MA,02138-0000,4/5/21,2.35,,,,,,,,,,,,,,
518502,1B, , ,0,8321,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,INDEPENDENT CONTRACTORS,ACT BLUE FEE,,,ACTBLUE TECH SERVICES               ,14 ARROW ST,CAMBRIDGE           ,MA,02138-0000,4/9/21,9.5,,,,,,,,,,,,,,
518502,1B, , ,0,8322,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,NON-FUND RAISER EVENTS,UNION PICNIC,,,EMMET COUNTY DEMOCRATS              ,PO BOX,PETOSKEY            ,MI,49770-0000,4/7/21,200,,,,,,,,,,,,,,
518502,1B, , ,0,8327,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,INDEPENDENT CONTRACTORS,ACT BLUE FEE,,,ACTBLUE TECH SERVICES               ,14 ARROW ST,CAMBRIDGE           ,MA,02138-0000,5/5/21,2.35,,,,,,,,,,,,,,
518502,1B, , ,0,8328,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,INDEPENDENT CONTRACTORS,ACT BLUE FEE,,,ACTBLUE TECH SERVICES               ,14 ARROW ST,CAMBRIDGE           ,MA,02138-0000,5/11/21,9,,,,,,,,,,,,,,
518502,1B, , ,0,8333,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,INDEPENDENT CONTRACTORS,ACT BLUE FEE,,,ACTBLUE TECH SERVICES               ,14 ARROW ST,CAMBRIDGE           ,MA,02138-0000,6/3/21,1.97,,,,,,,,,,,,,,
518502,1B, , ,0,8334,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,INDEPENDENT CONTRACTORS,ACT BLUE FEE,,,ACTBLUE TECH SERVICES               ,14 ARROW ST,CAMBRIDGE           ,MA,02138-0000,6/9/21,8.35,,,,,,,,,,,,,,
518502,1B, , ,0,8339,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,INDEPENDENT CONTRACTORS,ACT BLUE FEE,,,ACTBLUE TECH SERVICES               ,14 ARROW ST,CAMBRIDGE           ,MA,02138-0000,7/6/21,2.73,,,,,,,,,,,,,,
518502,1B, , ,0,8340,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,INDEPENDENT CONTRACTORS,ACT BLUE FEE,,,ACTBLUE TECH SERVICES               ,14 ARROW ST,CAMBRIDGE           ,MA,02138-0000,7/9/21,9.3,,,,,,,,,,,,,,
518502,1B, , ,0,8341,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,RENTAL OF FACILITIES,HALL RENTAL- ANNUAL,,,LAKE SUPERIOR STATE UNIVERSITY      ,650 WEST EASTERDAY AV,SAULT STE MARIE     ,MI,49783-0000,7/8/21,250,,,,,,,,,,,,,,
518502,1B, , ,0,8342,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,INDEPENDENT CONTRACTORS,ACT BLUE FEE,,,ACTBLUE TECH SERVICES               ,14 ARROW ST,CAMBRIDGE           ,MA,02138-0000,8/5/21,1.97,,,,,,,,,,,,,,
518502,1B, , ,0,8343,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,INDEPENDENT CONTRACTORS,ACT BLUE FEE,,,ACTBLUE TECH SERVICES               ,14 ARROW ST,CAMBRIDGE           ,MA,02138-0000,8/5/21,8.85,,,,,,,,,,,,,,
518502,1B, , ,0,8349,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,"MAILING,POSTAGE,BULK RATE",PO BOX,,,US POSTAL SERVICE                   ,161 RIDGE,SAULT STE MARIE     ,MI,49783-0000,8/23/21,118,,,,,,,,,,,,,,
518502,1B, , ,0,8350,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,INDEPENDENT CONTRACTORS,ACT BLUE FEE,,,ACTBLUE TECH SERVICES               ,14 ARROW ST,CAMBRIDGE           ,MA,02138-0000,9/3/21,6.03,,,,,,,,,,,,,,
518502,1B, , ,0,8351,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,INDEPENDENT CONTRACTORS,ACT BLUE FEE,,,ACTBLUE TECH SERVICES               ,14 ARROW ST,CAMBRIDGE           ,MA,02138-0000,9/3/21,16.57,,,,,,,,,,,,,,
518502,1B, , ,0,8352,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,INDEPENDENT CONTRACTORS,ACT BLUE FEE,,,ACTBLUE TECH SERVICES               ,14 ARROW ST,CAMBRIDGE           ,MA,02138-0000,10/4/21,2.42,,,,,,,,,,,,,,
518502,1B, , ,0,8353,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,INDEPENDENT CONTRACTORS,ACT BLUE FEE,,,ACTBLUE TECH SERVICES               ,14 ARROW ST,CAMBRIDGE           ,MA,02138-0000,10/12/21,8.67,,,,,,,,,,,,,,
518502,1B, , ,0,8368,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,INDEPENDENT CONTRACTORS,ACT BLUE FEE,,,ACTBLUE TECH SERVICES               ,14 ARROW ST,CAMBRIDGE           ,MA,02138-0000,11/3/21,2.42,,,,,,,,,,,,,,
518502,1B, , ,0,8369,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,INDEPENDENT CONTRACTORS,ACT BLUE FEE,,,ACTBLUE TECH SERVICES               ,14 ARROW ST,CAMBRIDGE           ,MA,02138-0000,11/9/21,8.97,,,,,,,,,,,,,,
518502,1B, , ,0,8380,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,INDEPENDENT CONTRACTORS,ACT BLUE FEE,,,ACTBLUE TECH SERVICES               ,14 ARROW ST,CAMBRIDGE           ,MA,02138-0000,12/3/21,4.45,,,,,,,,,,,,,,
518502,1B, , ,0,8381,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,PRINT ADVERTISING,POST CARD,,,MDP RURAL CAUCUS                    ,PO BOX 312,ROMEO               ,MI,48065-0000,8/27/21,100,,,,,,,,,,,,,,
518502,1B, , ,0,8382,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,PRINT ADVERTISING,POST CARD,,,SAULT SNOWMOBLE ASSOC               ,29TH AVE,SAULT STE. MARIE    ,MI,49783-0000,10/7/21,25,,,,,,,,,,,,,,
518502,1B, , ,0,8384,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,INDEPENDENT CONTRACTORS,ACT BLUE FEE,,,ACTBLUE TECH SERVICES               ,14 ARROW ST,CAMBRIDGE           ,MA,02138-0000,12/9/21,12.67,,,,,,,,,,,,,,
518502,1B, , ,0,8385,0,2022,ANNUAL CS,CHIPPEWA COUNTY DEMOCRATIC PARTY,CHIPPEWA CO DEM PARTY,2253,COU,DIRECT,INDEPENDENT CONTRACTORS,ACT BLUE FEE,,,ACTBLUE TECH SERVICES               ,14 ARROW ST,CAMBRIDGE           ,MA,02138-0000,1/11/21,22.85,,,,,,,,,,,,,,
518504,1B, , ,0,4631,0,2022,JANUARY QUARTERLY CS,SHIAWASSEE COUNTY DEMOCRATIC PARTY,SHIAWASSEE COUNTY DEMOCRATIC PARTY,1613,COU,DIRECT,COMPUTER COSTS,ZOOM MEETING FEE,,,ZOOM                                ,55 ALMADEN BOULEVARD,SAN JOSE            ,CA,95113-0000,11/7/21,15.89,,,,,,,,,,,,,,
518504,1B, , ,0,4633,0,2022,JANUARY QUARTERLY CS,SHIAWASSEE COUNTY DEMOCRATIC PARTY,SHIAWASSEE COUNTY DEMOCRATIC PARTY,1613,COU,DIRECT,COMPUTER COSTS,G SUITE FEES,,,GOOGLE                              ,1600 AMPHITHEATRE PARKWAY,MOUNTAINVIEW        ,CA,94093-0000,12/3/21,48,,,,,,,,,,,,,,
518504,1B, , ,0,4635,0,2022,JANUARY QUARTERLY CS,SHIAWASSEE COUNTY DEMOCRATIC PARTY,SHIAWASSEE COUNTY DEMOCRATIC PARTY,1613,COU,DIRECT,"MAILING,POSTAGE,BULK RATE",PO BOX RENEWAL,,,US POSTAL SERVICE (OWOSSO)          ,319 N WASHINGTON STREET,OWOSSO              ,MI,48867-0000,12/21/21,134,,,,,,,,,,,,,,
518504,1B, , ,0,4658,0,2022,JANUARY QUARTERLY CS,SHIAWASSEE COUNTY DEMOCRATIC PARTY,SHIAWASSEE COUNTY DEMOCRATIC PARTY,1613,COU,DIRECT,COMPUTER COSTS,ZOOM MEETING FEE,,,ZOOM                                ,55 ALMADEN BOULEVARD,SAN JOSE            ,CA,95113-0000,11/8/21,15.89,,,,,,,,,,,,,,
518504,1B, , ,0,4659,0,2022,JANUARY QUARTERLY CS,SHIAWASSEE COUNTY DEMOCRATIC PARTY,SHIAWASSEE COUNTY DEMOCRATIC PARTY,1613,COU,DIRECT,COMPUTER COSTS,VANTIVE E-COMMERCE FEE,,,VANTIV ECOMMERCE                    ,8500 GOVERNOR'S HILL DRIVE,SYMMES TOWNSHIP     ,OH,45249-0000,11/9/21,4.21,,,,,,,,,,,,,,
518504,1B, , ,0,4660,0,2022,JANUARY QUARTERLY CS,SHIAWASSEE COUNTY DEMOCRATIC PARTY,SHIAWASSEE COUNTY DEMOCRATIC PARTY,1613,COU,DIRECT,COMPUTER COSTS,VANTIVE E-COMMERCE FEE,,,VANTIV ECOMMERCE                    ,8500 GOVERNOR'S HILL DRIVE,SYMMES TOWNSHIP     ,OH,45249-0000,12/3/21,9.25,,,,,,,,,,,,,,
518504,1B, , ,0,4661,0,2022,JANUARY QUARTERLY CS,SHIAWASSEE COUNTY DEMOCRATIC PARTY,SHIAWASSEE COUNTY DEMOCRATIC PARTY,1613,COU,DIRECT,COMPUTER COSTS,ZOOM MEETING FEE,,,ZOOM                                ,55 ALMADEN BOULEVARD,SAN JOSE            ,CA,95113-0000,12/8/21,15.89,,,,,,,,,,,,,,
518504,1B, , ,0,4662,0,2022,JANUARY QUARTERLY CS,SHIAWASSEE COUNTY DEMOCRATIC PARTY,SHIAWASSEE COUNTY DEMOCRATIC PARTY,1613,COU,DIRECT,COMPUTER COSTS,VANTIVE E-COMMERCE FEE,,,VANTIV ECOMMERCE                    ,8500 GOVERNOR'S HILL DRIVE,SYMMES TOWNSHIP     ,OH,45249-0000,12/9/21,21.61,,,,,,,,,,,,,,
518504,1B, , ,0,4663,0,2022,JANUARY QUARTERLY CS,SHIAWASSEE COUNTY DEMOCRATIC PARTY,SHIAWASSEE COUNTY DEMOCRATIC PARTY,1613,COU,DIRECT,"MAILING,POSTAGE,BULK RATE",POSTAGE,,,US POSTAL SERVICE (OWOSSO)          ,319 N WASHINGTON STREET,OWOSSO              ,MI,48867-0000,12/17/21,58,,,,,,,,,,,,,,
518506,1B, , ,0,28707,0,2022,JANUARY QUARTERLY CS,MICHIGAN CHAMBER POLITICAL ACTION COMMITTEE,MICHIGAN CHAMBER POLITICAL ACTION CO,372,IND,DIRECT,DIRECT CONTRIBUTIONS,DIRECT CONTRIBUTION,,,CTE KEN BORTON                      ,7682 WHITE CLOUD TRL,GAYLORD             ,MI,49735-0000,10/27/21,300,,,KEN BORTON,STATE REPRESENTATIVE 105TH,.                   ,,,,,,,,,
518506,1B, , ,0,28708,0,2022,JANUARY QUARTERLY CS,MICHIGAN CHAMBER POLITICAL ACTION COMMITTEE,MICHIGAN CHAMBER POLITICAL ACTION CO,372,IND,DIRECT,DIRECT CONTRIBUTIONS,DIRECT CONTRIBUTION,,,RODNEY WAKEMAN FOR STATE REP        ,4231 ANN ST,SAGINAW             ,MI,48603-0000,10/27/21,150,,,RODNEY WAKEMAN,STATE REPRESENTATIVE 94TH,SAGINAW             ,,,,,,,,,
518506,1B, , ,0,28709,0,2022,JANUARY QUARTERLY CS,MICHIGAN CHAMBER POLITICAL ACTION COMMITTEE,MICHIGAN CHAMBER POLITICAL ACTION CO,372,IND,DIRECT,DIRECT CONTRIBUTIONS,DIRECT CONTRIBUTION,,,CTE ROGER HAUCK                     ,PO BOX 985,MT PLEASANT         ,MI,48804-0000,10/27/21,250,,,,,,,,,,,,,,
518506,1B, , ,0,28710,0,2022,JANUARY QUARTERLY CS,MICHIGAN CHAMBER POLITICAL ACTION COMMITTEE,MICHIGAN CHAMBER POLITICAL ACTION CO,372,IND,DIRECT,DIRECT CONTRIBUTIONS,DIRECT CONTRIBUTION,,,GROWING MICHIGAN                    ,12401 SPEAKER RD.,BROCKWAY            ,MI,48097-0000,10/27/21,250,,,,,,,,,,,,,,
518506,1B, , ,0,28712,0,2022,JANUARY QUARTERLY CS,MICHIGAN CHAMBER POLITICAL ACTION COMMITTEE,MICHIGAN CHAMBER POLITICAL ACTION CO,372,IND,DIRECT,DIRECT CONTRIBUTIONS,DIRECT CONTRIBUTION,,,CTE JOHN DAMOOSE FOR STATE REP      ,PO BOX 95,HARBOR SPRINGS      ,MI,49740-0000,11/3/21,300,,,JOHN DAMOOSE,STATE REPRESENTATIVE 107TH,.                   ,,,,,,,,,
518506,1B, , ,0,28713,0,2022,JANUARY QUARTERLY CS,MICHIGAN CHAMBER POLITICAL ACTION COMMITTEE,MICHIGAN CHAMBER POLITICAL ACTION CO,372,IND,DIRECT,DIRECT CONTRIBUTIONS,DIRECT CONTRIBUTION,,,FRIENDS OF PHIL GREEN               ,7650 TRUMBOWER TRL,MILLINGTON          ,MI,48746-0000,11/3/21,200,,,PHIL GREEN,STATE REPRESENTATIVE 84TH,TUSCOLA             ,,,,,,,,,
518506,1B, , ,0,28714,0,2022,JANUARY QUARTERLY CS,MICHIGAN CHAMBER POLITICAL ACTION COMMITTEE,MICHIGAN CHAMBER POLITICAL ACTION CO,372,IND,DIRECT,DIRECT CONTRIBUTIONS,DIRECT CONTRIBUTION,,,ELECT JIM RUNESTAD STATE SEN        ,2210 TEGGERDINE,WHITE LAKE          ,MI,48386-0000,11/3/21,250,,,JIM RUNESTAD,STATE SENATE 15TH,OAKLAND             ,,,,,,,,,
518506,1B, , ,0,28715,0,2022,JANUARY QUARTERLY CS,MICHIGAN CHAMBER POLITICAL ACTION COMMITTEE,MICHIGAN CHAMBER POLITICAL ACTION CO,372,IND,DIRECT,DIRECT CONTRIBUTIONS,DIRECT CONTRIBUTION,,,WENTWORTH MAJORITY FUND             ,PO BOX 1013,EAST LANSING        ,MI,48826-0000,11/17/21,5000,,,,,,,,,,,,,,
518506,1B, , ,0,28716,0,2022,JANUARY QUARTERLY CS,MICHIGAN CHAMBER POLITICAL ACTION COMMITTEE,MICHIGAN CHAMBER POLITICAL ACTION CO,372,IND,DIRECT,DIRECT CONTRIBUTIONS,DIRECT CONTRIBUTION,,,MATT HALL MAJORITY FUND             ,127 HEATHER DR,MARSHALL            ,MI,49068-0000,11/17/21,5000,,,,,,,,,,,,,,
518506,1B, , ,0,28717,0,2022,JANUARY QUARTERLY CS,MICHIGAN CHAMBER POLITICAL ACTION COMMITTEE,MICHIGAN CHAMBER POLITICAL ACTION CO,372,IND,DIRECT,DIRECT CONTRIBUTIONS,DIRECT CONTRIBUTION,,,FRIENDS OF BRYAN POSTHUMUS          ,11908 ELKINS ST NE,GREENVILLE          ,MI,48838-0000,11/17/21,250,,,BRYAN POSTHUMUS,STATE REPRESENTATIVE 73RD,.                   ,,,,,,,,,
518506,1B, , ,0,28718,0,2022,JANUARY QUARTERLY CS,MICHIGAN CHAMBER POLITICAL ACTION COMMITTEE,MICHIGAN CHAMBER POLITICAL ACTION CO,372,IND,DIRECT,DIRECT CONTRIBUTIONS,DIRECT CONTRIBUTION,,,CTE RICK OUTMAN FOR STSENATE        ,6481 N MILES RD,SIX LAKES           ,MI,48886-0000,11/17/21,250,,,RICK OUTMAN,STATE SENATE 33RD,MONTCALM            ,,,,,,,,,
518506,1B, , ,0,28719,0,2022,JANUARY QUARTERLY CS,MICHIGAN CHAMBER POLITICAL ACTION COMMITTEE,MICHIGAN CHAMBER POLITICAL ACTION CO,372,IND,DIRECT,DIRECT CONTRIBUTIONS,DIRECT CONTRIBUTION,,,CTE DAVID MARTIN STATE REP          ,805 S STATE RD,DAVISON             ,MI,48423-0000,11/17/21,200,,,DAVID MARTIN,STATE REPRESENTATIVE 48TH,.                   ,,,,,,,,,
518506,1B, , ,0,28720,0,2022,JANUARY QUARTERLY CS,MICHIGAN CHAMBER POLITICAL ACTION COMMITTEE,MICHIGAN CHAMBER POLITICAL ACTION CO,372,IND,DIRECT,DIRECT CONTRIBUTIONS,DIRECT CONTRIBUTION,,,FRIENDS OF GREG VANWOERKOM          ,6490 BOULDER DR,NORTON SHORES       ,MI,49444-0000,11/29/21,200,,,GREG VANWOERKOM,STATE REPRESENTATIVE 91ST,MUSKEGON            ,,,,,,,,,
518506,1B, , ,0,28721,0,2022,JANUARY QUARTERLY CS,MICHIGAN CHAMBER POLITICAL ACTION COMMITTEE,MICHIGAN CHAMBER POLITICAL ACTION CO,372,IND,DIRECT,DIRECT CONTRIBUTIONS,DIRECT CONTRIBUTION,,,CURTIS HERTEL JR FOR MICHIGAN       ,PO BOX 16028,LANSING             ,MI,48901-0000,11/29/21,250,,,,,,,,,,,,,,
518506,1B, , ,0,28722,0,2022,JANUARY QUARTERLY CS,MICHIGAN CHAMBER POLITICAL ACTION COMMITTEE,MICHIGAN CHAMBER POLITICAL ACTION CO,372,IND,DIRECT,DIRECT CONTRIBUTIONS,DIRECT CONTRIBUTION,,,NESBITT MAJORITY FUND               ,P.O. BOX 10233,LANSING             ,MI,48901-0000,11/29/21,2500,,,,,,,,,,,,,,
