id,date,time,shift,reporting_personnel,number_assisting,location
202000244,9/8/20,1348,DAYS,"WINGERSON, B",3,"BOOKINGAREA"
202000245,9/10/20,50,NITE,"ANTOS, M",3,CELL
202000247,9/10/20,230,NITE,"RIFE, C",4,"BOOKINGAREA"
202000248,9/9/20,2350,NITE,"RIFE, C",3,"JUVENILEHOLDINGAREA"
202000252,9/14/20,520,NITE,"ANTOS, M",2,"BOOKINGAREA"
202000255,9/18/20,1524,EVES,"OROZCO, C",2,"SALLYPORT"
202000257,9/20/20,200,NITE,"ANTOS, M",3,"BOOKINGAREA"
202000258,9/20/20,230,NITE,"ANTOS, M",1,"BOOKINGAREA"
202000259,9/23/20,1429,EVES,"OROZCO, C",2,CELL
202000263,9/27/20,230,NITE,"BETANCOURT, L",3,"BOOKINGAREA"
202000264,9/27/20,230,NITE,"BETANCOURT, L",5,"AFISROOM"
202000268,9/29/20,515,NITE,"BETANCOURT, L",3,CELL
202000270,9/30/20,445,NITE,"TEEL, S",3,
202000272,9/30/20,1900,EVES,"MOODY, P",2,CELL
202000273,10/1/20,255,NITE,"VALDEZ, G",2,"BOOKINGAREA"
202000276,10/1/20,1420,EVES,"OROZCO, C",3,CELL
202000278,10/2/20,1350,DAYS,"WHITEHEAD, R",4,CELL
202000282,10/7/20,500,NITE,"MARROQUIN, J",6,"SALLYPORT"
202000283,10/8/20,1410,EVES,"HO, T",3,"BOOKINGAREA"
202000285,10/9/20,221,NITE,"VALDEZ, G",2,CELL
202000287,10/9/20,1900,EVES,"VILLEGAS, L",2,CELL
202000293,10/14/20,30,NITE,"BETANCOURT, L",1,"BOOKINGAREA"
202000294,10/14/20,1225,DAYS,"ANTOS, M",1,CELL
202000296,10/17/20,145,NITE,"BETANCOURT, L",4,"BOOKINGAREA"
202000297,10/18/20,330,NITE,"BETANCOURT, L",1,"SALLYPORT"
202000299,10/20/20,330,NITE,"BETANCOURT, L",2,"BOOKINGAREA"
202000303,10/22/20,530,NITE,"RIFE, C",1,"BOOKINGAREA"
202000309,10/29/20,545,NITE,"PINA, F",3,CELL
202000312,11/6/20,135,NITE,"CLARKE, T",1,CELL
202000314,11/7/20,200,NITE,"CLARKE, T",,"SALLYPORT"
202000317,11/8/20,1206,NITE,"TEEL, S",3,"DWIROOM"
202000319,11/8/20,730,DAYS,"ADAME, R",2,CELL
202000320,11/10/20,115,NITE,"BETANCOURT, L",2,"SALLYPORT"
202000321,11/11/20,1830,EVES,"MOODY, P",3,"BOOKINGAREA"
202000322,11/12/20,1330,DAYS,"HAESLY, K",2,CELL
202000325,11/13/20,2125,EVES,"HAESLY, K",2,CELL
202000326,11/14/20,405,NITE,"MARROQUIN, J",4,CELL
202000332,11/21/20,325,NITE,"BETANCOURT, L",3,"BOOKINGAREA"
202000334,11/21/20,510,NITE,"BETANCOURT, L",2,"BOOKINGAREA"
202000335,11/22/20,335,NITE,"BETANCOURT, L",2,"BOOKINGAREA"
202000336,11/23/20,630,DAYS,"WINGERSON, B",1,CELL
202000337,11/24/20,2130,EVES,"HAESLY, K",2,CELL
202000341,11/27/20,2310,NITE,"CLARKE, T",3,CELL
202000342,11/28/20,445,NITE,"CLARKE, T",2,CELL
202000343,11/29/20,630,DAYS,"ANTOS, M",1,"BOOKINGAREA"
202000346,12/2/20,1845,EVES,"GONZALEZ, G",3,CELL
202000349,12/6/20,1845,EVES,"GONZALEZ, G",4,"BOOKINGAREA"
202000350,12/7/20,1310,DAYS,"WINGERSON, B",5,"BOOKINGAREA"
202000351,12/8/20,645,DAYS,"WINGERSON, B",2,"BOOKINGAREA"
202000354,12/8/20,2100,EVES,"HAESLY, K",2,CELL
202000355,12/11/20,1230,NITE,"CLARKE, T",3,"SALLYPORT"
202000357,12/13/20,1708,EVES,"HO, T",1,CELL
202000359,12/17/20,1545,EVES,"HO, T",3,"BOOKINGAREA"
202000360,12/19/20,200,NITE,"BETANCOURT, L",2,CELL
202000361,12/19/20,2325,NITE,"BETANCOURT, L",2,CELL
202000363,12/21/20,340,NITE,"MARROQUIN, J",3,"SALLYPORT"
202100001,1/2/21,309,NITE,"TEEL, S",5,"BOOKINGAREA"
202100003,1/5/21,25,NITE,"RIFE, C",2,"BOOKINGAREA"
202100004,1/5/21,315,NITE,"RIFE, C",4,CELL
202100011,1/19/21,1550,EVES,"OROZCO, C",2,CELL
202100012,1/19/21,1915,EVES,"OROZCO, C",2,"SALLYPORT"
202100016,1/20/21,1830,EVES,"CORTES, A",2,CELL
202100017,1/20/21,2200,NITE,"CLARKE, T",5,"BOOKINGAREA"
202100020,1/24/21,511,NITE,"BETANCOURT, L",5,"BOOKINGAREA"
202100022,1/25/21,2315,NITE,"BETANCOURT, L",1,"BOOKINGAREA"
202100025,1/28/21,1500,EVES,"KIDD, J",5,"BOOKINGAREA"
202100031,2/1/21,2130,EVES,"KIDD, J",5,CELL
202100032,2/3/21,1716,EVES,"KIDD, J",,"BOOKINGAREA"
202100034,2/5/21,1125,DAYS,"HARRIS, J",4,CELL
202100035,2/5/21,2033,EVES,"KIDD, J",4,"SALLYPORT"
202100037,2/7/21,37,NITE,"BETANCOURT, L",4,"DWIROOM"
202100038,2/7/21,1140,NITE,"ANTOS, M",2,"BOOKINGAREA"
202100042,2/9/21,1640,EVES,"OROZCO, C",4,"BOOKINGAREA"
202100045,2/14/21,2340,NITE,"BETANCOURT, L",,"JUVENILEHOLDINGAREA"
202100047,2/20/21,2330,NITE,"BOWMAN, D",3,"AFISROOM"
202100048,2/20/21,100,NITE,"BOWMAN, D",3,"BOOKINGAREA"
202100049,2/20/21,230,NITE,"BOWMAN, D",2,"DWIROOM"
202100051,2/20/21,520,NITE,"BOWMAN, D",3,"BOOKINGAREA"
202100052,2/20/21,400,NITE,"BOWMAN, D",3,"BOOKINGAREA"
202100054,2/21/21,400,NITE,"CLARKE, T",1,"SALLYPORT"
202100056,2/22/21,150,NITE,"ANTOS, M",3,"BOOKINGAREA"
202100058,2/26/21,330,NITE,"BOWMAN, D",,"BOOKINGAREA"
202100062,2/27/21,453,NITE,"BETANCOURT, L",3,"BOOKINGAREA"
202100064,2/28/21,245,NITE,"BETANCOURT, L",4,"DWIROOM"
202100065,3/3/21,2300,NITE,"CLARKE, T",3,"BOOKINGAREA"
202100068,3/4/21,2230,NITE,"ANTOS, M",2,
202100072,3/8/21,2227,NITE,"BETANCOURT, L",3,"BOOKINGAREA"
202100073,3/12/21,1530,EVES,"ADAME, R",4,"BOOKINGAREA"
202100074,3/15/21,1804,EVES,"KIDD, J",2,CELL
202100077,3/17/21,1836,EVES,"KIDD, J",3,"AFISROOM"
202100078,3/19/21,435,NITE,"CLARKE, T",4,"SALLYPORT"
202100080,3/19/21,1250,DAYS,"HARRIS, J",4,CELL
202100085,3/26/21,2330,NITE,"KIDD, J",5,CELL
202100086,3/26/21,2338,EVES,"KIDD, J",4,CELL
202100087,3/27/21,248,NITE,"KIDD, J",2,CELL
202100089,3/28/21,1742,EVES,"KIDD, J",5,CELL
202100090,3/28/21,2217,EVES,"KIDD, J",3,"BOOKINGAREA"
202100092,3/29/21,2016,EVES,"TEEL, S",2,
202100094,3/30/21,2300,NITE,"VALDEZ, G",2,
202100098,4/3/21,227,NITE,"CLARKE, T",4,"BOOKINGAREA"
202100110,4/17/21,2025,EVES,"HAESLY, K",4,CELL
202100111,4/18/21,2143,EVES,"KIDD, J",3,"BOOKINGAREA"
202100112,4/19/21,210,NITE,"CLARKE, T",4,"SALLYPORT"
202100114,4/20/21,520,NITE,"BETANCOURT, L",3,CELL
202100116,4/25/21,1000,DAYS,"MARROQUIN, J",3,"BOOKINGAREA"
202100121,4/27/21,2335,NITE,"VILLEGAS, L",2,"BOOKINGAREA"
202100124,4/30/21,100,NITE,"VILLEGAS, L",4,"SALLYPORT"
202100126,5/5/21,2240,NITE,"KENNEDY, J",3,"DWIROOM"
