category,position
firefighter,FIRE BATTALION CHIEF (56 HOURS)
firefighter,FIRE BATTALION CHIEF (80 HR)
firefighter,FIRE BATTALION CHIEF (8HR)
firefighter,FIRE BATTALION CHIEF (D)
firefighter,FIRE BATTALION CHIEF (INTERIM)
firefighter,FIRE BATTALION CHIEF (RM)
firefighter,FIRE BATTALION CHIEF (S)
firefighter,FIRE BATTALION CHIEF / 80HOURS
firefighter,FIRE BATTALION CHIEF 112
firefighter,FIRE BATTALION CHIEF 2.5%
firefighter,FIRE BATTALION CHIEF 5%
firefighter,FIRE BATTALION CHIEF 80
firefighter,FIRE BATTALION CHIEF HOURLY
firefighter,FIRE BATTALION CHIEF PDP LEVEL 4
firefighter,FIRE BATTALION CHIEF- PDP LEVEL 4
firefighter,FIRE BATTALION CHIEF-40 HR
firefighter,FIRE BATTALION CHIEF-40 HR.
firefighter,FIRE BATTALION CHIEF-56 HR
firefighter,FIRE BATTALION CHIEF-56 HR.
firefighter,FIRE BATTALION CHIEF-ADMIN
firefighter,FIRE BATTALION CHIEF-C
firefighter,FIRE BATTALION CHIEF-C-A
firefighter,FIRE BATTALION CHIEF-REG
firefighter,FIRE BATTALION CHIEF-SUPPRESS
firefighter,FIRE BATTALION CHIEF-TRAINING
firefighter,FIRE BATTALION CHIEF/40
firefighter,FIRE BATTALION CHIEF/40 HOUR PDP L4
firefighter,FIRE BATTALION CHIEF/56
firefighter,FIRE BATTALION CHIEF/80HOURS
firefighter,FIRE BC SHIFT
firefighter,FIRE BC-EMERG MED SERV
other,FIRE BUSINESS MANAGER TEMP
firefighter,FIRE CAPT
firefighter,FIRE CAPT. - 40 HRS./WEEK
firefighter,FIRE CAPT. (SUPPRESSION)
firefighter,FIRE CAPT./PARAMEDIC
firefighter,FIRE CAPT./PARAMEDIC/FPO
firefighter,FIRE CAPT/FPO 10%
firefighter,FIRE CAPT/PARAMEDIC
firefighter,FIRE CAPT/PARAMEDIC/FPO
firefighter,FIRE CAPTAIN
firefighter,FIRE CAPTAIN                     SHIFT HRS
firefighter,FIRE CAPTAIN                (56 HR)
firefighter,FIRE CAPTAIN      112 HRS
firefighter,FIRE CAPTAIN      112 HRS (MEDICARE-EXEMPT)
firefighter,FIRE CAPTAIN     (RETIRED)
firefighter,FIRE CAPTAIN - 112 HOURS
firefighter,FIRE CAPTAIN - 40 HOUR
firefighter,FIRE CAPTAIN - 40 HOURS
firefighter,FIRE CAPTAIN - 40 HR
firefighter,FIRE CAPTAIN - 40 HRS/WEEK
firefighter,FIRE CAPTAIN - 56 HR
firefighter,FIRE CAPTAIN - 80 HOURS
firefighter,FIRE CAPTAIN - ACTING
firefighter,FIRE CAPTAIN - ADMINISTRATION
firefighter,FIRE CAPTAIN - DAYS
firefighter,FIRE CAPTAIN - FOC 4%
firefighter,FIRE CAPTAIN - FULL-TIME
firefighter,FIRE CAPTAIN - MAST
firefighter,FIRE CAPTAIN - PARAMEDIC
other,FIRE CAPTAIN - PART-TIME
firefighter,FIRE CAPTAIN - PM CERT
firefighter,FIRE CAPTAIN - PREVENTION
firefighter,FIRE CAPTAIN - RELIEF
firefighter,FIRE CAPTAIN - SHIFT
firefighter,FIRE CAPTAIN - SHIFT A
firefighter,FIRE CAPTAIN - SUPPRESSION
firefighter,FIRE CAPTAIN - TRAINING
firefighter,FIRE CAPTAIN - VACANT
firefighter,FIRE CAPTAIN -EMT
firefighter,FIRE CAPTAIN (112 HR)
firefighter,FIRE CAPTAIN (40 HOUR)
firefighter,FIRE CAPTAIN (40)
firefighter,FIRE CAPTAIN (56 HOUR)
firefighter,FIRE CAPTAIN (56 HOURS/WEEKS)
firefighter,FIRE CAPTAIN (56 HRS/WK)
firefighter,FIRE CAPTAIN (80 HR)
firefighter,FIRE CAPTAIN (D)
firefighter,FIRE CAPTAIN (EMERGENCY MANAGEMENT COORDINATOR)
firefighter,FIRE CAPTAIN (INTERIM)
firefighter,FIRE CAPTAIN (PARAMEDIC)
firefighter,FIRE CAPTAIN (S)
firefighter,FIRE CAPTAIN (SUPPRESSION)
firefighter,FIRE CAPTAIN (TRAINING)
firefighter,FIRE CAPTAIN (W/ FLSA)
firefighter,FIRE CAPTAIN / EMS COORD
firefighter,FIRE CAPTAIN / EMS COORDINATOR
firefighter,FIRE CAPTAIN + 1.25%
firefighter,FIRE CAPTAIN + 11.25%
firefighter,FIRE CAPTAIN + 3.75%
firefighter,FIRE CAPTAIN + 5% ASSIGNMENT
firefighter,FIRE CAPTAIN + 7.5%
firefighter,FIRE CAPTAIN + 8.75%
firefighter,FIRE CAPTAIN +1.25%
firefighter,FIRE CAPTAIN +3.75%
firefighter,FIRE CAPTAIN 112
firefighter,FIRE CAPTAIN 112 HOURS
firefighter,FIRE CAPTAIN 2.5%
firefighter,FIRE CAPTAIN 24 HOURS
firefighter,FIRE CAPTAIN 24 HOURS-TRAINING
firefighter,FIRE CAPTAIN 24 HOURS-TRAINING PREMIUM
firefighter,FIRE CAPTAIN 24 HRS
firefighter,FIRE CAPTAIN 24HR-TRNG PREMIUM
firefighter,FIRE CAPTAIN 40 HRS
firefighter,FIRE CAPTAIN 5%
firefighter,FIRE CAPTAIN 56.3
firefighter,FIRE CAPTAIN 80
firefighter,FIRE CAPTAIN 80 HOURS
firefighter,FIRE CAPTAIN 80 HRS
firefighter,FIRE CAPTAIN A/A
firefighter,FIRE CAPTAIN A/A 2.5%
firefighter,FIRE CAPTAIN A/A 5%
firefighter,FIRE CAPTAIN ADMINISTRATION
firefighter,FIRE CAPTAIN AH
firefighter,FIRE CAPTAIN B/A
firefighter,FIRE CAPTAIN B/A 2.5%
firefighter,FIRE CAPTAIN BASE ONLY
firefighter,FIRE CAPTAIN BG
firefighter,FIRE CAPTAIN BUREAU
firefighter,FIRE CAPTAIN EMT
firefighter,FIRE CAPTAIN HAZMAT EMT
firefighter,FIRE CAPTAIN I
firefighter,FIRE CAPTAIN I  (56-HOUR)
firefighter,FIRE CAPTAIN I (40-HOUR)
firefighter,FIRE CAPTAIN I (56 HOUR)
firefighter,FIRE CAPTAIN I (56-HOUR)
firefighter,FIRE CAPTAIN II
firefighter,FIRE CAPTAIN II (56 HOUR)
firefighter,FIRE CAPTAIN III
firefighter,FIRE CAPTAIN III (40)
firefighter,FIRE CAPTAIN IV
firefighter,FIRE CAPTAIN IV (40)
firefighter,FIRE CAPTAIN L
firefighter,FIRE CAPTAIN LL
firefighter,FIRE CAPTAIN PARAMEDIC
firefighter,FIRE CAPTAIN SHIFT
firefighter,FIRE CAPTAIN SHIFT HRS
firefighter,FIRE CAPTAIN SPECIAL ASSIGNMENT
firefighter,FIRE CAPTAIN SPECIALIST
firefighter,FIRE CAPTAIN STAFF
firefighter,FIRE CAPTAIN WITH PARAMEDIC LICENSE
firefighter,FIRE CAPTAIN- SHIFT B
firefighter,FIRE CAPTAIN- SHIFT C
firefighter,FIRE CAPTAIN-40 HOUR
firefighter,FIRE CAPTAIN-40 HR
firefighter,FIRE CAPTAIN-40 HR WEEK
firefighter,FIRE CAPTAIN-40 HR.
firefighter,FIRE CAPTAIN-56 HOUR
firefighter,FIRE CAPTAIN-56 HR
firefighter,FIRE CAPTAIN-56 HR.
firefighter,FIRE CAPTAIN-A
firefighter,FIRE CAPTAIN-ADMIN
firefighter,FIRE CAPTAIN-C
firefighter,FIRE CAPTAIN-C-A
firefighter,FIRE CAPTAIN-EMT
firefighter,FIRE CAPTAIN-MAST
firefighter,FIRE CAPTAIN-PARAMEDIC
firefighter,FIRE CAPTAIN-SHIFT HRS
firefighter,FIRE CAPTAIN-SPECIALIST
firefighter,FIRE CAPTAIN-SUPPRESSION
firefighter,FIRE CAPTAIN(56 HOURS)
firefighter,FIRE CAPTAIN(EMER MGMT. COORDINATOR)
firefighter,FIRE CAPTAIN(EMERGENCY MANAGEMENT COORDINATOR)
firefighter,FIRE CAPTAIN/ PARAMEDIC
firefighter,FIRE CAPTAIN/AA
firefighter,FIRE CAPTAIN/ADMINISTRATION
firefighter,FIRE CAPTAIN/BA
firefighter,FIRE CAPTAIN/BB
firefighter,FIRE CAPTAIN/FPO
firefighter,FIRE CAPTAIN/HAZ MAT I
firefighter,FIRE CAPTAIN/HAZ MAT II
firefighter,FIRE CAPTAIN/HM I
firefighter,FIRE CAPTAIN/HM II
firefighter,FIRE CAPTAIN/MARSHALL
firefighter,FIRE CAPTAIN/PARAMED
firefighter,FIRE CAPTAIN/PARAMED- SHIFT A
firefighter,FIRE CAPTAIN/PARAMED- SHIFT B
firefighter,FIRE CAPTAIN/PARAMED- SHIFT C
firefighter,FIRE CAPTAIN/PARAMEDIC
firefighter,FIRE CAPTAIN+1.25%
firefighter,FIRE CAPTAIN+3.75%
firefighter,FIRE CAPTAINS 2.5%
firefighter,FIRE CAPTIAN
firefighter,FIRE CAPTIAN / BUREAU
firefighter,FIRE CHIEF
firefighter,FIRE CHIEF          (RETIRED)
other,FIRE CHIEF - PART TIME
other,FIRE CHIEF - PART-TIME
other,FIRE CHIEF - PT
firefighter,FIRE CHIEF - PT
firefighter,FIRE CHIEF - VOLUNTEER
firefighter,FIRE CHIEF (CONTRACTED)
firefighter,FIRE CHIEF (EM)
other,FIRE CHIEF (PART TIME)
other,FIRE CHIEF (PART-TIME)
firefighter,FIRE CHIEF (PRIOR)
firefighter,FIRE CHIEF (PT)
other,FIRE CHIEF (TEMPORARY)
firefighter,FIRE CHIEF (VOLUNTEER)
firefighter,FIRE CHIEF & ASSISTANT DIR. DISASTER
firefighter,FIRE CHIEF & ASST DIR DISASTER
firefighter,FIRE CHIEF & ASST DIRECTOR DISASTER
firefighter,FIRE CHIEF & CODE ENFORCEMENT OFFICER
firefighter,FIRE CHIEF & DIRECTOR OF EMERGENCY SERVIC
firefighter,FIRE CHIEF & DIRECTOR OF EMERGENCY SERVICE
firefighter,FIRE CHIEF & DIRECTOR OF EMERGENCY SERVICES
firefighter,FIRE CHIEF #1
firefighter,FIRE CHIEF #2
firefighter,FIRE CHIEF 1ST ASSISTANT
firefighter,FIRE CHIEF 2ND ASS'T
firefighter,FIRE CHIEF 2ND ASSISTANT
firefighter,FIRE CHIEF AND ASS'T
firefighter,FIRE CHIEF AND DIRECTOR OF EMERGENCY SERVICES
firefighter,FIRE CHIEF CONTRACT - UNIVERSITY OF CALIFORNIA AT DAVIS
firefighter,FIRE CHIEF ENGINEER
other,FIRE CHIEF PART-TIME
other,FIRE CHIEF TEMP PART-TIME
firefighter,FIRE CHIEF U
firefighter,FIRE CHIEF W/INCENTIVE
firefighter,FIRE CHIEF WITH STIPEND
firefighter,FIRE CHIEF-CONTRA COSTA
firefighter,FIRE CHIEF-CONTRACT
firefighter,"FIRE CHIEF, BATTALION"
firefighter,"FIRE CHIEF, BATTALION - 40 HR"
firefighter,"FIRE CHIEF, BATTALION-40 HOUR"
firefighter,"FIRE CHIEF, DEPUTY"
firefighter,FIRE CHIEF/CODE ENFORCEMENT OFFICER
firefighter,FIRE CHIEF/DEPUTY CITY MANAGER
firefighter,FIRE CHIEF/DEPUTY CITY MGR
other,FIRE COMMUNICATIONS P/T
firefighter,FIRE DEPARTMENT CHIEF
other,FIRE DEPARTMENT SECRETARY
other,FIRE DEPT SECRETARY/TREASURER
other,FIRE DEPT. SECRETARY/TREASURER
firefighter,FIRE DEPUTY CHIEF
other,FIRE DISPATCHER I (FLEX)(PART-TIME)
other,FIRE DISPATCHER II (PART-TIME)
other,FIRE DISPATCHER TEMP
other,FIRE DISPATCHER TRAINEE
firefighter,FIRE DISTRICT CHIEF/ADMIN SERVICES
firefighter,FIRE DISTRICT CHIEF/ADMIN SVCS
firefighter,FIRE DIV CHIEF
other,FIRE DIV CHIEF P/T
firefighter,FIRE DIV CHIEF-TRAINING
firefighter,FIRE DIV. CHIEF
firefighter,FIRE DIV. CHIEF/TRAINING & OPS.
firefighter,FIRE DIVISION CAPTAIN ADMINISTRATION/FM-PDP L 3
firefighter,FIRE DIVISION CAPTAIN ADMINISTRATION/FM-PDP L 4
firefighter,FIRE DIVISION CHIEF
other,FIRE DIVISION CHIEF - PART TIME
other,FIRE DIVISION CHIEF - TEMP EXHLP
firefighter,FIRE DIVISION CHIEF (MARSHAL)
firefighter,FIRE DIVISION CHIEF 112
firefighter,FIRE DIVISION CHIEF 112 (MEDICARE-EXEMPT)
firefighter,FIRE DIVISION CHIEF ADMIN
firefighter,FIRE DIVISION CHIEF ADMINISTRATION/FIRE MARSHAL-PDP LEVEL 3
firefighter,FIRE DIVISION CHIEF ADMINISTRATION/FIRE MARSHAL-PDP LEVEL 4
firefighter,FIRE DIVISION CHIEF ADMINISTRATION/FIRE MARSHALL - PDP L3
firefighter,FIRE DIVISION CHIEF ADMINISTRATION/FIRE MARSHALL- PDP L4
firefighter,FIRE DIVISION CHIEF PER DIEM
firefighter,FIRE DIVISION CHIEF SHIFT
other,FIRE DIVISION CHIEF-TEMP EXHLP
firefighter,FIRE DIVISION CHIEF-TRAINING
firefighter,FIRE ENG PARAMEDIC
firefighter,FIRE ENG/PARAMEDIC
firefighter,FIRE ENGINE CAPTAIN
firefighter,FIRE ENGINEER
firefighter,FIRE ENGINEER                    SHIFT HRS
firefighter,FIRE ENGINEER     112 HRS
firefighter,FIRE ENGINEER     112 HRS (MEDICARE-EXEMPT)
firefighter,FIRE ENGINEER  + 7.5%
firefighter,FIRE ENGINEER  + 8.75%
firefighter,FIRE ENGINEER - 112 HOURS
firefighter,FIRE ENGINEER - 4%
firefighter,FIRE ENGINEER - 56
firefighter,FIRE ENGINEER - 8 HOUR
firefighter,FIRE ENGINEER - 80 HOURS
firefighter,FIRE ENGINEER - MAST
firefighter,FIRE ENGINEER - PARAMEDIC
firefighter,FIRE ENGINEER - PM CERT
other,FIRE ENGINEER - RELIEF
firefighter,FIRE ENGINEER - SHIFT A
firefighter,FIRE ENGINEER - SUPPRESSION
firefighter,FIRE ENGINEER (112 HR)
firefighter,FIRE ENGINEER (40-HOUR)
firefighter,FIRE ENGINEER (56 HOUR)
firefighter,FIRE ENGINEER (56 HOURS/WEEKS)
firefighter,FIRE ENGINEER (56 HRS/WK)
firefighter,FIRE ENGINEER (56-HOUR)
firefighter,FIRE ENGINEER (56HRS/WK)
firefighter,FIRE ENGINEER (INTERIM)
other,FIRE ENGINEER (P/T)
firefighter,FIRE ENGINEER (PAR)
firefighter,FIRE ENGINEER (PARAMEDIC)
firefighter,FIRE ENGINEER (S)
firefighter,FIRE ENGINEER (W/ FLSA)
firefighter,FIRE ENGINEER / PARAMEDIC
firefighter,FIRE ENGINEER + 15% ASSIGNMENT
firefighter,FIRE ENGINEER + 5%
firefighter,FIRE ENGINEER + 5% ASSIGNMENT
firefighter,FIRE ENGINEER + 7.5%
firefighter,FIRE ENGINEER +3.75%
firefighter,FIRE ENGINEER +5%
firefighter,FIRE ENGINEER 112
firefighter,FIRE ENGINEER 2.5%
firefighter,FIRE ENGINEER 4%
firefighter,FIRE ENGINEER 5%
firefighter,FIRE ENGINEER A/A
firefighter,FIRE ENGINEER A/A 2.5%
firefighter,FIRE ENGINEER A/A 5%
firefighter,FIRE ENGINEER B/A
firefighter,FIRE ENGINEER B/A 2.5%
firefighter,FIRE ENGINEER BASE ONLY
firefighter,FIRE ENGINEER EMT
firefighter,FIRE ENGINEER HAZ MAT
firefighter,FIRE ENGINEER I
firefighter,FIRE ENGINEER II
firefighter,FIRE ENGINEER III
firefighter,FIRE ENGINEER IV
firefighter,FIRE ENGINEER OPERATOR
firefighter,FIRE ENGINEER PARAMEDIC
firefighter,FIRE ENGINEER PARAMEDIC HAZ MAT
firefighter,FIRE ENGINEER SHIFT HRS
firefighter,FIRE ENGINEER SPECIAL ASSIGNMENT
firefighter,FIRE ENGINEER SPECIAL ASSIGNMT
firefighter,FIRE ENGINEER SUPPRESSION
firefighter,FIRE ENGINEER TIER 2
firefighter,FIRE ENGINEER W/ PM BONUS
firefighter,FIRE ENGINEER WITH PARAMEDIC LICENSE
firefighter,FIRE ENGINEER- PARAMEDIC
firefighter,FIRE ENGINEER- SHIFT A
firefighter,FIRE ENGINEER- SHIFT C
firefighter,FIRE ENGINEER-A
firefighter,FIRE ENGINEER-ACTING CAPTAIN
firefighter,FIRE ENGINEER-ACTNG CAPTAIN
firefighter,FIRE ENGINEER-C
firefighter,FIRE ENGINEER-C-A
firefighter,FIRE ENGINEER-MAST
firefighter,FIRE ENGINEER-PARAMEDIC
firefighter,FIRE ENGINEER-SHIFT HRS
firefighter,FIRE ENGINEER/ HAZMAT II
firefighter,FIRE ENGINEER/40 HOUR
firefighter,FIRE ENGINEER/56 HOUR
firefighter,FIRE ENGINEER/A
firefighter,FIRE ENGINEER/AA
firefighter,FIRE ENGINEER/BA
firefighter,FIRE ENGINEER/BB
firefighter,FIRE ENGINEER/BUREAU
firefighter,FIRE ENGINEER/EMT
firefighter,FIRE ENGINEER/HAZ MAT I
firefighter,FIRE ENGINEER/HAZ MAT II
firefighter,FIRE ENGINEER/HAZMAT
firefighter,FIRE ENGINEER/HAZMAT- SHIFT C
firefighter,FIRE ENGINEER/HM I
firefighter,FIRE ENGINEER/HM II
firefighter,FIRE ENGINEER/HMI
firefighter,FIRE ENGINEER/HMII
firefighter,FIRE ENGINEER/PARA
firefighter,FIRE ENGINEER/PARAMED
firefighter,FIRE ENGINEER/PARAMED- SHIFT A
firefighter,FIRE ENGINEER/PARAMED- SHIFT B
firefighter,FIRE ENGINEER/PARAMED- SHIFT C
firefighter,FIRE ENGINEER/PARAMEDIC
firefighter,FIRE ENGINEER+3.75%
firefighter,FIRE ENGINEER+5%
firefighter,FIRE ENGINEER+7.5%
firefighter,FIRE ENGINEERING INSPECTOR SHIFT
firefighter,FIRE ENGINEERING INSPECTOR STAFF
firefighter,FIRE ENGR/PARAMEDIC
other,FIRE EQUIPMENT TECHNICIAN
firefighter,FIRE FIGHTER
firefighter,FIRE FIGHTER - 40 HR
firefighter,FIRE FIGHTER - 56
firefighter,FIRE FIGHTER - JAPE 6
firefighter,FIRE FIGHTER - OVERHIRE
firefighter,FIRE FIGHTER - PARAMEDIC
firefighter,FIRE FIGHTER - PROBATION
other,FIRE FIGHTER - RESERVE
firefighter,FIRE FIGHTER (56 HOUR)
firefighter,FIRE FIGHTER (56 HOURS/WEEKS)
firefighter,FIRE FIGHTER (56 HRS/WK)
firefighter,FIRE FIGHTER (LIGHT DUTY - 40 HOURS/WEEKS)
firefighter,FIRE FIGHTER (PARAMEDIC)
firefighter,FIRE FIGHTER 1
firefighter,FIRE FIGHTER 2
firefighter,FIRE FIGHTER 2.5%
firefighter,FIRE FIGHTER 3
firefighter,FIRE FIGHTER A/A
firefighter,FIRE FIGHTER A/A 5%
firefighter,FIRE FIGHTER B/A
firefighter,FIRE FIGHTER B/A 2.5%
firefighter,FIRE FIGHTER EMT
firefighter,FIRE FIGHTER ENGINEER
firefighter,FIRE FIGHTER ENGR
firefighter,FIRE FIGHTER FIRE POINT
firefighter,FIRE FIGHTER FLEX
firefighter,FIRE FIGHTER FULL TIME
firefighter,FIRE FIGHTER I
firefighter,FIRE FIGHTER I (40-HOUR)
firefighter,FIRE FIGHTER I (40)
firefighter,FIRE FIGHTER I (56-HOUR)
firefighter,FIRE FIGHTER II
firefighter,FIRE FIGHTER II (40-HOUR)
firefighter,FIRE FIGHTER II (56 HOUR)
firefighter,FIRE FIGHTER II (56-HOUR)
firefighter,FIRE FIGHTER II-80
firefighter,FIRE FIGHTER III
firefighter,FIRE FIGHTER IV
firefighter,FIRE FIGHTER PARAMEDIC
firefighter,FIRE FIGHTER PARAMEDIC HAZ MAT
firefighter,FIRE FIGHTER PARAMEDIC II
other,FIRE FIGHTER PART TIME
firefighter,FIRE FIGHTER RECRUIT
other,FIRE FIGHTER RESERVE
firefighter,FIRE FIGHTER SPECIALIST (56 HOUR)
firefighter,FIRE FIGHTER SPECIALIST(56 HOURS)
other,FIRE FIGHTER TRAINEE
firefighter,FIRE FIGHTER TRAINEE
firefighter,FIRE FIGHTER- SHIFT B
firefighter,FIRE FIGHTER-EMT
firefighter,FIRE FIGHTER-PAID CALL
firefighter,FIRE FIGHTER-PARAMEDIC
other,FIRE FIGHTER-PART TIME
other,FIRE FIGHTER-VOLUNTEER
firefighter,FIRE FIGHTER(56 HOURS)
firefighter,FIRE FIGHTER/BC AIDE
firefighter,FIRE FIGHTER/EMT
firefighter,FIRE FIGHTER/ENGINEER
firefighter,FIRE FIGHTER/FIRE BOAT OPERATOR
firefighter,FIRE FIGHTER/PARA
firefighter,FIRE FIGHTER/PARAMED
firefighter,FIRE FIGHTER/PARAMED - SHIFT A
firefighter,FIRE FIGHTER/PARAMED/HAZMAT
firefighter,FIRE FIGHTER/PARAMED/HAZMAT-B
firefighter,FIRE FIGHTER/PARAMEDIC
firefighter,FIRE FIGHTER/PARAMEDIC - JAPE 6
firefighter,"FIRE FIGHTER/PARAMEDIC A,B,C"
firefighter,FIRE FIGHTER/PARAMEDIC I
firefighter,FIRE HELICOPTER PILOT I
firefighter,FIRE HELICOPTER PILOT II
firefighter,FIRE HELICOPTER PILOT III
firefighter,FIRE HELICOPTER PILOT IV
firefighter,FIRE HELICOPTER PILOT V
other,FIRE INSPECTOR - TEMPORARY
other,FIRE INSPECTOR (CIVILIAN) - TEMP
other,FIRE INSPECTOR (CIVILIAN) - TEMPORARY
other,FIRE INSPECTOR (CIVILIAN)-TEMP
firefighter,FIRE INSPECTOR I
firefighter,FIRE INSPECTOR II
firefighter,FIRE INSPECTOR L
firefighter,FIRE INSPECTOR LL
other,FIRE INSPECTOR P/T
other,FIRE INTERN
other,FIRE INTERN (PART-TIME)
other,FIRE INTERN P/T
firefighter,FIRE INVESTIGATOR/CAPTAIN
other,FIRE IS TECHNICIAN
firefighter,FIRE LIEUTENANT
firefighter,FIRE LIEUTENANT (PARAMEDIC)
firefighter,FIRE LIEUTENANT /PARAMEDIC
firefighter,FIRE LIEUTENANT 4%
firefighter,FIRE LIEUTENANT/PARA
firefighter,FIRE LIEUTENANT/PARAMEDIC
firefighter,FIRE LIEUTENENT (PARAMEDIC)
firefighter,FIRE LINE BATTALION CHIEF
firefighter,FIRE LINE BATTALION CHIEF - 112 HOURS
firefighter,FIRE MARSHAL
firefighter,FIRE MARSHAL (40 HR)
firefighter,FIRE MARSHAL ADMINISTRATION
firefighter,FIRE MARSHAL B/A 5%
firefighter,FIRE MARSHAL DEPUTY
firefighter,FIRE MARSHAL NON-SAFETY
firefighter,FIRE MARSHAL NS
other,FIRE MARSHAL PART-TIME
firefighter,FIRE MARSHAL-ADMINISTRATION
firefighter,FIRE MARSHAL/CAPTAIN
firefighter,FIRE MARSHAL/CODE COM/HAZMAT
firefighter,FIRE MARSHAL/DIV CHI
firefighter,FIRE MARSHAL/DIVISION CHIEF
firefighter,FIRE MARSHAL/HAZ MAT MANAGER
firefighter,FIRE MARSHAL/TRAINING OFFICER
firefighter,FIRE MARSHALL
firefighter,FIRE MARSHALL / FIRE PREVENTION SERVICES CHIEF
firefighter,FIRE MARSHALL CODE COMPLIANCE OFFICER
other,"FIRE MARSHALL, P/T"
firefighter,FIRE MARSHALL/DEP CHIEF
firefighter,FIRE MARSHALL/DIV. CHIEF-ADMIN
firefighter,FIRE MARSHALL/DIVISION CHIEF
firefighter,FIRE OPERATIONS BATTALION CHIEF
firefighter,FIRE OPERATIONS DIVISION CHIEF
firefighter,FIRE OPERATIONS/TRAINING DIVISION CHIEF
firefighter,FIRE OPS CHIEF
firefighter,FIRE OPS DIVISION CHIEF
firefighter,FIRE PARAMEDIC
firefighter,FIRE PARAMEDIC    112 HRS
firefighter,FIRE PARAMEDIC    80/112 HRS
firefighter,FIRE PARAMEDIC - 112 HOURS
firefighter,FIRE PARAMEDIC/AA
firefighter,FIRE PARAMEDIC/BA
firefighter,FIRE PARAMEDIC/BB
other,FIRE PLAN CHECK PART-TIME
other,FIRE PLAN CHECKER - PART TIME
firefighter,FIRE PREV ENGINEER/INVEST
firefighter,FIRE PREV/ASSISTANT CHIEF
firefighter,FIRE PREVENTION BATTALION CHIEF
firefighter,FIRE PREVENTION CAPTAIN
firefighter,FIRE PREVENTION DIV CHIEF
firefighter,FIRE PREVENTION DIVISION CHIEF
firefighter,FIRE PREVENTION ENGINEER
firefighter,FIRE PREVENTION ENGINEERING ASSISTANT I
other,FIRE PREVENTION ENGINEERING ASSISTANT I
firefighter,FIRE PREVENTION ENGINEERING ASSISTANT II
other,FIRE PREVENTION ENGINEERING ASSISTANT II
firefighter,FIRE PREVENTION ENGINEERING ASST I
firefighter,FIRE PREVENTION ENGINEERING ASST II
other,FIRE PREVENTION INSPECTOR - PART-TIME
other,FIRE PREVENTION PERMIT TECHNICIAN I
other,FIRE PREVENTION PLAN CHECKER - PART TIME
other,FIRE PREVENTION PLAN CHECKER - PART-TIME
other,FIRE PREVENTION RESERVE FIREFIGHTER
firefighter,FIRE PREVENTION SERVICES CHIEF
other,FIRE PREVENTION SPEC PART-TIME
other,FIRE PREVENTION SPECIALIST (PART-TIME)
other,FIRE PREVENTION TECHNICIAN
other,"FIRE PREVENTION TECHNICIAN, PART-TIME"
firefighter,FIRE PREVENTION/ASSISTANT CHIEF
firefighter,FIRE PROGRAM ENGINEER
firefighter,FIRE PROTECTION ENGINEER
firefighter,FIRE PROTECTION ENGINEERING ASSOCIATE IV
other,FIRE PROTECTION ENGINEERING ASSOCIATE IV
other,FIRE PROTECTION SPEC TEMPORARY
other,FIRE PROTECTION SPECIALIST TEMPORARY
other,FIRE PSYCHOLOGIST
other,FIRE RELIEF SPECIALIST
firefighter,FIRE RESCUE PARAMEDIC
other,FIRE RESERVE
other,FIRE RESERVE ON CALL
firefighter,FIRE SAFETY MARSHALL
other,FIRE SECRETARY
other,FIRE SECRETARY - PART-TIME
other,FIRE SERVICEICE TECH P/T
other,FIRE SERVICES TECHNICIAN II
other,FIRE SERVICES TECHNICIAN II-TEMP
firefighter,FIRE SHIFT CAPTAIN
firefighter,FIRE STATION CAPTAIN
firefighter,FIRE SUPPRESSION CAPTAIN
other,FIRE TECHNICIAN
other,FIRE TECHNICIAN (P/T)
other,FIRE TECHNICIAN II
other,FIRE TRAINEE
firefighter,FIRE TRAINING CAPTAIN
firefighter,FIRE TRAINING CHIEF
other,FIRE TRAINING MAINTENANCE TECHNICIAN
other,FIRE VOLUNTEER
other,FIRE VOLUNTEER (AS NEEDED)
firefighter,FIRE-BAT CHIEF
firefighter,FIRE-BATTALION CHIEF
other,FIRE-FIGHTER PART TIME
other,FIRE/ENGINEER TRAINEE
firefighter,FIREBATTALION CHIEF/ASST CHIEF
law-enforcement,FIREBOAT MATE
firefighter,FIREBOAT PILOT
firefighter,FIREFIGHER/PARAMEDIC
firefighter,FIREFIGHTER
firefighter,FIREFIGHTER                      SHIFT HRS
firefighter,FIREFIGHTER                 (56 HR)
firefighter,FIREFIGHTER       112 HRS
firefighter,FIREFIGHTER      (RESIGNED)
firefighter,FIREFIGHTER - 112 HOURS
firefighter,FIREFIGHTER - 40 HRS
firefighter,FIREFIGHTER - BILINGUAL
firefighter,FIREFIGHTER - COVER
firefighter,FIREFIGHTER - EMERGENCY MEDICAL TECHNICIAN
firefighter,FIREFIGHTER - HOURLY
firefighter,FIREFIGHTER - ON CALL
firefighter,FIREFIGHTER - PARAMEDIC
firefighter,FIREFIGHTER - PARAMEDIC - BILINGUAL
other,FIREFIGHTER - PART TIME
firefighter,FIREFIGHTER - SUPPRESSION
firefighter,FIREFIGHTER - VACANT
other,FIREFIGHTER - VOLUNTEER
firefighter,FIREFIGHTER (112 HR)
firefighter,FIREFIGHTER (80 HR)
firefighter,FIREFIGHTER (P.T)
firefighter,FIREFIGHTER (PAR)
firefighter,FIREFIGHTER (S)
other,FIREFIGHTER (VOLUNTEER)
