dish,phonetic,korean,slug,thumbnail,image_url
Soybean paste soup with spinach and clams,Sigeumchi-jogae doenjangguk,시금치조개 된장국,sigeumchi-jogae-doenjangguk,2020/02/siguemchijogae-doenjangguk-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-6yWcOVsMQSbZEFya6vuY1S1M.png?st=2024-10-14T16%3A04%3A46Z&se=2024-10-14T18%3A04%3A46Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A32%3A03Z&ske=2024-10-14T23%3A32%3A03Z&sks=b&skv=2024-08-04&sig=%2BCOvtAXWjW9JymaRu92sLUrNHV1MvZMT80%2BWsAICCAU%3D
Chayote kimchi,차이오티 김치,,chayote-kimchi,2020/01/kkakdugi-chayote-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-5HnC2lyyl2biAgoogkCmGpeI.png?st=2024-10-14T16%3A05%3A05Z&se=2024-10-14T18%3A05%3A05Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A19%3A40Z&ske=2024-10-14T23%3A19%3A40Z&sks=b&skv=2024-08-04&sig=Q9Ks4qpDZOCrGOeWdDwGApGglNJZLR4W/5QNgGc3074%3D
Fruit salad,Gwa-il-saeleodeu,과일샐러드,fruit-salad,2019/12/fruitsalad-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-c6j1P7dL7gJnqOl5vemyvjtO.png?st=2024-10-14T16%3A05%3A24Z&se=2024-10-14T18%3A05%3A24Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A20%3A50Z&ske=2024-10-14T23%3A20%3A50Z&sks=b&skv=2024-08-04&sig=8I5LYKfHAXXPnvjGFNusoBeMyFu96imr28xAQ3%2BWXT8%3D
Stir-fried noodles and vegetables,Easy japchae,잡채,easy-japchae,2019/12/japchae-three-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-svbicmxsOYx1ZeBcQAg9YPBv.png?st=2024-10-14T16%3A05%3A41Z&se=2024-10-14T18%3A05%3A41Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A28%3A11Z&ske=2024-10-14T23%3A28%3A11Z&sks=b&skv=2024-08-04&sig=WBVztQbnpHAlwnHOnCOAZ8/uUrGY0i4CNNfs4zU/kHc%3D
Oxtail soup,Sokkoritang,소꼬리탕,sokkoritang,2019/11/oxtail-soup-youtube-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-xf7JfZYMFVdDWBVAwjMZxug7.png?st=2024-10-14T16%3A05%3A59Z&se=2024-10-14T18%3A05%3A59Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-14T00%3A09%3A23Z&ske=2024-10-15T00%3A09%3A23Z&sks=b&skv=2024-08-04&sig=6fqGCXJuREFLaYXOZRn9FJhHdWBDPSKsGLDM/LhXCYc%3D
Vegetarian kimchi,Chaesik-kimchi,채식김치,chaesik-kimchi,2019/11/vegetarian-kimchi-150x150.jpg,
Vegetable stock,Chaeso-gukmul,채소국물,chaeso-gukmul,2019/10/chaesogukmul-closeup-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-Aubd9RRwfQdJICuyAXVX3vsS.png?st=2024-10-14T16%3A06%3A23Z&se=2024-10-14T18%3A06%3A23Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A26%3A36Z&ske=2024-10-14T23%3A26%3A36Z&sks=b&skv=2024-08-04&sig=zA9963XjBaJjRpepbzf0mmM3i6/9oLJqDKmmUEx93/E%3D
Doenjangguk with bok choy and tofu,Cheonggyeongchae dubu-doenjangguk,청경채 두부된장국,cheonggyeongchae-dubu-doenjangguk,2019/10/doenjangguk-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-Cakrziy7W2Rr6cKcMdMBDiHt.png?st=2024-10-14T16%3A06%3A48Z&se=2024-10-14T18%3A06%3A48Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-14T01%3A09%3A03Z&ske=2024-10-15T01%3A09%3A03Z&sks=b&skv=2024-08-04&sig=KWSBcMbGRCQ9NV4j7GSairPRcaZXpoicIFZiCpVFgiM%3D
Korean-style mapo tofu,Mapadubu,마파두부,korean-style-mapo-tofu,2019/09/mapotofu-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-7QrMACZLloUuHBjQq9le5NHy.png?st=2024-10-14T16%3A07%3A05Z&se=2024-10-14T18%3A07%3A05Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A56%3A27Z&ske=2024-10-14T23%3A56%3A27Z&sks=b&skv=2024-08-04&sig=Z99bNN13tJZ%2BuEpNrAYp98MCgFZ0sRD4I0biwgUTCM4%3D
Fermented pollock roe,Myeongnanjeot,명란젓,myeongnanjeot,2019/09/myeongnanjeot-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-8OEo7gvnYBGY5UQV5865OZhP.png?st=2024-10-14T16%3A07%3A31Z&se=2024-10-14T18%3A07%3A31Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A32%3A55Z&ske=2024-10-14T23%3A32%3A55Z&sks=b&skv=2024-08-04&sig=up9pfGNynrO%2BhPqc9HR73oqkUZIouJLPyKvZvxiRc38%3D
Spicy braised chicken breasts,Dakbokkeumtang,닭볶음탕,dakbokkeumtang,2011/12/dakbokkeumtang-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-3hx1ZHG5j3Gs2k2bm4bUdlW1.png?st=2024-10-14T16%3A07%3A52Z&se=2024-10-14T18%3A07%3A52Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A26%3A58Z&ske=2024-10-14T23%3A26%3A58Z&sks=b&skv=2024-08-04&sig=sqhOWbSEVDRQKQzBu/JgHIjRipwpq4HF2haXUdCoMOI%3D
Seafood pancakes,Haemuljeon,해물전,haemuljeon,2019/04/haemul-jeon-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-gAQSZP7dsGERxAbZ4MASsaO3.png?st=2024-10-14T16%3A08%3A08Z&se=2024-10-14T18%3A08%3A08Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T17%3A34%3A55Z&ske=2024-10-14T17%3A34%3A55Z&sks=b&skv=2024-08-04&sig=V2SCxnVhcgGt//KPr91hYpRr6vqDjm6KsyzoNXw0Ko8%3D
Spicy chicken & vegetable soup,Dakgaejang,닭개장,dakgaejang,2019/03/dakgaejang-rice-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-VGnKWAp7VvGxOfMw8KfgzGQh.png?st=2024-10-14T16%3A08%3A30Z&se=2024-10-14T18%3A08%3A30Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A24%3A39Z&ske=2024-10-14T23%3A24%3A39Z&sks=b&skv=2024-08-04&sig=mKdRpdGgBz74Q4QeI95dCIcCDcVA/vy255LmRVMopk4%3D
Stir-fried kimchi,Kimchi-bokkeum,김치볶음,kimchi-bokkeum,2019/02/kimchibokkeum-dosirak-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-857x5sb44zAUqbwTBRe0PIwC.png?st=2024-10-14T16%3A08%3A49Z&se=2024-10-14T18%3A08%3A49Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-14T01%3A45%3A38Z&ske=2024-10-15T01%3A45%3A38Z&sks=b&skv=2024-08-04&sig=JnT9LyCSFRCnn%2BJNdPSB0L28cfJI/s4IfJ1uew5IplA%3D
"Minced, seasoned, and grilled beef ribs with cheese",Cheese tteokgalbi,치즈떡갈비,cheese-tteokgalbi,2019/02/cheese-tteokgalbi-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-x7Ks5xCvwV2xWYwgs0ssIevx.png?st=2024-10-14T16%3A09%3A05Z&se=2024-10-14T18%3A09%3A05Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-14T00%3A04%3A30Z&ske=2024-10-15T00%3A04%3A30Z&sks=b&skv=2024-08-04&sig=EtL%2B4YaJ%2B2L/VYDiv4Sn8awnRJBpuF45TjRStcevDdQ%3D
Extra-strong fermented soybean paste stew,Cheonggukjang-jjigae,청국장찌개,cheonggukjang-jjigae,2019/01/cheonggukjang-jjigae-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-JY2W4MoE07dSA39QdJH83c6l.png?st=2024-10-14T16%3A09%3A29Z&se=2024-10-14T18%3A09%3A29Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A16%3A05Z&ske=2024-10-14T23%3A16%3A05Z&sks=b&skv=2024-08-04&sig=g%2BKmxIwlpdrw5ors21ACW2f8t8XodbZ9NoTm0X3anT0%3D
Salt-roasted shrimp,Saeu-sogeum-gui,새우소금구이,saeu-sogeum-gui,2018/11/salt-roasted-shrimp-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-YyWSB8Fvd81FrlJ2QD2NZcaM.png?st=2024-10-14T16%3A09%3A50Z&se=2024-10-14T18%3A09%3A50Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A40%3A45Z&ske=2024-10-14T23%3A40%3A45Z&sks=b&skv=2024-08-04&sig=3JTBk44bCfsXo/K2TW3k3ISAcDs1I4AjpbmN54QeRew%3D
"Stir-fried chives, meat, and vegetables",Buchu-japchae,부추잡채,buchu-japchae,2018/10/buchujapchae-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-ipIrtogvslf8gHaaewSetyV8.png?st=2024-10-14T16%3A10%3A10Z&se=2024-10-14T18%3A10%3A10Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A55%3A53Z&ske=2024-10-14T23%3A55%3A53Z&sks=b&skv=2024-08-04&sig=cFD5geXyVPp%2Bo2p34Z0eHehEaNmnwftxmIhK6sergMY%3D
Steamed flower-shaped buns,Kkotppang,꽃빵,kkotppang,2018/09/kkotppang-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-A3ODFFsCRorkMmUZsS2d7Ctl.png?st=2024-10-14T16%3A10%3A29Z&se=2024-10-14T18%3A10%3A29Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A56%3A36Z&ske=2024-10-14T23%3A56%3A36Z&sks=b&skv=2024-08-04&sig=q4NmIeXBLCfhULj%2B5rJI/vw8/%2BMbHIDOAdBrmSjJsCM%3D
Jellyfish salad,Haepari-naengchae,해파리냉채,haepari-naengchae,2018/09/jellyfish-salad-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-6ef8JiiBtkFHsKnErtvUKTUv.png?st=2024-10-14T16%3A10%3A49Z&se=2024-10-14T18%3A10%3A49Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A54%3A20Z&ske=2024-10-14T23%3A54%3A20Z&sks=b&skv=2024-08-04&sig=Xkd2ouKc8No3wJapZLhlAXh5KQuwhKMsDaUNudIF23M%3D
Corn cheese,Corn cheese,콘치즈,corn-cheese,2018/08/corncheese-youtube-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-qMq3bAtcPvnDA7JhrLlOoiDk.png?st=2024-10-14T16%3A11%3A11Z&se=2024-10-14T18%3A11%3A11Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-14T00%3A48%3A39Z&ske=2024-10-15T00%3A48%3A39Z&sks=b&skv=2024-08-04&sig=5V8mJscRVviaMfJOrI6l0IFTzl01y9/dgThlJ3MKBP4%3D
Steamed perilla leaves,Kkaennipjjim,깻잎찜,kkaennipjjim,2018/08/kkaennipjjim-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-i2IhZ866ea3bKbIdPW79kHqI.png?st=2024-10-14T16%3A11%3A28Z&se=2024-10-14T18%3A11%3A28Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-14T00%3A00%3A32Z&ske=2024-10-15T00%3A00%3A32Z&sks=b&skv=2024-08-04&sig=2KTiLDI%2B%2BmZsgGhbKQnuboFlMbJ4mei0JmjFufjDhJU%3D
Spicy pork stew,Dwaejigogi-jjigae,돼지고기찌개,dwaejigogi-jjigae,2018/07/dwaeji-jjigae-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-jiGzxKnJs5ca98ZYCRibJMRF.png?st=2024-10-14T16%3A11%3A53Z&se=2024-10-14T18%3A11%3A53Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A15%3A09Z&ske=2024-10-14T23%3A15%3A09Z&sks=b&skv=2024-08-04&sig=iD%2ByUAkxTJCTOtb/HDKS0xvslJp9CiN2VRtskWJpCsE%3D
Stir-fried fernbrake side dish,Gosari-namul,고사리나물,gosari-namul,2018/07/fernbrake-dish-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-NoSDDwxDydIb7HNTU7NgnU1A.png?st=2024-10-14T16%3A12%3A14Z&se=2024-10-14T18%3A12%3A14Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A25%3A25Z&ske=2024-10-14T23%3A25%3A25Z&sks=b&skv=2024-08-04&sig=LSklM6SVnQBD97cDYIGwp1eQ1oW9bOiJwFWwOzysCWE%3D
Dried shredded pollock seasoned with gochujang,Bugeopo gochujang-muchim,북어포 고추장무침,bugeopo-gochujang-muchim,2018/06/bugeopomuchim-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-CDSj8aV2NjCjB6wwynfyxayn.png?st=2024-10-14T16%3A12%3A36Z&se=2024-10-14T18%3A12%3A36Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A38%3A07Z&ske=2024-10-14T23%3A38%3A07Z&sks=b&skv=2024-08-04&sig=O4mrdh4dzV6t6AFUiOF1%2BPO92b1XC49FOT5qp%2B5TqkA%3D
"Quick, fresh kimchi",Baechu-geotjeori,배추겉절이,baechu-geotjeori,2018/05/baechugeotjeori-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-yFRBFJ5KmeSvCJmBBd5iUVyE.png?st=2024-10-14T16%3A12%3A57Z&se=2024-10-14T18%3A12%3A57Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-14T14%3A34%3A40Z&ske=2024-10-15T14%3A34%3A40Z&sks=b&skv=2024-08-04&sig=Pw8RhS3toqcpBi7iEl/iivIOEsyo8RjF4N94CbW8cGc%3D
Braised black beans,Geomeun-kongjorim,검은콩조림,geomeun-kongjorim,2018/05/braised-black-beans-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-Ou5PXo6y4prCebKEJjtgJCkR.png?st=2024-10-14T16%3A13%3A16Z&se=2024-10-14T18%3A13%3A16Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-14T01%3A02%3A27Z&ske=2024-10-15T01%3A02%3A27Z&sks=b&skv=2024-08-04&sig=bOyRWeEuEOgEZSHxKZ1o8B2Mutjs06XCbuzO7dfhDdM%3D
Sautéed zucchini and shrimp,Aehobak-saeu-bokkeum,애호박새우볶음,aehobak-saeu-bokkeum,2018/04/zucchini-shrimp-bokkeum-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-2UieRZVodzktIbkDctKqyuHv.png?st=2024-10-14T16%3A13%3A47Z&se=2024-10-14T18%3A13%3A47Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A15%3A50Z&ske=2024-10-14T23%3A15%3A50Z&sks=b&skv=2024-08-04&sig=8t3SY4y077zB69U/t2SVPBMUEDnSApIjehpfTSH%2BhTQ%3D
Spicy stir-fried octopus,Nakji-bokkeum,낙지볶음,nakji-bokkeum,2018/03/nakjibokkeum-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-bbl0Sk0JF6k9DNt9lC8IN3IG.png?st=2024-10-14T16%3A14%3A11Z&se=2024-10-14T18%3A14%3A11Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A42%3A08Z&ske=2024-10-14T23%3A42%3A08Z&sks=b&skv=2024-08-04&sig=C580SMWphFYXgFupTIIMZzFIlfPKXSXgdYQCUh1TgjI%3D
Spicy steamed eggs in an earthenware bowl,Maeun ttukbaegi gyeranjjim,매운 뚝배기 계란찜,maeun-ttukbaegi-gyeranjjim,2018/03/spicy-steamed-eggs-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-IumoJxelcSjDJKiCbmYj3fvi.png?st=2024-10-14T16%3A14%3A37Z&se=2024-10-14T18%3A14%3A37Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A17%3A18Z&ske=2024-10-14T23%3A17%3A18Z&sks=b&skv=2024-08-04&sig=RsZh3dOXqCV2v0%2BS1tflOUp8DA9wKIcouxmjzzdLuqE%3D
Spicy braised potatoes,Maeun-gamja-jorim,매운감자조림,maeun-gamja-jorim,2018/02/maeungamjajorim-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-kYVfBbQNApA2TPmCeGUP8dFj.png?st=2024-10-14T16%3A14%3A57Z&se=2024-10-14T18%3A14%3A57Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A38%3A48Z&ske=2024-10-14T23%3A38%3A48Z&sks=b&skv=2024-08-04&sig=8bnVJJU5ZYw2hFDL6K%2BWyBUgQFPjlVbxaFhBCLmNnjM%3D
Braised semi-dried pollock,Kodari-jorim,코다리조림,kodari-jorim,2018/01/kodarijorim-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-kC6LGbFWN2Lmw1B281h9udXQ.png?st=2024-10-14T16%3A15%3A19Z&se=2024-10-14T18%3A15%3A19Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A17%3A54Z&ske=2024-10-14T23%3A17%3A54Z&sks=b&skv=2024-08-04&sig=izByUgTWVOKcpUJg/qMS5QbHd6dnCr8hr8yXU946r20%3D
Braised pig's trotters,Jokbal,족발,jokbal,2017/12/jokbal-tube1-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-9FZcCBZZ58OhZXM08J0UzfPt.png?st=2024-10-14T16%3A15%3A44Z&se=2024-10-14T18%3A15%3A44Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-14T00%3A58%3A57Z&ske=2024-10-15T00%3A58%3A57Z&sks=b&skv=2024-08-04&sig=0dkMp%2BqvfsgCrqPJ6%2BSdflqAgtefUYipL9iMSk55OO8%3D
Seasoned fresh oysters,Gulmuchim,굴무침,gulmuchim,2017/11/oysters-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-uVgW4hTbgbwUMEp1RIILnEGW.png?st=2024-10-14T16%3A16%3A00Z&se=2024-10-14T18%3A16%3A00Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A32%3A43Z&ske=2024-10-14T23%3A32%3A43Z&sks=b&skv=2024-08-04&sig=%2BcEid7Z2H1jU/Ii/tJkqkCFZlYp2j9P5vwAriQsiz0M%3D
