agency,amount,state,origin,house_requestor,house_requestor2,house_requestor3,senate_requestor,senate_requestor2,senate_requestor2,senate_requestor4
Department of Housing and Urban Development,200000,,H/S,Underwood,,,Durbin,,,
Environmental Protection Agency,3500000,,H/S,Underwood, Foster,,Durbin,,,
DOJ,500000,,S,,,,Durbin,,,
DOC,175000,,S,,,,Durbin,,,
DOJ,640000,,S,,,,Durbin,,,
FEMA,915000,,S,,,,Durbin,,,
Department of Transportation,2000000,,S,,,,Durbin,,,
Department of Transportation,8250000,,S,,,,Durbin,,,
Department of Housing and Urban Development,200000,,S,,,,Durbin,,,
Department of Housing and Urban Development,300000,,S,,,,Durbin,,,
Department of Housing and Urban Development,350000,,S,,,,Durbin,,,
Department of Housing and Urban Development,478000,,S,,,,Durbin,,,
Department of Housing and Urban Development,500000,,S,,,,Durbin,,,
Animal and Plant Health Inspection Service,250000,,S,,,,Durbin,,,
Natural Resources Conservation Service,1000000,,S,,,,Durbin,,,
Rural Development,115000,,S,,,,Durbin,,,
DOJ,500000,,S,,,,Durbin,,,
DOJ,200000,,S,,,,Durbin,,,
DOJ,100000,,S,,,,Durbin,,,
DOJ,575000,,S,,,,Durbin,,,
Army Corps of Engineers (Civil),250000,,S,,,,Durbin,,,
Department of Energy,500000,,S,,,,Durbin,,,
Department of Energy,500000,,S,,,,Durbin,,,
Army Corps of Engineers (Civil),1525000,,S,,,,Durbin,,,
Army Corps of Engineers (Civil),6025000,,S,,,,Durbin,,,
Small Business Administration,200000,,S,,,,Durbin,,,
Environmental Protection Agency,250000,,S,,,,Durbin,,,
Forest Service,250000,,S,,,,Durbin,,,
Small Business Administration,300000,,S,,,,Durbin,,,
National Park Service,300000,,S,,,,Durbin,,,
Environmental Protection Agency,400000,,S,,,,Durbin,,,
Environmental Protection Agency,400000,,S,,,,Durbin,,,
Environmental Protection Agency,450000,,S,,,,Durbin,,,
Small Business Administration,500000,,S,,,,Durbin,,,
Environmental Protection Agency,500000,,S,,,,Durbin,,,
Environmental Protection Agency,500000,,S,,,,Durbin,,,
Fish and Wildlife Service,500000,,S,,,,Durbin,,,
Small Business Administration,600000,,S,,,,Durbin,,,
Department of Transportation,600000,,S,,,,Durbin,,,
Environmental Protection Agency,1500000,,S,,,,Durbin,,,
Department of Transportation,3500000,,S,,,,Durbin,,,
Department of Transportation,5000000,,S,,,,Durbin,,,
Air NG,10200000,,S,,,,Durbin,,,
General Services Administration,52000000,,S,,,,Durbin,,,
Department of Labor,315000,,S,,,,Durbin,,,
Department of Health & Human Services,600000,,S,,,,Durbin,,,
Department of Health & Human Services,775000,,S,,,,Durbin,,,
Department of Health & Human Services,850000,,S,,,,Durbin,,,
Department of Health & Human Services,1000000,,S,,,,Durbin,,,
Department of Health & Human Services,450000,,S,,,,Durbin,,,
Department of Health & Human Services,900000,,S,,,,Durbin,,,
Department of Health & Human Services,1000000,,S,,,,Durbin,,,
Department of Health & Human Services,500000,,S,,,,Durbin,,,
Department of Health & Human Services,1000000,,S,,,,Durbin,,,
Department of Health & Human Services,1000000,,S,,,,Durbin,,,
Department of Health & Human Services,800000,,S,,,,Durbin,,,
Department of Health & Human Services,1000000,,S,,,,Durbin,,,
Department of Health & Human Services,1000000,,S,,,,Durbin,,,
Department of Health & Human Services,90000,,S,,,,Durbin,,,
Department of Health & Human Services,750000,,S,,,,Durbin,,,
Department of Health & Human Services,1000000,,S,,,,Durbin,,,
Department of Health & Human Services,175000,,S,,,,Durbin,,,
Department of Health & Human Services,720000,,S,,,,Durbin,,,
Department of Health & Human Services,1000000,,S,,,,Durbin,,,
Department of Education,475000,,S,,,,Durbin,,,
Department of Education,500000,,S,,,,Durbin,,,
Department of Education,600000,,S,,,,Durbin,,,
Department of Education,750000,,S,,,,Durbin,,,
DOJ,900000,CA,H,Thompson ,,,Feinstein, Padilla,,
DOJ,5000000,,H,Correa,,,Feinstein, Padilla,,
DOJ,1000000,,H,Lofgren,,,Feinstein, Padilla,,
NASA,1000000,,H,Aguilar,,,Feinstein, Padilla,,
DOJ,615000,,H,LaMalfa,,,Feinstein, Padilla,,
Army Corps of Engineers (Civil),200000,,H/S,Ruiz, Vargas,,Feinstein, Padilla,,
Army Corps of Engineers (Civil),200000,,H/S,McNerney,,,Feinstein, Padilla,,
Army Corps of Engineers (Civil),500000,,H/S,Vargas,,,Feinstein, Padilla,,
Department of the Interior,500000,,H/S,Costa,,,Feinstein, Padilla,,
Army Corps of Engineers (Civil),2000000,,H/S,Garamendi,,,Feinstein, Padilla,,
Army Corps of Engineers (Civil),2146000,,H/S,Brownley,,,Feinstein, Padilla,,
Army Corps of Engineers (Civil),3790000,,H/S,Waters,,,Feinstein, Padilla,,
Department of the Interior,5000000,,H/S,Garamendi,,,Feinstein, Padilla,,
Department of the Interior,10000000,,H/S,Chu, Napolitano,,Feinstein, Padilla,,
Rural Development,1050000,,H/S,LaMalfa,,,Feinstein, Padilla,,
DOJ,1500000,,H/S,Lieu,,,Feinstein, Padilla,,
Rural Development,205000,,S,,,,Feinstein, Padilla,,
DOJ,1052000,,S,,,,Feinstein, Padilla,,
DOC,5600000,,S,,,,Feinstein, Padilla,,
Army Corps of Engineers (Civil),75000,,S,,,,Feinstein, Padilla,,
Army Corps of Engineers (Civil),525000,,S,,,,Feinstein, Padilla,,
Army Corps of Engineers (Civil),1000000,,S,,,,Feinstein, Padilla,,
Army Corps of Engineers (Civil),1000000,,S,,,,Feinstein, Padilla,,
Army Corps of Engineers (Civil),1775000,,S,,,,Feinstein, Padilla,,
Department of the Interior,3900000,,S,,,,Feinstein, Padilla,,
Department of Housing and Urban Development,2250000,CA,H,Levin ,,,Feinstein,Padilla,,
Department of Housing and Urban Development,400000,,H,Calvert,,,Feinstein,Padilla,,
Department of Housing and Urban Development,500000,,H,Ruiz,,,Feinstein,Padilla,,
FEMA,862500,CA,H,Torres ,,,Feinstein,,,
Department of Housing and Urban Development,1000000,CA,H,Lee ,,,Feinstein,,,
DOC,800000,CA,H,Levin ,,,Feinstein,,,
DOJ,5000000,CA,H,Kim ,,,Feinstein,,,
Environmental Protection Agency,1000000,CA,H,Lee ,,,Feinstein, Padilla,,
FEMA,565000,CA,H/S,Kim ,,,Feinstein, Padilla,,
FEMA,1000000,CA,H/S,Thompson ,,,Feinstein, Padilla,,
Department of Health & Human Services,310000,CA,H/S,Harder ,,,Feinstein, Padilla,,
Department of Housing and Urban Development,750000,,H,Swalwell,,,Feinstein,,,
Department of Housing and Urban Development,1000000,,H,Swalwell,,,Feinstein,,,
Department of Housing and Urban Development,850000,,H,Lowenthal,,,Feinstein,,,
Department of Housing and Urban Development,749650,,H,Lieu,,,Feinstein,,,
Department of Housing and Urban Development,1500000,,H,Chu,,,Feinstein,,,
Department of Housing and Urban Development,1000000,,H,Lieu,,,Feinstein,,,
DOJ,580000,,H,LaMalfa,,,Feinstein,,,
DOC,1150000,,H,Lofgren,,,Feinstein,,,
Environmental Protection Agency,112340,,H,Carbajal,,,Feinstein,,,
Department of Transportation,300000,,H,Vargas,,,Feinstein, Padilla,,
Department of Transportation,400000,,H,Vargas,,,Feinstein,,,
Department of Transportation,431250,,H,Garamendi,,,Feinstein, Padilla,,
Environmental Protection Agency,585000,,H,Bera,,,Feinstein,,,
Environmental Protection Agency,663224,,H,Obernolte,,,Feinstein, Padilla,,
Forest Service,750000,,H,LaMalfa,,,Feinstein, Padilla,,
Environmental Protection Agency,950000,,H,Costa,,,Feinstein, Padilla,,
Environmental Protection Agency,1000000,,H,Roybal-Allard,,,Feinstein,,,
Environmental Protection Agency,1000000,,H,Panetta,,,Feinstein, Padilla,,
Department of Transportation,1000000,,H,DeSaulnier,,,Feinstein,,,
Environmental Protection Agency,1284696,,H,Valadao,,,Feinstein, Padilla,,
Environmental Protection Agency,1756416,,H,Valadao,,,Feinstein, Padilla,,
Environmental Protection Agency,2700000,,H,Ruiz,,,Feinstein, Padilla,,
Department of Health & Human Services,575000,,H,Lowenthal,,,Feinstein,,,
Department of Health & Human Services,1000000,,H,Pelosi,,,Feinstein,,,
Department of Health & Human Services,325000,,H,Correa,,,Feinstein,,,
Department of Health & Human Services,900000,,H,Carbajal,,,Feinstein, Padilla,,
Department of Health & Human Services,1200000,,H,Gomez,,,Feinstein, Padilla,,
Department of Education,375000,,H,Swalwell,,,Feinstein, Padilla,,
Department of Education,575000,,H,Matsui,,,Feinstein, Padilla,,
Army Corps of Engineers (Civil),200000,,H/S,Brownley,,,Feinstein,,,
Army Corps of Engineers (Civil),8696000,,H/S,Brownley,,,Feinstein,,,
Department of Housing and Urban Development,500000,,H/S,Lofgren,,,Feinstein, Padilla,,
Department of Housing and Urban Development,3000000,,H/S,Chu,,,Feinstein, Padilla,,
Rural Development,1700000,,H/S,Carbajal,,,Feinstein,,,
Environmental Protection Agency,1000000,,H/S,Obernolte,,,Feinstein, Padilla,,
Environmental Protection Agency,1250000,,H/S,Ruiz,,,Feinstein, Padilla,,
Department of Labor,1000000,,H/S,Bera,,,Feinstein,,,
Department of Labor,500000,,H/S,Speier,,,Feinstein, Padilla,,
Department of Health & Human Services,1000000,,H/S,DeSaulnier,,,Feinstein, Padilla,,
Department of Education,350000,,H/S,Bera,,,Feinstein, Padilla,,
FEMA,700000,,S,,,,Feinstein, Padilla,,
Department of Transportation,1000000,,S,,,,Feinstein,,,
Department of Transportation,2000000,,S,,,,Feinstein,,,
Department of Transportation,750000,,S,,,,Feinstein,,,
Department of Transportation,2000000,,S,,,,Feinstein,,,
Department of Transportation,10000000,,S,,,,Feinstein, Padilla,,
Department of Transportation,3500000,,S,,,,Feinstein, Padilla,,
Department of Housing and Urban Development,250000,,S,,,,Feinstein, Padilla,,
Department of Housing and Urban Development,500000,,S,,,,Feinstein,,,
Department of Housing and Urban Development,500000,,S,,,,Feinstein, Padilla,,
Department of Housing and Urban Development,665000,,S,,,,Feinstein, Padilla,,
Rural Development,3080000,,S,,,,Feinstein,,,
DOJ,1200000,,S,,,,Feinstein,,,
DOJ,200000,,S,,,,Feinstein,,,
Army Corps of Engineers (Civil),250000,,S,,,,Feinstein,,,
Army Corps of Engineers (Civil),250000,,S,,,,Feinstein,,,
Small Business Administration,250000,,S,,,,Feinstein,,,
Department of Transportation,480000,,S,,,,Feinstein, Padilla,,
Small Business Administration,555000,,S,,,,Feinstein,,,
Environmental Protection Agency,1700000,,S,,,,Feinstein, Padilla,,
Department of Transportation,2000000,,S,,,,Feinstein, Padilla,,
Environmental Protection Agency,3000000,,S,,,,Feinstein, Padilla,,
Environmental Protection Agency,3000000,,S,,,,Feinstein, Padilla,,
Air Force Reserve,33000000,,S,,,,Feinstein, Padilla,,
Navy,48700000,,S,,,,Feinstein,,,
Navy,63600000,,S,,,,Feinstein,,,
Department of Labor,1000000,,S,,,,Feinstein,,,
Department of Labor,412000,,S,,,,Feinstein,,,
Department of Health & Human Services,316000,,S,,,,Feinstein,,,
Department of Health & Human Services,1000000,,S,,,,Feinstein,,,
Department of Health & Human Services,750000,,S,,,,Feinstein,,,
Department of Health & Human Services,500000,,S,,,,Feinstein,,,
Department of Education,250000,,S,,,,Feinstein,,,
Department of Education,1000000,,S,,,,Feinstein,,,
Department of Education,500000,,S,,,,Feinstein,,,
Department of Education,610000,,S,,,,Feinstein,,,
Department of Labor,250000,,S,,,,Feinstein, Padilla,,
Department of Health & Human Services,1850000,,S,,,,Feinstein, Padilla,,
Department of Health & Human Services,1500000,,S,,,,Feinstein, Padilla,,
Department of Education,500000,,S,,,,Feinstein, Padilla,,
Department of Education,269000,,S,,,,Feinstein, Padilla,,
Department of Education,450000,,S,,,,Feinstein, Padilla,,
Rural Development,3877500,NY,H,Jacobs ,,,Gillibrand, Schumer,,
DOJ,140000,,H,Katko,,,Gillibrand, Schumer,,
Rural Development,500000,,H,Stefanik,,,Gillibrand, Schumer,,
Rural Development,829594,,H,Delgado,,,Gillibrand, Schumer,,
Rural Development,1687500,,H,Tonko,,,Gillibrand, Schumer,,
DOC,263000,,H,Ocasio-Cortez,,,Gillibrand, Schumer,,
DOJ,500000,,S,,,,Gillibrand, Schumer,,
DOC,1000000,,S,,,,Gillibrand, Schumer,,
DOC,150000,,S,,,,Gillibrand, Schumer,,
Animal and Plant Health Inspection Service,180000,,S,,,,Gillibrand, Schumer,,
Rural Development,439000,,S,,,,Gillibrand, Schumer,,
Rural Development,500000,,S,,,,Gillibrand, Schumer,,
DOC,200000,,S,,,,Gillibrand, Schumer,,
DOC,900000,,S,,,,Gillibrand, Schumer,,
Army Corps of Engineers (Civil),1000000,,S,,,,Gillibrand, Schumer,,
Department of Energy,1000000,,S,,,,Gillibrand, Schumer,,
Army Corps of Engineers (Civil),1150000,,S,,,,Gillibrand, Schumer,,
Army Corps of Engineers (Civil),5250000,,S,,,,Gillibrand, Schumer,,
Department of Transportation,1000000,NY,H,Higgins ,,,Gillibrand,Schumer,,
Department of Housing and Urban Development,3000000,NY,H,Jeffries, Clarke ,,Gillibrand,Schumer,,
Department of Housing and Urban Development,105000,NY,H,Jacobs ,,,Gillibrand,Schumer,,
Department of Transportation,900000,NY,H,Higgins ,,,Gillibrand,Schumer,,
Department of Labor,700000,NY,H,Rice ,,,Gillibrand,Schumer,,
Department of Health & Human Services,1000000,NY,H,Rice ,,,Gillibrand,Schumer,,
Department of Health & Human Services,425000,NY,H,Clarke ,,,Gillibrand,Schumer,,
Department of Health & Human Services,1350000,NY,H,Torres ,,,Gillibrand,Schumer,,
Department of Health & Human Services,1925000,NY,H,Clarke ,,,Gillibrand,Schumer,,
Department of Health & Human Services,500000,NY,H,Torres ,,,Gillibrand,Schumer,,
Department of Education,400000,NY,H,Rice ,,,Gillibrand,Schumer,,
Department of Education,100000,NY,H,Rice ,,,Gillibrand,Schumer,,
Rural Development,515685,NY,H/S,Jacobs ,,,Gillibrand,Schumer,,
Environmental Protection Agency,2000000,NY,H/S,Rice ,,,Gillibrand,Schumer,,
Small Business Administration,2500000,NY,S,Clarke ,,,Gillibrand,Schumer,,
Small Business Administration,750000,NY,H,Higgins ,,,Gillibrand,,,
Department of Education,1000000,NY,H,Clarke ,,,Gillibrand,,,
Department of Housing and Urban Development,250000,,H,"Maloney,",,,Gillibrand, Schumer,,
Department of Housing and Urban Development,850000,,H,Suozzi,,,Gillibrand, Schumer,,
Department of Housing and Urban Development,1739440,,H,Espaillat,,,Gillibrand, Schumer,,
Department of Housing and Urban Development,640000,,H,Jones,,,Gillibrand,,,
Department of Housing and Urban Development,250000,,H,Jones,,,Gillibrand, Schumer,,
Department of Housing and Urban Development,500000,,H,Bowman,,,Gillibrand, Schumer,,
Department of Housing and Urban Development,308000,,H,Bowman,,,Gillibrand, Schumer,,
Department of Housing and Urban Development,1000000,,H,Suozzi,,,Gillibrand, Schumer,,
Department of Housing and Urban Development,950000,,H,Stefanik,,,Gillibrand, Schumer,,
Department of Housing and Urban Development,1492560,,H,Malliotakis,,,Gillibrand, Schumer,,
Department of Housing and Urban Development,2800000,,H,Zeldin,,,Gillibrand, Schumer,,
Department of Housing and Urban Development,3000000,,H,Garbarino,,,Gillibrand, Schumer,,
Department of Housing and Urban Development,3000000,,H,Tonko,,,Gillibrand, Schumer,,
Department of Housing and Urban Development,500000,,H,Tonko,,,Gillibrand, Schumer,,
Department of Housing and Urban Development,2000000,,H,Tonko,,,Gillibrand, Schumer,,
Department of Housing and Urban Development,575000,,H,Malliotakis,,,Gillibrand,,,
DOJ,430000,,H,Delgado,,,Gillibrand,,,
Small Business Administration,134000,,H,Nadler,,,Gillibrand, Schumer,,
Environmental Protection Agency,500000,,H,Tenney,,,Gillibrand, Schumer,,
Small Business Administration,800000,,H,"Maloney, Carolyn B.",,,Gillibrand,,,
Environmental Protection Agency,800000,,H,Tonko,,,Gillibrand, Schumer,,
Environmental Protection Agency,960000,,H,Tonko,,,Gillibrand, Schumer,,
Environmental Protection Agency,1000000,,H,Suozzi,,,Gillibrand, Schumer,,
Environmental Protection Agency,1000000,,H,Garbarino,,,Gillibrand, Schumer,,
Department of Transportation,1100000,,H,Delgado,,,Gillibrand, Schumer,,
Environmental Protection Agency,1200000,,H,Jones,,,Gillibrand, Schumer,,
Environmental Protection Agency,1966000,,H,Reed,,,Gillibrand, Schumer,,
Environmental Protection Agency,2000000,,H,Reed,,,Gillibrand, Schumer,,
Environmental Protection Agency,3120000,,H,"Maloney, Sean",,,Gillibrand, Schumer,,
Environmental Protection Agency,3500000,,H,Zeldin,,,Gillibrand, Schumer,,
Environmental Protection Agency,3500000,,H,Reed,,,Gillibrand, Schumer,,
Environmental Protection Agency,3500000,,H,"Maloney, Sean",,,Gillibrand, Schumer,,
Environmental Protection Agency,3500000,,H,Zeldin,,,Gillibrand, Schumer,,
Environmental Protection Agency,3500000,,H,Zeldin,,,Gillibrand, Schumer,,
Department of Health & Human Services,1200000,,H,"Maloney, Sean",,,Gillibrand,,,
Department of Health & Human Services,375000,,H,Bowman,,,Gillibrand,,,
Department of Education,500000,,H,Bowman,,,Gillibrand,,,
Department of Labor,175000,,H,Ocasio-Cortez,,,Gillibrand, Schumer,,
Department of Labor,800000,,H,Bowman,,,Gillibrand, Schumer,,
Department of Labor,300000,,H,Morelle,,,Gillibrand, Schumer,,
Department of Labor,205000,,H,Stefanik,,,Gillibrand, Schumer,,
Department of Health & Human Services,775000,,H,Nadler,,,Gillibrand, Schumer,,
Department of Health & Human Services,500000,,H,"Maloney, Carolyn B.",,,Gillibrand, Schumer,,
Department of Health & Human Services,300000,,H,Delgado,,,Gillibrand, Schumer,,
Department of Health & Human Services,1000000,,H,Jeffries,,,Gillibrand, Schumer,,
Department of Health & Human Services,2000000,,H,Jones,,,Gillibrand, Schumer,,
Department of Health & Human Services,2000000,,H,Malliotakis,,,Gillibrand, Schumer,,
Department of Health & Human Services,1000000,,H,Tonko,,,Gillibrand, Schumer,,
Department of Health & Human Services,100000,,H,Ocasio-Cortez,,,Gillibrand, Schumer,,
Department of Health & Human Services,700000,,H,Nadler,,,Gillibrand, Schumer,,
Department of Health & Human Services,100000,,H,Bowman,,,Gillibrand, Schumer,,
Department of Education,50000,,H,"Maloney, Carolyn B.",,,Gillibrand, Schumer,,
Department of Education,750000,,H,Jeffries,,,Gillibrand, Schumer,,
Department of Education,2000000,,H,Meeks,,,Gillibrand, Schumer,,
Department of Education,1100000,,H,Espaillat,,,Gillibrand, Schumer,,
Department of Education,225000,,H,Ocasio-Cortez,,,Gillibrand, Schumer,,
Department of Education,1500000,,H,Espaillat,,,Gillibrand, Schumer,,
Department of Education,250000,,H,Espaillat,,,Gillibrand, Schumer,,
Department of Education,300000,,H,Nadler,,,Gillibrand, Schumer,,
Department of Housing and Urban Development,400000,,H/S,Espaillat,,,Gillibrand, Schumer,,
Department of Housing and Urban Development,2000000,,H/S,Ocasio-Cortez,,,Gillibrand, Schumer,,
Department of Housing and Urban Development,650000,,H/S,Espaillat,,,Gillibrand, Schumer,,
Department of Housing and Urban Development,750000,,H/S,Morelle,,,Gillibrand, Schumer,,
Department of Housing and Urban Development,676000,,H/S,"Maloney,",,,Gillibrand, Schumer,,
Department of Housing and Urban Development,750000,,H/S,Tonko,,,Gillibrand, Schumer,,
Rural Development,997000,,H/S,Stefanik,,,Gillibrand,,,
Small Business Administration,200000,,H/S,Morelle,,,Gillibrand, Schumer,,
Environmental Protection Agency,2000000,,H/S,Reed,,,Gillibrand, Schumer,,
Defense-Wide,27000000,,H/S,Stefanik,,,Gillibrand, Schumer,,
Department of Labor,527000,,H/S,Meeks,,,Gillibrand, Schumer,,
Department of Health & Human Services,9200000,,H/S,Jeffries,,,Gillibrand, Schumer,,
Department of Health & Human Services,3000000,,H/S,"Meng, Ocasio- Cortez",,,Gillibrand, Schumer,,
Department of Health & Human Services,400000,,H/S,"Ocasio-Cortez, Bowman",,,Gillibrand, Schumer,,
Department of Health & Human Services,60000,,H/S,Ocasio-Cortez,,,Gillibrand, Schumer,,
Department of Health & Human Services,400000,,H/S,Meng,,,Gillibrand, Schumer,,
Department of Education,100000,,H/S,Ocasio-Cortez,,,Gillibrand, Schumer,,
FEMA,500000,,S,,,,Gillibrand, Schu- mer,,
FEMA,1000000,,S,,,,Gillibrand,,,
Department of Transportation,1000000,,S,,,,Gillibrand,,,
Department of Transportation,1760000,,S,,,,Gillibrand, Schumer,,
Department of Transportation,2000000,,S,,,,Gillibrand, Schumer,,
Department of Housing and Urban Development,495000,,S,,,,Gillibrand, Schumer,,
Department of Housing and Urban Development,500000,,S,,,,Gillibrand,,,
Department of Housing and Urban Development,1000000,,S,,,,Gillibrand, Schumer,,
Department of Housing and Urban Development,1000000,,S,,,,Gillibrand,,,
Department of Housing and Urban Development,1000000,,S,,,,Gillibrand, Schumer,,
Department of Housing and Urban Development,1075000,,S,,,,Gillibrand, Schumer,,
Department of Housing and Urban Development,1200000,,S,,,,Gillibrand, Schumer,,
Department of Housing and Urban Development,2006000,,S,,,,Gillibrand, Schumer,,
Department of Housing and Urban Development,2500000,,S,,,,Gillibrand, Schumer,,
Department of Housing and Urban Development,2500000,,S,,,,Gillibrand, Schumer,,
Department of Housing and Urban Development,3000000,,S,,,,Gillibrand, Schumer,,
Department of Energy,303000,,S,,,,Gillibrand,,,
Small Business Administration,250000,,S,,,,Gillibrand, Schumer,,
Environmental Protection Agency,280000,,S,,,,Gillibrand,,,
Department of Transportation,700000,,S,,,,Gillibrand, Schumer,,
Department of Transportation,1400000,,S,,,,Gillibrand, Schumer,,
Department of Transportation,1750000,,S,,,,Gillibrand, Schumer,,
Environmental Protection Agency,2500000,,S,,,,Gillibrand,,,
Air NG,14800000,,S,,,,Gillibrand, Schumer,,
Army,17200000,,S,,,,Gillibrand, Schumer,,
Department of Labor,500000,,S,,,,Gillibrand, Schumer,,
Department of Labor,300000,,S,,,,Gillibrand, Schumer,,
Department of Health & Human Services,5500000,,S,,,,Gillibrand, Schumer,,
Department of Health & Human Services,3633000,,S,,,,Gillibrand, Schumer,,
Department of Health & Human Services,200000,,S,,,,Gillibrand, Schumer,,
Department of Education,296000,,S,,,,Gillibrand, Schumer,,
Department of Education,1000000,,S,,,,Gillibrand, Schumer,,
Army Corps of Engineers (Civil),19785000,,H/S,Clyburn,,,Graham,,,
Department of Housing and Urban Development,4288000,,H/S,Clyburn,,,Graham,,,
Department of Labor,3200000,,H/S,Clyburn,,,Graham,,,
DOJ,709000,,S,,,,Graham,,,
DOJ,246000,,S,,,,Graham,,,
DOJ,52000,,S,,,,Graham,,,
Department of Transportation,250000,,S,,,,Graham,,,
Department of Housing and Urban Development,750000,,S,,,,Graham,,,
Environmental Protection Agency,2500000,,S,,,,Graham,,,
Navy,3000000,,S,,,,Graham,,,
Navy,4700000,,S,,,,Graham,,,
Navy,5000000,,S,,,,Graham,,,
Navy,6000000,,S,,,,Graham,,,
Environmental Protection Agency,8000000,,S,,,,Graham,,,
Department of Transportation,8000000,,S,,,,Graham,,,
Air NG,9000000,,S,,,,Graham,,,
Forest Service,9457000,,S,,,,Graham,,,
Department of Transportation,15000000,,S,,,,Graham,,,
Department of Transportation,16172000,,S,,,,Graham,,,
Army,21000000,,S,,,,Graham,,,
Air Force,29000000,,S,,,,Graham,,,
Air Force,30000000,,S,,,,Graham,,,
Navy,121825000,,S,,,,Graham,,,
Department of Health & Human Services,17997000,,S,,,,Graham,,,
Department of Health & Human Services,2175000,,S,,,,Graham,,,
Department of Health & Human Services,12727000,,S,,,,Graham,,,
Department of Health & Human Services,5000000,,S,,,,Graham,,,
Department of Health & Human Services,2000000,,S,,,,Graham,,,
Department of Education,750000,,S,,,,Graham,,,
Department of Education,610000,,S,,,,Graham,,,
Department of Education,2000000,,S,,,,Graham,,,
DOJ,1000000,,H,Stansbury,,,Heinrich, Luján,,
DOJ,1471000,,S,,,,Heinrich, Luján,,
DOJ,435000,,S,,,,Heinrich, Luján,,
DOJ,400000,,S,,,,Heinrich, Luján,,
DOJ,575000,,S,,,,Heinrich, Luján,,
DOJ,350000,,S,,,,Heinrich, Luján,,
Rural Development,1000000,,S,,,,Heinrich, Luján,,
Natural Resources Conservation Service,995000,,S,,,,Heinrich, Luján,,
Natural Resources Conservation Service,50000,,S,,,,Heinrich, Luján,,
Rural Development,104000,,S,,,,Heinrich, Luján,,
Rural Development,890000,,S,,,,Heinrich, Luján,,
DOJ,379000,,S,,,,Heinrich, Luján,,
DOJ,1000000,,S,,,,Heinrich, Luján,,
DOC,374000,,S,,,,Heinrich, Luján,,
DOC,1821000,,S,,,,Heinrich, Luján,,
Army Corps of Engineers (Civil),1500000,,S,,,,Heinrich, Luján,,
Department of Housing and Urban Development,750000,,H/S,Melanie,,,Heinrich, Luján,,
Department of Health & Human Services,1500000,,H/S,Melanie,,,Heinrich, Luján,,
Department of Education,125000,,H/S,Melanie,,,Heinrich, Luján,,
FEMA,1000000,,S,,,,Heinrich, Luján,,
FEMA,1500000,,S,,,,Heinrich, Luján,,
FEMA,1500000,,S,,,,Heinrich, Luján,,
Department of Housing and Urban Development,1500000,,S,,,,Heinrich,,,
Department of Housing and Urban Development,2000000,,S,,,,Heinrich, Luján,,
Rural Development,950000,,S,,,,Heinrich,,,
Natural Resources Conservation Service,100000,,S,,,,Heinrich,,,
Department of Energy,50000,,S,,,,Heinrich,,,
Department of Energy,250000,,S,,,,Heinrich,,,
Department of Energy,500000,,S,,,,Heinrich,,,
Department of Energy,1000000,,S,,,,Heinrich,,,
Department of the Interior,9610000,,S,,,,Heinrich,,,
Small Business Administration,77000,,S,,,,Heinrich, Luján,,
Small Business Administration,107000,,S,,,,Heinrich, Luján,,
Small Business Administration,123000,,S,,,,Heinrich, Luján,,
Small Business Administration,200000,,S,,,,Heinrich, Luján,,
Small Business Administration,200000,,S,,,,Heinrich, Luján,,
Small Business Administration,242000,,S,,,,Heinrich, Luján,,
General Services Administration,500000,,S,,,,Heinrich, Luján,,
Indian Health Service,707000,,S,,,,Heinrich,,,
Air Force,810000,,S,,,,Heinrich, Luján,,
Indian Health Service,889000,,S,,,,Heinrich,,,
Forest Service,1000000,,S,,,,Heinrich, Luján,,
Department of Transportation,1250000,,S,,,,Heinrich,,,
Forest Service,1300000,,S,,,,Heinrich, Luján,,
Army,1300000,,S,,,,Heinrich, Luján,,
Department of Transportation,1500000,,S,,,,Heinrich,,,
Department of Transportation,1500000,,S,,,,Heinrich, Luján,,
Department of Transportation,2000000,,S,,,,Heinrich, Luján,,
Department of Transportation,2250000,,S,,,,Heinrich,,,
Air Force,2340000,,S,,,,Heinrich, Luján,,
Department of Transportation,2500000,,S,,,,Heinrich, Luján,,
Department of Transportation,2750000,,S,,,,Heinrich, Luján,,
Bureau of Land Management,3000000,,S,,,,Heinrich,,,
Department of Transportation,3500000,,S,,,,Heinrich, Luján,,
Department of Transportation,3500000,,S,,,,Heinrich, Luján,,
Department of Transportation,3500000,,S,,,,Heinrich, Luján,,
Air Force,5280000,,S,,,,Heinrich, Luján,,
Air Force,5568000,,S,,,,Heinrich, Luján,,
Air Force,5600000,,S,,,,Heinrich, Luján,,
Air Force,5976000,,S,,,,Heinrich, Luján,,
Air Force,40000000,,S,,,,Heinrich, Luján,,
Department of Education,148000,,S,,,,Heinrich,,,
Department of Labor,1073000,,S,,,,Heinrich, Luján,,
Department of Health & Human Services,1000000,,S,,,,Heinrich, Luján,,
Department of Health & Human Services,473000,,S,,,,Heinrich, Luján,,
Department of Health & Human Services,450000,,S,,,,Heinrich, Luján,,
Department of Health & Human Services,700000,,S,,,,Heinrich, Luján,,
Department of Health & Human Services,950000,,S,,,,Heinrich, Luján,,
Department of Health & Human Services,160000,,S,,,,Heinrich, Luján,,
Department of Health & Human Services,46000,,S,,,,Heinrich, Luján,,
Department of Education,1800000,,S,,,,Heinrich, Luján,,
Department of Education,750000,,S,,,,Heinrich, Luján,,
