title,day,start,end,format,zip_code,address,virtual,details,tags,type,url
The Other Book Study,Thursday,6:30PM,7:30PM,Person,90723,"8021 Rosecrans Ave  Paramount, CA 90723",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=904
On The Way Home,Wednesday,4:00PM,5:30PM,Person,90723,"8021 Rosecrans Ave  Paramount, CA 90723",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=907
On The Way Home,Thursday,4:00PM,5:30PM,Person,90723,"8021 Rosecrans Ave  Paramount, CA 90723",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=910
Early Bird Attitude Adjustment,Saturday,7:00AM,8:30AM,Person,90723,"8021 Rosecrans Ave  Paramount, CA 90723",,,No Formats Set,No Types Set,https://lacoaa.org/meeting-details.php?id=916
Common Solution In Depth Book Study,Saturday,9:00AM,10:30AM,Person,90723,"8021 Rosecrans Ave  Paramount, CA 90723",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=917
Common Welfare Womens Steps & Traditions,Friday,8:00PM,9:00PM,Person,90723,"8021 Rosecrans Ave  Paramount, CA 90723",,This meeting held in the large room.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=919
War Memorial Sunday Am Speaker,Sunday,10:00AM,11:00AM,Hybrid,91030,"435 Fair Oaks Ave  South Pasadena, CA 91030",ID: 825 0543 7930PH: (323) 810-9381PW: 120521,,Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=920
Share And Care,Sunday,7:00PM,8:00PM,Person,91024,"318 N Baldwin Ave  Sierra Madre, CA 91024",,This meeting is at a church/school.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=921
Home Group Speaker,Monday,8:00PM,9:30PM,Person,91107,"2540 E Orange Grove Blvd  Pasadena, CA 91107",,,Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=924
Arroyo Seco Speakers,Tuesday,8:00PM,9:00PM,Hybrid,91030,"1325 Monterey Rd  South Pasadena, CA 91030",ID: 269 868 8777PH: PW: Promises,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=930
Compulsive Chip Meeting,Wednesday,7:30PM,9:00PM,Person,91104,"1118 Allen Ave  Pasadena, CA 91104",,,Discussion; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=936
Roses Road Participation,Tuesday,7:30PM,9:00PM,Person,91775,"535 W Roses Rd  San Gabriel, CA 91775",,This meeting is in a church.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=1041
Sunday Night San Marino Speakers,Sunday,7:00PM,8:00PM,Person,91108,"2560 Huntington Dr  San Marino, CA 91108",,,Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=1046
Monday Nite Discussion,Monday,8:00PM,9:30PM,Person,91108,"2560 Huntington Dr   San Marino, CA 91108",,This meeting is in a church,Closed; Discussion,No Types Set,https://lacoaa.org/meeting-details.php?id=1047
Tuesday Night Step Study,Tuesday,8:00PM,,Person,91108,"1750 Virginia Rd  San Marino, CA 91108",,This meeting is in a church.,12 Steps & 12 Traditions; Closed,Senior Friendly,https://lacoaa.org/meeting-details.php?id=1049
San Marino Men'S Stag,Thursday,8:30PM,10:00PM,Person,91108,"1750 Virginia Rd  San Marino, CA 91108",,This meeting is in a church.,Closed; Discussion,Men,https://lacoaa.org/meeting-details.php?id=1051
Hope For All Coed,Sunday,12:00PM,1:00PM,Person,90404,"1458 26th St  Santa Monica, CA 90404",,,12 Steps & 12 Traditions; Open; Speaker; Step Meeting,No Types Set,https://lacoaa.org/meeting-details.php?id=1079
Landmark Book Study,Monday,6:30PM,7:30PM,Person,90064,"2950 Overland Ave  Los Angeles, CA 90064",,This meeting is in a Center,Big Book; Closed; Discussion,No Types Set,https://lacoaa.org/meeting-details.php?id=1085
Bay Cities Speakers,Tuesday,7:30PM,,Person,90404,"1458 26th St  Santa Monica, CA 90404",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=1086
Pacific Group Big Book Study,Tuesday,7:30PM,8:30PM,Person,90230,"4427 Overland Ave  Culver City, CA 90230",,,Big Book; Closed; Discussion; Literature,NewcomerSenior Friendly,https://lacoaa.org/meeting-details.php?id=1087
Any Lengths Group (2Nd & Hill),Wednesday,8:00PM,9:00PM,Person,90403,"958 Lincoln Blvd  Santa Monica, CA 90403",,This meeting is in a church. Parking is across the street.,Open; Speaker,NewcomerYoung People,https://lacoaa.org/meeting-details.php?id=1093
Primary Purpose,Thursday,8:30PM,,Person,90404,"1458 26th St  Santa Monica, CA 90404",,,Open; Speaker,NewcomerYoung People,https://lacoaa.org/meeting-details.php?id=1095
Living Sober,Friday,8:00PM,,Person,90404,"1458 26th St  Santa Monica, CA 90404",,,Birthday; Literature; Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=1096
12&12 Is 24 Step Study,Wednesday,8:00PM,,Person,91024,"45 E Laurel Ave  Sierra Madre, CA 91024",,This meeting is in the Rectory.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=1103
Discussion Group,Thursday,8:30PM,,Person,91024,"45 E Laurel Ave  Sierra Madre, CA 91024",,This meeting is in the Rectory.,Discussion; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=1104
As Bill Sees It 10 Am Sunday Speaker,Sunday,10:00AM,11:00AM,Person,90026,"1850 W Silverlake Dr  Los Angeles, CA 90026",,,As Bill Sees It; Open; Speaker; Tag Participation,LGBTQ,https://lacoaa.org/meeting-details.php?id=1107
Monday Night Mumblers,Monday,8:00PM,9:30PM,Person,91030,"1316 Lyndon St  South Pasadena, CA 91030",,,Closed; Discussion,No Types Set,https://lacoaa.org/meeting-details.php?id=1116
Crown City Speakers,Friday,8:00PM,9:00PM,Hybrid,91101,"75 N Marengo Ave  Pasadena, CA 91101",ID: 875 1897 1396PH: 1(669) 444-9171PW: 276810,This meeting is in a church.,Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=1122
Beverly Glen Speaker,Friday,8:00PM,9:30PM,Hybrid,91423,"14401 Dickens St  Sherman Oaks, CA 91423",ID: 614813270PH: (669) 900-6833PW:,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=1127
Sunday Noon Ohio Speaker,Sunday,12:00PM,1:00PM,Hybrid,90025,"11166 Ohio Ave  Los Angeles, CA 90025",ID: 154699115PH: PW: Text for password: 818-481-8346,,Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=1196
Sunday Night Ohio (Pg),Sunday,7:00PM,8:30PM,Person,90025,"11166 Ohio Ave  Los Angeles, CA 90025",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=1197
Sunday Am Gardner Park,Sunday,11:30AM,1:00PM,Hybrid,90046,"7929 Melrose Ave  Los Angeles, CA 90046",ID: 822 9539 8101PH: 1(669) 444-9171PW: 636084,"This meeting is in a Senior Center and available online.  There is limited parking in the Center's lot, including one accessible space, and street parking.",Open; Speaker,Newcomer,https://lacoaa.org/meeting-details.php?id=1198
Westside Speaker / Participation,Sunday,12:00PM,1:00PM,Person,90064,"11530 Pico Blvd  Los Angeles, CA 90064",,This meeting is in an Alano Club,Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=1199
Monday Night Ohio (Pg),Monday,8:00PM,9:30PM,Person,90025,"11166 Ohio Ave  Los Angeles, CA 90025",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=1203
Speaker Participation,Monday,12:00PM,1:00PM,Person,90064,"11530 Pico Blvd  Los Angeles, CA 90064",,This meeting is in an Alano Club,Discussion; Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=1205
Participation,Tuesday,12:00PM,1:00PM,Person,90064,"11530 Pico Blvd  Los Angeles, CA 90064",,This meeting is in an Alano Club,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=1212
Pacific Group,Wednesday,7:25PM,8:45PM,Hybrid,90203,"4117 Overland Ave  Culver City, CA 90203",ID: 802 496 652PH: 16699006833802496652PW: 960328,,Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=1215
Westside Speaker Participation,Wednesday,12:00PM,1:00PM,Person,90064,"11530 Pico Blvd  Los Angeles, CA 90064",,This meeting is in an Alano Club,Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=1219
Key Group (Pg),Thursday,7:30PM,9:00PM,Hybrid,90230,"4117 Overland Ave  Culver City, CA 90230",ID: 802 496 652PH: 16699006833802496652PW: 960328,This meeting is in a Center  (in the Multi-Purpose Room).,Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=1222
Westside Speaker / Participation,Thursday,12:00PM,1:00PM,Person,90064,"11530 Pico Blvd  Los Angeles, CA 90064",,This meeting is in an Alano Club,Discussion; Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=1224
Westside Speaker / Participation,Friday,12:00PM,1:00PM,Person,90064,"11530 Pico Blvd  Los Angeles, CA 90064",,This meeting is in an Alano Club,Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=1227
Beachcombers,Saturday,8:30PM,,Person,90025,"11166 Ohio Ave  Los Angeles, CA 90025",,,Open; Speaker,Young People,https://lacoaa.org/meeting-details.php?id=1229
Westside Speaker / Participation,Saturday,12:00PM,1:00PM,Person,90064,"11530 Pico Blvd  Los Angeles, CA 90064",,This meeting is in an Alano Club,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=1230
Westchester Men'S Stag,Tuesday,8:00PM,9:30PM,Person,90045,"6700 W 83rd St  Los Angeles, CA 90045",,This meeting is in the small brick chapel,Closed; Discussion,Men,https://lacoaa.org/meeting-details.php?id=1235
Westchester Saturday Night Speakers,Saturday,8:00PM,9:30PM,Person,90045,"6561 W 88th St  Los Angeles, CA 90045",,,Open; Speaker,Newcomer,https://lacoaa.org/meeting-details.php?id=1240
Way Of Life (Pg),Saturday,7:30PM,9:30PM,Hybrid,90405,"2425 16th St  Santa Monica, CA 90405",ID: 802 496 652PH: 1(669) 900-6833PW: 960328,,Open; Speaker,Newcomer,https://lacoaa.org/meeting-details.php?id=1250
Sundowners,Sunday,6:00PM,7:00PM,Hybrid,90048,"8730 Alden Dr  Los Angeles, CA 90048",ID: 116 995 743PH: 16699006833116995743PW: No PW,,Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=1309
Clean And Sober,Sunday,10:00AM,,Person,90069,"621 N Robertson Blvd  West Hollywood, CA 90069",,This meeting is at a Hall,Open,LGBTQ,https://lacoaa.org/meeting-details.php?id=1310
Steps & Traditions ,Thursday,7:30AM,,Hybrid,90069,"621 N Robertson Blvd  West Hollywood, CA 90069",ID: 8442587346PH: 16699006833844258734674803970PW: LogCabin,This meeting is at a Hall,12 Steps & 12 Traditions; Big Book; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=1321
Shakers Participation,Wednesday,7:00AM,8:00AM,Person,91204,"315 Vine St  Glendale, CA 91204",,,Discussion; Open,Newcomer,https://lacoaa.org/meeting-details.php?id=1620
Shakers Participation,Thursday,7:00AM,8:00PM,Person,91204,"315 Vine St  Glendale, CA 91204",,,Open,Newcomer,https://lacoaa.org/meeting-details.php?id=1621
Shakers Participation,Friday,7:00AM,8:00AM,Person,91204,"315 Vine St  Glendale, CA 91204",,,Discussion; Open,Newcomer,https://lacoaa.org/meeting-details.php?id=1622
Sunday Noon,Sunday,12:00PM,,Person,90066,"12720 Washington Blvd  Los Angeles, CA 90066",,,Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=1630
Attitude Adjustment,Monday,6:45AM,,Person,90250,"12130 Birch Ave  Hawthorne, CA 90250",,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=1631
Attitude Adjustment,Friday,6:45AM,,Person,90250,"12130 Birch Ave  Hawthorne, CA 90250",,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=1632
Step 11 Participation,Friday,7:00AM,8:00AM,Person,90008,"4058 S Victoria Ave  Los Angeles, CA 90008",,,Discussion; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=1637
Came To Believe,Friday,12:00PM,,Person,90008,"4058 S Victoria Ave  Los Angeles, CA 90008",,,Discussion; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=1638
Gong Show,Friday,8:30PM,10:00PM,Person,90026,"1773 Griffith Park Blvd  Los Angeles, CA 90026",,This meeting is at a Center. Enter through the parking lot.,Open; Speaker,LGBTQ,https://lacoaa.org/meeting-details.php?id=1645
Penguin Attitude Adjustment,Wednesday,6:45AM,,Person,90250,"12130 Birch Ave  Hawthorne, CA 90250",,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=1652
Lets Talk About It,Monday,5:30PM,,Person,90250,"12130 Birch Ave  Hawthorne, CA 90250",,This meeting is in an Alano club.,Discussion; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=1655
Joy Of Living,Wednesday,7:30AM,,Person,90069,"621 N Robertson Blvd  West Hollywood, CA 90069",,This meeting is at a Hall,Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=1656
Speaker Participation,Tuesday,8:00PM,9:00PM,Person,90404,"1401 Olympic Blvd Memorial Park Santa Monica, CA 90404",,,Discussion; Open; Speaker,LGBTQ,https://lacoaa.org/meeting-details.php?id=1661
A Meeting Called Laura,Sunday,8:30PM,9:30PM,Person,90026,"1773 Griffith Park Blvd  Los Angeles, CA 90026",,This meeting is held at a meeting hall.,Open; Speaker,LGBTQ,https://lacoaa.org/meeting-details.php?id=1664
Powerless Group #1,Thursday,6:30PM,7:30PM,Hybrid,90401,"1220 2nd St  Santa Monica, CA 90401",ID: 825 8647 1976PH: PW: 858411,,As Bill Sees It; Discussion; Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=1682
12&12 Study,Tuesday,5:30PM,,Person,90250,"12130 Birch Ave  Hawthorne, CA 90250",,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=1718
Happy Hour,Friday,6:15PM,7:15PM,Hybrid,90038,"1125 N McCadden Pl  Los Angeles, CA 90038",ID:  822 9014 3568PH: 1669900912882290143568PW:  jypu6S,,Open,GayLesbianLGBTQTransgender,https://lacoaa.org/meeting-details.php?id=1735
12&12 Step Study,Monday,7:00AM,,Person,90008,"4058 S Victoria Ave  Los Angeles, CA 90008",,,12 Steps & 12 Traditions; Closed; Step Meeting,No Types Set,https://lacoaa.org/meeting-details.php?id=1738
Big Book Study,Tuesday,8:00AM,9:00AM,Person,90272,"15225 Palisades Village Lane   Pacific Palisades, CA 90272",,,Closed,No Types Set,https://lacoaa.org/meeting-details.php?id=1751
Promises,Monday,7:30AM,,Hybrid,90069,"621 N Robertson Blvd  West Hollywood, CA 90069",ID: 8442587346PH: 16699006833844258734674803970PW: LogCabin,This meeting is at a Hall,Discussion; Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=1754
Early Bird Workshop,Tuesday,7:30AM,,Hybrid,90069,"621 N Robertson Blvd  West Hollywood, CA 90069",ID: 8442587346PH: 16699006833844258734674803970PW: LogCabin,This meeting is at a Hall,Discussion; Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=1770
Thank God Its Friday,Friday,6:00PM,,Person,90221,"401 N Bullis Rd  Compton, CA 90221",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=1778
High Nooners,Monday,12:30PM,1:30PM,Person,90039,"3367 Glendale Blvd  Los Angeles, CA 90039",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=1791
Fresh Start,Sunday,6:30PM,7:30PM,Hybrid,90039,"3367 Glendale Blvd  Los Angeles, CA 90039",ID: 881 1003 6331PH: (669) 900-6833PW: 314989,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=1792
Westchester Thursday Night Discussion,Thursday,8:00PM,9:00PM,Person,90045,"6700 W 83rd St  Los Angeles, CA 90045",,This meeting is in the red brick chapel of Holy Nativity Church,Closed,No Types Set,https://lacoaa.org/meeting-details.php?id=1798
Thursday Talks,Thursday,12:30PM,,Hybrid,90039,"3367 Glendale Blvd  Los Angeles, CA 90039",ID: 851 9627 8888PH: PW: 554198,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=1801
Just Do It Participation,Tuesday,12:30PM,,Hybrid,90039,"3367 Glendale Blvd  Los Angeles, CA 90039",ID: 851 9627 8888PH: PW: 554198,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=1838
12 & 12,Wednesday,6:00PM,,Person,91311,"20440 Lassen St  Chatsworth, CA 91311",,,12 Steps & 12 Traditions; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=1845
A M Attitude Adjustment,Sunday,6:15AM,,Hybrid,91723,"510 S 2nd Ave  Covina, CA 91723",ID: 816161354PH: 1(669) 900-6833PW: 816816,This meeting is in an Alano club.,Closed,No Types Set,https://lacoaa.org/meeting-details.php?id=1869
Am Attitude Adjustment,Monday,6:15AM,7:15AM,Hybrid,91723,"510 S 2nd Ave  Covina, CA 91723",ID: 816-161-354PH: 1(669) 900-6833PW: 816816,This meeting is in an Alano club.,Closed,No Types Set,https://lacoaa.org/meeting-details.php?id=1870
Am Attitude Adjustment,Tuesday,6:15AM,,Hybrid,91723,"510 S 2nd Ave  Covina, CA 91723",ID: 816-161-354PH: 1(669) 900-6833PW: 816816,This meeting is in an Alano club.,Closed,No Types Set,https://lacoaa.org/meeting-details.php?id=1871
Am Attitude Adjustment,Wednesday,6:15AM,,Hybrid,91723,"510 S 2nd Ave  Covina, CA 91723",ID: 816161354PH: 1(669) 900-6833PW: 816816,This meeting is in an Alano club.,Closed,No Types Set,https://lacoaa.org/meeting-details.php?id=1872
Am Attitude Adjustment,Friday,6:15AM,,Hybrid,91723,"510 S 2nd Ave  Covina, CA 91723",ID: 816161354PH: 1(669) 900-6833PW: 816816,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=1874
Attitude Adjustment,Tuesday,6:45AM,,Person,90250,"12130 Birch Ave  Hawthorne, CA 90250",,This meeting is in an Alano club.,Discussion; Open,Newcomer,https://lacoaa.org/meeting-details.php?id=1878
Attitude Adjustment,Thursday,6:45AM,,Person,90250,"12130 Birch Ave  Hawthorne, CA 90250",,This meeting is in an Alano club.,Closed,No Types Set,https://lacoaa.org/meeting-details.php?id=1879
Agape Participation,Saturday,5:00PM,6:30PM,Person,91108,"2560 Huntington Dr  San Marino, CA 91108",,,Closed; Discussion,No Types Set,https://lacoaa.org/meeting-details.php?id=1886
Thank God It'S Friday,Friday,7:30AM,,Hybrid,90069,"621 N Robertson Blvd  West Hollywood, CA 90069",ID: 8442587346PH: 16699006833844258734674803970PW: LogCabin,This meeting is at a Hall,Discussion; Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=1889
Abc'S Of Aa,Monday,12:00PM,,Person,90221,"401 N Bullis Rd  Compton, CA 90221",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=1895
Big Book,Thursday,11:30AM,,Person,90221,"401 N Bullis Rd  Compton, CA 90221",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=1897
Men'S Stag,Wednesday,6:30PM,8:00PM,Person,90008,"4058 S Victoria Ave  Los Angeles, CA 90008",,,Open,Men,https://lacoaa.org/meeting-details.php?id=1900
Windsor Club Closed Men'S Stag,Thursday,6:15PM,,Person,91204,"123 W Windsor Rd  Glendale, CA 91204",,This meeting is in an Alano club.,Closed,Men,https://lacoaa.org/meeting-details.php?id=1903
Thank God It'S Friday,Friday,12:00PM,,Person,90003,"9604 S Figueroa St  Los Angeles, CA 90003",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=1943
Came To Believe,Wednesday,12:00PM,,Person,90003,"9604 S Figueroa St  Los Angeles, CA 90003",,,Discussion; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=1955
Fireside Chat,Thursday,7:30PM,8:30PM,Person,90272,"801 Via De La Paz  Pacific Palisades, CA 90272",,This meeting is in a church.,Closed,No Types Set,https://lacoaa.org/meeting-details.php?id=1997
The Great Fact Men'S Stag,Tuesday,7:30PM,,Person,90036,"5750 W Olympic Blvd  Los Angeles, CA 90036",,,Closed; Discussion; Speaker,Men,https://lacoaa.org/meeting-details.php?id=2024
Living Well & Sober Speaker,Friday,7:30PM,8:30PM,Person,91108,"2560 Huntington Dr  San Marino, CA 91108",,,Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=2034
Brunswick Topic Discussion,Saturday,8:00PM,9:00PM,Person,90027,"2930 Hyperion Ave  Los Angeles, CA 90027",,,Closed; Discussion; Tag Participation,No Types Set,https://lacoaa.org/meeting-details.php?id=2039
Survivors,Saturday,9:00AM,,Person,90069,"626 N Robertson Blvd  West Hollywood, CA 90069",,This meeting is in a Center,Open,LGBTQ,https://lacoaa.org/meeting-details.php?id=2170
As Bill Sees It,Monday,7:00PM,,Person,90603,"16153 Russell St  Whittier, CA 90603",,This meeting is in a Church,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=2205
General Discussion,Wednesday,12:30PM,1:30PM,Person,91723,"510 S 2nd Ave  Covina, CA 91723",,This meeting is in an Alano club.,Discussion; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=2237
Burbank Group Big Book Study,Wednesday,6:00PM,7:00PM,Person,91502,"637 S Victory Blvd  Burbank, CA 91502",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=2274
Grapevine Meeting,Thursday,6:00PM,7:00PM,Person,91303,"21520 Sherman Way  Canoga Park, CA 91303",,,Grapevine; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=2290
Step 1 Study,Thursday,7:00AM,8:30AM,Person,90008,"4058 S Victoria Ave  Los Angeles, CA 90008",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=2303
11Th Step Participation,Thursday,12:00PM,,Person,90008,"4058 S Victoria Ave  Los Angeles, CA 90008",,,Discussion; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=2309
Early Morning,Monday,6:45AM,,Person,90254,"702 11th Pl  Hermosa Beach, CA 90254",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=2311
Early Morning,Tuesday,6:45AM,,Person,90254,"702 11th Pl  Hermosa Beach, CA 90254",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=2312
Everybody'S Welcome,Thursday,7:30PM,,Person,90254,"702 11th Pl  Hermosa Beach, CA 90254",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=2314
Discussion,Friday,5:30PM,,Person,90254,"702 11th Pl  Hermosa Beach, CA 90254",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=2316
Early Morning,Saturday,7:00AM,,Person,90254,"702 11th Pl  Hermosa Beach, CA 90254",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=2317
Round Table,Thursday,5:30PM,,Person,90250,"12130 Birch Ave  Hawthorne, CA 90250",,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=2337
Big Book Study,Tuesday,7:00AM,,Person,90008,"4058 S Victoria Ave  Los Angeles, CA 90008",,,Big Book; Discussion; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=2339
Rigorous Honesty,Wednesday,12:00PM,,Person,90008,"4058 S Victoria Ave  Los Angeles, CA 90008",,,Discussion; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=2341
I Surrender,Saturday,7:00AM,,Person,90008,"4058 S Victoria Ave  Los Angeles, CA 90008",,,Discussion; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=2344
Martel 5,Wednesday,8:00PM,9:00PM,Person,90046,"8000 Sunset Blvd  Los Angeles, CA 90046",,,Open,LGBTQ,https://lacoaa.org/meeting-details.php?id=2380
Men'S 12&12,Tuesday,7:30PM,9:00PM,Person,91024,"700 N Sunnyside Ave  Sierra Madre, CA 91024",,This meeting is in a church.,12 Steps & 12 Traditions; Closed,Men,https://lacoaa.org/meeting-details.php?id=2395
Attitude Adjustment,Saturday,7:30AM,,Person,90221,"401 N Bullis Rd  Compton, CA 90221",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=2406
Powerless #4 Discussion,Monday,8:30PM,9:30PM,Person,90405,"633 Kensington Rd  Santa Monica, CA 90405",,This meeting meets in the auditorium,Discussion; Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=2443
Let It All Hang Out,Friday,5:30PM,7:00PM,Person,90250,"12130 Birch Ave  Hawthorne, CA 90250",,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=2446
Attitude Adjustment,Sunday,7:30AM,,Person,90221,"424 E Compton Blvd  Compton, CA 90221",,This meeting is in a meeting hall.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=2503
Relating To Life,Tuesday,12:00PM,,Person,90221,"424 E Compton Blvd  Compton, CA 90221",,This meeting is in a meeting hall.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=2505
Keep It Simple,Saturday,9:30AM,,Person,90221,"424 E Compton Blvd  Compton, CA 90221",,This meeting is in a meeting hall.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=2507
The Fire-The Rose,Sunday,6:15PM,7:15PM,Person,90405,"633 Kensington Rd  Santa Monica, CA 90405",,This meeting is in a community center.,Closed; Discussion; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=2513
You Are Not Alone,Saturday,5:30PM,,Person,90069,"626 N Robertson Blvd  West Hollywood, CA 90069",,This meeting is in a Center,Discussion; Open; Speaker,LGBTQ,https://lacoaa.org/meeting-details.php?id=2543
Attitude Adjustment 3-7-11,Thursday,6:45AM,7:45AM,Person,90066,"11313 Washington Blvd  Los Angeles, CA 90066",,This meeting is in a Center.,Discussion; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=2584
Newcomers,Thursday,8:30PM,,Person,90640,"2518 W Beverly Blvd  Montebello, CA 90640",,This meeting is in a meeting hall.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=2594
The Friendly Latin Group,Saturday,8:30PM,10:00PM,Person,90640,"2518 W Beverly Blvd  Montebello, CA 90640",,This meeting is in a meeting hall.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=2595
The Miracle,Thursday,12:30PM,2:00PM,Person,90640,"2518 W Beverly Blvd  Montebello, CA 90640",,This meeting is in a meeting hall.,Discussion; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=2598
Big Book Study #1,Monday,6:30PM,8:00PM,Person,90640,"2518 W Beverly Blvd  Montebello, CA 90640",,This meeting is in a meeting hall.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=2599
Key To Happiness Speaker,Friday,8:30PM,10:00PM,Person,90640,"2518 W Beverly Blvd  Montebello, CA 90640",,This meeting is in a meeting hall.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=2600
Outcast,Wednesday,8:30PM,,Person,90640,"2518 W Beverly Blvd  Montebello, CA 90640",,This meeting is in a meeting hall.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=2601
Questions & Answers,Monday,8:30PM,10:00PM,Person,90640,"2518 W Beverly Blvd  Montebello, CA 90640",,This meeting is in a meeting hall.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=2602
Rebounders,Sunday,12:00PM,1:30PM,Person,90640,"2518 W Beverly Blvd  Montebello, CA 90640",,This meeting is in a meeting hall.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=2604
Speaker Chips & Birthdays,Friday,8:00AM,9:00AM,Person,90272,"15225 Palisades Village Lane   Pacific Palisades, CA 90272",,,Closed,No Types Set,https://lacoaa.org/meeting-details.php?id=2614
How It Works Aka Chinatown,Monday,8:30PM,,Person,90069,"621 N Robertson Blvd  West Hollywood, CA 90069",,This meeting is at a Hall,Discussion; Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=2617
