id,raw_code,name,clean_code,slug
409,136.1(B)2PC,PREVENT/DISSUADE WIT/VICT FROM PROSECUT,136.1(B)2PC,preventdissuade-witvict-from-prosecut
410,136.1(C)1PC,PREVENT/DISSUADE WIT/VICT BY FORCE/THRE,136.1(C)1PC,preventdissuade-witvict-by-forcethre
411,136.1(C)PC,PRVNT/DISSUADE WIT/VICT BY FORCE,136.1(C)PC,prvntdissuade-witvict-by-force
412,136.1PC,PREVENT/DISSUADE WIT/VICT,136.1PC,preventdissuade-witvict
413,140PC,INTIMIDATE/THREAT WITNESS/VICT/INFRMNT,140PC,intimidatethreat-witnessvictinfrmnt
414,145PC,DELAY TAKING BEFORE MAGISTRATE,145PC,delay-taking-before-magistrate
415,146(A)PC,ARREST/DETAIN W/O AUTHORITY,146(A)PC,arrestdetain-wo-authority
416,14601(A)VC,DRIVE W/LIC SUSPEND/REV 4 RECKLESS DRIV,14601(A)VC,drive-wlic-suspendrev-4-reckless-driv
417,14601.1AVC,DRIVE W/LIC SUSPEND/REVOKE 4 OTHER REAS,14601.1AVC,drive-wlic-suspendrevoke-4-other-reas
418,14601.2AVC,DRIVE W/LIC SUSPEND/REVOKE 4 DRUGS/ALCO,14601.2AVC,drive-wlic-suspendrevoke-4-drugsalco
419,14601.3AVC,LIC SUSPENDED/HABITUAL TRAFFIC OFFENDR,14601.3AVC,lic-suspendedhabitual-traffic-offendr
420,14601.4AVC,DRIVE W/SUSP/REV LIC W/INJURY COLLISION,14601.4AVC,drive-wsusprev-lic-winjury-collision
421,14601.5AVC,DRIVE WITH KNOWLEDGE THAT LIC SUSP/REV,14601.5AVC,drive-with-knowledge-that-lic-susprev
422,14601.5VC,DRIVING WITH KNOWLEDGE OF SUSPENDED LIC,14601.5VC,driving-with-knowledge-of-suspended-lic
423,14601VC,DRIVING WITH SUSPENDED LICENSE,14601VC,driving-with-suspended-license
424,14604(A)VC,OWN LET UNLICENSD OPR VEH,14604(A)VC,own-let-unlicensd-opr-veh
425,14610(A)1VC,UNLAWFUL DISPLAY OF DRIVER'S LICENSE,14610(A)1VC,unlawful-display-of-drivers-license
426,14610(A)3VC,PRESENT LICENSE ISSUED TO ANOTHER,14610(A)3VC,present-license-issued-to-another
427,14610(A)VC,UNLAWFUL USE OF LICENSE,14610(A)VC,unlawful-use-of-license
428,148(1)PC,RESISTING OFFICER,148(1)PC,resisting-officer-2
429,148(A)(1)PC,RESISTING OFFICER,148(A)(1)PC,resisting-officer
430,148(A)PC,RESISTING OFFICER,148(A)PC,resisting-officer-1
431,148(D)PC,ATTEMPT TO REMOVE FIREARM FROM PO,148(D)PC,attempt-to-remove-firearm-from-po
432,148.1(A)PC,FALSE REPORT OF BOMB TO PUBLIC AGENCY/B,148.1(A)PC,false-report-of-bomb-to-public-agencyb
433,148.1(B)PC,FALSE REPORT OF BOMB TO ANY PEACE OFFIC,148.1(B)PC,false-report-of-bomb-to-any-peace-offic
434,148.1(C)PC,FALSE REPORT OF BOMB TO ANY PERSON,148.1(C)PC,false-report-of-bomb-to-any-person
435,148.2PC,INTERFR W/FIREMAN/EMERGENCY RESCUE PERS,148.2PC,interfr-wfiremanemergency-rescue-pers
436,148.3(A)PC,FALSE REPORT OF EMERGENCY,148.3(A)PC,false-report-of-emergency
437,148.3PC,FALSE REPORT OF EMERGENCY,148.3PC,false-report-of-emergency-1
438,148.5(A)PC,FALSE RPT OF CRIMINAL OFFENSE TO ANY PO,148.5(A)PC,false-rpt-of-criminal-offense-to-any-po
439,148.5PC,FALSE REPORT OF CRIME,148.5PC,false-report-of-crime
440,148.9(A)PC,FALSE IDENTIFICATION TO PEACE OFFICER,148.9(A)PC,false-identification-to-peace-officer
441,148.9(B)PC,FALSE REPRESENTATION OF SELF,148.9(B)PC,false-representation-of-self
442,148.9PC,FALSE ID TO PEACE OFFICER,148.9PC,false-id-to-peace-officer
443,148PC,OBSTRUCT/RESIST PUBLIC OFFICER,148PC,obstructresist-public-officer
444,1551(A)PC,FUGITIVE FROM JUSTICE:WARRANT ARREST,1551(A)PC,fugitive-from-justicewarrant-arrest
445,1551.1PC,FUGITIVE FROM JUSTICE:WARRANTLESS ARRES,1551.1PC,fugitive-from-justicewarrantless-arres
446,16020(A)VC,VIOLATION OF FINANCIAL RESPONSIBILITY L,16020(A)VC,violation-of-financial-responsibility-l
447,16028(A)VC,EVIDENCE OF FINANCIAL RESPONSIBILITY RE,16028(A)VC,evidence-of-financial-responsibility-re
448,16030(A)VC,PROVIDE FAKE EVID:INS/ETC,16030(A)VC,provide-fake-evidinsetc
449,166(A)(1)PC,CONTEMPT OF COURT,166(A)(1)PC,contempt-of-court-1
450,166(A)(4)PC,CONTEMPT OF COURT - DISOBEY COURT ORDER,166(A)(4)PC,contempt-of-court-disobey-court-order
451,166(A)(6)PC,CONTEMPT OF COURT - REFUSE TO BE SWORN,166(A)(6)PC,contempt-of-court-refuse-to-be-sworn
452,166(B)(1)PC,DISOBEY COURT ORDER W/PRIOR,166(B)(1)PC,disobey-court-order-wprior
453,166(C)(1)PC,VIOL DOMESTIC VIOL PROTECT/STAY AWAY OR,166(C)(1)PC,viol-domestic-viol-protectstay-away-or
454,166(C)(4)PC,VIO PROT ORDER:DOMES:W/PR,166(C)(4)PC,vio-prot-orderdomeswpr
455,166.4PC,CONTEMPT OF COURT - DISOBEY COURT ORDER,166.4PC,contempt-of-court-disobey-court-order-1
456,166PC,CRIMINAL CONTEMPT,166PC,criminal-contempt
457,171.5(B)PC,POSSESS A KNIFE/FIREARM ETC: IN AIRPORT,171.5(B)PC,possess-a-knifefirearm-etc-in-airport
458,17500BP,FALSE/MISLEADING ADVERTISING STATEMENTS,17500BP,falsemisleading-advertising-statements
459,1767.3(A)WI,PAROLE VIOLATION,1767.3(A)WI,parole-violation
460,181PC,INFRINGE PERSONAL LIBERTIES/SLAVERY,181PC,infringe-personal-libertiesslavery
461,182(A)(1)PC,CONSPIRACY TO COMMIT ANY CRIME,182(A)(1)PC,conspiracy-to-commit-any-crime
462,182(A)(4)PC,CONSPIRACY TO DEFRAUD/CHEAT,182(A)(4)PC,conspiracy-to-defraudcheat
463,182(A)PC,CONSPIRACY,182(A)PC,conspiracy
464,182.1PC,CONSPIRACY TO COMMIT A CRIME,182.1PC,conspiracy-to-commit-a-crime
465,186.22(A)PC,PARTICIPATE IN KNOWN STREET GANG,186.22(A)PC,participate-in-known-street-gang
466,186.22(D)PC,PROMOTE CRIMINAL STREET GANG,186.22(D)PC,promote-criminal-street-gang
467,187(A)PC,MURDER:FIRST DEGREE,187(A)PC,murderfirst-degree
468,191.5(A)PC,VEH MANSLAUGHTER DUI W/GROSS NEGLIGENCE,191.5(A)PC,veh-manslaughter-dui-wgross-negligence
469,191.5(B)PC,VEH MANSLAUGHTR/OPER VESSEL DUI & DUR F,191.5(B)PC,veh-manslaughtroper-vessel-dui-dur-f
470,192(C)(1)PC,VEHICULAR MANSLAUGHTER W/GROSS NEGLIGEN,192(C)(1)PC,vehicular-manslaughter-wgross-negligen
471,192(C)(2)PC,VEHCLR MANSLAUGHTER W/O GROSS NEGLIGENC,192(C)(2)PC,vehclr-manslaughter-wo-gross-negligenc
472,20001(A)VC,HIT AND RUN CAUSING INJURY/DEATH,20001(A)VC,hit-and-run-causing-injurydeath
473,20001VC,HIT AND RUN,20001VC,hit-and-run
474,20002(A)1VC,FAIL TO PRESENT DL/FINANCIAL RESPON INF,20002(A)1VC,fail-to-present-dlfinancial-respon-inf
475,20002(A)2VC,HIT & RUN PROPERTY DAMAG:NOTIFY OWNER R,20002(A)2VC,hit-run-property-damagnotify-owner-r
476,20002(A)VC,HIT AND RUN:PROP DAMAGE,20002(A)VC,hit-and-runprop-damage
477,203PC,MAYHEM,203PC,mayhem
478,205PC,AGGRAVATED MAYHEM,205PC,aggravated-mayhem
479,207(A)PC,KIDNAPPING,207(A)PC,kidnapping
480,207(B)PC,KIDNAP CHILD UNDER 14YRS FOR CHILD MOLE,207(B)PC,kidnap-child-under-14yrs-for-child-mole
481,209(A)PC,KIDNAPPING FOR RANSOM,209(A)PC,kidnapping-for-ransom
482,209(B)(1)PC,KIDNAP TO COMMIT ROBBERY/RAPE/ETC,209(B)(1)PC,kidnap-to-commit-robberyrapeetc
483,209(B)PC,KIDNAPPING TO COMMIT ROBBERY,209(B)PC,kidnapping-to-commit-robbery
484,209.5(A)PC,KIDNAPPING FOR PURPOSE OF CARJACKING,209.5(A)PC,kidnapping-for-purpose-of-carjacking
485,20VC,FALSE STATEMENTS TO DMV OR CHP,20VC,false-statements-to-dmv-or-chp
486,210.5PC,TAKING OF HOSTAGES,210.5PC,taking-of-hostages
487,211PC,ROBBERY,211PC,robbery
488,21200.5VC,DUI ALCOHOL/DRUGS ON BICYCLE,21200.5VC,dui-alcoholdrugs-on-bicycle
489,21453(A)VC,VEHICLE STOP AT LIMIT LINE,21453(A)VC,vehicle-stop-at-limit-line
490,21453(C)VC,FAIL TO MAKE PROPER STOP AT INTERSECTIO,21453(C)VC,fail-to-make-proper-stop-at-intersectio
491,21460(A)VC,DRIVING TO LEFT OF DOUBLE SOLID LINES,21460(A)VC,driving-to-left-of-double-solid-lines
492,21461(A)VC,FAIL TO OBEY TRAFFIC SIGNS/SIGNALS,21461(A)VC,fail-to-obey-traffic-signssignals
493,215(A)PC,TAKE MOTOR VEH IN POSS OF OTHER,215(A)PC,take-motor-veh-in-poss-of-other
494,215PC,CARJACKING,215PC,carjacking
495,21651(B)VC,DRIVE WRONG WAY DIVIDED HWY W/INJ/DEATH,21651(B)VC,drive-wrong-way-divided-hwy-winjdeath
496,21655.5VC,ILLEGAL USE OF CARPOOL LANE,21655.5VC,illegal-use-of-carpool-lane
497,21950(A)VC,FAIL TO YIELD/PEDESTRIAN IN CROSSWALK,21950(A)VC,fail-to-yieldpedestrian-in-crosswalk
498,220PC,ASSAULT W/INTENT,220PC,assault-wintent
499,220PC261,ASSAULT TO COMMIT RAPE,220PC261,assault-to-commit-rape
500,22102VC,U-TURN IN BUSINESS DISTRICT,22102VC,u-turn-in-business-district
501,22103VC,U-TURN IN RESIDENTIAL DISTRICT,22103VC,u-turn-in-residential-district
502,22108VC,INSUFFICIENT SIGNAL DURATION,22108VC,insufficient-signal-duration
503,22349(A)VC,EXCEED SPEED ON HIGHWAY,22349(A)VC,exceed-speed-on-highway
504,22350VC,SPEEDING,22350VC,speeding
505,22435.2ABP,REMOVE CART FROM PREMISES,22435.2ABP,remove-cart-from-premises
506,22435.2BBP,UNAUTH POSS OF SHOPPING/LAUNDRY CARTS,22435.2BBP,unauth-poss-of-shoppinglaundry-carts
507,22435.2BP,STEAL/POSSESS SHOPPING CART,22435.2BP,stealpossess-shopping-cart
508,22435.2FBP,POSSESS SHOPPING CART,22435.2FBP,possess-shopping-cart
509,22435BP,POSSESSION OF SHOPPING CART,22435BP,possession-of-shopping-cart
510,22450(A)VC,IMPROPR STOP AT STOP SIGN/RR CROSSING/E,22450(A)VC,impropr-stop-at-stop-signrr-crossinge
511,22450VC,FAIL TO STOP AT R/R CROSSING SIGNAL,22450VC,fail-to-stop-at-rr-crossing-signal
512,22507.8AVC,PARK IN SPACE FOR DISABLE,22507.8AVC,park-in-space-for-disable
513,23103(A)VC,RECKLESS DRIVING,23103(A)VC,reckless-driving-1
514,23103(B)VC,RECKLESS DRIVING IN PARKING LOT,23103(B)VC,reckless-driving-in-parking-lot
515,23103VC,RECKLESS DRIVING,23103VC,reckless-driving
516,23104VC,RECKLESS DRIVING/BODILY INJURY,23104VC,reckless-drivingbodily-injury
517,23109(A)VC,ILLEGAL SPEED CONTEST,23109(A)VC,illegal-speed-contest
518,23109(B)VC,AID/ABET ILLEGAL EXHIBIT OF SPEED,23109(B)VC,aidabet-illegal-exhibit-of-speed
519,23109(C)VC,AID/ABET/ENGAGE IN SPEED CONTEST,23109(C)VC,aidabetengage-in-speed-contest
520,23109(D)VC,SPEED CONTEST - BLOCK HIGHWAY,23109(D)VC,speed-contest-block-highway
521,23109CVCAID,AIDE/ABET SPEED EXHIBITN,23109CVCAID,aideabet-speed-exhibitn
522,23110(A)VC,THROW SUBSTANCE AT VEHICLE,23110(A)VC,throw-substance-at-vehicle
523,23110(B)VC,THROW SUBSTANCE AT VEHICLE W/GBI INTENT,23110(B)VC,throw-substance-at-vehicle-wgbi-intent
524,23112(A)VC,LITTERBUG/DEPOSIT TRASH ON HIGHWAY,23112(A)VC,litterbugdeposit-trash-on-highway
525,23114(A)VC,SPILL LOAD ON HIGHWAY,23114(A)VC,spill-load-on-highway
526,23140(A)VC,MINOR DRIVE W/BLOOD ALCOHOL OF 0.05%+,23140(A)VC,minor-drive-wblood-alcohol-of-005
527,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,23152(A)VC,drunk-driving-alcoholdrugs
528,23152(B)VC,DRUNK DRIVING .10 OR ABOVE,23152(B)VC,drunk-driving-10-or-above
529,23152(C)VC,DRUNK DRIVING ADDICT DRIVE VEHICLE,23152(C)VC,drunk-driving-addict-drive-vehicle
530,23153(A)VC,DUI ALCOHOL/DRUGS W/INJURY,23153(A)VC,dui-alcoholdrugs-winjury
531,23153(B)VC,DUI .10 ALCOHOL W/INJURY,23153(B)VC,dui-10-alcohol-winjury
532,23222(B)VC,POSSESS OF MARIJUANA WHILE DRIVING VEH,23222(B)VC,possess-of-marijuana-while-driving-veh
533,23223VC,POSSESS OPEN CONTAINER IN MOTOR VEHICLE,23223VC,possess-open-container-in-motor-vehicle
534,23224(A)VC,TRANSPORT ALCOHOLIC BEVERAGE BY MINOR,23224(A)VC,transport-alcoholic-beverage-by-minor
535,23224(B)VC,MINOR IN POSS OF ALCOHOL BEVERAGE IN VE,23224(B)VC,minor-in-poss-of-alcohol-beverage-in-ve
536,23300BP,SELL LIQUOR W/O LICENSE,23300BP,sell-liquor-wo-license
537,23550(A)VC,DUI W/PRIOR SPEC CONVICTIONS,23550(A)VC,dui-wprior-spec-convictions
538,23550.5AVC,DUI WITH PRIOR CONVICTIONS,23550.5AVC,dui-with-prior-convictions
539,23550VC,FELONY FOR FOURTH DUI,23550VC,felony-for-fourth-dui
540,236PC,FALSE IMPRISONMENT,236PC,false-imprisonment
541,240PC,ASSAULT,240PC,assault
542,240PCAPO,ASSAULT P.O./EMERGENCY PERSONNEL/ETC,240PCAPO,assault-poemergency-personneletc
543,241(A)PC,ASSAULT ON PERSON,241(A)PC,assault-on-person
544,241(B)PC,ASSAULT:PEACE OFFICER/EMERGENCY PERSONN,241(B)PC,assaultpeace-officeremergency-personn
545,241.1PC,ASSAULT ON CUSTODIAL OFFICER,241.1PC,assault-on-custodial-officer
546,24250VC,DRIVING W/O LIGHTS AFTER DARK,24250VC,driving-wo-lights-after-dark
547,242PC,BATTERY ON NONCOHABITATING FORMER SPOUS,242PC,battery-on-noncohabitating-former-spous
548,242PCBSD,BAT W/SERIOUS BODILY INJ,242PCBSD,bat-wserious-bodily-inj
549,243(A)PC,BATTERY ON PERSON,243(A)PC,battery-on-person
550,243(B)PC,BATTERY ON PO/EMERGENCY PERSONNEL W/O I,243(B)PC,battery-on-poemergency-personnel-wo-i
551,243(C)(1)PC,BATTERY ON CUSTODIAL OFFICER/FIREFIGHTE,243(C)(1)PC,battery-on-custodial-officerfirefighte
552,243(C)(2)PC,BATTERY ON PEACE OFFICER,243(C)(2)PC,battery-on-peace-officer
553,243(C)PC,BATTERY ON PO/EMERGENCY PERSONNEL W/INJ,243(C)PC,battery-on-poemergency-personnel-winj
554,243(D)PC,BATTERY: W/GBI,243(D)PC,battery-wgbi
555,243(E)(1)PC,BETTERY AGAINST FORMER SPOUSE,243(E)(1)PC,bettery-against-former-spouse
556,243(E)PC,BATT EX-SPOUSE/FIANCEE/PERSN W/DATING R,243(E)PC,batt-ex-spousefianceepersn-wdating-r
557,243.1PC,BATTERY ON CUSTODIAL OFFICER,243.1PC,battery-on-custodial-officer
558,243.2(A)PC,BATTERY ON SCHOOL/PRK/HOSPITAL GROUNDS,243.2(A)PC,battery-on-schoolprkhospital-grounds
559,243.25PC,BATTERY ON ELDER/DEPENDENT ADULT,243.25PC,battery-on-elderdependent-adult
560,243.35(A)PC,BATT PRSN:PUB TRANSP/ETC,243.35(A)PC,batt-prsnpub-transpetc
561,243.3PC,BATTERY TRANSPORTATION PERSONNEL/PASSEN,243.3PC,battery-transportation-personnelpassen
562,243.4(A)PC,SEXUAL BATTERY: BY RESTRAINT,243.4(A)PC,sexual-battery-by-restraint
563,243.4(B)PC,SEXUAL BATT ON MEDI INSTITUTIONAL VICTI,243.4(B)PC,sexual-batt-on-medi-institutional-victi
564,243.4(C)PC,SEXUAL BATT FORCING VICTIM TO MASTURBAT,243.4(C)PC,sexual-batt-forcing-victim-to-masturbat
565,243.4(D)1PC,SEXUAL BATT-TOUCH INTIMATE PARTS OF OTH,243.4(D)1PC,sexual-batt-touch-intimate-parts-of-oth
566,243.4(D)PC,SEXUAL BATT-TOUCH INTIMATE PART OF OTHE,243.4(D)PC,sexual-batt-touch-intimate-part-of-othe
567,243.4(E)1PC,SEX BATTERY TOUCH INTIMATE PART OF ANOT,243.4(E)1PC,sex-battery-touch-intimate-part-of-anot
568,243.4PC,SEXUAL BATTERY,243.4PC,sexual-battery
569,243.5PC,ASSAULT/BATTERY ON SCHOOL PROPERTY,243.5PC,assaultbattery-on-school-property
570,243.6PC,BATT ON SCHL EMPLOYEE/RETALIATION W/INJ,243.6PC,batt-on-schl-employeeretaliation-winj
571,243.8(A)PC,BATTERY AGAINST SPORTS OFFICIAL,243.8(A)PC,battery-against-sports-official
572,243.9(A)PC,BATTERY GASSING,243.9(A)PC,battery-gassing
573,244.5(B)PC,ASSAULT W/STUN GUN OR TASER,244.5(B)PC,assault-wstun-gun-or-taser
574,244PC,ASSAULT W/CAUSTIC CHEMICALS,244PC,assault-wcaustic-chemicals
575,245(A)(1)PC,ADW W/O FIREARM/GBI,245(A)(1)PC,adw-wo-firearmgbi
576,245(A)(2)PC,ADW W/FIREARM,245(A)(2)PC,adw-wfirearm
577,245(A)PC,ADW  (RENUM-245(A)(1)PC / 245(A)(2)PC),245(A)PC,adw-renum-245a1pc-245a2pc
578,245(B)PC,ADW W/SEMIAUTOMATIC RIFLE,245(B)PC,adw-wsemiautomatic-rifle
579,245(C)PC,ASSAULT W/FIREARM UPON PEACE OFFCR/FIRM,245(C)PC,assault-wfirearm-upon-peace-offcrfirm
580,245(D)(1)PC,ASSAULT W/FIREARM ON PO OR FIREMAN,245(D)(1)PC,assault-wfirearm-on-po-or-fireman
581,245.2PC,ADW TRANSPORTATION PERSONNEL,245.2PC,adw-transportation-personnel
582,245.5(A)PC,ADW ON SCHOOL EMPLOYEE W/NOT FIREARM/GB,245.5(A)PC,adw-on-school-employee-wnot-firearmgb
583,246.3PC,DISCHARGE FIREARM IN PUBLIC,246.3PC,discharge-firearm-in-public
584,246PC,SHOOT-INHABIT DWELL/OCCUPY VEH/AIRCRAFT,246PC,shoot-inhabit-dwelloccupy-vehaircraft
585,247(B)PC,DISCHRG FIREARM/UNOCCUPY VEH/UNINHAB BL,247(B)PC,dischrg-firearmunoccupy-vehuninhab-bl
586,247.5PC,DISCHARGE LASER AT AIRCRAFT,247.5PC,discharge-laser-at-aircraft
587,25189.5BHS,ILLEGALLY DISPOSE HAZARDOUS WASTE,25189.5BHS,illegally-dispose-hazardous-waste
588,25602BP,SELL ALCOHOL TO INTOXICATED PERSON,25602BP,sell-alcohol-to-intoxicated-person
589,25608BP,LIQUOR ON SCHOOL PROPERTY,25608BP,liquor-on-school-property
590,25620(A)BP,DRINKING ALCOHOL,25620(A)BP,drinking-alcohol
591,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,25620BP,open-alcoholic-bev-in-public-parkplace
592,25631BP,SELL/PURCHASE ALCOHOL AFTER HOURS,25631BP,sellpurchase-alcohol-after-hours
593,25658(A)BP,SALE/ETC OF ALCOHOLIC BEVERAGE TO MINOR,25658(A)BP,saleetc-of-alcoholic-beverage-to-minor
594,25658(B)BP,CONSUME/PURCHASE ALCOHOLIC BEV BY MINOR,25658(B)BP,consumepurchase-alcoholic-bev-by-minor
595,25658(C)BP,ALCHL BEV LIC PERMIT MINOR CONSUME ALCO,25658(C)BP,alchl-bev-lic-permit-minor-consume-alco
596,25658.5BP,MINOR ATT PURCHASE ALCOHOLIC BEVERAGE,25658.5BP,minor-att-purchase-alcoholic-beverage
597,25658BP,SELL/LET MINOR CONSUME ALCOHOL,25658BP,selllet-minor-consume-alcohol
598,25661BP,MINOR POSSESS/USE FALSE EVIDENCE OF AGE,25661BP,minor-possessuse-false-evidence-of-age
599,25662(A)BP,MINOR IN POSSESSION OF ALCOHOLIC BEVERA,25662(A)BP,minor-in-possession-of-alcoholic-bevera
600,25662BP,MINOR POSSESS ALCOHOL,25662BP,minor-possess-alcohol
601,261(2)PC,RAPE BY FORCE/FEAR,261(2)PC,rape-by-forcefear-1
602,261(A)(1)PC,RAPE - VICTIM INCAPABLE OF CONSENT,261(A)(1)PC,rape-victim-incapable-of-consent
603,261(A)(2)PC,RAPE BY FORCE/FEAR,261(A)(2)PC,rape-by-forcefear
604,261(A)(3)PC,RAPE - USE OF DRUGS/INTOXICANTS,261(A)(3)PC,rape-use-of-drugsintoxicants
605,261(A)(4)PC,RAPE -VICTIM UNCONSCIOUS OF NATURE OF A,261(A)(4)PC,rape-victim-unconscious-of-nature-of-a
606,261.5(A)PC,UNLAWFUL SEX W/MINOR UNDER 18,261.5(A)PC,unlawful-sex-wminor-under-18
607,261.5(B)PC,SEX WITH MINOR W/3 YR AGE DIFFERENCE,261.5(B)PC,sex-with-minor-w3-yr-age-difference
608,261.5(C)PC,SEX WITH MINOR 3+ YRS YOUNGER,261.5(C)PC,sex-with-minor-3-yrs-younger
609,261.5(D)PC,SEX WITH MINOR UNDER 16 BY PERSON 21+,261.5(D)PC,sex-with-minor-under-16-by-person-21
610,262(A)(1)PC,SPOUSAL RAPE BY FORCE/VIOLENCE/FEAR/ETC,262(A)(1)PC,spousal-rape-by-forceviolencefearetc
611,262(A)(2)PC,SPOUSAL RAPE BY USE OF DRUGS/INTOXICANT,262(A)(2)PC,spousal-rape-by-use-of-drugsintoxicant
612,262(A)PC,RAPE SPOUSE W FORCE/FEAR/THREAT,262(A)PC,rape-spouse-w-forcefearthreat
613,262PC,SPOUSAL RAPE,262PC,spousal-rape
614,264.1PC,RAPE IN CONCERT W/FORCE/VIOLENCE,264.1PC,rape-in-concert-wforceviolence
615,266H(A)PC,PIMPING,266H(A)PC,pimping
616,266H(B)1PC,PIMPING FOR MINOR OVER 16 YEARS,266H(B)1PC,pimping-for-minor-over-16-years
617,266HBPCOVR,PIMPING:PROSTITUTE 16+,266HBPCOVR,pimpingprostitute-16-1
618,266I(A)1PC,PANDERING BY PROCURING,266I(A)1PC,pandering-by-procuring
619,266I(A)2PC,PANDERING BY ENCOURAGING,266I(A)2PC,pandering-by-encouraging
620,266IAPCPAN,PANDERING,266IAPCPAN,pandering-1
621,266IPC,PANDERING,266IPC,pandering
622,266IPCPAN,PANDERING,266IPCPAN,pandering-2
623,266PC,ENTICE MINOR/VIRGIN FEMALE FOR PROST,266PC,entice-minorvirgin-female-for-prost
624,26708(A)1VC,DRIVING W/OBSTRUCTED VIEW,26708(A)1VC,driving-wobstructed-view
625,26710VC,DRIVING W/DEFECTIV WINDSHIELD/REAR WIND,26710VC,driving-wdefectiv-windshieldrear-wind
626,269(A)(1)PC,AGGRAVATED SEXUAL ASSLT/CHILD-PC261(A)(,269(A)(1)PC,aggravated-sexual-assltchild-pc261a
627,27001(A)VC,IMPROPER USE OF VEHICLE HORN,27001(A)VC,improper-use-of-vehicle-horn
628,27007VC,OPERATE VEH W/OUTSIDE AMPLIFICATN SYSTE,27007VC,operate-veh-woutside-amplificatn-syste
629,270PC,FAILURE TO PROVIDE FOR MINOR CHILD,270PC,failure-to-provide-for-minor-child
630,27153VC,EXCESSIVE SMOKE/FLAME/RESIDUE,27153VC,excessive-smokeflameresidue
631,271PC,DESERT CHILD < 14 YRS W/INTENT TO ABAND,271PC,desert-child-14-yrs-wintent-to-aband
632,272(A)(1)PC,CONTRIBUTING TO THE DELINQUENCY OF MINO,272(A)(1)PC,contributing-to-the-delinquency-of-mino
633,273(A)PC,PAY/OFFER TO PAY PARENT FOR ADOPT CHILD,273(A)PC,payoffer-to-pay-parent-for-adopt-child
634,273(B)PC,RECEIVE/PAY FOR PLACEMT/CONSENT TO ADOP,273(B)PC,receivepay-for-placemtconsent-to-adop
635,273.5(A)PC,CORPORAL INJURY ON SPOUSE/COHABITANT/ET,273.5(A)PC,corporal-injury-on-spousecohabitantet
636,273.5(E)PC,INFLICT CORPORAL INJ:SPOUSE ETC W/PRIOR,273.5(E)PC,inflict-corporal-injspouse-etc-wprior
637,273.6(A)PC,DISOBEY DOMESTIC RELATIONS COURT ORDER,273.6(A)PC,disobey-domestic-relations-court-order
638,273.6(B)PC,VIOL CRT ORD PREV DOMESTC VIOL RESULT I,273.6(B)PC,viol-crt-ord-prev-domestc-viol-result-i
639,273.6(C)PC,VIOL COURT ORD TO PREV DOMESTIC VIOL W/,273.6(C)PC,viol-court-ord-to-prev-domestic-viol-w
640,273.6(D)PC,DISOBEY DOMSTC RELATNS CRT ORDR W/PR CO,273.6(D)PC,disobey-domstc-relatns-crt-ordr-wpr-co
641,273.6(E)PC,DISOBEY DOMSTC RELATNS CRT ORDER W/PRIO,273.6(E)PC,disobey-domstc-relatns-crt-order-wprio
642,273.65(A)PC,INTENTIONAL VIOL OF PROTCTVE ORDR W/PRI,273.65(A)PC,intentional-viol-of-protctve-ordr-wpri
643,27315(D)1VC,FAILURE TO USE SEATBELTS,27315(D)1VC,failure-to-use-seatbelts
644,27315(D)VC,SEATBELT VIOL:PRIVATE VEH,27315(D)VC,seatbelt-violprivate-veh
645,273A(A)PC,CRUEL TO CHLD:POS INJ/DTH,273A(A)PC,cruel-to-chldpos-injdth
646,273A(B)PC,WILLFUL CRUELTY TO CHILD/CHILD ENDANGER,273A(B)PC,willful-cruelty-to-childchild-endanger
647,273ABPC,ASSAULT RESULT DEATH OF CHILD UNDER 8YR,273ABPC,assault-result-death-of-child-under-8yr
648,273D(A)PC,CORPORAL INJURY ON CHILD,273D(A)PC,corporal-injury-on-child
649,273GPC,IMMORAL ACTS BEFORE CHILD,273GPC,immoral-acts-before-child
650,278.5(A)PC,DEPRIVE CUSTODY/VISIT IN VIOL OF CRT OR,278.5(A)PC,deprive-custodyvisit-in-viol-of-crt-or
651,278.5PC,VIOLATION OF CUSTODY DECREE,278.5PC,violation-of-custody-decree
652,278PC,CHILD STEALING,278PC,child-stealing
653,2800.1(A)VC,EVADING ARREST,2800.1(A)VC,evading-arrest
654,2800.1VC,EVADING PEACE OFFICER,2800.1VC,evading-peace-officer
655,2800.2(A)VC,DISREGARD SAFETY:EVADE PO,2800.2(A)VC,disregard-safetyevade-po
656,2800.2VC,EVADING PO/DRIVE IN RECKLESS MANNER,2800.2VC,evading-podrive-in-reckless-manner
657,2800.3VC,EVADING A PEACE OFFICER W/DEATH/GBI,2800.3VC,evading-a-peace-officer-wdeathgbi
658,2800VC,FAIL TO OBEY PEACE OFFICER,2800VC,fail-to-obey-peace-officer
659,286(A)PC,SODOMY,286(A)PC,sodomy
660,286(B)(1)PC,SODOMY W/PERSON UNDER 18 YRS,286(B)(1)PC,sodomy-wperson-under-18-yrs
661,286(B)(2)PC,SODOMY W/PERSON < 16 YRS BY PRSN > 21 Y,286(B)(2)PC,sodomy-wperson-16-yrs-by-prsn-21-y
662,286(C)PC,SODOMY PERSON< 14 BY PRSN W/10YR AGE DI,286(C)PC,sodomy-person-14-by-prsn-w10yr-age-di
