,position,total
534,FIRE AND LIFE SAFETY INSPECTOR VI,2
535,FIRE AND LIFE SAFETY INSPECTOR VII,2
536,FIRE AND LIFE SAFETY MANAGER,1
537,FIRE AND LIFE SAFETY PERMIT TECHNICIAN,4
538,FIRE AND LIFE SAFETY PLANS EXAMINER,4
539,FIRE AND LIFE-SAFETY PLANS EXA,7
540,FIRE AP OP HZ MT EMT,10
541,FIRE APARATUS ENGINEER,4
542,FIRE APPARATUS,6
543,FIRE APPARATUS ENG,2
544,FIRE APPARATUS ENGINEER,832
545,FIRE APPARATUS ENGINEER EMERGENCY MEDICAL TECHNICIAN (VOLUNTEER),1
546,FIRE APPARATUS ENGINEER EMT (VOLUNTEER),3
547,FIRE APPARATUS ENGINEER PARAMEDIC (VOLUNTEER),3
548,FIRE APPARATUS ENGINEER/EMT - FULL TIME,1
549,FIRE APPARATUS ENGINEER/MEDIC - FULL TIME,5
550,FIRE APPARATUS ENGINEER/PARAMEDIC,4
551,FIRE APPARATUS FLEET SUPERVISOR,7
552,FIRE APPARATUS MECHANIC,5
553,FIRE APPARATUS MECHANIC II,10
554,FIRE APPARATUS OP EMT,27
555,FIRE APPARATUS OPER-40HR,3
556,FIRE APPARATUS OPERATOR,672
557,FIRE APPARATUS OPERATOR (VOLUNTEER),16
558,FIRE APPARATUS OPERATOR EMERGENCY MEDICAL TECHNICIAN (VOLUNTEER),8
559,FIRE APPARATUS OPERATOR EMT HAZMT PARA,2
560,FIRE APPARATUS OPERATOR PARAMEDIC (VOLUNTEER,2
561,FIRE APPARATUS OPERATOR PARAMEDIC (VOLUNTEER),8
562,FIRE APPARATUS OPTR,18
563,FIRE APPARATUS SERVICE COORDIN,8
564,FIRE APPARATUS SERVICE COORDINATOR,2
565,FIRE APPARATUS SUPERVISOR,2
566,FIRE APPARATUS TECHNICIAN I,69
567,FIRE APPARATUS TECHNICIAN II,85
568,FIRE APPARATUS/COMMUNICATIONS SUPERVISOR,2
569,FIRE APPLICATION DATA ANALYST,1
570,FIRE APPRATUS OP EMT,48
571,FIRE APPRATUS OP HAZMAT EMT,4
572,FIRE ASSISTANT CHIEF,219
573,FIRE AUX SUPPORT TEAM (VOLUNTEER,1
574,FIRE AUX SUPPORT TEAM (VOLUNTEER),1
575,FIRE BAT CHIEF/PARAMEDIC/TRAIN,2
576,FIRE BATALLION CHIEF,19
577,FIRE BATALLION CHIEF (40 HOUR),6
578,FIRE BATALLION CHIEF (8HR),5
579,FIRE BATILLION CHIEF,1
580,FIRE BATT CHIEF,17
581,FIRE BATT CHIEF - 40 HOURS,5
582,FIRE BATT CHIEF - ADMIN,3
583,FIRE BATT CHIEF - OPERATIONS,30
584,FIRE BATT CHIEF 112,2
585,FIRE BATT CHIEF 40 H,1
586,FIRE BATT CHIEF 80,2
587,FIRE BATT CHIEF 80 HRS,5
588,FIRE BATT CHIEF-40 HR,2
589,FIRE BATT CHIEF-SUPPRESS,58
590,FIRE BATT. CHIEF-PT,1
591,FIRE BATTALION  CHIEF,46
592,FIRE BATTALION CHIEF,3241
593,FIRE BATTALION CHIEF  NCFM,16
594,FIRE BATTALION CHIEF (112 HR),45
595,FIRE BATTALION CHIEF (40 HOUR),51
596,FIRE BATTALION CHIEF (40 HOURS),13
597,FIRE BATTALION CHIEF (56 HOUR),67
598,FIRE BATTALION CHIEF (56 HOURS),27
599,FIRE BATTALION CHIEF (80 HR),8
600,FIRE BATTALION CHIEF (8HR),5
601,FIRE BATTALION CHIEF (ADMIN),2
602,FIRE BATTALION CHIEF (ADMINISTRATIVE),2
603,FIRE BATTALION CHIEF (CONDITIONAL),1
604,FIRE BATTALION CHIEF (D),51
605,FIRE BATTALION CHIEF (INTERIM),1
606,FIRE BATTALION CHIEF (RM),9
607,FIRE BATTALION CHIEF (S),61
608,FIRE BATTALION CHIEF - 112 HOURS,8
609,FIRE BATTALION CHIEF - 112 HRS,24
610,FIRE BATTALION CHIEF - 40 HR,20
611,FIRE BATTALION CHIEF - 40 HR.,3
612,FIRE BATTALION CHIEF - 40 HRS,13
613,FIRE BATTALION CHIEF - 40 HUMAN RESOURCES BLS,1
614,FIRE BATTALION CHIEF - 53 HR,11
615,FIRE BATTALION CHIEF - 56,6
616,FIRE BATTALION CHIEF - 56 HR,2
617,FIRE BATTALION CHIEF - 56 HUMAN RESOURCES,3
618,FIRE BATTALION CHIEF - A,8
619,FIRE BATTALION CHIEF - ADMIN,6
620,FIRE BATTALION CHIEF - ADMINISTRATION - PDP LEVEL 4,1
621,FIRE BATTALION CHIEF - C,2
622,FIRE BATTALION CHIEF - EMS OFFICER,7
623,FIRE BATTALION CHIEF - INTERIM,1
624,FIRE BATTALION CHIEF - OPERATIONS,3
625,FIRE BATTALION CHIEF - PART-TIME,1
626,FIRE BATTALION CHIEF - PDP L4,1
627,FIRE BATTALION CHIEF - PDP LEVEL 4,4
628,FIRE BATTALION CHIEF - PDP LEVEL 5,1
629,FIRE BATTALION CHIEF - TEMP,1
630,FIRE BATTALION CHIEF -40 HOUR,1
631,FIRE BATTALION CHIEF / 80HOURS,2
632,FIRE BATTALION CHIEF 112,54
633,FIRE BATTALION CHIEF 2.5%,2
634,FIRE BATTALION CHIEF 40 H,2
635,FIRE BATTALION CHIEF 40 HOUR,1
636,FIRE BATTALION CHIEF 40 HR,7
637,FIRE BATTALION CHIEF 5%,1
638,FIRE BATTALION CHIEF 80,34
639,FIRE BATTALION CHIEF 80 HRS,1
640,FIRE BATTALION CHIEF HOURLY,1
641,FIRE BATTALION CHIEF PDP LEVEL 4,1
642,FIRE BATTALION CHIEF SHIFT,4
643,FIRE BATTALION CHIEF STAFF,2
644,FIRE BATTALION CHIEF- PDP LEVEL 4,1
645,FIRE BATTALION CHIEF-40 HOUR,1
646,FIRE BATTALION CHIEF-40 HR,13
647,FIRE BATTALION CHIEF-40 HR.,5
648,FIRE BATTALION CHIEF-56 HOUR,3
649,FIRE BATTALION CHIEF-56 HR,26
650,FIRE BATTALION CHIEF-56 HR.,6
651,FIRE BATTALION CHIEF-ADMIN,11
652,FIRE BATTALION CHIEF-C,207
653,FIRE BATTALION CHIEF-C-A,82
654,FIRE BATTALION CHIEF-INTERIM,1
655,FIRE BATTALION CHIEF-MANAGER,14
656,FIRE BATTALION CHIEF-REG,4
657,FIRE BATTALION CHIEF-SUPPRESS,6
658,FIRE BATTALION CHIEF-TRAINING,3
659,FIRE BATTALION CHIEF/ TRAINING OFFICER,1
660,FIRE BATTALION CHIEF/112,3
661,FIRE BATTALION CHIEF/40,11
662,FIRE BATTALION CHIEF/40 HOUR PDP L4,1
663,FIRE BATTALION CHIEF/56,17
664,FIRE BATTALION CHIEF/80HOURS,12
665,FIRE BC SHIFT,7
666,FIRE BC-EMERG MED SERV,4
667,FIRE BC-FIRE ADMIN,5
668,FIRE BOARD CHAIR,1
669,FIRE BOARD CHAIRMAN,2
670,FIRE BOARD DIRECTOR,40
671,FIRE BOARD MEMBER,28
672,FIRE BOARD OF DIRECTOR,5
673,FIRE BOARD PRESIDENT,5
674,FIRE BOARD SCTRY,1
675,FIRE BOARD SECRETARY,5
676,FIRE BOARD VICE CHAIR,2
677,FIRE BOARD VICE PRESIDENT,3
678,FIRE BOARD VICE-CHAIRMAN,1
679,FIRE BOAT OPERATOR,54
680,FIRE BOAT PILOT,13
681,FIRE BUREAU MANAGER - BUSINESS SVC,4
682,FIRE BUREAU MGR - BUSINESS SVC,1
683,FIRE BUSINESS MANAGER,3
684,FIRE BUSINESS MANAGER TEMP,2
685,FIRE CAD ADMINISTRATOR,2
686,FIRE CADET,181
687,FIRE CADET (VOLUNTEER),7
688,FIRE CAP HAZ MAT EMT,13
689,FIRE CAPITAN,7
690,FIRE CAPT,26
691,FIRE CAPT + 5% ASSIGN-Y RATED,1
692,FIRE CAPT PARAMEDIC,10
693,FIRE CAPT PARAMEDIC I,1
694,FIRE CAPT PARAMEDIC II,1
695,FIRE CAPT PARAMEDIC III,1
696,FIRE CAPT PARAMEDIC L,1
697,FIRE CAPT PARAMEDIC LL,1
698,FIRE CAPT PARAMEDIC LLL,1
699,FIRE CAPT PARAMEDIC SR,2
700,FIRE CAPT. (SUPPRESSION),23
701,FIRE CAPT. - 40 HR.,4
702,FIRE CAPT. - 40 HRS./WEEK,6
703,FIRE CAPT. PARAMEDIC,20
704,FIRE CAPT./PARAMEDIC,25
705,FIRE CAPT./PARAMEDIC/FPO,2
706,FIRE CAPT/FPO 10%,2
707,FIRE CAPT/PARAMEDIC,47
708,FIRE CAPT/PARAMEDIC/FPO,3
709,FIRE CAPTAIN,27032
710,FIRE CAPTAIN                     SHIFT HRS,120
711,FIRE CAPTAIN                     SHIFT HRS.,31
712,FIRE CAPTAIN                (56 HR),136
713,FIRE CAPTAIN      112 HRS,141
714,FIRE CAPTAIN      112 HRS (MEDICARE-EXEMPT),7
715,FIRE CAPTAIN     (RETIRED),1
716,FIRE CAPTAIN  FT,3
717,FIRE CAPTAIN  NCFA,65
718,FIRE CAPTAIN (112 HR),288
719,FIRE CAPTAIN (22 YEARS - ADMINISTRATIVE),3
720,FIRE CAPTAIN (22 YEARS),4
721,FIRE CAPTAIN (22 YEARS) - ADMIN,1
722,FIRE CAPTAIN (40 HOUR),23
723,FIRE CAPTAIN (40),2
724,FIRE CAPTAIN (56 HOUR),6873
725,FIRE CAPTAIN (56 HOURS/WEEKS),6
726,FIRE CAPTAIN (56 HOURS/WORK),5
727,FIRE CAPTAIN (56 HR),151
728,FIRE CAPTAIN (56 HR.),35
729,FIRE CAPTAIN (56 HRS./WK),6
730,FIRE CAPTAIN (56 HRS/WK),42
731,FIRE CAPTAIN (56HRS),16
732,FIRE CAPTAIN (80 HR),25
733,FIRE CAPTAIN (ACTING),3
734,FIRE CAPTAIN (ADMIN),4
735,FIRE CAPTAIN (ADMINISTRATIVE),8
736,FIRE CAPTAIN (CONDITIONAL APPOINTMENT),4
737,FIRE CAPTAIN (CONDITIONAL),2
738,FIRE CAPTAIN (D),44
739,FIRE CAPTAIN (EMERGENCY MANAGEMENT COORDINATOR),2
740,FIRE CAPTAIN (HOURLY) 960,1
741,FIRE CAPTAIN (INTERIM),1
742,FIRE CAPTAIN (LIGHT DUTY - 40 HRS/WK),1
743,FIRE CAPTAIN (PARAMEDIC),721
744,FIRE CAPTAIN (PARAMEDIC-ADMIN),25
745,FIRE CAPTAIN (RELIEF),6
746,FIRE CAPTAIN (S),532
747,FIRE CAPTAIN (SHIFT),27
748,FIRE CAPTAIN (SUPPRESSION),58
749,FIRE CAPTAIN (TRAINING),3
750,FIRE CAPTAIN (VOLUNTEER,2
751,FIRE CAPTAIN (VOLUNTEER),24
752,FIRE CAPTAIN (W/ FLSA),32
753,FIRE CAPTAIN + 1.25%,4
754,FIRE CAPTAIN + 11.25%,2
755,FIRE CAPTAIN + 3.75%,2
756,FIRE CAPTAIN + 5% ASSI,6
757,FIRE CAPTAIN + 5% ASSIGNMENT,42
758,FIRE CAPTAIN + 5% ASSIGNMENT-Y RATED,1
759,FIRE CAPTAIN + 7.5%,10
760,FIRE CAPTAIN + 8.75%,4
761,FIRE CAPTAIN +1.25%,1
762,FIRE CAPTAIN +3.75%,1
763,FIRE CAPTAIN - 112 HOURS,29
764,FIRE CAPTAIN - 4% + 5%,1
765,FIRE CAPTAIN - 40 HOUR,9
766,FIRE CAPTAIN - 40 HOURS,25
767,FIRE CAPTAIN - 40 HOURS/WEEK,7
768,FIRE CAPTAIN - 40 HR,28
769,FIRE CAPTAIN - 40 HR.,5
770,FIRE CAPTAIN - 40 HRS/WEEK,4
771,FIRE CAPTAIN - 40/HR,1
772,FIRE CAPTAIN - 53 HR,64
773,FIRE CAPTAIN - 56 HR,55
774,FIRE CAPTAIN - 80 HOURS,7
775,FIRE CAPTAIN - A,37
776,FIRE CAPTAIN - ACTING,1
777,FIRE CAPTAIN - ADMIN,11
778,FIRE CAPTAIN - ADMINISTRATION,3
779,FIRE CAPTAIN - BA(HOURLY),1
780,FIRE CAPTAIN - C,3
781,FIRE CAPTAIN - COC 10%,1
782,FIRE CAPTAIN - DAYS,42
783,FIRE CAPTAIN - F/T,12
784,FIRE CAPTAIN - FOC 4%,4
785,FIRE CAPTAIN - FOC 5%,5
786,FIRE CAPTAIN - FOC 6%,3
787,FIRE CAPTAIN - FULL-TIME,3
788,FIRE CAPTAIN - MAST,4
789,FIRE CAPTAIN - PARAMEDIC,9
790,FIRE CAPTAIN - PART-TIME,1
791,FIRE CAPTAIN - PERS ANNUITANT,1
792,FIRE CAPTAIN - PM CERT,26
793,FIRE CAPTAIN - PREVENTION,44
794,FIRE CAPTAIN - RELIEF,6
795,FIRE CAPTAIN - SHIFT,7
796,FIRE CAPTAIN - SHIFT A,2
797,FIRE CAPTAIN - SHIFT B,3
798,FIRE CAPTAIN - SHIFT C,1
799,FIRE CAPTAIN - SHIFT HOURS,29
800,FIRE CAPTAIN - SUPPRESSION,767
801,FIRE CAPTAIN - TRAINING,51
802,FIRE CAPTAIN - VACANT,1
803,FIRE CAPTAIN - VOLUNTEER,5
804,FIRE CAPTAIN -EMT,1
805,FIRE CAPTAIN / ACTING BC,3
806,FIRE CAPTAIN / EMS COORD,3
807,FIRE CAPTAIN / EMS COORDINATOR,5
808,FIRE CAPTAIN / PARAMEDIC,4
809,FIRE CAPTAIN / TRAINING,1
810,FIRE CAPTAIN 112,162
811,FIRE CAPTAIN 112 HOURS,12
812,FIRE CAPTAIN 112 HRS,113
813,FIRE CAPTAIN 2.5%,22
814,FIRE CAPTAIN 22 YEARS - ADMIN,1
815,FIRE CAPTAIN 24 HOURS,268
816,FIRE CAPTAIN 24 HOURS-TRAINING,12
817,FIRE CAPTAIN 24 HOURS-TRAINING PREMIUM,3
818,FIRE CAPTAIN 24 HRS,27
819,FIRE CAPTAIN 24HR-TRNG PREMIUM,2
820,FIRE CAPTAIN 40,1
821,FIRE CAPTAIN 40 HOUR,3
822,FIRE CAPTAIN 40 HR,6
823,FIRE CAPTAIN 40 HRS,3
824,FIRE CAPTAIN 5%,10
825,FIRE CAPTAIN 56.3,228
826,FIRE CAPTAIN 8 HOUR,4
827,FIRE CAPTAIN 80,6
828,FIRE CAPTAIN 80 HOURS,5
829,FIRE CAPTAIN 80 HRS,5
830,FIRE CAPTAIN A/A,5
831,FIRE CAPTAIN A/A 2.5%,30
832,FIRE CAPTAIN A/A 5%,53
833,FIRE CAPTAIN ADMIN,2
834,FIRE CAPTAIN ADMINISTRATION,1
835,FIRE CAPTAIN AH,1
836,FIRE CAPTAIN B/A,6
837,FIRE CAPTAIN B/A 2.5%,54
838,FIRE CAPTAIN BASE ONLY,64
839,FIRE CAPTAIN BG,1
840,FIRE CAPTAIN BUREAU,1
841,FIRE CAPTAIN EMT,107
842,FIRE CAPTAIN HAZ EMT,2
843,FIRE CAPTAIN HAZ MAT EMT,1
844,FIRE CAPTAIN HAZMAT EMT,3
845,FIRE CAPTAIN I,3223
846,FIRE CAPTAIN I  (56-HOUR),4
847,FIRE CAPTAIN I (40-HOUR),22
848,FIRE CAPTAIN I (56 HOUR),4
849,FIRE CAPTAIN I (56-HOUR),225
850,FIRE CAPTAIN II,1471
851,FIRE CAPTAIN II (40),2
852,FIRE CAPTAIN II (56 HOUR),2
853,FIRE CAPTAIN III,914
854,FIRE CAPTAIN III (40),10
855,FIRE CAPTAIN IV,110
856,FIRE CAPTAIN IV (40),17
857,FIRE CAPTAIN L,806
858,FIRE CAPTAIN LL,187
859,FIRE CAPTAIN LLL,1
860,FIRE CAPTAIN PARAMEDIC,136
861,FIRE CAPTAIN PARAMEDIC (VOLUNTEER),3
862,FIRE CAPTAIN PARAMEDIC 40 HR,2
863,FIRE CAPTAIN PART-TIME,3
864,FIRE CAPTAIN RTG,1
865,FIRE CAPTAIN SHIFT,516
866,FIRE CAPTAIN SHIFT HRS,32
867,FIRE CAPTAIN SPECIAL ASSIGNMENT,6
868,FIRE CAPTAIN SPECIALIST,4
869,FIRE CAPTAIN SPECIALIST - OF,1
870,FIRE CAPTAIN SR,2
871,FIRE CAPTAIN STAFF,172
872,FIRE CAPTAIN STEP 1,11
873,FIRE CAPTAIN STEP 5,3
874,FIRE CAPTAIN SUPPRESSION,9
875,FIRE CAPTAIN TEMP APPNT L,1
876,FIRE CAPTAIN VOLUNTEER,19
877,FIRE CAPTAIN WITH PARAMEDIC LICENSE,7
878,FIRE CAPTAIN(40HRS),4
879,FIRE CAPTAIN(56 HOURS),719
880,FIRE CAPTAIN(EMER MGMT COORD),2
881,FIRE CAPTAIN(EMER MGMT. COORD),4
882,FIRE CAPTAIN(EMER MGMT. COORDINATOR),1
883,FIRE CAPTAIN(EMERGENCY MANAGEMENT COORDINATOR),2
884,FIRE CAPTAIN+1.25%,1
885,FIRE CAPTAIN+3.75%,1
886,"FIRE CAPTAIN, 7.5%",23
887,"FIRE CAPTAIN, EMT - VOLUNTEER",4
888,"FIRE CAPTAIN, PARAMEDIC, 7.5%",31
889,FIRE CAPTAIN- 10% + 12%,1
890,FIRE CAPTAIN- 40/HR,1
891,FIRE CAPTAIN- SHIFT A,2
892,FIRE CAPTAIN- SHIFT B,5
893,FIRE CAPTAIN- SHIFT C,2
894,FIRE CAPTAIN-40 HOUR,22
895,FIRE CAPTAIN-40 HR,4
896,FIRE CAPTAIN-40 HR WEEK,4
897,FIRE CAPTAIN-40 HR.,2
898,FIRE CAPTAIN-56 HOUR,867
899,FIRE CAPTAIN-56 HR,146
900,FIRE CAPTAIN-56 HR.,39
901,FIRE CAPTAIN-A,9
902,FIRE CAPTAIN-ADMIN,47
903,FIRE CAPTAIN-C,1483
904,FIRE CAPTAIN-C-A,214
905,FIRE CAPTAIN-EMT,11
906,FIRE CAPTAIN-FT,2
907,FIRE CAPTAIN-LIMITED TERM,2
908,FIRE CAPTAIN-MAST,26
909,FIRE CAPTAIN-PARAMEDIC,108
910,FIRE CAPTAIN-PREVENTION OFFICER,9
911,FIRE CAPTAIN-SCHED B,8
912,FIRE CAPTAIN-SHIFT HRS,61
913,FIRE CAPTAIN-SPECIAL DISTRICT,37
914,FIRE CAPTAIN-SPECIALIST,5
915,FIRE CAPTAIN-SUPPRESSION,130
916,FIRE CAPTAIN/ ABC,3
917,FIRE CAPTAIN/ PARAMEDIC,5
918,FIRE CAPTAIN/AA,22
919,FIRE CAPTAIN/ACTING FIRE BATTALION CHIEF,1
920,FIRE CAPTAIN/ADMINISTRATION,2
921,FIRE CAPTAIN/BA,14
922,FIRE CAPTAIN/BB,5
923,FIRE CAPTAIN/EMT,2
924,FIRE CAPTAIN/FIRE PREVENT INSPECT - PT,4
925,FIRE CAPTAIN/FPO,4
926,FIRE CAPTAIN/HAZ MAT,6
927,FIRE CAPTAIN/HAZ MAT I,10
928,FIRE CAPTAIN/HAZ MAT II,13
929,FIRE CAPTAIN/HM I,2
930,FIRE CAPTAIN/HM II,3
931,FIRE CAPTAIN/INTERIM FIRE CHIEF,3
932,FIRE CAPTAIN/MARSHALL,1
933,FIRE CAPTAIN/PARAMED,3
934,FIRE CAPTAIN/PARAMED- SHIFT A,3
935,FIRE CAPTAIN/PARAMED- SHIFT B,2
936,FIRE CAPTAIN/PARAMED- SHIFT C,6
937,FIRE CAPTAIN/PARAMEDIC,211
938,FIRE CAPTAIN/PARAMEDIC - SHIFT B,1
939,FIRE CAPTAIN/PARAMEDIC- SHIFT A,4
940,FIRE CAPTAIN/PARAMEDIC- SHIFT B,1
941,FIRE CAPTAIN/PARAMEDIC- SHIFT C,6
942,FIRE CAPTAIN/PARAMEDIC/FPO,1
943,FIRE CAPTAIN/PARAMEDIC/HAZMAT -,1
944,FIRE CAPTAIN/STRIKE TEAM,8
945,FIRE CAPTAIN/TRAINING OFFICER,3
946,FIRE CAPTAINS,4
947,FIRE CAPTAINS 2.5%,7
948,FIRE CAPTIAN,4
949,FIRE CAPTIAN / BUREAU,1
950,FIRE CAPTIAN III,1
951,FIRE CERT PROGRAM COORDINATOR,3
952,FIRE CHAPLAIN,12
953,FIRE CHIEF,2854
954,FIRE CHIEF          (RETIRED),1
955,FIRE CHIEF  EXEC,5
956,FIRE CHIEF #1,1
957,FIRE CHIEF #2,1
958,FIRE CHIEF & ASSISTANT DIR. DISASTER,1
959,FIRE CHIEF & ASST DIR DISASTER,4
960,FIRE CHIEF & ASST DIRECTOR DISASTER,1
961,FIRE CHIEF & CODE ENFORCEMENT OFFICER,1
962,FIRE CHIEF & DIRECTOR OF EMERGENCY SERVIC,3
963,FIRE CHIEF & DIRECTOR OF EMERGENCY SERVICE,1
964,FIRE CHIEF & DIRECTOR OF EMERGENCY SERVICES,6
965,FIRE CHIEF (ACTING),1
966,FIRE CHIEF (CONTRACTED),1
967,FIRE CHIEF (EM),4
968,FIRE CHIEF (FULL TIME),5
969,FIRE CHIEF (PART TIME),6
970,FIRE CHIEF (PART-TIME),2
971,FIRE CHIEF (PRIOR),1
972,FIRE CHIEF (PT),1
973,FIRE CHIEF (SHARED W/CITY OF PATTERSON),1
974,FIRE CHIEF (STIPEND),1
975,FIRE CHIEF (TEMPORARY),1
976,FIRE CHIEF (VOLUNTEER),13
977,FIRE CHIEF - 1,1
978,FIRE CHIEF - 2,1
979,FIRE CHIEF - PART TIME,1
980,FIRE CHIEF - PART-TIME,1
981,FIRE CHIEF - PT,5
982,FIRE CHIEF - RETIRED,1
983,FIRE CHIEF - RETIREE,1
984,FIRE CHIEF - TEMPORARY,3
985,FIRE CHIEF - VOLUNTEER,3
986,FIRE CHIEF / EXECUTIVE OFFICER,1
987,FIRE CHIEF 1ST ASSISTANT,9
988,FIRE CHIEF 2ND ASS'T,3
989,FIRE CHIEF 2ND ASSISTANT,6
990,FIRE CHIEF 5600,7
991,FIRE CHIEF AND ASS'T,1
992,FIRE CHIEF AND DIRECTOR OF EMERGENCY SERVICES,1
993,FIRE CHIEF ASSISTANT,1
994,FIRE CHIEF CONTRACT - UNIVERSITY OF CALIFORNIA AT DAVIS,1
995,FIRE CHIEF ENGINEER,10
996,FIRE CHIEF FT,1
997,FIRE CHIEF FULL TIME,2
998,FIRE CHIEF II,1
999,FIRE CHIEF MICP FULL TIME,1
1000,FIRE CHIEF PART TIME,2
1001,FIRE CHIEF PART-TIME,6
1002,FIRE CHIEF SPECIALIST PDM,3
1003,FIRE CHIEF TEMP PART-TIME,3
1004,FIRE CHIEF U,15
1005,FIRE CHIEF VOLUNTEER,5
1006,FIRE CHIEF W/INCENTIVE,1
1007,FIRE CHIEF WITH STIPEND,6
1008,FIRE CHIEF'S OFFICE ASSISTANT,1
1009,FIRE CHIEF(FULL TIME),5
1010,FIRE CHIEF(PART TIME),1
1011,"FIRE CHIEF, BATTALION",15
1012,"FIRE CHIEF, BATTALION - 40 HR",7
1013,"FIRE CHIEF, BATTALION-40 HOUR",1
1014,"FIRE CHIEF, DEPUTY",9
1015,FIRE CHIEF-BATTALION,1
1016,FIRE CHIEF-CONTRA COSTA,13
1017,FIRE CHIEF-CONTRACT,2
1018,FIRE CHIEF-EMT,2
1019,FIRE CHIEF-FT,1
1020,FIRE CHIEF-INTERIM,2
1021,FIRE CHIEF-RETIREE,1
1022,FIRE CHIEF-SPECIAL DISTRICT,1
1023,FIRE CHIEF-SPECIAL FIRE DIST,8
1024,FIRE CHIEF/ INTERIM CITY MANAGER,1
1025,FIRE CHIEF/ASSISTANT CHIEF,2
1026,FIRE CHIEF/CODE ENFORCE OFFICER,2
1027,FIRE CHIEF/CODE ENFORCEMENT OFFICER,2
1028,FIRE CHIEF/DEPUTY CITY MANAGER,3
1029,FIRE CHIEF/DEPUTY CITY MGR,2
1030,FIRE CHIEF/EXECUTIVE OFFICER,2
1031,FIRE CHIEF/FIRE MARSHALL,1
1032,FIRE CHIEF/MARSHAL,1
1033,FIRE CHIEF/MARSHAL INTERIM FIRE,1
1034,FIRE CHIEF ,3
1035,FIRE CLERK,2
1036,FIRE CLERK II,5
1037,FIRE CMTY PREP INSTRUCTOR,2
1038,FIRE CODE COMPLANCE OFFICER,1
1039,FIRE CODE COMPLIANCE OFFICER,46
1040,FIRE CODE ENFORCEMENT OFFICER I,7
1041,FIRE CODE ENFORCEMENT OFFICER II,9
1042,FIRE CODE ENFORCEMT OFFICER I,3
1043,FIRE CODE ENFORCEMT OFFICER II,5
1044,FIRE CODE INSPECTOR,7
1045,"FIRE CODE INSPECTOR, SENIOR",2
1046,FIRE COMM CENTER SUPERVISOR,1
1047,FIRE COMM CTR SUPERVISOR,1
1048,FIRE COMM CTR SUPV,2
1049,FIRE COMM OPERATOR (42 HOUR),18
1050,FIRE COMM OPERATOR 42 HR,32
1051,FIRE COMM RELATIONS/EDUC  SPECIALIST,4
1052,FIRE COMM SHIFT SUPERVISOR,8
1053,FIRE COMM. OPERATOR (42 HOUR),81
1054,FIRE COMMISSIONER,3
1055,FIRE COMMUNICATION CENTER SUPERVISOR,1
1056,FIRE COMMUNICATION SYSTEMS ADMINISTRATOR,1
1057,FIRE COMMUNICATIONS CENTER SUPERVISOR,2
1058,FIRE COMMUNICATIONS DISPATCHER,192
1059,"FIRE COMMUNICATIONS DISPATCHER, SR",28
1060,"FIRE COMMUNICATIONS DISPATCHER, SR.",8
1061,FIRE COMMUNICATIONS LEAD OPERATOR,1
1062,FIRE COMMUNICATIONS MANAGER,17
1063,FIRE COMMUNICATIONS OPERATIONS SUPERVISOR,13
1064,FIRE COMMUNICATIONS OPERATOR,2
1065,FIRE COMMUNICATIONS P/T,3
1066,FIRE COMMUNICATIONS SHIFT SUPE,25
1067,FIRE COMMUNICATIONS SHIFT SUPERVISOR,50
1068,FIRE COMMUNICATIONS SUPERVISOR,25
1069,FIRE COMMUNICATIONS SYSTEMS ADMINISTRATOR,3
1070,FIRE COMMUNITY CTR SUPV,1
1071,FIRE COMMUNITY OPERATOR (42 HOUR),17
1072,FIRE COMMUNITY PREPARATION INSTRUCTOR,2
1073,FIRE COMMUNITY RELATIONS COORDINATOR,1
1074,FIRE COMMUNITY RELATIONS/EDUCATION SPECIALIST,4
1075,FIRE COMMUNITY RISK REDUCTION OFFICER I,1
1076,FIRE COMMUNITY RISK REDUCTION OFFICER II,9
1077,FIRE COMMUNITY RISK REDUCTION OFFICER III,4
1078,FIRE COMPUTER AIDED DISPATCH ADMINISTRATOR,1
1079,FIRE CONTROL WORKER,412
1080,FIRE COURIER,7
1081,FIRE COURIER - HOURLY,6
1082,FIRE CPT,7
1083,FIRE CPT-SPEC ASSGMT,2
1084,FIRE CPTN EMS (7.5%),1
1085,FIRE CPTN OPS (7.5%),1
1086,FIRE CPTN/HM,5
1087,FIRE CPTN/HMI,7
1088,FIRE CPTN/HMII,12
1089,FIRE CREW SUPERINTENDENT,5
1090,FIRE DEPART PAYROLL PROCESSOR,3
1091,FIRE DEPARTMENT ACCOUNT CLERK,4
1092,FIRE DEPARTMENT ADMIN,1
1093,FIRE DEPARTMENT ADMIN SECRETARY,2
1094,FIRE DEPARTMENT ADMIN SERVICE DIRECTOR,1
1095,FIRE DEPARTMENT ADMINISTRATIVE ASSISTANT,2
1096,FIRE DEPARTMENT ADMINISTRATIVE SERVICE OFFICER,1
1097,FIRE DEPARTMENT ADMINISTRATOR,1
1098,FIRE DEPARTMENT AIDE SAN,18
1099,FIRE DEPARTMENT AIDE/LEAD,5
1100,FIRE DEPARTMENT AIDE/LEAD  HOURLY,7
1101,FIRE DEPARTMENT APPARATUS PART TECH,2
1102,FIRE DEPARTMENT CHIEF,6
1103,FIRE DEPARTMENT CLERK,7
1104,FIRE DEPARTMENT DEPUTY CHIEF,5
1105,FIRE DEPARTMENT DEPUTY DIRECTOR - OFFICE OF EMERGENCY SERVICES,2
1106,"FIRE DEPARTMENT DEPUTY DIRECTOR, OFFICE OF EMERGENCY SERVICES",2
