address1,city,state,zip,storetimezone,storenumber,latitude,longitude
6175 McDonough Dr.,Norcross,GA,30093,-4,28,33.9103894,-84.208817
715 Transit Ave.,Canton,GA,30114,-4,425,34.2539648,-84.4697253
4101 Federal Hwy.,Jensen Beach,FL,34957,-4,500,27.2556257,-80.2777343
9380 19th Ln.,Vero Beach,FL,32966,-4,250,27.6384825,-80.5194041
2550 Peters Rd.,Fort Pierce,FL,34945,-4,91,27.4188637,-80.3903076
2101 North Kenyon Rd.,Urbana,IL,61802,0,129,40.1334488,-88.1995086
3950 Riverside Dr.,Macon,GA,31210,-4,46,32.9038498,-83.6897284
7461 SW Lost River Rd.,Stuart,FL,34997,-4,241,27.1111801,-80.2597277
8852 Old Lee Hwy,Ooltewah,TN,37363,-4,610,35.0842624,-85.0705058
5000 Eisenhower Pkwy.,Macon,GA,31206,-4,22,32.813196,-83.7211174
2411 Metrocentre Blvd.,West Palm Beach,FL,33407,-4,240,26.7578619,-80.0928196
200 Hickman Dr.,Sanford,FL,32771,-4,190,28.8141885,-81.3355151
2700 Watson Blvd.,Warner Robins,GA,31093,-4,516,32.6188717,-83.6698739
2346 Shallowford Village Rd.,Chattanooga,TN,37421,-4,102,35.0449673,-85.1549444
1124 Hwy. 20 W.,McDonough,GA,30253,-4,515,33.4299035,-84.1822082
938 Market St.,Dalton,GA,30720,-4,5,34.7581291,-85.0008885
2150 Delk Rd.,Marietta,GA,30067,-4,30,33.9218634,-84.4915316
3389 Busbee Dr. NW,Kennesaw,GA,30144,-4,20,34.0327138,-84.5750745
50 Biscuit Way,Ringgold,GA,30736,-4,562,34.9116462,-85.1290144
1475 Southwest 8th St.,Boynton Beach,FL,33426,-4,287,26.5159281,-80.0780249
1460 North Mack Smith Rd.,East Ridge,TN,37412,-4,29,34.9907104,-85.2082654
1960 Mel Browning St.,Bowling Green,KY,42104,-5,86,36.9314321,-86.4183353
1458 Southlake Plaza Dr.,Morrow,GA,30260,-4,38,33.5789489,-84.342661
285 Douglas Ave.,Altamonte Springs,FL,32714,-4,503,28.6658845,-81.3893868
100 Cracker Barrel Dr.,Calhoun,GA,30701,-4,424,34.4704377,-84.9160132
5631 Hwy 20 NE,Cartersville,GA,30121,-4,59,34.2062801,-84.7637886
6699 S. Semoran Blvd,Orlando,FL,32822,-4,520,28.4663987,-81.308952
941 Hwy. 140,Adairsville,GA,30103,-4,584,34.378456,-84.9092091
101 Lect Dr.,Perry,GA,31069,-4,98,32.4475194,-83.7528638
970 W. Pointe Ct.,Lithia Springs,GA,30122,-4,543,33.7745722,-84.6058404
50 Birmingham Hwy,Chattanooga,TN,37419,-4,200,35.016175,-85.3837333
13300 S. Orange Blossom Trail,Orlando,FL,32837,-4,499,28.4501582,-81.4007641
1250 SW 11th Way,Deerfield Beach,FL,33441,-4,380,26.3012558,-80.1187369
5311 Frederica St.,Owensboro,KY,42301,0,420,37.7141725,-87.1250647
7995 Senoia Rd.,Fairburn,GA,30213,-4,700,33.5378628,-84.5776526
1101 Charleston Ave. E.,Mattoon,IL,61938,0,404,39.4836605,-88.3320537
155 Steele Rd.,Franklin,KY,42134,-4,7,36.6664501,-86.5576588
502 Brock Dr.,Bloomington,IL,61701,0,125,40.482955,-89.0257725
3316 Daniels Rd.,Winter Garden,FL,34787,-4,647,28.5207353,-81.5877885
7060 Concourse Pkwy.,Douglasville,GA,30134,-4,40,33.7294797,-84.7597504
635 South Cumberland,Lebanon,TN,37087,0,2,36.1902853,-86.2943645
5400 W. Irlo Bronson Memorial,Kissimmee,FL,34746,-4,151,28.331831,-81.4992027
9450 Hwy 441,Leesburg,FL,34788,-4,488,28.8263246,-81.8005076
8215 Eagel Lake Dr.,Evansville,IN,47715,0,216,37.9749139,-87.4535949
1005 Village Green Crossing,Gallatin,TN,37066,0,470,36.3779967,-86.4709111
1905 Central Ave.,Cordele,GA,31015,-4,456,31.9590263,-83.7532372
240 Southwest Commerce Dr.,Lake City,FL,32025,-4,56,30.178153,-82.6862711
13637 N. US Hwy. 27,Lady Lake,FL,32159,-4,524,28.9558621,-81.9598316
550 Kimball Crossing Dr.,Kimball,TN,37347,0,565,35.0392378,-85.6844577
7878 W. Irlo Bronson Memorial,Kissimmee,FL,34747,-4,529,28.342437,-81.6007226
1520 E. Hwy 50,Clermont,FL,34711,-4,489,28.5473936,-81.7270408
4001 S.W. 43rd St.,Gainesville,FL,32608,-4,167,29.6175147,-82.3884936
708 US Hwy. 319 S.,Tifton,GA,31794,-4,80,31.4489412,-83.528925
527 Bullsboro Dr.,Newnan,GA,30265,-4,212,33.3951469,-84.7597096
2130 US Highway 60 E,Henderson,KY,42420,-5,632,37.859628,-87.5666593
370 Hester Dr.,White House,TN,37188,0,521,36.46674,-86.6799127
3801 SW College Rd.,Ocala,FL,34474,-4,63,29.149819,-82.186461
213 Indian Lake Blvd.,Hendersonville,TN,37075,0,630,36.3206869,-86.6003799
103 Paradise St.,Manchester,TN,37355,0,3,35.5017714,-86.0882784
350 S. Mt. Juliet Rd.,Mount Juliet,TN,37122,0,87,36.1695969,-86.514537
111 Dunson Ln.,Davenport,FL,33896,-4,532,28.2436012,-81.6552611
5120 Hickory Point Frontage Rd.,Decatur,IL,62526,0,246,39.9107576,-88.9525709
13561 SW 17th Ct.,Ocala,FL,34473,-4,603,29.0248794,-82.1536426
1960 NW 150th Ave.,Pembroke Pines,FL,33028,-4,268,26.0253824,-80.3483767
150 E Ashland St.,Morton,IL,61550,0,209,40.6227584,-89.4602216
235 Long Hollow Pike,Goodlettsville,TN,37072,0,33,36.3240807,-86.702781
2115 South Church,Murfreesboro,TN,37130,0,11,35.8144026,-86.3942856
1195 St. Augustine Rd.,Valdosta,GA,31601,-4,35,30.8420359,-83.3233655
4914 Timber Dr.,Lake Park,GA,31636,-4,89,30.6809262,-83.225463
138 Chaffin Place,Murfreesboro,TN,37129,0,90,35.8449449,-86.4311465
3454 Percy Priest Dr.,Nashville,TN,37214,0,23,36.153814,-86.6269042
1101 Ave. of Mid-America,Effingham,IL,62401,0,101,39.1393967,-88.5588718
2406 Music Valley Dr.,Nashville,TN,37214,0,13,36.21813,-86.6967377
2697 Highwood Blvd.,Smyrna,TN,37167,0,429,35.9725062,-86.5741007
106 Price Creek Rd,Bremen,GA,30110,-4,613,33.6874775,-85.1540128
1780 E. Center St.,Madisonville,KY,42431,0,453,37.3260504,-87.4715797
4323 Sidco Dr.,Nashville,TN,37204,0,26,36.0829045,-86.762339
1013 Heitmann Dr.,Lincoln,IL,62656,0,391,40.1590795,-89.4137262
201 Cracker Barrel Row SW,Fort Payne,AL,35968,0,471,34.438928,-85.749467
6941 Charlotte Pike,Nashville,TN,37209,0,34,36.1290781,-86.9013974
105 Hoffman Dr.,LaGrange,GA,30241,-4,561,33.0409039,-84.9727329
4343 Lakeland Park Dr.,Lakeland,FL,33809,-4,189,28.097889,-81.9529234
1735 Mallory Ln.,Brentwood,TN,37027,0,530,35.9603808,-86.8165032
30405 Cracker Crossing,Brooksville,FL,34602,-4,357,28.5210544,-82.2358765
4210 Franklin Commons Ct.,Franklin,TN,37067,0,134,35.9123546,-86.8229329
300 Jason Way Ct.,Davenport,IA,52806,0,161,41.593153,-90.5684138
200 Cracker Barrel Dr,Clarksville,TN,37040,0,17,36.6024011,-87.2811911
1114 N. Westover Blvd.,Albany,GA,31707,-4,455,31.6162056,-84.2116171
155 N. Krome Ave.,Florida City,FL,33034,-4,545,25.4494129,-80.4760611
2020 Crossings Cir.,Spring Hill,TN,37174,0,639,35.7436616,-86.9379346
1534 Bear Creek Pike,Columbia,TN,38401,0,544,35.6421589,-86.9004967
1500 Bradley Park Dr.,Columbus,GA,31904,-4,523,32.53111,-84.9711061
74 Hospitality Ln.,Cadiz,KY,42211,0,394,36.8798283,-87.7355375
5636 Oakley Blvd.,Wesley Chapel,FL,33544,-4,82,28.2388865,-82.354126
5975 S 6th Street Rd.,Springfield,IL,62703,0,147,39.7151796,-89.6411246
1880 State Rd. 60 E.,Valrico,FL,33594,-4,534,27.9386098,-82.2567606
6150 Lazy Days Blvd.,Seffner,FL,33584,-4,251,28.0066983,-82.3053624
220 Leon Smith Pkwy.,Oxford,AL,36203,0,315,33.6127403,-85.7872508
115 Gumbranch Rd.,Dickson,TN,37055,0,92,36.0217447,-87.3369366
1371 Commercial Way,Spring Hill,FL,34606,-4,649,28.4540917,-82.6309979
3125 Cove Bend Dr.,Tampa,FL,33613,-4,498,28.0811784,-82.42504
11635 US Hwy. 431,Guntersville,AL,35976,0,664,34.3003711,-86.2756351
101 Taylor Dr.,Gadsden,AL,35904,0,396,33.9979603,-86.0901491
17189 Kenyon Ave.,Lakeville,MN,55044,0,191,44.7003898,-93.2883096
2001 Drake Ave. SW,Huntsville,AL,35801,0,612,34.7047206,-86.5891578
9370 Theater Dr.,Gibsonton,FL,33534,-4,771,27.8494702,-82.3495494
4425 Fairfax Dr.,Mount Vernon,IL,62864,0,93,38.3138323,-88.9552263
1051 Fox Run Ave.,Opelika,AL,36801,0,231,32.6454007,-85.3529874
5341 US Highway 19,New Port Richey,FL,34652,-4,626,28.2370567,-82.728578
4260 Boatways Rd.,Fort Myers,FL,33905,-4,119,26.6836047,-81.7968993
120 Cleghorn Blvd.,Madison,AL,35758,0,217,34.6710126,-86.7539009
13833 W. Hillsborough Ave.,Tampa,FL,33635,-4,547,28.0335547,-82.646192
800 Kings Hwy.,Port Charlotte,FL,33980,-4,225,27.0179346,-82.0493119
314 Kennedy Ave.,Calvert City,KY,42029,0,531,37.0052428,-88.3252595
10090 Daniels Parkway,Fort Myers,FL,33913,-4,527,26.5462346,-81.7909027
1212 Kelli Drive,Athens,AL,35613,0,97,34.7813652,-86.938076
4011 Ulmerton Rd.,Clearwater,FL,33762,-4,535,27.8945887,-82.6886329
2151 54th Ave. N.,St. Petersburg,FL,33714,-4,481,27.8217731,-82.6626549
2920 Hospitality Rd.,Tallahassee,FL,32303,-4,44,30.4804731,-84.3065767
636 67th St. Cir. E.,Bradenton,FL,34208,-4,73,27.4942413,-82.4748103
260 Vaughan Ln.,Pell City,AL,35125,0,599,33.6075017,-86.2766012
3845 Tollgate Blvd.,Naples,FL,34114,-4,117,26.1568818,-81.6854381
2602 West Main St.,Marion,IL,62959,0,78,37.7304247,-88.9615087
1909 Uncle Herschel Way S.E.,Hartselle,AL,35640,0,682,34.4484395,-86.8990477
650 N. 12th St.,Murray,KY,42071,0,460,36.6208825,-88.3144398
407 Beltline Rd. SW,Decatur,AL,35601,0,475,34.5592154,-86.991615
2203 Cortez Rd. W.,Bradenton,FL,34207,-4,506,27.4615939,-82.5838514
445 Commercial Court,Venice,FL,34292,-4,282,27.1104865,-82.3873134
5035 Hinkleville Rd.,Paducah,KY,42001,0,24,37.0773116,-88.6867386
6020 AL Highway 157,Cullman,AL,35058,0,51,34.2079919,-86.8755843
2003 Village Dr.,Leeds,AL,35094,0,123,33.56748,-86.519825
2001 Formosa Rd.,Troy,IL,62294,0,232,38.7339139,-89.9148951
4710 Norrell Dr.,Trussville,AL,35173,0,368,33.6406907,-86.6153982
33 Brian Dr.,Mayfield,KY,42066,0,745,36.7690849,-88.6426949
3160 Green Mount Crossing Dr.,Shiloh,IL,62269,0,569,38.5741873,-89.9268839
2421 Old Country Inn Dr.,Caseyville,IL,62232,0,111,38.6122939,-90.0478648
901 Fieldstown Rd.,Gardendale,AL,35071,0,237,33.6478301,-86.8309392
3415 Colonnade Pkwy.,Birmingham,AL,35243,0,580,33.4390344,-86.728338
150 Cox Creek Pkwy. S,Florence,AL,35630,0,476,34.8277123,-87.6281731
3431 Ross Clark Circle,Dothan,AL,36303,0,384,31.2456073,-85.429457
9191 Boyd-Cooper Pkwy.,Montgomery,AL,36117,0,574,32.3666857,-86.1405539
655 Cahaba Valley Rd.,Pelham,AL,35124,0,70,33.3368071,-86.7823585
199 Supercenter Dr.,Calera,AL,35040,0,558,33.1441344,-86.7500444
901 Veterans Memorial Pkwy.,Saint Charles,MO,63303,0,279,38.7690433,-90.5003139
240 Carl Cannon Blvd.,Jasper,AL,35501,0,712,33.7936526,-87.2427464
796 Business Park Dr.,Prattville,AL,36066,0,273,32.4888152,-86.411177
5040 Academy Ln.,Bessemer,AL,35022,0,301,33.3654575,-87.0035882
3261 Williams St.,Cape Girardeau,MO,63703,0,148,37.299711,-89.5770981
6233 Heimos Industrial Park Dr.,St. Louis,MO,63129,0,99,38.4627991,-90.3722608
1050 South Hwy. Dr.,Fenton,MO,63026,0,150,38.5419472,-90.4657915
120 Progress Point Ct,O'Fallon,MO,63368,0,533,38.7164721,-90.7019961
1193 Scenic Dr.,Herculaneum,MO,63048,0,567,38.2563317,-90.4009592
188 Vann Dr.,Jackson,TN,38305,0,284,35.6707673,-88.8345905
U.S. 45 & U.S. 72,Corinth,MS,38834,0,722,34.9316787,-88.5453567
4800 Doris Pate Dr.,Tuscaloosa,AL,35405,0,272,33.1759626,-87.474404
181 Interstate Dr.,Greenville,AL,36037,0,326,31.8553155,-86.6364278
3055 Lake Rd.,Dyersburg,TN,38024,0,716,36.0708718,-89.3980567
520 East 23rd St.,Panama City,FL,32405,0,749,30.1890784,-85.6523727
701 W. Springfield Rd,Sullivan,MO,63080,0,590,38.2105129,-91.171111
1270 Cross Creek Dr.,Saltillo,MS,38866,0,427,34.3166356,-88.6973141
11701 University Ave.,Clive,IA,50325,0,144,41.6010155,-93.7802592
201 Cracker Barrel Rd.,Crestview,FL,32536,0,265,30.7242329,-86.5711045
319 Coulter Cove,New Albany,MS,38652,0,724,34.4994117,-89.0317132
592 18th Ave. N.,Columbus,MS,39705,0,730,33.5136441,-88.4268708
34930 Emerald Coast Pkwy,Destin,FL,32541,0,479,30.3883897,-86.4249786
3304 Clark Ln.,Columbia,MO,65202,0,145,38.9631223,-92.2883573
9649 East Davies Plantation Rd.,Lakeland,TN,38002,-5,513,35.2220318,-89.7407173
6081 Shelby Oaks Dr.,Memphis,TN,38134,0,36,35.1671437,-89.8610601
8000 Lowrance Rd.,Memphis,TN,38125,0,465,35.036153,-89.7969623
706 Desoto Cove,Horn Lake,MS,38637,0,168,34.964537,-90.001433
1600 N 6th St.,West Memphis,AR,72301,0,372,35.1645173,-90.1771615
2621 Phillips Dr.,Jonesboro,AR,72401,0,457,35.8088129,-90.6742656
128 St. Robert Blvd.,Saint Robert,MO,65584,0,389,37.8253864,-92.1452547
8050 Lavelle Way,Pensacola,FL,32526,0,201,30.5219394,-87.3164057
225 Lakewood Dr.,Batesville,MS,38606,0,308,34.3111873,-89.9225128
118 Hwy 11 & 80,Meridian,MS,39301,0,109,32.3703765,-88.6707153
2409 S.Shirley Ave.,Sioux Falls,SD,57106,0,445,43.5250901,-96.7759594
30227 Eastern Shore Ct.,Spanish Fort,AL,36527,0,557,30.6650786,-87.8511656
3150 S McKenzie St,Foley,AL,36535,0,477,30.3678498,-87.6844236
88 Shell St.,Saraland,AL,36571,0,761,30.8063595,-88.105072
43 E I65 Service Rd. S,Mobile,AL,36606,0,94,30.685872,-88.125705
845-A Schillinger Rd. S.,Mobile,AL,36695,0,439,30.6729706,-88.2239041
530 30th Ave.,Council Bluffs,IA,51501,0,219,41.2313274,-95.8491799
915 N. Woodbine Rd.,Saint Joseph,MO,64506,0,319,39.7739475,-94.7946888
8225 North Church Rd.,Kansas City,MO,64158,0,163,39.2413929,-94.4597813
4110 S. Lee's Summit,Independence,MO,64055,0,179,39.0436947,-94.3887579
7920 NW Tiffany Springs Pkwy.,Kansas City,MO,64153,0,366,39.2729124,-94.6725668
6805 Hwy 63 N.,Moss Point,MS,39563,0,264,30.4395853,-88.5304296
9409 S 142nd St.,Omaha,NE,68138,0,296,41.1651101,-96.1358598
1685 N Grandview Ln,Bismarck,ND,58503,0,447,46.8286716,-100.8186142
2858 North Glenstone,Springfield,MO,65803,0,127,37.2489181,-93.2590698
6751 E. 163rd St.,Belton,MO,64012,0,762,38.8256925,-94.5189789
6659 Hwy 49,Hattiesburg,MS,39401,0,316,31.3537198,-89.3477791
12101 S Strangline Rd.,Olathe,KS,66062,0,243,38.9091731,-94.7732847
410 Riverwind Dr.,Pearl,MS,39208,0,274,32.2670422,-90.1376155
3765 West Hwy.76,Branson,MO,65616,0,140,36.65032,-93.2883289
15255 Crossroads Pkwy.,Gulfport,MS,39503,0,438,30.4368508,-89.0937222
6700 North 27th St.,Lincoln,NE,68521,0,365,40.8792475,-96.6812335
525 Skyline Drive,Conway,AR,72032,0,276,35.1107489,-92.4319122
3101 Springhill Dr.,North Little Rock,AR,72117,0,468,34.7811401,-92.2180559
2618 S Shackleford Rd.,Little Rock,AR,72205,0,634,34.7336284,-92.3954989
4001 S. Frontage Rd.,Vicksburg,MS,39180,0,304,32.3413004,-90.8420138
218 W Commerce St.,Bryant,AR,72022,0,275,34.6214651,-92.4997476
1421 South West Ashworth Place,Topeka,KS,66604,0,177,39.0408926,-95.758414
1207 Hampton Dr.,Brookhaven,MS,39601,0,395,31.5777804,-90.4730181
211 East Harrell Dr.,Russellville,AR,72802,0,347,35.3033123,-93.1334673
4010 Richard Joseph Rd.,Joplin,MO,64804,0,188,37.0445862,-94.4808612
790 E I 10 Service Rd.,Slidell,LA,70461,0,138,30.2809935,-89.7505412
2307 SE Walton Blvd.,Bentonville,AR,72712,0,720,36.3357085,-94.1858573
8001 Pinnacle Pkwy.,Covington,LA,70433,0,686,30.4442876,-90.1283972
1022 South 48th St.,Springdale,AR,72762,0,426,36.1773491,-94.1867776
170 Pakis St.,Hot Springs,AR,71913,0,467,34.4626764,-93.0595763
201 Westin Oaks Dr.,Hammond,LA,70403,0,352,30.50276,-90.5022075
173 Valley St.,Arkadelphia,AR,71923,0,414,34.1879489,-93.072412
115 N East St,Junction City,KS,66441,-5,392,39.0227534,-96.815577
431 Hwy. 71 North,Alma,AR,72921,0,332,35.4899478,-94.2279323
309 Constitution Dr.,West Monroe,LA,71292,0,278,32.5070796,-92.161333
10250 Plaza Americana Dr.,Baton Rouge,LA,70816,0,152,30.4262121,-91.0735796
2313 South Tanger Blvd.,Gonzales,LA,70737,0,353,30.2134862,-90.9515327
9475 N. Owasso Expressway,Owasso,OK,74055,0,636,36.2911582,-95.8350953
8008 E. 31st St.,Tulsa,OK,74145,0,325,36.1182373,-95.8879068
6108 West Calhoun Dr.,Alexandria,LA,71303,0,433,31.34635,-92.5209924
995 E. 61st N.,Wichita,KS,67219,0,213,37.7951604,-97.3269313
3302 St. Michaels Dr.,Texarkana,TX,75503,0,375,33.4604476,-94.081125
7128 S Olympia Ave,South Tulsa,OK,74132,0,661,36.0597615,-96.0047243
619 S. Ridge Rd.,Wichita,KS,67209,0,767,37.6747031,-97.4264256
116 Alcide Dominique Dr.,Lafayette,LA,70506,0,182,30.2491601,-92.0373839
6251 Westport Ave.,Shreveport,LA,71129,0,229,32.4489704,-93.8687958
822 S. Access Rd.,Longview,TX,75602,0,719,32.4496918,-94.7072636
27 W. Interstate Pkwy.,Shawnee,OK,74804,0,458,35.3829619,-96.9251903
1100 Pintail Rd.,Sulphur,LA,70665,0,320,30.2132907,-93.3266937
4901 N.E. 122nd S.,Edmond,OK,73013,0,351,35.5956205,-97.4341638
700 Cornell Pkwy.,Oklahoma City,OK,73108,0,174,35.4581232,-97.59592
13821 US Hwy 69 N,Tyler,TX,75706,0,430,32.4665957,-95.387534
800 North Interstate Dr.,Norman,OK,73072,0,181,35.2284954,-97.4867731
"US 59 & Whitehouse Dr, Exit 391",Lufkin,TX,75904,0,622,31.295842,-94.719176
3401 West I-30,Greenville,TX,75402,0,381,33.0937183,-96.1134088
3501 N US Hwy 75,Sherman,TX,75090,0,623,33.675,-96.6102443
5390 Walden Rd,Beaumont,TX,77705,0,451,30.0378426,-94.1545356
845 East Interstate 30,Rockwall,TX,75087,0,769,32.8998626,-96.4584247
1323 Central Expressway N.,Allen,TX,75013,0,714,33.1186192,-96.6703913
4327 N I-35,Gainesville,TX,76240,0,600,33.680464,-97.1572259
5304 North Galloway Ave.,Mesquite,TX,75150,0,197,32.8353003,-96.633869
889 South Stemmons,Lewisville,TX,75067,0,198,33.0362135,-97.0014237
4008 N I-35,Denton,TX,76207,0,149,33.231192,-97.173132
2700 Grapevine Mills Pkwy,Grapevine,TX,76051,0,609,32.9671302,-97.0358562
1421 N. Beckley Ave.,Desoto,TX,75115,0,266,32.6179177,-96.8243915
601 E. Gore Blvd.,Lawton,OK,73501,0,377,34.6083446,-98.3805226
1251 North Watson Rd.,Arlington,TX,76006,0,242,32.7701989,-97.0638743
15805 North Freeway,Fort Worth,TX,76177,-5,778,33.019434,-97.280785
5620 South Frontage Rd.,Billings,MT,59101,-6,346,45.7472304,-108.5590944
5173 Interstate 10 E,Baytown,TX,77521,0,172,29.80862,-94.97946
4300 South Bowen Rd.,Arlington,TX,76016,0,203,32.6759965,-97.1502834
24400 Eastex Freeway,Kingwood,TX,77339,0,679,30.0672491,-95.2465056
4691 Gemini Place,Fort Worth,TX,76106,0,205,32.8272133,-97.3142772
1301 League Line Rd.,Conroe,TX,77304,0,288,30.3663315,-95.4865473
13301 South Freeway,Burleson,TX,76028,0,327,32.5654596,-97.3176514
8010 SW Loop 820,Benbrook,TX,76126,0,322,32.6841443,-97.4200654
14765 N. Freeway,Houston,TX,77090,0,379,29.9804844,-95.4236569
231 Gulf Freeway S.,League City,TX,77573,0,202,29.5008371,-95.1140164
2400 Sierra Dr,Wichita Falls,TX,76306,0,631,33.9485641,-98.5256304
11019 Shadow Creek Pkwy.,Pearland,TX,77584,0,668,29.5834793,-95.387534
US 290 & Mueschke Rd.,Cypress,TX,77429,0,710,29.9790791,-95.7169835
132 East I-20,Weatherford,TX,76087,0,583,32.729905,-97.7846943
3110 Briarcrest Dr.,Bryan,TX,77802,0,676,30.6649427,-96.3247257
18151 Katy Freeway,Houston,TX,77094,0,206,29.7835882,-95.6920667
4275 North I-35,Lacy Lakeview,TX,76705,0,166,31.6032847,-97.108472
23801 SW Fwy.,Rosenberg,TX,77471,0,673,29.5450148,-95.747879
221 Enterprise Blvd.,Hewitt,TX,76643,0,766,31.4563865,-97.1740995
5800 McWhinney Blvd.,Loveland,CO,80538,-6,270,40.4102821,-104.9940619
3687 S General Bruce Dr.,Temple,TX,76504,0,692,31.0898145,-97.3855506
350 W. 120th Ave.,Northglenn,CO,80234,-6,226,39.9130686,-104.9915514
201 Central TX Expy.,Harker Heights,TX,76548,0,653,31.073724,-97.660408
2350 N IH35,Round Rock,TX,78761,0,173,30.5351727,-97.6941982
8355 Razorback Dr.,Colorado Springs,CO,80920,-6,227,38.9512407,-104.8030047
2323 I-40 East,Amarillo,TX,79104,0,210,35.1940751,-101.8111394
550 County Rd. 117,Buda,TX,78610,0,595,30.0849418,-97.8225609
4735 Elizabeth St. N.,Pueblo,CO,81008,-6,292,38.3228156,-104.6166898
1602 Hwy 351,Abilene,TX,79601,0,594,32.4784661,-99.6991035
2929 Expo Pkwy.,Missoula,MT,59808,-6,407,46.9151127,-114.0354522
4321 IH 35 S,San Marcos,TX,78666,0,228,29.743852,-98.0611485
6330 N Interstate 35,San Antonio,TX,78218,0,211,29.4863372,-98.4012045
98 NE Hwy.410,San Antonio,TX,78216,0,684,29.519343,-98.4844122
11030 I H 10 W.,San Antonio,TX,78230,0,154,29.5450975,-98.5814165
3327 SE Military Dr.,San Antonio,TX,78223,0,690,29.352263,-98.4344445
2110 Sidney Baker,Kerrville,TX,78028,0,421,30.0681152,-99.1153098
123 SW Loop 410,San Antonio,TX,78245,0,576,29.4367095,-98.6452345
5018 Milwaukee Ave,Lubbock,TX,79407,0,633,33.545217,-101.9575931
4229 South Padre Island Dr.,Corpus Christi,TX,78411,0,321,27.7185918,-97.3943296
1675 W Lee Ct,Coeur d'Alene,ID,83814,-6,729,47.7013429,-116.806583
3108 N Loop 250 West,Midland,TX,79707,0,637,32.009677,-102.1566164
110 Bass Pro Dr.,Harlingen,TX,78550,0,670,26.1901949,-97.720412
3817 W Expressway 83,McAllen,TX,78503,0,645,26.194103,-98.2650214
1792 N. Heritage Park Blvd.,Layton,UT,84041,-6,314,41.0865872,-111.9865614
2283 West City Center Court,West Valley,UT,84119,-6,323,40.6990631,-111.9502929
5200 San Antonio Dr.,Albuquerque,NM,87109,-6,245,35.1591071,-106.5858004
460 South 2000 West,Springville,UT,84663,-6,337,40.1601749,-111.6502822
5700 Redlands Rd. NW,Albuquerque,NM,87120,-6,617,35.1179406,-106.7023662
1733 South Cole Rd.,Boise,ID,83709,-6,359,43.5884692,-116.2749638
16853 N. Marketplace Blvd.,Nampa,ID,83687,-6,683,43.6126641,-116.5948296
1480 West Maloney,Gallup,NM,87301,-6,362,35.5286078,-108.7640409
1490 Hickory Dr.,Las Cruces,NM,88005,-6,253,32.2898052,-106.788131
13381 Gateway West,El Paso,TX,79928,2,774,31.8369053,-106.5680749
7540 Remcon Circle,El Paso,TX,79912,0,252,31.8369053,-106.5680749
2560 E. Lucky Ln.,Flagstaff,AZ,86004,-6,297,35.1963427,-111.6177928
1736 Convention Center Dr,Saint George,UT,84790,-6,602,37.0782119,-113.5838774
5707 E State Route 69,Prescott Valley,AZ,86314,-6,655,34.5764865,-112.3642791
1799 N. Higley Rd.,Gilbert,AZ,85234,-6,763,33.3823911,-111.7198817
1007 N. Dobson Rd.,Mesa,AZ,85201,-6,618,33.4346626,-111.8677578
21611 N. 26th Ave.,Phoenix,AZ,85027,-6,334,33.6817103,-112.114006
16845 N. 84th Ave.,Peoria,AZ,85382,-6,331,33.6368538,-112.2412425
5022 E. Chandler Blvd.,Chandler,AZ,85048,-6,335,33.3060605,-111.974932
8400 N Cracker Barrel Rd,Tucson,AZ,85743,-6,344,32.359897,-111.0926572
9312 W. Glendale Ave.,Glendale,AZ,85305,-6,619,33.5381597,-112.2599175
2815 E. Craig Rd.,N. Las Vegas,NV,89030,-7,742,36.2396499,-115.1107699
3520 Stockton Hill Rd.,Kingman,AZ,86409,-6,416,35.2256222,-114.0353279
2281 E Florence Blvd.,Casa Grande,AZ,85122,-6,388,32.8790125,-111.6889428
1209 N Litchfield Rd.,Goodyear,AZ,85395,-6,277,33.4596216,-112.3572939
1445 Center Dr.,Medford,OR,97501,-7,733,42.3099537,-122.8508231
8350 Dean Martin Dr.,Las Vegas,NV,89139,-7,741,36.0379427,-115.1818294
606 S. Watson Rd.,Buckeye,AZ,85326,-6,615,33.4414469,-112.5569628
935 West 5th Street,Reno,NV,89503,-7,779,39.5291105,-119.828255
4630 Sierra College Blvd.,Rocklin,CA,95677,-7,756,38.7995198,-121.2085361
1780 S Sunridge Dr.,Yuma,AZ,85365,-6,305,32.695398,-114.6037477
1000 Howe Ave.,Sacramento,CA,95825,-7,754,38.5837421,-121.4145233
11612 Amargosa Rd.,Victorville,CA,92392,-7,755,34.4619745,-117.3538951
1080 W. Renaissance Pkwy.,Rialto,CA,92376,-7,765,34.1344332,-117.3916672
3310 California Ave,Bakersfield,CA,93304,-7,770,35.3690611,-119.0410376
560 E. Ventura Blvd.,Camarillo,CA,93010,-7,764,34.2157248,-119.0680385
905 E Betteravia Rd.,Santa Maria,CA,93454,-7,753,34.9241454,-120.4216743
