fac_name,county,icu_beds,icu_days,icu_bed_days,icu_occupancy_rate,geometry
COMMUNITY HOSPITAL OF SAN BERNARDINO,San Bernardino,11,2844.0,4015,71.0,POINT (-117.32245 34.13138)
ST. BERNARDINE MEDICAL CENTER,San Bernardino,27,5348.0,9855,54.0,POINT (-117.27865 34.1341)
ST. MARY MEDICAL CENTER - APPLE VALLEY,San Bernardino,20,6624.0,7300,91.0,POINT (-117.26535 34.54053)
VICTOR VALLEY GLOBAL MEDICAL CENTER,San Bernardino,10,2178.0,3650,60.0,POINT (-117.292562 34.528177)
HI-DESERT MEDICAL CENTER,San Bernardino,4,967.0,1460,66.0,POINT (-116.27654 34.13323)
DESERT VALLEY HOSPITAL,San Bernardino,18,4025.0,6570,61.0,POINT (-117.29778 34.47093)
KINDRED HOSPITAL RANCHO,San Bernardino,8,2385.0,2920,82.0,POINT (-117.56601 34.10461)
ARROWHEAD REGIONAL MEDICAL CENTER,San Bernardino,48,10972.0,17520,63.0,POINT (-117.352776 34.071632)
KAISER FOUNDATION HOSPITAL - ONTARIO,San Bernardino,20,4054.0,7300,56.0,POINT (-117.61094 34.03275)
LOMA LINDA UNIVERSITY SURGICAL HOSPITAL,San Bernardino,4,0.0,1460,0.0,POINT (-117.221174 34.048272)
BARSTOW COMMUNITY HOSPITAL,San Bernardino,4,1177.0,1460,81.0,POINT (-117.016884 34.893526)
LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,San Bernardino,99,18433.0,36135,51.0,POINT (-117.26115 34.04915)
SCRIPPS MERCY HOSPITAL - CHULA VISTA,San Diego,24,3813.0,8760,44.0,POINT (-117.08282 32.63289)
RADY CHILDREN'S HOSPITAL - SAN DIEGO,San Diego,54,15576.0,19710,79.0,POINT (-117.15077 32.79678)
SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER,San Diego,3,854.0,1095,78.0,POINT (-117.16808 32.69427)
SHARP MEMORIAL HOSPITAL,San Diego,50,14148.0,18250,78.0,POINT (-117.15531 32.80016)
GROSSMONT HOSPITAL,San Diego,70,13065.0,25550,51.0,POINT (-117.00924 32.77963)
KINDRED HOSPITAL - SAN DIEGO,San Diego,8,2321.0,2920,79.0,POINT (-117.14449 32.75542)
KAISER FOUNDATION HOSPITAL - SAN DIEGO - ZION,San Diego,24,2653.0,8760,30.0,POINT (-117.09447 32.79287)
SCRIPPS MERCY HOSPITAL,San Diego,22,6852.0,8030,85.0,POINT (-117.1609 32.75128)
PALOMAR HEALTH DOWNTOWN CAMPUS,San Diego,7,,4480,,POINT (-117.07628 33.12586)
PARADISE VALLEY HOSPITAL,San Diego,10,1566.0,3650,43.0,POINT (-117.083038 32.686329)
SCRIPPS MEMORIAL HOSPITAL - LA JOLLA,San Diego,77,16337.0,28105,58.0,POINT (-117.22279 32.88506)
TRI-CITY MEDICAL CENTER,San Diego,14,2738.0,5110,54.0,POINT (-117.29027 33.18394)
UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,San Diego,32,6902.0,11680,59.0,POINT (-117.16498 32.75387)
SHARP CHULA VISTA MEDICAL CENTER,San Diego,51,6407.0,15115,42.0,POINT (-117.02488 32.61909)
POMERADO HOSPITAL,San Diego,12,3001.0,4380,69.0,POINT (-117.05784 32.99563)
SCRIPPS GREEN HOSPITAL,San Diego,12,1417.0,4380,32.0,POINT (-117.2419 32.89654)
SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,San Diego,12,3235.0,4380,74.0,POINT (-117.28495 33.0363)
VIBRA HOSPITAL OF SAN DIEGO,San Diego,6,0.0,2190,0.0,POINT (-117.16001 32.74986)
UCSD HEALTH LA JOLLA - JACOBS MEDICAL CENTER & SULPIZIO CARDIOVASCULAR CENTER,San Diego,48,13075.0,17520,75.0,POINT (-117.22331 32.87799)
PALOMAR MEDICAL CENTER,San Diego,24,4942.0,15360,32.0,POINT (-117.11961 33.12158)
KAISER FOUNDATION HOSPITAL - SAN DIEGO - CLAIREMONT MESA,San Diego,20,4206.0,7300,58.0,POINT (-117.12581 32.83154)
CALIFORNIA PACIFIC MED CTR-CALIFORNIA WEST,San Francisco,8,201.0,480,42.0,POINT (-122.45599 37.78611)
KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,San Francisco,32,6669.0,11680,57.0,POINT (-122.44289 37.78274)
UCSF MEDICAL CENTER AT MOUNT ZION,San Francisco,7,,2555,,POINT (-122.43959 37.78436)
CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,San Francisco,29,1401.0,1740,81.0,POINT (-122.43102 37.79149)
CALIFORNIA PACIFIC MEDICAL CENTER - DAVIES CAMPUS HOSPITAL,San Francisco,8,2206.0,2920,76.0,POINT (-122.43465 37.7691)
PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER,San Francisco,58,9770.0,21170,46.0,POINT (-122.40637 37.75657)
ST. FRANCIS MEMORIAL HOSPITAL,San Francisco,10,1741.0,3650,48.0,POINT (-122.41695 37.78917)
"ST. MARY'S MEDICAL CENTER, SAN FRANCISCO",San Francisco,37,2175.0,13505,16.0,POINT (-122.45441 37.77408)
UCSF MEDICAL CENTER,San Francisco,86,20417.0,31390,65.0,POINT (-122.457656 37.763515)
CHINESE HOSPITAL,San Francisco,6,405.0,2190,18.0,POINT (-122.40926 37.79565)
CALIFORNIA PACIFIC MEDICAL CENTER - VAN NESS CAMPUS,San Francisco,44,9056.0,13464,67.0,POINT (-122.42175 37.78584)
UCSF MEDICAL CENTER AT MISSION BAY,San Francisco,46,12874.0,16790,77.0,POINT (-122.39129 37.77189)
CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL CAMPUS,San Francisco,10,1629.0,3650,45.0,POINT (-122.42094 37.74804)
DAMERON HOSPITAL,San Joaquin,12,1514.0,4380,35.0,POINT (-121.30067 37.96125)
ADVENTIST HEALTH LODI MEMORIAL,San Joaquin,10,2033.0,3650,56.0,POINT (-121.2859 38.12146)
SAN JOAQUIN GENERAL HOSPITAL,San Joaquin,16,3632.0,5840,62.0,POINT (-121.28918 37.88594)
ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,San Joaquin,20,7296.0,7300,100.0,POINT (-121.2891 37.97075)
SUTTER TRACY COMMUNITY HOSPITAL,San Joaquin,8,1787.0,2920,61.0,POINT (-121.43482 37.74366)
DOCTORS HOSPITAL OF MANTECA,San Joaquin,8,2096.0,2920,72.0,POINT (-121.19746 37.80111)
KAISER FOUNDATION HOSPITAL - MANTECA,San Joaquin,6,1048.0,2190,48.0,POINT (-121.24614 37.79736)
"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE",San Luis Obispo,8,1033.0,2920,35.0,POINT (-120.59147 35.11369)
FRENCH HOSPITAL MEDICAL CENTER,San Luis Obispo,11,2636.0,4015,66.0,POINT (-120.64977 35.27801)
SIERRA VISTA REGIONAL MEDICAL CENTER,San Luis Obispo,11,0.0,4015,0.0,POINT (-120.666309 35.290986)
TWIN CITIES COMMUNITY HOSPITAL,San Luis Obispo,18,1173.0,6570,18.0,POINT (-120.71967 35.5543)
SAN MATEO MEDICAL CENTER,San Mateo,7,1384.0,2555,54.0,POINT (-122.29951 37.53017)
KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,San Mateo,15,2531.0,5475,46.0,POINT (-122.43837 37.65806)
SETON MEDICAL CENTER,San Mateo,14,3016.0,5110,59.0,POINT (-122.47283 37.68172)
MILLS-PENINSULA MEDICAL CENTER,San Mateo,24,4914.0,8760,56.0,POINT (-122.383246 37.594469)
SEQUOIA HOSPITAL,San Mateo,16,1924.0,5840,33.0,POINT (-122.25377 37.48129)
KAISER FOUNDATION HOSPITAL - REDWOOD CITY,San Mateo,20,4247.0,7300,58.0,POINT (-122.22463 37.48967)
GOLETA VALLEY COTTAGE HOSPITAL,Santa Barbara,8,383.0,2920,13.0,POINT (-119.80929 34.43336)
LOMPOC VALLEY MEDICAL CENTER,Santa Barbara,6,1009.0,2190,46.0,POINT (-120.43965 34.639252)
SANTA BARBARA COTTAGE HOSPITAL,Santa Barbara,65,11984.0,23725,51.0,POINT (-119.72317 34.42948)
STANFORD HEALTH CARE,Santa Clara,104,2347.0,5720,41.0,POINT (-122.17657 37.43384)
REGIONAL MEDICAL OF SAN JOSE,Santa Clara,34,10502.0,12410,85.0,POINT (-121.84837 37.36332)
EL CAMINO HOSPITAL LOS GATOS,Santa Clara,7,1044.0,2555,41.0,POINT (-121.97057 37.26277)
EL CAMINO HEALTH,Santa Clara,24,5625.0,8760,64.0,POINT (-122.07801 37.36779)
GOOD SAMARITAN HOSPITAL-SAN JOSE,Santa Clara,42,6172.0,15330,40.0,POINT (-121.9449 37.25116)
O'CONNOR HOSPITAL,Santa Clara,14,4287.0,5110,84.0,POINT (-121.93727 37.32714)
SANTA CLARA VALLEY MEDICAL CENTER,Santa Clara,68,19531.0,24820,79.0,POINT (-121.93202 37.31346)
STANFORD HEALTH CARE,Santa Clara,17,20342.0,21705,94.0,POINT (-122.175881 37.433)
KAISER FOUNDATION HOSPITAL - SAN JOSE,Santa Clara,14,1004.0,5110,20.0,POINT (-121.80269 37.23924)
ST. LOUISE REGIONAL HOSPITAL,Santa Clara,4,1804.0,1460,124.0,POINT (-121.57411 37.03731)
KAISER FOUNDATION HOSPITAL - SANTA CLARA,Santa Clara,38,6940.0,13870,50.0,POINT (-121.995774 37.334597)
DOMINICAN HOSPITAL,Santa Cruz,10,2901.0,3650,79.0,POINT (-121.98489 36.98806)
WATSONVILLE COMMUNITY HOSPITAL,Santa Cruz,3,409.0,1095,37.0,POINT (-121.79173 36.92839)
SHASTA REGIONAL MEDICAL CENTER,Shasta,37,4053.0,13505,30.0,POINT (-122.387731 40.58562)
MERCY MEDICAL CENTER - REDDING,Shasta,33,7804.0,12108,64.0,POINT (-122.39742 40.57204)
MERCY MEDICAL CENTER MT. SHASTA,Siskiyou,4,340.0,1460,23.0,POINT (-122.32309 41.31894)
FAIRCHILD MEDICAL CENTER,Siskiyou,4,810.0,1460,55.0,POINT (-122.645801 41.71949)
KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO,Solano,24,3058.0,8760,35.0,POINT (-122.24761 38.12839)
SUTTER SOLANO MEDICAL CENTER,Solano,12,2708.0,4380,62.0,POINT (-122.23852 38.13109)
NORTHBAY MEDICAL CENTER,Solano,24,5391.0,8760,62.0,POINT (-122.05076 38.26097)
NORTHBAY VACAVALLEY HOSPITAL,Solano,6,1206.0,2190,55.0,POINT (-121.95293 38.35509)
KAISER FOUNDATION HOSPITAL - VACAVILLE,Solano,16,3090.0,5840,53.0,POINT (-121.937318 38.389497)
HEALDSBURG DISTRICT HOSPITAL,Sonoma,4,350.0,1460,24.0,POINT (-122.86385 38.62764)
PETALUMA VALLEY HOSPITAL,Sonoma,9,1153.0,3285,35.0,POINT (-122.63302 38.25323)
SANTA ROSA MEMORIAL HOSPITAL-MONTGOMERY,Sonoma,16,8624.0,5840,148.0,POINT (-122.70149 38.4429)
SONOMA VALLEY HOSPITAL,Sonoma,6,745.0,2190,34.0,POINT (-122.46524 38.28841)
SONOMA SPECIALTY HOSPITAL,Sonoma,5,,1825,,POINT (-122.82115 38.39825)
KAISER FOUNDATION HOSPITAL - SANTA ROSA,Sonoma,20,2030.0,7300,28.0,POINT (-122.73119 38.47087)
SUTTER SANTA ROSA REGIONAL HOSPITAL,Sonoma,12,4075.0,4380,93.0,POINT (-122.7514 38.49636)
DOCTORS MEDICAL CENTER,Stanislaus,32,9508.0,11680,81.0,POINT (-120.99631 37.66439)
EMANUEL MEDICAL CENTER,Stanislaus,12,2607.0,4380,60.0,POINT (-120.83966 37.51052)
MEMORIAL MEDICAL CENTER - MODESTO,Stanislaus,23,8147.0,8395,97.0,POINT (-120.973381 37.66868)
OAK VALLEY HOSPITAL DISTRICT,Stanislaus,5,291.0,1825,16.0,POINT (-120.86031 37.75782)
KAISER FOUNDATION HOSPITAL - MODESTO,Stanislaus,20,4794.0,7300,66.0,POINT (-121.05008 37.706477)
ST. ELIZABETH COMMUNITY HOSPITAL,Tehama,8,336.0,2920,12.0,POINT (-122.21887 40.1495)
KAWEAH DELTA MEDICAL CENTER,Tulare,41,7919.0,14965,53.0,POINT (-119.29345 36.32753)
SIERRA VIEW MEDICAL CENTER,Tulare,10,1721.0,3650,47.0,POINT (-119.02727 36.06948)
ADVENTIST HEALTH SONORA - GREENLEY,Tuolumne,6,1427.0,2190,65.0,POINT (-120.369 37.97568)
COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA,Ventura,14,6245.0,5110,122.0,POINT (-119.258124 34.274589)
VENTURA COUNTY MEDICAL CENTER,Ventura,45,5685.0,16425,35.0,POINT (-119.25384 34.27693)
LOS ROBLES HOSPITAL & MEDICAL CENTER,Ventura,20,6301.0,7300,86.0,POINT (-118.882411 34.20762)
OJAI VALLEY COMMUNITY HOSPITAL,Ventura,4,205.0,1460,14.0,POINT (-119.26311 34.44221)
ST. JOHN'S PLEASANT VALLEY HOSPITAL,Ventura,8,1800.0,2920,62.0,POINT (-119.018 34.24177)
VENTURA COUNTY MEDICAL CENTER - SANTA PAULA  HOSPITAL,Ventura,6,1181.0,2190,54.0,POINT (-119.06505 34.36548)
ADVENTIST HEALTH SIMI VALLEY,Ventura,24,1828.0,8760,21.0,POINT (-118.74394 34.28973)
ST. JOHN'S REGIONAL MEDICAL CENTER,Ventura,10,5803.0,3650,159.0,POINT (-119.15819 34.21687)
WOODLAND MEMORIAL HOSPITAL,Yolo,8,1704.0,2920,58.0,POINT (-121.7933 38.66284)
SUTTER DAVIS HOSPITAL,Yolo,6,1457.0,2190,67.0,POINT (-121.77164 38.56289)
ADVENTIST HEALTH AND RIDEOUT,Yuba,24,6380.0,8760,73.0,POINT (-121.593602 39.138805)
