fac_no,fac_name,fac_city,county,license_no,fac_zip,icu_beds,tot_lic_beds
106560508,ST. JOHN'S PLEASANT VALLEY HOSPITAL,CAMARILLO,Ventura,050000048,93010,8,132
106301209,HUNTINGTON BEACH HOSPITAL,HUNTINGTON BEACH,Orange,060000124,92647,6,131
106191230,"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL",LOS ANGELES,Los Angeles,060000132,90059,20,131
106334001,SOUTHWEST HEALTHCARE SYSTEM-WILDOMAR,WILDOMAR,Riverside,250000262,92595,18,130
106190198,LOS ANGELES COMMUNITY HOSPITAL,LOS ANGELES,Los Angeles,930000039,90023,6,130
106014233,EDEN MEDICAL CENTER,CASTRO VALLEY,Alameda,140000030,94546,24,130
106190256,EAST LOS ANGELES DOCTORS HOSPITAL,LOS ANGELES,Los Angeles,930000049,90023,4,127
106344021,HERITAGE OAKS HOSPITAL,SACRAMENTO,Sacramento,030000357,95841,0,125
106090933,MARSHALL MEDICAL CENTER,PLACERVILLE,El Dorado,030000059,95667,20,125
106074017,SAN RAMON REGIONAL MEDICAL CENTER,SAN RAMON,Contra Costa,140000345,94583,6,123
106100697,COALINGA REGIONAL MEDICAL CENTER,COALINGA,Fresno,040000085,93210,0,123
106190552,MOTION PICTURE AND TELEVISION HOSPITAL,WOODLAND HILLS,Los Angeles,930000109,91364,0,122
106301155,COLLEGE HOSPITAL COSTA MESA,COSTA MESA,Orange,060000100,92627,0,122
106400548,TWIN CITIES COMMUNITY HOSPITAL,TEMPLETON,San Luis Obispo,050000078,93465,18,122
106410828,SETON COASTSIDE,MOSS BEACH,San Mateo,220000026,94038,0,121
106410806,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,SOUTH SAN FRANCISCO,San Mateo,220000022,94080,15,120
106384202,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL CAMPUS,SAN FRANCISCO,San Francisco,220000070,94110,10,120
106334068,SOUTHWEST HEALTHCARE SYSTEM-MURRIETA,MURRIETA,Riverside,250000262,92562,7,120
106370755,PALOMAR HEALTH DOWNTOWN CAMPUS,ESCONDIDO,San Diego,080000083,92025,7,118
106190449,KINDRED HOSPITAL - LA MIRADA,LA MIRADA,Los Angeles,930000084,90638,6,118
106190462,AURORA LAS ENCINAS HOSPITAL,PASADENA,Los Angeles,930000087,91107,0,118
106190352,GREATER EL MONTE COMMUNITY HOSPITAL,SOUTH EL MONTE,Los Angeles,930000063,91733,5,117
106190766,COAST PLAZA HOSPITAL,NORWALK,Los Angeles,930000162,90650,4,117
106210992,KAISER FOUNDATION HOSPITAL - SAN RAFAEL,SAN RAFAEL,Marin,110000357,94903,12,116
106450936,MAYERS MEMORIAL HOSPITAL,FALL RIVER MILLS,Shasta,230000021,96028,0,115
106301140,CHAPMAN GLOBAL MEDICAL CENTER,ORANGE,Orange,060000097,92869,12,114
106301297,PLACENTIA LINDA HOSPITAL,PLACENTIA,Orange,060000157,92870,4,114
106361144,CHINO VALLEY MEDICAL CENTER,CHINO,San Bernardino,240000125,91710,14,112
106090793,BARTON MEMORIAL HOSPITAL,SOUTH LAKE TAHOE,El Dorado,030000013,96150,8,111
106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,MURRIETA,Riverside,550001535,92563,12,111
106374094,VIBRA HOSPITAL OF SAN DIEGO,SAN DIEGO,San Diego,090000404,92103,6,110
106301380,KINDRED HOSPITAL WESTMINSTER,WESTMINSTER,Orange,060000183,92683,16,109
106304039,FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER - WARNER,FOUNTAIN VALLEY,Orange,060000109,92708,0,107
106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,BRAWLEY,Imperial,090000087,92227,8,107
106481094,SUTTER SOLANO MEDICAL CENTER,VALLEJO,Solano,110000082,94589,12,106
106201281,MADERA COMMUNITY HOSPITAL,MADERA,Madera,040000191,93637,10,106
106361166,MONTCLAIR HOSPITAL MEDICAL CENTER,MONTCLAIR,San Bernardino,240000141,91763,8,106
106040802,ORCHARD HOSPITAL,GRIDLEY,Butte,230000007,95948,4,106
206100718,COMMUNITY SUBACUTE AND TRANSITIONAL CARE CENTER,FRESNO,Fresno,040000096,93703,0,106
106444013,WATSONVILLE COMMUNITY HOSPITAL,WATSONVILLE,Santa Cruz,070000097,95076,3,106
106364050,CANYON RIDGE HOSPITAL,CHINO,San Bernardino,240000357,91710,0,106
106344029,MERCY HOSPITAL OF FOLSOM,FOLSOM,Sacramento,030000372,95630,8,106
106571086,WOODLAND MEMORIAL HOSPITAL,WOODLAND,Yolo,030000115,95695,8,105
106190052,BARLOW RESPIRATORY HOSPITAL,LOS ANGELES,Los Angeles,930000011,90026,0,105
106190298,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,GLENDORA,Los Angeles,930000052,91741,9,105
106291023,SIERRA NEVADA MEMORIAL HOSPITAL,GRASS VALLEY,Nevada,230000152,95945,2,104
106361370,VICTOR VALLEY GLOBAL MEDICAL CENTER,VICTORVILLE,San Bernardino,240000218,92395,10,101
106190673,SAN DIMAS COMMUNITY HOSPITAL,SAN DIMAS,Los Angeles,930000139,91773,8,101
106190547,MONTEREY PARK HOSPITAL,MONTEREY PARK,Los Angeles,930000108,91754-4780,4,101
106150737,KERN VALLEY HEALTHCARE DISTRICT,LAKE ISABELLA,Kern,120000183,93240,3,101
106374024,AURORA SAN DIEGO,SAN DIEGO,San Diego,080000310,92128,0,101
106330120,THE BETTY FORD CENTER,RANCHO MIRAGE,Riverside,250000049,92270,0,100
106500954,CENTRAL VALLEY SPECIALTY HOSPITAL,MODESTO,Stanislaus,030000464,95354,0,100
106014132,KAISER FOUNDATION HOSPITAL - FREMONT,FREMONT,Alameda,140000053,94538,10,100
106394009,KAISER FOUNDATION HOSPITAL - MANTECA,MANTECA,San Joaquin,030000393,95337,6,99
106190137,CASA COLINA HOSPITAL,POMONA,Los Angeles,930000026,91767,6,99
106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,SAN LEANDRO,Alameda,140000066,94577,10,99
106400480,FRENCH HOSPITAL MEDICAL CENTER,SAN LUIS OBISPO,San Luis Obispo,050000031,93401,11,98
106190020,BHC ALHAMBRA HOSPITAL,ROSEMEAD,Los Angeles,930000006,91770,0,97
106494048,"AURORA BEHAVIORAL HEALTHCARE-SANTA ROSA, LLC",SANTA ROSA,Sonoma,550001413,95401,0,95
106190049,KINDRED HOSPITAL - BALDWIN PARK,BALDWIN PARK,Los Angeles,930000390,91706,8,95
106334048,KAISER FOUNDATION HOSPITAL - MORENO VALLEY,MORENO VALLEY,Riverside,550000810,92555,5,94
106434138,ST. LOUISE REGIONAL HOSPITAL,GILROY,Santa Clara,070000085,95020,4,93
106013619,SAN LEANDRO HOSPITAL,SAN LEANDRO,Alameda,140000046,94578,9,93
106304583,"LAGUNA TREATMENT HOSPITAL, LLC",ALISO VIEJO,Orange,550003560,92656,0,93
106361274,KINDRED HOSPITAL - ONTARIO,ONTARIO,San Bernardino,240000561,91764,7,91
106560501,OJAI VALLEY COMMUNITY HOSPITAL,OJAI,Ventura,050000045,93023,4,91
106154044,"BAKERSFIELD BEHAVORIAL HEALTHCARE HOSPITAL, LLC",BAKERSFIELD,Kern,550003535,93309,0,90
106364014,LOMA LINDA UNIVERSITY BEHAVIORAL MEDICINE CENTER,REDLANDS,San Bernardino,240000281,92373,0,89
106454012,VIBRA HOSPITAL OF NORTHERN CALIFORNIA,REDDING,Shasta,230000191,96001,0,88
106560203,AURORA VISTA DEL MAR HOSPITAL,VENTURA,Ventura,050000016,93001,0,87
106250956,MODOC MEDICAL CENTER,ALTURAS,Modoc,230000026,96101,0,87
106154022,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF BAKERSFIELD,BAKERSFIELD,Kern,120000248,93309,0,86
106301127,KINDRED HOSPITAL - BREA,BREA,Orange,060000407,92821,4,86
106494106,SUTTER SANTA ROSA REGIONAL HOSPITAL,SANTA ROSA,Sonoma,110000005,95403,12,84
106304045,HOAG HOSPITAL IRVINE,IRVINE,Orange,060000122,92618,12,84
106334018,MENIFEE GLOBAL MEDICAL CENTER,SUN CITY,Riverside,250000338,92585,6,84
106350784,HAZEL HAWKINS MEMORIAL HOSPITAL,HOLLISTER,San Benito,070000004,95023,4,82
106154108,MERCY SOUTHWEST HOSPITAL,BAKERSFIELD,Kern,120000184,93311,8,82
106364451,TOTALLY KIDS REHABILITATION HOSPITAL,LOMA LINDA,San Bernardino,550002720,92354,0,81
106190305,KINDRED HOSPITAL - LOS ANGELES,LOS ANGELES,Los Angeles,930000053,90056,5,81
106190197,COMMUNITY HOSPITAL OF HUNTINGTON PARK,HUNTINGTON PARK,Los Angeles,930000038,90255,4,81
106491001,PETALUMA VALLEY HOSPITAL,PETALUMA,Sonoma,110000001,94954,9,80
106434032,SAN JOSE BEHAVIORAL HEALTH,SAN JOSE,Santa Clara,550003449,95138,0,80
106344114,SHRINERS HOSPITALS FOR CHILDREN NORTHERN CALIF.,SACRAMENTO,Sacramento,030000620,95817,10,80
106331326,SAN GORGONIO MEMORIAL HOSPITAL,BANNING,Riverside,250000199,92220,16,79
106331145,CORONA REGIONAL MEDICAL CENTER-MAGNOLIA,CORONA,Riverside,250000126,92879,0,78
106121002,MAD RIVER COMMUNITY HOSPITAL,ARCATA,Humboldt,110000031,95521,6,78
106391056,SUTTER TRACY COMMUNITY HOSPITAL,TRACY,San Joaquin,030000105,95376,8,77
106521041,ST. ELIZABETH COMMUNITY HOSPITAL,RED BLUFF,Tehama,230000036,96080,8,76
106190458,KINDRED HOSPITAL - SAN GABRIEL VALLEY,WEST COVINA,Los Angeles,930000084,91791,6,76
106010983,VALLEY MEMORIAL HOSPITAL,LIVERMORE,Alameda,140000114,94550,3,75
106320859,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS,PORTOLA,Plumas,230000014,96122,0,75
106190930,RESNICK NEUROPSYCHIATRIC HOSPITAL AT UCLA,LOS ANGELES,Los Angeles,930000204,90095,0,74
106074039,JOHN MUIR BEHAVIORAL HEALTH CENTER,CONCORD,Contra Costa,140000418,94520,0,73
106104008,COMMUNITY BEHAVIORAL HEALTH CENTER,FRESNO,Fresno,040000096,93720,0,73
106392287,DOCTORS HOSPITAL OF MANTECA,MANTECA,San Joaquin,030000203,95336,8,73
106270777,GEORGE L. MEE MEMORIAL HOSPITAL,KING CITY,Monterey,070000047,93930,4,73
106301325,SADDLEBACK MEMORIAL MEDICAL CENTER - SAN CLEMENTE,SAN CLEMENTE,Orange,060000166,92673,7,73
106344017,SUTTER CENTER FOR PSYCHIATRY,SACRAMENTO,Sacramento,030000347,95826,0,73
106190150,KEDREN COMMUNITY MENTAL HEALTH CENTER,LOS ANGELES,Los Angeles,930000028,90011,0,72
106370721,KINDRED HOSPITAL - SAN DIEGO,SAN DIEGO,San Diego,090000059,92104-9988,8,70
106291053,TAHOE FOREST HOSPITAL,TRUCKEE,Nevada,230000151,96161,6,70
106430915,MISSION OAKS HOSPITAL,LOS GATOS,Santa Clara,070000048,95032,0,70
106304460,HOAG ORTHOPEDIC INSTITUTE,IRVINE,Orange,550001431,92618,0,70
106231396,ADVENTIST HEALTH UKIAH VALLEY,UKIAH,Mendocino,110000095,95482,8,68
106190646,KAISER FOUNDATION HOSPITAL - MENTAL HEALTH CENTER,LOS ANGELES,Los Angeles,930000077,90012,0,68
106331226,PACIFIC GROVE HOSPITAL,RIVERSIDE,Riverside,250000476,92506,0,68
106010844,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,BERKELEY,Alameda,140000004,94704,0,68
106501016,DOCTORS MEDICAL CENTER-BEHAVIORAL HEALTH DEPARTMENT,MODESTO,Stanislaus,030000026,95355,0,67
106400466,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE",ARROYO GRANDE,San Luis Obispo,050000040,93420,8,67
106370749,ALVARADO PARKWAY INSTITUTE B.H.S.,LA MESA,San Diego,080000079,91942,0,66
106382715,CHINESE HOSPITAL,SAN FRANCISCO,San Francisco,220000122,94133,6,65
106074011,SAN RAMON REGIONAL MEDICAL CENTER SOUTH BUILDING,SAN RAMON,Contra Costa,140000345,94583,0,64
106310791,SUTTER AUBURN FAITH HOSPITAL,AUBURN,Placer,030000012,95602,4,64
106150775,GOOD SAMARITAN HOSPITAL-BAKERSFIELD,BAKERSFIELD,Kern,120000146,93308,4,64
106191225,TOM REDGATE MEMORIAL RECOVERY CENTER,LONG BEACH,Los Angeles,930000272,90813,0,63
106104023,SAN JOAQUIN VALLEY REHABILITATION HOSPITAL,FRESNO,Fresno,040000280,93720,0,62
206351814,HAZEL HAWKINS MEMORIAL HOSPITAL D/P SNF,HOLLISTER,San Benito,070000004,95023,0,62
106481015,ADVENTIST HEALTH VALLEJO,VALLEJO,Solano,110000042,94590,0,61
106210993,KENTFIELD HOSPITAL,KENTFIELD,Marin,110000358,94904,0,60
106364121,BALLARD REHABILITATION HOSPITAL,SAN BERNARDINO,San Bernardino,240000502,92411,0,60
106190782,TARZANA TREATMENT CENTER,TARZANA,Los Angeles,930000163,91356,0,60
106384238,KENTFIELD HOSPITAL SAN FRANCISCO,SAN FRANCISCO,San Francisco,110000358,94117,0,60
106191216,"USC KENNETH NORRIS, JR. CANCER HOSPITAL",LOS ANGELES,Los Angeles,930000267,90089,13,60
106013626,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT CAMPUS,OAKLAND,Alameda,140000284,94609,0,58
106344035,VIBRA HOSPITAL OF SACRAMENTO,FOLSOM,Sacramento,030000377,95630,6,58
106105029,FRESNO HEART AND SURGICAL HOSPITAL,FRESNO,Fresno,040000096,93720,0,57
106100793,ADVENTIST HEALTH SELMA,SELMA,Fresno,550001439,93662,0,57
106380868,LANGLEY PORTER PSYCHIATRIC INSTITUTE,SAN FRANCISCO,San Francisco,220000377,94143,0,56
106364188,KINDRED HOSPITAL RANCHO,RANCHO CUCAMONGA,San Bernardino,240000652,91730,8,55
106190317,GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER,LOS ANGELES,Los Angeles,930000058,90026,0,55
106301167,KINDRED HOSPITAL - SANTA ANA,SANTA ANA,Orange,930000084,92706,7,54
106304113,CHILDREN'S HOSPITAL AT MISSION,MISSION VIEJO,Orange,060000348,92691,8,54
106190196,KINDRED HOSPITAL - SOUTH BAY,GARDENA,Los Angeles,930000037,90247,4,54
106034002,SUTTER AMADOR HOSPITAL,JACKSON,Amador,030000008,95642,6,52
106420483,GOLETA VALLEY COTTAGE HOSPITAL,SANTA BARBARA,Santa Barbara,050000034,93111,8,52
106331288,PALO VERDE HOSPITAL,BLYTHE,Riverside,250000184,92225,4,51
106491076,SONOMA VALLEY HOSPITAL,SONOMA,Sonoma,110000072,95476,6,51
106190570,NORWALK COMMUNITY HOSPITAL,NORWALK,Los Angeles,930000039,90650,6,50
106344011,SACRAMENTO MENTAL HEALTH TREATMENT CENTER,SACRAMENTO,Sacramento,M01050011,95817,0,50
106074093,KAISER FOUNDATION HOSPITAL - RICHMOND CAMPUS,RICHMOND,Contra Costa,140000052,94801,8,50
106504079,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MODESTO,MODESTO,Stanislaus,550003684,95355,0,50
106484001,NORTHBAY VACAVALLEY HOSPITAL,VACAVILLE,Solano,110000093,95687,6,50
106334533,VIBRA REHABILITATION HOSPITAL OF RANCHO MIRAGE,RANCHO MIRAGE,Riverside,550004348,92270,0,50
106231013,MENDOCINO COAST DISTRICT HOSPITAL,FORT BRAGG,Mendocino,110000040,95437,4,49
106084001,SUTTER COAST HOSPITAL,CRESCENT CITY,Del Norte,110000067,95531,6,49
106190541,MONROVIA MEMORIAL HOSPITAL,MONROVIA,Los Angeles,930000107,91016,4,49
106560521,VENTURA COUNTY MEDICAL CENTER - SANTA PAULA  HOSPITAL,SANTA PAULA,Ventura,050000032,93060,6,49
106100797,ADVENTIST HEALTH REEDLEY,REEDLEY,Fresno,040000149,93654,0,49
106060870,COLUSA MEDICAL CENTER,COLUSA,Colusa,230000149,95932,6,48
106304079,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TUSTIN,TUSTIN,Orange,060000303,92780,0,48
106531059,TRINITY HOSPITAL,WEAVERVILLE,Trinity,230000038,96093,0,48
106574010,SUTTER DAVIS HOSPITAL,DAVIS,Yolo,030000124,95616,6,48
106154101,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD,Kern,120000526,93308,0,47
106110889,GLENN MEDICAL CENTER,WILLOWS,Glenn,230000018,95988,0,47
106214034,NOVATO COMMUNITY HOSPITAL,NOVATO,Marin,110000375,94945,4,47
106490907,SANTA ROSA MEMORIAL HOSPITAL-SOTOYOME,SANTA ROSA,Sonoma,140000648,95405,0,46
106190857,WEST COVINA MEDICAL CENTER,WEST COVINA,Los Angeles,930000188,91790,0,46
106190328,GLENDORA OAKS BEHAVIORAL HEALTH HOSPITAL,GLENDORA,Los Angeles,930000060,91740,0,44
106490964,HEALDSBURG DISTRICT HOSPITAL,HEALDSBURG,Sonoma,110000019,95448,4,43
106044011,ENLOE REHABILITATION CENTER,CHICO,Butte,230000027,95926,0,40
106240924,MEMORIAL HOSPITAL LOS BANOS,LOS BANOS,Merced,040000177,93635,4,40
106564018,LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS,WESTLAKE VILAGE,Ventura,050000039,91362,0,40
106194010,AMERICAN RECOVERY CENTER,POMONA,Los Angeles,930000412,91768,0,40
106332172,KINDRED HOSPITAL - RIVERSIDE,PERRIS,Riverside,250000234,92571,8,40
106424047,COTTAGE REHABILITATION HOSPITAL,SANTA BARBARA,Santa Barbara,050000140,93105,0,38
106141338,SOUTHERN INYO HOSPITAL,LONE PINE,Inyo,240000205,93545,0,37
106361266,MOUNTAINS COMMUNITY HOSPITAL,LAKE ARROWHEAD,San Bernardino,240000176,92352,0,37
106491338,SONOMA SPECIALTY HOSPITAL,SEBASTOPOL,Sonoma,110000091,95472,5,37
106301304,NEWPORT BAY HOSPITAL,NEWPORT BEACH,Orange,060000160,92663,0,36
106198495,OCEAN VIEW PSYCHIATRIC HEALTH FACILITY,LONG BEACH,Los Angeles,M02020043,90806,0,36
106121051,REDWOOD MEMORIAL HOSPITAL,FORTUNA,Humboldt,110000173,95540,4,35
106392232,ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,STOCKTON,San Joaquin,030000367,95204,0,35
106220733,JOHN C FREMONT HEALTHCARE DISTRICT,MARIPOSA,Mariposa,040000108,95338,0,34
106470871,MERCY MEDICAL CENTER MT. SHASTA,MOUNT SHASTA,Siskiyou,230000015,96067,4,33
106171049,ADVENTIST HEALTH CLEARLAKE,CLEARLAKE,Lake,110000174,95422,4,32
106434051,CHILDREN'S HEALTHCARE ORGANIZATION OF NORTHERN CA - PEDIATRIC HOSPITAL,CAMPBELL,Santa Clara,070000320,95008,0,31
106171395,SUTTER LAKESIDE HOSPITAL,LAKEPORT,Lake,110000094,95453,4,30
106361110,BEAR VALLEY COMMUNITY HOSPITAL,BIG BEAR LAKE,San Bernardino,240000111,92315,0,30
106040828,ENLOE MEDICAL CENTER - COHASSET,CHICO,Butte,230000027,95926,0,30
106364430,BARSTOW COMMUNITY HOSPITAL,BARSTOW,San Bernardino,240000110,92311,4,30
106444012,SUTTER MATERNITY AND SURGERY CENTER OF SANTA CRUZ,SANTA CRUZ,Santa Cruz,070000399,95065,0,28
106474007,FAIRCHILD MEDICAL CENTER,YREKA,Siskiyou,230000035,96097,4,28
106364268,LOMA LINDA UNIVERSITY SURGICAL HOSPITAL,REDLANDS,San Bernardino,240000169,92373,4,28
206274027,WESTLAND HOUSE,MONTEREY,Monterey,070000026,93940,0,28
106304159,HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE,ORANGE,Orange,060000530,92866,0,27
106104047,FRESNO SURGICAL HOSPITAL,FRESNO,Fresno,040000332,93710,0,27
106014207,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,Oakland,Alameda,M02016036,94601,0,26
106250955,SURPRISE VALLEY COMMUNITY HOSPITAL,CEDARVILLE,Modoc,230000025,96104,0,26
106321016,SENECA DISTRICT HOSPITAL,CHESTER,Plumas,230000032,96020,0,26
106184008,BANNER LASSEN MEDICAL CENTER,SUSANVILLE,Lassen,230000020,96130,0,25
106154168,ADVENTIST HEALTH TEHACHAPI VALLEY,TEHACHAPI,Kern,120000188,93561,4,25
106234038,ADVENTIST HEALTH HOWARD MEMORIAL,WILLITS,Mendocino,110000013,95490,4,25
106361458,COLORADO RIVER MEDICAL CENTER,NEEDLES,San Bernardino,240000227,92363,0,25
106050932,MARK TWAIN MEDICAL CENTER,SAN ANDREAS,Calaveras,030000058,95249,8,25
106141273,NORTHERN INYO HOSPITAL,BISHOP,Inyo,240000179,93514,4,25
106434218,KAISER PERMANENTE P.H.F - SANTA CLARA,SANTA CLARA,Santa Clara,M02024044,95051,0,24
106013687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,OAKLAND,Alameda,140000232,94609,0,24
106504038,STANISLAUS SURGICAL HOSPITAL,MODESTO,Stanislaus,030000695,95355,0,23
106564121,"THOUSAND OAKS SURGICAL HOSPITAL, a campus of Los Robles Hosp & Med Ctr",THOUSAND OAKS,Ventura,050000039,91361,0,21
106190681,DOCS SURGICAL HOSPITAL,LOS ANGELES,Los Angeles,930000143,90036,0,17
106121031,JEROLD PHELPS COMMUNITY HOSPITAL,GARBERVILLE,Humboldt,110000052,95542,0,17
106260011,MAMMOTH HOSPITAL,MAMMOTH LAKES,Mono,240000008,93546,2,17
106124004,SEMPERVIRENS P.H.F.,EUREKA,Humboldt,M01016003,95501,0,16
106374049,SHARP MCDONALD CENTER,SAN DIEGO,San Diego,080000319,92111,0,16
106414018,MENLO PARK SURGICAL HOSPITAL,MENLO PARK,San Mateo,220000037,94025,0,16
106394003,SAN JOAQUIN PHF,STOCKTON,San Joaquin,M01016012,95202,0,16
106194967,STAR VIEW ADOLESCENT - P H F,TORRANCE,Los Angeles,M02016029,90505,0,16
106404046,SAN LUIS OBISPO CO PSYCHIATRIC HEALTH FACILITY,SAN LUIS OBISPO,San Luis Obispo,M02016035,93401,0,16
106197931,EXODUS RECOVERY P.H.F.,CULVER CITY,Los Angeles,M20016052,90232,0,16
106154160,CRESTWOOD PSYCHIATRIC HEALTH FACILITY BAKERSFIELD,BAKERSFIELD,Kern,M02016045,93306,0,16
106094002,TELECARE EL DORADO COUNTY P.H.F.,PLACERVILLE,El Dorado,M20016057,95667,0,16
106244027,MARIE GREEN PSYCHIATRIC CENTER - P H F,MERCED,Merced,M01016008,95340,0,16
106105125,CENTRAL STAR PSYCHIATRIC HEALTH FACILITY,FRESNO,Fresno,M20016058,93702,0,16
106334457,TELECARE RIVERSIDE COUNTY PSYCHIATRIC HEALTH FACILITY,INDIO,Riverside,M02016056,92201,0,16
106194981,LA CASA PSYCHIATRIC HEALTH FACILITY,LONG BEACH,Los Angeles,M02014031,90805,0,16
106044006,BUTTE COUNTY MENTAL HEALTH SERVICES,CHICO,Butte,M01016001,95926,0,16
106014226,TELECARE WILLOW ROCK CENTER,SAN LEANDRO,Alameda,M02016039,94578,0,16
106444029,TELECARE SANTA CRUZ PHF,SANTA CRUZ,Santa Cruz,M20016053,95062,0,16
106434220,CRESTWOOD PSYCHIATRIC HEALTH FACILITY-SAN JOSE,SAN JOSE,Santa Clara,M02016047,95128,0,16
106344170,CRESTWOOD PSYCHIATRIC HEALTH FACILITY-CARMICHAEL,CARMICHAEL,Sacramento,M02012042,95608,0,16
106344188,CRESTWOOD PSYCHIATRIC HEALTH FACILITY-SACRAMENTO,SACRAMENTO,Sacramento,M20016048,95817,0,16
106424002,SANTA BARBARA PSYCHIATRIC HEALTH FACILITY,SANTA BARBARA,Santa Barbara,M01016014,93110,0,16
106504081,TELECARE STANISLAUS COUNTY PHF,CERES,Stanislaus,M20016054,95307,0,16
106104089,EXODUS PSYCHIATRIC HEALTH FACILITY FRESNO,FRESNO,Fresno,M20016059,93702,0,16
106514001,SUTTER-YUBA PSYCHIATRIC HEALTH FACILITY,YUBA CITY,Sutter,M01016015,95991,0,16
106514033,NORTH VALLEY BEHAVIORAL HEALTH,Yuba City,Sutter,M02016037,95993,0,16
106484062,CRESTWOOD SOLANO PSYCHIATRIC HEALTH FACILITY,VALLEJO,Solano,M20016055,94589,0,16
106524017,RESTPADD RED BLUFF PSYCHIATRIC HEALTH FACILITY,RED BLUFF,Tehama,M20016060,96080,0,16
106454068,RESTPADD PSYCHIATRIC HEALTH FACILITY,REDDING,Shasta,M20016049,96001,0,16
106120981,"GENERAL HOSPITAL, THE",EUREKA,Humboldt,110000075,95501,0,15
106514030,SUTTER SURGICAL HOSPITAL-NORTH VALLEY,YUBA CITY,Sutter,550000989,95991,0,14
106190045,CATALINA ISLAND MEDICAL CENTER,AVALON,Los Angeles,930000010,90704,0,12
106552209,ADVENTIST HEALTH SONORA - FAIRVIEW,SONORA,Tuolumne,030000094,95370,0,12
106420522,SANTA YNEZ VALLEY COTTAGE HOSPITAL,SOLVANG,Santa Barbara,050000057,93463,0,11
106454013,PATIENTS' HOSPITAL OF REDDING,REDDING,Shasta,230000195,96001,0,10
