agency,amount,state,origin,house_requestor,house_requestor2,house_requestor3,senate_requestor,senate_requestor2,senate_requestor2.1,senate_requestor4,party
Department of Health & Human Services,100000,,H,Bowman,,,Gillibrand,Schumer,,,D
Department of Education,50000,,H,"Maloney, Carolyn B.",,,Gillibrand,Schumer,,,D
Department of Education,750000,,H,Jeffries,,,Gillibrand,Schumer,,,D
Department of Education,2000000,,H,Meeks,,,Gillibrand,Schumer,,,D
Department of Education,1100000,,H,Espaillat,,,Gillibrand,Schumer,,,D
Department of Education,225000,,H,Ocasio-Cortez,,,Gillibrand,Schumer,,,D
Department of Education,1500000,,H,Espaillat,,,Gillibrand,Schumer,,,D
Department of Education,250000,,H,Espaillat,,,Gillibrand,Schumer,,,D
Department of Education,300000,,H,Nadler,,,Gillibrand,Schumer,,,D
Department of Housing and Urban Development,400000,,H/S,Espaillat,,,Gillibrand,Schumer,,,D
Department of Housing and Urban Development,2000000,,H/S,Ocasio-Cortez,,,Gillibrand,Schumer,,,D
Department of Housing and Urban Development,650000,,H/S,Espaillat,,,Gillibrand,Schumer,,,D
Department of Housing and Urban Development,750000,,H/S,Morelle,,,Gillibrand,Schumer,,,D
Department of Housing and Urban Development,676000,,H/S,"Maloney,",,,Gillibrand,Schumer,,,D
Department of Housing and Urban Development,750000,,H/S,Tonko,,,Gillibrand,Schumer,,,D
Rural Development,997000,,H/S,Stefanik,,,Gillibrand,,,,R
Small Business Administration,200000,,H/S,Morelle,,,Gillibrand,Schumer,,,D
Environmental Protection Agency,2000000,,H/S,Reed,,,Gillibrand,Schumer,,,R
Defense-Wide,27000000,,H/S,Stefanik,,,Gillibrand,Schumer,,,R
Department of Labor,527000,,H/S,Meeks,,,Gillibrand,Schumer,,,D
Department of Health & Human Services,9200000,,H/S,Jeffries,,,Gillibrand,Schumer,,,D
Department of Health & Human Services,3000000,,H/S,"Meng, Ocasio- Cortez",,,Gillibrand,Schumer,,,D
Department of Health & Human Services,400000,,H/S,"Ocasio-Cortez, Bowman",,,Gillibrand,Schumer,,,D
Department of Health & Human Services,60000,,H/S,Ocasio-Cortez,,,Gillibrand,Schumer,,,D
Department of Health & Human Services,400000,,H/S,Meng,,,Gillibrand,Schumer,,,D
Department of Education,100000,,H/S,Ocasio-Cortez,,,Gillibrand,Schumer,,,D
FEMA,500000,,S,,,,Gillibrand,Schu- mer,,,D
FEMA,1000000,,S,,,,Gillibrand,,,,D
Department of Transportation,1000000,,S,,,,Gillibrand,,,,D
Department of Transportation,1760000,,S,,,,Gillibrand,Schumer,,,D
Department of Transportation,2000000,,S,,,,Gillibrand,Schumer,,,D
Department of Housing and Urban Development,495000,,S,,,,Gillibrand,Schumer,,,D
Department of Housing and Urban Development,500000,,S,,,,Gillibrand,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Gillibrand,Schumer,,,D
Department of Housing and Urban Development,1000000,,S,,,,Gillibrand,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Gillibrand,Schumer,,,D
Department of Housing and Urban Development,1075000,,S,,,,Gillibrand,Schumer,,,D
Department of Housing and Urban Development,1200000,,S,,,,Gillibrand,Schumer,,,D
Department of Housing and Urban Development,2006000,,S,,,,Gillibrand,Schumer,,,D
Department of Housing and Urban Development,2500000,,S,,,,Gillibrand,Schumer,,,D
Department of Housing and Urban Development,2500000,,S,,,,Gillibrand,Schumer,,,D
Department of Housing and Urban Development,3000000,,S,,,,Gillibrand,Schumer,,,D
Department of Energy,303000,,S,,,,Gillibrand,,,,D
Small Business Administration,250000,,S,,,,Gillibrand,Schumer,,,D
Environmental Protection Agency,280000,,S,,,,Gillibrand,,,,D
Department of Transportation,700000,,S,,,,Gillibrand,Schumer,,,D
Department of Transportation,1400000,,S,,,,Gillibrand,Schumer,,,D
Department of Transportation,1750000,,S,,,,Gillibrand,Schumer,,,D
Environmental Protection Agency,2500000,,S,,,,Gillibrand,,,,D
Air NG,14800000,,S,,,,Gillibrand,Schumer,,,D
Army,17200000,,S,,,,Gillibrand,Schumer,,,D
Department of Labor,500000,,S,,,,Gillibrand,Schumer,,,D
Department of Labor,300000,,S,,,,Gillibrand,Schumer,,,D
Department of Health & Human Services,5500000,,S,,,,Gillibrand,Schumer,,,D
Department of Health & Human Services,3633000,,S,,,,Gillibrand,Schumer,,,D
Department of Health & Human Services,200000,,S,,,,Gillibrand,Schumer,,,D
Department of Education,296000,,S,,,,Gillibrand,Schumer,,,D
Department of Education,1000000,,S,,,,Gillibrand,Schumer,,,D
Army Corps of Engineers (Civil),19785000,,H/S,Clyburn,,,Graham,,,,D
Department of Housing and Urban Development,4288000,,H/S,Clyburn,,,Graham,,,,D
Department of Labor,3200000,,H/S,Clyburn,,,Graham,,,,D
DOJ,709000,,S,,,,Graham,,,,R
DOJ,246000,,S,,,,Graham,,,,R
DOJ,52000,,S,,,,Graham,,,,R
Department of Transportation,250000,,S,,,,Graham,,,,R
Department of Housing and Urban Development,750000,,S,,,,Graham,,,,R
Environmental Protection Agency,2500000,,S,,,,Graham,,,,R
Navy,3000000,,S,,,,Graham,,,,R
Navy,4700000,,S,,,,Graham,,,,R
Navy,5000000,,S,,,,Graham,,,,R
Navy,6000000,,S,,,,Graham,,,,R
Environmental Protection Agency,8000000,,S,,,,Graham,,,,R
Department of Transportation,8000000,,S,,,,Graham,,,,R
Air NG,9000000,,S,,,,Graham,,,,R
Forest Service,9457000,,S,,,,Graham,,,,R
Department of Transportation,15000000,,S,,,,Graham,,,,R
Department of Transportation,16172000,,S,,,,Graham,,,,R
Army,21000000,,S,,,,Graham,,,,R
Air Force,29000000,,S,,,,Graham,,,,R
Air Force,30000000,,S,,,,Graham,,,,R
Navy,121825000,,S,,,,Graham,,,,R
Department of Health & Human Services,17997000,,S,,,,Graham,,,,R
Department of Health & Human Services,2175000,,S,,,,Graham,,,,R
Department of Health & Human Services,12727000,,S,,,,Graham,,,,R
Department of Health & Human Services,5000000,,S,,,,Graham,,,,R
Department of Health & Human Services,2000000,,S,,,,Graham,,,,R
Department of Education,750000,,S,,,,Graham,,,,R
Department of Education,610000,,S,,,,Graham,,,,R
Department of Education,2000000,,S,,,,Graham,,,,R
DOJ,1000000,,H,Stansbury,,,Heinrich,Luján,,,D
DOJ,1471000,,S,,,,Heinrich,Luján,,,D
DOJ,435000,,S,,,,Heinrich,Luján,,,D
DOJ,400000,,S,,,,Heinrich,Luján,,,D
DOJ,575000,,S,,,,Heinrich,Luján,,,D
DOJ,350000,,S,,,,Heinrich,Luján,,,D
Rural Development,1000000,,S,,,,Heinrich,Luján,,,D
Natural Resources Conservation Service,995000,,S,,,,Heinrich,Luján,,,D
Natural Resources Conservation Service,50000,,S,,,,Heinrich,Luján,,,D
Rural Development,104000,,S,,,,Heinrich,Luján,,,D
Rural Development,890000,,S,,,,Heinrich,Luján,,,D
DOJ,379000,,S,,,,Heinrich,Luján,,,D
DOJ,1000000,,S,,,,Heinrich,Luján,,,D
DOC,374000,,S,,,,Heinrich,Luján,,,D
DOC,1821000,,S,,,,Heinrich,Luján,,,D
Army Corps of Engineers (Civil),1500000,,S,,,,Heinrich,Luján,,,D
Department of Housing and Urban Development,750000,,H/S,Melanie,,,Heinrich,Luján,,,D
Department of Health & Human Services,1500000,,H/S,Melanie,,,Heinrich,Luján,,,D
Department of Education,125000,,H/S,Melanie,,,Heinrich,Luján,,,D
FEMA,1000000,,S,,,,Heinrich,Luján,,,D
FEMA,1500000,,S,,,,Heinrich,Luján,,,D
FEMA,1500000,,S,,,,Heinrich,Luján,,,D
Department of Housing and Urban Development,1500000,,S,,,,Heinrich,,,,D
Department of Housing and Urban Development,2000000,,S,,,,Heinrich,Luján,,,D
Rural Development,950000,,S,,,,Heinrich,,,,D
Natural Resources Conservation Service,100000,,S,,,,Heinrich,,,,D
Department of Energy,50000,,S,,,,Heinrich,,,,D
Department of Energy,250000,,S,,,,Heinrich,,,,D
Department of Energy,500000,,S,,,,Heinrich,,,,D
Department of Energy,1000000,,S,,,,Heinrich,,,,D
Department of the Interior,9610000,,S,,,,Heinrich,,,,D
Small Business Administration,77000,,S,,,,Heinrich,Luján,,,D
Small Business Administration,107000,,S,,,,Heinrich,Luján,,,D
Small Business Administration,123000,,S,,,,Heinrich,Luján,,,D
Small Business Administration,200000,,S,,,,Heinrich,Luján,,,D
Small Business Administration,200000,,S,,,,Heinrich,Luján,,,D
Small Business Administration,242000,,S,,,,Heinrich,Luján,,,D
General Services Administration,500000,,S,,,,Heinrich,Luján,,,D
Indian Health Service,707000,,S,,,,Heinrich,,,,D
Air Force,810000,,S,,,,Heinrich,Luján,,,D
Indian Health Service,889000,,S,,,,Heinrich,,,,D
Forest Service,1000000,,S,,,,Heinrich,Luján,,,D
Department of Transportation,1250000,,S,,,,Heinrich,,,,D
Forest Service,1300000,,S,,,,Heinrich,Luján,,,D
Army,1300000,,S,,,,Heinrich,Luján,,,D
Department of Transportation,1500000,,S,,,,Heinrich,,,,D
Department of Transportation,1500000,,S,,,,Heinrich,Luján,,,D
Department of Transportation,2000000,,S,,,,Heinrich,Luján,,,D
Department of Transportation,2250000,,S,,,,Heinrich,,,,D
Air Force,2340000,,S,,,,Heinrich,Luján,,,D
Department of Transportation,2500000,,S,,,,Heinrich,Luján,,,D
Department of Transportation,2750000,,S,,,,Heinrich,Luján,,,D
Bureau of Land Management,3000000,,S,,,,Heinrich,,,,D
Department of Transportation,3500000,,S,,,,Heinrich,Luján,,,D
Department of Transportation,3500000,,S,,,,Heinrich,Luján,,,D
Department of Transportation,3500000,,S,,,,Heinrich,Luján,,,D
Air Force,5280000,,S,,,,Heinrich,Luján,,,D
Air Force,5568000,,S,,,,Heinrich,Luján,,,D
Air Force,5600000,,S,,,,Heinrich,Luján,,,D
Air Force,5976000,,S,,,,Heinrich,Luján,,,D
Air Force,40000000,,S,,,,Heinrich,Luján,,,D
Department of Education,148000,,S,,,,Heinrich,,,,D
Department of Labor,1073000,,S,,,,Heinrich,Luján,,,D
Department of Health & Human Services,1000000,,S,,,,Heinrich,Luján,,,D
Department of Health & Human Services,473000,,S,,,,Heinrich,Luján,,,D
Department of Health & Human Services,450000,,S,,,,Heinrich,Luján,,,D
Department of Health & Human Services,700000,,S,,,,Heinrich,Luján,,,D
Department of Health & Human Services,950000,,S,,,,Heinrich,Luján,,,D
Department of Health & Human Services,160000,,S,,,,Heinrich,Luján,,,D
Department of Health & Human Services,46000,,S,,,,Heinrich,Luján,,,D
Department of Education,1800000,,S,,,,Heinrich,Luján,,,D
Department of Education,750000,,S,,,,Heinrich,Luján,,,D
Department of Education,300000,,S,,,,Heinrich,Luján,,,D
Department of Education,4100000,,S,,,,Heinrich,Luján,,,D
Department of Education,2000000,,S,,,,Heinrich,Luján,,,D
Department of Education,343000,,S,,,,Heinrich,Luján,,,D
Department of Housing and Urban Development,2000000,,H,DeGette,,,Hickenlooper,,,,D
Department of Housing and Urban Development,3000000,,H,DeGette,,,Hickenlooper,,,,D
Department of Housing and Urban Development,1700000,,H,Crow,,,Hickenlooper,,,,D
Department of Health & Human Services,2000000,,H,DeGette,,,Hickenlooper,,,,D
Department of Health & Human Services,1000000,,H,Neguse,,,Hickenlooper,,,,D
Department of Health & Human Services,800000,,H,Perlmutter,,,Hickenlooper,,,,D
Department of Health & Human Services,100000,,H,DeGette,,,Hickenlooper,,,,D
Department of Education,1000000,,H,Neguse,,,Hickenlooper,,,,D
DOJ,125000,,S,,,,Hickenlooper,,,,D
Department of Housing and Urban Development,525000,,S,,,,Hickenlooper,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Hickenlooper,,,,D
Department of Housing and Urban Development,1400000,,S,,,,Hickenlooper,,,,D
Department of Housing and Urban Development,1455000,,S,,,,Hickenlooper,,,,D
Rural Development,7725000,,S,,,,Hickenlooper,,,,D
Rural Development,159999,,S,,,,Hickenlooper,,,,D
DOJ,987000,,S,,,,Hickenlooper,,,,D
DOJ,244000,,S,,,,Hickenlooper,,,,D
DOJ,784000,,S,,,,Hickenlooper,,,,D
Environmental Protection Agency,91000,,S,,,,Hickenlooper,,,,D
Department of Transportation,450000,,S,,,,Hickenlooper,,,,D
Environmental Protection Agency,600000,,S,,,,Hickenlooper,,,,D
Air Force,24726000,,S,,,,Hickenlooper,,,,D
Department of Health & Human Services,1500000,,S,,,,Hickenlooper,,,,D
Department of Health & Human Services,18000,,S,,,,Hickenlooper,,,,D
Department of Health & Human Services,321000,,S,,,,Hickenlooper,,,,D
Department of Education,285000,,S,,,,Hickenlooper,,,,D
Army Corps of Engineers (Civil),800000,,H/S,Case,,,Hirono,Schatz,,,D
Rural Development,896000,,H/S,Kahele,,,Hirono,Schatz,,,D
NASA,1000000,,S,,,,Hirono,Schatz,,,D
Animal and Plant Health Inspection Service,600000,,S,,,,Hirono,Schatz,,,D
NASA,80000,,S,,,,Hirono,Schatz,,,D
DOJ,340000,,H/S,Kahele,,,Hirono,,,,D
Department of Health & Human Services,100000,,H/S,Kahele,,,Hirono,Schatz,,,D
DOC,286000,,S,,,,Hirono,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Hirono,Schatz,,,D
Department of Housing and Urban Development,8495000,,S,,,,Hirono,Schatz,,,D
Department of Housing and Urban Development,10000000,,S,,,,Hirono,Schatz,,,D
DOJ,1500000,,S,,,,Hirono,,,,D
DOC,190000,,S,,,,Hirono,,,,D
Department of Energy,1000000,,S,,,,Hirono,,,,D
National Park Service,500000,,S,,,,Hirono,Schatz,,,D
Fish and Wildlife Service,634000,,S,,,,Hirono,Schatz,,,D
Department of Transportation,905000,,S,,,,Hirono,Schatz,,,D
Fish and Wildlife Service,924000,,S,,,,Hirono,Schatz,,,D
Navy,6220000,,S,,,,Hirono,,,,D
Air Force,8800000,,S,,,,Hirono,Schatz,,,D
Defense-Wide,19000000,,S,,,,Hirono,Schatz,,,D
Army,55500000,,S,,,,Hirono,Schatz,,,D
Navy,64500000,,S,,,,Hirono,Schatz,,,D
Department of Labor,1000000,,S,,,,Hirono,,,,D
Department of Education,800000,,S,,,,Hirono,,,,D
Department of Education,500000,,S,,,,Hirono,,,,D
Department of Education,500000,,S,,,,Hirono,,,,D
Department of Education,500000,,S,,,,Hirono,,,,D
Department of Education,98000,,S,,,,Hirono,,,,D
Department of Education,1000000,,S,,,,Hirono,,,,D
Department of Health & Human Services,560000,,S,,,,Hirono,Schatz,,,D
Department of Health & Human Services,250000,,S,,,,Hirono,Schatz,,,D
Department of Education,400000,,S,,,,Hirono,Schatz,,,D
Department of Education,1147000,,S,,,,Hirono,Schatz,,,D
DOC,5000000,,S,,,,Hyde-Smith,Wicker,,,R
DOC,2000000,,S,,,,Hyde-Smith,Wicker,,,R
Army Corps of Engineers (Civil),7000000,,S,,,,Hyde-Smith,Wicker,,,R
Small Business Administration,743000,MS,H/S,Kelly,,,Hyde-Smith,Wicker,,,D
Department of Transportation,250000,,H/S,Palazzo,,,Hyde-Smith,Wicker,,,R
Environmental Protection Agency,2000000,,H/S,Palazzo,,,Hyde-Smith,,,,R
Army NG,15500000,,H/S,Palazzo,,,Hyde-Smith,Wicker,,,R
Department of Health & Human Services,5400000,,H/S,Palazzo,,,Hyde-Smith,,,,R
Department of Health & Human Services,315000,,H/S,Guest,,,Hyde-Smith,Wicker,,,R
Department of Housing and Urban Development,815000,,S,,,,Hyde-Smith,,,,R
Department of Housing and Urban Development,1000000,,S,,,,Hyde-Smith,,,,R
DOJ,600000,,S,,,,Hyde-Smith,,,,R
DOJ,470000,,S,,,,Hyde-Smith,,,,R
DOC,4000000,,S,,,,Hyde-Smith,,,,R
Army Corps of Engineers (Civil),2500000,,S,,,,Hyde-Smith,,,,R
Army Corps of Engineers (Civil),12900000,,S,,,,Hyde-Smith,,,,R
Small Business Administration,650000,,S,,,,Hyde-Smith,,,,R
Forest Service,1000000,,S,,,,Hyde-Smith,,,,R
Forest Service,1000000,,S,,,,Hyde-Smith,,,,R
Department of Transportation,1000000,,S,,,,Hyde-Smith,,,,R
Small Business Administration,1500000,,S,,,,Hyde-Smith,,,,R
Small Business Administration,2000000,,S,,,,Hyde-Smith,,,,R
Department of Transportation,2400000,,S,,,,Hyde-Smith,,,,R
Department of Transportation,2500000,,S,,,,Hyde-Smith,,,,R
Department of Transportation,3897000,,S,,,,Hyde-Smith,,,,R
Environmental Protection Agency,4000000,,S,,,,Hyde-Smith,Wicker,,,R
Department of Transportation,4000000,,S,,,,Hyde-Smith,Wicker,,,R
Department of Transportation,4500000,,S,,,,Hyde-Smith,,,,R
Department of Transportation,5000000,,S,,,,Hyde-Smith,,,,R
Defense-Wide,11155000,,S,,,,Hyde-Smith,Wicker,,,R
National Archives and Records Administration,20000000,,S,,,,Hyde-Smith,,,,R
Defense-Wide,34500000,,S,,,,Hyde-Smith,Wicker,,,R
Department of Labor,1000000,,S,,,,Hyde-Smith,,,,R
Department of Labor,1000000,,S,,,,Hyde-Smith,,,,R
Department of Health & Human Services,2761000,,S,,,,Hyde-Smith,,,,R
Department of Health & Human Services,4238000,,S,,,,Hyde-Smith,,,,R
Department of Health & Human Services,75000,,S,,,,Hyde-Smith,,,,R
Department of Health & Human Services,46000,,S,,,,Hyde-Smith,,,,R
Department of Health & Human Services,3598000,,S,,,,Hyde-Smith,,,,R
Department of Health & Human Services,731000,,S,,,,Hyde-Smith,,,,R
Department of Health & Human Services,800000,,S,,,,Hyde-Smith,,,,R
Department of Health & Human Services,2340000,,S,,,,Hyde-Smith,,,,R
Department of Health & Human Services,5700000,,S,,,,Hyde-Smith,,,,R
Department of Health & Human Services,7900000,,S,,,,Hyde-Smith,,,,R
Department of Health & Human Services,6000000,,S,,,,Hyde-Smith,,,,R
Department of Health & Human Services,1620000,,S,,,,Hyde-Smith,,,,R
Department of Health & Human Services,647000,,S,,,,Hyde-Smith,,,,R
Department of Education,354000,,S,,,,Hyde-Smith,,,,R
Department of Education,1000000,,S,,,,Hyde-Smith,,,,R
Department of Education,2000000,,S,,,,Hyde-Smith,,,,R
Department of Education,150000,,S,,,,Hyde-Smith,,,,R
Department of Education,1448000,,S,,,,Hyde-Smith,,,,R
Department of Health & Human Services,3400000,,S,,,,Hyde-Smith,Wicker,,,R
Department of Health & Human Services,1300000,,S,,,,Hyde-Smith,Wicker,,,R
Department of Housing and Urban Development,1000000,,H,Cole,,,Inhofe,,,,R
Department of Health & Human Services,1910000,,H/S,"Cole, Bice",,,Inhofe,,,,R
Department of Education,850000,,H/S,Cole,,,Inhofe,,,,R
DOJ,4000000,,S,,,,Inhofe,,,,R
Animal and Plant Health Inspection Service,594000,,S,,,,Inhofe,,,,R
Environmental Protection Agency,300000,,S,,,,Inhofe,,,,R
Environmental Protection Agency,1000000,,S,,,,Inhofe,,,,R
Environmental Protection Agency,2000000,,S,,,,Inhofe,,,,R
Department of Transportation,3125000,,S,,,,Inhofe,,,,R
Department of Transportation,3125000,,S,,,,Inhofe,,,,R
Department of Transportation,3125000,,S,,,,Inhofe,,,,R
Department of Transportation,3125000,,S,,,,Inhofe,,,,R
Department of Transportation,3125000,,S,,,,Inhofe,,,,R
Department of Transportation,3125000,,S,,,,Inhofe,,,,R
Department of Transportation,3125000,,S,,,,Inhofe,,,,R
Department of Transportation,3125000,,S,,,,Inhofe,,,,R
Department of Transportation,3125000,,S,,,,Inhofe,,,,R
Department of Transportation,3125000,,S,,,,Inhofe,,,,R
Department of Transportation,3125000,,S,,,,Inhofe,,,,R
Department of Transportation,3125000,,S,,,,Inhofe,,,,R
Environmental Protection Agency,5000000,,S,,,,Inhofe,,,,R
Environmental Protection Agency,5000000,,S,,,,Inhofe,,,,R
Environmental Protection Agency,5000000,,S,,,,Inhofe,,,,R
Environmental Protection Agency,5000000,,S,,,,Inhofe,,,,R
Environmental Protection Agency,5000000,,S,,,,Inhofe,,,,R
Environmental Protection Agency,5000000,,S,,,,Inhofe,,,,R
Environmental Protection Agency,5000000,,S,,,,Inhofe,,,,R
Department of Transportation,5000000,,S,,,,Inhofe,,,,R
Department of Transportation,10000000,,S,,,,Inhofe,,,,R
Department of Health & Human Services,1000000,,S,,,,Inhofe,,,,R
Department of Health & Human Services,1000000,,S,,,,Inhofe,,,,R
Department of Health & Human Services,720000,,S,,,,Inhofe,,,,R
Department of Health & Human Services,866000,,S,,,,Inhofe,,,,R
DOJ,996000,,H,McEachin,,,Kaine,Warner,,,D
DOJ,199000,,S,,,,Kaine,Warner,,,D
DOJ,3588000,,S,,,,Kaine,Warner,,,D
DOC,300000,,S,,,,Kaine,Warner,,,D
DOJ,447000,,S,,,,Kaine,Warner,,,D
DOJ,488000,,S,,,,Kaine,Warner,,,D
Army Corps of Engineers (Civil),580000,,S,,,,Kaine,Warner,,,D
Department of Health & Human Services,1800000,VA,H,Scott,,,Kaine,Warner,,,D
Department of Housing and Urban Development,2900000,VA,H/S,Scott,,,Kaine,Warner,,,D
DOJ,3492000,VA,H,Scott,,,Kaine,,,,D
Department of Housing and Urban Development,1030000,,H,Wexton,,,Kaine,,,,D
Department of Transportation,1000000,,H,McEachin,,,Kaine,Warner,,,D
Department of Transportation,1995000,,H,Griffith,,,Kaine,Warner,,,R
Department of Transportation,2500000,,H,Luria,,,Kaine,Warner,,,D
Department of Labor,400000,,H,Connolly,,,Kaine,,,,D
Department of Health & Human Services,2000000,,H,Connolly,,,Kaine,Warner,,,D
Department of Health & Human Services,1000000,,H,Spanberger,,,Kaine,Warner,,,D
Department of Education,400000,,H,McEachin,,,Kaine,Warner,,,D
Department of Housing and Urban Development,1000000,,H/S,Spanberger,,,Kaine,Warner,,,D
Environmental Protection Agency,422000,,H/S,Luria,,,Kaine,Warner,,,D
DOJ,1483000,,S,,,,Kaine,,,,D
DOJ,742000,,S,,,,Kaine,,,,D
Department of Housing and Urban Development,500000,,S,,,,Kaine,Warner,,,D
Department of Housing and Urban Development,1015000,,S,,,,Kaine,,,,D
Department of Housing and Urban Development,1700000,,S,,,,Kaine,Warner,,,D
Rural Development,50000,,S,,,,Kaine,,,,D
National Park Service,500000,,S,,,,Kaine,Warner,,,D
Small Business Administration,800000,,S,,,,Kaine,Warner,,,D
Department of Transportation,1000000,,S,,,,Kaine,Warner,,,D
Department of Transportation,1500000,,S,,,,Kaine,,,,D
Department of Transportation,2000000,,S,,,,Kaine,Warner,,,D
Environmental Protection Agency,2300000,,S,,,,Kaine,Warner,,,D
Environmental Protection Agency,2500000,,S,,,,Kaine,Warner,,,D
Environmental Protection Agency,3600000,,S,,,,Kaine,Warner,,,D
Department of Transportation,3969000,,S,,,,Kaine,Warner,,,D
Department of Transportation,5000000,,S,,,,Kaine,Warner,,,D
Department of Transportation,6000000,,S,,,,Kaine,,,,D
Department of Education,620000,,S,,,,Kaine,,,,D
Department of Labor,850000,,S,,,,Kaine,Warner,,,D
Department of Health & Human Services,2500000,,S,,,,Kaine,Warner,,,D
Department of Health & Human Services,1000000,,S,,,,Kaine,Warner,,,D
Department of Education,5100000,,S,,,,Kaine,Warner,,,D
Army Corps of Engineers (Civil),100000,,H/S,O'Halleran,,,Kelly,Sinema,,,D
Army Corps of Engineers (Civil),100000,,H/S,Kirkpatrick,,,Kelly,Sinema,,,D
Army Corps of Engineers (Civil),500000,,H/S,O'Halleran,,,Kelly,Sinema,,,D
Rural Development,2000000,,H/S,O'Halleran,,,Kelly,Sinema,,,D
DOJ,1778000,,S,,,,Kelly,Sinema,,,D
DOJ,715000,,S,,,,Kelly,Sinema,,,D
DOJ,246000,,S,,,,Kelly,Sinema,,,D
DOJ,140000,,S,,,,Kelly,Sinema,,,D
Army Corps of Engineers (Civil),100000,,S,,,,Kelly,Sinema,,,D
Department of Housing and Urban Development,1000000,,H,Gallego,,,Kelly,,,,D
FEMA,187500,,H/S,O'Halleran,,,Kelly,Sinema,,,D
Department of Housing and Urban Development,300000,,H/S,Stanton,,,Kelly,Sinema,,,D
Department of Housing and Urban Development,750000,,H/S,Grijalva,,,Kelly,Sinema,,,D
Department of Housing and Urban Development,840000,,H/S,Gallego,,,Kelly,Sinema,,,D
Department of Housing and Urban Development,800000,,H/S,Kirkpatrick,,,Kelly,Sinema,,,D
Department of Health & Human Services,628000,,H/S,Kirkpatrick,,,Kelly,,,,D
Department of Health & Human Services,900000,,H/S,Grijalva,,,Kelly,Sinema,,,D
Department of Education,1000000,,H/S,"Grijalva, Kirkpatrick",,,Kelly,Sinema,,,D
FEMA,900000,,S,,,,Kelly,Sinema,,,D
Department of Transportation,2590000,,S,,,,Kelly,,,,D
Department of Transportation,1057000,,S,,,,Kelly,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Kelly,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Kelly,,,,D
Department of Transportation,293000,,S,,,,Kelly,,,,D
Forest Service,472000,,S,,,,Kelly,Sinema,,,D
General Services Administration,500000,,S,,,,Kelly,Sinema,,,D
Department of Transportation,500000,,S,,,,Kelly,,,,D
Forest Service,609000,,S,,,,Kelly,Sinema,,,D
Environmental Protection Agency,1000000,,S,,,,Kelly,Sinema,,,D
Department of Transportation,1200000,,S,,,,Kelly,,,,D
Environmental Protection Agency,2000000,,S,,,,Kelly,,,,D
Environmental Protection Agency,2000000,,S,,,,Kelly,Sinema,,,D
Forest Service,3500000,,S,,,,Kelly,Sinema,,,D
Navy,29300000,,S,,,,Kelly,Sinema,,,D
Department of Health & Human Services,700000,,S,,,,Kelly,,,,D
Department of Health & Human Services,5000000,,S,,,,Kelly,,,,D
Department of Health & Human Services,6000000,,S,,,,Kelly,,,,D
Department of Health & Human Services,105000,,S,,,,Kelly,Sinema,,,D
Department of Health & Human Services,116000,,S,,,,Kelly,Sinema,,,D
Department of Health & Human Services,8000000,,S,,,,Kelly,Sinema,,,D
Department of Health & Human Services,160000,,S,,,,Kelly,Sinema,,,D
Department of Education,1519000,,S,,,,Kelly,Sinema,,,D
DOC,990000,,H,Pingree,,,King,,,,D
Department of Housing and Urban Development,325000,,H/S,Pingree,,,King,,,,D
Rural Development,450000,,H/S,Pingree,,,King,,,,D
Environmental Protection Agency,1410000,,H/S,Pingree,,,King,,,,D
Department of Health & Human Services,300000,,H/S,Golden,,,King,,,,D
DOC,1000000,,S,,,,King,,,,I
DOC,650000,,S,,,,King,,,,I
FEMA,883000,,S,,,,King,,,,I
Department of Housing and Urban Development,514000,,S,,,,King,,,,I
Department of Housing and Urban Development,1000000,,S,,,,King,,,,I
Department of Housing and Urban Development,1000000,,S,,,,King,,,,I
Department of Housing and Urban Development,1456000,,S,,,,King,,,,I
Rural Development,56000,,S,,,,King,,,,I
Rural Development,23000,,S,,,,King,,,,I
DOC,89000,,S,,,,King,,,,I
DOJ,658000,,S,,,,King,,,,I
Environmental Protection Agency,120000,,S,,,,King,,,,I
Environmental Protection Agency,550000,,S,,,,King,,,,I
Small Business Administration,632000,,S,,,,King,,,,I
Department of Labor,750000,,S,,,,King,,,,I
Department of Labor,567000,,S,,,,King,,,,I
Department of Health & Human Services,1000000,,S,,,,King,,,,I
Department of Health & Human Services,2000000,,S,,,,King,,,,I
Department of the Interior,12694000,,S,,,,Klobuchar,Rounds,Smith,Thune,D
Rural Development,3210000,,H,Craig,,,Klobuchar,Smith,,,D
Rural Development,5576250,,H,Stauber,,,Klobuchar,Smith,,,R
DOJ,2000000,,H,McCollum,,,Klobuchar,Smith,,,D
Army Corps of Engineers (Civil),500000,,H/S,McCollum,,,Klobuchar,Smith,,,D
DOJ,500000,,H/S,Phillips,,,Klobuchar,Smith,,,D
DOJ,1500000,,S,,,,Klobuchar,Smith,,,D
DOJ,750000,,S,,,,Klobuchar,Smith,,,D
DOJ,300000,,S,,,,Klobuchar,Smith,,,D
Rural Development,418000,,S,,,,Klobuchar,Smith,,,D
Rural Development,157000,,S,,,,Klobuchar,Smith,,,D
Rural Development,975000,,S,,,,Klobuchar,Smith,,,D
