Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Wyoming,01/04/2021,3500,3500
Alabama,12/28/2020,29100,29100
Alaska,12/28/2020,0,0
American Samoa,12/28/2020,0,0
Arizona,12/28/2020,41300,41300
Arkansas,12/28/2020,17700,17700
California,12/28/2020,232300,232300
Chicago,12/28/2020,16200,16200
Colorado,12/28/2020,33000,33000
Connecticut,12/28/2020,21900,21900
Delaware,12/28/2020,5800,5800
District of Columbia,12/28/2020,4400,4400
Federal Entities,12/28/2020,100000,100000
Florida,12/28/2020,127100,127100
Georgia,12/28/2020,60200,60200
Guam,12/28/2020,0,0
Hawaii,12/28/2020,8700,8700
Idaho,12/28/2020,9700,9700
Illinois,12/28/2020,60300,60300
Indiana,12/28/2020,39200,39200
Iowa,12/28/2020,18600,18600
Kansas,12/28/2020,17000,17000
Kentucky,12/28/2020,26500,26500
Louisiana,12/28/2020,27500,27500
Maine,12/28/2020,8400,8400
Mariana Islands,12/28/2020,0,0
Marshall Islands,12/28/2020,0,0
Maryland,12/28/2020,36000,36000
Massachusetts,12/28/2020,42100,42100
Michigan,12/28/2020,60000,60000
Micronesia,12/28/2020,0,0
Minnesota,12/28/2020,32900,32900
Mississippi,12/28/2020,17600,17600
Missouri,12/28/2020,36400,36400
Montana,12/28/2020,6400,6400
Nebraska,12/28/2020,11200,11200
Nevada,12/28/2020,17400,17400
New Hampshire,12/28/2020,8400,8400
New Jersey,12/28/2020,53400,53400
New Mexico,12/28/2020,12500,12500
New York,12/28/2020,68000,68000
New York City,12/28/2020,51600,51600
North Carolina,12/28/2020,60800,60800
North Dakota,12/28/2020,4600,4600
Ohio,12/28/2020,69700,69700
Oklahoma,12/28/2020,22900,22900
Oregon,12/28/2020,25000,25000
Palau,12/28/2020,0,0
Pennsylvania,12/28/2020,68700,68700
Philadelphia,12/28/2020,9500,9500
Puerto Rico,12/28/2020,20900,20900
Rhode Island,12/28/2020,6600,6600
South Carolina,12/28/2020,29900,29900
South Dakota,12/28/2020,5100,5100
Tennessee,12/28/2020,39800,39800
Texas,12/28/2020,159100,159100
U.S. Virgin Islands,12/28/2020,700,700
Utah,12/28/2020,16600,16600
Vermont,12/28/2020,4000,4000
Virginia,12/28/2020,50600,50600
Washington,12/28/2020,44300,44300
West Virginia,12/28/2020,11300,11300
Wisconsin,12/28/2020,34900,34900
Wyoming,12/28/2020,3500,3500
Alabama,12/21/2020,84300,84300
Alaska,12/21/2020,26800,26800
American Samoa,12/21/2020,2400,0
Arizona,12/21/2020,119400,119400
Arkansas,12/21/2020,51100,51100
California,12/21/2020,672600,672600
Chicago,12/21/2020,46800,46800
Colorado,12/21/2020,95600,95600
Connecticut,12/21/2020,63300,63300
Delaware,12/21/2020,16700,16700
District of Columbia,12/21/2020,12600,12600
Federal Entities,12/21/2020,298200,289200
Florida,12/21/2020,367900,367900
Georgia,12/21/2020,174400,174400
Guam,12/21/2020,7600,0
Hawaii,12/21/2020,25000,25000
Idaho,12/21/2020,28000,28000
Illinois,12/21/2020,174600,174600
Indiana,12/21/2020,113300,113300
Iowa,12/21/2020,53800,53800
Kansas,12/21/2020,49100,49100
Kentucky,12/21/2020,76700,76700
Louisiana,12/21/2020,79500,79500
Maine,12/21/2020,24200,24200
Mariana Islands,12/21/2020,2600,0
Marshall Islands,12/21/2020,7200,0
Maryland,12/21/2020,104300,104300
Massachusetts,12/21/2020,121900,121900
Michigan,12/21/2020,173600,173600
Micronesia,12/21/2020,9800,0
Minnesota,12/21/2020,94900,94900
Mississippi,12/21/2020,50800,50800
Missouri,12/21/2020,105300,105300
Montana,12/21/2020,18300,18300
Nebraska,12/21/2020,32400,32400
Nevada,12/21/2020,50300,50300
New Hampshire,12/21/2020,24200,24200
New Jersey,12/21/2020,154500,154500
New Mexico,12/21/2020,36100,36100
New York,12/21/2020,196800,196800
New York City,12/21/2020,149400,149400
North Carolina,12/21/2020,175900,175900
North Dakota,12/21/2020,13200,13200
Ohio,12/21/2020,201900,201900
Oklahoma,12/21/2020,66200,66200
Oregon,12/21/2020,72100,72100
Palau,12/21/2020,2800,0
Pennsylvania,12/21/2020,198800,198800
Philadelphia,12/21/2020,27600,27600
Puerto Rico,12/21/2020,60400,60400
Rhode Island,12/21/2020,19000,19000
South Carolina,12/21/2020,86400,86400
South Dakota,12/21/2020,14600,14600
Tennessee,12/21/2020,115200,115200
Texas,12/21/2020,460500,460500
U.S. Virgin Islands,12/21/2020,1900,1900
Utah,12/21/2020,47800,47800
Vermont,12/21/2020,11400,11400
Virginia,12/21/2020,146400,146400
Washington,12/21/2020,128000,128000
West Virginia,12/21/2020,32600,32600
Wisconsin,12/21/2020,101000,101000
Wyoming,12/21/2020,10000,10000
