License No ,Name,Address,City,State,Zip,Expires,WC Carrier,WC Exp Date,Bond Issuer,Bond Eff Date
TA000216468,Screen Artists Agency LLC,16505 Arminta Street,Van Nuys,CA,91406,4/24/20,,,Hartford Fire Insurance Company,3/8/06
TA000216481,Fast Solutions Inc  dba BETWIXT TALENT,1110 Rose Avenue,Venice,CA,90291,1/22/20,,,The Hartford Fire,2/20/19
TA000216491,"Frank Elliot Shapiro Talent Agency, LLC",5522 Lemona Avenue,Sherman Oaks,CA,91411,4/15/20,,,Western Surety Company,2/4/15
TA000216509,Wrenn Management LLC,7805 Sunset Blvd.  #211,Los Angeles,CA,90046,5/5/20,,,Surety1,5/15/19
TA000216757,"Bienstock LLC  dba Bienstock, A United Talent Agen","888 7th Avenue, Suite 913",New York,NY,10106,3/10/20,Federal Insurance Company,1/1/20,Travelers,3/23/17
TA000216766,TGMA LLC,1645 North Vine Street PH 1002,Los Angeles,CA,90028,3/2/17,New York Marine and General Insurance,9/9/16,Hartford Fire Insurance Company,1/5/16
TA000216782,Firestarter Entertainment LLC  dba Firestarter Ent,4304 Wildwest Circle,Moorpark,CA,93021,4/20/17,,,Hartford Fire Insurance Company,5/7/14
TA000216826,Yuliya Rodriguez  dba JVC Talent Agency,11030 Ventura Blvd Suite 2,Studio City,CA,91604,2/15/20,,,Surety Bond,7/1/18
TA000216912,MMV LLC,4221 Wilshire Blvd Suite 290-3,Los Angeles,CA,90010,3/12/17,,,Hartford Fire Insurance Company,6/4/15
TA000216915,DGReps Inc,15906 Valley Vista Blvd,Encino,CA,91436,1/6/17,,,American Contractors Indemnity Company,4/1/13
TA000216934,"Stars, The Agency",23 Grant Avenue 4th Floor,San Francisco,CA,94108,5/19/17,Republic Indemnity,5/16/17,The Fidelity and Deposit Company of Maryland,2/9/11
TA000216967,Midwest Talent Management Inc,11211 Cohasset Street,Sun Valley,CA,91352,4/28/20,State Fund,8/1/20,The Hartford Fire Insurance,2/1/06
TA000216994,Paula McAfee  dba Starcraft Talent Agency,27525 Newhall Ranch Road Suite 7D 2nd Floor,Valencia,CA,91355,4/22/20,,,CitiBank,5/23/06
TA000216997,Eagle Eye Agency LLC,8600 Burton Way Unit 301,Los Angeles,CA,90048,1/15/18,STATE COMPENSATION INSURANCE FUND,4/16/18,HARTFORD FIRE INSURANCE COMPANY,3/27/15
TA000217004,Culinary Artists Agency Inc,13017 Woodbridge Street,Studio City,CA,91604,4/20/17,State Compensation Insurance Fund,1/1/17,Hartford Fire Insurance Company,5/20/11
TA000217036,Ken Lindner and Associates Inc,2029 Century Park East Suite 1000,Los Angeles,CA,90067,3/30/17,Hartford Accident & idem.,6/1/17,Old Republic Surety Company,3/31/04
TA000217097,Valentina Bolsakova Graham  dba ValMaur Talent Age,6671 Sunset Blvd Bldg 1585 Suite 108,Hollywood,CA,90028,4/20/18,,,HARTFORD FIRE INSURANCE COMPANY,3/5/08
TA000217128,AC Talent Agency LLC,8447 Wilshire Blvd PH,Beverly Hills,CA,90211,3/7/20,State Fund,5/6/19,Hartford Fire,9/10/18
TA000217129,"Stewart Talent Management LA, Inc","1601 Vine St., 6th Floor",Los Angeles,CA,90028,5/20/20,Hiscox,10/1/19,The Hartford,4/30/19
TA000217143,Factor Model Management LA Inc  dba Factor Women /,7250 Melrose Avenue Suite 4,Los Angeles,CA,90046,5/20/18,HARTFORD INSURANCE GROUP,4/6/18,HARTFORD FIRE INSURANCE COMPANY,4/30/15
TA000217152,Kim Lee Osgood  dba Zephyr Talent Agency,"418 Bamboo Lane, Ste. A",Los Angeles,CA,90012,4/21/20,,,SuretyBonds,4/6/19
TA000217154,Janet Elizabeth Rosenberg  dba Arrowhead Managemen,1140 Prospect Heights,Santa Cruz,CA,95065,3/9/17,,,Western Surety Company,10/13/14
TA000217177,Donna Lee Farrow & Teddy Jacobs  dba Blacktie Ente,13603 Marina Pointe Drive Unit D331,Marina Del Rey,CA,90292,3/16/19,,,Old Republic Surety Company,3/17/14
TA000217195,"Imperium7, LLC",5455 Wilshire Blvd Suite 1706,Los Angeles,CA,90036,1/16/17,State Compensation Ins Fund,9/1/16,Hartford Fire Insurance Company,2/20/06
TA000217234,Smith & Hervey / Grimes Talent Agency LLC,3002 Midvale Avenue Suite 206,Los Angeles,CA,90034,4/22/20,State Fund,5/1/19,Old Surety Group,5/6/18
TA000217241,Deborah DeOliveira / Lea Anne Wolfe  dba Crackerja,811 N Ontario St.,Burbank,CA,91505,3/30/20,,,Bonds Express,10/3/18
TA000217257,Mavrick Artists Agency Inc,"8447 Wilshire Blvd, Suite 301",Beverly Hills,CA,90211,6/28/20,Employers,3/9/20,Hartford Fire,11/30/16
TA000217276,David Belenzon Management Inc.,2067 First Avenue,San Diego,CA,92101,5/19/20,SCIF,2/1/20,Old Republic,5/14/18
TA000217365,"Brady, Brannon & Rich, LLC",5670 Wilshire Blvd Suite 820,Los Angeles,CA,90036,6/6/20,sequoia Ins,11/7/20,Platte River,12/27/18
TA000217372,"Model Agency Acquisition, Inc.  dba Ayers Talent A","11500 W. Olympic Blvd., Suite 400",Los Angeles,CA,90064,1/18/19,,,The Hartford Fire Insurance company,2/8/17
TA000217378,Prima Eastwest Model Mgmt  dba Q MODEL MANAGEMENT,8618 West Third Street,Los Angeles,CA,90068,3/21/20,Federal Insurance Co.,8/11/19,The Hartford Fire Insurance,10/1/18
TA000217380,Lloyd D Robinson  dba Suite A Management Talent & ,136 El Camino Drive Suite 410,Beverly Hills,CA,90212,6/23/20,,,Hanover,6/28/18
TA000217469,2020 Inc.,"468 N. Camden Dr., Suite 200",Beverly Hills,CA,90210,1/21/17,,,Hartford,4/18/16
TA000217474,Charlotte Gusay  dba The Charlotte Gusay Literary ,10532 Blythe Avenue,Los Angeles,CA,90064,6/9/20,,,Aegis,6/10/19
TA000217513,Stars Model Management,23 Grant Avenue 4th Floor,San Francisco,CA,94108,6/15/17,,,Fidelity and Deposit Company of Maryland,2/9/11
TA000217525,William Kerwin  dba William Kerwin Agency,1605 North Cahuenga Blvd Suite 202,Hollywood,CA,90028,6/27/20,,,American Contractors indemnity company,3/20/06
TA000217618,AKA Talent Agency,"4525 Wilshire Boulevard, Suite 280",Los Angeles,CA,90010,4/22/20,Great Divide Insurance Co.,6/1/19,Western Surety Company,4/15/19
TA000217677,"Maria Matias Music, Inc.  dba Maria Matias Music",28182 Robinson Canyon Road,Carmel,CA,93923,4/9/20,State Fund,9/1/20,Old Republic,8/1/18
TA000217683,Aruni Sasasmith Blount  dba The Empowered Artist,717 Pine Avenue,Long Beach,CA,90813,3/30/20,,,Surety1,4/21/19
TA000217723,"Angelika Schubert, Inc.  dba Celestine","7250 Melrose Avenue, Suite 6",Los Angeles,CA,90046,3/31/19,AM TRUST,10/10/18,SuretyBond1,3/31/18
TA000217743,"Exclusive Artists Mgmt, Inc.",7700 West Sunset Blvd Suite 205,Los Angeles,CA,90046,6/23/20,Acord,12/30/19,Tokio Marine,11/17/18
TA000217764,"Magdalena Talent, Inc.  dba Magdalena Talent / Mag",1600 Rosecrans Ave,Manhattan Beach,CA,90266,4/12/17,American Casualty Company of Redding PA,6/30/16,Elite Contrac,1/17/16
TA000217765,deRossi Ellis and Hubbard Network Media Group LLC ,117 E Colorado Blvd Suite 600,Pasadena,CA,91105,4/27/20,Employers Preferred Ins. Co.,3/22/20,The Hartford Fire Insurance Company,5/26/16
TA000217778,"L.A. Models, Inc.",7700 Sunset Blvd,Los Angeles,CA,90046,5/22/17,State Compensation Ins Fund,12/30/16,American Contractors Indemnity Company,5/13/16
TA000217780,"Reign Agency, LLC",400 South Beverly Drive Suite 250,Beverly Hills,CA,90212,5/1/20,,,HARTFORD FIRE,11/16/18
TA000217787,"Del Entertainment, Inc.",6400 Garfield Ave,Bell Gardens,CA,90201,1/13/20,American Insurance Company,1/19/19,Tokio Marine HCC,6/29/18
TA000217805,Z Entertainment Group,4721 Laurel Canyon Boulevard,Valley Village,CA,91607,5/12/20,,,CNA,5/1/19
TA000217819,The Brogan Agency LLC,1517 Park Row,Venice,CA,90291,4/1/20,State Fund,7/17/20,Surety1,7/11/12
TA000217833,"Commercials Unlimited, Inc.",10300 Wilshire Blvd.,Los Angeles,CA,90024,6/30/20,,,The hartford,2/13/18
TA000218082,"Be Social Public Relations, LLC",143 South Cedros Ave B203,Solana Beach,CA,92075,12/19/16,StateFarm,1/10/17,PLATTE RIVER INSURANCE COMPANY,8/2/16
TA000218233,Sean Cawley  dba CAWLEYWOOD,304 Holly St.,Laguna Beach,CA,92651,8/7/16,,,American Contractors Indemnity Company,6/1/16
TA000218258,"Hussie Models, LLC",8939 Sepulveda Blvd Suite 102,Los Angeles,CA,90045,1/1/20,,,The Hartford Fire Insurance,11/14/14
TA000218333,Phillip L. Hawkins  dba Pittmobile Talent Agency,"1800 Vine Street, #334",Hollywood,CA,90028,6/18/20,,,Western Surety Company,3/12/19
TA000218839,"Cactus Creatives Los Angeles, LLC","1436 North Martel Ave, #212",Los Angeles,CA,90046,4/12/17,,,International fidelity Insurance Company,5/16/16
TA000218843,"William Morris Endeavor Entertainment, LLC  dba En","9601 Wilshire Blvd., 3rd Floor",Beverly Hills,CA,90210,5/4/20,Firemans Fund Insurance Company,8/10/19,Hartford Fire,5/6/19
TA000219013,Linda McAlister Talent LLC,4218 Santa Monica Boulevard,Los Angeles,CA,90029,6/26/20,State Fund,4/26/20,Surety 1,8/10/19
TA000219055,"Wunder International, LLC  dba WUNDER MANAGEMENT",332 S Beverly Dr,Beverly Hills,CA,90212,3/6/17,,,SureTec Insurance Company,9/24/10
TA000219207,360 Models LLC,7106 Owensmouth Ave  ( Rear Unit ),Canoga Park,CA,91303,7/19/18,,,Surety Bonds,9/12/15
TA000219350,"Wasserman Media Group, LLC",10900 Wilshire Blvd. Suite 1200,Los Angeles,CA,90024,3/26/20,Pacific Indem,1/1/20,Hartford Fire,4/29/19
TA000219354,Jason Lee Record  dba The Paradise Group Talent Ag,8283 1/4 B Santa Monica Blvd,West Hollywood,CA,90046,7/31/18,,,Surety 1,9/15/16
TA000219609,"Scott & Ann Inc, and Salners Industries Inc. a Gen",6100 Wilshire Blvd Suite 1500,Los Angeles,CA,90048,8/16/20,ACE American,10/1/19,,
TA000219675,OSCAR P. GRANT  dba MLH LITERARY AND TALENT AGENCY,"8939 S. Sepulveda Blvd., Ste 110-142",Los Angeles,CA,90045,3/4/20,,,Hartford Fire Insurance Company,5/5/06
TA000219680,Krengel Spamer Vance LLC  dba Domain,"1880 Century Park East, Suite 1100",Los Angeles,CA,90069,5/23/20,American Automobile Insurance,4/20/20,"Accredited Surety And Casualty Company, Inc.",3/16/06
TA000219746,"JACK LIPPMAN AGENCY, INC.  dba JLA (Jack Lippman A",9151 SUNSET BLVD,WEST HOLLYWOOD,CA,90069,6/13/17,,,WESTERN SURETY COMPANY,3/27/02
TA000219749,RON TERMEFOROOSH  dba Siona Entertainment,14724 VENTURA BLVD PH,SHERMAN OAKS,CA,91403,1/31/18,,,WESTERN SURETY COMPANY,5/6/11
TA000219754,"FORTRESS TALENT MANAGEMENT, INC.","23901 CALABASAS ROAD,  SUITE 2016",CALABASAS,CA,91302,4/15/20,Evanston Insurance Company,4/21/20,CNA Surety,5/7/15
TA000219770,"LIBERTALIA ENTERTAINMENT, LLC",18627 BROOKHURST STREET #396,FOUNTAIN VALLEY,CA,92708,3/6/17,,,HARTFORD FIRE INSURANCE COMPANY,3/6/06
TA000219776,Jacqueline Michelle Sale  dba S5 Talent,"8484 Wilshire Blvd, Ste 515",Beverly Hills,CA,91316,5/20/18,,,THE HARTFORD FIRE INSURANCE COMPANY,5/22/14
TA000219779,"DIVA CENTRAL, INC.  dba DIVA CENTRAL TALENT AGENCY","7190 W. Sunset Boulevard, #1445",LOS ANGELES,CA,90046,4/1/20,,,Hartford Fire Insurance,2/1/07
TA000219797,"Amsel, Eisenstadt & Frazier A Talent & Literary Ag","5055 Wilshire Blvd., #865",Los Angeles,CA,90036,4/14/20,Sequoia Insur,5/1/20,Gray Casualty,4/14/19
TA000219799,Mannequin Models,7912 Northlake Dr #105,Huntington Beach,CA,92647,4/2/20,,,Surety1,4/15/19
TA000219810,Tiffany Ann Gonzalez  dba Connected Actors Agency,7371 Fountain Ave Apt 304,Los Angeles,CA,90046,1/23/18,,,WESTERN SURETY COMPANY,10/20/16
TA000219844,"Paloma Model & Talent, Inc.","1600 Rosecrans Avenue, Media Center, 4th Floor",Manhattan Beach,CA,90266,6/12/20,State Comp IF,4/25/20,Advanced Sure,10/3/18
TA000219876,David Thomas Style,"10866 Wilshire Blvd, Ste. 650",Los Angeles,CA,90024,9/24/17,The Hartford,8/19/17,Surety Bonds,6/14/16
TA000219881,"BRUSHED, INC.",690 E. LADERA STREET,PASADENA,CA,91104,4/6/17,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,4/8/15
TA000219886,"THE BLACKWELL FILES, LLC.",3178 17TH STREET UNIT 3,SAN FRANCISCO,CA,94110,10/4/17,STATE COMPENSATION INSURANCE FUND,3/8/18,RLI Insurance,3/16/16
TA000219893,MARY KATHARINE MAYER  dba ANGEL CITY TALENT,8318 KIRKWOOD DRIVE,LOS ANGELES,CA,90046,5/18/20,,,Surety1,5/1/21
TA000219938,"COLLIDE AGENCY, LLC",5514 WILSHIRE BLVD FL 9,LOS ANGELES,CA,90036,4/17/17,RATED BY MULTIPLE COMPANIES,6/1/16,OLD REPUBLIC SURETY COMPANY,11/24/14
TA000219945,MARGARET ROIPHE AKA MAGGIE ROIPHE  dba MAGGIE ROIP,1721 SOUTH GARTH AVENUE,LOS ANGELES,CA,90035,5/17/20,SCIF,3/1/20,United Surety,1/28/19
TA000219951,Christina Price  dba Worldwide Artists Group,1999 Avenue of the Stars Suite #1100,Los Angeles,CA,90067,4/20/20,,,Western Suret,3/27/19
TA000219952,"CUNNINGHAM, ESCOTT, DIPENE AND ASSOCIATES, INC.  d",10635 SANTA MONICA BLVD #130,LOS ANGELES,CA,90025,6/15/20,State Compens,7/1/19,State Farm,6/7/19
TA000219959,BARBARA ANN RUNGE  dba Vibe Entertainment,338 WESTBROOK PLACE,COSTA MESA,CA,92626,6/9/20,,,The Gray Casu,5/9/19
TA000219972,LOOK MODEL AGENCY,333 Bryant St Suite 370,SAN FRANCISCO,CA,94107,6/5/20,Rebublic Indemnity Company of California,1/1/20,IFIS,6/5/19
TA000220077,"KEEP PRODUCTIONS, INC.","4605 LANKERSHIM BLVD, STE 200",NORTH HOLLYWOOD,CA,91602,3/28/17,,,HARTFORD FIRE INSURANCE COMPANY,8/13/12
TA000220085,"MCDONALD-SELZNICK ASSOCIATES, INC.","3575 Cahuenga Boulevard, #390",Los Angeles,CA,90068,6/22/20,OneBeacon,2/9/20,HCC Surety,9/1/18
TA000220144,LA SIERRA PROMOTIONS INC.,8628 VAN NUYS BLVD,PANORAMA CITY,CA,91402,6/11/20,,,CNA Surety,1/5/17
TA000220151,JANE RACHAEL SCHULMAN  dba VESTA TALENT AGENCY,"1600 ROSECRANS AVENUE, 7th Floor",MANHATTAN BEACH,CA,90266,4/2/20,,,Surety 1,7/19/18
TA000220168,"ROBERT EATMAN ENTERPRISES, INC.",917 Corsica Drive,Pacific Palisades,CA,90272,5/14/20,,,The Hartford Fire Insurance,4/8/19
TA000220187,"SOLID TALENT, INC.","22222 SHERMAN WAY, STE. 102",CANOGA PARK,CA,91303,5/28/17,STATE COMPENSATION INSURANCE FUND,9/1/16,WESTERN SURETY COMPANY,6/20/03
TA000220204,"ROCKET SCIENCE TALENT, INC.","4500 PARK GRANADA BLVD., STE. 202",CALABASAS,CA,91302,6/2/20,"Technology Insurance Company, Inc.",1/1/20,The Hartford,8/5/19
TA000220214,GENESIS ARTISTS AGENCY,8383 WILSHIRE BLVD SUITE 345,BEVERLY HILLS,CA,90211,6/23/20,,,ACIC,7/1/15
TA000220454,"L. A. TALENT, INC.",7700 W. SUNSET BLVD,LOS ANGELES,CA,90046,4/28/20,ACORD,12/30/19,HCC,2/28/19
TA000220472,IEG Impression Entertainment Group  dba IEG IMPRES,"555 W. 5th Street, 35th Floor",Los Angeles,CA,90013,10/5/17,,,PLATTE RIVER INSURANCE COMPANY,8/26/14
TA000220539,PRODUCTION FIT MODELS LLC,"830 TRACTION AVENUE, SUITE 3A",LOS ANGELES,CA,90013,1/1/17,,,WESTERN SURETY COMPANY,1/25/14
TA000220546,"PACIFIC TALENT & MODELS, INC.",1600 ROSECRANS AVENUE  4TH FLOOR,MANHATTAN BEACH,CA,90266,4/24/17,,,SURETEC INSURANCE COMPANY,7/10/12
TA000220733,"Atlas Talent Agency/LA, Inc.","15 East 32nd Street, 6th Floor",New York,NY,10016,6/7/20,Indemnity,10/1/19,Merchants,4/9/19
TA000220796,David M. Patton Talent Agency,10065 E. Becker Lane,Scottsdale,AZ,85260,12/16/16,,,Hartford Fire,5/25/16
TA000220800,"Mother Jones, LLC",7119 W. Sunset Blvd. Ste. 203,Los Angeles,CA,90046,11/8/16,STATE FARM FIRE AND CASUALTY INSURANCE COMPANY,5/24/17,INTERNATIONAL FIDELITY INSURANCE COMPANY,6/1/16
TA000220869,Ring Monkey Promotions  dba Avail Talent,14608 Whitter Blvd.,Whittier,CA,90605,4/30/17,,,Hartford Fire Insurance Company,3/5/15
TA000221123,ENTERTAINMENT AMERICA AGENCY INC.,1093 HIGHLAND PARK,FALLBROOK,CA,92028,5/12/20,,,Old Republic Surety Company,10/8/18
TA000221146,DEBORAH ANN VIENA  dba MOXIE MODEL AND TALENT,111 W. OCEAN BLVD SUITE 400,LONG BEACH,CA,90802,6/23/17,,,AEGIS SECURITY INSURANCE COMPANY,6/24/15
TA000221158,"THE EMPIRE AGENCY, INC.",30077 AGOURA COURT SUITE 230,AGOURA HILLS,CA,91301,4/10/20,NY Marine,4/25/20,Nationwide,4/18/19
TA000221201,"YOUTH TALENT CONNECTION, INC.",17332 IRVINE BLVD #230,TUSTIN,CA,92780,5/9/20,,,Great America,8/10/18
TA000221229,MJB TALENT AGENCY LLC,7449 MELROSE AVENUE SUITE #6,LOS ANGELES,CA,90046,3/22/19,,,American Contractors Indemnity,4/9/19
TA000221319,"PRESTIGIOUS MODELS, INC.",11101 CONDOR AVENUE,FOUNTAIN VALLEY,CA,92708,5/28/17,,,AEGIS SECURITY INSURANCE COMPANY,5/15/16
TA000221375,KAREN RENNA  dba KAREN RENNA & ASSOCIATES,1320 RUBERTA AVENUE,GLENDALE,CA,91201,6/20/20,,,Aegis Security Insurance company,1/13/19
TA000221388,"MCHUGO ARTISTS AGENCY, LTD.","6912 Owensmouth Avenue, Suite 101",Canoga Park,CA,91303,6/3/20,Technology Insurance Company,6/1/19,Surety1,6/7/19
TA000221416,"SPECIAL ARTISTS AGENCY, INC.",9200 SUNSET BLVD STE 1170,WEST HOLLYWOOD,CA,90069,6/25/20,Hiscox Insur,5/12/19,The Hartford,3/28/19
TA000221519,"THE BEDDINGFIELD COMPANY, INC.",13600 VENTURA BLVD #B,SHERMAN OAKS,CA,91423,6/3/20,State Comp In,10/1/19,The Gray Casualty & Surety Company,4/26/19
TA000221521,"COAST TO COAST TALENT GROUP, INC.",3350 BARHAM BLVD,LOS ANGELES,CA,90068,6/7/20,Acord,3/5/20,Surety1,6/1/18
TA000221547,"Organic Talent, LLC","1016 Wilcox Ave., Ste. 9",Los Angeles,CA,90038,6/18/17,,,Edward Jones,11/17/15
TA000221558,JAIME FERRAR  dba JFA-Jaime Ferrar & Associates,"4370 Tujunga Avenue, Suite 335",Studio City,CA,91604,6/17/19,,,The Hartford,12/7/15
TA000221581,GRACE MARIAN CHAN  dba GRACE MODEL MANAGEMENT,"12400 Ventura Blvd., #421",Studio City,CA,91604,5/3/17,,,Hartford Fire Insurance Company,7/29/08
TA000221646,"WILD MODELS, INCORPORATED",269 S. BEVERLY DRIVE #217,BEVERLY HILLS,CA,90212,3/31/20,,,International Fidelity Insurance Company,8/1/09
TA000221658,CENTRAL ARTISTS INC.,"1023 North Hollywood Way, #102",BURBANK,CA,91505,7/26/20,State Fund,9/20/19,Old Republic Surety Company,6/30/18
TA000221687,DONALD LYLE FRANKEN & ANDREW LAWRENCE WOOLF  dba W,"5777 W. CENTURY BLVD, #1070",LOS ANGELES,CA,90045,4/26/20,,,The Gray Casualty & Surety Company,4/27/19
TA000221749,"Metropolitan Talent Agency, Inc.",6121 Sunset Boulevard,Los Angeles,CA,90028,6/10/20,,,CNA Surety,2/1/18
TA000221803,THE MINE AGENCY,6121 Sunset Blvd.,LOS ANGELES,CA,90028,4/3/20,,,Hartford fire insurance,5/1/16
TA000221804,"MOMENTUM TALENT & LITERARY AGENCY, INC.","3500 WEST OLIVE AVENUE, SUITE 300",BURANK,CA,91505,6/8/20,,,Surety1,5/18/19
TA000221818,DATTNER DISPOTO AND ASSOCIATES,"304 S. BROADWAY, SUITE 405",LOS ANGELES,CA,90013,7/17/20,OBI National,6/1/19,,
TA000221851,"#1 TALENT AGENCY, INC.","555 W. 5th Street, 34th Floor",LOS ANGELES,CA,90013,4/3/20,,,Old Republic Surety Company,8/19/19
TA000221913,"CINDY ROMANO MODELING AND TALENT AGENCY, INC.",73-101 HIGHWAY 111 SUITE #7,PALM DESERT,CA,92260,6/24/17,,,FIDELITY AND DEPOSIT COMPANY OF MARYLAND,1/10/06
TA000221939,"ARTISTRY  dba SHELDON PROSNIT AGENCY, LYONS SHELDO","800 S. ROBERTSON BLVD, SUITE 6",LOS ANGELES,CA,90035,5/16/20,Paychex,4/1/20,Surety 1,5/16/18
TA000221953,"Socialebs, LLC","3900 San Fernando RD, Suite 1013",Glendale,CA,91204,5/31/20,Hartford,11/1/19,WesternSurety,5/25/20
TA000222022,"Sherman Davis, Jr., Consulting and Management Grou",433 N. Camden Drive #400,Beverly Hills,CA,90210,5/1/17,,,GreatAmerican,8/31/16
TA000222025,"THE GORFAINE/SCHWARTZ AGENCY, INC.",4111 W. ALAMEDA AVENUE #509,BURBANK,CA,91505,4/15/20,NY Marine,11/20/19,Hartford Ins,4/15/18
TA000222033,"DTA AGENCY, LLC  dba DT MODEL MANAGEMENT",883 Westbourne Drive,West Hollywood,CA,90069,6/28/20,New York Marine and General Insurance Company,1/1/20,Washington International Insurance Company,7/12/12
TA000222052,"LEMON LIME AGENCY, INC.","3245 Casitas Ave., Suite 107",LOS ANGELES,CA,90039,6/19/20,Acord,1/1/20,Tokio Marine,3/14/19
TA000222116,"BOPPIE BOODAH, INC.  dba The Corsa Agency","11849 West Olympic Blvd., #100",LOS ANGELES,CA,90064,7/29/20,,,The Hartford,6/20/18
TA000222132,"ABRAMS ARTISTS AGENCY, INC.","750 N. SAN VICENTE BLVD, TOWER 11TH FLOOR",LOS ANGELES,CA,90069,7/13/19,New York Marine and General,7/28/18,Hartford Fire Insurance Company,7/12/06
TA000222145,DARREN JAY LEWIS,17328 VENTURA BLVD #428,ENCINO,CA,91316,6/13/20,,,ACIC,6/12/19
TA000222168,"The MDME Agency, LLC",7080 Hollywood Blvd. #1100,Los Angeles,CA,90028,5/22/17,Not applicabe,6/14/16,International Fedelity Insurance Company,5/23/16
TA000222178,RAYMOND A. CAVALERI  dba CAVALERI & ASSOCIATES TAL,3500 W. OLIVE AVE SUITE 300,BURBANK,CA,91505,1/16/20,,,The Hartford,1/16/19
TA000222182,"THE HAPPEN AGENCY, LLC",124 E Olive Ave,Burbank,CA,91502,1/17/20,,,Surety1,2/8/18
TA000222289,"ALLEGORY CREATIVE TALENT, LLC","13261 MOORPARK STREET, SUITE 103",SHERMAN OAKS,CA,91423,7/16/20,Employers,8/10/20,SureTec,8/1/17
TA000222295,VICKI ROBERTS AND ARTHUR ANDELSON  dba KISMET TALE,"3435 OCEAN PARK BLVD, SUITE 107",SANTA MONICA,CA,90405,7/2/20,,,Hartford Fire Insurance,7/2/17
TA000222366,"M MODEL MANAGEMENT, LLC  dba M MODEL MANAGEMENT",8113 MELROSE AVENUE #3,LOS ANGELES,CA,90046,7/4/20,,,The Hartford Fire Insurance,2/1/10
TA000222396,ALYCIA R. STARK  dba STARK TALENT,"12777 West Jefferson Boulevard, Bldg D, Suite 300",Los Angeles,CA,90066,8/3/20,,,Surety1,8/7/17
TA000222404,"FLICK EAST-WEST TALENTS, INC.",9057 NEMO STREET,WEST HOLLYWOOD,CA,90069,7/28/17,STATE COMPENSATION INSURANCE FUND,9/1/16,HARTFORD FIRE INSURANCE COMPANY,3/11/06
TA000222414,"Luciano Reeves Talent, Inc.","21700 Oxnard St., Suite 950",Woodland Hills,CA,91367,3/29/20,State Fund,1/20/20,SureTec,6/24/18
TA000222473,LYN BALDWIN  dba BALDWIN TALENT AGENCY,8055 W. MANCHESTER AVENUE #230,PLAYA DEL REY,CA,90293,5/9/20,,,The Hanover Insurance Company,1/1/19
TA000222491,ANNETTE VAN DUREN  dba Annette Van Duren Agency,3810 WILSHIRE BLVD #1906,LOS ANGELES,CA,90010,5/13/17,,,City National Bank,5/12/06
TA000222499,"CAST IMAGES MODEL & TALENT AGENCY, LLC",2530 J STREET STE 203,SACRAMENTO,CA,95816,6/16/20,State Fund,7/1/20,Old Republic,3/28/19
TA000222612,MARTA DAVIS  dba HOLLYWOOD -VANCOUVER-NEW YORK TAL,1010 WILSHIRE BLVD SUITE 910,LOS ANGELES,CA,90017,9/6/17,,,HARTFORD FIRE INSURANCE COMPANY,1/31/14
TA000222614,KATE WARD  dba THE WARD AGENCY,1617 N. EL CENTRO AVENUE - SUITE 25,HOLLYWOOD,CA,90028,7/24/20,,,Surety 1,8/15/18
TA000222616,"AMATRUDA BENSON & ASSOCIATES, INC.",433 N. CAMDEN DRIVE SUITE 400,BEVERLY HILLS,CA,90210,5/10/20,State Fund,7/1/19,Surety1,5/10/19
TA000222625,"JKA TALENT & LITERARY AGENCY, INC.",8033 SUNSET BLVD. SUITE 915,LOS ANGELES,CA,90046,6/4/20,,,"Surety1,",5/4/18
TA000222962,JIM LENNY & KIM LANG  dba JACK LENNY ASSOCIATES,9454 WILSHIRE BLVD SUITE 600,BEVERLY HILLS,CA,90212,5/6/20,,,The Gray Casualty and Surety Company,5/7/18
TA000223002,TANYA BRANNON  dba JKL Talent,"444 WEST OCEAN BLVD., STE. 800",LONG BEACH,CA,90802,2/15/18,,,WESTERN SURETY COMPANY,12/5/16
TA000223055,CRAIG ALLEN JONES  dba FILM THEATRE ACTORS EXCHANG,390 28TH AVENUE #3,SAN FRANCISCO,CA,94121,4/26/20,,,1/1/20,1/1/19
TA000223088,"CONCRETE BOOKING AGENCY, ltd.",141 Halstead ave Suite 4,Mamaroneck,NY,10543,11/3/20,,,Philadelphia Indemnity Insurance company,10/21/19
TA000223094,David J. Freedman & Jack Gaw  dba Hollywood View,5255 Veronica St.,Los Angeles,CA,90008,6/29/20,,,Gray Casualty,5/20/19
TA000223130,"PROST MARKETING, INC.",130 STANFORD DRIVE,SAN ANTONIO,TX,78212,7/27/19,,,SureTec Insurance company,5/12/18
TA000223140,"Salt Model & Talent Agency, LLC","11500 Olympic Blvd., Ste. 400",Los Angeles,CA,90064,7/13/17,,,Lexon Surety,6/22/16
TA000223151,NOEL JONATHAN PALM  dba ELEMENT TALENT AGENCY,201 N. Brand blvd. suite 200,Glendale,CA,91203,4/26/20,,,TOLMAN WIKER,4/27/19
TA000223212,"ROTHMAN/ANDRES ENTERTAINMENT, LLC",4400 COLDWATER CANYON AVENUE #235,STUDIO CITY,CA,91604,8/2/20,Travelers,4/3/20,Surety1,4/1/19
TA000223221,KRAFT-ENGEL MANAGEMENT  LLC  dba KRAFT-ENGEL MANAG,15233 VENTURA BLVD SUITE 200,SHERMAN OAKS,CA,91403,6/29/20,Great Divide,4/1/20,The Hartford,5/25/18
