"GEO_ID","id"
"S0101_C04_036M","Margin of Error!!Percent Male!!Total population!!SUMMARY INDICATORS!!Child dependency ratio"
"S0101_C04_037E","Estimate!!Percent Male!!Total population!!PERCENT ALLOCATED!!Sex"
"S0101_C04_037M","Margin of Error!!Percent Male!!Total population!!PERCENT ALLOCATED!!Sex"
"S0101_C04_038E","Estimate!!Percent Male!!Total population!!PERCENT ALLOCATED!!Age"
"S0101_C04_038M","Margin of Error!!Percent Male!!Total population!!PERCENT ALLOCATED!!Age"
"S0101_C05_001E","Estimate!!Female!!Total population"
"S0101_C05_001M","Margin of Error!!Female!!Total population"
"S0101_C05_002E","Estimate!!Female!!Total population!!AGE!!Under 5 years"
"S0101_C05_002M","Margin of Error!!Female!!Total population!!AGE!!Under 5 years"
"S0101_C05_003E","Estimate!!Female!!Total population!!AGE!!5 to 9 years"
"S0101_C05_003M","Margin of Error!!Female!!Total population!!AGE!!5 to 9 years"
"S0101_C05_004E","Estimate!!Female!!Total population!!AGE!!10 to 14 years"
"S0101_C05_004M","Margin of Error!!Female!!Total population!!AGE!!10 to 14 years"
"S0101_C05_005E","Estimate!!Female!!Total population!!AGE!!15 to 19 years"
"S0101_C05_005M","Margin of Error!!Female!!Total population!!AGE!!15 to 19 years"
"S0101_C05_006E","Estimate!!Female!!Total population!!AGE!!20 to 24 years"
"S0101_C05_006M","Margin of Error!!Female!!Total population!!AGE!!20 to 24 years"
"S0101_C05_007E","Estimate!!Female!!Total population!!AGE!!25 to 29 years"
"S0101_C05_007M","Margin of Error!!Female!!Total population!!AGE!!25 to 29 years"
"S0101_C05_008E","Estimate!!Female!!Total population!!AGE!!30 to 34 years"
"S0101_C05_008M","Margin of Error!!Female!!Total population!!AGE!!30 to 34 years"
"S0101_C05_009E","Estimate!!Female!!Total population!!AGE!!35 to 39 years"
"S0101_C05_009M","Margin of Error!!Female!!Total population!!AGE!!35 to 39 years"
"S0101_C05_010E","Estimate!!Female!!Total population!!AGE!!40 to 44 years"
"S0101_C05_010M","Margin of Error!!Female!!Total population!!AGE!!40 to 44 years"
"S0101_C05_011E","Estimate!!Female!!Total population!!AGE!!45 to 49 years"
"S0101_C05_011M","Margin of Error!!Female!!Total population!!AGE!!45 to 49 years"
"S0101_C05_012E","Estimate!!Female!!Total population!!AGE!!50 to 54 years"
"S0101_C05_012M","Margin of Error!!Female!!Total population!!AGE!!50 to 54 years"
"S0101_C05_013E","Estimate!!Female!!Total population!!AGE!!55 to 59 years"
"S0101_C05_013M","Margin of Error!!Female!!Total population!!AGE!!55 to 59 years"
"S0101_C05_014E","Estimate!!Female!!Total population!!AGE!!60 to 64 years"
"S0101_C05_014M","Margin of Error!!Female!!Total population!!AGE!!60 to 64 years"
"S0101_C05_015E","Estimate!!Female!!Total population!!AGE!!65 to 69 years"
"S0101_C05_015M","Margin of Error!!Female!!Total population!!AGE!!65 to 69 years"
"S0101_C05_016E","Estimate!!Female!!Total population!!AGE!!70 to 74 years"
"S0101_C05_016M","Margin of Error!!Female!!Total population!!AGE!!70 to 74 years"
"S0101_C05_017E","Estimate!!Female!!Total population!!AGE!!75 to 79 years"
"S0101_C05_017M","Margin of Error!!Female!!Total population!!AGE!!75 to 79 years"
"S0101_C05_018E","Estimate!!Female!!Total population!!AGE!!80 to 84 years"
"S0101_C05_018M","Margin of Error!!Female!!Total population!!AGE!!80 to 84 years"
"S0101_C05_019E","Estimate!!Female!!Total population!!AGE!!85 years and over"
"S0101_C05_019M","Margin of Error!!Female!!Total population!!AGE!!85 years and over"
"S0101_C05_020E","Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years"
"S0101_C05_020M","Margin of Error!!Female!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years"
"S0101_C05_021E","Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years"
"S0101_C05_021M","Margin of Error!!Female!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years"
"S0101_C05_022E","Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years"
"S0101_C05_022M","Margin of Error!!Female!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years"
"S0101_C05_023E","Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years"
"S0101_C05_023M","Margin of Error!!Female!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years"
"S0101_C05_024E","Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years"
"S0101_C05_024M","Margin of Error!!Female!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years"
"S0101_C05_025E","Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!16 years and over"
"S0101_C05_025M","Margin of Error!!Female!!Total population!!SELECTED AGE CATEGORIES!!16 years and over"
"S0101_C05_026E","Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!18 years and over"
"S0101_C05_026M","Margin of Error!!Female!!Total population!!SELECTED AGE CATEGORIES!!18 years and over"
"S0101_C05_027E","Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!21 years and over"
"S0101_C05_027M","Margin of Error!!Female!!Total population!!SELECTED AGE CATEGORIES!!21 years and over"
"S0101_C05_028E","Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!60 years and over"
"S0101_C05_028M","Margin of Error!!Female!!Total population!!SELECTED AGE CATEGORIES!!60 years and over"
"S0101_C05_029E","Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!62 years and over"
"S0101_C05_029M","Margin of Error!!Female!!Total population!!SELECTED AGE CATEGORIES!!62 years and over"
"S0101_C05_030E","Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!65 years and over"
"S0101_C05_030M","Margin of Error!!Female!!Total population!!SELECTED AGE CATEGORIES!!65 years and over"
"S0101_C05_031E","Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!75 years and over"
"S0101_C05_031M","Margin of Error!!Female!!Total population!!SELECTED AGE CATEGORIES!!75 years and over"
"S0101_C05_032E","Estimate!!Female!!Total population!!SUMMARY INDICATORS!!Median age (years)"
"S0101_C05_032M","Margin of Error!!Female!!Total population!!SUMMARY INDICATORS!!Median age (years)"
"S0101_C05_033E","Estimate!!Female!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females)"
"S0101_C05_033M","Margin of Error!!Female!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females)"
"S0101_C05_034E","Estimate!!Female!!Total population!!SUMMARY INDICATORS!!Age dependency ratio"
"S0101_C05_034M","Margin of Error!!Female!!Total population!!SUMMARY INDICATORS!!Age dependency ratio"
"S0101_C05_035E","Estimate!!Female!!Total population!!SUMMARY INDICATORS!!Old-age dependency ratio"
"S0101_C05_035M","Margin of Error!!Female!!Total population!!SUMMARY INDICATORS!!Old-age dependency ratio"
"S0101_C05_036E","Estimate!!Female!!Total population!!SUMMARY INDICATORS!!Child dependency ratio"
"S0101_C05_036M","Margin of Error!!Female!!Total population!!SUMMARY INDICATORS!!Child dependency ratio"
"S0101_C05_037E","Estimate!!Female!!Total population!!PERCENT ALLOCATED!!Sex"
"S0101_C05_037M","Margin of Error!!Female!!Total population!!PERCENT ALLOCATED!!Sex"
"S0101_C05_038E","Estimate!!Female!!Total population!!PERCENT ALLOCATED!!Age"
"S0101_C05_038M","Margin of Error!!Female!!Total population!!PERCENT ALLOCATED!!Age"
"S0101_C06_001E","Estimate!!Percent Female!!Total population"
"S0101_C06_001M","Margin of Error!!Percent Female!!Total population"
"S0101_C06_002E","Estimate!!Percent Female!!Total population!!AGE!!Under 5 years"
"S0101_C06_002M","Margin of Error!!Percent Female!!Total population!!AGE!!Under 5 years"
"S0101_C06_003E","Estimate!!Percent Female!!Total population!!AGE!!5 to 9 years"
"S0101_C06_003M","Margin of Error!!Percent Female!!Total population!!AGE!!5 to 9 years"
"S0101_C06_004E","Estimate!!Percent Female!!Total population!!AGE!!10 to 14 years"
"S0101_C06_004M","Margin of Error!!Percent Female!!Total population!!AGE!!10 to 14 years"
"S0101_C06_005E","Estimate!!Percent Female!!Total population!!AGE!!15 to 19 years"
"S0101_C06_005M","Margin of Error!!Percent Female!!Total population!!AGE!!15 to 19 years"
"S0101_C06_006E","Estimate!!Percent Female!!Total population!!AGE!!20 to 24 years"
"S0101_C06_006M","Margin of Error!!Percent Female!!Total population!!AGE!!20 to 24 years"
"S0101_C06_007E","Estimate!!Percent Female!!Total population!!AGE!!25 to 29 years"
"S0101_C06_007M","Margin of Error!!Percent Female!!Total population!!AGE!!25 to 29 years"
"S0101_C06_008E","Estimate!!Percent Female!!Total population!!AGE!!30 to 34 years"
"S0101_C06_008M","Margin of Error!!Percent Female!!Total population!!AGE!!30 to 34 years"
"S0101_C06_009E","Estimate!!Percent Female!!Total population!!AGE!!35 to 39 years"
"S0101_C06_009M","Margin of Error!!Percent Female!!Total population!!AGE!!35 to 39 years"
"S0101_C06_010E","Estimate!!Percent Female!!Total population!!AGE!!40 to 44 years"
"S0101_C06_010M","Margin of Error!!Percent Female!!Total population!!AGE!!40 to 44 years"
"S0101_C06_011E","Estimate!!Percent Female!!Total population!!AGE!!45 to 49 years"
"S0101_C06_011M","Margin of Error!!Percent Female!!Total population!!AGE!!45 to 49 years"
"S0101_C06_012E","Estimate!!Percent Female!!Total population!!AGE!!50 to 54 years"
"S0101_C06_012M","Margin of Error!!Percent Female!!Total population!!AGE!!50 to 54 years"
"S0101_C06_013E","Estimate!!Percent Female!!Total population!!AGE!!55 to 59 years"
"S0101_C06_013M","Margin of Error!!Percent Female!!Total population!!AGE!!55 to 59 years"
"S0101_C06_014E","Estimate!!Percent Female!!Total population!!AGE!!60 to 64 years"
"S0101_C06_014M","Margin of Error!!Percent Female!!Total population!!AGE!!60 to 64 years"
"S0101_C06_015E","Estimate!!Percent Female!!Total population!!AGE!!65 to 69 years"
"S0101_C06_015M","Margin of Error!!Percent Female!!Total population!!AGE!!65 to 69 years"
"S0101_C06_016E","Estimate!!Percent Female!!Total population!!AGE!!70 to 74 years"
"S0101_C06_016M","Margin of Error!!Percent Female!!Total population!!AGE!!70 to 74 years"
"S0101_C06_017E","Estimate!!Percent Female!!Total population!!AGE!!75 to 79 years"
"S0101_C06_017M","Margin of Error!!Percent Female!!Total population!!AGE!!75 to 79 years"
"S0101_C06_018E","Estimate!!Percent Female!!Total population!!AGE!!80 to 84 years"
"S0101_C06_018M","Margin of Error!!Percent Female!!Total population!!AGE!!80 to 84 years"
"S0101_C06_019E","Estimate!!Percent Female!!Total population!!AGE!!85 years and over"
"S0101_C06_019M","Margin of Error!!Percent Female!!Total population!!AGE!!85 years and over"
"S0101_C06_020E","Estimate!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years"
"S0101_C06_020M","Margin of Error!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years"
"S0101_C06_021E","Estimate!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years"
"S0101_C06_021M","Margin of Error!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years"
"S0101_C06_022E","Estimate!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years"
"S0101_C06_022M","Margin of Error!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years"
"S0101_C06_023E","Estimate!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years"
"S0101_C06_023M","Margin of Error!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years"
"S0101_C06_024E","Estimate!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years"
"S0101_C06_024M","Margin of Error!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years"
"S0101_C06_025E","Estimate!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!16 years and over"
"S0101_C06_025M","Margin of Error!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!16 years and over"
"S0101_C06_026E","Estimate!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!18 years and over"
"S0101_C06_026M","Margin of Error!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!18 years and over"
"S0101_C06_027E","Estimate!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!21 years and over"
"S0101_C06_027M","Margin of Error!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!21 years and over"
"S0101_C06_028E","Estimate!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!60 years and over"
"S0101_C06_028M","Margin of Error!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!60 years and over"
"S0101_C06_029E","Estimate!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!62 years and over"
"S0101_C06_029M","Margin of Error!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!62 years and over"
"S0101_C06_030E","Estimate!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!65 years and over"
"S0101_C06_030M","Margin of Error!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!65 years and over"
"S0101_C06_031E","Estimate!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!75 years and over"
"S0101_C06_031M","Margin of Error!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!75 years and over"
"S0101_C06_032E","Estimate!!Percent Female!!Total population!!SUMMARY INDICATORS!!Median age (years)"
"S0101_C06_032M","Margin of Error!!Percent Female!!Total population!!SUMMARY INDICATORS!!Median age (years)"
"S0101_C06_033E","Estimate!!Percent Female!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females)"
"S0101_C06_033M","Margin of Error!!Percent Female!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females)"
"S0101_C06_034E","Estimate!!Percent Female!!Total population!!SUMMARY INDICATORS!!Age dependency ratio"
"S0101_C06_034M","Margin of Error!!Percent Female!!Total population!!SUMMARY INDICATORS!!Age dependency ratio"
"S0101_C06_035E","Estimate!!Percent Female!!Total population!!SUMMARY INDICATORS!!Old-age dependency ratio"
"S0101_C06_035M","Margin of Error!!Percent Female!!Total population!!SUMMARY INDICATORS!!Old-age dependency ratio"
"S0101_C06_036E","Estimate!!Percent Female!!Total population!!SUMMARY INDICATORS!!Child dependency ratio"
"S0101_C06_036M","Margin of Error!!Percent Female!!Total population!!SUMMARY INDICATORS!!Child dependency ratio"
"S0101_C06_037E","Estimate!!Percent Female!!Total population!!PERCENT ALLOCATED!!Sex"
"S0101_C06_037M","Margin of Error!!Percent Female!!Total population!!PERCENT ALLOCATED!!Sex"
"S0101_C06_038E","Estimate!!Percent Female!!Total population!!PERCENT ALLOCATED!!Age"
"S0101_C06_038M","Margin of Error!!Percent Female!!Total population!!PERCENT ALLOCATED!!Age"
