"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","INCOMEINEQ","P90P50","RT","A","1995",1.6,
"FIN","INCOMEINEQ","P90P50","RT","A","1996",1.6,
"FIN","INCOMEINEQ","P90P50","RT","A","1997",1.7,
"FIN","INCOMEINEQ","P90P50","RT","A","1998",1.7,
"FIN","INCOMEINEQ","P90P50","RT","A","1999",1.7,
"FIN","INCOMEINEQ","P90P50","RT","A","2000",1.7,
"FIN","INCOMEINEQ","P90P50","RT","A","2001",1.7,
"FIN","INCOMEINEQ","P90P50","RT","A","2002",1.7,
"FIN","INCOMEINEQ","P90P50","RT","A","2003",1.7,
"FIN","INCOMEINEQ","P90P50","RT","A","2004",1.7,
"FIN","INCOMEINEQ","P90P50","RT","A","2005",1.7,
"FIN","INCOMEINEQ","P90P50","RT","A","2006",1.7,
"FIN","INCOMEINEQ","P90P50","RT","A","2007",1.7,
"FIN","INCOMEINEQ","P90P50","RT","A","2008",1.7,
"FIN","INCOMEINEQ","P90P50","RT","A","2009",1.7,
"FIN","INCOMEINEQ","P90P50","RT","A","2010",1.7,
"FIN","INCOMEINEQ","P90P50","RT","A","2011",1.7,
"FIN","INCOMEINEQ","P90P50","RT","A","2012",1.7,
"FIN","INCOMEINEQ","P90P50","RT","A","2013",1.7,
"FIN","INCOMEINEQ","P90P50","RT","A","2014",1.7,
"FIN","INCOMEINEQ","P90P50","RT","A","2015",1.7,
"FIN","INCOMEINEQ","P90P50","RT","A","2016",1.7,
"FIN","INCOMEINEQ","P90P50","RT","A","2017",1.7,
"FIN","INCOMEINEQ","P90P50","RT","A","2018",1.7,
"FIN","INCOMEINEQ","GINI","INEQ","A","1987",0.209,
"FIN","INCOMEINEQ","GINI","INEQ","A","1988",0.213,
"FIN","INCOMEINEQ","GINI","INEQ","A","1989",0.217,
"FIN","INCOMEINEQ","GINI","INEQ","A","1990",0.215,
"FIN","INCOMEINEQ","GINI","INEQ","A","1991",0.212,
"FIN","INCOMEINEQ","GINI","INEQ","A","1992",0.211,
"FIN","INCOMEINEQ","GINI","INEQ","A","1993",0.214,
"FIN","INCOMEINEQ","GINI","INEQ","A","1994",0.215,
"FIN","INCOMEINEQ","GINI","INEQ","A","1995",0.22,
"FIN","INCOMEINEQ","GINI","INEQ","A","1996",0.224,
"FIN","INCOMEINEQ","GINI","INEQ","A","1997",0.235,
"FIN","INCOMEINEQ","GINI","INEQ","A","1998",0.243,
"FIN","INCOMEINEQ","GINI","INEQ","A","1999",0.25,
"FIN","INCOMEINEQ","GINI","INEQ","A","2000",0.254,
"FIN","INCOMEINEQ","GINI","INEQ","A","2001",0.262,
"FIN","INCOMEINEQ","GINI","INEQ","A","2002",0.258,
"FIN","INCOMEINEQ","GINI","INEQ","A","2003",0.261,
"FIN","INCOMEINEQ","GINI","INEQ","A","2004",0.266,
"FIN","INCOMEINEQ","GINI","INEQ","A","2005",0.265,
"FIN","INCOMEINEQ","GINI","INEQ","A","2006",0.268,
"FIN","INCOMEINEQ","GINI","INEQ","A","2007",0.269,
"FIN","INCOMEINEQ","GINI","INEQ","A","2008",0.264,
"FIN","INCOMEINEQ","GINI","INEQ","A","2009",0.259,
"FIN","INCOMEINEQ","GINI","INEQ","A","2010",0.264,
"FIN","INCOMEINEQ","GINI","INEQ","A","2011",0.264,
"FIN","INCOMEINEQ","GINI","INEQ","A","2012",0.26,
"FIN","INCOMEINEQ","GINI","INEQ","A","2013",0.262,
"FIN","INCOMEINEQ","GINI","INEQ","A","2014",0.257,
"FIN","INCOMEINEQ","GINI","INEQ","A","2015",0.26,
"FIN","INCOMEINEQ","GINI","INEQ","A","2016",0.259,
"FIN","INCOMEINEQ","GINI","INEQ","A","2017",0.266,
"FIN","INCOMEINEQ","GINI","INEQ","A","2018",0.269,
"FRA","INCOMEINEQ","P50P10","RT","A","2012",1.9,
"FRA","INCOMEINEQ","P50P10","RT","A","2013",1.9,
"FRA","INCOMEINEQ","P50P10","RT","A","2014",1.9,
"FRA","INCOMEINEQ","P50P10","RT","A","2015",1.9,
"FRA","INCOMEINEQ","P50P10","RT","A","2016",1.9,
"FRA","INCOMEINEQ","P50P10","RT","A","2017",1.9,
"FRA","INCOMEINEQ","P50P10","RT","A","2018",1.9,
"FRA","INCOMEINEQ","P50P10","RT","A","2019",1.9,
"FRA","INCOMEINEQ","P90P10","RT","A","2012",3.6,
"FRA","INCOMEINEQ","P90P10","RT","A","2013",3.5,
"FRA","INCOMEINEQ","P90P10","RT","A","2014",3.4,
"FRA","INCOMEINEQ","P90P10","RT","A","2015",3.5,
"FRA","INCOMEINEQ","P90P10","RT","A","2016",3.4,
"FRA","INCOMEINEQ","P90P10","RT","A","2017",3.4,
"FRA","INCOMEINEQ","P90P10","RT","A","2018",3.5,
"FRA","INCOMEINEQ","P90P10","RT","A","2019",3.5,
"FRA","INCOMEINEQ","P90P50","RT","A","2012",1.9,
"FRA","INCOMEINEQ","P90P50","RT","A","2013",1.9,
"FRA","INCOMEINEQ","P90P50","RT","A","2014",1.8,
"FRA","INCOMEINEQ","P90P50","RT","A","2015",1.9,
"FRA","INCOMEINEQ","P90P50","RT","A","2016",1.8,
"FRA","INCOMEINEQ","P90P50","RT","A","2017",1.8,
"FRA","INCOMEINEQ","P90P50","RT","A","2018",1.8,
"FRA","INCOMEINEQ","P90P50","RT","A","2019",1.8,
"FRA","INCOMEINEQ","GINI","INEQ","A","2012",0.305,
"FRA","INCOMEINEQ","GINI","INEQ","A","2013",0.291,
"FRA","INCOMEINEQ","GINI","INEQ","A","2014",0.293,
"FRA","INCOMEINEQ","GINI","INEQ","A","2015",0.295,
"FRA","INCOMEINEQ","GINI","INEQ","A","2016",0.291,
"FRA","INCOMEINEQ","GINI","INEQ","A","2017",0.292,
"FRA","INCOMEINEQ","GINI","INEQ","A","2018",0.301,
"FRA","INCOMEINEQ","GINI","INEQ","A","2019",0.292,
"DEU","INCOMEINEQ","P50P10","RT","A","2008",1.9,
"DEU","INCOMEINEQ","P50P10","RT","A","2011",1.9,
"DEU","INCOMEINEQ","P50P10","RT","A","2012",1.9,
"DEU","INCOMEINEQ","P50P10","RT","A","2013",1.9,
"DEU","INCOMEINEQ","P50P10","RT","A","2014",2,
"DEU","INCOMEINEQ","P50P10","RT","A","2015",2,
"DEU","INCOMEINEQ","P50P10","RT","A","2016",2,
"DEU","INCOMEINEQ","P50P10","RT","A","2017",2,
"DEU","INCOMEINEQ","P50P10","RT","A","2018",2,
"DEU","INCOMEINEQ","P90P10","RT","A","2008",3.5,
"DEU","INCOMEINEQ","P90P10","RT","A","2011",3.5,
"DEU","INCOMEINEQ","P90P10","RT","A","2012",3.5,
"DEU","INCOMEINEQ","P90P10","RT","A","2013",3.6,
"DEU","INCOMEINEQ","P90P10","RT","A","2014",3.7,
"DEU","INCOMEINEQ","P90P10","RT","A","2015",3.7,
"DEU","INCOMEINEQ","P90P10","RT","A","2016",3.8,
"DEU","INCOMEINEQ","P90P10","RT","A","2017",3.7,
"DEU","INCOMEINEQ","P90P10","RT","A","2018",3.6,
"DEU","INCOMEINEQ","P90P50","RT","A","2008",1.8,
"DEU","INCOMEINEQ","P90P50","RT","A","2011",1.9,
"DEU","INCOMEINEQ","P90P50","RT","A","2012",1.9,
"DEU","INCOMEINEQ","P90P50","RT","A","2013",1.9,
"DEU","INCOMEINEQ","P90P50","RT","A","2014",1.9,
"DEU","INCOMEINEQ","P90P50","RT","A","2015",1.8,
"DEU","INCOMEINEQ","P90P50","RT","A","2016",1.9,
"DEU","INCOMEINEQ","P90P50","RT","A","2017",1.8,
"DEU","INCOMEINEQ","P90P50","RT","A","2018",1.8,
"DEU","INCOMEINEQ","GINI","INEQ","A","2008",0.285,
"DEU","INCOMEINEQ","GINI","INEQ","A","2011",0.291,
"DEU","INCOMEINEQ","GINI","INEQ","A","2012",0.289,
"DEU","INCOMEINEQ","GINI","INEQ","A","2013",0.292,
"DEU","INCOMEINEQ","GINI","INEQ","A","2014",0.289,
"DEU","INCOMEINEQ","GINI","INEQ","A","2015",0.293,
"DEU","INCOMEINEQ","GINI","INEQ","A","2016",0.294,
"DEU","INCOMEINEQ","GINI","INEQ","A","2017",0.289,
"DEU","INCOMEINEQ","GINI","INEQ","A","2018",0.289,
"GRC","INCOMEINEQ","P50P10","RT","A","2004",2.1,
"GRC","INCOMEINEQ","P50P10","RT","A","2005",2.2,
"GRC","INCOMEINEQ","P50P10","RT","A","2006",2.2,
"GRC","INCOMEINEQ","P50P10","RT","A","2007",2.2,
"GRC","INCOMEINEQ","P50P10","RT","A","2008",2.2,
"GRC","INCOMEINEQ","P50P10","RT","A","2009",2.2,
"GRC","INCOMEINEQ","P50P10","RT","A","2010",2.3,
"GRC","INCOMEINEQ","P50P10","RT","A","2011",2.4,
"GRC","INCOMEINEQ","P50P10","RT","A","2012",2.5,
"GRC","INCOMEINEQ","P50P10","RT","A","2013",2.5,
"GRC","INCOMEINEQ","P50P10","RT","A","2014",2.5,
"GRC","INCOMEINEQ","P50P10","RT","A","2015",2.5,
"GRC","INCOMEINEQ","P50P10","RT","A","2016",2.4,
"GRC","INCOMEINEQ","P50P10","RT","A","2017",2.2,
"GRC","INCOMEINEQ","P50P10","RT","A","2018",2.2,
"GRC","INCOMEINEQ","P50P10","RT","A","2019",2.1,
"GRC","INCOMEINEQ","P90P10","RT","A","2004",4.5,
"GRC","INCOMEINEQ","P90P10","RT","A","2005",4.8,
"GRC","INCOMEINEQ","P90P10","RT","A","2006",4.6,
"GRC","INCOMEINEQ","P90P10","RT","A","2007",4.4,
"GRC","INCOMEINEQ","P90P10","RT","A","2008",4.4,
"GRC","INCOMEINEQ","P90P10","RT","A","2009",4.3,
"GRC","INCOMEINEQ","P90P10","RT","A","2010",4.6,
"GRC","INCOMEINEQ","P90P10","RT","A","2011",4.7,
"GRC","INCOMEINEQ","P90P10","RT","A","2012",4.9,
"GRC","INCOMEINEQ","P90P10","RT","A","2013",5.1,
"GRC","INCOMEINEQ","P90P10","RT","A","2014",5,
"GRC","INCOMEINEQ","P90P10","RT","A","2015",5,
"GRC","INCOMEINEQ","P90P10","RT","A","2016",4.7,
"GRC","INCOMEINEQ","P90P10","RT","A","2017",4.3,
"GRC","INCOMEINEQ","P90P10","RT","A","2018",4.1,
"GRC","INCOMEINEQ","P90P10","RT","A","2019",3.9,
"GRC","INCOMEINEQ","P90P50","RT","A","2004",2.1,
"GRC","INCOMEINEQ","P90P50","RT","A","2005",2.1,
"GRC","INCOMEINEQ","P90P50","RT","A","2006",2.1,
"GRC","INCOMEINEQ","P90P50","RT","A","2007",2,
"GRC","INCOMEINEQ","P90P50","RT","A","2008",2,
"GRC","INCOMEINEQ","P90P50","RT","A","2009",2,
"GRC","INCOMEINEQ","P90P50","RT","A","2010",2,
"GRC","INCOMEINEQ","P90P50","RT","A","2011",1.9,
"GRC","INCOMEINEQ","P90P50","RT","A","2012",1.9,
"GRC","INCOMEINEQ","P90P50","RT","A","2013",2.1,
"GRC","INCOMEINEQ","P90P50","RT","A","2014",2,
"GRC","INCOMEINEQ","P90P50","RT","A","2015",2,
"GRC","INCOMEINEQ","P90P50","RT","A","2016",2,
"GRC","INCOMEINEQ","P90P50","RT","A","2017",1.9,
"GRC","INCOMEINEQ","P90P50","RT","A","2018",1.9,
"GRC","INCOMEINEQ","P90P50","RT","A","2019",1.9,
"GRC","INCOMEINEQ","GINI","INEQ","A","2004",0.333,
"GRC","INCOMEINEQ","GINI","INEQ","A","2005",0.345,
"GRC","INCOMEINEQ","GINI","INEQ","A","2006",0.337,
"GRC","INCOMEINEQ","GINI","INEQ","A","2007",0.329,
"GRC","INCOMEINEQ","GINI","INEQ","A","2008",0.328,
"GRC","INCOMEINEQ","GINI","INEQ","A","2009",0.33,
"GRC","INCOMEINEQ","GINI","INEQ","A","2010",0.336,
"GRC","INCOMEINEQ","GINI","INEQ","A","2011",0.333,
"GRC","INCOMEINEQ","GINI","INEQ","A","2012",0.338,
"GRC","INCOMEINEQ","GINI","INEQ","A","2013",0.342,
"GRC","INCOMEINEQ","GINI","INEQ","A","2014",0.339,
"GRC","INCOMEINEQ","GINI","INEQ","A","2015",0.34,
"GRC","INCOMEINEQ","GINI","INEQ","A","2016",0.333,
"GRC","INCOMEINEQ","GINI","INEQ","A","2017",0.319,
"GRC","INCOMEINEQ","GINI","INEQ","A","2018",0.306,
"GRC","INCOMEINEQ","GINI","INEQ","A","2019",0.308,
"HUN","INCOMEINEQ","P50P10","RT","A","2006",1.8,
"HUN","INCOMEINEQ","P50P10","RT","A","2007",1.8,
"HUN","INCOMEINEQ","P50P10","RT","A","2008",1.8,
"HUN","INCOMEINEQ","P50P10","RT","A","2009",1.8,
"HUN","INCOMEINEQ","P50P10","RT","A","2010",1.8,
"HUN","INCOMEINEQ","P50P10","RT","A","2011",1.9,
"HUN","INCOMEINEQ","P50P10","RT","A","2012",1.9,
"HUN","INCOMEINEQ","P50P10","RT","A","2013",1.9,
"HUN","INCOMEINEQ","P50P10","RT","A","2014",1.9,
"HUN","INCOMEINEQ","P50P10","RT","A","2015",1.9,
"HUN","INCOMEINEQ","P50P10","RT","A","2016",1.9,
"HUN","INCOMEINEQ","P50P10","RT","A","2017",1.9,
"HUN","INCOMEINEQ","P50P10","RT","A","2018",1.9,
"HUN","INCOMEINEQ","P50P10","RT","A","2019",1.9,
"HUN","INCOMEINEQ","P90P10","RT","A","2006",3.1,
"HUN","INCOMEINEQ","P90P10","RT","A","2007",3.1,
"HUN","INCOMEINEQ","P90P10","RT","A","2008",3,
"HUN","INCOMEINEQ","P90P10","RT","A","2009",2.9,
"HUN","INCOMEINEQ","P90P10","RT","A","2010",3.3,
"HUN","INCOMEINEQ","P90P10","RT","A","2011",3.2,
"HUN","INCOMEINEQ","P90P10","RT","A","2012",3.5,
"HUN","INCOMEINEQ","P90P10","RT","A","2013",3.5,
"HUN","INCOMEINEQ","P90P10","RT","A","2014",3.6,
"HUN","INCOMEINEQ","P90P10","RT","A","2015",3.4,
"HUN","INCOMEINEQ","P90P10","RT","A","2016",3.3,
"HUN","INCOMEINEQ","P90P10","RT","A","2017",3.4,
"HUN","INCOMEINEQ","P90P10","RT","A","2018",3.4,
"HUN","INCOMEINEQ","P90P10","RT","A","2019",3.3,
"HUN","INCOMEINEQ","P90P50","RT","A","2006",1.7,
"HUN","INCOMEINEQ","P90P50","RT","A","2007",1.7,
"HUN","INCOMEINEQ","P90P50","RT","A","2008",1.7,
"HUN","INCOMEINEQ","P90P50","RT","A","2009",1.7,
"HUN","INCOMEINEQ","P90P50","RT","A","2010",1.8,
"HUN","INCOMEINEQ","P90P50","RT","A","2011",1.7,
"HUN","INCOMEINEQ","P90P50","RT","A","2012",1.8,
"HUN","INCOMEINEQ","P90P50","RT","A","2013",1.9,
"HUN","INCOMEINEQ","P90P50","RT","A","2014",1.9,
"HUN","INCOMEINEQ","P90P50","RT","A","2015",1.8,
"HUN","INCOMEINEQ","P90P50","RT","A","2016",1.8,
"HUN","INCOMEINEQ","P90P50","RT","A","2017",1.9,
"HUN","INCOMEINEQ","P90P50","RT","A","2018",1.8,
"HUN","INCOMEINEQ","P90P50","RT","A","2019",1.8,
"HUN","INCOMEINEQ","GINI","INEQ","A","2006",0.264,
"HUN","INCOMEINEQ","GINI","INEQ","A","2007",0.257,
"HUN","INCOMEINEQ","GINI","INEQ","A","2008",0.246,
"HUN","INCOMEINEQ","GINI","INEQ","A","2009",0.241,
"HUN","INCOMEINEQ","GINI","INEQ","A","2010",0.266,
"HUN","INCOMEINEQ","GINI","INEQ","A","2011",0.269,
"HUN","INCOMEINEQ","GINI","INEQ","A","2012",0.279,
"HUN","INCOMEINEQ","GINI","INEQ","A","2013",0.286,
"HUN","INCOMEINEQ","GINI","INEQ","A","2014",0.281,
"HUN","INCOMEINEQ","GINI","INEQ","A","2015",0.284,
"HUN","INCOMEINEQ","GINI","INEQ","A","2016",0.28,
"HUN","INCOMEINEQ","GINI","INEQ","A","2017",0.289,
"HUN","INCOMEINEQ","GINI","INEQ","A","2018",0.28,
"HUN","INCOMEINEQ","GINI","INEQ","A","2019",0.286,
"ISL","INCOMEINEQ","P50P10","RT","A","2004",1.7,
"ISL","INCOMEINEQ","P50P10","RT","A","2005",1.7,
"ISL","INCOMEINEQ","P50P10","RT","A","2006",1.8,
"ISL","INCOMEINEQ","P50P10","RT","A","2007",1.8,
"ISL","INCOMEINEQ","P50P10","RT","A","2008",1.8,
"ISL","INCOMEINEQ","P50P10","RT","A","2009",1.8,
"ISL","INCOMEINEQ","P50P10","RT","A","2010",1.7,
"ISL","INCOMEINEQ","P50P10","RT","A","2011",1.7,
"ISL","INCOMEINEQ","P50P10","RT","A","2012",1.7,
"ISL","INCOMEINEQ","P50P10","RT","A","2013",1.7,
"ISL","INCOMEINEQ","P50P10","RT","A","2014",1.8,
"ISL","INCOMEINEQ","P50P10","RT","A","2015",1.8,
"ISL","INCOMEINEQ","P50P10","RT","A","2016",1.8,
"ISL","INCOMEINEQ","P50P10","RT","A","2017",1.7,
"ISL","INCOMEINEQ","P90P10","RT","A","2004",2.9,
"ISL","INCOMEINEQ","P90P10","RT","A","2005",3,
"ISL","INCOMEINEQ","P90P10","RT","A","2006",3.2,
"ISL","INCOMEINEQ","P90P10","RT","A","2007",3.2,
"ISL","INCOMEINEQ","P90P10","RT","A","2008",3.3,
"ISL","INCOMEINEQ","P90P10","RT","A","2009",3.1,
"ISL","INCOMEINEQ","P90P10","RT","A","2010",2.8,
"ISL","INCOMEINEQ","P90P10","RT","A","2011",2.9,
"ISL","INCOMEINEQ","P90P10","RT","A","2012",2.9,
"ISL","INCOMEINEQ","P90P10","RT","A","2013",2.9,
"ISL","INCOMEINEQ","P90P10","RT","A","2014",3,
"ISL","INCOMEINEQ","P90P10","RT","A","2015",3,
"ISL","INCOMEINEQ","P90P10","RT","A","2016",3,
"ISL","INCOMEINEQ","P90P10","RT","A","2017",2.8,
"ISL","INCOMEINEQ","P90P50","RT","A","2004",1.7,
"ISL","INCOMEINEQ","P90P50","RT","A","2005",1.7,
"ISL","INCOMEINEQ","P90P50","RT","A","2006",1.8,
"ISL","INCOMEINEQ","P90P50","RT","A","2007",1.8,
"ISL","INCOMEINEQ","P90P50","RT","A","2008",1.9,
"ISL","INCOMEINEQ","P90P50","RT","A","2009",1.8,
"ISL","INCOMEINEQ","P90P50","RT","A","2010",1.6,
"ISL","INCOMEINEQ","P90P50","RT","A","2011",1.7,
"ISL","INCOMEINEQ","P90P50","RT","A","2012",1.7,
"ISL","INCOMEINEQ","P90P50","RT","A","2013",1.7,
"ISL","INCOMEINEQ","P90P50","RT","A","2014",1.7,
"ISL","INCOMEINEQ","P90P50","RT","A","2015",1.7,
"ISL","INCOMEINEQ","P90P50","RT","A","2016",1.7,
"ISL","INCOMEINEQ","P90P50","RT","A","2017",1.7,
"ISL","INCOMEINEQ","GINI","INEQ","A","2004",0.261,
"ISL","INCOMEINEQ","GINI","INEQ","A","2005",0.273,
"ISL","INCOMEINEQ","GINI","INEQ","A","2006",0.289,
"ISL","INCOMEINEQ","GINI","INEQ","A","2007",0.285,
"ISL","INCOMEINEQ","GINI","INEQ","A","2008",0.306,
"ISL","INCOMEINEQ","GINI","INEQ","A","2009",0.266,
"ISL","INCOMEINEQ","GINI","INEQ","A","2010",0.248,
"ISL","INCOMEINEQ","GINI","INEQ","A","2011",0.252,
"ISL","INCOMEINEQ","GINI","INEQ","A","2012",0.252,
"ISL","INCOMEINEQ","GINI","INEQ","A","2013",0.24,
"ISL","INCOMEINEQ","GINI","INEQ","A","2014",0.246,
"ISL","INCOMEINEQ","GINI","INEQ","A","2015",0.257,
"ISL","INCOMEINEQ","GINI","INEQ","A","2016",0.264,
"ISL","INCOMEINEQ","GINI","INEQ","A","2017",0.25,
"IRL","INCOMEINEQ","P50P10","RT","A","2004",2.2,
"IRL","INCOMEINEQ","P50P10","RT","A","2005",2.1,
"IRL","INCOMEINEQ","P50P10","RT","A","2006",2.1,
"IRL","INCOMEINEQ","P50P10","RT","A","2007",2,
"IRL","INCOMEINEQ","P50P10","RT","A","2008",2,
"IRL","INCOMEINEQ","P50P10","RT","A","2009",1.9,
"IRL","INCOMEINEQ","P50P10","RT","A","2010",1.9,
"IRL","INCOMEINEQ","P50P10","RT","A","2011",2,
"IRL","INCOMEINEQ","P50P10","RT","A","2012",1.9,
"IRL","INCOMEINEQ","P50P10","RT","A","2013",2,
"IRL","INCOMEINEQ","P50P10","RT","A","2014",2,
"IRL","INCOMEINEQ","P50P10","RT","A","2015",2,
"IRL","INCOMEINEQ","P50P10","RT","A","2016",1.9,
"IRL","INCOMEINEQ","P50P10","RT","A","2017",2,
"IRL","INCOMEINEQ","P50P10","RT","A","2018",1.9,
"IRL","INCOMEINEQ","P90P10","RT","A","2004",4.2,
"IRL","INCOMEINEQ","P90P10","RT","A","2005",4,
"IRL","INCOMEINEQ","P90P10","RT","A","2006",4,
"IRL","INCOMEINEQ","P90P10","RT","A","2007",3.8,
"IRL","INCOMEINEQ","P90P10","RT","A","2008",3.7,
"IRL","INCOMEINEQ","P90P10","RT","A","2009",3.9,
"IRL","INCOMEINEQ","P90P10","RT","A","2010",3.7,
"IRL","INCOMEINEQ","P90P10","RT","A","2011",3.9,
"IRL","INCOMEINEQ","P90P10","RT","A","2012",3.9,
"IRL","INCOMEINEQ","P90P10","RT","A","2013",3.9,
"IRL","INCOMEINEQ","P90P10","RT","A","2014",3.7,
"IRL","INCOMEINEQ","P90P10","RT","A","2015",3.7,
"IRL","INCOMEINEQ","P90P10","RT","A","2016",3.8,
"IRL","INCOMEINEQ","P90P10","RT","A","2017",3.6,
"IRL","INCOMEINEQ","P90P10","RT","A","2018",3.5,
"IRL","INCOMEINEQ","P90P50","RT","A","2004",1.9,
"IRL","INCOMEINEQ","P90P50","RT","A","2005",2,
"IRL","INCOMEINEQ","P90P50","RT","A","2006",1.9,
"IRL","INCOMEINEQ","P90P50","RT","A","2007",1.9,
"IRL","INCOMEINEQ","P90P50","RT","A","2008",1.9,
"IRL","INCOMEINEQ","P90P50","RT","A","2009",2,
"IRL","INCOMEINEQ","P90P50","RT","A","2010",1.9,
"IRL","INCOMEINEQ","P90P50","RT","A","2011",2,
"IRL","INCOMEINEQ","P90P50","RT","A","2012",2,
"IRL","INCOMEINEQ","P90P50","RT","A","2013",2,
"IRL","INCOMEINEQ","P90P50","RT","A","2014",1.9,
"IRL","INCOMEINEQ","P90P50","RT","A","2015",1.8,
"IRL","INCOMEINEQ","P90P50","RT","A","2016",2,
"IRL","INCOMEINEQ","P90P50","RT","A","2017",1.8,
"IRL","INCOMEINEQ","P90P50","RT","A","2018",1.9,
"IRL","INCOMEINEQ","GINI","INEQ","A","2004",0.323,
"IRL","INCOMEINEQ","GINI","INEQ","A","2005",0.324,
"IRL","INCOMEINEQ","GINI","INEQ","A","2006",0.316,
"IRL","INCOMEINEQ","GINI","INEQ","A","2007",0.304,
"IRL","INCOMEINEQ","GINI","INEQ","A","2008",0.295,
"IRL","INCOMEINEQ","GINI","INEQ","A","2009",0.312,
"IRL","INCOMEINEQ","GINI","INEQ","A","2010",0.298,
"IRL","INCOMEINEQ","GINI","INEQ","A","2011",0.307,
"IRL","INCOMEINEQ","GINI","INEQ","A","2012",0.31,
"IRL","INCOMEINEQ","GINI","INEQ","A","2013",0.312,
"IRL","INCOMEINEQ","GINI","INEQ","A","2014",0.298,
"IRL","INCOMEINEQ","GINI","INEQ","A","2015",0.298,
"IRL","INCOMEINEQ","GINI","INEQ","A","2016",0.309,
"IRL","INCOMEINEQ","GINI","INEQ","A","2017",0.295,
"IRL","INCOMEINEQ","GINI","INEQ","A","2018",0.292,
"ITA","INCOMEINEQ","P50P10","RT","A","2004",2.2,
"ITA","INCOMEINEQ","P50P10","RT","A","2005",2.2,
"ITA","INCOMEINEQ","P50P10","RT","A","2006",2.2,
"ITA","INCOMEINEQ","P50P10","RT","A","2007",2.1,
"ITA","INCOMEINEQ","P50P10","RT","A","2008",2.1,
"ITA","INCOMEINEQ","P50P10","RT","A","2009",2.1,
"ITA","INCOMEINEQ","P50P10","RT","A","2010",2.3,
"ITA","INCOMEINEQ","P50P10","RT","A","2011",2.2,
"ITA","INCOMEINEQ","P50P10","RT","A","2012",2.2,
"ITA","INCOMEINEQ","P50P10","RT","A","2013",2.3,
"ITA","INCOMEINEQ","P50P10","RT","A","2014",2.3,
"ITA","INCOMEINEQ","P50P10","RT","A","2015",2.5,
"ITA","INCOMEINEQ","P50P10","RT","A","2016",2.3,
"ITA","INCOMEINEQ","P50P10","RT","A","2017",2.4,
"ITA","INCOMEINEQ","P50P10","RT","A","2018",2.4,
"ITA","INCOMEINEQ","P90P10","RT","A","2004",4.3,
"ITA","INCOMEINEQ","P90P10","RT","A","2005",4.4,
"ITA","INCOMEINEQ","P90P10","RT","A","2006",4.3,
"ITA","INCOMEINEQ","P90P10","RT","A","2007",4.1,
"ITA","INCOMEINEQ","P90P10","RT","A","2008",4.2,
"ITA","INCOMEINEQ","P90P10","RT","A","2009",4.2,
"ITA","INCOMEINEQ","P90P10","RT","A","2010",4.4,
"ITA","INCOMEINEQ","P90P10","RT","A","2011",4.3,
"ITA","INCOMEINEQ","P90P10","RT","A","2012",4.4,
"ITA","INCOMEINEQ","P90P10","RT","A","2013",4.5,
"ITA","INCOMEINEQ","P90P10","RT","A","2014",4.6,
"ITA","INCOMEINEQ","P90P10","RT","A","2015",4.9,
"ITA","INCOMEINEQ","P90P10","RT","A","2016",4.5,
"ITA","INCOMEINEQ","P90P10","RT","A","2017",4.7,
"ITA","INCOMEINEQ","P90P10","RT","A","2018",4.6,
"ITA","INCOMEINEQ","P90P50","RT","A","2004",2,
"ITA","INCOMEINEQ","P90P50","RT","A","2005",2,
"ITA","INCOMEINEQ","P90P50","RT","A","2006",2,
"ITA","INCOMEINEQ","P90P50","RT","A","2007",1.9,
"ITA","INCOMEINEQ","P90P50","RT","A","2008",2,
"ITA","INCOMEINEQ","P90P50","RT","A","2009",1.9,
"ITA","INCOMEINEQ","P90P50","RT","A","2010",1.9,
"ITA","INCOMEINEQ","P90P50","RT","A","2011",2,
"ITA","INCOMEINEQ","P90P50","RT","A","2012",1.9,
"ITA","INCOMEINEQ","P90P50","RT","A","2013",1.9,
"ITA","INCOMEINEQ","P90P50","RT","A","2014",2,
"ITA","INCOMEINEQ","P90P50","RT","A","2015",1.9,
"ITA","INCOMEINEQ","P90P50","RT","A","2016",1.9,
"ITA","INCOMEINEQ","P90P50","RT","A","2017",2,
"ITA","INCOMEINEQ","P90P50","RT","A","2018",2,
"ITA","INCOMEINEQ","GINI","INEQ","A","2004",0.331,
"ITA","INCOMEINEQ","GINI","INEQ","A","2005",0.324,
"ITA","INCOMEINEQ","GINI","INEQ","A","2006",0.324,
"ITA","INCOMEINEQ","GINI","INEQ","A","2007",0.313,
"ITA","INCOMEINEQ","GINI","INEQ","A","2008",0.317,
"ITA","INCOMEINEQ","GINI","INEQ","A","2009",0.315,
"ITA","INCOMEINEQ","GINI","INEQ","A","2010",0.327,
"ITA","INCOMEINEQ","GINI","INEQ","A","2011",0.327,
"ITA","INCOMEINEQ","GINI","INEQ","A","2012",0.33,
"ITA","INCOMEINEQ","GINI","INEQ","A","2013",0.325,
"ITA","INCOMEINEQ","GINI","INEQ","A","2014",0.326,
"ITA","INCOMEINEQ","GINI","INEQ","A","2015",0.333,
"ITA","INCOMEINEQ","GINI","INEQ","A","2016",0.327,
"ITA","INCOMEINEQ","GINI","INEQ","A","2017",0.334,
"ITA","INCOMEINEQ","GINI","INEQ","A","2018",0.33,
"JPN","INCOMEINEQ","P50P10","RT","A","2018",2.6,
