date,value,month,month_year,series,series_name,unit
2010-03-01,138751,March,2010-03,LNS12000000,civilian employment,number in thousands
2010-02-01,138581,February,2010-02,LNS12000000,civilian employment,number in thousands
2010-01-01,138438,January,2010-01,LNS12000000,civilian employment,number in thousands
2009-12-01,138013,December,2009-12,LNS12000000,civilian employment,number in thousands
2009-11-01,138659,November,2009-11,LNS12000000,civilian employment,number in thousands
2009-10-01,138432,October,2009-10,LNS12000000,civilian employment,number in thousands
2009-09-01,138818,September,2009-09,LNS12000000,civilian employment,number in thousands
2009-08-01,139492,August,2009-08,LNS12000000,civilian employment,number in thousands
2009-07-01,139901,July,2009-07,LNS12000000,civilian employment,number in thousands
2009-06-01,140009,June,2009-06,LNS12000000,civilian employment,number in thousands
2009-05-01,140248,May,2009-05,LNS12000000,civilian employment,number in thousands
2009-04-01,140656,April,2009-04,LNS12000000,civilian employment,number in thousands
2009-03-01,140707,March,2009-03,LNS12000000,civilian employment,number in thousands
2009-02-01,141640,February,2009-02,LNS12000000,civilian employment,number in thousands
2009-01-01,142152,January,2009-01,LNS12000000,civilian employment,number in thousands
2008-12-01,143369,December,2008-12,LNS12000000,civilian employment,number in thousands
2008-11-01,144100,November,2008-11,LNS12000000,civilian employment,number in thousands
2008-10-01,144802,October,2008-10,LNS12000000,civilian employment,number in thousands
2008-09-01,145076,September,2008-09,LNS12000000,civilian employment,number in thousands
2008-08-01,145203,August,2008-08,LNS12000000,civilian employment,number in thousands
2008-07-01,145532,July,2008-07,LNS12000000,civilian employment,number in thousands
2008-06-01,145737,June,2008-06,LNS12000000,civilian employment,number in thousands
2008-05-01,145908,May,2008-05,LNS12000000,civilian employment,number in thousands
2008-04-01,146132,April,2008-04,LNS12000000,civilian employment,number in thousands
2008-03-01,146086,March,2008-03,LNS12000000,civilian employment,number in thousands
2008-02-01,146156,February,2008-02,LNS12000000,civilian employment,number in thousands
2008-01-01,146378,January,2008-01,LNS12000000,civilian employment,number in thousands
2007-12-01,146273,December,2007-12,LNS12000000,civilian employment,number in thousands
2007-11-01,146595,November,2007-11,LNS12000000,civilian employment,number in thousands
2007-10-01,145946,October,2007-10,LNS12000000,civilian employment,number in thousands
2007-09-01,146244,September,2007-09,LNS12000000,civilian employment,number in thousands
2007-08-01,145682,August,2007-08,LNS12000000,civilian employment,number in thousands
2007-07-01,145905,July,2007-07,LNS12000000,civilian employment,number in thousands
2007-06-01,146063,June,2007-06,LNS12000000,civilian employment,number in thousands
2007-05-01,145903,May,2007-05,LNS12000000,civilian employment,number in thousands
2007-04-01,145586,April,2007-04,LNS12000000,civilian employment,number in thousands
2007-03-01,146320,March,2007-03,LNS12000000,civilian employment,number in thousands
2007-02-01,146057,February,2007-02,LNS12000000,civilian employment,number in thousands
2007-01-01,146028,January,2007-01,LNS12000000,civilian employment,number in thousands
2006-12-01,145970,December,2006-12,LNS12000000,civilian employment,number in thousands
2006-11-01,145534,November,2006-11,LNS12000000,civilian employment,number in thousands
2006-10-01,145314,October,2006-10,LNS12000000,civilian employment,number in thousands
2006-09-01,144815,September,2006-09,LNS12000000,civilian employment,number in thousands
2006-08-01,144625,August,2006-08,LNS12000000,civilian employment,number in thousands
2006-07-01,144202,July,2006-07,LNS12000000,civilian employment,number in thousands
2006-06-01,144353,June,2006-06,LNS12000000,civilian employment,number in thousands
2006-05-01,144089,May,2006-05,LNS12000000,civilian employment,number in thousands
2006-04-01,143761,April,2006-04,LNS12000000,civilian employment,number in thousands
2006-03-01,143741,March,2006-03,LNS12000000,civilian employment,number in thousands
2006-02-01,143457,February,2006-02,LNS12000000,civilian employment,number in thousands
2006-01-01,143150,January,2006-01,LNS12000000,civilian employment,number in thousands
2005-12-01,142752,December,2005-12,LNS12000000,civilian employment,number in thousands
2005-11-01,142499,November,2005-11,LNS12000000,civilian employment,number in thousands
2005-10-01,142548,October,2005-10,LNS12000000,civilian employment,number in thousands
2005-09-01,142401,September,2005-09,LNS12000000,civilian employment,number in thousands
2005-08-01,142434,August,2005-08,LNS12000000,civilian employment,number in thousands
2005-07-01,142026,July,2005-07,LNS12000000,civilian employment,number in thousands
2005-06-01,141714,June,2005-06,LNS12000000,civilian employment,number in thousands
2005-05-01,141609,May,2005-05,LNS12000000,civilian employment,number in thousands
2005-04-01,141254,April,2005-04,LNS12000000,civilian employment,number in thousands
2005-03-01,140654,March,2005-03,LNS12000000,civilian employment,number in thousands
2005-02-01,140385,February,2005-02,LNS12000000,civilian employment,number in thousands
2005-01-01,140245,January,2005-01,LNS12000000,civilian employment,number in thousands
2004-12-01,140125,December,2004-12,LNS12000000,civilian employment,number in thousands
2004-11-01,140231,November,2004-11,LNS12000000,civilian employment,number in thousands
2004-10-01,139732,October,2004-10,LNS12000000,civilian employment,number in thousands
2004-09-01,139487,September,2004-09,LNS12000000,civilian employment,number in thousands
2004-08-01,139573,August,2004-08,LNS12000000,civilian employment,number in thousands
2004-07-01,139556,July,2004-07,LNS12000000,civilian employment,number in thousands
2004-06-01,139174,June,2004-06,LNS12000000,civilian employment,number in thousands
2004-05-01,138852,May,2004-05,LNS12000000,civilian employment,number in thousands
2004-04-01,138680,April,2004-04,LNS12000000,civilian employment,number in thousands
2004-03-01,138453,March,2004-03,LNS12000000,civilian employment,number in thousands
2004-02-01,138542,February,2004-02,LNS12000000,civilian employment,number in thousands
2004-01-01,138472,January,2004-01,LNS12000000,civilian employment,number in thousands
2003-12-01,138411,December,2003-12,LNS12000000,civilian employment,number in thousands
2003-11-01,138424,November,2003-11,LNS12000000,civilian employment,number in thousands
2003-10-01,137984,October,2003-10,LNS12000000,civilian employment,number in thousands
2003-09-01,137609,September,2003-09,LNS12000000,civilian employment,number in thousands
2003-08-01,137549,August,2003-08,LNS12000000,civilian employment,number in thousands
2003-07-01,137474,July,2003-07,LNS12000000,civilian employment,number in thousands
2003-06-01,137790,June,2003-06,LNS12000000,civilian employment,number in thousands
2003-05-01,137544,May,2003-05,LNS12000000,civilian employment,number in thousands
2003-04-01,137633,April,2003-04,LNS12000000,civilian employment,number in thousands
2003-03-01,137434,March,2003-03,LNS12000000,civilian employment,number in thousands
2003-02-01,137482,February,2003-02,LNS12000000,civilian employment,number in thousands
2003-01-01,137417,January,2003-01,LNS12000000,civilian employment,number in thousands
2022-06-01,5912,June,2022-06,LNS13000000,civilian unemployment,number in thousands
2022-05-01,5950,May,2022-05,LNS13000000,civilian unemployment,number in thousands
2022-04-01,5941,April,2022-04,LNS13000000,civilian unemployment,number in thousands
2022-03-01,5952,March,2022-03,LNS13000000,civilian unemployment,number in thousands
2022-02-01,6270,February,2022-02,LNS13000000,civilian unemployment,number in thousands
2022-01-01,6513,January,2022-01,LNS13000000,civilian unemployment,number in thousands
2021-12-01,6319,December,2021-12,LNS13000000,civilian unemployment,number in thousands
2021-11-01,6802,November,2021-11,LNS13000000,civilian unemployment,number in thousands
2021-10-01,7375,October,2021-10,LNS13000000,civilian unemployment,number in thousands
2021-09-01,7666,September,2021-09,LNS13000000,civilian unemployment,number in thousands
2021-08-01,8339,August,2021-08,LNS13000000,civilian unemployment,number in thousands
2021-07-01,8671,July,2021-07,LNS13000000,civilian unemployment,number in thousands
2021-06-01,9502,June,2021-06,LNS13000000,civilian unemployment,number in thousands
2021-05-01,9251,May,2021-05,LNS13000000,civilian unemployment,number in thousands
2021-04-01,9719,April,2021-04,LNS13000000,civilian unemployment,number in thousands
2021-03-01,9691,March,2021-03,LNS13000000,civilian unemployment,number in thousands
2021-02-01,9992,February,2021-02,LNS13000000,civilian unemployment,number in thousands
2021-01-01,10180,January,2021-01,LNS13000000,civilian unemployment,number in thousands
2020-12-01,10789,December,2020-12,LNS13000000,civilian unemployment,number in thousands
2020-11-01,10777,November,2020-11,LNS13000000,civilian unemployment,number in thousands
2020-10-01,11115,October,2020-10,LNS13000000,civilian unemployment,number in thousands
2020-09-01,12584,September,2020-09,LNS13000000,civilian unemployment,number in thousands
2020-08-01,13532,August,2020-08,LNS13000000,civilian unemployment,number in thousands
2020-07-01,16288,July,2020-07,LNS13000000,civilian unemployment,number in thousands
2020-06-01,17616,June,2020-06,LNS13000000,civilian unemployment,number in thousands
2020-05-01,20940,May,2020-05,LNS13000000,civilian unemployment,number in thousands
2020-04-01,23038,April,2020-04,LNS13000000,civilian unemployment,number in thousands
2020-03-01,7165,March,2020-03,LNS13000000,civilian unemployment,number in thousands
2020-02-01,5717,February,2020-02,LNS13000000,civilian unemployment,number in thousands
2020-01-01,5826,January,2020-01,LNS13000000,civilian unemployment,number in thousands
2019-12-01,5861,December,2019-12,LNS13000000,civilian unemployment,number in thousands
2019-11-01,5930,November,2019-11,LNS13000000,civilian unemployment,number in thousands
2019-10-01,5980,October,2019-10,LNS13000000,civilian unemployment,number in thousands
2019-09-01,5766,September,2019-09,LNS13000000,civilian unemployment,number in thousands
2019-08-01,5993,August,2019-08,LNS13000000,civilian unemployment,number in thousands
2019-07-01,5984,July,2019-07,LNS13000000,civilian unemployment,number in thousands
2019-06-01,5906,June,2019-06,LNS13000000,civilian unemployment,number in thousands
2019-05-01,5935,May,2019-05,LNS13000000,civilian unemployment,number in thousands
2019-04-01,5898,April,2019-04,LNS13000000,civilian unemployment,number in thousands
2019-03-01,6166,March,2019-03,LNS13000000,civilian unemployment,number in thousands
2019-02-01,6122,February,2019-02,LNS13000000,civilian unemployment,number in thousands
2019-01-01,6458,January,2019-01,LNS13000000,civilian unemployment,number in thousands
2018-12-01,6379,December,2018-12,LNS13000000,civilian unemployment,number in thousands
2018-11-01,6132,November,2018-11,LNS13000000,civilian unemployment,number in thousands
2018-10-01,6230,October,2018-10,LNS13000000,civilian unemployment,number in thousands
2018-09-01,6065,September,2018-09,LNS13000000,civilian unemployment,number in thousands
2018-08-01,6167,August,2018-08,LNS13000000,civilian unemployment,number in thousands
2018-07-01,6173,July,2018-07,LNS13000000,civilian unemployment,number in thousands
2018-06-01,6446,June,2018-06,LNS13000000,civilian unemployment,number in thousands
2018-05-01,6188,May,2018-05,LNS13000000,civilian unemployment,number in thousands
2018-04-01,6448,April,2018-04,LNS13000000,civilian unemployment,number in thousands
2018-03-01,6457,March,2018-03,LNS13000000,civilian unemployment,number in thousands
2018-02-01,6586,February,2018-02,LNS13000000,civilian unemployment,number in thousands
2018-01-01,6505,January,2018-01,LNS13000000,civilian unemployment,number in thousands
2017-12-01,6632,December,2017-12,LNS13000000,civilian unemployment,number in thousands
2017-11-01,6774,November,2017-11,LNS13000000,civilian unemployment,number in thousands
2017-10-01,6700,October,2017-10,LNS13000000,civilian unemployment,number in thousands
2017-09-01,6854,September,2017-09,LNS13000000,civilian unemployment,number in thousands
2017-08-01,7082,August,2017-08,LNS13000000,civilian unemployment,number in thousands
2017-07-01,6892,July,2017-07,LNS13000000,civilian unemployment,number in thousands
2017-06-01,6873,June,2017-06,LNS13000000,civilian unemployment,number in thousands
2017-05-01,7000,May,2017-05,LNS13000000,civilian unemployment,number in thousands
2017-04-01,7089,April,2017-04,LNS13000000,civilian unemployment,number in thousands
2017-03-01,7073,March,2017-03,LNS13000000,civilian unemployment,number in thousands
2017-02-01,7379,February,2017-02,LNS13000000,civilian unemployment,number in thousands
2017-01-01,7468,January,2017-01,LNS13000000,civilian unemployment,number in thousands
2016-12-01,7521,December,2016-12,LNS13000000,civilian unemployment,number in thousands
2016-11-01,7553,November,2016-11,LNS13000000,civilian unemployment,number in thousands
2016-10-01,7811,October,2016-10,LNS13000000,civilian unemployment,number in thousands
2016-09-01,7953,September,2016-09,LNS13000000,civilian unemployment,number in thousands
2016-08-01,7784,August,2016-08,LNS13000000,civilian unemployment,number in thousands
2016-07-01,7641,July,2016-07,LNS13000000,civilian unemployment,number in thousands
2016-06-01,7744,June,2016-06,LNS13000000,civilian unemployment,number in thousands
2016-05-01,7652,May,2016-05,LNS13000000,civilian unemployment,number in thousands
2016-04-01,8067,April,2016-04,LNS13000000,civilian unemployment,number in thousands
2016-03-01,7961,March,2016-03,LNS13000000,civilian unemployment,number in thousands
2016-02-01,7702,February,2016-02,LNS13000000,civilian unemployment,number in thousands
2016-01-01,7627,January,2016-01,LNS13000000,civilian unemployment,number in thousands
2015-12-01,7907,December,2015-12,LNS13000000,civilian unemployment,number in thousands
2015-11-01,8000,November,2015-11,LNS13000000,civilian unemployment,number in thousands
2015-10-01,7922,October,2015-10,LNS13000000,civilian unemployment,number in thousands
2015-09-01,7907,September,2015-09,LNS13000000,civilian unemployment,number in thousands
2015-08-01,7992,August,2015-08,LNS13000000,civilian unemployment,number in thousands
2015-07-01,8167,July,2015-07,LNS13000000,civilian unemployment,number in thousands
2015-06-01,8247,June,2015-06,LNS13000000,civilian unemployment,number in thousands
2015-05-01,8834,May,2015-05,LNS13000000,civilian unemployment,number in thousands
2015-04-01,8550,April,2015-04,LNS13000000,civilian unemployment,number in thousands
2015-03-01,8515,March,2015-03,LNS13000000,civilian unemployment,number in thousands
2015-02-01,8599,February,2015-02,LNS13000000,civilian unemployment,number in thousands
2015-01-01,8885,January,2015-01,LNS13000000,civilian unemployment,number in thousands
2014-12-01,8717,December,2014-12,LNS13000000,civilian unemployment,number in thousands
2014-11-01,9090,November,2014-11,LNS13000000,civilian unemployment,number in thousands
2014-10-01,8990,October,2014-10,LNS13000000,civilian unemployment,number in thousands
2014-09-01,9262,September,2014-09,LNS13000000,civilian unemployment,number in thousands
2014-08-01,9599,August,2014-08,LNS13000000,civilian unemployment,number in thousands
2014-07-01,9608,July,2014-07,LNS13000000,civilian unemployment,number in thousands
2014-06-01,9460,June,2014-06,LNS13000000,civilian unemployment,number in thousands
2014-05-01,9859,May,2014-05,LNS13000000,civilian unemployment,number in thousands
2014-04-01,9702,April,2014-04,LNS13000000,civilian unemployment,number in thousands
2014-03-01,10380,March,2014-03,LNS13000000,civilian unemployment,number in thousands
2014-02-01,10349,February,2014-02,LNS13000000,civilian unemployment,number in thousands
2014-01-01,10202,January,2014-01,LNS13000000,civilian unemployment,number in thousands
2013-12-01,10404,December,2013-12,LNS13000000,civilian unemployment,number in thousands
2013-11-01,10787,November,2013-11,LNS13000000,civilian unemployment,number in thousands
2013-10-01,11136,October,2013-10,LNS13000000,civilian unemployment,number in thousands
2013-09-01,11270,September,2013-09,LNS13000000,civilian unemployment,number in thousands
2013-08-01,11279,August,2013-08,LNS13000000,civilian unemployment,number in thousands
2013-07-01,11335,July,2013-07,LNS13000000,civilian unemployment,number in thousands
2013-06-01,11751,June,2013-06,LNS13000000,civilian unemployment,number in thousands
2013-05-01,11654,May,2013-05,LNS13000000,civilian unemployment,number in thousands
2013-04-01,11760,April,2013-04,LNS13000000,civilian unemployment,number in thousands
2013-03-01,11689,March,2013-03,LNS13000000,civilian unemployment,number in thousands
2013-02-01,11950,February,2013-02,LNS13000000,civilian unemployment,number in thousands
2013-01-01,12471,January,2013-01,LNS13000000,civilian unemployment,number in thousands
2012-12-01,12298,December,2012-12,LNS13000000,civilian unemployment,number in thousands
2012-11-01,12005,November,2012-11,LNS13000000,civilian unemployment,number in thousands
2012-10-01,12124,October,2012-10,LNS13000000,civilian unemployment,number in thousands
2012-09-01,12115,September,2012-09,LNS13000000,civilian unemployment,number in thousands
2012-08-01,12471,August,2012-08,LNS13000000,civilian unemployment,number in thousands
2012-07-01,12656,July,2012-07,LNS13000000,civilian unemployment,number in thousands
2012-06-01,12692,June,2012-06,LNS13000000,civilian unemployment,number in thousands
2012-05-01,12660,May,2012-05,LNS13000000,civilian unemployment,number in thousands
2012-04-01,12646,April,2012-04,LNS13000000,civilian unemployment,number in thousands
2012-03-01,12713,March,2012-03,LNS13000000,civilian unemployment,number in thousands
2012-02-01,12813,February,2012-02,LNS13000000,civilian unemployment,number in thousands
2012-01-01,12797,January,2012-01,LNS13000000,civilian unemployment,number in thousands
2011-12-01,13093,December,2011-12,LNS13000000,civilian unemployment,number in thousands
2011-11-01,13302,November,2011-11,LNS13000000,civilian unemployment,number in thousands
2011-10-01,13594,October,2011-10,LNS13000000,civilian unemployment,number in thousands
2011-09-01,13948,September,2011-09,LNS13000000,civilian unemployment,number in thousands
2011-08-01,13818,August,2011-08,LNS13000000,civilian unemployment,number in thousands
2011-07-01,13763,July,2011-07,LNS13000000,civilian unemployment,number in thousands
2011-06-01,13962,June,2011-06,LNS13000000,civilian unemployment,number in thousands
2011-05-01,13855,May,2011-05,LNS13000000,civilian unemployment,number in thousands
2011-04-01,13957,April,2011-04,LNS13000000,civilian unemployment,number in thousands
2011-03-01,13737,March,2011-03,LNS13000000,civilian unemployment,number in thousands
2011-02-01,13820,February,2011-02,LNS13000000,civilian unemployment,number in thousands
2011-01-01,14013,January,2011-01,LNS13000000,civilian unemployment,number in thousands
2010-12-01,14348,December,2010-12,LNS13000000,civilian unemployment,number in thousands
2010-11-01,15081,November,2010-11,LNS13000000,civilian unemployment,number in thousands
2010-10-01,14516,October,2010-10,LNS13000000,civilian unemployment,number in thousands
2010-09-01,14579,September,2010-09,LNS13000000,civilian unemployment,number in thousands
2010-08-01,14648,August,2010-08,LNS13000000,civilian unemployment,number in thousands
2010-07-01,14512,July,2010-07,LNS13000000,civilian unemployment,number in thousands
2010-06-01,14474,June,2010-06,LNS13000000,civilian unemployment,number in thousands
2010-05-01,14849,May,2010-05,LNS13000000,civilian unemployment,number in thousands
2010-04-01,15325,April,2010-04,LNS13000000,civilian unemployment,number in thousands
2010-03-01,15202,March,2010-03,LNS13000000,civilian unemployment,number in thousands
2010-02-01,15113,February,2010-02,LNS13000000,civilian unemployment,number in thousands
2010-01-01,15046,January,2010-01,LNS13000000,civilian unemployment,number in thousands
2009-12-01,15098,December,2009-12,LNS13000000,civilian unemployment,number in thousands
2009-11-01,15219,November,2009-11,LNS13000000,civilian unemployment,number in thousands
2009-10-01,15352,October,2009-10,LNS13000000,civilian unemployment,number in thousands
2009-09-01,15009,September,2009-09,LNS13000000,civilian unemployment,number in thousands
2009-08-01,14814,August,2009-08,LNS13000000,civilian unemployment,number in thousands
2009-07-01,14601,July,2009-07,LNS13000000,civilian unemployment,number in thousands
2009-06-01,14707,June,2009-06,LNS13000000,civilian unemployment,number in thousands
2009-05-01,14499,May,2009-05,LNS13000000,civilian unemployment,number in thousands
2009-04-01,13853,April,2009-04,LNS13000000,civilian unemployment,number in thousands
2009-03-01,13426,March,2009-03,LNS13000000,civilian unemployment,number in thousands
2009-02-01,12898,February,2009-02,LNS13000000,civilian unemployment,number in thousands
2009-01-01,12058,January,2009-01,LNS13000000,civilian unemployment,number in thousands
2008-12-01,11286,December,2008-12,LNS13000000,civilian unemployment,number in thousands
2008-11-01,10538,November,2008-11,LNS13000000,civilian unemployment,number in thousands
2008-10-01,10074,October,2008-10,LNS13000000,civilian unemployment,number in thousands
2008-09-01,9494,September,2008-09,LNS13000000,civilian unemployment,number in thousands
2008-08-01,9438,August,2008-08,LNS13000000,civilian unemployment,number in thousands
2008-07-01,8937,July,2008-07,LNS13000000,civilian unemployment,number in thousands
2008-06-01,8575,June,2008-06,LNS13000000,civilian unemployment,number in thousands
2008-05-01,8395,May,2008-05,LNS13000000,civilian unemployment,number in thousands
2008-04-01,7637,April,2008-04,LNS13000000,civilian unemployment,number in thousands
2008-03-01,7822,March,2008-03,LNS13000000,civilian unemployment,number in thousands
2008-02-01,7497,February,2008-02,LNS13000000,civilian unemployment,number in thousands
2008-01-01,7685,January,2008-01,LNS13000000,civilian unemployment,number in thousands
2007-12-01,7645,December,2007-12,LNS13000000,civilian unemployment,number in thousands
2007-11-01,7240,November,2007-11,LNS13000000,civilian unemployment,number in thousands
2007-10-01,7237,October,2007-10,LNS13000000,civilian unemployment,number in thousands
2007-09-01,7170,September,2007-09,LNS13000000,civilian unemployment,number in thousands
2007-08-01,7067,August,2007-08,LNS13000000,civilian unemployment,number in thousands
2007-07-01,7149,July,2007-07,LNS13000000,civilian unemployment,number in thousands
2007-06-01,6979,June,2007-06,LNS13000000,civilian unemployment,number in thousands
2007-05-01,6766,May,2007-05,LNS13000000,civilian unemployment,number in thousands
2007-04-01,6850,April,2007-04,LNS13000000,civilian unemployment,number in thousands
2007-03-01,6731,March,2007-03,LNS13000000,civilian unemployment,number in thousands
2007-02-01,6927,February,2007-02,LNS13000000,civilian unemployment,number in thousands
2007-01-01,7116,January,2007-01,LNS13000000,civilian unemployment,number in thousands
2006-12-01,6762,December,2006-12,LNS13000000,civilian unemployment,number in thousands
2006-11-01,6872,November,2006-11,LNS13000000,civilian unemployment,number in thousands
2006-10-01,6727,October,2006-10,LNS13000000,civilian unemployment,number in thousands
2006-09-01,6847,September,2006-09,LNS13000000,civilian unemployment,number in thousands
2006-08-01,7091,August,2006-08,LNS13000000,civilian unemployment,number in thousands
2006-07-01,7175,July,2006-07,LNS13000000,civilian unemployment,number in thousands
2006-06-01,7001,June,2006-06,LNS13000000,civilian unemployment,number in thousands
2006-05-01,6980,May,2006-05,LNS13000000,civilian unemployment,number in thousands
2006-04-01,7120,April,2006-04,LNS13000000,civilian unemployment,number in thousands
2006-03-01,7072,March,2006-03,LNS13000000,civilian unemployment,number in thousands
2006-02-01,7184,February,2006-02,LNS13000000,civilian unemployment,number in thousands
2006-01-01,7064,January,2006-01,LNS13000000,civilian unemployment,number in thousands
2005-12-01,7279,December,2005-12,LNS13000000,civilian unemployment,number in thousands
2005-11-01,7566,November,2005-11,LNS13000000,civilian unemployment,number in thousands
2005-10-01,7453,October,2005-10,LNS13000000,civilian unemployment,number in thousands
2005-09-01,7553,September,2005-09,LNS13000000,civilian unemployment,number in thousands
2005-08-01,7345,August,2005-08,LNS13000000,civilian unemployment,number in thousands
2005-07-01,7406,July,2005-07,LNS13000000,civilian unemployment,number in thousands
2005-06-01,7524,June,2005-06,LNS13000000,civilian unemployment,number in thousands
2005-05-01,7651,May,2005-05,LNS13000000,civilian unemployment,number in thousands
2005-04-01,7672,April,2005-04,LNS13000000,civilian unemployment,number in thousands
2005-03-01,7737,March,2005-03,LNS13000000,civilian unemployment,number in thousands
2005-02-01,7980,February,2005-02,LNS13000000,civilian unemployment,number in thousands
2005-01-01,7784,January,2005-01,LNS13000000,civilian unemployment,number in thousands
2004-12-01,7934,December,2004-12,LNS13000000,civilian unemployment,number in thousands
2004-11-01,7932,November,2004-11,LNS13000000,civilian unemployment,number in thousands
2004-10-01,8061,October,2004-10,LNS13000000,civilian unemployment,number in thousands
2004-09-01,7927,September,2004-09,LNS13000000,civilian unemployment,number in thousands
2004-08-01,7990,August,2004-08,LNS13000000,civilian unemployment,number in thousands
2004-07-01,8136,July,2004-07,LNS13000000,civilian unemployment,number in thousands
2004-06-01,8286,June,2004-06,LNS13000000,civilian unemployment,number in thousands
2004-05-01,8212,May,2004-05,LNS13000000,civilian unemployment,number in thousands
2004-04-01,8170,April,2004-04,LNS13000000,civilian unemployment,number in thousands
2004-03-01,8491,March,2004-03,LNS13000000,civilian unemployment,number in thousands
2004-02-01,8167,February,2004-02,LNS13000000,civilian unemployment,number in thousands
2004-01-01,8370,January,2004-01,LNS13000000,civilian unemployment,number in thousands
2003-12-01,8317,December,2003-12,LNS13000000,civilian unemployment,number in thousands
2003-11-01,8576,November,2003-11,LNS13000000,civilian unemployment,number in thousands
2003-10-01,8732,October,2003-10,LNS13000000,civilian unemployment,number in thousands
2003-09-01,8921,September,2003-09,LNS13000000,civilian unemployment,number in thousands
2003-08-01,8896,August,2003-08,LNS13000000,civilian unemployment,number in thousands
2003-07-01,9011,July,2003-07,LNS13000000,civilian unemployment,number in thousands
2003-06-01,9266,June,2003-06,LNS13000000,civilian unemployment,number in thousands
2003-05-01,8957,May,2003-05,LNS13000000,civilian unemployment,number in thousands
2003-04-01,8842,April,2003-04,LNS13000000,civilian unemployment,number in thousands
2003-03-01,8588,March,2003-03,LNS13000000,civilian unemployment,number in thousands
2003-02-01,8618,February,2003-02,LNS13000000,civilian unemployment,number in thousands
2003-01-01,8520,January,2003-01,LNS13000000,civilian unemployment,number in thousands
2022-06-01,3.6,June,2022-06,LNS14000000,unemployment rate,rate
2022-05-01,3.6,May,2022-05,LNS14000000,unemployment rate,rate
2022-04-01,3.6,April,2022-04,LNS14000000,unemployment rate,rate
2022-03-01,3.6,March,2022-03,LNS14000000,unemployment rate,rate
2022-02-01,3.8,February,2022-02,LNS14000000,unemployment rate,rate
2022-01-01,4.0,January,2022-01,LNS14000000,unemployment rate,rate
2021-12-01,3.9,December,2021-12,LNS14000000,unemployment rate,rate
2021-11-01,4.2,November,2021-11,LNS14000000,unemployment rate,rate
2021-10-01,4.6,October,2021-10,LNS14000000,unemployment rate,rate
2021-09-01,4.7,September,2021-09,LNS14000000,unemployment rate,rate
2021-08-01,5.2,August,2021-08,LNS14000000,unemployment rate,rate
2021-07-01,5.4,July,2021-07,LNS14000000,unemployment rate,rate
2021-06-01,5.9,June,2021-06,LNS14000000,unemployment rate,rate
2021-05-01,5.8,May,2021-05,LNS14000000,unemployment rate,rate
2021-04-01,6.0,April,2021-04,LNS14000000,unemployment rate,rate
2021-03-01,6.0,March,2021-03,LNS14000000,unemployment rate,rate
2021-02-01,6.2,February,2021-02,LNS14000000,unemployment rate,rate
2021-01-01,6.4,January,2021-01,LNS14000000,unemployment rate,rate
2020-12-01,6.7,December,2020-12,LNS14000000,unemployment rate,rate
2020-11-01,6.7,November,2020-11,LNS14000000,unemployment rate,rate
2020-10-01,6.9,October,2020-10,LNS14000000,unemployment rate,rate
2020-09-01,7.9,September,2020-09,LNS14000000,unemployment rate,rate
2020-08-01,8.4,August,2020-08,LNS14000000,unemployment rate,rate
2020-07-01,10.2,July,2020-07,LNS14000000,unemployment rate,rate
2020-06-01,11.0,June,2020-06,LNS14000000,unemployment rate,rate
2020-05-01,13.2,May,2020-05,LNS14000000,unemployment rate,rate
2020-04-01,14.7,April,2020-04,LNS14000000,unemployment rate,rate
2020-03-01,4.4,March,2020-03,LNS14000000,unemployment rate,rate
2020-02-01,3.5,February,2020-02,LNS14000000,unemployment rate,rate
2020-01-01,3.5,January,2020-01,LNS14000000,unemployment rate,rate
2019-12-01,3.6,December,2019-12,LNS14000000,unemployment rate,rate
2019-11-01,3.6,November,2019-11,LNS14000000,unemployment rate,rate
2019-10-01,3.6,October,2019-10,LNS14000000,unemployment rate,rate
2019-09-01,3.5,September,2019-09,LNS14000000,unemployment rate,rate
2019-08-01,3.7,August,2019-08,LNS14000000,unemployment rate,rate
2019-07-01,3.7,July,2019-07,LNS14000000,unemployment rate,rate
2019-06-01,3.6,June,2019-06,LNS14000000,unemployment rate,rate
2019-05-01,3.6,May,2019-05,LNS14000000,unemployment rate,rate
2019-04-01,3.6,April,2019-04,LNS14000000,unemployment rate,rate
2019-03-01,3.8,March,2019-03,LNS14000000,unemployment rate,rate
2019-02-01,3.8,February,2019-02,LNS14000000,unemployment rate,rate
2019-01-01,4.0,January,2019-01,LNS14000000,unemployment rate,rate
2018-12-01,3.9,December,2018-12,LNS14000000,unemployment rate,rate
2018-11-01,3.8,November,2018-11,LNS14000000,unemployment rate,rate
2018-10-01,3.8,October,2018-10,LNS14000000,unemployment rate,rate
2018-09-01,3.7,September,2018-09,LNS14000000,unemployment rate,rate
2018-08-01,3.8,August,2018-08,LNS14000000,unemployment rate,rate
2018-07-01,3.8,July,2018-07,LNS14000000,unemployment rate,rate
2018-06-01,4.0,June,2018-06,LNS14000000,unemployment rate,rate
2018-05-01,3.8,May,2018-05,LNS14000000,unemployment rate,rate
2018-04-01,4.0,April,2018-04,LNS14000000,unemployment rate,rate
2018-03-01,4.0,March,2018-03,LNS14000000,unemployment rate,rate
2018-02-01,4.1,February,2018-02,LNS14000000,unemployment rate,rate
2018-01-01,4.0,January,2018-01,LNS14000000,unemployment rate,rate
2017-12-01,4.1,December,2017-12,LNS14000000,unemployment rate,rate
