store_name,store_id,url,phone,address,city,state,zip,latitude,longitude
Jared Vault Tanger Outlets 17 N Myrtle Beach,4144,/store/4144-MYRTLE BEACH,(843) 449-3871,10835 Kings Rd Ste 225,Myrtle Beach,South Carolina,29572,33.68484,-78.961958
Hamilton Place,2429,/store/2429-CHATTANOOGA,(423) 499-5696,2001 Gunbarrel Rd.,Chattanooga,Tennessee,37421-2606,35.03072,-85.1559
Shops At Carriage Crossing - Out,2487,/store/2487-COLLIERVILLE,(901) 854-0965,4615 Merchants Park Circle,Collierville,Tennessee,38017-9112,35.02075,-89.71981
Countrywood Crossing,2486,/store/2486-CORDOVA,(901) 386-5805,2293 N Germantown Pkwy.,Cordova,Tennessee,38016-7409,35.18814,-89.79288
Thoroughbred Village Shopping Ctr,458,/store/458-FRANKLIN,(615) 771-3922,549 Cool Springs Blvd.,Franklin,Tennessee,37067-2680,35.947108,-86.82175
Rivergate Parkway,428,/store/428-GOODLETTSVILLE,(615) 855-2200,914 Rivergate Pkwy.,Goodlettsville,Tennessee,37072-2323,36.29915,-86.69969
Centre At Deane Hill,488,/store/488-KNOXVILLE,(865) 691-8018,222 Morrell Rd.,Knoxville,Tennessee,37919-5876,35.92558,-84.03362
Avenue At Murfreesboro - Outparcel,2502,/store/2502-MURFREESBORO,(615) 893-5523,2645 Medical Center Pkwy.,Murfreesboro,Tennessee,37129-2257,35.85924,-86.44468
Jared Vault Tanger Outlets Sevierville,4073,/store/4073-SEVIERVILLE,(865) 428-8090,1645 Pkwy.,Sevierville,Tennessee,37862-2898,35.83336,-83.57078
Parks At Arlington - Outparcel,448,/store/448-ARLINGTON,(817) 784-2744,3951 S Cooper St.,Arlington,Texas,76015-4124,32.68166,-97.13328
Shops At Arbor Trails,2457,/store/2457-AUSTIN,(512) 358-0277,4301 W Wm Cannon Dr.,Austin,Texas,78749-1473,30.210677,-97.863184
Jared Vault Outlet Shoppes At El Paso,4187,/store/4187-CANUTILLO,(915) 877-3699,7051 S Desert Blvd.,Canutillo,Texas,79835-8585,31.91136,-106.58562
Lakeline Mall-outparcel,2456,/store/2456-CEDAR PARK,(512) 331-5448,11047 Pecan Park,Cedar Park,Texas,78613-1527,30.46837,-97.80511
Tomball Town Center - La Palmera,2547,/store/2547-CORPUS CHRISTI,(361) 985-0179,4954 S Staples St.,Corpus Christi,Texas,78411-3802,27.70957,-97.36929
Fountains At Farah,2546,/store/2546-EL PASO,(915) 629-9554,8889 Gateway W Blvd.,El Paso,Texas,79925-6549,31.77144,-106.37366
Hulen Mall - Outparcel,2400,/store/2400-FORT WORTH,(817) 346-1410,4750 South Hulen St.,Fort Worth,Texas,76132-1404,32.67831,-97.39532
Frisco Village,2441,/store/2441-FRISCO,(214) 705-7354,3110 Preston Rd.,Frisco,Texas,75034-9422,33.10423,-96.80487
Jared Vault Grand Prairie Premium Outlets,4204,/store/4204-GRAND PRAIRIE,(972) 606-4817,2950 W Interstate 20,Grand Prairie,Texas,75052-8079,32.68002,-97.05287
Willowbrook,490,/store/490-HOUSTON,(281) 807-0316,7400 Farm To Market,Houston,Texas,77070-5804,29.975553,-95.494534
Memorial City,499,/store/499-HOUSTON,(713) 647-0934,9829 Katy Freeway,Houston,Texas,77024-1201,29.78322,-95.5374
Deerbrook Mall - Outparcel,2409,/store/2409-HUMBLE,(281) 446-8708,10027 Fm 1960 Bypass Rd. W,Humble,Texas,77338-3515,30.000253,-95.260709
Shops At North East Mall,494,/store/494-HURST,(817) 284-5476,1330 W Pipeline Rd.,Hurst,Texas,76053-4627,32.82413,-97.20148
Jared Vault Katy Mills,4098,/store/4098-KATY,(281) 644-2900,5000 Katy Mills Circle,Katy,Texas,77494-4792,29.77621,-95.80947
Vista Ridge Iii,493,/store/493-LEWISVILLE,(972) 459-6738,2425 S Stemmons,Lewisville,Texas,75067-8764,33.00463,-96.96911
Forum At Olympia Parkway,2434,/store/2434-LIVE OAK,(210) 945-0208,8152 Agora Pkwy.,Live Oak,Texas,78154-1317,29.56675,-98.32941
Canyon West,2536,/store/2536-LUBBOCK,(806) 797-1650,5013 Milwaukee Ave.,Lubbock,Texas,79407-3808,33.54619,-101.95667
La Plaza Mall,2531,/store/2531-MCALLEN,(956) 928-1212,2204 S 10Th St.,Mcallen,Texas,78503-5433,26.182923,-98.233562
Midland Park Mall,2542,/store/2542-MIDLAND,(432) 689-0512,4515 N. Midkiff Rd.,Midland,Texas,79705-3207,32.03199,-102.12929
Pearland Town Center,2492,/store/2492-PEARLAND,(713) 340-1655,11222 Broadway Street,Pearland,Texas,77584-9779,29.55524,-95.39345
Collin Creek Mall,498,/store/498-PLANO,(972) 578-9400,301 W Plano Pkwy.,Plano,Texas,75075-8927,33.00955,-96.71076
Rim,2435,/store/2435-SAN ANTONIO,(210) 561-7280,17327 Interstate Hwy. 10 W,San Antonio,Texas,78257-9524,29.605049,-98.601006
Park North,2559,/store/2559-SAN ANTONIO,(210) 340-0124,7427 San Pedro Ave.,San Antonio,Texas,78216-8308,29.51753,-98.49991
Southlake Town Square - Outparcel,2469,/store/2469-SOUTHLAKE,(817) 251-0286,1500 E Southlake Blvd.,Southlake,Texas,76092-6421,32.94138,-97.12877
Town Center Lakeside,439,/store/439-SUGAR LAND,(281) 240-6200,16010 Kensington Dr.,Sugar Land,Texas,77479-4092,29.59924,-95.62636
Jared Vault Tanger Outlets Houston,4205,/store/4205-TEXAS CITY,(281) 337-1912,5885 Gulf Freeway,Texas City,Texas,77591-7064,29.40683,-95.0341
The Woodlands - Outparcel,2529,/store/2529-THE WOODLANDS,(281) 419-4495,1475 Lake Woodlands Drive,The Woodlands,Texas,77380-3234,30.16733,-95.45749
French Quarter Shopping Center,2562,/store/2562-TYLER,(903) 939-0411,4574 South Broadway Ave.,Tyler,Texas,75703-1305,32.29994,-95.30024
Baybrook Gateway Shopping Center,497,/store/497-WEBSTER,(281) 557-2340,1045 W Bay Area Blvd.,Webster,Texas,77598-4047,29.54117,-95.1387
University Place,2501,/store/2501-OREM,(801) 225-4216,531 East University Pkwy,Orem,Utah,84097-7750,40.27408,-111.68444
59th & S. State,496,/store/496-SALT LAKE CITY,(801) 281-8989,5928 South State St.,Salt Lake City,Utah,84107-7223,40.64273,-111.88926
Shops At Stonefield,2583,/store/2583-CHARLOTTESVILLE,(434) 972-7211,3928 Lenox Ave.,Charlottesville,Virginia,22901-2660,38.06824,-78.48767
Dulles Town Center,452,/store/452-DULLES,(703) 433-2305,21115 Dulles Town Circle,Dulles,Virginia,20166-2473,39.03263,-77.4199
Fair Lakes Center,423,/store/423-FAIRFAX,(703) 818-8218,12960 Fair Lakes Shopping Ctr.,Fairfax,Virginia,22033-5176,38.85943,-77.38884
Spotsylvania Mall,2503,/store/2503-FREDERICKSBURG,(540) 548-2081,3102 Plank Rd.,Fredericksburg,Virginia,22407-4900,38.295958,-77.500485
Newport News,2406,/store/2406-NEWPORT NEWS,(757) 881-9212,12249 Jefferson Ave.,Newport News,Virginia,23602-6970,37.11158,-76.49969
Chesterfield Towne Center Outparcel,487,/store/487-RICHMOND,(804) 897-8380,11230 Midlothian Turnpike,North Chesterfield,Virginia,23235-4714,37.50655,-77.60455
Short Pump Town Center Outparcel,495,/store/495-RICHMOND,(804) 364-4915,11724 W Broad St.,Richmond,Virginia,23233-1005,37.564354,-77.470897
Lynnhaven Parkway,2407,/store/2407-VIRGINIA BEACH,(757) 340-5181,656 Phoenix Dr.,Virginia Beach,Virginia,23452-7317,36.82485,-76.06764
Jared Vault Potomac Mills,4054,/store/4054-WOODBRIDGE,(703) 497-0065,2700 Potomac Mills Circle,Woodbridge,Virginia,22192-4645,38.64389,-77.29561
Golde Creek Plaza Ii,414,/store/414-LYNNWOOD,(425) 774-6933,2925 196Th St. Sw,Lynnwood,Washington,98036-4826,47.82145,-122.27288
Lincoln Plaza Shopping Center,416,/store/416-TACOMA,(253) 472-2279,2501 South 38Th St.,Tacoma,Washington,98409-7373,47.22304,-122.46922
Parkway Square Shopping Center,415,/store/415-TUKWILA,(206) 575-2428,16840 Southcenter Pkwy.,Tukwila,Washington,98188-3309,47.45257,-122.26079
Shoppes At Fountain Square,2408,/store/2408-BROOKFIELD,(262) 786-4917,16070 W Bluemound Rd.,Brookfield,Wisconsin,53005-6009,43.0366,-88.11243
Fox River Mall - Outparcel,440,/store/440-GRAND CHUTE,(920) 731-3313,141 N Casaloma Dr.,Grand Chute,Wisconsin,54913-9676,44.26316,-88.47681
