date,date_entered_updated,launch_timeutc,missile_name,missile_type,facility_name,facility_location,facility_latitude,facility_longitude,landing_location,test_outcome,additional_information,source(s),distance_miles,apogee_miles,geometry
2019-08-09,2019-08-16,20:50:00,KN-24,SRBM,Hungnam,"Hamhung, South Hamgyong",39.811611,127.66375,Sea of Japan or East Sea,Success,"1 of 2 tests, the missiles were fired from the Eastern coast of North Korea. Initially believed to be another KN-23 test, photographs released by North Korea confirmed it was a new type of missile strongly resembling the US's ATACMS.",https://www.washingtonpost.com/world/asia_pacific/fast-low-and-hard-to-stop-north-koreas-missile-tests-crank-up-the-threat-level/2019/08/15/adf3f3e4-bdc3-11e9-aff2-3835caab97f6_story.html; https://www.nknews.org/pro/unpacking-north-koreas-new-weapon-the-songun-atacms/; https://twitter.com/JosephHDempsey/status/1160344505486401538; https://www.theguardian.com/us-news/2019/aug/10/north-korea-fires-two-projectiles-shortly-after-trump-dismissed-earlier-launches; https://en.yna.co.kr/view/AEN20190811000351325?section=nk/nk; https://www.nknews.org/2019/08/kim-jong-un-guided-test-fire-of-new-weapon-with-superior-tactical-character/?utm_content=buffer483b1&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer;,249.0,30.0,POINT (127.66375 39.811611)
2019-08-09,2019-08-16,20:34:00,KN-24,SRBM,Hungnam,"Hamhung, South Hamgyong",39.811611,127.66375,Sea of Japan or East Sea,Success,"1 of 2 tests, the missiles were fired from the Eastern coast of North Korea. Initially believed to be another KN-23 test, photographs released by North Korea confirmed it was a new type of missile strongly resembling the US's ATACMS.",https://www.washingtonpost.com/world/asia_pacific/fast-low-and-hard-to-stop-north-koreas-missile-tests-crank-up-the-threat-level/2019/08/15/adf3f3e4-bdc3-11e9-aff2-3835caab97f6_story.html; https://www.nknews.org/pro/unpacking-north-koreas-new-weapon-the-songun-atacms/; https://twitter.com/JosephHDempsey/status/1160344505486401538; https://www.theguardian.com/us-news/2019/aug/10/north-korea-fires-two-projectiles-shortly-after-trump-dismissed-earlier-launches; https://en.yna.co.kr/view/AEN20190811000351325?section=nk/nk; https://www.nknews.org/2019/08/kim-jong-un-guided-test-fire-of-new-weapon-with-superior-tactical-character/?utm_content=buffer483b1&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer;,249.0,30.0,POINT (127.66375 39.811611)
2019-08-05,2020-10-16,20:24:00,KN-23,SRBM,Kwail Airbase,"Kwail, Kwail-gun, South Hwanghae",38.421522,125.024421,Sea of Japan or East Sea,Success,"1 of 2 tests, the test came only a few days after a set of MLRS tests. The MLRS tests were of missiles too small to be included in this dataset. In a statement following the test, North Korea claimed continued US-ROK military exercises were why it carried out the tests. The missiles were fired from the southwest of North Korea in an eastern direction across the peninsula.",https://en.yna.co.kr/view/AEN20190807000454325?section=nk/nk#none; https://twitter.com/DaveSchmerler/status/1158857426415882248/photo/1; https://www.bbc.com/news/world-asia-49244654,280.0,23.0,POINT (125.024421 38.421522)
2019-08-05,2020-10-16,20:36:00,KN-23,SRBM,Kwail Airbase,"Kwail, Kwail-gun, South Hwanghae",38.421522,125.024421,Sea of Japan or East Sea,Success,2 of 2 tests,https://en.yna.co.kr/view/AEN20190807000454325?section=nk/nk#none; https://twitter.com/DaveSchmerler/status/1158857426415882248/photo/1; https://www.bbc.com/news/world-asia-49244654,280.0,23.0,POINT (125.024421 38.421522)
2019-08-01,2020-10-16,18:23:00,KN-25,SRBM,,,,,Sea of Japan or East Sea,Success,2 of 2 tests,https://kcnawatch.org/newstream/1564726601-671457213/supreme-leader-kim-jong-un-guides-test-fire-of-new-type-large-caliber-multiple-launch-guided-rocket-system/; https://en.yna.co.kr/view/AEN20190802000754325; https://www.mod.go.jp/j/press/news/2019/08/02d.html;,137.0,16.0,POINT EMPTY
2019-08-01,2020-10-16,17:59:00,KN-25,SRBM,,,,,Sea of Japan or East Sea,Success,"North Korea launched two rockets within a short period of time. The flight path, and the description in later DPRK statements, appears consistent with the KN-25 missiles. The exact location is not clear but one report placed it as somewhere in Yonghung. (1 of 2)",https://kcnawatch.org/newstream/1564726601-671457213/supreme-leader-kim-jong-un-guides-test-fire-of-new-type-large-caliber-multiple-launch-guided-rocket-system/; https://en.yna.co.kr/view/AEN20190802000754325; https://www.mod.go.jp/j/press/news/2019/08/02d.html;,137.0,16.0,POINT EMPTY
2019-07-30,2020-10-16,20:27:00,,,,,,,Sea of Japan or East Sea,Success,2 of 2 tests,https://en.yna.co.kr/view/AEN20190731000556325; https://www.mod.go.jp/j/press/news/2019/07/31a.html,155.0,19.0,POINT EMPTY
2019-07-30,2020-10-16,20:06:00,,,,,,,Sea of Japan or East Sea,Success,"Described as a ""New-type Large-caliber Multiple Launch Guided Rocket System"", it is not totally clear if this is the KN-24 or KN-25. The launch location is also unclear but believed to be in the Wonsan area. The missiles were launched within a few minutes of each other. (1 of 2)",https://en.yna.co.kr/view/AEN20190731000556325; https://www.mod.go.jp/j/press/news/2019/07/31a.html,155.0,19.0,POINT EMPTY
2019-07-24,2019-08-16,20:57:00,KN-23,SRBM,Hodo Peninsula,"Kangwon Province, (North Korea)",39.40167,127.5369,Sea of Japan or East Sea,Success,2 of 2 tests,https://en.yna.co.kr/view/AEN20190725000858325?section=national/defense; https://www.npr.org/2019/07/25/745144254/north-korea-conducts-missile-tests-while-bolton-meets-with-officials-in-seoul,429.0,31.0,POINT (127.5369 39.40167)
2019-07-24,2019-08-16,20:34:00,KN-23,SRBM,Hodo Peninsula,"Kangwon Province, (North Korea)",39.40167,127.5369,Sea of Japan or East Sea,Success,"1 of 2 tests, the missile was launched from the Hodo Peninsula. The launches came less than a week after North Korea stated that continued US-ROK military exercises could jeopardize continued negotiations.",https://en.yna.co.kr/view/AEN20190725000858325?section=national/defense; https://www.npr.org/2019/07/25/745144254/north-korea-conducts-missile-tests-while-bolton-meets-with-officials-in-seoul,267.0,31.0,POINT (127.5369 39.40167)
2019-05-09,2019-05-10,07:49:00,KN-23,SRBM,Baegun,"North Pyongan, North Korea",40.029678,125.227326,,Success,"Reports suggest North Korea tested two missiles and rocket artillery, similar to the May 4 test, however it is unclear if two missiles or only one missile was tested. At least one of the missiles also appears to have flown a ""depressed"" trajector, suggesting it was designed to evade US missile defense systems.",https://www.bbc.com/news/world-asia-48212045; https://www.reuters.com/article/us-northkorea-missiles-capability-analys-idUSKCN1SG0CR; https://twitter.com/JosephHDempsey/status/1126774666071162880;,,,POINT (125.227326 40.029678)
2019-05-09,2019-05-10,07:29:00,KN-23,SRBM,Baegun,"North Pyongan, North Korea",40.029678,125.227326,,Success,"Reports suggest North Korea tested two missiles and rocket artillery, similar to the May 4 test, however it is unclear if two missiles or only one missile was tested. At least one of the missiles also appears to have flown a ""depressed"" trajector, suggesting it was designed to evade US missile defense systems.",https://www.bbc.com/news/world-asia-48212045; https://www.reuters.com/article/us-northkorea-missiles-capability-analys-idUSKCN1SG0CR; https://twitter.com/JosephHDempsey/status/1126774666071162880;,261.0,31.0,POINT (125.227326 40.029678)
2019-05-04,2019-05-06,01:54:00,KN-23,SRBM,Hodo Peninsula,"Kangwon Province, (North Korea)",39.40167,127.5369,Sea of Japan or East Sea,Success,"After 522 days since the previous missile test, North Korea carried out a test of a new solid fuel missile. Though the test does not violate North Korea's self-imposed missile testing moratorium, it does suggest it may be unwinding. The new missile was first publicly seen at a April 2017 parade and looks similar to an Iskander missile. The test was accompanied with several MLRS missile launches which created significant confusion in the immediate aftermath as to the number and types of missiles tested (the accompanying MLRS launches are too small for this dataset and are excluded). The range of the new missile is still unknown as is its name. This database records it as the KN-23, though this may later be revised after a new name is adopted.",https://www.bloomberg.com/news/articles/2019-05-05/kim-jong-un-s-weapon-test-may-have-included-ballistic-missile; https://www.cnn.com/2019/05/05/politics/north-korea-missile-launch-image/index.html; https://www.flickr.com/photos/150159554@N03/sets/72157691269857323/; https://www.washingtonpost.com/world/north-korea-fires-several-short-range-projectiles-south-korean-military-says/2019/05/03/511efe92-6e0f-11e9-be3a-33217240a539_story.html?utm_term=.754c1887a45f; https://www.nknews.org/pro/the-songun-iskander-unpacking-north-koreas-new-missile/; https://twitter.com/nktpnd/status/1124784779734519808; https://en.yna.co.kr/view/AEN20190504000700325; https://www.nytimes.com/2019/05/03/world/asia/north-korea-missile.html; https://www.apnews.com/fb6fc86cf2624f9aaf68837d1d0a220d;,124.0,,POINT (127.5369 39.40167)
2019-05-04,2019-05-10,,KN-23,SRBM,Hodo Peninsula,"Kangwon Province, (North Korea)",39.40167,127.5369,,Success,Reports following the test suggest North Korea launched two missiles. Photos released appeared to show one missile along with MLRS launches but later analysis seems to indicate there may actually have been two launches of the new missile. The US and South Korea have not provided any clarification on this.,https://www.bloomberg.com/news/articles/2019-05-05/kim-jong-un-s-weapon-test-may-have-included-ballistic-missile; https://www.cnn.com/2019/05/05/politics/north-korea-missile-launch-image/index.html; https://www.flickr.com/photos/150159554@N03/sets/72157691269857323/; https://www.washingtonpost.com/world/north-korea-fires-several-short-range-projectiles-south-korean-military-says/2019/05/03/511efe92-6e0f-11e9-be3a-33217240a539_story.html?utm_term=.754c1887a45f; https://www.nknews.org/pro/the-songun-iskander-unpacking-north-koreas-new-missile/; https://twitter.com/nktpnd/status/1124784779734519808; https://en.yna.co.kr/view/AEN20190504000700325; https://www.nytimes.com/2019/05/03/world/asia/north-korea-missile.html; https://www.apnews.com/fb6fc86cf2624f9aaf68837d1d0a220d;,,,POINT (127.5369 39.40167)
2019-04-17,2020-10-16,,,SRBM,,,,,Sea of Japan or East Sea,Success,"The rocket is described as a ""new type tactical guided weapon"". It is not clear exactly what that is but similar language is used to describe the KN-23.",https://kcnawatch.org/newstream/1555539382-294181785/supreme-leader-kim-jong-un-guides-test-fire-of-new-type-tactical-guided-weapon/; https://www.militarytimes.com/news/pentagon-congress/2019/04/18/pentagon-confirms-north-korea-test-launch-says-it-wasnt-a-ballistic-missile/; https://www.militarytimes.com/flashpoints/2019/04/17/north-korea-test-fires-a-new-tactical-guided-weapon/,,,POINT EMPTY
2017-11-28,2017-11-29,18:18:00,Hwasong-15,ICBM,Pyongsong Field,"Pyongsong, South Pyongan Province",39.282,125.869,Sea of Japan or East Sea,Success,"First test of North Korea's new missile, the Hwasong-15. The missile itself is noticebly larger than the Hwasong-14 and estimates for its range suggest it is capable of delivering a payload 13,000 km putting the entire United States within range. The test took place in a field next to the factory which it was rolled out of in images released by North Korea following the test.",https://www.nytimes.com/2017/11/28/world/asia/north-korea-missile-test.html; https://www.cnn.com/2017/11/29/asia/north-korea-missile-test/index.html; https://www.washingtonpost.com/news/worldviews/wp/2017/11/29/north-koreas-late-night-missile-test-may-hint-at-broader-strategy/?utm_term=.2e9bcbf2b2d1; https://www.washingtonpost.com/world/north-korea-fires-missile-for-the-first-time-in-more-than-two-months/2017/11/28/0c136952-d46c-11e7-9461-ba77d604373d_story.html?hpid=hp_hp-top-table-main_nkoreamissile-2p:homepage/story&utm_campaign=buffer&utm_content=bufferf0c09&utm_medium=social&utm_source=twitter.com&utm_term=.4adbad152a43; http://allthingsnuclear.org/dwright/nk-longest-missile-test-yet; https://twitter.com/W7VOA/status/935607913019772928; https://twitter.com/martyn_williams/status/935716589223079936; https://pbs.twimg.com/media/DPvybh4W0AIe6Ux.jpg:large; https://pbs.twimg.com/media/DPxVMlMUQAA-wjh.jpg:large;,590.0,2781.0,POINT (125.869 39.282)
2017-09-14,2017-11-28,21:57:00,Hwasong-12,IRBM,Pyongyang International Airport,"Pyongyang, North Korea",39.200159,125.673256,Pacific Ocean,Success,"This was the 4th time North Korea launched a projectile over the Japanese home islands and the 2nd time they launched a ballistic missile. This time the missile travelled about 3700 km, which is about the distance it would have to travel to hit Guam. The missile travelled an a similar trajectory as the August 28 test which suggests this flight path could become a regular testing corridor over Japan.",http://www.mod.go.jp/e/press/release/2017/09/15a.html; http://www.mod.go.jp/e/press/conference/2017/09/15.pdf; https://apnews.com/4509ab53e96b4ce38000bb2e232f33ad/North-Korea-fires-missile-over-Japan-in-longest-ever-flight?utm_content=buffer810fe&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer; http://thediplomat.com/2017/09/north-korea-overflies-japan-with-another-intermediate-range-ballistic-missile-early-analysis/?utm_content=bufferd82eb&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer; https://twitter.com/nktpnd/status/908476033103548416; https://twitter.com/DaveSchmerler/status/908829833093816322;,2300.0,479.0,POINT (125.673256 39.200159)
2017-08-28,2017-11-28,20:58:00,Hwasong-12,IRBM,Pyongyang International Airport,"Pyongyang, North Korea",39.200159,125.673256,Pacific Ocean,,"This was the 3rd time North Korea launched a missile over the Japanese home islands. The first was in 1998 and the second was in 2009 (North Korea attempted a launch over Japan in 2006 but the rocket failed before overflying Japan). Initial reports suggested that North Korea launched 3 missiles, this was later deterimined to be innaccurate and that North Korea had only launched a single missile. The exact type of missile launched is unclear however we have can narrow it down. Based on the range alone it would have to be either the Hwasong-12 or the Hwasong-14 because those are the only known missiles in North Korea's arsenal capable of travelling that distance. The consensus is that this was a launch of the HS-12. The estimated maximum range of this missile is 4500 km making the 2700 km distance travelled puzzeling. The reduced range was likely either the result of some failure with the missile or North Korea purposely testing the missile at a reduced range (both of which are not without precedence).This is unclear. Early reports out of Japan reported that the missile broke apart into multiple pieces suggesting a failure. In addition, the missile travelled only 2700 km, significantly shorter than its estimated range. North Korea later reported the test as a success and released photographs of the test and Kim Jong Un observing it. Maps placed in front of Kim suggest the missile may have been intended to travel farther than it did. A subsequent test on September 14 followed a similar trajectory except this time the missile travelled about 1000 km farther.",http://english.yonhapnews.co.kr/northkorea/2017/08/29/91/0401000000AEN20170829000755315F.html; http://english.yonhapnews.co.kr/northkorea/2017/08/29/0401000000AEN20170829000752315.html; http://allthingsnuclear.org/dwright/north-koreas-missile-test-over-japan; https://twitter.com/nktpnd/status/902300202039738368; https://twitter.com/jseldin/status/902291268369305600; https://twitter.com/nktpnd/status/902604666646777861; https://www.washingtonpost.com/world/north-korean-missile-flies-over-japan-escalating-tensions-and-prompting-an-angry-response-from-tokyo/2017/08/28/e1975804-8c37-11e7-9c53-6a169beb0953_story.html?hpid=hp_hp-top-table-low_nkoreamissile-546pm:homepage/story&utm_campaign=buffer&utm_content=buffere55ca&utm_medium=social&utm_source=twitter.com&utm_term=.024311fb0d4a; http://www.mod.go.jp/e/press/release/2017/08/29a.html; https://www.facebook.com/36WGPA/posts/1772782709430433;,1678.0,342.0,POINT (125.673256 39.200159)
2017-08-25,2017-11-28,22:19:00,Scud-B MaRV,SRBM,Kittaeryong Missile Base,"Kittae Pass, Kangwon Province, (North Korea)",38.99083,127.6236,Sea of Japan or East Sea,Success,"There was significant confusion, contradictory information, and disagreement concerning the August 25 test. Initial reports released by South Korea, Japan, and the United States were very different from one another. This is not particularly unusual, however, the analyses conducted and released by each remains quite different even after each issued revisions and clarifications. That is unusual. South Korea initially reported a single, DPRK launched SRBM which travelled approximately 250 km. South Korea later revised this assessment to ""several unidentified projectiles"". South Korea later stated they believed these were 300-mm artillery rockets, not SRBMs. A Japanese assessment argued that the missiles were either MLRS artiller rockets or a KN-02 missile or equivalent. PACOM's initial press release stated that all 3 of the missiles North Korea launched failed either on launch or in flight. This was revised in a later press release to state that only the 2nd missile suffered a failure, the 1st and 3rd did not. PACOM did state it believed the missiles were SRBMs, meaning they are capable of a range between 300km -1000 km, not artillery rockets as other observers have suggested. More recently, based on reports by The Diplomat, it appears this was a test of the ""Scud-B MaRV"", dubbed the KN-21 by the US. It appears to be an attempt to update North Korea's oldest missile system. North Korea likely has lots of these missiles in storage, equipping them with manueverable re-entry vehicles is a cheap and quick way to update an old system.",https://twitter.com/PacificCommand/status/901226675647561728; https://twitter.com/nktpnd/status/901309863522951168; https://www.washingtonpost.com/world/north-korea-is-reported-to-have-launched-another-missile-heightening-tensions/2017/08/25/4569a10c-89e5-11e7-96a7-d178cf3524eb_story.html?utm_term=.c3a23dc3b5c0; http://www.cnn.com/2017/08/28/asia/north-korea-missile-test/index.html; http://thediplomat.com/2017/08/what-kind-of-missiles-did-north-korea-launch-on-august-26/?utm_content=buffer5374f&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer; http://www.mod.go.jp/e/press/release/2017/08/26b.pdf; http://english.yonhapnews.co.kr/news/2017/08/26/0200000000AEN20170826000661315.html; https://www.japantimes.co.jp/news/2017/08/26/asia-pacific/north-korea-fires-unidentified-projectile-sea-reports/#.WaRDslGGOUl; http://thediplomat.com/2017/09/introducing-the-kn21-north-koreas-new-take-on-its-oldest-ballistic-missile/;,155.0,,POINT (127.6236 38.99083)
2017-08-25,2017-11-28,22:07:00,Scud-B MaRV,SRBM,Kittaeryong Missile Base,"Kittae Pass, Kangwon Province, (North Korea)",38.99083,127.6236,Sea of Japan or East Sea,Failure,"There was significant confusion, contradictory information, and disagreement concerning the August 25 test. Initial reports released by South Korea, Japan, and the United States were very different from one another. This is not particularly unusual, however, the analyses conducted and released by each remains quite different even after each issued revisions and clarifications. That is unusual. South Korea initially reported a single, DPRK launched SRBM which travelled approximately 250 km. South Korea later revised this assessment to ""several unidentified projectiles"". South Korea later stated they believed these were 300-mm artillery rockets, not SRBMs. A Japanese assessment argued that the missiles were either MLRS artiller rockets or a KN-02 missile or equivalent. PACOM's initial press release stated that all 3 of the missiles North Korea launched failed either on launch or in flight. This was revised in a later press release to state that only the 2nd missile suffered a failure, the 1st and 3rd did not. PACOM did state it believed the missiles were SRBMs, meaning they are capable of a range between 300km -1000 km, not artillery rockets as other observers have suggested. More recently, based on reports by The Diplomat, it appears this was a test of the ""Scud-B MaRV"", dubbed the KN-21 by the US. It appears to be an attempt to update North Korea's oldest missile system. North Korea likely has lots of these missiles in storage, equipping them with manueverable re-entry vehicles is a cheap and quick way to update an old system.",https://twitter.com/PacificCommand/status/901226675647561728; https://twitter.com/nktpnd/status/901309863522951168; https://www.washingtonpost.com/world/north-korea-is-reported-to-have-launched-another-missile-heightening-tensions/2017/08/25/4569a10c-89e5-11e7-96a7-d178cf3524eb_story.html?utm_term=.c3a23dc3b5c0; http://www.cnn.com/2017/08/28/asia/north-korea-missile-test/index.html; http://thediplomat.com/2017/08/what-kind-of-missiles-did-north-korea-launch-on-august-26/?utm_content=buffer5374f&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer; http://www.mod.go.jp/e/press/release/2017/08/26b.pdf; http://english.yonhapnews.co.kr/news/2017/08/26/0200000000AEN20170826000661315.html; https://www.japantimes.co.jp/news/2017/08/26/asia-pacific/north-korea-fires-unidentified-projectile-sea-reports/#.WaRDslGGOUl; http://thediplomat.com/2017/09/introducing-the-kn21-north-koreas-new-take-on-its-oldest-ballistic-missile/;,,,POINT (127.6236 38.99083)
2017-08-25,2017-11-28,21:49:00,Scud-B MaRV,SRBM,Kittaeryong Missile Base,"Kittae Pass, Kangwon Province, (North Korea)",38.99083,127.6236,Sea of Japan or East Sea,Success,"There was significant confusion, contradictory information, and disagreement concerning the August 25 test. Initial reports released by South Korea, Japan, and the United States were very different from one another. This is not particularly unusual, however, the analyses conducted and released by each remains quite different even after each issued revisions and clarifications. That is unusual. South Korea initially reported a single, DPRK launched SRBM which travelled approximately 250 km. South Korea later revised this assessment to ""several unidentified projectiles"". South Korea later stated they believed these were 300-mm artillery rockets, not SRBMs. A Japanese assessment argued that the missiles were either MLRS artiller rockets or a KN-02 missile or equivalent. PACOM's initial press release stated that all 3 of the missiles North Korea launched failed either on launch or in flight. This was revised in a later press release to state that only the 2nd missile suffered a failure, the 1st and 3rd did not. PACOM did state it believed the missiles were SRBMs, meaning they are capable of a range between 300km -1000 km, not artillery rockets as other observers have suggested. More recently, based on reports by The Diplomat, it appears this was a test of the ""Scud-B MaRV"", dubbed the KN-21 by the US. It appears to be an attempt to update North Korea's oldest missile system. North Korea likely has lots of these missiles in storage, equipping them with manueverable re-entry vehicles is a cheap and quick way to update an old system.",https://twitter.com/PacificCommand/status/901226675647561728; https://twitter.com/nktpnd/status/901309863522951168; https://www.washingtonpost.com/world/north-korea-is-reported-to-have-launched-another-missile-heightening-tensions/2017/08/25/4569a10c-89e5-11e7-96a7-d178cf3524eb_story.html?utm_term=.c3a23dc3b5c0; http://www.cnn.com/2017/08/28/asia/north-korea-missile-test/index.html; http://thediplomat.com/2017/08/what-kind-of-missiles-did-north-korea-launch-on-august-26/?utm_content=buffer5374f&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer; http://www.mod.go.jp/e/press/release/2017/08/26b.pdf; http://english.yonhapnews.co.kr/news/2017/08/26/0200000000AEN20170826000661315.html; https://www.japantimes.co.jp/news/2017/08/26/asia-pacific/north-korea-fires-unidentified-projectile-sea-reports/#.WaRDslGGOUl; http://thediplomat.com/2017/09/introducing-the-kn21-north-koreas-new-take-on-its-oldest-ballistic-missile/;,155.0,,POINT (127.6236 38.99083)
2017-07-28,2017-11-28,14:42:00,Hwasong-14,ICBM,Mupyong-ni Arms Plant,"Mup'yong-ni, Chagang province",40.611208,126.425743,Sea of Japan or East Sea,Success,"North Korea's second ICBM flight test of the Hwasong-14. The missile was launched on a lofted trajectory. Initial analysis suggests if launched on a trajectory to maximize its range then it could cover approximately 10,000 km. Such a missile brings most of the continental United States within range. The test was highly anticipated as well. There were multiple reports from US intelligence agencies that said North Korea was preparing for a missile launch sometime during the last week of July. However, most of those reports cited activity at Kusong, around where the first ICBM test was carried out. This test occurred over 100 km away from that location. Some have speculated that this test was North Korea's attempt to demonstrate that it could ""fake out"" US intelligence and carry out a launch without the US knowing where it would come from. Subsequent reports from South Korea and the US stated that the respective intelligence agencies were aware of and tracking the activity and were not fooled. The launch location itself appears to be a missile base or TEL maintenance facility close to the Chinese border.",https://twitter.com/DaveSchmerler/status/891208500071636992; http://www.mod.go.jp/e/press/release/2017/07/29b.pdf; http://www.mod.go.jp/e/press/release/2017/07/29a.pdf; http://www.npr.org/sections/thetwo-way/2017/07/28/540008218/north-korea-h-ballistic-missile-seoul-and-the-pentagon-say?utm_campaign=storyshare&utm_source=twitter.com&utm_medium=social; https://www.theguardian.com/world/2017/jul/28/north-korea-fires-missile-japan-reports-say; https://www.inverse.com/article/34804-north-korea-missile-test-night-launch?utm_source=twitter.com&utm_medium=on_site&utm_campaign=article-footer; http://www.reuters.com/article/us-northkorea-missiles-idUSKBN1AD1ZB?utm_source=twitter&utm_medium=Social; http://www.abc.net.au/news/2017-07-29/north-korea-missile-test-proves-the-us-is-well-within-range/8756472; http://www.bbc.com/news/world-asia-40760583#; http://www.npr.org/2017/07/28/540088346/north-korea-successfully-launches-second-icbm; https://www.buzzfeed.com/nancyyoussef/north-korea-missile-could-have-reached-us-midwest-estimates?utm_term=.fb2ZwnBNO#.kdybV9OYZ; https://www.ft.com/content/e4e723f8-73ce-11e7-aca6-c6bd07df1a3c; https://twitter.com/CurtisMelvin/status/892013648658477056,620.0,2315.0,POINT (126.425743 40.611208)
2017-07-04,2017-11-28,00:40:00,Hwasong-14,ICBM,Panghyon,"Kusong, North Pyongan",39.872153,125.269192,Sea of Japan or East Sea,Success,"This was the first successful test of a North Korean ICBM. The missile appears to be a two stage missile. The design appears to be a larger version of the Hwasong-12 IRBM with a second stage added. North Korea lofted the missile to avoid overflying Japan, hence the high apogee. However, if North Korea had fired it intending to maximize distance estimates suggest it could have travelled approximately 7,000 km. Later analysis of the missile, and a subsequent test of the missile, increased this range estimate to over 10,000 km which places targets as far into the US as Chicago within range of the missile.",https://www.wsj.com/articles/north-korea-launches-missile-into-waters-between-korea-and-japan-1499131848; https://www.washingtonpost.com/national/north-korea-claims-successful-intercontinental-ballistic-missile-test-defying-international-condemnation/2017/07/04/4f804488-609c-11e7-8adc-fea80e32bf47_story.html?utm_term=.8d9461e74489; http://www.cnn.com/2017/07/04/politics/us-officials-meet-north-korea-missile-launch/index.html; https://pbs.twimg.com/media/DD29MRwVYAAYc43.jpg:large; http://allthingsnuclear.org/dwright/north-korea-appears-to-launch-missile-with-6700-km-range,580.0,1741.0,POINT (125.269192 39.872153)
2017-05-28,2017-11-28,20:40:00,Scud-C MaRV,SRBM,Wonsan Kalma International Airport,"Kangwon Province, (North Korea)",39.1677,127.4817,Sea of Japan or East Sea,Success,"There continues to be some confusion about this missile's designation. Due to some confusing reports, it was initially referred to as the KN-17. Information has since surfaced that the KN-17 is actually the designation for the Hwasong-12. This missile's name is still slightly unclear. North Korea refers to this as the ""ultra precision"" missile. The missile itself appears to be a Scud-C with a Manueverable Re-entry Vehicle, hence the designation ""Scud-C MaRV"".  This test marked another first for North Korea in 2017. It was the first successful test of the Scud-C MaRV, a missile with a maneuverable terminal stage.  A maneuverable terminal stage is significant because such a system could potentially frustrate missile defense systems like THAAD. This missile was first sighted at the April 15, 2017 parade. This missile was initially believed to have been tested 3 times in April and failed repeatedly. Information has since surfaced that these were actually tests of the Hwasong-12. While this test is reported to have occurred at Wonson Kalma International Airport, the test actually took place right outside the airport, about 100 meters on the northern side. The missile itself landed in between South Korea and Japan in a piece of disputed water sparking a small diplomatic skirmish between the two over whose water it landed in.",https://twitter.com/DaveSchmerler/status/869346581941600256; https://twitter.com/JosephHDempsey/status/868962193039122432; https://www.washingtonpost.com/world/asia_pacific/north-koreas-latest-ballistic-missile-launch-lands-in-the-sea-of-japan/2017/05/28/cb072e0e-43f6-11e7-a196-a1bb629f64cb_story.html?utm_term=.072059ffa7f4; https://www.wsj.com/articles/s-korea-military-says-north-korea-fires-unidentified-projectile-1496008566; http://www.japantimes.co.jp/news/2017/05/29/asia-pacific/north-korea-fires-off-missile-lands-japans-exclusive-economic-zone/#.WS2oo2jyuUk; http://www.japantimes.co.jp/news/2017/05/30/asia-pacific/north-korea-hails-test-precision-guided-missile-success-vows-bigger-gift-package-u-s/#.WS2oqGjyuUk; http://thediplomat.com/2017/06/exclusive-north-korea-tested-its-new-intermediate-range-ballistic-missile-3-times-in-april-2017/;,249.0,75.0,POINT (127.4817 39.1677)
2017-05-21,2017-11-28,07:59:00,Pukguksong-2,MRBM,Lake Yonpung,South Pyongan Province,39.618283,125.8035851,Sea of Japan or East Sea,Success,"This test was the second North Korea conducted in a week. Following the test, Kim Jong Un stated he believed the weapon was ready for deployment and ordered the mass production of the missile. The KN-15 is a solid fuel missile which means it can be launched on shorter notice. In the event of war, finding and destroying all the KN-15 missiles before they could be launched would be tough.",http://thediplomat.com/2017/05/north-koreas-new-intermediate-range-ballistic-missile-the-hwasong-12-first-takeaways/?utm_content=buffer3dda6&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer; https://www.nknews.org/2017/05/n-korea-claims-successful-intermediate-range-ballistic-missile-test-launch/; http://www.bbc.com/news/world-asia-39918652; http://www.japantimes.co.jp/news/2017/05/14/asia-pacific/north-korea-carries-new-ballistic-missile-test/#.WRncNojyuUl; https://www.washingtonpost.com/world/north-korea-launches-a-missile-that-flies-450-miles/2017/05/13/e1647da8-382c-11e7-99b0-dd6e94e786e5_story.html?utm_campaign=buffer&utm_content=bufferdc0f7&utm_medium=social&utm_source=twitter.com&utm_term=.617f3d0df259; http://www.bbc.com/news/world-asia-39911530; https://www.wsj.com/articles/north-korea-is-accelerating-plan-to-land-missiles-in-u-s-1494792608; https://www.wsj.com/articles/north-korea-launches-possible-ballistic-missile-south-korean-news-agency-reports-1494713029; https://twitter.com/CT_operative/status/864121984573206528; http://thediplomat.com/2017/06/exclusive-north-korea-tested-its-new-intermediate-range-ballistic-missile-3-times-in-april-2017/;,311.0,348.0,POINT (125.8035851 39.618283)
