facid,facname,fac_fdr,bed_capacity_type,bed_capacity,county_name
090000084,ST. PAUL'S HEALTH CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,59,SAN DIEGO
040000015,"BETHEL LUTHERAN HOME, INC.",SKILLED NURSING FACILITY,SKILLED NURSING,59,FRESNO
030001821,WOODSIDE HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,59,SACRAMENTO
030001799,ADVENTIST HEALTH SONORA,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,59,TUOLUMNE
930001709,MEMORIALCARE MILLER CHILDREN'S & WOMEN'S HOSPITAL LONG BEACH,GENERAL ACUTE CARE HOSPITAL,PERINATAL,59,LOS ANGELES
100000031,CASA DE MODESTO,SKILLED NURSING FACILITY,SKILLED NURSING,59,STANISLAUS
100000003,FAIRMONT REHABILITATION HOSPITAL,SKILLED NURSING FACILITY,SKILLED NURSING,59,SAN JOAQUIN
100000002,UNIVERSITY POST-ACUTE REHAB,SKILLED NURSING FACILITY,SKILLED NURSING,59,SACRAMENTO
950000107,TEMPLE CITY HEALTHCARE,SKILLED NURSING FACILITY,SKILLED NURSING,59,LOS ANGELES
220000019,PRISCILLA CHAN AND MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL AND TRAUM,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,58,SAN FRANCISCO
070000145,NATIVIDAD MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,58,MONTEREY
950000060,ROYAL TERRACE HEALTH CARE,SKILLED NURSING FACILITY,SKILLED NURSING,58,LOS ANGELES
930000068,PIH HEALTH GOOD SAMARITAN HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,58,LOS ANGELES
080000835,THE DOROTHY AND JOSEPH GOLDBERG HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,58,SAN DIEGO
230000028,RED BLUFF HEALTH CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,58,TEHAMA
250000048,PACIFIC GROVE HOSPITAL,ACUTE PSYCHIATRIC HOSPITAL,ACUTE PSYCHIATRIC CARE,58,RIVERSIDE
920000269,VILLA SCALABRINI SPECIAL CARE UNIT,SKILLED NURSING FACILITY,SKILLED NURSING,58,LOS ANGELES
060000132,ROWNTREE GARDENS,SKILLED NURSING FACILITY,SKILLED NURSING,58,ORANGE
920000069,"THE CARE CENTER ON HAZELTINE, LLC",SKILLED NURSING FACILITY,SKILLED NURSING,58,LOS ANGELES
140000011,ALAMEDA HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,58,ALAMEDA
930000129,VALLEY PRESBYTERIAN HOSPITAL,GENERAL ACUTE CARE HOSPITAL,PERINATAL,58,LOS ANGELES
140000203,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT CAMPUS,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,58,ALAMEDA
140000425,ALTA BATES SUMMIT MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,REHABILITATION,58,ALAMEDA
930001433,AIRPORT SUNRISE DIALYSIS,CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,58,LOS ANGELES
060000074,ANAHEIM GLOBAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,58,ORANGE
010000003,CREEKSIDE REHABILITATION & BEHAVIORAL HEALTH,SKILLED NURSING FACILITY,SPECIAL TREATMENT PROGRAM,58,SONOMA
010001007,"THE REDWOODS, A COMMUNITY OF SENIORS",SKILLED NURSING FACILITY,SKILLED NURSING,58,MARIN
070000061,SAN JOSE HEALTHCARE & WELLNESS CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,58,SANTA CLARA
630015778,UCSF MEDICAL CENTER AT MISSION BAY,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,58,SAN FRANCISCO
240000106,"ARROWHEAD HEALTHCARE CENTER, LLC",SKILLED NURSING FACILITY,SKILLED NURSING,58,SAN BERNARDINO
240000252,VALLEY CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,58,SAN BERNARDINO
090000118,HILLDALE HABILITATION CENTER,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD,57,SAN DIEGO
910000060,MARYCREST MANOR,SKILLED NURSING FACILITY,SKILLED NURSING,57,LOS ANGELES
070001365,HAZEL HAWKINS MEMORIAL HOSPITAL D/P SNF,SKILLED NURSING FACILITY,SKILLED NURSING,57,SAN BENITO
250000110,PALM GROVE HEALTHCARE,SKILLED NURSING FACILITY,SKILLED NURSING,57,RIVERSIDE
040000019,DYCORA TRANSITIONAL HEALTH - CLOVIS,SKILLED NURSING FACILITY,SKILLED NURSING,57,FRESNO
630015778,UCSF MEDICAL CENTER AT MISSION BAY,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,56,SAN FRANCISCO
030000122,DOCTORS MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,PERINATAL,56,STANISLAUS
010000951,MARIN CONVALESCENT & REHABILITATION HOSPITAL,SKILLED NURSING FACILITY,SKILLED NURSING,56,MARIN
080000094,BRADLEY COURT,SKILLED NURSING FACILITY,SKILLED NURSING,56,SAN DIEGO
030000109,SUTTER AUBURN FAITH HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,56,PLACER
930000026,HUNTINGTON HOSPITAL,GENERAL ACUTE CARE HOSPITAL,PERINATAL,56,LOS ANGELES
040000122,ADVENTIST HEALTH SELMA,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,56,FRESNO
040000067,DYCORA TRANSITIONAL HEALTH - REEDLEY,SKILLED NURSING FACILITY,SKILLED NURSING,56,FRESNO
240000107,TOTALLY KIDS REHABILITATION HOSPITAL - D/P SNF,SKILLED NURSING FACILITY,SKILLED NURSING,56,SAN BERNARDINO
040000095,CLOVIS COMMUNITY MEDICAL  CENTER,GENERAL ACUTE CARE HOSPITAL,PERINATAL,56,FRESNO
630011713,BAYWOOD COURT HEALTH CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,56,ALAMEDA
220000033,LANGLEY PORTER PSYCHIATRIC INSTITUTE,ACUTE PSYCHIATRIC HOSPITAL,ACUTE PSYCHIATRIC CARE,56,SAN FRANCISCO
050000053,SANTA MARIA POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,55,SANTA BARBARA
030000134,SUTTER ROSEVILLE MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,REHABILITATION,55,PLACER
030000973,KAISER FOUNDATION HOSPITAL MANTECA,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,55,SAN JOAQUIN
050000280,SANTA BARBARA COTTAGE HOSPITAL,GENERAL ACUTE CARE HOSPITAL,PEDIATRIC,55,SANTA BARBARA
140000012,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,55,ALAMEDA
140000187,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,55,CONTRA COSTA
220000007,SAN MATEO MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,55,SAN MATEO
230000027,BRENTWOOD POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,55,TEHAMA
240000014,HI-DESERT MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,55,SAN BERNARDINO
910000314,CRENSHAW NURSING HOME,SKILLED NURSING FACILITY,SKILLED NURSING,55,LOS ANGELES
930000147,GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER,ACUTE PSYCHIATRIC HOSPITAL,ACUTE PSYCHIATRIC CARE,55,LOS ANGELES
010000980,NORTHGATE POSTACUTE CARE,SKILLED NURSING FACILITY,SKILLED NURSING,54,MARIN
910000013,BERKLEY WEST HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,54,LOS ANGELES
040000076,THE TERRACES AT SAN JOAQUIN GARDENS VILLAGE,SKILLED NURSING FACILITY,SKILLED NURSING,54,FRESNO
010000080,UKIAH POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,54,MENDOCINO
250000902,THE VILLAGE HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,54,RIVERSIDE
060000007,CHILDREN'S HOSPITAL OF ORANGE COUNTY,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,54,ORANGE
080000156,ALVARADO PARKWAY INSTITUTE BEHAVIORAL HEALTH SYSTEM,ACUTE PSYCHIATRIC HOSPITAL,ACUTE PSYCHIATRIC CARE,54,SAN DIEGO
950000054,BEACON HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,54,LOS ANGELES
050000064,ATTERDAG CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,54,SANTA BARBARA
140000130,DANVILLE POST-ACUTE REHAB,SKILLED NURSING FACILITY,SKILLED NURSING,54,CONTRA COSTA
070000076,THE RIDGE POST-ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,54,SANTA CLARA
120001449,KAWEAH DELTA SKILLED NURSING CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,54,TULARE
930000218,HOLY CROSS RENAL CENTER,CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,54,LOS ANGELES
970000178,VILLA GARDENS HEALTH CARE UNIT,SKILLED NURSING FACILITY,SKILLED NURSING,54,LOS ANGELES
630013913,SAN LEANDRO HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,54,ALAMEDA
970000186,LEGACY HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,54,LOS ANGELES
010000936,"SAN RAFAEL HEALTHCARE & WELLNESS CENTER, LP",SKILLED NURSING FACILITY,SKILLED NURSING,54,MARIN
930001543,KAISER FOUNDATION HOSPITAL - BALDWIN PARK,GENERAL ACUTE CARE HOSPITAL,PERINATAL,53,LOS ANGELES
920000015,DREIER'S NURSING CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,53,LOS ANGELES
020000110,LAKE MERRITT HEALTHCARE CENTER LLC,SKILLED NURSING FACILITY,SKILLED NURSING,53,ALAMEDA
090000025,SCRIPPS MERCY HOSPITAL,GENERAL ACUTE CARE HOSPITAL,PERINATAL,53,SAN DIEGO
930000123,POMONA VALLEY HOSPITAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,53,LOS ANGELES
950000063,THE GARDENS OF EL MONTE,SKILLED NURSING FACILITY,SKILLED NURSING,53,LOS ANGELES
120000325,VALLEY VIEW CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,53,KERN
940000014,ROSE VILLA HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,53,LOS ANGELES
910000004,OSAGE HEALTHCARE & WELLNESS CENTRE,SKILLED NURSING FACILITY,SKILLED NURSING,53,LOS ANGELES
220000048,SAN FRANCISCO POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,53,SAN FRANCISCO
090000029,ARROYO VISTA NURSING CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,53,SAN DIEGO
060000167,EXTENDED CARE HOSPITAL OF WESTMINISTER,SKILLED NURSING FACILITY,SKILLED NURSING,53,ORANGE
080000023,RADY CHILDREN'S HOSPITAL - SAN DIEGO,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,52,SAN DIEGO
090001116,UC SAN DIEGO HEALTH LA JOLLA - JACOBS MEDICAL CENTER & SULPIZIO CARDIOVASCU,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,52,SAN DIEGO
070001355,KAISER FOUNDATION HOSPITAL-SANTA CLARA,GENERAL ACUTE CARE HOSPITAL,PERINATAL,52,SANTA CLARA
020000053,CRESTWOOD MANOR - FREMONT,SKILLED NURSING FACILITY,SPECIAL TREATMENT PROGRAM,52,ALAMEDA
060000631,LOS ANGELES COUNTY OLIVE VIEW-UCLA MED CTR D/P APH,ACUTE PSYCHIATRIC HOSPITAL,ACUTE PSYCHIATRIC CARE,52,LOS ANGELES
030000907,VIBRA HOSPITAL OF SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,52,SACRAMENTO
090000034,PARKSIDE HEALTH AND WELLNESS CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,52,SAN DIEGO
250000011,EISENHOWER MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,52,RIVERSIDE
050000046,CASA DORINDA,SKILLED NURSING FACILITY,SKILLED NURSING,52,SANTA BARBARA
630021871,PALOMAR REHABILITATION INSTITUTE,GENERAL ACUTE CARE HOSPITAL,REHABILITATION,52,SAN DIEGO
090000033,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,52,SAN DIEGO
940000030,VILLA SERENA HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,52,LOS ANGELES
010000985,THE TAMALPAIS,SKILLED NURSING FACILITY,SKILLED NURSING,52,MARIN
920000304,GLENHAVEN HEALTHCARE,SKILLED NURSING FACILITY,SKILLED NURSING,52,LOS ANGELES
060000839,FREEDOM VILLAGE HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,52,ORANGE
070000059,HILLVIEW CONVALESCENT HOSPITAL,SKILLED NURSING FACILITY,SKILLED NURSING,52,SANTA CLARA
060000073,ORANGE COUNTY GLOBAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,PERINATAL,52,ORANGE
920000074,PROVIDENCE ST. ELIZABETH CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,52,LOS ANGELES
930000026,HUNTINGTON HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,51,LOS ANGELES
090000021,SHARP CHULA VISTA MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,51,SAN DIEGO
120000399,ADVENTIST HEALTH DELANO D/P SNF,SKILLED NURSING FACILITY,SKILLED NURSING,51,KERN
040000798,COALINGA REGIONAL MEDICAL CENTER D/P SNF,SKILLED NURSING FACILITY,SKILLED NURSING,51,FRESNO
060000068,PROVIDENCE ST. JUDE MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,51,ORANGE
060000923,WEST ANAHEIM EXTENDED CARE,SKILLED NURSING FACILITY,SPECIAL TREATMENT PROGRAM,51,ORANGE
070000078,PACIFIC GROVE HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,51,MONTEREY
070000066,KATHERINE HEALTHCARE,SKILLED NURSING FACILITY,SKILLED NURSING,51,MONTEREY
100000089,APPLEWOOD POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,51,SACRAMENTO
220000031,UCSF MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,51,SAN FRANCISCO
970000029,KINGSLEY MANOR CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,51,LOS ANGELES
250000019,COMMUNITY CARE ON PALM,SKILLED NURSING FACILITY,SKILLED NURSING,51,RIVERSIDE
140000096,PLEASANT HILL POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,51,CONTRA COSTA
070000153,GOOD SAMARITAN HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,51,SANTA CLARA
630012520,CSP-SAN QUENTIN - CORRECTIONAL TREATMENT CENTER,CORRECTIONAL TREATMENT CENTER,CORRECTIONAL TREATMENT CENTER,50,MARIN
220000084,SEQUOIAS SAN FRANCISCO CONVALESCENT HOSPITAL,SKILLED NURSING FACILITY,SKILLED NURSING,50,SAN FRANCISCO
090000839,ALVARADO HOSPITAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,REHABILITATION,50,SAN DIEGO
040000064,TWILIGHT HAVEN,SKILLED NURSING FACILITY,SKILLED NURSING,50,FRESNO
020000066,VALLEY POINTE NURSING & REHABILITATION CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,50,ALAMEDA
910000089,VISTA DEL SOL CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,50,LOS ANGELES
080000036,SHARP MEMORIAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,50,SAN DIEGO
060000028,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,50,LOS ANGELES
070000290,SANTA CLARA VALLEY MEDICAL CENTER DP/APH,ACUTE PSYCHIATRIC HOSPITAL,ACUTE PSYCHIATRIC CARE,50,SANTA CLARA
230000037,SHADOWBROOK POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,50,BUTTE
630004061,DEPARTMENT OF STATE HOSPITALS - COALINGA,ACUTE PSYCHIATRIC HOSPITAL,ACUTE PSYCHIATRIC CARE,50,FRESNO
630019237,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MURRIETA,GENERAL ACUTE CARE HOSPITAL,REHABILITATION,50,RIVERSIDE
910000007,WEST GARDENA POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,50,LOS ANGELES
220000022,CALIFORNIA PACIFIC MEDICAL CENTER - VAN NESS CAMPUS,GENERAL ACUTE CARE HOSPITAL,PERINATAL,50,SAN FRANCISCO
970000176,"TWO PALMS NURSING CENTER, INC.",SKILLED NURSING FACILITY,SKILLED NURSING,50,LOS ANGELES
030001657,COVENANT VILLAGE CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,50,STANISLAUS
630017654,VIBRA REHABILITATION HOSPITAL OF RANCHO MIRAGE,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,50,RIVERSIDE
240000024,KAISER FOUNDATION HOSPITAL FONTANA,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,50,SAN BERNARDINO
920000059,LAKE BALBOA CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,50,LOS ANGELES
090000102,AMAYA SPRINGS HEALTH CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,50,SAN DIEGO
240000029,MILL CREEK MANOR,SKILLED NURSING FACILITY,SKILLED NURSING,50,SAN BERNARDINO
230000422,VIBRA HOSPITAL OF NORTHERN CALIFORNIA,GENERAL ACUTE CARE HOSPITAL,REHABILITATION,50,SHASTA
630016339,"EDEN CARE CENTER, INC.",PEDIATRIC DAY HEALTH & RESPITE CARE FACILITY,PEDI. DAY & RESPITE CARE,50,LOS ANGELES
230000389,MODOC MEDICAL CENTER D/P SNF,SKILLED NURSING FACILITY,SKILLED NURSING,50,MODOC
080001470,SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,50,SAN DIEGO
920000026,HIGH VALLEY LODGE,SKILLED NURSING FACILITY,SKILLED NURSING,50,LOS ANGELES
630016419,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MODESTO,GENERAL ACUTE CARE HOSPITAL,REHABILITATION,50,STANISLAUS
930000039,KINDRED HOSPITAL SOUTH BAY,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,50,LOS ANGELES
110000007,SUTTER SANTA ROSA REGIONAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,50,SONOMA
050000026,ST JOHNS PLEASANT VALLEY HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,50,VENTURA
970000123,ANGELS NURSING HEALTH CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,49,LOS ANGELES
930000854,GLENDALE MEMORIAL HOSPITAL AND HEALTH CTR. D/P APH,ACUTE PSYCHIATRIC HOSPITAL,ACUTE PSYCHIATRIC CARE,49,LOS ANGELES
060000543,HUNTINGTON BEACH HOSPITAL D/P APH,ACUTE PSYCHIATRIC HOSPITAL,ACUTE PSYCHIATRIC CARE,49,ORANGE
040000101,COMMUNITY REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,PERINATAL,49,FRESNO
020000048,CHAPARRAL HOUSE,SKILLED NURSING FACILITY,SKILLED NURSING,49,ALAMEDA
100000091,BRIARWOOD POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,49,SACRAMENTO
020000068,ST JOHN KRONSTADT CONVALESCENT CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,49,ALAMEDA
110000053,PINER'S NURSING HOME,SKILLED NURSING FACILITY,SKILLED NURSING,49,NAPA
970000089,COLLEGE VISTA POST-ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,49,LOS ANGELES
920000073,GOLDEN STATE COLONIAL HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,49,LOS ANGELES
920000029,OAKPARK HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,49,LOS ANGELES
090001116,UC SAN DIEGO HEALTH LA JOLLA - JACOBS MEDICAL CENTER & SULPIZIO CARDIOVASCU,GENERAL ACUTE CARE HOSPITAL,PERINATAL,49,SAN DIEGO
910000064,PACIFIC POST - ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,49,LOS ANGELES
950000077,VICTORIA CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,49,LOS ANGELES
250000154,VISTA PACIFICA CONVALESCENT HOSPITAL,SKILLED NURSING FACILITY,SKILLED NURSING,49,RIVERSIDE
630019714,ORCHARDS SKILLED NURSING,SKILLED NURSING FACILITY,SKILLED NURSING,49,ORANGE
040000033,DYCORA TRANSITIONAL HEALTH - FOWLER,SKILLED NURSING FACILITY,SKILLED NURSING,49,FRESNO
970000064,MANCHESTER MANOR CVLT HOSPITAL,SKILLED NURSING FACILITY,SKILLED NURSING,49,LOS ANGELES
140000962,PITTSBURG SKILLED NURSING CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,49,CONTRA COSTA
030000113,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,49,SACRAMENTO
970000174,FOOTHILL HEIGHTS CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,49,LOS ANGELES
930000074,KAISER FOUNDATION HOSPITAL-DOWNEY,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,49,LOS ANGELES
140000081,MORAGA POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,49,CONTRA COSTA
040000012,EVERGREEN CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,49,FRESNO
930000235,HUNTINGTON DIALYSIS CENTER,CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,49,LOS ANGELES
910000316,COUNTRY VILLA TERRACE NURSING CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,49,LOS ANGELES
100000084,PIONEER HOUSE,SKILLED NURSING FACILITY,SKILLED NURSING,49,SACRAMENTO
910000068,PALOS VERDES HEALTH CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,48,LOS ANGELES
060000071,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,ACUTE PSYCHIATRIC CARE,48,ORANGE
930000099,PIH HEALTH HOSPITAL-WHITTIER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,48,LOS ANGELES
220000023,CALIFORNIA PACIFIC MEDICAL CENTER - DAVIES CAMPUS,GENERAL ACUTE CARE HOSPITAL,REHABILITATION,48,SAN FRANCISCO
030000146,WOODLAND MEMORIAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,48,YOLO
920000086,GRANADA HILLS CONVALESCENT HOSPITAL,SKILLED NURSING FACILITY,SKILLED NURSING,48,LOS ANGELES
920000052,MAYFLOWER GARDENS CONVALESCENT HOSPITAL,SKILLED NURSING FACILITY,SKILLED NURSING,48,LOS ANGELES
950000088,CLARA BALDWIN STOCKER HOME FOR WOMEN,SKILLED NURSING FACILITY,SKILLED NURSING,48,LOS ANGELES
110001150,SATELLITE DIALYSIS,CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,48,SONOMA
090001116,UC SAN DIEGO HEALTH LA JOLLA - JACOBS MEDICAL CENTER & SULPIZIO CARDIOVASCU,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,48,SAN DIEGO
070000635,ST. LOUISE REGIONAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,48,SANTA CLARA
050000018,LOMPOC VALLEY MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,48,SANTA BARBARA
630013695,HERNDON DIALYSIS,CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,48,FRESNO
220001079,HEALTH CARE CTR AT THE FORUM AT RANCHO SAN ANTONIO,SKILLED NURSING FACILITY,SKILLED NURSING,48,SANTA CLARA
020000880,OAKLAND HEIGHTS NURSING AND REHABILITATION,SKILLED NURSING FACILITY,SKILLED NURSING,48,ALAMEDA
930000133,PACIFICA HOSPITAL OF THE VALLEY,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,48,LOS ANGELES
930000751,PROVIDENCE LITTLE COMPANY OF MARY RECOVERY CENTER,CHEMICAL DEPENDENCY RECOVERY HOSPITAL,CHEMICAL DEPENDENCY RECOVERY,48,LOS ANGELES
220001039,SUNNY VIEW MANOR,SKILLED NURSING FACILITY,SKILLED NURSING,48,SANTA CLARA
240000096,PLYMOUTH VILLAGE,SKILLED NURSING FACILITY,SKILLED NURSING,48,SAN BERNARDINO
930000008,ANTELOPE VALLEY HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,48,LOS ANGELES
930000008,ANTELOPE VALLEY HOSPITAL,GENERAL ACUTE CARE HOSPITAL,PERINATAL,48,LOS ANGELES
950000260,ROYAL OAKS MANOR - BRADBURY OAKS,SKILLED NURSING FACILITY,SKILLED NURSING,48,LOS ANGELES
930000681,PROVIDENCE HOLY CROSS MEDICAL CENTER D/P SNF,SKILLED NURSING FACILITY,SKILLED NURSING,48,LOS ANGELES
030000134,SUTTER ROSEVILLE MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,48,PLACER
040001397,FRESNO HEART AND SURGICAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,48,FRESNO
140000187,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,GENERAL ACUTE CARE HOSPITAL,REHABILITATION,48,CONTRA COSTA
070000324,GEORGE L. MEE MEMORIAL HOSPITAL D/P SNF,SKILLED NURSING FACILITY,SKILLED NURSING,48,MONTEREY
