charge_sort,match_sort,score_sort
AND ONE COUNT OF VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS.,VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS,87
AND ONE COUNT OF VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS.,VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS.,87
AND ONE COUNT OF VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS.,VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUND,86
"ASSAULTING, RESISTING, OR IMPEDING CERTIN OFFICERS","ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFFICERS",85
IMPEDING INGRESS AND EGRESS IN A RESTRICTED BUILDING OR GOUNDS,IMPEDING INGRESS AND EGRESS IN A RESTRICTED BUILDING OR GROUNDS,99
IMPEDING INGRESS AND EGRESS IN A RESTRICTED BUILDING OR GOUNDS,IMPEDING INGRESS AND EGRESS IN A RESTRICTED BUILDING OR GROUNDS AND AIDING AND ABETTING,83
ENTERING AND REMAINING IN RESTRICTED BUILDING OR GROUNDS,ENTERNING OR AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS,95
ENTERING AND REMAINING IN RESTRICTED BUILDING OR GROUNDS,ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS,94
KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING WITHOUT LAWFUL AUTHORITY,KNOWLINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY,93
VIOLENT ENTRY AND DISORDERLY CONDUCT IN A CAPITOL BUILDING OR GROUNDS,VIOLENT ENTRY AND DISORDERLY CONDUCT IN CAPITOL BUILDING,90
DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,DISORDERLY AND DISURPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,99
DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,DISORDERLY AND DISRUPTIVE CONDUCT IN RESTRICTED BUILDING OR GROUNDS,99
DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,96
VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS.,VIOLENT ENTRY DISORDERLY CONDUCT ON CAPITOL GROUNDS,96
VIOLENT ENTRY AND DISORDERLY CONDUCT,VIOLENT ENTRY OR DISORDERLY CONDUCT,90
VIOLENT ENTRY AND DISORDERLY CONDUCT,VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUND,80
ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,ENTERING AND REMAINING IN A RESTRICTED BUILDING WITH A DEADLY OR DANGEROUS WEAPON,94
ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,82
KNOWINGLY ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT IN RESTRICTED BUILDING,KNOWINGLY ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT IN RESTRICTED BUILDING OR GROUNDS,93
IMPEDING INGRESS AND EGRESS IN A RESTRICTED BUILDING,IMPEDING INGRESS AND EGRESS IN A RESTRICTED BUILDING OR GOUNDS,91
IMPEDING INGRESS AND EGRESS IN A RESTRICTED BUILDING,IMPEDING INGRESS AND EGRESS IN A RESTRICTED BUILDING OR GROUNDS,90
IMPEDING INGRESS AND EGRESS IN A RESTRICTED BUILDING,IMPEDING INGRESS AND EGRESS IN A RESTRICTED BUILDING OR GORUNDS,90
"KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS DISORDERLY CONDUCT IN A CAPITOL BUILDING PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING","KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY. DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS, VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING",94
ENTERING AND REMAINING IN ANY RESTRICTED BUILDING,ENTERING AND REMAINING IN RESTRICTED BUILDING OR GROUNDS,86
"PARADING, DEMONSTRATING, OR PICKETING IN THE CAPITOL BUILDINGS","PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING",95
ENTERING AND REMAINING IN ARESTRICTED BUILDING OR GROUNDS,ENTERING AND REMAINING IN A RESTRICTED BUILDING,89
ENTERING AND REMAINING IN ARESTRICTED BUILDING OR GROUNDS,ENTERING AND REMAINING IN RESTRICTED BUILDING OR GROUNDS,80
UNLAWFUL ENTRY AND PHYSICAL VIOLENCE ON RESTRICTED BUILDING OR GROUNDS,UNLAWFUL ENTRY ON RESTRICTED BUILDING OR GROUNDS,81
UNLAWFUL ENTRY AND PHYSICAL VIOLENCE ON RESTRICTED BUILDING OR GROUNDS,UNLAWFUL ENTRY ON RESTRICTED BUILDINGS OR GROUNDS,81
DISORDERLY CONDUCT IN THE CAPITOL GROUNDS OR BUILDING,DISORDERLY CONDUCT IN THE CAPITOL GROUNDS OR BUILDINGS,99
DISORDERLY CONDUCT IN THE CAPITOL GROUNDS OR BUILDING,DISORDERLY CONDUCT ON GROUNDS OR IN A CAPITOL BUILDING,92
AND OBSTRUCTING A LAW ENFORCEMENT OFFICER DURING A CIVIL DISORDER,OBSTRUCTION OF LAW ENFORCEMENT DURING CIVIL DISORDER,87
AND OBSTRUCTING A LAW ENFORCEMENT OFFICER DURING A CIVIL DISORDER,OBSTRUCTION OF LAW ENFORCEMENT DURING CIVIL DISORDER AND AIDING AND ABETTING,84
ONE COUNT OF THEFT OF GOVERNMENT PROPERTY,THEFT OF GOVERNMENT PROPERTY,81
KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS,"KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY, VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS",100
ASSAULT ON FEDERAL OFFICER WITH DANGEROUS WEAPON,ASSAULTING A FEDERAL OFFICER WITH A DANGEROUS OR DEADLY WEAPON,85
ASSAULT ON FEDERAL OFFICER WITH DANGEROUS WEAPON,ONE COUNT OF ASSAULTING A FEDERAL OFFICER WITH A DANGEROUS WEAPON,85
"VIOLENT ENTRY AND DISORDERLY CONDUCT, ACT OF PHYSICAL VIOLENCE ON CAPITOL GROUNDS","VIOLENT ENTRY, DISORDERLY CONDUCT, PHYSICAL VIOLENCE ON CAPITOL GROUNDS",93
"ASSAULTIN, RESISTING, OR IMPEDING CERTAIN OFFICERS USING A DANGEROUS WEAPON","ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFFICERS USING A DANGEROUS WEAPON",99
"ASSAULTIN, RESISTING, OR IMPEDING CERTAIN OFFICERS USING A DANGEROUS WEAPON","ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFLICERS USING A DANGEROUS WEAPON",98
AND VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS.,VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS,96
AND VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS.,VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUND,96
AND VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS.,VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS.,96
AND VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS.,VIOLENT ENTRY DISORDERLY CONDUCT ON CAPITOL GROUNDS,93
DI$ORDERLY CONDUCT IN A CAPITOL BUILDING,DISORDERLY CONDUCT IN A CAPITOL BUILDING,90
DI$ORDERLY CONDUCT IN A CAPITOL BUILDING,DISORDERLLY CONDUCT IN A CAPITOL BUILDING,89
DI$ORDERLY CONDUCT IN A CAPITOL BUILDING,DISORDERLY CONDUCT IN A CAPITOL BULDING,89
DI$ORDERLY CONDUCT IN A CAPITOL BUILDING,DISORDERLY CONDUCT IN A CAPITOL BUILDNIG,88
DISORDERLY AND DIRSUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,89
DISORDERLY AND DIRSUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,87
DISORDERLY AND DIRSUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING WITH A DEADLY OR DANGEROUS WEAPON,86
DISORDERLY CONDUCT IN A CAPITOL BUILDNIG,DISORDERLY CONDUCT IN A CAPITOL BULDING,96
DISORDERLY CONDUCT IN A CAPITOL BUILDNIG,DISORDERLY CONDUCT IN CAPITOL BUILDING,95
ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS,ENTERNING OR AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS,97
DISORDELRY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,99
DISORDELRY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,DISORDERLY AND DISRUPTIVE CONDUCT IN A : RESTRICTED BUILDING OR GROUNDS,99
DISORDELRY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,DISORDERLY AND DISURPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,97
DISORDELRY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,DISORDERLY AND DISRUPTIVE CONDUCT IN RESTRICTED BUILDING OR GROUNDS,97
DISORDELRY CONDUCT IN A CAPITOL BUILDING,DISORDERLY CONDUCT IN A CAPITOL BUILDING,98
DISORDELRY CONDUCT IN A CAPITOL BUILDING,DISORDERLLY CONDUCT IN A CAPITOL BUILDING,96
DISORDELRY CONDUCT IN A CAPITOL BUILDING,DISORDERLY CONDUCT IN A CAPITOL BULDING,96
DISORDELRY CONDUCT IN A CAPITOL BUILDING,DISORDERLY CONDUCT IN CAPITOL BUILDING,95
DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING WITH A DEADLY OR DANGEROUS WEAPON,94
IMPEDING INGRESS AND EGRESS IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,80
ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING WITH A DEADLY OR DANGEROUS WEAPON,94
ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,81
"DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING","PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING",91
"DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING","PARADING, DEMONSTRATING OR PICKETING IN A CAPITOL BUILDING",91
"DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING","PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING,",91
"DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING","PARADING, DEMONSTRATING, O RPICKETING IN A CAPITOL BUILDING",91
INTERSTATE COMMUNICATION OF THREATS,THREATS IN INTERSTATE COMMERCE,80
POSSESSION OF UNREGISTERED AMMUNITION,POSSESSION OF UNREGISTERED FIREARMS,81
IMPEDING INGRESS AND EGRESS IN A RESTRICTED BUILDING OR GORUNDS,IMPEDING INGRESS AND EGRESS IN A RESTRICTED BUILDING OR GOUNDS,99
IMPEDING INGRESS AND EGRESS IN A RESTRICTED BUILDING OR GORUNDS,IMPEDING INGRESS AND EGRESS IN A RESTRICTED BUILDING OR GROUNDS,98
IMPEDING INGRESS AND EGRESS IN A RESTRICTED BUILDING OR GORUNDS,IMPEDING INGRESS AND EGRESS IN A RESTRICTED BUILDING OR GROUNDS AND AIDING AND ABETTING,83
VIOLENT ENTRY AND DISORDERLY CONDUCT AT THE GROUNDS AND IN A CAPITOL BUILDING,VIOLENT ENTRY AND DISORDERLY CONDUCT IN A CAPITOL BUILDING OR GROUNDS,92
VIOLENT ENTRY AND DISORDERLY CONDUCT AT THE GROUNDS AND IN A CAPITOL BUILDING,VIOLENT ENTRY AND DISORDERLY CONDUCT IN A CAPITOL BUILDING,86
DISORDERLY AND DISRUPTIVE CONDUCT IN RESTRICTED BUILDING OR GROUNDS,DISORDERLY AND DISURPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,97
DISORDERLY AND DISRUPTIVE CONDUCT IN RESTRICTED BUILDING OR GROUNDS,DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,95
DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,DISORDERLY AND DISURPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,99
ENLERING AND REMAINING IN CERTAIN ROOMS IN THE CAPITOL BUILDING,ENTERING AND REMAINING IN CERTAIN ROOMS IN THE CAPITOL BUILDING,98
"DISORDERRY CONDUCT IN A CAPITOR BUIRDING: PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING","VIOLENT ENTRY AND DISORDERLY CONDUCT AND PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING",82
DISORDERLY CONDUCT IN THE CAPITOL GROUNDS OR BUILDINGS,DISORDERLY CONDUCT ON GROUNDS OR IN A CAPITOL BUILDING,91
ASSAULTING A FEDERAL OFFICER WITH A DANGEROUS OR DEADLY WEAPON,ONE COUNT OF ASSAULTING A FEDERAL OFFICER WITH A DANGEROUS WEAPON,85
ASSAULTING A FEDERAL OFFICER WITH A DANGEROUS OR DEADLY WEAPON,ASSAULTING AN OFFICER OF THE UNITED STATES WITH A DEADLY OR DANGEROUS WEAPON,81
DISORDERLY CONDUCT IN A CAPITOL BULDING,DISORDERLY CONDUCT IN CAPITOL BUILDING,96
ACTS OF PHYSICAL VIOLENCE IN THE CAPITOL BUILDING,ENGAGE IN AN ACT OF PHYSICAL VIOLENCE IN A CAPITOL BUILDING,81
PARADING AND DEMONSTRATING IN THE CAPITOL BUILDING,"PARADING, DEMONSTRATING, AND PICKETING IN A CAPITOL BUILDING",89
PARADING AND DEMONSTRATING IN THE CAPITOL BUILDING,PARADING OR DEMONSTRATING IN CAPITOL BUILDING,88
PARADING AND DEMONSTRATING IN THE CAPITOL BUILDING,"PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING",86
PARADING AND DEMONSTRATING IN THE CAPITOL BUILDING,"PARADING, DEMONSTRATING OR PICKETING IN A CAPITOL BUILDING",86
"CORRUPTLY OBSTRUCT, INFLUENCE, OR IMPEDE ANY OFFICIAL PROCEEDING KNOWINGLY ENTER AND REMAIN IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY AND ENGAGE IN DISORDERLY OR DISRUPTIVE CONDUCT IN ANY RESTRICTED BUILDINGS OR GROUNDS.",OBSTRUCTION OF AN OFFICIAL PROCEEDING KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY AND ENGAGE IN DISRUPTIVE AND DISORDERLY CONDUCT,81
OBSTRUCTING OF AN OFFICIAL PROCEEDING,OBSTRUCTION OF AN OFFICIAL PROCEEDING,97
OBSTRUCTING OF AN OFFICIAL PROCEEDING,OBSTRUCTION OF OFFICIAL PROCEEDINGS,92
ONE COUNT OF DESTRUCTION OF GOVERNMENT PROPERTY,ONE COUNT OF THEFT OF GOVERNMENT PROPERTY,80
AND THREE COUNTS OF KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING WITHOUT LAWFUL AUTHORITY,KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING WITHOUT LAWFUL AUTHORITY,89
AND THREE COUNTS OF KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING WITHOUT LAWFUL AUTHORITY,ONE COUNT OF KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY,88
AND THREE COUNTS OF KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING WITHOUT LAWFUL AUTHORITY,KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY,86
AND THREE COUNTS OF KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING WITHOUT LAWFUL AUTHORITY,KNOWLINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY,86
ENTERING OR REMAINING IN RESTRICTED BUILDING OR GROUNDS,ENTERNING OR AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS,94
ENTERING OR REMAINING IN RESTRICTED BUILDING OR GROUNDS,KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS,89
DISORDERLY AND DISRUPTIVE CONDUCT IN A : RESTRICTED BUILDING OR GROUNDS,DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,100
DISORDERLY AND DISRUPTIVE CONDUCT IN A : RESTRICTED BUILDING OR GROUNDS,DISORDERLY AND DISURPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,99
DISORDERLY AND DISRUPTIVE CONDUCT IN A : RESTRICTED BUILDING OR GROUNDS,DISORDERLY AND DISRUPTIVE CONDUCT IN RESTRICTED BUILDING OR GROUNDS,99
DISORDERLY AND DISRUPTIVE CONDUCT IN A : RESTRICTED BUILDING OR GROUNDS,DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,96
KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY,KNOWLINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY,99
KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY,ONE COUNT OF KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY,94
KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY,KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING WITHOUT LAWFUL AUTHORITY,94
KNOWINGLY ENGAGES IN AN ACT OF PHYSICAL VIOLENCE AGAINST ANY PERSON OR PROPERTY IN ANY RESTRICTED BUILDING OR GROUNDS,KNOWINGLY ENGAGING IN ACT OF PHYSICAL VIOLENCE IN ANY RESTRICTED BUILDING OR GROUNDS,81
"PARADE, DEMONSTRATE, OR PICKET IN A CAPITOL BUILDING","PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING",90
"PARADE, DEMONSTRATE, OR PICKET IN A CAPITOL BUILDING","PARADING, DEMONSTRATING OR PICKETING IN A CAPITOL BUILDING",90
"PARADE, DEMONSTRATE, OR PICKET IN A CAPITOL BUILDING","PARADING, DEMONSTRATING, OR PICKETING A CAPITOL BUILDING",90
"PARADE, DEMONSTRATE, OR PICKET IN A CAPITOL BUILDING","PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING,",90
ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING OR GROUNDS,KNOWINGLY ENGAGING IN PHYSICAL VIOLENCE IN RESTRICTED BUILDING OR GROUNDS,91
ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING OR GROUNDS,KNOWINGLY ENGAGING IN ACT OF PHYSICAL VIOLENCE IN ANY RESTRICTED BUILDING OR GROUNDS,87
ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING OR GROUNDS,UNLAWFUL ENTRY AND PHYSICAL VIOLENCE ON RESTRICTED BUILDING OR GROUNDS,81
DISORDERLY CONDUCT IN A THE CAPITOL GROUNDS OR BUILDINGS,DISORDERLY CONDUCT IN THE CAPITOL GROUNDS OR BUILDINGS,98
DISORDERLY CONDUCT IN A THE CAPITOL GROUNDS OR BUILDINGS,DISORDERLY CONDUCT IN THE CAPITOL GROUNDS OR BUILDING,97
DISORDERLY CONDUCT IN A THE CAPITOL GROUNDS OR BUILDINGS,DISORDERLY CONDUCT ON GROUNDS OR IN A CAPITOL BUILDING,93
KNOWINGLY ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT IN ANY RESTRICTED BUILDINGS OR GROUNDS,KNOWINGLY ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT IN RESTRICTED BUILDING OR GROUNDS,97
KNOWINGLY ENGAGES IN DISORDERLY OR DISRUPTIVE CONDUCT IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY,KNOWINGLY ENGAGES IN DISORDERLY OR DISRUPTIVE CONDUCT IN RESTRICTED BUILDING OR GROUNDS,86
KNOWINGLY ENGAGES IN DISORDERLY OR DISRUPTIVE CONDUCT IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY,KNOWINGLY ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT IN ANY RESTRICTED BUILDING OR GROUNDS,86
KNOWINGLY ENGAGES IN DISORDERLY OR DISRUPTIVE CONDUCT IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY,KNOWINGLY ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT IN ANY RESTRICTED BUILDINGS OR GROUNDS,85
"PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING,","PARADING, DEMONSTRATING, OR PICKETING IN CAPITOL BUILDINGS",97
"ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFFICERS OR EMPLOYEES","ASSAULTING, RESISTING, OR IMPEDING CERTIN OFFICERS",87
IMPEDING LAW ENFORCEMENT OFFICER DURING CIVIL DISORDER,INTERFERENCE WITH LAW ENFORCEMENT OFFICER DURING CIVIL DISORDER,84
"PARADING, DEMONSTRATING, O RPICKETING IN A CAPITOL BUILDING","PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING",98
"PARADING, DEMONSTRATING, O RPICKETING IN A CAPITOL BUILDING","PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING,",98
"PARADING, DEMONSTRATING, O RPICKETING IN A CAPITOL BUILDING","PARADING, DEMONSTRATING, OR PICKETING IN CAPITOL BUILDINGS",96
KNOWINGLY ENGAGES IN DISORDERLY OR DISRUPTIVE CONDUCT IN ANY RESTRICTED BUILDING OR GROUNDS,KNOWINGLY ENGAGES IN DISORDERLY OR DISRUPTIVE CONDUCT IN RESTRICTED BUILDING OR GROUNDS,98
KNOWINGLY ENGAGES IN DISORDERLY OR DISRUPTIVE CONDUCT IN ANY RESTRICTED BUILDING OR GROUNDS,KNOWINGLY ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT IN ANY RESTRICTED BUILDINGS OR GROUNDS,97
KNOWINGLY ENGAGES IN DISORDERLY OR DISRUPTIVE CONDUCT IN ANY RESTRICTED BUILDING OR GROUNDS,KNOWINGLY ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT IN ANY RESTRICTED BUILDING OR GROUNDS,97
KNOWINGLY ENGAGES IN DISORDERLY OR DISRUPTIVE CONDUCT IN ANY RESTRICTED BUILDING OR GROUNDS,KNOWINGLY ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT IN RESTRICTED BUILDING OR GROUNDS,95
ACT OF PHYSICAL VIOLENCE WITHIN THE CAPITOL GROUNDS OR BUILDINGS,ACTS OF PHYSICAL VIOLENCE IN THE CAPITOL BUILDING,83
KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY.,KNOWLINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY,99
KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY.,ONE COUNT OF KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY,94
KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY.,KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING WITHOUT LAWFUL AUTHORITY,94
KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING,KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS,91
KNOWINGLY ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT IN ANY RESTRICTED BUILDING OR GROUNDS,KNOWINGLY ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT IN ANY RESTRICTED BUILDINGS OR GROUNDS,99
KNOWINGLY ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT IN ANY RESTRICTED BUILDING OR GROUNDS,KNOWINGLY ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT IN RESTRICTED BUILDING OR GROUNDS,98
KNOWINGLY ENGAGING IN ACT OF PHYSICAL VIOLENCE IN ANY RESTRICTED BUILDING OR GROUNDS,KNOWINGLY ENGAGING IN PHYSICAL VIOLENCE IN RESTRICTED BUILDING OR GROUNDS,93
