charges_list,case_number
 IMPEDING INGRESS AND EGRESS IN A RESTRICTED BUILDING OR GROUNDS ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING OR GROUNDS,1
 KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY AND ENGAGES IN ANY ACT OF PHYSICAL VIOLENCE AGAINST ANY PERSON OR PROPERTY IN ANY RESTRICTED BUILDING OR GROUNDS.,1
 KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY.,1
 OBSRTUCTION OF AN OFFICIAL PROCEEDING,1
" OBSTRUCTED, INFLUENCED, OR IMPEDED ANY OFFICIAL PROCEEDING, OR ATTEMPT TO DO SO",1
 OBSTRUCTING LAW ENFORCEMENT,1
 IMPEDING INGRESS AND EGRESS IN A RESTRICTED BUILDING OR GOUNDS,1
 IMPEDING INGRESS AND EGRESS IN A RESTRICTED BUILDING OR GORUNDS,1
 OBSTRUCTION OF JUSTICE - HINDERING COMMUNICATION THROUGH PHYSICAL FORCE OR THREAT OF PHYSICAL FORCE,1
 IMPEDING INGRESS AND EGRESS IN A RESTRICTED BUILDING,1
 TAKING FROM A PERSON ANYTHING OF VALUE BY FORCE AND VIOLENCE OR BY INTIMIDATION WITHIN SPECIAL MARITIME AND TERRITORIAL JURISDICTION.,1
 TAMPERING WITH A WITNESS BY THREAT,1
 ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT ON THE CAPITOL BUILDINGS OR GROUNDS,1
"ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFFICERS OR EMPLOYEES KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY OBSTRUCTION OF LAW ENFORCEMENT DURING CIVIL DISORDER VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS",1
"18 U.S.C. § 1752(A)(1) - KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY, 18 U.S.C. § 1752(A)(2) - KNOWINGLY ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT IN ANY RESTRICTED BUILDING OR GROUNDS, 40 U.S.C. § 5104(E)(2)(D) & (G) - VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS.",1
"18 USC 111(B) ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFFICERS OF EMPLOYEES 18 USC 231(A)(3) CIVIL DISORDER",1
ACTS DURING CIVIL DISORDER,1
ASSAULT OF FEDERAL LAW ENFORCEMENT OFFICER WITH DANGEROUS WEAPON,1
 DISORDERLY CONDUCT IN THE CAPITOL GROUNDS OR BUILDINGS,1
ASSAULTING AN OFFICER OF THE UNITED STATES,1
"ASSAULTING, RESISTING OR IMPEDING CERTAIN OFFICERS OBSTRUCTION OF AN OFFICIAL PROCEEDING ENTERING AND REMAINING IN A RESTRICTED BUILDING DISORDERLY AND DISTRUPTIVE CONDUCT IN A RESTRICTED BUILDING DISORDERLY CONDUCT IN A CAPITOL BUILDING",1
"ASSAULTING, RESISTING OR IMPEDING CERTAIN OFFICERS OR EMPLOYEES CIVIL DISORDER OBSTRUCTION OF OFFICIAL PROCEEDING",1
 DISORDERLY CONDUCT IN THE CAPITOL GROUNDS OR BUILDING,1
"ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFFICERS OR EMPLOYEES",1
 DISORDERLY CONDUCT IN RESTRICTED BUILDING OR GROUNDS,1
 THEFT OF GOVERNMENT PROPERTY AND AIDING AND ABETTING,1
 DISORDERLY CONDUCT IN CAPITOL BUILDING,1
CIVIL DISORDER AND AIDING AND ABETTING,1
CIVIL DISORDER ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON ACT OF PHYSICAL VIOLENCE IN THE CAPITOL GROUNDS OR BUILDINGS,1
CIVIL DISORDERS,1
 DISORDERLY CONDUCT IN ANY RESTRICTED BUILDING OR GROUNDS,1
 DISORDERLY CONDUCT IN A THE CAPITOL GROUNDS OR BUILDINGS,1
"CORRUPTLY OBSTRUCT, INFLUENCE, OR IMPEDE ANY OFFICIAL PROCEEDING KNOWINGLY ENTER AND REMAIN IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY AND ENGAGE IN DISORDERLY OR DISRUPTIVE CONDUCT IN ANY RESTRICTED BUILDINGS OR GROUNDS.",1
 DISORDERLY CONDUCT IN A CAPITOL BULDING,1
 DISORDERLY CONDUCT IN A CAPITOL BUILDNIG,1
 INTERFERENCE WITH LAW ENFORCEMENT OFFICER DURING CIVIL DISORDER,1
 WILLFULLY AND KNOWINGLY ENGAGING IN PHYSICAL VIOLENCE IN CAPITOL GROUNDS OR BUILDINGS,1
" VIOLENT ENTRY, DISORDERLY CONDUCT, PHYSICAL VIOLENCE ON CAPITOL GROUNDS",1
 DISORDERLY CONDUCT ON GROUNDS OR IN A CAPITOL BUILDING,1
 VIOLENT ENTRY DISORDERLY CONDUCT ON CAPITOL GROUNDS,1
 THREATENING A FEDERAL OFFICER,1
 ENGAGE IN DISORDERLY CONDUCT WITH INTENT TO DISTURB A HEARING BEFORE CONGRESS,1
" UNLAWFUL ACTIVITIES ON CAPITOL GROUNDS, PARADES, ASSEMBLAGES AND DISPLAY OF FLAGS",1
 UNLAWFUL ENTRY AND PHYSICAL VIOLENCE ON RESTRICTED BUILDING OR GROUNDS,1
 UNLAWFUL ENTRY ON RESTRICTED BUILDING OR GROUNDS,1
 UNLAWFUL ENTRY ON RESTRICTED GROUNDS,1
 UNLAWFUL ENTRY OR REMAINING ON RESTRICTED GROUNDS WITHOUT LAWFUL AUTHOIRTY,1
 UNLAWFUL ENTRY TO RESTRICTED BUILDING OR GROUNDS,1
 UNLAWFUL INJURY TO PROPERTY ON CAPITOL GROUNDS,1
 ENGAGE IN AN ACT OF PHYSICAL VIOLENCE IN A CAPITOL BUILDING,1
 UNLAWFUL POSSESSION OF A DANGEROUS WEAPON ON CAPITOL GROUNDS OR BUILDINGS,1
 DISRUPTIVE AND DISORDERLY CONDUCT ON RESTRICTED GROUNDS,1
" VIOLENT ENTRY AND DISORDERLY CONDUCT AND PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING",1
 DISORDERLY OR DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,1
 DISORDERLY CONDUCT/IMPEDING OFFICIAL BUSINESS,1
 VIOLENT ENTRY AND DISORDERLY CONDUCT IN CAPITOL BUILDING,1
 VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUND,1
 DISORDERLY CONDUCT WITHIN THE CAPITOL GROUNDS OR BUILDINGS,1
 VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS.,1
 VIOLENT ENTRY WITH INTENT TO DISRUPT THE ORDERLY CONDUCT OF OFFICIAL BUSINESS AND DISORDERLY CONDUCT ON CAPITOL GROUNDS,1
OBSTRUCTION OF CONGRESSIONAL PROCEEDING UNLAWFUL ENTRY VIOLENT ENTRY OR DISORDERLY CONDUCT,0
OBSTRUCTION OF AN OFFICIAL PROCEEDING KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY AND ENGAGE IN DISRUPTIVE AND DISORDERLY CONDUCT,0
