"数据年月"	,"贸易伙伴编码"	,"贸易伙伴名称"	,"注册地编码"	,"注册地名称"	,"商品编码"	,"商品名称"	,"第一数量"	,"第一计量单位"	,"第二数量"	,"第二计量单位"	,"美元"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48185000	"	,"纸浆、纸、纤维素絮纸或纤维素纤维网纸制的衣服及衣着附件	"	,"70	"	,"千克	"	,"0	"	,"?	"	,"3	"	,
"202110	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48189000	"	,"纸浆、纸等制的其他家庭、卫生或医院用品	"	,"4180	"	,"千克	"	,"0	"	,"?	"	,"156,332	"	,
"202101	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48191000	"	,"瓦楞纸或纸板制的箱、盒、匣	"	,"500	"	,"千克	"	,"0	"	,"?	"	,"97,558	"	,
"202106	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48191000	"	,"瓦楞纸或纸板制的箱、盒、匣	"	,"330	"	,"千克	"	,"0	"	,"?	"	,"330	"	,
"202107	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48191000	"	,"瓦楞纸或纸板制的箱、盒、匣	"	,"774	"	,"千克	"	,"0	"	,"?	"	,"81,270	"	,
"202108	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48191000	"	,"瓦楞纸或纸板制的箱、盒、匣	"	,"33	"	,"千克	"	,"0	"	,"?	"	,"33	"	,
"202109	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48191000	"	,"瓦楞纸或纸板制的箱、盒、匣	"	,"514	"	,"千克	"	,"0	"	,"?	"	,"77	"	,
"202110	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48191000	"	,"瓦楞纸或纸板制的箱、盒、匣	"	,"927	"	,"千克	"	,"0	"	,"?	"	,"927	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48191000	"	,"瓦楞纸或纸板制的箱、盒、匣	"	,"1483	"	,"千克	"	,"0	"	,"?	"	,"42,507	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48191000	"	,"瓦楞纸或纸板制的箱、盒、匣	"	,"3058	"	,"千克	"	,"0	"	,"?	"	,"56,158	"	,
"202101	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48192000	"	,"非瓦楞纸或纸板制的可折叠箱、盒、匣	"	,"1255	"	,"千克	"	,"0	"	,"?	"	,"120,528	"	,
"202102	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48192000	"	,"非瓦楞纸或纸板制的可折叠箱、盒、匣	"	,"7095	"	,"千克	"	,"0	"	,"?	"	,"158,985	"	,
"202107	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48192000	"	,"非瓦楞纸或纸板制的可折叠箱、盒、匣	"	,"1312	"	,"千克	"	,"0	"	,"?	"	,"4,592	"	,
"202110	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48192000	"	,"非瓦楞纸或纸板制的可折叠箱、盒、匣	"	,"2452	"	,"千克	"	,"0	"	,"?	"	,"75,500	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48192000	"	,"非瓦楞纸或纸板制的可折叠箱、盒、匣	"	,"4094	"	,"千克	"	,"0	"	,"?	"	,"210,594	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48192000	"	,"非瓦楞纸或纸板制的可折叠箱、盒、匣	"	,"1120	"	,"千克	"	,"0	"	,"?	"	,"1,120	"	,
"202101	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48194000	"	,"其他纸袋，包括锥形袋	"	,"477	"	,"千克	"	,"0	"	,"?	"	,"17,700	"	,
"202102	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48194000	"	,"其他纸袋，包括锥形袋	"	,"7133	"	,"千克	"	,"0	"	,"?	"	,"158,353	"	,
"202108	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48194000	"	,"其他纸袋，包括锥形袋	"	,"301	"	,"千克	"	,"0	"	,"?	"	,"6,020	"	,
"202110	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48194000	"	,"其他纸袋，包括锥形袋	"	,"113	"	,"千克	"	,"0	"	,"?	"	,"6,120	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48194000	"	,"其他纸袋，包括锥形袋	"	,"11624	"	,"千克	"	,"0	"	,"?	"	,"195,347	"	,
"202102	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48195000	"	,"纸、纸板制其他包装容器，包括唱片套	"	,"504	"	,"千克	"	,"0	"	,"?	"	,"18,295	"	,
"202105	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48195000	"	,"纸、纸板制其他包装容器，包括唱片套	"	,"3224	"	,"千克	"	,"0	"	,"?	"	,"154,752	"	,
"202107	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48195000	"	,"纸、纸板制其他包装容器，包括唱片套	"	,"1437	"	,"千克	"	,"0	"	,"?	"	,"78,747	"	,
"202110	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48195000	"	,"纸、纸板制其他包装容器，包括唱片套	"	,"3056	"	,"千克	"	,"0	"	,"?	"	,"152,950	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48195000	"	,"纸、纸板制其他包装容器，包括唱片套	"	,"1804	"	,"千克	"	,"0	"	,"?	"	,"52,255	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48195000	"	,"纸、纸板制其他包装容器，包括唱片套	"	,"3249	"	,"千克	"	,"0	"	,"?	"	,"199,801	"	,
"202110	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48201000	"	,"帐本、笔记本、收据本、日记本及类似品	"	,"19346	"	,"千克	"	,"0	"	,"?	"	,"179,323	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48201000	"	,"帐本、笔记本、收据本、日记本及类似品	"	,"2133	"	,"千克	"	,"0	"	,"?	"	,"42,660	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48201000	"	,"帐本、笔记本、收据本、日记本及类似品	"	,"2620	"	,"千克	"	,"0	"	,"?	"	,"19,440	"	,
"202101	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48205000	"	,"纸或纸板制的样品簿及粘贴簿	"	,"1230	"	,"千克	"	,"0	"	,"?	"	,"40,713	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48209000	"	,"纸或纸板制的其他文具用品；书籍封面	"	,"22	"	,"千克	"	,"0	"	,"?	"	,"90	"	,
"202105	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48211000	"	,"纸或纸板制的各种标签，印有文字图画	"	,"653	"	,"千克	"	,"0	"	,"?	"	,"11,754	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48211000	"	,"纸或纸板制的各种标签，印有文字图画	"	,"2687	"	,"千克	"	,"0	"	,"?	"	,"20,321	"	,
"202110	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48219000	"	,"纸或纸板制的各种标签，未印文字图画	"	,"26	"	,"千克	"	,"0	"	,"?	"	,"2,470	"	,
"202102	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48232000	"	,"切成一定尺寸或形状的滤纸及纸板	"	,"2410	"	,"千克	"	,"0	"	,"?	"	,"435	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48236100	"	,"竹浆纸或纸板制的盘、碟、盆、杯及类似品	"	,"2	"	,"千克	"	,"0	"	,"?	"	,"29	"	,
"202104	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48236990	"	,"未列名纸或纸板制的盘、碟、盆、杯及类似品	"	,"436	"	,"千克	"	,"0	"	,"?	"	,"18,312	"	,
"202110	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48236990	"	,"未列名纸或纸板制的盘、碟、盆、杯及类似品	"	,"190	"	,"千克	"	,"0	"	,"?	"	,"15,200	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48236990	"	,"未列名纸或纸板制的盘、碟、盆、杯及类似品	"	,"3	"	,"千克	"	,"0	"	,"?	"	,"43	"	,
"202110	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48239090	"	,"未列名切成形的纸、纸板等纸及纸（桨）制品	"	,"855	"	,"千克	"	,"0	"	,"?	"	,"2,565	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48239090	"	,"未列名切成形的纸、纸板等纸及纸（桨）制品	"	,"306	"	,"千克	"	,"0	"	,"?	"	,"4,000	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"48239090	"	,"未列名切成形的纸、纸板等纸及纸（桨）制品	"	,"4100	"	,"千克	"	,"0	"	,"?	"	,"33,057	"	,
"202110	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"49030000	"	,"儿童图画书、绘画或涂色书	"	,"790	"	,"千克	"	,"0	"	,"?	"	,"2,370	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"49030000	"	,"儿童图画书、绘画或涂色书	"	,"440	"	,"千克	"	,"0	"	,"?	"	,"36,805	"	,
"202106	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"49089000	"	,"其他转印贴花纸（移画印花法用图案纸）	"	,"297	"	,"千克	"	,"0	"	,"?	"	,"594	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"49090090	"	,"印有个人问候、祝贺、通告的卡片	"	,"630	"	,"千克	"	,"0	"	,"?	"	,"3,780	"	,
"202110	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"49100000	"	,"印刷的各种日历，包括日历芯	"	,"435	"	,"千克	"	,"0	"	,"?	"	,"16,443	"	,
"202107	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"49111010	"	,"无商业价值的商业广告品、商品目录等印刷品	"	,"750	"	,"千克	"	,"0	"	,"?	"	,"375	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"49119100	"	,"印刷的图片、设计图样及照片	"	,"469	"	,"千克	"	,"0	"	,"?	"	,"12,400	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"52121300	"	,"其他染色棉布，平米重≤200g	"	,"7182	"	,"米	"	,"1167	"	,"千克	"	,"2,154	"	,
"202109	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"55092200	"	,"聚酯短纤≥85%的多股纱线或缆线	"	,"247	"	,"千克	"	,"0	"	,"?	"	,"2,351	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"55121900	"	,"其他含聚酯短纤≥85%的布	"	,"281	"	,"米	"	,"32	"	,"千克	"	,"84	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"56012100	"	,"棉制絮胎及其制品	"	,"2036	"	,"千克	"	,"0	"	,"?	"	,"16,320	"	,
"202106	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"56031390	"	,"其他化纤长丝无纺织物，70g＜平方米重≤150g	"	,"172	"	,"千克	"	,"0	"	,"?	"	,"172	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"56041000	"	,"用纺织材料包覆的橡胶线及绳	"	,"2255	"	,"千克	"	,"0	"	,"?	"	,"18,239	"	,
"202101	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"56075000	"	,"其他合成纤维纺制的线、绳、索、缆	"	,"404	"	,"千克	"	,"0	"	,"?	"	,"8	"	,
"202110	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"56075000	"	,"其他合成纤维纺制的线、绳、索、缆	"	,"115	"	,"千克	"	,"0	"	,"?	"	,"1,150	"	,
"202106	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"56081900	"	,"化纤材料制成的网料及其他网	"	,"438	"	,"千克	"	,"0	"	,"?	"	,"1,500	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"56081900	"	,"化纤材料制成的网料及其他网	"	,"132	"	,"千克	"	,"0	"	,"?	"	,"7,920	"	,
"202106	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"56090000	"	,"纱线、5404或5405扁条或线绳索缆制其他物品	"	,"61	"	,"千克	"	,"0	"	,"?	"	,"183	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"56090000	"	,"纱线、5404或5405扁条或线绳索缆制其他物品	"	,"2736	"	,"千克	"	,"0	"	,"?	"	,"17,655	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"57011000	"	,"毛制结织栽绒地毯等结织栽绒铺地制品	"	,"4	"	,"千克	"	,"4	"	,"平方米	"	,"55	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"57033000	"	,"其他化纤簇绒地毯及其他簇绒铺地制品	"	,"72	"	,"千克	"	,"73	"	,"平方米	"	,"2,808	"	,
"202105	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"57050020	"	,"化纤制未列名地毯及铺地制品	"	,"388	"	,"千克	"	,"318	"	,"平方米	"	,"13,580	"	,
"202109	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"57050020	"	,"化纤制未列名地毯及铺地制品	"	,"32	"	,"千克	"	,"48	"	,"平方米	"	,"281	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"57050020	"	,"化纤制未列名地毯及铺地制品	"	,"185	"	,"千克	"	,"8820	"	,"平方米	"	,"75,852	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"57050020	"	,"化纤制未列名地毯及铺地制品	"	,"44	"	,"千克	"	,"16	"	,"平方米	"	,"393	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"58061090	"	,"其他纺织材料制狭幅起绒机织物及绳绒织物	"	,"330	"	,"千克	"	,"0	"	,"?	"	,"9,769	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"58062000	"	,"含弹性纱线或橡胶线≥5%的狭幅机织物	"	,"2336	"	,"千克	"	,"0	"	,"?	"	,"17,653	"	,
"202109	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"58089000	"	,"其他非绣制的成匹装饰带；流苏、绒球等	"	,"10	"	,"千克	"	,"0	"	,"?	"	,"95	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"58109100	"	,"其他棉制刺绣品	"	,"2790	"	,"千克	"	,"0	"	,"?	"	,"19,584	"	,
"202106	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"59112000	"	,"筛布，不论是否制成的	"	,"134	"	,"千克	"	,"0	"	,"?	"	,"268	"	,
"202108	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61012000	"	,"棉针织或钩编男大衣，带帽防寒短上衣，风衣等	"	,"1344	"	,"件	"	,"658	"	,"千克	"	,"8,265	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61021000	"	,"毛针织或钩编女大衣，带帽防寒短上衣，风衣等	"	,"4	"	,"件	"	,"1	"	,"千克	"	,"262	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61022000	"	,"棉针织或钩编女大衣，带帽防寒短上衣，风衣等	"	,"2243	"	,"件	"	,"2281	"	,"千克	"	,"32,859	"	,
"202107	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61033200	"	,"棉制针织或钩编的男式上衣	"	,"10800	"	,"件	"	,"6750	"	,"千克	"	,"54,000	"	,
"202109	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61033200	"	,"棉制针织或钩编的男式上衣	"	,"7824	"	,"件	"	,"6102	"	,"千克	"	,"45,600	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61033200	"	,"棉制针织或钩编的男式上衣	"	,"17680	"	,"件	"	,"19224	"	,"千克	"	,"130,110	"	,
"202105	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61034200	"	,"棉制针织或钩编的男裤	"	,"49176	"	,"条	"	,"18200	"	,"千克	"	,"221,292	"	,
"202107	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61034200	"	,"棉制针织或钩编的男裤	"	,"85644	"	,"条	"	,"40758	"	,"千克	"	,"418,896	"	,
"202110	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61034200	"	,"棉制针织或钩编的男裤	"	,"40572	"	,"条	"	,"15778	"	,"千克	"	,"202,860	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61034200	"	,"棉制针织或钩编的男裤	"	,"250	"	,"条	"	,"120	"	,"千克	"	,"2,775	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61034200	"	,"棉制针织或钩编的男裤	"	,"274	"	,"条	"	,"240	"	,"千克	"	,"1,370	"	,
"202102	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61034300	"	,"合成纤维制针织或钩编的男裤	"	,"15096	"	,"条	"	,"1248	"	,"千克	"	,"37,740	"	,
"202103	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61034300	"	,"合成纤维制针织或钩编的男裤	"	,"2736	"	,"条	"	,"375	"	,"千克	"	,"6,840	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61034300	"	,"合成纤维制针织或钩编的男裤	"	,"9186	"	,"条	"	,"3310	"	,"千克	"	,"39,145	"	,
"202102	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61042200	"	,"棉制针织或钩编的女式便服套装	"	,"43698	"	,"套	"	,"25095	"	,"千克	"	,"256,944	"	,
"202103	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61042200	"	,"棉制针织或钩编的女式便服套装	"	,"10758	"	,"套	"	,"3072	"	,"千克	"	,"47,342	"	,
"202106	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61042200	"	,"棉制针织或钩编的女式便服套装	"	,"30375	"	,"套	"	,"17877	"	,"千克	"	,"159,917	"	,
"202107	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61042200	"	,"棉制针织或钩编的女式便服套装	"	,"78474	"	,"套	"	,"52064	"	,"千克	"	,"319,913	"	,
"202108	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61042200	"	,"棉制针织或钩编的女式便服套装	"	,"76366	"	,"套	"	,"64732	"	,"千克	"	,"370,803	"	,
"202109	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61042200	"	,"棉制针织或钩编的女式便服套装	"	,"77616	"	,"套	"	,"45791	"	,"千克	"	,"335,544	"	,
"202110	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61042200	"	,"棉制针织或钩编的女式便服套装	"	,"21600	"	,"套	"	,"21600	"	,"千克	"	,"116,640	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61042200	"	,"棉制针织或钩编的女式便服套装	"	,"20016	"	,"套	"	,"20016	"	,"千克	"	,"110,088	"	,
"202102	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61042300	"	,"合成纤维制针织或钩编的女式便服套装	"	,"39696	"	,"套	"	,"23494	"	,"千克	"	,"188,461	"	,
"202103	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61042300	"	,"合成纤维制针织或钩编的女式便服套装	"	,"19008	"	,"套	"	,"9692	"	,"千克	"	,"83,780	"	,
"202104	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61042300	"	,"合成纤维制针织或钩编的女式便服套装	"	,"2076	"	,"套	"	,"845	"	,"千克	"	,"8,954	"	,
"202107	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61042300	"	,"合成纤维制针织或钩编的女式便服套装	"	,"432	"	,"套	"	,"279	"	,"千克	"	,"5,616	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61042300	"	,"合成纤维制针织或钩编的女式便服套装	"	,"1090	"	,"套	"	,"842	"	,"千克	"	,"15,549	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61043200	"	,"棉制针织或钩编的女式上衣	"	,"3185	"	,"件	"	,"581	"	,"千克	"	,"88,309	"	,
"202107	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61043300	"	,"合成纤维制针织或钩编的女式上衣	"	,"762	"	,"件	"	,"259	"	,"千克	"	,"18,813	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61043300	"	,"合成纤维制针织或钩编的女式上衣	"	,"3229	"	,"件	"	,"987	"	,"千克	"	,"14,534	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61043900	"	,"其他纺织材料制针织或钩编的女式上衣	"	,"615	"	,"件	"	,"98	"	,"千克	"	,"3,075	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61044100	"	,"毛制针织或钩编的女式连衣裙	"	,"19	"	,"件	"	,"6	"	,"千克	"	,"1,282	"	,
"202110	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61044200	"	,"棉制针织或钩编的女式连衣裙	"	,"9000	"	,"件	"	,"3435	"	,"千克	"	,"151,200	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61044200	"	,"棉制针织或钩编的女式连衣裙	"	,"28002	"	,"件	"	,"9534	"	,"千克	"	,"295,955	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61044200	"	,"棉制针织或钩编的女式连衣裙	"	,"384	"	,"件	"	,"332	"	,"千克	"	,"1,836	"	,
"202102	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61044300	"	,"合成纤维制针织或钩编的女式连衣裙	"	,"9810	"	,"件	"	,"4196	"	,"千克	"	,"35,784	"	,
"202103	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61044300	"	,"合成纤维制针织或钩编的女式连衣裙	"	,"29490	"	,"件	"	,"7635	"	,"千克	"	,"105,263	"	,
"202104	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61044300	"	,"合成纤维制针织或钩编的女式连衣裙	"	,"11160	"	,"件	"	,"5115	"	,"千克	"	,"50,220	"	,
"202105	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61044300	"	,"合成纤维制针织或钩编的女式连衣裙	"	,"8592	"	,"件	"	,"2132	"	,"千克	"	,"148,641	"	,
"202109	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61044300	"	,"合成纤维制针织或钩编的女式连衣裙	"	,"243	"	,"件	"	,"75	"	,"千克	"	,"825	"	,
"202110	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61044300	"	,"合成纤维制针织或钩编的女式连衣裙	"	,"590	"	,"件	"	,"258	"	,"千克	"	,"5,050	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61044300	"	,"合成纤维制针织或钩编的女式连衣裙	"	,"4607	"	,"件	"	,"1439	"	,"千克	"	,"188,840	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61044300	"	,"合成纤维制针织或钩编的女式连衣裙	"	,"1573	"	,"件	"	,"709	"	,"千克	"	,"21,646	"	,
"202107	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61044400	"	,"人造纤维制针织或钩编的女式连衣裙	"	,"870	"	,"件	"	,"451	"	,"千克	"	,"29,580	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61044400	"	,"人造纤维制针织或钩编的女式连衣裙	"	,"1505	"	,"件	"	,"468	"	,"千克	"	,"9,030	"	,
"202106	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61045100	"	,"毛制针织或钩编的女式裙子及裙裤	"	,"37	"	,"件	"	,"20	"	,"千克	"	,"1,743	"	,
"202108	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61045100	"	,"毛制针织或钩编的女式裙子及裙裤	"	,"65	"	,"件	"	,"180	"	,"千克	"	,"3,307	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61045100	"	,"毛制针织或钩编的女式裙子及裙裤	"	,"17838	"	,"件	"	,"1944	"	,"千克	"	,"46,130	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61045200	"	,"棉制针织或钩编的女式裙子及裙裤	"	,"72	"	,"件	"	,"17	"	,"千克	"	,"234	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61045300	"	,"合成纤维制针织或钩编的女式裙子及裙裤	"	,"2115	"	,"件	"	,"1371	"	,"千克	"	,"24,534	"	,
"202108	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61046100	"	,"毛制针织或钩编的女裤	"	,"106	"	,"条	"	,"34	"	,"千克	"	,"5,144	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61046100	"	,"毛制针织或钩编的女裤	"	,"20	"	,"条	"	,"7	"	,"千克	"	,"1,457	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61046100	"	,"毛制针织或钩编的女裤	"	,"12	"	,"条	"	,"3	"	,"千克	"	,"743	"	,
"202105	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"61046200	"	,"棉制针织或钩编的女裤	"	,"11334	"	,"条	"	,"4202	"	,"千克	"	,"51,003	"	,
