,license_no,name,address,city,state,zip,expires,wc_carrier,wc_exp_date,bond_issuer,bond_eff_date,bond_issuer_clean
216,TA000218258,"HUSSIE MODELS, LLC",8939 SEPULVEDA BLVD SUITE 102,LOS ANGELES,CA,90045,2020-01-01,NAN,,THE HARTFORD FIRE INSURANCE,2014-11-14,HARTFORD
217,TA000218333,PHILLIP L. HAWKINS  DBA PITTMOBILE TALENT AGENCY,"1800 VINE STREET, #334",HOLLYWOOD,CA,90028,2020-06-18,NAN,,WESTERN SURETY COMPANY,2019-03-12,WESTERN SURETY
219,TA000218843,"WILLIAM MORRIS ENDEAVOR ENTERTAINMENT, LLC  DBA EN","9601 WILSHIRE BLVD., 3RD FLOOR",BEVERLY HILLS,CA,90210,2020-05-04,FIREMANS FUND INSURANCE COMPANY,2019-08-10,HARTFORD FIRE,2019-05-06,HARTFORD
220,TA000219013,LINDA MCALISTER TALENT LLC,4218 SANTA MONICA BOULEVARD,LOS ANGELES,CA,90029,2020-06-26,STATE FUND,2020-04-26,SURETY 1,2019-08-10,SURETY 1
223,TA000219350,"WASSERMAN MEDIA GROUP, LLC",10900 WILSHIRE BLVD. SUITE 1200,LOS ANGELES,CA,90024,2020-03-26,PACIFIC INDEM,2020-01-01,HARTFORD FIRE,2019-04-29,HARTFORD
225,TA000219609,"SCOTT & ANN INC, AND SALNERS INDUSTRIES INC. A GEN",6100 WILSHIRE BLVD SUITE 1500,LOS ANGELES,CA,90048,2020-08-16,ACE AMERICAN,2019-10-01,NAN,,NOT LISTED
226,TA000219675,OSCAR P. GRANT  DBA MLH LITERARY AND TALENT AGENCY,"8939 S. SEPULVEDA BLVD., STE 110-142",LOS ANGELES,CA,90045,2020-03-04,NAN,,HARTFORD FIRE INSURANCE COMPANY,2006-05-05,HARTFORD
227,TA000219680,KRENGEL SPAMER VANCE LLC  DBA DOMAIN,"1880 CENTURY PARK EAST, SUITE 1100",LOS ANGELES,CA,90069,2020-05-23,AMERICAN AUTOMOBILE INSURANCE,2020-04-20,"ACCREDITED SURETY AND CASUALTY COMPANY, INC.",2006-03-16,ACCREDITED SURETY AND CASUALTY INC.
230,TA000219754,"FORTRESS TALENT MANAGEMENT, INC.","23901 CALABASAS ROAD,  SUITE 2016",CALABASAS,CA,91302,2020-04-15,EVANSTON INSURANCE COMPANY,2020-04-21,CNA SURETY,2015-05-07,CNA SURETY
233,TA000219779,"DIVA CENTRAL, INC.  DBA DIVA CENTRAL TALENT AGENCY","7190 W. SUNSET BOULEVARD, #1445",LOS ANGELES,CA,90046,2020-04-01,NAN,,HARTFORD FIRE INSURANCE,2007-02-01,HARTFORD
234,TA000219797,"AMSEL, EISENSTADT & FRAZIER A TALENT & LITERARY AG","5055 WILSHIRE BLVD., #865",LOS ANGELES,CA,90036,2020-04-14,SEQUOIA INSUR,2020-05-01,GRAY CASUALTY,2019-04-14,GRAY CASUALTY
235,TA000219799,MANNEQUIN MODELS,7912 NORTHLAKE DR #105,HUNTINGTON BEACH,CA,92647,2020-04-02,NAN,,SURETY1,2019-04-15,SURETY 1
237,TA000219844,"PALOMA MODEL & TALENT, INC.","1600 ROSECRANS AVENUE, MEDIA CENTER, 4TH FLOOR",MANHATTAN BEACH,CA,90266,2020-06-12,STATE COMP IF,2020-04-25,ADVANCED SURE,2018-10-03,ADVANCED SURE
241,TA000219893,MARY KATHARINE MAYER  DBA ANGEL CITY TALENT,8318 KIRKWOOD DRIVE,LOS ANGELES,CA,90046,2020-05-18,NAN,,SURETY1,2021-05-01,SURETY 1
243,TA000219945,MARGARET ROIPHE AKA MAGGIE ROIPHE  DBA MAGGIE ROIP,1721 SOUTH GARTH AVENUE,LOS ANGELES,CA,90035,2020-05-17,SCIF,2020-03-01,UNITED SURETY,2019-01-28,UNITED SURETY
244,TA000219951,CHRISTINA PRICE  DBA WORLDWIDE ARTISTS GROUP,1999 AVENUE OF THE STARS SUITE #1100,LOS ANGELES,CA,90067,2020-04-20,NAN,,WESTERN SURET,2019-03-27,WESTERN SURETY
245,TA000219952,"CUNNINGHAM, ESCOTT, DIPENE AND ASSOCIATES, INC.  D",10635 SANTA MONICA BLVD #130,LOS ANGELES,CA,90025,2020-06-15,STATE COMPENS,2019-07-01,STATE FARM,2019-06-07,STATE FARM
246,TA000219959,BARBARA ANN RUNGE  DBA VIBE ENTERTAINMENT,338 WESTBROOK PLACE,COSTA MESA,CA,92626,2020-06-09,NAN,,THE GRAY CASU,2019-05-09,GRAY CASU
247,TA000219972,LOOK MODEL AGENCY,333 BRYANT ST SUITE 370,SAN FRANCISCO,CA,94107,2020-06-05,REBUBLIC INDEMNITY COMPANY OF CALIFORNIA,2020-01-01,IFIS,2019-06-05,IFIS
249,TA000220085,"MCDONALD-SELZNICK ASSOCIATES, INC.","3575 CAHUENGA BOULEVARD, #390",LOS ANGELES,CA,90068,2020-06-22,ONEBEACON,2020-02-09,HCC SURETY,2018-09-01,HCC SURETY
250,TA000220144,LA SIERRA PROMOTIONS INC.,8628 VAN NUYS BLVD,PANORAMA CITY,CA,91402,2020-06-11,NAN,,CNA SURETY,2017-01-05,CNA SURETY
251,TA000220151,JANE RACHAEL SCHULMAN  DBA VESTA TALENT AGENCY,"1600 ROSECRANS AVENUE, 7TH FLOOR",MANHATTAN BEACH,CA,90266,2020-04-02,NAN,,SURETY 1,2018-07-19,SURETY 1
252,TA000220168,"ROBERT EATMAN ENTERPRISES, INC.",917 CORSICA DRIVE,PACIFIC PALISADES,CA,90272,2020-05-14,NAN,,THE HARTFORD FIRE INSURANCE,2019-04-08,HARTFORD
254,TA000220204,"ROCKET SCIENCE TALENT, INC.","4500 PARK GRANADA BLVD., STE. 202",CALABASAS,CA,91302,2020-06-02,"TECHNOLOGY INSURANCE COMPANY, INC.",2020-01-01,THE HARTFORD,2019-08-05,HARTFORD
255,TA000220214,GENESIS ARTISTS AGENCY,8383 WILSHIRE BLVD SUITE 345,BEVERLY HILLS,CA,90211,2020-06-23,NAN,,ACIC,2015-07-01,ACIC
256,TA000220454,"L. A. TALENT, INC.",7700 W. SUNSET BLVD,LOS ANGELES,CA,90046,2020-04-28,ACORD,2019-12-30,HCC,2019-02-28,HCC
260,TA000220733,"ATLAS TALENT AGENCY/LA, INC.","15 EAST 32ND STREET, 6TH FLOOR",NEW YORK,NY,10016,2020-06-07,INDEMNITY,2019-10-01,MERCHANTS,2019-04-09,MERCHANTS
264,TA000221123,ENTERTAINMENT AMERICA AGENCY INC.,1093 HIGHLAND PARK,FALLBROOK,CA,92028,2020-05-12,NAN,,OLD REPUBLIC SURETY COMPANY,2018-10-08,OLD REPUBLIC
266,TA000221158,"THE EMPIRE AGENCY, INC.",30077 AGOURA COURT SUITE 230,AGOURA HILLS,CA,91301,2020-04-10,NY MARINE,2020-04-25,NATIONWIDE,2019-04-18,NATIONWIDE
267,TA000221201,"YOUTH TALENT CONNECTION, INC.",17332 IRVINE BLVD #230,TUSTIN,CA,92780,2020-05-09,NAN,,GREAT AMERICA,2018-08-10,GREAT AMERICA
270,TA000221375,KAREN RENNA  DBA KAREN RENNA & ASSOCIATES,1320 RUBERTA AVENUE,GLENDALE,CA,91201,2020-06-20,NAN,,AEGIS SECURITY INSURANCE COMPANY,2019-01-13,AEGIS SECURITY INSURANCE
271,TA000221388,"MCHUGO ARTISTS AGENCY, LTD.","6912 OWENSMOUTH AVENUE, SUITE 101",CANOGA PARK,CA,91303,2020-06-03,TECHNOLOGY INSURANCE COMPANY,2019-06-01,SURETY1,2019-06-07,SURETY 1
272,TA000221416,"SPECIAL ARTISTS AGENCY, INC.",9200 SUNSET BLVD STE 1170,WEST HOLLYWOOD,CA,90069,2020-06-25,HISCOX INSUR,2019-05-12,THE HARTFORD,2019-03-28,HARTFORD
273,TA000221519,"THE BEDDINGFIELD COMPANY, INC.",13600 VENTURA BLVD #B,SHERMAN OAKS,CA,91423,2020-06-03,STATE COMP IN,2019-10-01,THE GRAY CASUALTY & SURETY COMPANY,2019-04-26,GRAY CASUALTY & SURETY
274,TA000221521,"COAST TO COAST TALENT GROUP, INC.",3350 BARHAM BLVD,LOS ANGELES,CA,90068,2020-06-07,ACORD,2020-03-05,SURETY1,2018-06-01,SURETY 1
278,TA000221646,"WILD MODELS, INCORPORATED",269 S. BEVERLY DRIVE #217,BEVERLY HILLS,CA,90212,2020-03-31,NAN,,INTERNATIONAL FIDELITY INSURANCE COMPANY,2009-08-01,INTERNATIONAL FIDELITY INSURANCE
279,TA000221658,CENTRAL ARTISTS INC.,"1023 NORTH HOLLYWOOD WAY, #102",BURBANK,CA,91505,2020-07-26,STATE FUND,2019-09-20,OLD REPUBLIC SURETY COMPANY,2018-06-30,OLD REPUBLIC
280,TA000221687,DONALD LYLE FRANKEN & ANDREW LAWRENCE WOOLF  DBA W,"5777 W. CENTURY BLVD, #1070",LOS ANGELES,CA,90045,2020-04-26,NAN,,THE GRAY CASUALTY & SURETY COMPANY,2019-04-27,GRAY CASUALTY & SURETY
281,TA000221749,"METROPOLITAN TALENT AGENCY, INC.",6121 SUNSET BOULEVARD,LOS ANGELES,CA,90028,2020-06-10,NAN,,CNA SURETY,2018-02-01,CNA SURETY
282,TA000221803,THE MINE AGENCY,6121 SUNSET BLVD.,LOS ANGELES,CA,90028,2020-04-03,NAN,,HARTFORD FIRE INSURANCE,2016-05-01,HARTFORD
283,TA000221804,"MOMENTUM TALENT & LITERARY AGENCY, INC.","3500 WEST OLIVE AVENUE, SUITE 300",BURANK,CA,91505,2020-06-08,NAN,,SURETY1,2019-05-18,SURETY 1
284,TA000221818,DATTNER DISPOTO AND ASSOCIATES,"304 S. BROADWAY, SUITE 405",LOS ANGELES,CA,90013,2020-07-17,OBI NATIONAL,2019-06-01,NAN,,NOT LISTED
285,TA000221851,"#1 TALENT AGENCY, INC.","555 W. 5TH STREET, 34TH FLOOR",LOS ANGELES,CA,90013,2020-04-03,NAN,,OLD REPUBLIC SURETY COMPANY,2019-08-19,OLD REPUBLIC
287,TA000221939,"ARTISTRY  DBA SHELDON PROSNIT AGENCY, LYONS SHELDO","800 S. ROBERTSON BLVD, SUITE 6",LOS ANGELES,CA,90035,2020-05-16,PAYCHEX,2020-04-01,SURETY 1,2018-05-16,SURETY 1
288,TA000221953,"SOCIALEBS, LLC","3900 SAN FERNANDO RD, SUITE 1013",GLENDALE,CA,91204,2020-05-31,HARTFORD,2019-11-01,WESTERNSURETY,2020-05-25,WESTERN SURETY
290,TA000222025,"THE GORFAINE/SCHWARTZ AGENCY, INC.",4111 W. ALAMEDA AVENUE #509,BURBANK,CA,91505,2020-04-15,NY MARINE,2019-11-20,HARTFORD INS,2018-04-15,HARTFORD
291,TA000222033,"DTA AGENCY, LLC  DBA DT MODEL MANAGEMENT",883 WESTBOURNE DRIVE,WEST HOLLYWOOD,CA,90069,2020-06-28,NEW YORK MARINE AND GENERAL INSURANCE COMPANY,2020-01-01,WASHINGTON INTERNATIONAL INSURANCE COMPANY,2012-07-12,WASHINGTON INTERNATIONAL INSURANCE
292,TA000222052,"LEMON LIME AGENCY, INC.","3245 CASITAS AVE., SUITE 107",LOS ANGELES,CA,90039,2020-06-19,ACORD,2020-01-01,TOKIO MARINE,2019-03-14,TOKIO MARINE
293,TA000222116,"BOPPIE BOODAH, INC.  DBA THE CORSA AGENCY","11849 WEST OLYMPIC BLVD., #100",LOS ANGELES,CA,90064,2020-07-29,NAN,,THE HARTFORD,2018-06-20,HARTFORD
295,TA000222145,DARREN JAY LEWIS,17328 VENTURA BLVD #428,ENCINO,CA,91316,2020-06-13,NAN,,ACIC,2019-06-12,ACIC
297,TA000222178,RAYMOND A. CAVALERI  DBA CAVALERI & ASSOCIATES TAL,3500 W. OLIVE AVE SUITE 300,BURBANK,CA,91505,2020-01-16,NAN,,THE HARTFORD,2019-01-16,HARTFORD
298,TA000222182,"THE HAPPEN AGENCY, LLC",124 E OLIVE AVE,BURBANK,CA,91502,2020-01-17,NAN,,SURETY1,2018-02-08,SURETY 1
299,TA000222289,"ALLEGORY CREATIVE TALENT, LLC","13261 MOORPARK STREET, SUITE 103",SHERMAN OAKS,CA,91423,2020-07-16,EMPLOYERS,2020-08-10,SURETEC,2017-08-01,SURETEC
300,TA000222295,VICKI ROBERTS AND ARTHUR ANDELSON  DBA KISMET TALE,"3435 OCEAN PARK BLVD, SUITE 107",SANTA MONICA,CA,90405,2020-07-02,NAN,,HARTFORD FIRE INSURANCE,2017-07-02,HARTFORD
301,TA000222366,"M MODEL MANAGEMENT, LLC  DBA M MODEL MANAGEMENT",8113 MELROSE AVENUE #3,LOS ANGELES,CA,90046,2020-07-04,NAN,,THE HARTFORD FIRE INSURANCE,2010-02-01,HARTFORD
302,TA000222396,ALYCIA R. STARK  DBA STARK TALENT,"12777 WEST JEFFERSON BOULEVARD, BLDG D, SUITE 300",LOS ANGELES,CA,90066,2020-08-03,NAN,,SURETY1,2017-08-07,SURETY 1
304,TA000222414,"LUCIANO REEVES TALENT, INC.","21700 OXNARD ST., SUITE 950",WOODLAND HILLS,CA,91367,2020-03-29,STATE FUND,2020-01-20,SURETEC,2018-06-24,SURETEC
305,TA000222473,LYN BALDWIN  DBA BALDWIN TALENT AGENCY,8055 W. MANCHESTER AVENUE #230,PLAYA DEL REY,CA,90293,2020-05-09,NAN,,THE HANOVER INSURANCE COMPANY,2019-01-01,HANOVER
307,TA000222499,"CAST IMAGES MODEL & TALENT AGENCY, LLC",2530 J STREET STE 203,SACRAMENTO,CA,95816,2020-06-16,STATE FUND,2020-07-01,OLD REPUBLIC,2019-03-28,OLD REPUBLIC
309,TA000222614,KATE WARD  DBA THE WARD AGENCY,1617 N. EL CENTRO AVENUE - SUITE 25,HOLLYWOOD,CA,90028,2020-07-24,NAN,,SURETY 1,2018-08-15,SURETY 1
310,TA000222616,"AMATRUDA BENSON & ASSOCIATES, INC.",433 N. CAMDEN DRIVE SUITE 400,BEVERLY HILLS,CA,90210,2020-05-10,STATE FUND,2019-07-01,SURETY1,2019-05-10,SURETY 1
311,TA000222625,"JKA TALENT & LITERARY AGENCY, INC.",8033 SUNSET BLVD. SUITE 915,LOS ANGELES,CA,90046,2020-06-04,NAN,,"SURETY1,",2018-05-04,SURETY 1
312,TA000222962,JIM LENNY & KIM LANG  DBA JACK LENNY ASSOCIATES,9454 WILSHIRE BLVD SUITE 600,BEVERLY HILLS,CA,90212,2020-05-06,NAN,,THE GRAY CASUALTY AND SURETY COMPANY,2018-05-07,GRAY CASUALTY AND SURETY
314,TA000223055,CRAIG ALLEN JONES  DBA FILM THEATRE ACTORS EXCHANG,390 28TH AVENUE #3,SAN FRANCISCO,CA,94121,2020-04-26,NAN,,1/1/20,2019-01-01,1/1/20
315,TA000223088,"CONCRETE BOOKING AGENCY, LTD.",141 HALSTEAD AVE SUITE 4,MAMARONECK,NY,10543,2020-11-03,NAN,,PHILADELPHIA INDEMNITY INSURANCE COMPANY,2019-10-21,PHILADELPHIA INDEMNITY INSURANCE
316,TA000223094,DAVID J. FREEDMAN & JACK GAW  DBA HOLLYWOOD VIEW,5255 VERONICA ST.,LOS ANGELES,CA,90008,2020-06-29,NAN,,GRAY CASUALTY,2019-05-20,GRAY CASUALTY
319,TA000223151,NOEL JONATHAN PALM  DBA ELEMENT TALENT AGENCY,201 N. BRAND BLVD. SUITE 200,GLENDALE,CA,91203,2020-04-26,NAN,,TOLMAN WIKER,2019-04-27,TOLMAN WIKER
320,TA000223212,"ROTHMAN/ANDRES ENTERTAINMENT, LLC",4400 COLDWATER CANYON AVENUE #235,STUDIO CITY,CA,91604,2020-08-02,TRAVELERS,2020-04-03,SURETY1,2019-04-01,SURETY 1
321,TA000223221,KRAFT-ENGEL MANAGEMENT  LLC  DBA KRAFT-ENGEL MANAG,15233 VENTURA BLVD SUITE 200,SHERMAN OAKS,CA,91403,2020-06-29,GREAT DIVIDE,2020-04-01,THE HARTFORD,2018-05-25,HARTFORD
323,TA000223247,JOSEPH LE TALENT AGENCY,3500 WEST OLIVE AVENUE #300,BURBANK,CA,91505,2020-06-01,NAN,,AMERICAN CONTRACTORS INDEMNITY COMPANY,2015-07-10,AMERICAN CONTRACTORS INDEMNITY
324,TA000223292,"GVA TALENT AGENCY, INC.",193 N. ROBERTSON BLVD.,BEVERLY HILLS,CA,90211,2020-06-16,STATE FUND,2020-01-01,PHILADELPHIA INDEMNITY INSURANCE COMPANY,2019-02-13,PHILADELPHIA INDEMNITY INSURANCE
326,TA000223539,"KL GROUP, INC.  DBA SOCIETY 15",9623 CANOGA AVENUE,CHATSWORTH,CA,91311,2020-07-16,NAN,,U.S. SPECIALTY INSURANCE COMPANY,2019-10-03,U.S. SPECIALTY INSURANCE
327,TA000223559,"CASSELL-LEVY, INC.",6032 WILKINSON AVENUE,NORTH HOLLYWOOD,CA,91606,2020-06-16,NAN,,SURETY1,2019-06-16,SURETY 1
329,TA000223575,FEATURED ARTISTS AGENCY,"8844 WEST OLYMPIC BLVD, SUITE 200",BEVERLY HILLS,CA,90211,2020-08-18,NAN,,HCC SURETY,2018-12-31,HCC SURETY
330,TA000223613,JAMES HIRSEN  DBA JAMES HIRSEN TALENT AGENCY,505 SOUTH VILLA REAL DRIVE SUITE 208,ANAHEIM HILLS,CA,92660,2020-07-09,NAN,,OLD REPUBLIC,2019-07-11,OLD REPUBLIC
331,TA000223668,ELSA LORENA DE VEGA  DBA K  MODEL AND TALENT MANAG,1171 W. SHAW AVENUE #101,FRESNO,CA,93711,2020-07-06,NAN,,AMERICAN CONTRACTORS INDEMNITY COMPANY,2018-06-06,AMERICAN CONTRACTORS INDEMNITY
332,TA000223678,"THE STANDER GROUP, INC.","4533 VAN NUYS BLVD, SUITE 401",SHERMAN OAKS,CA,91403,2020-06-18,NAN,,F&D SURETY,2018-07-15,F&D SURETY
333,TA000223679,DANA RANDAZZO  DBA SYMBIOTIC TALENT MANAGEMENT,714 E. VERDUGO #106,BURBANK,CA,91501,2020-06-09,NAN,,WESTERN SURETY COMPANY,2019-01-21,WESTERN SURETY
334,TA000223693,"DIRECT2PRO, LLC  DBA D2 MODELS",1245 MCCLELLAN DRIVE #321,LOS ANGELES,CA,90025,2020-06-05,NAN,,SURETY1,2017-07-16,SURETY 1
335,TA000223740,ARLENE WEISENBERG  DBA DAILY TALENT AGENCY,11552 N. PEOMA PLACE #201,CHATSWORTH,CA,91311,2020-06-19,NAN,,ACIC,2007-04-27,ACIC
336,TA000223774,"ARTISTIC TALENT, INC.","5437 LAUREL CANYON BLVD, SUITE 111",VALLEY VILLAGE,CA,91607,2020-07-09,NAN,,SURETY 1,2019-06-24,SURETY 1
337,TA000223781,"DPN TALENT, INC.",9201 W. OLYMPIC BLVD,BEVERLY HILLS,CA,90212,2020-08-16,TECHNOLOGY INSURANCE COMPANY,2019-12-27,THE HANOVER INSURANCE COMPANY,2018-07-01,HANOVER
339,TA000223857,DINA LAPOLT,"9000 SUNSET BLVD, SUITE 800",WEST HOLLYWOOD,CA,90069,2020-06-17,NAN,,HARTFORD FIRE INSURANCE,2015-02-01,HARTFORD
341,TA000223888,"EASTERN TALENT AGENCY, LLC",1645 VINE ST. # 402,LOS ANGELES,CA,90028,2020-07-05,STATE COMPENSATION INSURANCE FUND,2020-09-01,OLD REPUBLIC SURETY COMPANY,2010-08-25,OLD REPUBLIC
342,TA000223910,LAURENCE S. BECSEY  DBA BECSEY WISDOM KALAJIAN,"12400 WILSHIRE BOULEVARD, SUITE 500",LOS ANGELES,CA,90025,2020-06-10,PREFERRED EMPLOYERS INSURANCE,2019-07-07,SURETY1,2019-06-11,SURETY 1
344,TA000223985,"THE KAPLAN-STAHLER AGENCY, INC.",8383 WILSHIRE BLVD #923,BEVERLY HILLS,CA,90211,2020-08-27,EMPLOYERS PREFERRED INSURANCE COMPANY,2019-09-01,AMTRUST SURETY,2019-05-14,AMTRUST SURETY
345,TA000223993,"VIC SUTTON-DICK BARTH-RITA VENNARI AGENCY, INC",5900 WILSHIRE BVD SUITE 700,LOS ANGELES,CA,90036,2020-10-05,ACE AMERICAN,2020-07-01,HARTFORD,2016-08-10,HARTFORD
346,TA000224132,"JE TALENT, LLC","155 MONTGOMERY STREET, SUITE 805",SAN FRANCISCO,CA,94104,2020-06-03,HARTFORD,2019-09-19,SURETY1,2019-06-20,SURETY 1
349,TA000224174,"GLOBAL ARTISTS AGENCY, LLC","6253 HOLLYWOOD BLVD, SUITE 508",LOS ANGELES,CA,90028,2020-08-04,SECURETY NATIONAL INSURANCE CO,2020-05-24,THE HARTFORD FIRE INSURANCE,2018-08-10,HARTFORD
350,TA000224233,"REDPHIN PRODUCTIONS, LLC",45 MALLORCA,LAGUNA NIGUEL,CA,92677,2020-08-07,NAN,,GREAT AMERICAN INSURANCE COMPANY,2014-04-15,GREAT AMERICAN INSURANCE
352,TA000224276,"DIGITAL ARTISTS AGENCY, INC.",10101 GALAXY WAY BLDG #3,LOS ANGELES,CA,90067,2020-08-09,NAN,,WESTERN SURET,2019-07-17,WESTERN SURETY
354,TA000224362,"ZPPA, INC",4929 WILSHIRE BLVD #808,LOS ANGELES,CA,90010,2020-06-29,NAN,,SURETY 1,2019-03-22,SURETY 1
357,TA000224462,ENGAGE ARTISTS AGENCY INC  DBA ENGAGE ARTISTS AGEN,1901 AVENUE OF THE STARS #288,LOS ANGELES,CA,90067,2020-05-14,NAN,,AMERICAN CONTRACTORS INDEMNITY COMPANY,2019-11-18,AMERICAN CONTRACTORS INDEMNITY
358,TA000224467,"FAMOUS FRAMES, INC.",11124 WASHINGTON BLVD.,CULVER CITY,CA,90232,2020-07-08,TRAVELERS,2020-07-01,HCC,2018-10-20,HCC
359,TA000224520,"BODY PARTS MODELS, INC.",5225 WILSHIRE BLVD #436,LOS ANGELES,CA,90036,2020-08-13,STATE FUND,2020-01-01,THE HARTFORD FIRE INSURANCE,2018-08-13,HARTFORD
360,TA000224555,PAM PAHNKE  DBA ELEGANCE TALENT AGENCY & MODEL MAN,2763 STATE STREET,CARLSBAD,CA,92008,2020-06-05,NAN,,GRAY CASUALTY,2019-06-01,GRAY CASUALTY
362,TA000224559,SCOUT TALENT MANAGEMENT LLC  DBA SCOUT MODEL AND T,"81 LANSING STREET, SUITE 401",SAN FRANCISCO,CA,94105,2020-08-17,SEQUOIA,2020-05-15,SURETY 1,2019-10-04,SURETY 1
366,TA000224716,BERNICE H. HANSEN  DBA SPECTRUM LA,"9107 WILSHIRE BLVD, STE 450",BEVERLY HILLS,CA,90210,2020-06-04,NAN,,PHILADELPHIA INDEMNITY INSURANCE COMPANY,2016-07-22,PHILADELPHIA INDEMNITY INSURANCE
367,TA000224730,KARL B. SANGER  DBA SANGER TALENT AGENCY,"121 N. HARBOR BLVD., SUITE A",FULLERTON,CA,92832,2020-06-04,NAN,,THE HARTFORD FIRE,2019-06-29,HARTFORD
369,TA000224739,LEAVITT AGENCY CORPORATION  DBA JEFFREY LEAVITT AG,"11500 W. OLYMPIC BLVD., #400",LOS ANGELES,CA,90064,2020-07-19,NAN,,STATE FARM FIRE AND CASUALTY COMPANY,2010-09-18,STATE FARM
371,TA000224761,"AGENCY FOR THE PERFORMING ARTS, LLC  DBA APA",405 S. BEVERLY DRIVE,BEVERLY HILLS,CA,90212,2020-08-12,TRAVELERS,2019-12-10,THE HARTFORD,2018-08-12,HARTFORD
372,TA000224767,"BOLLOTTA  & ASSOCIATES, INC.  DBA BOLLOTTA ENTERTA","2729 4TH AVENUE, SUITE 1",SAN DIEGO,CA,92103,2020-06-28,EMPLOYERS,2019-09-01,SURETY1,2018-06-28,SURETY 1
373,TA000224805,APRIL ELIZABETH RAPP  DBA FOXXX MODELING,20821 DEARBORNE STREET,CHATSWORTH,CA,91311,2020-07-24,NAN,,ACIC,2011-10-07,ACIC
375,TA000224859,HERB TANNEN  DBA HERB TANNEN & ASSOCIATES,20520 PINNACLE WAY,MALIBU,CA,90265,2020-09-23,NAN,,OLD REPUBLIC SURETY COMPANY,2012-04-30,OLD REPUBLIC
378,TA000224981,"THE GERSH AGENCY, INC.","9465 WILSHIRE BLVD, 6TH FLOOR",BEVERLY HILLS,CA,90212,2020-09-16,THE HARTFORD FIRE INSURANCE,2019-10-31,THE HARTFORD FIRE INSURANCE COMPANY,2018-05-08,HARTFORD
380,TA000225067,"DEFINING ARTISTS, INC.","8721 SUNSET BOULEVARD, SUITE 209",WEST HOLLYWOOD,CA,90069,2020-08-14,STATE,2020-05-01,WESTERN SURETY COMPANY,2019-08-19,WESTERN SURETY
381,TA000225068,JOEL KING  DBA PAKULA KING & ASSOCIATES,"9229 SUNSET BLVD., #400",LOS ANGELES,CA,90069,2020-07-30,ADP,2019-09-19,SURETY1,2019-02-01,SURETY 1
382,TA000225069,"ABOVE THE LINE AGENCY, INC.",468 N. CAMDEN DR. #200,BEVERLY HILLS,CA,90210,2020-07-12,SCIF,2020-09-01,GRAY CASUALTY,2019-07-12,GRAY CASUALTY
383,TA000225070,"JAY SIEGAN PRESENTS, LLC  DBA JAY SIEGAN PRESENTS","1655 POLK ST., #1",SAN FRANCISCO,CA,94109,2020-08-14,NAN,,THE HARTFORD FIRE INSURANCE,2010-02-25,HARTFORD
384,TA000225072,WALTER D. SHAW III AND WALTER D. SHAW JR.  DBA A.M,121 W. LEXINGTON DRIVE,GLENDALE,CA,91203,2020-07-04,NAN,,SURETY1,2019-03-01,SURETY 1
385,TA000225074,"ZURI MODEL AND TALENT AGENCY, INC.","1999 AVENUE OF THE STARS, SUITE 1100",LOS ANGELES,CA,90067,2020-07-20,TECHNOLOGY,2019-07-14,OLD REPUBLIC,2018-06-25,OLD REPUBLIC
386,TA000225076,"DON BUCHWALD & ASSOCIATES, INC. PACIFIC  DBA BUCHW","5900 WILSHIRE BLVD., #3100",LOS ANGELES,CA,90036,2020-07-12,CNA INSURANCE,2020-06-08,SURETY1,2018-07-12,SURETY 1
389,TA000225190,"JC TALENT AGENCY, LLC  DBA JAGER CAMPBELL TALENT A",201 N BRAND BLVD SUITE 200,GLENDALE,CA,91203,2020-07-19,NAN,,HARTFORD FIRE,2019-06-24,HARTFORD
392,TA000225384,"PREFERRED ARTISTS, INC.","16633 VENTURA BLVD., SUITE 1421",ENCINO,CA,91436,2020-09-04,EMPLOYERS COMPENSATION INSURANCE COMPANY,2020-05-01,THE HARTFORD FIRE INSURANCE COMPANY,2017-11-07,HARTFORD
393,TA000225390,XPOSE ENTERTAINMENT INC.,"1055 E. COLORADO BLVD, 5TH FLOOR",PASADENA,CA,91106,2020-08-05,NAN,,SURETY1,2018-07-01,SURETY 1
394,TA000225393,STACY SOLODKIN  DBA BETH STEIN & ASSOCIATES,925 N. LA BREA AVE 4TH FL.,LOS ANGELES,CA,90038,2020-06-08,NEW YORK MARINE & GENERAL INSURANCE CO.,2019-11-02,OLD REPUBLIC SURETY COMPANY,2006-06-24,OLD REPUBLIC
398,TA000225421,PANACEA ENTERTAINMENT MANAGEMENT & COMMUNICATIONS ,2021 VISTA ALCEDO,CAMARILLO,CA,93012,2020-07-01,NEW YORK MARINE,2020-06-17,AMERICAN CONTRACTORS INDEMNITY COMPANY,2016-10-01,AMERICAN CONTRACTORS INDEMNITY
400,TA000225444,GRETA M. HANLEY  DBA BICOASTAL TALENT & LITERACY A,"2600 W OLIVE AVE., STE. 500",BURBANK,CA,91505,2020-06-22,NAN,,THE GRAY CASUALTY & SURETY COMPANY,2019-06-23,GRAY CASUALTY & SURETY
402,TA000225507,"TIM O'BRIEN AND ASSOCIATES, INC.  DBA CLEAR TALENT",10950 VENTURA BLVD.,STUDIO CITY,CA,91604,2020-08-19,STATE COMPENS,2019-11-01,OLD REPUBLIC,2019-08-19,OLD REPUBLIC
